"ple0044_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1988","Hamburg","Male","68","0.694027362320132","0.602791696688058","0.785263027952206","2"
"No","1988","Hamburg","Female","76","0.806900760816093","0.730670075787158","0.883131445845028","2"
"No","1988","Lower Saxony","Female","404","0.780431715069146","0.745189563396398","0.815673866741895","2"
"No","1988","Lower Saxony","Male","306","0.616208054729298","0.573582042793267","0.658834066665328","2"
"No","1988","Bremen","Male","22","","","","2"
"No","1988","Bremen","Female","45","0.89505494929382","0.812543163563826","0.977566735023814","2"
"No","1988","North Rhine-Westphalia","Male","810","0.62195661698617","0.595827842792725","0.648085391179616","2"
"No","1988","North Rhine-Westphalia","Female","1030","0.800628395663355","0.779148471343226","0.822108319983485","2"
"No","1988","Baden-Württemberg","Male","603","0.616170876798688","0.585213548835827","0.647128204761549","2"
"No","1988","Bavaria","Female","602","0.733759181765752","0.703744089385878","0.763774274145625","2"
"No","1988","Baden-Württemberg","Female","718","0.786416337633307","0.760062096683264","0.812770578583349","2"
"No","1988","Bavaria","Male","464","0.592862358152108","0.558471926519102","0.627252789785114","2"
"No","1988","Hesse","Male","304","0.660982221910193","0.618853008780692","0.703111435039693","2"
"No","1988","Hesse","Female","392","0.819580073651431","0.7858745534034","0.853285593899463","2"
"No","1988","Rhineland-Palatinate,Saarland","Male","220","0.659398393315734","0.610169465120672","0.708627321510795","2"
"No","1988","Rhineland-Palatinate,Saarland","Female","298","0.801714278531882","0.761413846799199","0.842014710264566","2"
"No","1988","Berlin","Male","104","0.642097377029107","0.568951642165129","0.715243111893085","2"
"No","1988","Berlin","Female","127","0.773447097893237","0.709768400778976","0.837125795007499","2"
"No","1988","Brandenburg","Male","","","","","2"
"No","1988","Brandenburg","Female","","","","","2"
"No","1988","Saxony","Male","","","","","2"
"No","1988","Saxony","Female","","","","","2"
"No","1988","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1988","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1988","Saxony-Anhalt","Male","","","","","2"
"No","1988","Saxony-Anhalt","Female","","","","","2"
"No","1988","Thuringia","Male","","","","","2"
"No","1988","Thuringia","Female","","","","","2"
"Yes","1988","Hesse","Male","181","0.339017778089807","0.296888564960307","0.381146991219307","1"
"Yes","1988","Hesse","Female","108","0.180419926348569","0.146714406100537","0.2141254465966","1"
"Yes","1988","Rhineland-Palatinate,Saarland","Male","136","0.340601606684266","0.291372678489205","0.389830534879328","1"
"Yes","1988","Rhineland-Palatinate,Saarland","Female","78","0.198285721468118","0.157985289735434","0.238586153200801","1"
"Yes","1988","Baden-Württemberg","Male","345","0.383829123201312","0.352871795238451","0.414786451164173","1"
"Yes","1988","Baden-Württemberg","Female","211","0.213583662366693","0.18722942141665","0.239937903316736","1"
"Yes","1988","Bavaria","Male","320","0.407137641847892","0.372747210214886","0.441528073480898","1"
"Yes","1988","Bavaria","Female","231","0.266240818234248","0.236225725854375","0.296255910614122","1"
"Yes","1988","Berlin","Male","61","0.357902622970893","0.284756888106915","0.431048357834871","1"
"Yes","1988","Berlin","Female","39","0.226552902106763","0.162874204992501","0.290231599221024","1"
"Yes","1988","Brandenburg","Male","","","","","1"
"Yes","1988","Schleswig-Holstein","Male","65","0.411873790245676","0.333631123830002","0.49011645666135","1"
"Yes","1988","Schleswig-Holstein","Female","32","0.170964537779419","0.112261696809764","0.229667378749074","1"
"Yes","1988","Hamburg","Male","30","0.305972637679868","0.214736972047794","0.397208303311942","1"
"Yes","1988","Hamburg","Female","27","","","","1"
"Yes","1988","Lower Saxony","Male","194","0.383791945270702","0.341165933334672","0.426417957206733","1"
"Yes","1988","Lower Saxony","Female","126","0.219568284930854","0.184326133258105","0.254810436603602","1"
"Yes","1988","Bremen","Male","22","","","","1"
"Yes","1988","Bremen","Female","8","","","","1"
"Yes","1988","North Rhine-Westphalia","Male","513","0.37804338301383","0.351914608820384","0.404172157207275","1"
"Yes","1988","North Rhine-Westphalia","Female","299","0.199371604336645","0.177891680016515","0.220851528656774","1"
"Yes","1988","Brandenburg","Female","","","","","1"
"Yes","1988","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1988","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1988","Saxony","Male","","","","","1"
"Yes","1988","Saxony","Female","","","","","1"
"Yes","1988","Saxony-Anhalt","Male","","","","","1"
"Yes","1988","Saxony-Anhalt","Female","","","","","1"
"Yes","1988","Thuringia","Male","","","","","1"
"Yes","1988","Thuringia","Female","","","","","1"
"No","1989","Schleswig-Holstein","Female","123","0.835850175807352","0.776769691409941","0.894930660204762","2"
"No","1989","Hamburg","Male","68","0.651945736142971","0.557149427176268","0.746742045109675","2"
"No","1989","Schleswig-Holstein","Male","94","0.689934223077338","0.614651581249902","0.765216864904774","2"
"No","1989","Hamburg","Female","75","0.787040171102196","0.706799346069154","0.867280996135239","2"
"No","1989","Lower Saxony","Male","276","0.578116524215349","0.5338898498762","0.622343198554498","2"
"No","1989","Lower Saxony","Female","419","0.836541399974523","0.804573497735499","0.868509302213547","2"
"No","1989","Bavaria","Male","489","0.640185931858585","0.606461050896713","0.673910812820456","2"
"No","1989","Bavaria","Female","588","0.737760554639044","0.70765491288662","0.767866196391468","2"
"No","1989","Bremen","Male","31","0.646080997664452","0.513537473629135","0.778624521699768","2"
"No","1989","North Rhine-Westphalia","Male","829","0.652661884818582","0.626709983829535","0.678613785807628","2"
"No","1989","Bremen","Female","45","0.803131938634518","0.700799063754238","0.905464813514799","2"
"No","1989","North Rhine-Westphalia","Female","1026","0.796856799196049","0.775119207188397","0.8185943912037","2"
"No","1989","Hesse","Male","300","0.667489987265071","0.625903774339042","0.7090762001911","2"
"No","1989","Rhineland-Palatinate,Saarland","Male","237","0.728757869190917","0.681359877197371","0.776155861184463","2"
"No","1989","Hesse","Female","382","0.805723983360108","0.771010311095968","0.840437655624249","2"
"No","1989","Rhineland-Palatinate,Saarland","Female","285","0.820072971632147","0.78011454611556","0.860031397148734","2"
"No","1989","Berlin","Female","129","0.758625459234881","0.694109943157235","0.823140975312527","2"
"No","1989","Brandenburg","Male","","","","","2"
"No","1989","Berlin","Male","102","0.657819843870184","0.584306023137349","0.731333664603019","2"
"No","1989","Brandenburg","Female","","","","","2"
"No","1989","Baden-Württemberg","Male","586","0.645135917577467","0.613979994333448","0.676291840821486","2"
"No","1989","Baden-Württemberg","Female","701","0.774575835340073","0.747336526590356","0.80181514408979","2"
"No","1989","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1989","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1989","Saxony","Male","","","","","2"
"No","1989","Saxony","Female","","","","","2"
"No","1989","Saxony-Anhalt","Male","","","","","2"
"No","1989","Saxony-Anhalt","Female","","","","","2"
"No","1989","Thuringia","Male","","","","","2"
"No","1989","Thuringia","Female","","","","","2"
"Yes","1989","Hesse","Male","193","0.332510012734929","0.2909237998089","0.374096225660957","1"
"Yes","1989","Hesse","Female","117","0.194276016639892","0.159562344375751","0.228989688904032","1"
"Yes","1989","Rhineland-Palatinate,Saarland","Male","101","0.271242130809083","0.223844138815537","0.318640122802628","1"
"Yes","1989","Rhineland-Palatinate,Saarland","Female","70","0.179927028367853","0.139968602851266","0.21988545388444","1"
"Yes","1989","Baden-Württemberg","Male","320","0.354864082422533","0.323708159178514","0.386020005666552","1"
"Yes","1989","Baden-Württemberg","Female","203","0.225424164659927","0.19818485591021","0.252663473409644","1"
"Yes","1989","Bavaria","Male","289","0.359814068141415","0.326089187179544","0.393538949103287","1"
"Yes","1989","Bavaria","Female","232","0.262239445360956","0.232133803608532","0.29234508711338","1"
"Yes","1989","Berlin","Male","58","0.342180156129816","0.268666335396981","0.415693976862651","1"
"Yes","1989","Schleswig-Holstein","Male","51","0.310065776922662","0.234783135095226","0.385348418750098","1"
"Yes","1989","Berlin","Female","40","0.241374540765119","0.176859024687473","0.305890056842766","1"
"Yes","1989","Brandenburg","Male","","","","","1"
"Yes","1989","Schleswig-Holstein","Female","28","","","","1"
"Yes","1989","Hamburg","Male","29","","","","1"
"Yes","1989","Hamburg","Female","25","","","","1"
"Yes","1989","Lower Saxony","Male","203","0.421883475784651","0.377656801445502","0.4661101501238","1"
"Yes","1989","Lower Saxony","Female","95","0.163458600025477","0.131490697786453","0.195426502264501","1"
"Yes","1989","Bremen","Male","19","","","","1"
"Yes","1989","Bremen","Female","13","","","","1"
"Yes","1989","North Rhine-Westphalia","Male","464","0.347338115181418","0.321386214192372","0.373290016170465","1"
"Yes","1989","North Rhine-Westphalia","Female","290","0.203143200803951","0.1814056087963","0.224880792811603","1"
"Yes","1989","Brandenburg","Female","","","","","1"
"Yes","1989","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1989","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1989","Saxony","Male","","","","","1"
"Yes","1989","Saxony","Female","","","","","1"
"Yes","1989","Saxony-Anhalt","Male","","","","","1"
"Yes","1989","Saxony-Anhalt","Female","","","","","1"
"Yes","1989","Thuringia","Male","","","","","1"
"Yes","1989","Thuringia","Female","","","","","1"
"No","1990","Schleswig-Holstein","Female","","","","","2"
"No","1990","Schleswig-Holstein","Male","","","","","2"
"No","1990","Hamburg","Male","","","","","2"
"No","1990","Bavaria","Male","","","","","2"
"No","1990","Hamburg","Female","","","","","2"
"No","1990","Lower Saxony","Male","","","","","2"
"No","1990","Lower Saxony","Female","","","","","2"
"No","1990","Bavaria","Female","","","","","2"
"No","1990","North Rhine-Westphalia","Male","","","","","2"
"No","1990","Bremen","Male","","","","","2"
"No","1990","Bremen","Female","","","","","2"
"No","1990","North Rhine-Westphalia","Female","","","","","2"
"No","1990","Hesse","Male","","","","","2"
"No","1990","Rhineland-Palatinate,Saarland","Male","","","","","2"
"No","1990","Hesse","Female","","","","","2"
"No","1990","Rhineland-Palatinate,Saarland","Female","","","","","2"
"No","1990","Brandenburg","Male","","","","","2"
"No","1990","Berlin","Male","","","","","2"
"No","1990","Berlin","Female","","","","","2"
"No","1990","Brandenburg","Female","","","","","2"
"No","1990","Baden-Württemberg","Male","","","","","2"
"No","1990","Baden-Württemberg","Female","","","","","2"
"No","1990","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1990","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1990","Saxony","Male","","","","","2"
"No","1990","Saxony","Female","","","","","2"
"No","1990","Saxony-Anhalt","Male","","","","","2"
"No","1990","Saxony-Anhalt","Female","","","","","2"
"No","1990","Thuringia","Male","","","","","2"
"No","1990","Thuringia","Female","","","","","2"
"Yes","1990","Hesse","Male","","","","","1"
"Yes","1990","Hesse","Female","","","","","1"
"Yes","1990","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1990","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1990","Baden-Württemberg","Male","","","","","1"
"Yes","1990","Baden-Württemberg","Female","","","","","1"
"Yes","1990","Bavaria","Male","","","","","1"
"Yes","1990","Bavaria","Female","","","","","1"
"Yes","1990","Berlin","Male","","","","","1"
"Yes","1990","Berlin","Female","","","","","1"
"Yes","1990","Brandenburg","Male","","","","","1"
"Yes","1990","Schleswig-Holstein","Male","","","","","1"
"Yes","1990","Brandenburg","Female","","","","","1"
"Yes","1990","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1990","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1990","Schleswig-Holstein","Female","","","","","1"
"Yes","1990","Hamburg","Male","","","","","1"
"Yes","1990","Hamburg","Female","","","","","1"
"Yes","1990","Lower Saxony","Male","","","","","1"
"Yes","1990","Lower Saxony","Female","","","","","1"
"Yes","1990","Bremen","Male","","","","","1"
"Yes","1990","Bremen","Female","","","","","1"
"Yes","1990","North Rhine-Westphalia","Male","","","","","1"
"Yes","1990","North Rhine-Westphalia","Female","","","","","1"
"Yes","1990","Saxony","Male","","","","","1"
"Yes","1990","Saxony","Female","","","","","1"
"Yes","1990","Saxony-Anhalt","Male","","","","","1"
"Yes","1990","Saxony-Anhalt","Female","","","","","1"
"Yes","1990","Thuringia","Male","","","","","1"
"Yes","1990","Thuringia","Female","","","","","1"
"No","1991","Schleswig-Holstein","Male","89","0.618870441791432","0.539546729439151","0.698194154143713","2"
"No","1991","Schleswig-Holstein","Female","112","0.755556464295283","0.686551919062436","0.82456100952813","2"
"No","1991","Hamburg","Male","53","0.679975893406215","0.574402236668933","0.785549550143496","2"
"No","1991","Lower Saxony","Male","304","0.645769507217301","0.602803365818295","0.688735648616307","2"
"No","1991","Hamburg","Female","63","0.816379823204333","0.733582789134913","0.899176857273752","2"
"No","1991","Lower Saxony","Female","380","0.808015788788716","0.773354082874075","0.842677494703357","2"
"No","1991","Bavaria","Male","507","0.65948849761254","0.626547705917307","0.692429289307773","2"
"No","1991","North Rhine-Westphalia","Male","794","0.637923184362925","0.611301809661283","0.664544559064568","2"
"No","1991","Bremen","Male","35","0.773292042596447","0.650958095977978","0.895625989214915","2"
"No","1991","Bavaria","Female","607","0.784100248527135","0.755765624879143","0.812434872175126","2"
"No","1991","Bremen","Female","46","0.914791255287095","0.838907379391107","0.990675131183083","2"
"No","1991","North Rhine-Westphalia","Female","1005","0.792849672036584","0.770811186163854","0.814888157909313","2"
"No","1991","Hesse","Male","323","0.698264956324654","0.657456237927689","0.73907367472162","2"
