"ple0044_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Not a day","1988","Full Time","Couple + C. LE and GT 16","215","1","1","1"
"Not a day","1988","Part Time","1-pers.-HH","62","1","1","1"
"Not a day","1988","Part Time","(Married) couple without C. ","152","1","1","1"
"Not a day","1988","Part Time","Single parent ","73","1","1","1"
"Not a day","1988","Part Time","Couple + C. LE 16 ","252","1","1","1"
"Not a day","1988","Part Time","Couple + C. GT 16 ","205","1","1","1"
"Not a day","1988","Part Time","Couple + C. LE and GT 16","139","1","1","1"
"Not a day","1988","Not Working","1-pers.-HH","5","","",""
"Not a day","1988","Not Working","(Married) couple without C. ","2","","",""
"Not a day","1988","Not Working","Single parent ","8","","",""
"Not a day","1988","Not Working","Couple + C. LE 16 ","7","","",""
"Not a day","1988","Not Working","Couple + C. GT 16 ","6","","",""
"Not a day","1988","Not Working","Couple + C. LE and GT 16","5","","",""
"Not a day","1989","Full Time","1-pers.-HH","180","1","1","1"
"Not a day","1989","Full Time","(Married) couple without C. ","445","1","1","1"
"Not a day","1989","Full Time","Single parent ","81","1","1","1"
"Not a day","1989","Full Time","Couple + C. LE 16 ","489","1","1","1"
"Not a day","1989","Full Time","Couple + C. GT 16 ","469","1","1","1"
"Not a day","1989","Full Time","Couple + C. LE and GT 16","202","1","1","1"
"Not a day","1989","Part Time","1-pers.-HH","54","1","1","1"
"Not a day","1989","Part Time","(Married) couple without C. ","146","1","1","1"
"Not a day","1989","Part Time","Single parent ","48","1","1","1"
"Not a day","1989","Part Time","Couple + C. LE 16 ","216","1","1","1"
"Not a day","1989","Part Time","Couple + C. GT 16 ","204","1","1","1"
"Not a day","1989","Part Time","Couple + C. LE and GT 16","105","1","1","1"
"Not a day","1989","Not Working","1-pers.-HH","1","","",""
"Not a day","1989","Not Working","(Married) couple without C. ","4","","",""
"Not a day","1989","Not Working","Single parent ","1","","",""
"Not a day","1989","Not Working","Couple + C. LE 16 ","14","","",""
"Not a day","1989","Not Working","Couple + C. GT 16 ","16","","",""
"Not a day","1989","Not Working","Couple + C. LE and GT 16","1","","",""
"Not a day","1990","Full Time","1-pers.-HH","","","",""
"Not a day","1990","Full Time","(Married) couple without C. ","","","",""
"Not a day","1990","Full Time","Single parent ","","","",""
"Not a day","1990","Full Time","Couple + C. LE 16 ","","","",""
"Not a day","1990","Full Time","Couple + C. GT 16 ","","","",""
"Not a day","1990","Full Time","Couple + C. LE and GT 16","","","",""
"Not a day","1990","Part Time","1-pers.-HH","","","",""
"Not a day","1990","Part Time","(Married) couple without C. ","","","",""
"Not a day","1990","Part Time","Single parent ","","","",""
"Not a day","1990","Part Time","Couple + C. LE 16 ","","","",""
"Not a day","1990","Part Time","Couple + C. GT 16 ","","","",""
"Not a day","1990","Part Time","Couple + C. LE and GT 16","","","",""
"Not a day","1990","Not Working","1-pers.-HH","","","",""
"Not a day","1990","Not Working","(Married) couple without C. ","","","",""
"Not a day","1990","Not Working","Single parent ","","","",""
"Not a day","1990","Not Working","Couple + C. LE 16 ","","","",""
"Not a day","1990","Not Working","Couple + C. GT 16 ","","","",""
"Not a day","1990","Not Working","Couple + C. LE and GT 16","","","",""
"Not a day","1991","Full Time","1-pers.-HH","178","1","1","1"
"Not a day","1991","Full Time","(Married) couple without C. ","384","1","1","1"
"Not a day","1991","Full Time","Single parent ","88","1","1","1"
"Not a day","1991","Full Time","Couple + C. LE 16 ","438","1","1","1"
"Not a day","1991","Full Time","Couple + C. GT 16 ","430","1","1","1"
"Not a day","1991","Full Time","Couple + C. LE and GT 16","174","1","1","1"
"Not a day","1991","Part Time","1-pers.-HH","45","1","1","1"
"Not a day","1991","Part Time","(Married) couple without C. ","146","1","1","1"
"Not a day","1991","Part Time","Single parent ","43","1","1","1"
"Not a day","1991","Part Time","Couple + C. LE 16 ","253","1","1","1"
"Not a day","1991","Part Time","Couple + C. GT 16 ","224","1","1","1"
"Not a day","1991","Part Time","Couple + C. LE and GT 16","102","1","1","1"
"Not a day","1991","Not Working","1-pers.-HH","1","","",""
"Not a day","1991","Not Working","(Married) couple without C. ","7","","",""
"Not a day","1991","Not Working","Single parent ","4","","",""
"Not a day","1991","Not Working","Couple + C. LE 16 ","5","","",""
"Not a day","1991","Not Working","Couple + C. GT 16 ","18","","",""
"Not a day","1991","Not Working","Couple + C. LE and GT 16","5","","",""
"Not a day","1992","Full Time","1-pers.-HH","225","1","1","1"
"Not a day","1992","Full Time","(Married) couple without C. ","620","1","1","1"
"Not a day","1992","Full Time","Single parent ","127","1","1","1"
"Not a day","1992","Full Time","Couple + C. LE 16 ","939","1","1","1"
"Not a day","1992","Full Time","Couple + C. GT 16 ","683","1","1","1"
"Not a day","1992","Full Time","Couple + C. LE and GT 16","277","1","1","1"
"Not a day","1992","Part Time","1-pers.-HH","66","1","1","1"
"Not a day","1992","Part Time","(Married) couple without C. ","219","1","1","1"
"Not a day","1992","Part Time","Single parent ","71","1","1","1"
"Not a day","1992","Part Time","Couple + C. LE 16 ","380","1","1","1"
"Not a day","1992","Part Time","Couple + C. GT 16 ","290","1","1","1"
"Not a day","1992","Part Time","Couple + C. LE and GT 16","124","1","1","1"
"Not a day","1992","Not Working","1-pers.-HH","3","","",""
"Not a day","1992","Not Working","(Married) couple without C. ","13","","",""
"Not a day","1992","Not Working","Single parent ","6","","",""
"Not a day","1992","Not Working","Couple + C. LE 16 ","6","","",""
"Not a day","1992","Not Working","Couple + C. GT 16 ","20","","",""
"Not a day","1992","Not Working","Couple + C. LE and GT 16","4","","",""
"Not a day","1993","Full Time","1-pers.-HH","","","",""
"Not a day","1993","Full Time","(Married) couple without C. ","","","",""
"Not a day","1993","Full Time","Single parent ","","","",""
"Not a day","1993","Full Time","Couple + C. LE 16 ","","","",""
"Not a day","1993","Full Time","Couple + C. GT 16 ","","","",""
"Not a day","1993","Full Time","Couple + C. LE and GT 16","","","",""
"Not a day","1993","Part Time","1-pers.-HH","","","",""
"Not a day","1993","Part Time","(Married) couple without C. ","","","",""
"Not a day","1993","Part Time","Single parent ","","","",""
"Not a day","1993","Part Time","Couple + C. LE 16 ","","","",""
"Not a day","1993","Part Time","Couple + C. GT 16 ","","","",""
"Not a day","1993","Part Time","Couple + C. LE and GT 16","","","",""
"Not a day","1993","Not Working","1-pers.-HH","","","",""
"Not a day","1993","Not Working","(Married) couple without C. ","","","",""
"Not a day","1993","Not Working","Single parent ","","","",""
"Not a day","1993","Not Working","Couple + C. LE 16 ","","","",""
"Not a day","1993","Not Working","Couple + C. GT 16 ","","","",""
"Not a day","1993","Not Working","Couple + C. LE and GT 16","","","",""
"Not a day","1994","Full Time","1-pers.-HH","203","1","1","1"
"Not a day","1994","Full Time","(Married) couple without C. ","594","1","1","1"
"Not a day","1994","Full Time","Single parent ","95","1","1","1"
"Not a day","1994","Full Time","Couple + C. LE 16 ","773","1","1","1"
"Not a day","1994","Full Time","Couple + C. GT 16 ","576","1","1","1"
"Not a day","1994","Full Time","Couple + C. LE and GT 16","264","1","1","1"
"Not a day","1994","Part Time","1-pers.-HH","68","1","1","1"
"Not a day","1994","Part Time","(Married) couple without C. ","211","1","1","1"
"Not a day","1994","Part Time","Single parent ","56","1","1","1"
"Not a day","1994","Part Time","Couple + C. LE 16 ","329","1","1","1"
"Not a day","1994","Part Time","Couple + C. GT 16 ","257","1","1","1"
"Not a day","1994","Part Time","Couple + C. LE and GT 16","124","1","1","1"
"Not a day","1994","Not Working","1-pers.-HH","6","","",""
"Not a day","1994","Not Working","(Married) couple without C. ","17","","",""
"Not a day","1994","Not Working","Single parent ","5","","",""
"Not a day","1994","Not Working","Couple + C. LE 16 ","23","","",""
"Not a day","1994","Not Working","Couple + C. GT 16 ","17","","",""
"Not a day","1994","Not Working","Couple + C. LE and GT 16","7","","",""
"Not a day","1995","Full Time","1-pers.-HH","200","1","1","1"
"Not a day","1995","Full Time","(Married) couple without C. ","579","1","1","1"
"Not a day","1995","Full Time","Single parent ","99","1","1","1"
"Not a day","1995","Full Time","Couple + C. LE 16 ","733","1","1","1"
"Not a day","1995","Full Time","Couple + C. GT 16 ","556","1","1","1"
"Not a day","1995","Full Time","Couple + C. LE and GT 16","282","1","1","1"
"Not a day","1995","Part Time","1-pers.-HH","77","1","1","1"
"Not a day","1995","Part Time","(Married) couple without C. ","256","1","1","1"
"Not a day","1995","Part Time","Single parent ","67","1","1","1"
"Not a day","1995","Part Time","Couple + C. LE 16 ","392","1","1","1"
"Not a day","1995","Part Time","Couple + C. GT 16 ","272","1","1","1"
"Not a day","1995","Part Time","Couple + C. LE and GT 16","126","1","1","1"
"Not a day","1995","Not Working","1-pers.-HH","5","","",""
"Not a day","1995","Not Working","(Married) couple without C. ","11","","",""
"Not a day","1995","Not Working","Single parent ","2","","",""
"Not a day","1995","Not Working","Couple + C. LE 16 ","10","","",""
"Not a day","1995","Not Working","Couple + C. GT 16 ","8","","",""
"Not a day","1995","Not Working","Couple + C. LE and GT 16","8","","",""
"Not a day","1996","Full Time","1-pers.-HH","216","1","1","1"
"Not a day","1996","Full Time","(Married) couple without C. ","570","1","1","1"
"Not a day","1996","Full Time","Single parent ","99","1","1","1"
"Not a day","1996","Full Time","Couple + C. LE 16 ","655","1","1","1"
"Not a day","1996","Full Time","Couple + C. GT 16 ","491","1","1","1"
"Not a day","1996","Full Time","Couple + C. LE and GT 16","247","1","1","1"
"Not a day","1996","Part Time","1-pers.-HH","79","1","1","1"
"Not a day","1996","Part Time","(Married) couple without C. ","266","1","1","1"
"Not a day","1996","Part Time","Single parent ","65","1","1","1"
"Not a day","1996","Part Time","Couple + C. LE 16 ","360","1","1","1"
"Not a day","1996","Part Time","Couple + C. GT 16 ","260","1","1","1"
"Not a day","1996","Part Time","Couple + C. LE and GT 16","146","1","1","1"
"Not a day","1996","Not Working","1-pers.-HH","","","",""
"Not a day","1996","Not Working","(Married) couple without C. ","","","",""
"Not a day","1996","Not Working","Single parent ","1","","",""
"Not a day","1996","Not Working","Couple + C. LE 16 ","8","","",""
"Not a day","1996","Not Working","Couple + C. GT 16 ","8","","",""
"Not a day","1996","Not Working","Couple + C. LE and GT 16","1","","",""
"Not a day","1997","Full Time","1-pers.-HH","201","1","1","1"
"Not a day","1997","Full Time","(Married) couple without C. ","561","1","1","1"
"Not a day","1997","Full Time","Single parent ","104","1","1","1"
"Not a day","1997","Full Time","Couple + C. LE 16 ","659","1","1","1"
"Not a day","1997","Full Time","Couple + C. GT 16 ","506","1","1","1"
"Not a day","1997","Full Time","Couple + C. LE and GT 16","266","1","1","1"
"Not a day","1997","Part Time","1-pers.-HH","89","1","1","1"
"Not a day","1997","Part Time","(Married) couple without C. ","237","1","1","1"
"Not a day","1997","Part Time","Single parent ","75","1","1","1"
"Not a day","1997","Part Time","Couple + C. LE 16 ","340","1","1","1"
"Not a day","1997","Part Time","Couple + C. GT 16 ","259","1","1","1"
"Not a day","1997","Part Time","Couple + C. LE and GT 16","130","1","1","1"
"Not a day","1997","Not Working","1-pers.-HH","2","","",""
"Not a day","1997","Not Working","(Married) couple without C. ","4","","",""
"Not a day","1997","Not Working","Single parent ","3","","",""
"Not a day","1997","Not Working","Couple + C. LE 16 ","6","","",""
"Not a day","1997","Not Working","Couple + C. GT 16 ","5","","",""
"Not a day","1997","Not Working","Couple + C. LE and GT 16","3","","",""
"Not a day","1998","Full Time","1-pers.-HH","256","1","1","1"
"Not a day","1998","Full Time","(Married) couple without C. ","691","1","1","1"
"Not a day","1998","Full Time","Single parent ","110","1","1","1"
"Not a day","1998","Full Time","Couple + C. LE 16 ","686","1","1","1"
"Not a day","1998","Full Time","Couple + C. GT 16 ","548","1","1","1"
"Not a day","1998","Full Time","Couple + C. LE and GT 16","285","1","1","1"
"Not a day","1998","Part Time","1-pers.-HH","96","1","1","1"
"Not a day","1998","Part Time","(Married) couple without C. ","304","1","1","1"
"Not a day","1998","Part Time","Single parent ","88","1","1","1"
"Not a day","1998","Part Time","Couple + C. LE 16 ","394","1","1","1"
"Not a day","1998","Part Time","Couple + C. GT 16 ","265","1","1","1"
"Not a day","1998","Part Time","Couple + C. LE and GT 16","153","1","1","1"
"Not a day","1998","Not Working","1-pers.-HH","","","",""
"Not a day","1998","Not Working","(Married) couple without C. ","2","","",""
"Not a day","1998","Not Working","Single parent ","","","",""
"Not a day","1998","Not Working","Couple + C. LE 16 ","6","","",""
"Not a day","1998","Not Working","Couple + C. GT 16 ","2","","",""
"Not a day","1998","Not Working","Couple + C. LE and GT 16","1","","",""
"Not a day","1999","Full Time","1-pers.-HH","246","1","1","1"
"Not a day","1999","Full Time","(Married) couple without C. ","632","1","1","1"
"Not a day","1999","Full Time","Single parent ","98","1","1","1"
"Not a day","1999","Full Time","Couple + C. LE 16 ","677","1","1","1"
"Not a day","1999","Full Time","Couple + C. GT 16 ","545","1","1","1"
"Not a day","1999","Full Time","Couple + C. LE and GT 16","245","1","1","1"
"Not a day","1999","Part Time","1-pers.-HH","118","1","1","1"
"Not a day","1999","Part Time","(Married) couple without C. ","290","1","1","1"
"Not a day","1999","Part Time","Single parent ","90","1","1","1"
"Not a day","1999","Part Time","Couple + C. LE 16 ","417","1","1","1"
"Not a day","1999","Part Time","Couple + C. GT 16 ","283","1","1","1"
"Not a day","1999","Part Time","Couple + C. LE and GT 16","170","1","1","1"
"Not a day","1999","Not Working","1-pers.-HH","11","","",""
"Not a day","1999","Not Working","(Married) couple without C. ","27","","",""
"Not a day","1999","Not Working","Single parent ","18","","",""
"Not a day","1999","Not Working","Couple + C. LE 16 ","34","1","1","1"
"Not a day","1999","Not Working","Couple + C. GT 16 ","34","1","1","1"
"Not a day","1999","Not Working","Couple + C. LE and GT 16","19","","",""
"Not a day","2000","Full Time","1-pers.-HH","526","1","1","1"
"Not a day","2000","Full Time","(Married) couple without C. ","1136","1","1","1"
"Not a day","2000","Full Time","Single parent ","208","1","1","1"
"Not a day","2000","Full Time","Couple + C. LE 16 ","1166","1","1","1"
"Not a day","2000","Full Time","Couple + C. GT 16 ","830","1","1","1"
"Not a day","2000","Full Time","Couple + C. LE and GT 16","407","1","1","1"
"Not a day","2000","Part Time","1-pers.-HH","258","1","1","1"
"Not a day","2000","Part Time","(Married) couple without C. ","501","1","1","1"
"Not a day","2000","Part Time","Single parent ","151","1","1","1"
"Not a day","2000","Part Time","Couple + C. LE 16 ","724","1","1","1"
"Not a day","2000","Part Time","Couple + C. GT 16 ","482","1","1","1"
"Not a day","2000","Part Time","Couple + C. LE and GT 16","289","1","1","1"
"Not a day","2000","Not Working","1-pers.-HH","8","","",""
"Not a day","2000","Not Working","(Married) couple without C. ","11","","",""
"Not a day","2000","Not Working","Single parent ","2","","",""
"Not a day","2000","Not Working","Couple + C. LE 16 ","16","","",""
"Not a day","2000","Not Working","Couple + C. GT 16 ","14","","",""
"Not a day","2000","Not Working","Couple + C. LE and GT 16","7","","",""
"Not a day","2001","Full Time","1-pers.-HH","439","1","1","1"
"Not a day","2001","Full Time","(Married) couple without C. ","1040","1","1","1"
"Not a day","2001","Full Time","Single parent ","183","1","1","1"
"Not a day","2001","Full Time","Couple + C. LE 16 ","1052","1","1","1"
"Not a day","2001","Full Time","Couple + C. GT 16 ","756","1","1","1"
"Not a day","2001","Full Time","Couple + C. LE and GT 16","360","1","1","1"
"Not a day","2001","Part Time","1-pers.-HH","229","1","1","1"
"Not a day","2001","Part Time","(Married) couple without C. ","509","1","1","1"
"Not a day","2001","Part Time","Single parent ","150","1","1","1"
"Not a day","2001","Part Time","Couple + C. LE 16 ","693","1","1","1"
"Not a day","2001","Part Time","Couple + C. GT 16 ","474","1","1","1"
"Not a day","2001","Part Time","Couple + C. LE and GT 16","289","1","1","1"
"Not a day","2001","Not Working","1-pers.-HH","4","","",""
"Not a day","2001","Not Working","(Married) couple without C. ","4","","",""
"Not a day","2001","Not Working","Single parent ","1","","",""
"Not a day","2001","Not Working","Couple + C. LE 16 ","9","","",""
"Not a day","2001","Not Working","Couple + C. GT 16 ","5","","",""
"Not a day","2001","Not Working","Couple + C. LE and GT 16","6","","",""
"Not a day","2002","Full Time","1-pers.-HH","492","1","1","1"
"Not a day","2002","Full Time","(Married) couple without C. ","1234","1","1","1"
"Not a day","2002","Full Time","Single parent ","164","1","1","1"
"Not a day","2002","Full Time","Couple + C. LE 16 ","1115","1","1","1"
"Not a day","2002","Full Time","Couple + C. GT 16 ","866","1","1","1"
"Not a day","2002","Full Time","Couple + C. LE and GT 16","385","1","1","1"
"Not a day","2002","Part Time","1-pers.-HH","206","1","1","1"
"Not a day","2002","Part Time","(Married) couple without C. ","567","1","1","1"
"Not a day","2002","Part Time","Single parent ","141","1","1","1"
"Not a day","2002","Part Time","Couple + C. LE 16 ","717","1","1","1"
"Not a day","2002","Part Time","Couple + C. GT 16 ","537","1","1","1"
"Not a day","2002","Part Time","Couple + C. LE and GT 16","290","1","1","1"
"Not a day","2002","Not Working","1-pers.-HH","5","","",""
"Not a day","2002","Not Working","(Married) couple without C. ","5","","",""
"Not a day","2002","Not Working","Single parent ","6","","",""
"Not a day","2002","Not Working","Couple + C. LE 16 ","11","","",""
"Not a day","2002","Not Working","Couple + C. GT 16 ","9","","",""
"Not a day","2002","Not Working","Couple + C. LE and GT 16","4","","",""
"Not a day","2003","Full Time","1-pers.-HH","474","1","1","1"
"Not a day","2003","Full Time","(Married) couple without C. ","1111","1","1","1"
"Not a day","2003","Full Time","Single parent ","160","1","1","1"
"Not a day","2003","Full Time","Couple + C. LE 16 ","966","1","1","1"
"Not a day","2003","Full Time","Couple + C. GT 16 ","813","1","1","1"
"Not a day","2003","Full Time","Couple + C. LE and GT 16","355","1","1","1"
"Not a day","2003","Part Time","1-pers.-HH","213","1","1","1"
"Not a day","2003","Part Time","(Married) couple without C. ","596","1","1","1"
"Not a day","2003","Part Time","Single parent ","150","1","1","1"
"Not a day","2003","Part Time","Couple + C. LE 16 ","694","1","1","1"
"Not a day","2003","Part Time","Couple + C. GT 16 ","511","1","1","1"
"Not a day","2003","Part Time","Couple + C. LE and GT 16","290","1","1","1"
"Not a day","2003","Not Working","1-pers.-HH","5","","",""
"Not a day","2003","Not Working","(Married) couple without C. ","6","","",""
"Not a day","2003","Not Working","Single parent ","9","","",""
"Not a day","2003","Not Working","Couple + C. LE 16 ","8","","",""
"Not a day","2003","Not Working","Couple + C. GT 16 ","13","","",""
"Not a day","2003","Not Working","Couple + C. LE and GT 16","6","","",""
"Not a day","2004","Full Time","1-pers.-HH","447","1","1","1"
"Not a day","2004","Full Time","(Married) couple without C. ","1072","1","1","1"
"Not a day","2004","Full Time","Single parent ","150","1","1","1"
"Not a day","2004","Full Time","Couple + C. LE 16 ","903","1","1","1"
"Not a day","2004","Full Time","Couple + C. GT 16 ","837","1","1","1"
"Not a day","2004","Full Time","Couple + C. LE and GT 16","333","1","1","1"
"Not a day","2004","Part Time","1-pers.-HH","229","1","1","1"
"Not a day","2004","Part Time","(Married) couple without C. ","607","1","1","1"
"Not a day","2004","Part Time","Single parent ","144","1","1","1"
"Not a day","2004","Part Time","Couple + C. LE 16 ","683","1","1","1"
"Not a day","2004","Part Time","Couple + C. GT 16 ","529","1","1","1"
"Not a day","2004","Part Time","Couple + C. LE and GT 16","299","1","1","1"
"Not a day","2004","Not Working","1-pers.-HH","7","","",""
"Not a day","2004","Not Working","(Married) couple without C. ","10","","",""
"Not a day","2004","Not Working","Single parent ","4","","",""
"Not a day","2004","Not Working","Couple + C. LE 16 ","9","","",""
"Not a day","2004","Not Working","Couple + C. GT 16 ","10","","",""
"Not a day","2004","Not Working","Couple + C. LE and GT 16","10","","",""
"Not a day","2005","Full Time","1-pers.-HH","454","1","1","1"
"Not a day","2005","Full Time","(Married) couple without C. ","1053","1","1","1"
"Not a day","2005","Full Time","Single parent ","144","1","1","1"
"Not a day","2005","Full Time","Couple + C. LE 16 ","817","1","1","1"
"Not a day","2005","Full Time","Couple + C. GT 16 ","754","1","1","1"
"Not a day","2005","Full Time","Couple + C. LE and GT 16","313","1","1","1"
"Not a day","2005","Part Time","1-pers.-HH","228","1","1","1"
"Not a day","2005","Part Time","(Married) couple without C. ","615","1","1","1"
"Not a day","2005","Part Time","Single parent ","152","1","1","1"
"Not a day","2005","Part Time","Couple + C. LE 16 ","614","1","1","1"
"Not a day","2005","Part Time","Couple + C. GT 16 ","536","1","1","1"
"Not a day","2005","Part Time","Couple + C. LE and GT 16","268","1","1","1"
"Not a day","2005","Not Working","1-pers.-HH","3","","",""
"Not a day","2005","Not Working","(Married) couple without C. ","5","","",""
"Not a day","2005","Not Working","Single parent ","2","","",""
"Not a day","2005","Not Working","Couple + C. LE 16 ","5","","",""
"Not a day","2005","Not Working","Couple + C. GT 16 ","4","","",""
"Not a day","2005","Not Working","Couple + C. LE and GT 16","7","","",""
"Not a day","2006","Full Time","1-pers.-HH","506","1","1","1"
"Not a day","2006","Full Time","(Married) couple without C. ","1132","1","1","1"
"Not a day","2006","Full Time","Single parent ","173","1","1","1"
"Not a day","2006","Full Time","Couple + C. LE 16 ","839","1","1","1"
"Not a day","2006","Full Time","Couple + C. GT 16 ","789","1","1","1"
"Not a day","2006","Full Time","Couple + C. LE and GT 16","312","1","1","1"
"Not a day","2006","Part Time","1-pers.-HH","251","1","1","1"
"Not a day","2006","Part Time","(Married) couple without C. ","689","1","1","1"
"Not a day","2006","Part Time","Single parent ","183","1","1","1"
"Not a day","2006","Part Time","Couple + C. LE 16 ","683","1","1","1"
"Not a day","2006","Part Time","Couple + C. GT 16 ","521","1","1","1"
"Not a day","2006","Part Time","Couple + C. LE and GT 16","266","1","1","1"
"Not a day","2006","Not Working","1-pers.-HH","1","","",""
"Not a day","2006","Not Working","(Married) couple without C. ","5","","",""
"Not a day","2006","Not Working","Single parent ","3","","",""
"Not a day","2006","Not Working","Couple + C. LE 16 ","8","","",""
"Not a day","2006","Not Working","Couple + C. GT 16 ","2","","",""
"Not a day","2006","Not Working","Couple + C. LE and GT 16","1","","",""
"Not a day","2007","Full Time","1-pers.-HH","442","1","1","1"
"Not a day","2007","Full Time","(Married) couple without C. ","1036","1","1","1"
"Not a day","2007","Full Time","Single parent ","144","1","1","1"
"Not a day","2007","Full Time","Couple + C. LE 16 ","797","1","1","1"
"Not a day","2007","Full Time","Couple + C. GT 16 ","753","1","1","1"
"Not a day","2007","Full Time","Couple + C. LE and GT 16","274","1","1","1"
"Not a day","2007","Part Time","1-pers.-HH","258","1","1","1"
"Not a day","2007","Part Time","(Married) couple without C. ","623","1","1","1"
"Not a day","2007","Part Time","Single parent ","175","1","1","1"
"Not a day","2007","Part Time","Couple + C. LE 16 ","605","1","1","1"
"Not a day","2007","Part Time","Couple + C. GT 16 ","493","1","1","1"
"Not a day","2007","Part Time","Couple + C. LE and GT 16","241","1","1","1"
"Not a day","2007","Not Working","1-pers.-HH","8","","",""
"Not a day","2007","Not Working","(Married) couple without C. ","6","","",""
"Not a day","2007","Not Working","Single parent ","6","","",""
"Not a day","2007","Not Working","Couple + C. LE 16 ","4","","",""
"Not a day","2007","Not Working","Couple + C. GT 16 ","5","","",""
"Not a day","2007","Not Working","Couple + C. LE and GT 16","2","","",""
"Not a day","2008","Full Time","1-pers.-HH","434","1","1","1"
"Not a day","2008","Full Time","(Married) couple without C. ","952","1","1","1"
"Not a day","2008","Full Time","Single parent ","141","1","1","1"
"Not a day","2008","Full Time","Couple + C. LE 16 ","685","1","1","1"
"Not a day","2008","Full Time","Couple + C. GT 16 ","706","1","1","1"
"Not a day","2008","Full Time","Couple + C. LE and GT 16","250","1","1","1"
"Not a day","2008","Part Time","1-pers.-HH","220","1","1","1"
"Not a day","2008","Part Time","(Married) couple without C. ","573","1","1","1"
"Not a day","2008","Part Time","Single parent ","169","1","1","1"
