"ple0044_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Not a day","2010","Not Employed","Not Working","50","1","1","1"
"Not a day","2010","Employed","Full Time","3753","1","1","1"
"Not a day","2010","Employed","Part Time","3138","1","1","1"
"Not a day","2010","Employed","Not Working","","","",""
"Not a day","2011","Not Employed","Full Time","","","",""
"Not a day","2011","Not Employed","Part Time","","","",""
"Not a day","2011","Not Employed","Not Working","101","1","1","1"
"Not a day","2011","Employed","Full Time","2396","1","1","1"
"Not a day","2011","Employed","Part Time","2405","1","1","1"
"Not a day","2011","Employed","Not Working","","","",""
"Not a day","2012","Not Employed","Full Time","","","",""
"Not a day","2012","Not Employed","Part Time","","","",""
"Not a day","2012","Not Employed","Not Working","130","1","1","1"
"Not a day","2012","Employed","Full Time","3964","1","1","1"
"Not a day","2012","Employed","Part Time","3438","1","1","1"
"Not a day","2012","Employed","Not Working","","","",""
"Not a day","2013","Not Employed","Full Time","","","",""
"Not a day","2013","Not Employed","Part Time","","","",""
"Not a day","2013","Not Employed","Not Working","1632","1","1","1"
"Not a day","2013","Employed","Full Time","3528","1","1","1"
"Not a day","2013","Employed","Part Time","3110","1","1","1"
"Not a day","2013","Employed","Not Working","","","",""
"Not a day","2014","Not Employed","Full Time","","","",""
"Not a day","2014","Not Employed","Part Time","","","",""
"Not a day","2014","Not Employed","Not Working","913","1","1","1"
"Not a day","2014","Employed","Full Time","3862","1","1","1"
"Not a day","2014","Employed","Part Time","3382","1","1","1"
"Not a day","2014","Employed","Not Working","","","",""
"Not a day","2015","Not Employed","Full Time","","","",""
"Not a day","2015","Not Employed","Part Time","","","",""
"Not a day","2015","Not Employed","Not Working","786","1","1","1"
"Not a day","2015","Employed","Full Time","3425","1","1","1"
"Not a day","2015","Employed","Part Time","2976","1","1","1"
"Not a day","2015","Employed","Not Working","","","",""
"Not a day","2016","Not Employed","Full Time","","","",""
"Not a day","2016","Not Employed","Part Time","","","",""
"Not a day","2016","Not Employed","Not Working","110","1","1","1"
"Not a day","2016","Employed","Full Time","3306","1","1","1"
"Not a day","2016","Employed","Part Time","2969","1","1","1"
"Not a day","2016","Employed","Not Working","","","",""
"Not a day","2017","Not Employed","Full Time","","","",""
"Not a day","2017","Not Employed","Part Time","","","",""
"Not a day","2017","Not Employed","Not Working","119","1","1","1"
"Not a day","2017","Employed","Full Time","3471","1","1","1"
"Not a day","2017","Employed","Part Time","3049","1","1","1"
"Not a day","2017","Employed","Not Working","","","",""
"Not a day","2018","Not Employed","Full Time","","","",""
"Not a day","2018","Not Employed","Part Time","","","",""
"Not a day","2018","Not Employed","Not Working","83","1","1","1"
"Not a day","2018","Employed","Full Time","3180","1","1","1"
"Not a day","2018","Employed","Part Time","3017","1","1","1"
"Not a day","2018","Employed","Not Working","","","",""
"Not a day","2019","Not Employed","Full Time","","","",""
"Not a day","2019","Not Employed","Part Time","","","",""
"Not a day","2019","Not Employed","Not Working","283","1","1","1"
"Not a day","2019","Employed","Full Time","3629","1","1","1"
"Not a day","2019","Employed","Part Time","2772","1","1","1"
"Not a day","2019","Employed","Not Working","","","",""
