"ple0044_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","2002","Part Time","Rural Area","777","1","1","1"
"Not a day","2002","Not Working","Urban Area","23","","",""
"Not a day","2002","Not Working","Rural Area","19","","",""
"Not a day","2003","Full Time","Urban Area","2593","1","1","1"
"Not a day","2003","Full Time","Rural Area","1376","1","1","1"
"Not a day","2003","Part Time","Urban Area","1750","1","1","1"
"Not a day","2003","Part Time","Rural Area","777","1","1","1"
"Not a day","2003","Not Working","Urban Area","25","","",""
"Not a day","2003","Not Working","Rural Area","24","","",""
"Not a day","2004","Full Time","Urban Area","2516","1","1","1"
"Not a day","2004","Full Time","Rural Area","1317","1","1","1"
"Not a day","2004","Part Time","Urban Area","1712","1","1","1"
"Not a day","2004","Part Time","Rural Area","847","1","1","1"
"Not a day","2004","Not Working","Urban Area","32","1","1","1"
"Not a day","2004","Not Working","Rural Area","19","","",""
"Not a day","2005","Full Time","Urban Area","2363","1","1","1"
"Not a day","2005","Full Time","Rural Area","1254","1","1","1"
"Not a day","2005","Part Time","Urban Area","1656","1","1","1"
"Not a day","2005","Part Time","Rural Area","821","1","1","1"
"Not a day","2005","Not Working","Urban Area","13","","",""
"Not a day","2005","Not Working","Rural Area","13","","",""
"Not a day","2006","Full Time","Urban Area","2484","1","1","1"
"Not a day","2006","Full Time","Rural Area","1342","1","1","1"
"Not a day","2006","Part Time","Urban Area","1723","1","1","1"
"Not a day","2006","Part Time","Rural Area","948","1","1","1"
"Not a day","2006","Not Working","Urban Area","13","","",""
"Not a day","2006","Not Working","Rural Area","9","","",""
"Not a day","2007","Full Time","Urban Area","2254","1","1","1"
"Not a day","2007","Full Time","Rural Area","1256","1","1","1"
"Not a day","2007","Part Time","Urban Area","1631","1","1","1"
"Not a day","2007","Part Time","Rural Area","819","1","1","1"
"Not a day","2007","Not Working","Urban Area","19","","",""
"Not a day","2007","Not Working","Rural Area","12","","",""
"Not a day","2008","Full Time","Urban Area","2058","1","1","1"
"Not a day","2008","Full Time","Rural Area","1159","1","1","1"
"Not a day","2008","Part Time","Urban Area","1467","1","1","1"
"Not a day","2008","Part Time","Rural Area","749","1","1","1"
"Not a day","2008","Not Working","Urban Area","25","","",""
"Not a day","2008","Not Working","Rural Area","18","","",""
"Not a day","2009","Full Time","Urban Area","1844","1","1","1"
"Not a day","2009","Full Time","Rural Area","1054","1","1","1"
"Not a day","2009","Part Time","Urban Area","1339","1","1","1"
"Not a day","2009","Part Time","Rural Area","663","1","1","1"
"Not a day","2009","Not Working","Urban Area","21","","",""
"Not a day","2009","Not Working","Rural Area","14","","",""
"Not a day","2010","Full Time","Urban Area","2349","1","1","1"
"Not a day","2010","Full Time","Rural Area","1404","1","1","1"
"Not a day","2010","Part Time","Urban Area","2029","1","1","1"
"Not a day","2010","Part Time","Rural Area","1109","1","1","1"
"Not a day","2010","Not Working","Urban Area","28","","",""
"Not a day","2010","Not Working","Rural Area","22","","",""
"Not a day","2011","Full Time","Urban Area","1508","1","1","1"
"Not a day","2011","Full Time","Rural Area","888","1","1","1"
"Not a day","2011","Part Time","Urban Area","1545","1","1","1"
"Not a day","2011","Part Time","Rural Area","860","1","1","1"
"Not a day","2011","Not Working","Urban Area","65","1","1","1"
"Not a day","2011","Not Working","Rural Area","36","1","1","1"
"Not a day","2012","Full Time","Urban Area","2428","1","1","1"
"Not a day","2012","Full Time","Rural Area","1536","1","1","1"
"Not a day","2012","Part Time","Urban Area","2214","1","1","1"
"Not a day","2012","Part Time","Rural Area","1224","1","1","1"
"Not a day","2012","Not Working","Urban Area","85","1","1","1"
"Not a day","2012","Not Working","Rural Area","45","1","1","1"
"Not a day","2013","Full Time","Urban Area","2160","1","1","1"
"Not a day","2013","Full Time","Rural Area","1368","1","1","1"
"Not a day","2013","Part Time","Urban Area","2005","1","1","1"
"Not a day","2013","Part Time","Rural Area","1105","1","1","1"
"Not a day","2013","Not Working","Urban Area","1235","1","1","1"
"Not a day","2013","Not Working","Rural Area","397","1","1","1"
"Not a day","2014","Full Time","Urban Area","2467","1","1","1"
"Not a day","2014","Full Time","Rural Area","1395","1","1","1"
"Not a day","2014","Part Time","Urban Area","2250","1","1","1"
"Not a day","2014","Part Time","Rural Area","1132","1","1","1"
"Not a day","2014","Not Working","Urban Area","705","1","1","1"
"Not a day","2014","Not Working","Rural Area","208","1","1","1"
"Not a day","2015","Full Time","Urban Area","2187","1","1","1"
"Not a day","2015","Full Time","Rural Area","1238","1","1","1"
"Not a day","2015","Part Time","Urban Area","1902","1","1","1"
"Not a day","2015","Part Time","Rural Area","1074","1","1","1"
"Not a day","2015","Not Working","Urban Area","563","1","1","1"
"Not a day","2015","Not Working","Rural Area","223","1","1","1"
"Not a day","2016","Full Time","Urban Area","2086","1","1","1"
"Not a day","2016","Full Time","Rural Area","1220","1","1","1"
"Not a day","2016","Part Time","Urban Area","1959","1","1","1"
"Not a day","2016","Part Time","Rural Area","1010","1","1","1"
"Not a day","2016","Not Working","Urban Area","73","1","1","1"
"Not a day","2016","Not Working","Rural Area","37","1","1","1"
"Not a day","2017","Full Time","Urban Area","2196","1","1","1"
"Not a day","2017","Full Time","Rural Area","1275","1","1","1"
"Not a day","2017","Part Time","Urban Area","1998","1","1","1"
"Not a day","2017","Part Time","Rural Area","1051","1","1","1"
"Not a day","2017","Not Working","Urban Area","85","1","1","1"
"Not a day","2017","Not Working","Rural Area","34","1","1","1"
"Not a day","2018","Full Time","Urban Area","1966","1","1","1"
"Not a day","2018","Full Time","Rural Area","1214","1","1","1"
"Not a day","2018","Part Time","Urban Area","1974","1","1","1"
"Not a day","2018","Part Time","Rural Area","1043","1","1","1"
"Not a day","2018","Not Working","Urban Area","67","1","1","1"
"Not a day","2018","Not Working","Rural Area","16","","",""
"Not a day","2019","Full Time","Urban Area","2179","1","1","1"
"Not a day","2019","Full Time","Rural Area","1288","1","1","1"
"Not a day","2019","Part Time","Urban Area","1704","1","1","1"
"Not a day","2019","Part Time","Rural Area","927","1","1","1"
"Not a day","2019","Not Working","Urban Area","174","1","1","1"
"Not a day","2019","Not Working","Rural Area","93","1","1","1"
