"ple0044_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1994","East Germany","Female","1448","0.779124619063477","0.760838485990911","0.797410752136044","2"
"Yes","1994","West Germany","Male","1583","0.350150164680898","0.336057079372339","0.364243249989458","1"
"Yes","1994","West Germany","Female","1001","0.188131087135385","0.176914982328783","0.199347191941986","1"
"Yes","1994","East Germany","Female","529","0.220875380936523","0.202589247863957","0.239161514009089","1"
"Yes","1994","East Germany","Male","739","0.361038594719755","0.338788303279014","0.383288886160496","1"
"No","1995","West Germany","Female","3744","0.804185864557665","0.792980785360202","0.815390943755128","2"
"No","1995","East Germany","Male","1013","0.625026472509535","0.60214766535216","0.64790527966691","2"
"No","1995","East Germany","Female","1366","0.769093092838225","0.750114412047099","0.78807177362935","2"
"No","1995","West Germany","Male","2935","0.663922032188549","0.650161938038777","0.677682126338321","2"
"Yes","1995","East Germany","Female","528","0.230906907161775","0.21192822637065","0.249885587952901","1"
"Yes","1995","West Germany","Male","1592","0.336077967811451","0.322317873661679","0.349838061961223","1"
"Yes","1995","West Germany","Female","1074","0.195814135442335","0.184609056244872","0.207019214639798","1"
"Yes","1995","East Germany","Male","707","0.374973527490465","0.35209472033309","0.39785233464784","1"
"No","1996","West Germany","Female","3639","0.800321023416003","0.788898381541491","0.811743665290515","2"
"No","1996","East Germany","Male","1063","0.667360079378788","0.644856876080879","0.689863282676696","2"
"No","1996","East Germany","Female","1378","0.79143548882577","0.772876719960085","0.809994257691455","2"
"No","1996","West Germany","Male","2882","0.661178128971408","0.647185039562019","0.675171218380797","2"
"Yes","1996","East Germany","Female","463","0.20856451117423","0.190005742308545","0.227123280039915","1"
"Yes","1996","West Germany","Male","1513","0.338821871028592","0.324828781619203","0.352814960437981","1"
"Yes","1996","West Germany","Female","1066","0.199678976583997","0.188256334709485","0.211101618458509","1"
"Yes","1996","East Germany","Male","621","0.332639920621212","0.310136717323304","0.355143123919121","1"
"No","1997","West Germany","Female","3587","0.808153470326052","0.796769808756389","0.819537131895715","2"
"No","1997","West Germany","Male","2811","0.662012198865906","0.647908290851017","0.676116106880795","2"
"No","1997","East Germany","Male","1054","0.670034523268099","0.647563754173149","0.69250529236305","2"
"No","1997","East Germany","Female","1315","0.779019272851339","0.759873137504753","0.798165408197925","2"
"Yes","1997","West Germany","Male","1510","0.337987801134094","0.323883893119205","0.352091709148983","1"
"Yes","1997","West Germany","Female","1009","0.191846529673948","0.180462868104285","0.203230191243611","1"
"Yes","1997","East Germany","Male","628","0.329965476731901","0.30749470763695","0.352436245826851","1"
"Yes","1997","East Germany","Female","489","0.220980727148661","0.201834591802075","0.240126862495246","1"
"No","1998","West Germany","Female","3999","0.803571078155914","0.792743440892148","0.814398715419679","2"
"No","1998","East Germany","Female","1407","0.781046662773345","0.762476535679822","0.799616789866867","2"
"No","1998","West Germany","Male","3134","0.661014085079129","0.64765887832645","0.674369291831808","2"
"No","1998","East Germany","Male","1099","0.641432626200574","0.619283727188477","0.663581525212671","2"
"Yes","1998","West Germany","Male","1692","0.338985914920871","0.325630708168192","0.35234112167355","1"
"Yes","1998","West Germany","Female","1173","0.196428921844086","0.185601284580321","0.207256559107852","1"
"Yes","1998","East Germany","Male","702","0.358567373799426","0.336418474787329","0.380716272811523","1"
"Yes","1998","East Germany","Female","498","0.218953337226655","0.200383210133133","0.237523464320178","1"
"No","1999","West Germany","Female","3704","0.783010136360804","0.771501704332903","0.794518568388705","2"
"No","1999","East Germany","Female","1356","0.754083364728109","0.734674239562277","0.773492489893942","2"
"No","1999","West Germany","Male","2949","0.650614010054397","0.636859990434406","0.664368029674389","2"
"No","1999","East Germany","Male","1102","0.651248634712982","0.628939203181801","0.673558066244162","2"
"Yes","1999","West Germany","Male","1667","0.349385989945602","0.335631970325611","0.363140009565594","1"
"Yes","1999","West Germany","Female","1224","0.216989863639196","0.205481431611295","0.228498295667097","1"
"Yes","1999","East Germany","Male","651","0.348751365287018","0.326441933755838","0.371060796818199","1"
"Yes","1999","East Germany","Female","535","0.245916635271891","0.226507510106058","0.265325760437723","1"
"No","2000","West Germany","Female","6961","0.770577082620619","0.762001649099972","0.779152516141266","2"
"No","2000","East Germany","Female","2210","0.770084225246296","0.754989353696879","0.785179096795713","2"
"No","2000","West Germany","Male","5593","0.661946534630621","0.651889537436162","0.672003531825081","2"
"No","2000","East Germany","Male","1698","0.646208876074509","0.628170120466254","0.664247631682764","2"
"Yes","2000","West Germany","Female","2274","0.229422917379381","0.220847483858734","0.237998350900028","1"
"Yes","2000","East Germany","Male","1001","0.353791123925491","0.335752368317236","0.371829879533746","1"
"Yes","2000","East Germany","Female","775","0.229915774753704","0.214820903204287","0.245010646303121","1"
"Yes","2000","West Germany","Male","2906","0.338053465369379","0.327996468174919","0.348110462563838","1"
"No","2001","West Germany","Female","6246","0.760258289022436","0.75112196986483","0.769394608180041","2"
"No","2001","East Germany","Female","2057","0.77809065277765","0.762548874046929","0.793632431508371","2"
"No","2001","West Germany","Male","5051","0.654739681246423","0.644129667693733","0.665349694799114","2"
"No","2001","East Germany","Male","1647","0.664136682639235","0.64579841106059","0.68247495421788","2"
"Yes","2001","West Germany","Female","2142","0.239741710977564","0.230605391819959","0.24887803013517","1"
"Yes","2001","East Germany","Male","901","0.335863317360765","0.31752504578212","0.35420158893941","1"
"Yes","2001","East Germany","Female","689","0.22190934722235","0.206367568491629","0.237451125953071","1"
"Yes","2001","West Germany","Male","2663","0.345260318753577","0.334650305200886","0.355870332306267","1"
"No","2002","West Germany","Male","5264","0.662765815622255","0.652561772823957","0.672969858420554","2"
"No","2002","West Germany","Female","6562","0.764433720766554","0.755611609164196","0.773255832368912","2"
"No","2002","East Germany","Female","2022","0.782726982536853","0.767206282734218","0.798247682339488","2"
"No","2002","East Germany","Male","1601","0.656738608137328","0.63829215166693","0.675185064607727","2"
"Yes","2002","West Germany","Female","2326","0.235566279233446","0.226744167631088","0.244388390835804","1"
"Yes","2002","West Germany","Male","2982","0.337234184377745","0.327030141579446","0.347438227176043","1"
"Yes","2002","East Germany","Male","944","0.343261391862672","0.324814935392273","0.36170784833307","1"
"Yes","2002","East Germany","Female","690","0.217273017463147","0.201752317660512","0.232793717265782","1"
"No","2003","East Germany","Female","2038","0.786944425973138","0.771525217840575","0.802363634105701","2"
"No","2003","West Germany","Male","5106","0.662306539809481","0.651871348001565","0.672741731617396","2"
"No","2003","West Germany","Female","6326","0.773320732030965","0.764424213702208","0.782217250359722","2"
"No","2003","East Germany","Male","1602","0.662981747437883","0.644489541235785","0.681473953639982","2"
"Yes","2003","West Germany","Female","2182","0.226679267969035","0.217782749640278","0.235575786297792","1"
"Yes","2003","East Germany","Female","671","0.213055574026862","0.197636365894299","0.228474782159425","1"
"Yes","2003","West Germany","Male","2784","0.337693460190519","0.327258268382604","0.348128651998435","1"
"Yes","2003","East Germany","Male","908","0.337018252562117","0.318526046360018","0.355510458764215","1"
"No","2004","East Germany","Female","1987","0.789775994589814","0.774311714716568","0.805240274463061","2"
"No","2004","West Germany","Male","5029","0.676616253294104","0.666181798832107","0.687050707756101","2"
"No","2004","West Germany","Female","6104","0.758011550773988","0.748808162195608","0.767214939352368","2"
"No","2004","East Germany","Male","1560","0.659171329947484","0.640275021007828","0.678067638887141","2"
"Yes","2004","West Germany","Female","2215","0.241988449226012","0.232785060647632","0.251191837804392","1"
"Yes","2004","East Germany","Female","680","0.210224005410185","0.194759725536939","0.225688285283432","1"
"Yes","2004","West Germany","Male","2691","0.323383746705896","0.312949292243899","0.333818201167893","1"
"Yes","2004","East Germany","Male","857","0.340828670052516","0.321932361112859","0.359724978992172","1"
"No","2005","West Germany","Male","4847","0.671680758945386","0.660940583437822","0.68242093445295","2"
"No","2005","West Germany","Female","5891","0.753819687610651","0.744399868253812","0.76323950696749","2"
"No","2005","East Germany","Male","1551","0.668616607044617","0.64964978057952","0.687583433509713","2"
"No","2005","East Germany","Female","1884","0.779805207335373","0.763718774097779","0.795891640572966","2"
"Yes","2005","West Germany","Female","2143","0.246180312389349","0.23676049303251","0.255600131746188","1"
"Yes","2005","East Germany","Female","665","0.220194792664627","0.204108359427034","0.236281225902221","1"
"Yes","2005","West Germany","Male","2497","0.328319241054614","0.31757906554705","0.339059416562178","1"
"Yes","2005","East Germany","Male","815","0.331383392955383","0.312416566490287","0.35035021942048","1"
"No","2006","West Germany","Male","5196","0.676844387238804","0.666470812116406","0.687217962361202","2"
"No","2006","West Germany","Female","6263","0.750691944802381","0.741545028220086","0.759838861384675","2"
"No","2006","East Germany","Male","1602","0.647829860614693","0.628958681797547","0.666701039431838","2"
"No","2006","East Germany","Female","1957","0.764143651458616","0.748055820740132","0.780231482177099","2"
"Yes","2006","West Germany","Female","2330","0.249308055197619","0.240161138615325","0.258454971779914","1"
"Yes","2006","East Germany","Female","718","0.235856348541384","0.219768517822901","0.251944179259868","1"
"Yes","2006","West Germany","Male","2612","0.323155612761196","0.312782037638798","0.333529187883594","1"
"Yes","2006","East Germany","Male","859","0.352170139385307","0.333298960568162","0.371041318202453","1"
"No","2007","West Germany","Male","4796","0.667043701758817","0.65617017093466","0.677917232582974","2"
"No","2007","West Germany","Female","5874","0.763606587055327","0.754283047590485","0.772930126520169","2"
"No","2007","East Germany","Male","1551","0.660247569034476","0.641082129707761","0.679413008361191","2"
"No","2007","East Germany","Female","1851","0.756290088249356","0.739541268208363","0.773038908290349","2"
"Yes","2007","West Germany","Male","2420","0.332956298241183","0.322082767417026","0.343829829065339","1"
"Yes","2007","West Germany","Female","2103","0.236393412944673","0.227069873479831","0.245716952409515","1"
"Yes","2007","East Germany","Female","673","0.243709911750644","0.226961091709651","0.260458731791637","1"
"Yes","2007","East Germany","Male","795","0.339752430965524","0.320586991638809","0.358917870292239","1"
"No","2008","West Germany","Female","5626","0.767602008462883","0.758081252581767","0.777122764344","2"
"No","2008","East Germany","Male","1515","0.673217161608284","0.653819453288781","0.692614869927788","2"
"No","2008","East Germany","Female","1788","0.761370788618419","0.744395352924353","0.778346224312484","2"
"No","2008","West Germany","Male","4636","0.676813788026244","0.665708242227402","0.687919333825085","2"
"Yes","2008","East Germany","Female","634","0.238629211381581","0.221653775687516","0.255604647075647","1"
"Yes","2008","West Germany","Male","2177","0.323186211973756","0.312080666174915","0.334291757772598","1"
"Yes","2008","West Germany","Female","1934","0.232397991537117","0.222877235656001","0.241918747418233","1"
"Yes","2008","East Germany","Male","731","0.326782838391716","0.307385130072212","0.346180546711219","1"
"No","2009","West Germany","Female","5200","0.76027668972442","0.750255705638972","0.770297673809867","2"
"No","2009","East Germany","Male","1473","0.684208406767597","0.664500508348375","0.70391630518682","2"
"No","2009","East Germany","Female","1754","0.772467122756001","0.755352209289926","0.789582036222076","2"
"No","2009","West Germany","Male","4376","0.696876137322417","0.685548482142518","0.708203792502317","2"
"Yes","2009","East Germany","Female","551","0.227532877243999","0.210417963777924","0.244647790710074","1"
"Yes","2009","West Germany","Male","1948","0.303123862677583","0.291796207497683","0.314451517857482","1"
"Yes","2009","West Germany","Female","1772","0.23972331027558","0.229702326190133","0.249744294361028","1"
"Yes","2009","East Germany","Male","664","0.315791593232403","0.29608369481318","0.335499491651625","1"
"No","2010","West Germany","Female","7412","0.765009588223326","0.756718941679022","0.77330023476763","2"
"No","2010","West Germany","Male","5623","0.691184970970526","0.681256440108459","0.701113501832592","2"
"No","2010","East Germany","Male","1625","0.679966290548084","0.661588129895924","0.698344451200244","2"
"No","2010","East Germany","Female","2181","0.758761890677784","0.743302140562905","0.774221640792663","2"
"Yes","2010","West Germany","Male","2695","0.308815029029474","0.298886498167408","0.318743559891541","1"
"Yes","2010","West Germany","Female","2635","0.234990411776674","0.22669976523237","0.243281058320979","1"
"Yes","2010","East Germany","Male","850","0.320033709451916","0.301655548799756","0.338411870104076","1"
"Yes","2010","East Germany","Female","761","0.241238109322216","0.225778359207337","0.256697859437095","1"
"No","2011","West Germany","Female","7403","0.827439293145306","0.819831622956827","0.835046963333786","2"
"No","2011","East Germany","Female","1987","0.855518622691117","0.841619806162757","0.869417439219478","2"
"No","2011","West Germany","Male","5321","0.772871761004727","0.763196099417942","0.782547422591513","2"
"No","2011","East Germany","Male","1428","0.772626429296808","0.753794992026338","0.791457866567279","2"
"Yes","2011","West Germany","Male","1882","0.227128238995273","0.217452577408487","0.236803900582058","1"
"Yes","2011","West Germany","Female","2074","0.172560706854694","0.164953036666214","0.180168377043173","1"
"Yes","2011","East Germany","Male","475","0.227373570703192","0.208542133432721","0.246205007973662","1"
"Yes","2011","East Germany","Female","471","0.144481377308883","0.130582560780522","0.158380193837243","1"
"No","2012","West Germany","Female","8696","0.771722507398887","0.764108074186806","0.779336940610967","2"
"No","2012","East Germany","Female","2491","0.77277225938897","0.758548259829944","0.786996258947996","2"
"No","2012","West Germany","Male","6801","0.714351465629065","0.705320936869746","0.723381994388384","2"
"No","2012","East Germany","Male","1885","0.66870370632291","0.651229206226468","0.686178206419353","2"
"Yes","2012","West Germany","Male","2811","0.285648534370935","0.276618005611616","0.294679063130254","1"
"Yes","2012","West Germany","Female","2976","0.228277492601113","0.220663059389033","0.235891925813194","1"
"Yes","2012","East Germany","Male","902","0.33129629367709","0.313821793580647","0.348770793773532","1"
"Yes","2012","East Germany","Female","843","0.22722774061103","0.213003741052004","0.241451740170056","1"
"No","2013","West Germany","Female","9849","0.778868731029029","0.771803677796914","0.785933784261143","2"
"No","2013","East Germany","Female","2504","0.777025067602871","0.762836380818061","0.791213754387681","2"
"No","2013","West Germany","Male","7902","0.734407900681874","0.726184443095073","0.742631358268675","2"
"No","2013","East Germany","Male","1882","0.685627178788187","0.668325489364384","0.70292886821199","2"
"Yes","2013","West Germany","Female","3406","0.221131268970971","0.214066215738857","0.228196322203086","1"
"Yes","2013","East Germany","Male","884","0.314372821211813","0.29707113178801","0.331674510635616","1"
"Yes","2013","East Germany","Female","802","0.222974932397129","0.208786245612319","0.237163619181939","1"
"Yes","2013","West Germany","Male","3178","0.265592099318126","0.257368641731325","0.273815556904927","1"
"No","2014","West Germany","Female","8038","0.750868206912904","0.742960225979128","0.758776187846679","2"
"No","2014","East Germany","Female","2261","0.775371669962514","0.76047985385594","0.790263486069088","2"
"No","2014","West Germany","Male","6637","0.698602617248855","0.689519112820994","0.707686121676716","2"
"No","2014","East Germany","Male","1735","0.681795235197866","0.663598779543651","0.699991690852081","2"
"Yes","2014","West Germany","Female","3453","0.249131793087096","0.241223812153321","0.257039774020872","1"
"Yes","2014","East Germany","Male","782","0.318204764802134","0.300008309147919","0.336401220456349","1"
"Yes","2014","East Germany","Female","756","0.224628330037486","0.209736513930912","0.23952014614406","1"
"Yes","2014","West Germany","Male","3166","0.301397382751145","0.292313878323284","0.310480887179006","1"
"No","2015","West Germany","Male","6882","0.723098101849882","0.714217537694383","0.731978666005381","2"
"No","2015","West Germany","Female","8623","0.77944230768916","0.771861381452373","0.787023233925947","2"
"No","2015","East Germany","Female","2213","0.766103116227843","0.750757316869216","0.78144891558647","2"
"No","2015","East Germany","Male","1710","0.689079399084572","0.670743518721398","0.707415279447746","2"
"Yes","2015","West Germany","Female","2868","0.22055769231084","0.212976766074053","0.228138618547627","1"
"Yes","2015","West Germany","Male","2871","0.276901898150118","0.268021333994619","0.285782462305617","1"
"Yes","2015","East Germany","Male","738","0.310920600915428","0.292584720552254","0.329256481278602","1"
"Yes","2015","East Germany","Female","710","0.233896883772157","0.21855108441353","0.249242683130784","1"
"No","2016","East Germany","Female","2116","0.782935795701109","0.767466053085193","0.798405538317025","2"
"No","2016","West Germany","Male","6238","0.721737302468995","0.712347935338177","0.731126669599813","2"
"No","2016","West Germany","Female","7768","0.772561439754198","0.764495155325088","0.780627724183307","2"
"No","2016","East Germany","Male","1599","0.690447902360108","0.671358170506102","0.709537634214115","2"
"Yes","2016","West Germany","Female","2606","0.227438560245802","0.219372275816693","0.235504844674912","1"
"Yes","2016","East Germany","Female","612","0.217064204298891","0.201594461682975","0.232533946914807","1"
"Yes","2016","West Germany","Male","2513","0.278262697531005","0.268873330400187","0.287652064661823","1"
"Yes","2016","East Germany","Male","654","0.309552097639892","0.290462365785886","0.328641829493898","1"
"No","2017","East Germany","Female","2363","0.800581930422657","0.786286401153947","0.814877459691368","2"
"No","2017","West Germany","Male","6980","0.729146275536113","0.720267203387532","0.738025347684694","2"
"No","2017","West Germany","Female","8591","0.785164583741201","0.777570159705963","0.792759007776438","2"
"No","2017","East Germany","Male","1838","0.728096320273683","0.710833580787777","0.745359059759588","2"
"Yes","2017","West Germany","Female","2644","0.214835416258799","0.207240992223562","0.222429840294037","1"
"Yes","2017","East Germany","Female","638","0.199418069577343","0.185122540308632","0.213713598846054","1"
"Yes","2017","West Germany","Male","2643","0.270853724463887","0.261974652315306","0.279732796612468","1"
"Yes","2017","East Germany","Male","714","0.271903679726317","0.254640940240412","0.289166419212223","1"
"No","2018","West Germany","Male","6781","0.742318793212008","0.733397315521124","0.751240270902891","2"
"No","2018","West Germany","Female","8270","0.793715016866582","0.7860885916866","0.801341442046565","2"
"No","2018","East Germany","Male","1843","0.724919107360958","0.707449376420485","0.742388838301431","2"
"No","2018","East Germany","Female","2327","0.800311460646444","0.78587331130387","0.814749609989018","2"
"Yes","2018","West Germany","Female","2544","0.206284983133418","0.198658557953435","0.2139114083134","1"
"Yes","2018","East Germany","Female","618","0.199688539353556","0.185250390010982","0.21412668869613","1"
"Yes","2018","West Germany","Male","2451","0.257681206787992","0.248759729097109","0.266602684478876","1"
"Yes","2018","East Germany","Male","667","0.275080892639042","0.257611161698569","0.292550623579515","1"
"No","2019","West Germany","Male","6763","0.73595809343393","0.72710208108173","0.74481410578613","2"
"No","2019","West Germany","Female","7987","0.798684312051102","0.790996259689443","0.806372364412761","2"
"No","2019","East Germany","Male","1799","0.733757631984196","0.716794376740718","0.750720887227674","2"
"No","2019","East Germany","Female","2235","0.82677400194031","0.812943001595881","0.84060500228474","2"
"Yes","2019","West Germany","Female","2463","0.201315687948898","0.193627635587239","0.209003740310558","1"
"Yes","2019","East Germany","Female","641","0.17322599805969","0.15939499771526","0.187056998404119","1"
"Yes","2019","West Germany","Male","2755","0.26404190656607","0.25518589421387","0.27289791891827","1"
"Yes","2019","East Germany","Male","809","0.266242368015804","0.249279112772326","0.283205623259282","1"
