"ple0044_h","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","1992","Female","1827","0.228450594716414","0.218480740950662","0.238420448482165","1"
"No","1993","Male","","","","","2"
"No","1993","Female","","","","","2"
"Yes","1993","Male","","","","","1"
"Yes","1993","Female","","","","","1"
"No","1994","Male","3869","0.647677174803295","0.635777985466472","0.659576364140118","2"
"No","1994","Female","5111","0.805452653314038","0.795932059974419","0.814973246653656","2"
"Yes","1994","Male","2322","0.352322825196705","0.340423635859882","0.364222014533528","1"
"Yes","1994","Female","1530","0.194547346685962","0.185026753346344","0.204067940025581","1"
"No","1995","Male","3948","0.656374096059277","0.644597195654968","0.668150996463586","2"
"No","1995","Female","5110","0.797391830127953","0.787776006592739","0.807007653663166","2"
"Yes","1995","Male","2299","0.343625903940723","0.331849003536414","0.355402804345032","1"
"Yes","1995","Female","1602","0.202608169872047","0.192992346336834","0.212223993407261","1"
"No","1996","Male","3945","0.662348841304955","0.650460821170247","0.674236861439664","2"
"No","1996","Female","5017","0.798656999995139","0.788942767142256","0.808371232848022","2"
"Yes","1996","Male","2134","0.337651158695045","0.325763138560336","0.349539178829753","1"
"Yes","1996","Female","1529","0.201343000004861","0.191628767151978","0.211057232857744","1"
"No","1997","Male","3865","0.663547729681989","0.651595147602289","0.67550031176169","2"
"No","1997","Female","4902","0.802768486123358","0.793019904871392","0.812517067375324","2"
"Yes","1997","Male","2138","0.336452270318011","0.32449968823831","0.348404852397711","1"
"Yes","1997","Female","1498","0.197231513876642","0.187482932624676","0.206980095128608","1"
"No","1998","Male","4233","0.657212818908418","0.645785222209861","0.668640415606976","2"
"No","1998","Female","5406","0.799346085087048","0.790015374089056","0.808676796085039","2"
"Yes","1998","Male","2394","0.342787181091581","0.331359584393024","0.354214777790139","1"
"Yes","1998","Female","1671","0.200653914912953","0.191323203914961","0.209984625910944","1"
"No","1999","Male","4051","0.650734696497946","0.639026441554082","0.66244295144181","2"
"No","1999","Female","5060","0.77762353117945","0.767753537884332","0.787493524474568","2"
"Yes","1999","Male","2318","0.349265303502054","0.33755704855819","0.360973558445918","1"
"Yes","1999","Female","1759","0.22237646882055","0.212506475525432","0.232246462115668","1"
"No","2000","Male","7291","0.658976963415972","0.650196754807485","0.667757172024458","2"
"No","2000","Female","9171","0.770482525392638","0.763026596403981","0.777938454381295","2"
"Yes","2000","Male","3907","0.341023036584028","0.332242827975542","0.349803245192515","1"
"Yes","2000","Female","3049","0.229517474607362","0.222061545618705","0.23697340359602","1"
"No","2001","Male","6698","0.656520266284465","0.647332568249852","0.665707964319077","2"
"No","2001","Female","8303","0.763580401277762","0.755688318952202","0.771472483603322","2"
"Yes","2001","Male","3564","0.343479733715535","0.334292035680923","0.352667431750148","1"
"Yes","2001","Female","2831","0.236419598722238","0.228527516396678","0.244311681047798","1"
"No","2002","Male","6865","0.661624531958429","0.65269718365213","0.670551880264728","2"
"No","2002","Female","8584","0.767831578132626","0.760148174375694","0.775514981889557","2"
"Yes","2002","Male","3926","0.338375468041571","0.329448119735272","0.34730281634787","1"
"Yes","2002","Female","3016","0.232168421867374","0.224485018110443","0.239851825624306","1"
"No","2003","Male","6708","0.662434359107996","0.653346073549989","0.671522644666004","2"
"No","2003","Female","8364","0.775861172813273","0.768143963354253","0.783578382272293","2"
"Yes","2003","Male","3692","0.337565640892004","0.328477355333996","0.346653926450011","1"
"Yes","2003","Female","2853","0.224138827186727","0.216421617727707","0.231856036645747","1"
"No","2004","Male","6589","0.673381747111133","0.664252304487718","0.682511189734549","2"
"No","2004","Female","8091","0.763848429546787","0.75590647663575","0.771790382457823","2"
"Yes","2004","Male","3548","0.326618252888867","0.317488810265451","0.335747695512282","1"
"Yes","2004","Female","2895","0.236151570453213","0.228209617542177","0.24409352336425","1"
"No","2005","Male","6398","0.671106060994573","0.66176143354388","0.680450688445266","2"
"No","2005","Female","7775","0.758493338377124","0.750339086247531","0.766647590506716","2"
"Yes","2005","Male","3312","0.328893939005427","0.319549311554733","0.33823856645612","1"
"Yes","2005","Female","2808","0.241506661622877","0.233352409493284","0.249660913752469","1"
"No","2006","Male","6798","0.671328658480585","0.66224349960363","0.680413817357539","2"
"No","2006","Female","8220","0.753146820485714","0.745185522894156","0.761108118077271","2"
"Yes","2006","Male","3471","0.328671341519415","0.319586182642461","0.33775650039637","1"
"Yes","2006","Female","3048","0.246853179514287","0.238891881922729","0.254814477105844","1"
"No","2007","Male","6347","0.665749631577759","0.656294553139758","0.67520471001576","2"
"No","2007","Female","7725","0.762244290143195","0.754102023332742","0.770386556953648","2"
"Yes","2007","Male","3215","0.334250368422241","0.32479528998424","0.343705446860242","1"
"Yes","2007","Female","2776","0.237755709856805","0.229613443046352","0.245897976667258","1"
"No","2008","Male","6151","0.676139429109044","0.666503244068261","0.685775614149828","2"
"No","2008","Female","7414","0.766490128282392","0.758190756615513","0.774789499949271","2"
"Yes","2008","Male","2908","0.323860570890956","0.314224385850172","0.333496755931739","1"
"Yes","2008","Female","2568","0.233509871717608","0.225210500050729","0.241809243384487","1"
"No","2009","Male","5849","0.694513085131012","0.684698458877936","0.704327711384088","2"
"No","2009","Female","6954","0.762499643493681","0.753840074671444","0.771159212315918","2"
"Yes","2009","Male","2612","0.305486914868988","0.295672288615912","0.315301541122064","1"
"Yes","2009","Female","2323","0.237500356506319","0.228840787684082","0.246159925328556","1"
"No","2010","Male","7248","0.689077744613865","0.680345276289925","0.697810212937806","2"
"No","2010","Female","9593","0.763905636036959","0.756602272824537","0.77120899924938","2"
"Yes","2010","Male","3545","0.310922255386135","0.302189787062194","0.319654723710075","1"
"Yes","2010","Female","3396","0.236094363963041","0.22879100075062","0.243397727175463","1"
"No","2011","Male","6749","0.772828883347294","0.764222860457719","0.78143490623687","2"
"No","2011","Female","9390","0.83213651715433","0.825431308689719","0.83884172561894","2"
"Yes","2011","Male","2357","0.227171116652705","0.21856509376313","0.235777139542281","1"
"Yes","2011","Female","2545","0.16786348284567","0.16115827438106","0.174568691310281","1"
"No","2012","Male","8686","0.706025269704539","0.698006275787941","0.714044263621136","2"
"No","2012","Female","11187","0.771905634308972","0.765192041387947","0.778619227229996","2"
"Yes","2012","Male","3713","0.293974730295461","0.285955736378864","0.301993724212058","1"
"Yes","2012","Female","3819","0.228094365691029","0.221380772770004","0.234807958612053","1"
"No","2013","Male","9784","0.725480470440254","0.718047106212427","0.732913834668082","2"
"No","2013","Female","12353","0.778540645521957","0.772216636618481","0.784864654425433","2"
"Yes","2013","Male","4062","0.274519529559746","0.267086165331918","0.281952893787573","1"
"Yes","2013","Female","4208","0.221459354478043","0.215135345574567","0.227783363381519","1"
"No","2014","Male","8372","0.695609006037914","0.687483671804858","0.703734340270969","2"
"No","2014","Female","10299","0.755244190495612","0.748248114495373","0.762240266495852","2"
"Yes","2014","Male","3948","0.304390993962086","0.296265659729031","0.312516328195142","1"
"Yes","2014","Female","4209","0.244755809504388","0.237759733504148","0.251751885504627","1"
"No","2015","Male","8592","0.717076119356387","0.709083892358288","0.725068346354486","2"
"No","2015","Female","10836","0.777089445003613","0.770294958289085","0.783883931718141","2"
"Yes","2015","Male","3609","0.282923880643613","0.274931653645514","0.290916107641712","1"
"Yes","2015","Female","3578","0.222910554996387","0.216116068281859","0.229705041710915","1"
"No","2016","Male","7837","0.716278157207185","0.707855288328569","0.724701026085802","2"
"No","2016","Female","9884","0.774387422228319","0.767230272669253","0.781544571787385","2"
"Yes","2016","Male","3167","0.283721842792815","0.275298973914198","0.292144711671431","1"
"Yes","2016","Female","3218","0.225612577771681","0.218455428212615","0.232769727330747","1"
"No","2017","Male","8818","0.728963667839649","0.721068155739011","0.736859179940286","2"
"No","2017","Female","10954","0.787808750559106","0.781092479171169","0.794525021947042","2"
"Yes","2017","Male","3357","0.271036332160351","0.263140820059714","0.278931844260989","1"
"Yes","2017","Female","3282","0.212191249440894","0.205474978052958","0.218907520828831","1"
"No","2018","Male","8624","0.739349941564129","0.731409749863515","0.747290133264742","2"
"No","2018","Female","10597","0.794843163204216","0.788095733412245","0.801590592996187","2"
"Yes","2018","Male","3118","0.260650058435871","0.252709866735258","0.268590250136485","1"
"Yes","2018","Female","3162","0.205156836795784","0.198409407003813","0.211904266587755","1"
"No","2019","Male","8595","0.735635271837588","0.727798396962793","0.743472146712384","2"
"No","2019","Female","10249","0.803433451038579","0.796695530760909","0.81017137131625","2"
"Yes","2019","Male","3569","0.264364728162412","0.256527853287616","0.272201603037207","1"
"Yes","2019","Female","3114","0.196566548961421","0.18982862868375","0.203304469239091","1"
