"ple0044_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1991","general elemantary","West Germany","1849","0.811729723254294","0.796151182965869","0.827308263542718","2"
"No","1991","inadequately","West Germany","471","0.759640608073495","0.726060079073863","0.793221137073127","2"
"No","1991","inadequately","East Germany","39","1","1","1","2"
"No","1991","in school","East Germany","12","","","","2"
"No","1991","higher vocational","East Germany","239","1","1","1","2"
"No","1991","higher education","West Germany","429","0.60173219199788","0.565999175181525","0.637465208814236","2"
"No","1991","general elemantary","East Germany","461","1","1","1","2"
"No","1991","higher vocational","West Germany","347","0.703296896504318","0.663844365345431","0.742749427663205","2"
"No","1991","higher education","East Germany","958","1","1","1","2"
"No","1991","in school","West Germany","144","0.948489412703618","0.913116814904121","0.983862010503115","2"
"No","1991","middle vocational","West Germany","3185","0.71828835739794","0.705214923524895","0.731361791270985","2"
"No","1991","middle vocational","East Germany","2366","1","1","1","2"
"No","1991","vocational + Abi","West Germany","211","0.691372630481987","0.639784945053017","0.742960315910957","2"
"No","1991","vocational + Abi","East Germany","71","1","1","1","2"
"Yes","1991","in school","West Germany","6","","","","1"
"Yes","1991","in school","East Germany","","","","","1"
"Yes","1991","inadequately","West Germany","151","0.240359391926505","0.206778862926873","0.273939920926137","1"
"Yes","1991","inadequately","East Germany","","","","","1"
"Yes","1991","general elemantary","West Germany","570","0.188270276745706","0.172691736457282","0.203848817034131","1"
"Yes","1991","general elemantary","East Germany","","","","","1"
"Yes","1991","middle vocational","West Germany","1363","0.28171164260206","0.268638208729015","0.294785076475105","1"
"Yes","1991","middle vocational","East Germany","","","","","1"
"Yes","1991","vocational + Abi","West Germany","97","0.308627369518013","0.257039684089043","0.360215054946983","1"
"Yes","1991","vocational + Abi","East Germany","","","","","1"
"Yes","1991","higher vocational","West Germany","168","0.296703103495682","0.257250572336795","0.336155634654569","1"
"Yes","1991","higher vocational","East Germany","","","","","1"
"Yes","1991","higher education","West Germany","292","0.39826780800212","0.362534791185764","0.434000824818475","1"
"Yes","1991","higher education","East Germany","","","","","1"
"No","1992","general elemantary","West Germany","1813","0.818642276732373","0.802969999864592","0.834314553600154","2"
"No","1992","inadequately","West Germany","495","0.830153121685216","0.800157509312154","0.860148734058278","2"
"No","1992","higher vocational","East Germany","93","0.433113805313554","0.369626175160847","0.496601435466262","2"
"No","1992","inadequately","East Germany","19","","","","2"
"No","1992","higher education","West Germany","431","0.604956518788958","0.569542347723265","0.640370689854652","2"
"No","1992","in school","East Germany","41","0.891397098976237","0.800489925335186","0.982304272617288","2"
"No","1992","general elemantary","East Germany","344","0.813977657026523","0.778064910758725","0.849890403294321","2"
"No","1992","higher education","East Germany","441","0.507945810770341","0.475552696559387","0.540338924981295","2"
"No","1992","higher vocational","West Germany","345","0.670513478418585","0.630535262120733","0.710491694716436","2"
"No","1992","in school","West Germany","131","0.907430996018768","0.859592431981523","0.955269560056013","2"
"No","1992","middle vocational","West Germany","3136","0.717096684264503","0.703886873152708","0.730306495376298","2"
"No","1992","middle vocational","East Germany","1211","0.587037044861547","0.566504700727681","0.607569388995413","2"
"No","1992","vocational + Abi","West Germany","227","0.697364309447965","0.646712556478092","0.748016062417837","2"
"No","1992","vocational + Abi","East Germany","33","0.502594729326461","0.38375605704031","0.621433401612611","2"
"Yes","1992","in school","West Germany","10","","","","1"
"Yes","1992","in school","East Germany","4","","","","1"
"Yes","1992","inadequately","West Germany","107","0.169846878314784","0.139851265941723","0.199842490687846","1"
"Yes","1992","inadequately","East Germany","3","","","","1"
"Yes","1992","general elemantary","West Germany","509","0.181357723267627","0.165685446399846","0.197030000135408","1"
"Yes","1992","general elemantary","East Germany","107","0.186022342973477","0.150109596705679","0.221935089241275","1"
"Yes","1992","middle vocational","West Germany","1330","0.282903315735497","0.269693504623702","0.296113126847292","1"
"Yes","1992","middle vocational","East Germany","998","0.412962955138453","0.392430611004587","0.433495299272319","1"
"Yes","1992","vocational + Abi","West Germany","89","0.302635690552035","0.251983937582163","0.353287443521908","1"
"Yes","1992","vocational + Abi","East Germany","35","0.497405270673539","0.378566598387389","0.61624394295969","1"
"Yes","1992","higher vocational","West Germany","186","0.329486521581415","0.289508305283563","0.369464737879267","1"
"Yes","1992","higher vocational","East Germany","141","0.566886194686446","0.503398564533738","0.630373824839153","1"
"Yes","1992","higher education","West Germany","301","0.395043481211041","0.359629310145348","0.430457652276735","1"
"Yes","1992","higher education","East Germany","474","0.492054189229659","0.459661075018705","0.524447303440613","1"
"No","1993","general elemantary","West Germany","","","","","2"
"No","1993","inadequately","West Germany","","","","","2"
"No","1993","inadequately","East Germany","","","","","2"
"No","1993","higher vocational","East Germany","","","","","2"
"No","1993","higher education","West Germany","","","","","2"
"No","1993","in school","East Germany","","","","","2"
"No","1993","general elemantary","East Germany","","","","","2"
"No","1993","higher education","East Germany","","","","","2"
"No","1993","higher vocational","West Germany","","","","","2"
"No","1993","in school","West Germany","","","","","2"
"No","1993","middle vocational","West Germany","","","","","2"
"No","1993","middle vocational","East Germany","","","","","2"
"No","1993","vocational + Abi","West Germany","","","","","2"
"No","1993","vocational + Abi","East Germany","","","","","2"
"Yes","1993","in school","West Germany","","","","","1"
"Yes","1993","in school","East Germany","","","","","1"
"Yes","1993","inadequately","West Germany","","","","","1"
"Yes","1993","inadequately","East Germany","","","","","1"
"Yes","1993","general elemantary","West Germany","","","","","1"
"Yes","1993","general elemantary","East Germany","","","","","1"
"Yes","1993","middle vocational","West Germany","","","","","1"
"Yes","1993","middle vocational","East Germany","","","","","1"
"Yes","1993","vocational + Abi","West Germany","","","","","1"
"Yes","1993","vocational + Abi","East Germany","","","","","1"
"Yes","1993","higher vocational","West Germany","","","","","1"
"Yes","1993","higher vocational","East Germany","","","","","1"
"Yes","1993","higher education","West Germany","","","","","1"
"Yes","1993","higher education","East Germany","","","","","1"
"No","1994","inadequately","West Germany","440","0.810128899238662","0.777140998985052","0.843116799492273","2"
"No","1994","general elemantary","West Germany","1619","0.817656794445404","0.8010749142251","0.834238674665709","2"
"No","1994","in school","East Germany","82","0.97291871139582","0.938206571397912","1.00763085139373","2"
"No","1994","inadequately","East Germany","7","","","","2"
"No","1994","higher vocational","East Germany","131","0.63650221425175","0.575003646134304","0.698000782369195","2"
"No","1994","higher education","West Germany","482","0.629795075265352","0.596038564926035","0.663551585604669","2"
"No","1994","in school","West Germany","150","0.965799039378774","0.937187265854998","0.99441081290255","2"
"No","1994","general elemantary","East Germany","345","0.898220092674554","0.868809249008607","0.927630936340502","2"
"No","1994","higher education","East Germany","464","0.559410248990463","0.526152441639179","0.592668056341747","2"
"No","1994","higher vocational","West Germany","332","0.674975618802319","0.634523014213388","0.715428223391251","2"
"No","1994","middle vocational","West Germany","3102","0.722708623128475","0.709579415026899","0.735837831230051","2"
"No","1994","middle vocational","East Germany","1409","0.734774770676593","0.71581241610007","0.753737125253117","2"
"No","1994","vocational + Abi","West Germany","216","0.675534909007448","0.623997053060175","0.727072764954722","2"
"No","1994","vocational + Abi","East Germany","47","0.60358735020518","0.492138383014505","0.715036317395855","2"
"Yes","1994","general elemantary","West Germany","464","0.182343205554596","0.165761325334291","0.1989250857749","1"
"Yes","1994","general elemantary","East Germany","61","0.101779907325446","0.0723690636594984","0.131190750991393","1"
"Yes","1994","middle vocational","West Germany","1364","0.277291376871525","0.264162168769949","0.290420584973101","1"
"Yes","1994","middle vocational","East Germany","673","0.265225229323407","0.246262874746884","0.28418758389993","1"
"Yes","1994","vocational + Abi","West Germany","101","0.324465090992552","0.272927235045278","0.376002946939825","1"
"Yes","1994","in school","West Germany","5","","","","1"
"Yes","1994","in school","East Germany","2","","","","1"
"Yes","1994","inadequately","West Germany","103","0.189871100761338","0.156883200507727","0.222859001014948","1"
"Yes","1994","inadequately","East Germany","4","","","","1"
"Yes","1994","vocational + Abi","East Germany","27","","","","1"
"Yes","1994","higher vocational","West Germany","183","0.325024381197681","0.284571776608749","0.365476985786612","1"
"Yes","1994","higher vocational","East Germany","104","0.36349778574825","0.301999217630805","0.424996353865696","1"
"Yes","1994","higher education","West Germany","304","0.370204924734648","0.336448414395331","0.403961435073965","1"
"Yes","1994","higher education","East Germany","392","0.440589751009537","0.407331943658253","0.473847558360821","1"
"No","1995","in school","East Germany","97","1","1","1","2"
"No","1995","inadequately","West Germany","400","0.794236516662689","0.759013065160652","0.829459968164725","2"
"No","1995","higher vocational","East Germany","127","0.619174007786091","0.556418214674392","0.68192980089779","2"
"No","1995","higher education","West Germany","541","0.607724040405852","0.575789624459112","0.639658456352592","2"
"No","1995","inadequately","East Germany","6","","","","2"
"No","1995","general elemantary","West Germany","1613","0.829284411279361","0.813048120600049","0.845520701958674","2"
"No","1995","higher education","East Germany","444","0.581024283671609","0.54715072267919","0.614897844664028","2"
"No","1995","in school","West Germany","187","0.992367894238385","0.979927684314164","1.00480810416261","2"
"No","1995","general elemantary","East Germany","303","0.865422880120312","0.830928053228902","0.899917707011721","2"
"No","1995","higher vocational","West Germany","320","0.66540788077081","0.624376317952901","0.706439443588718","2"
"No","1995","middle vocational","West Germany","3166","0.727090251592182","0.714145497398332","0.740035005786032","2"
"No","1995","middle vocational","East Germany","1345","0.714167765310036","0.694361735958974","0.733973794661097","2"
"No","1995","vocational + Abi","West Germany","279","0.700643571883351","0.655762733563507","0.745524410203196","2"
"No","1995","vocational + Abi","East Germany","41","0.608991382919815","0.49214657265754","0.72583619318209","2"
"Yes","1995","general elemantary","West Germany","450","0.170715588720639","0.154479298041326","0.186951879399951","1"
"Yes","1995","general elemantary","East Germany","73","0.134577119879688","0.100082292988279","0.169071946771097","1"
"Yes","1995","middle vocational","West Germany","1383","0.272909748407818","0.259964994213968","0.285854502601668","1"
"Yes","1995","middle vocational","East Germany","654","0.285832234689964","0.266026205338903","0.305638264041026","1"
"Yes","1995","vocational + Abi","West Germany","121","0.299356428116649","0.254475589796804","0.344237266436493","1"
"Yes","1995","in school","West Germany","1","","","","1"
"Yes","1995","in school","East Germany","","","","","1"
"Yes","1995","inadequately","West Germany","106","0.205763483337311","0.170540031835275","0.240986934839348","1"
"Yes","1995","inadequately","East Germany","4","","","","1"
"Yes","1995","vocational + Abi","East Germany","26","","","","1"
"Yes","1995","higher vocational","West Germany","188","0.33459211922919","0.293560556411282","0.375623682047099","1"
"Yes","1995","higher vocational","East Germany","103","0.380825992213909","0.31807019910221","0.443581785325607","1"
"Yes","1995","higher education","West Germany","357","0.392275959594148","0.360341543647408","0.424210375540888","1"
"Yes","1995","higher education","East Germany","371","0.418975716328391","0.385102155335973","0.45284927732081","1"
"No","1996","in school","East Germany","97","0.990393455571539","0.97108166549325","1.00970524564983","2"
"No","1996","inadequately","West Germany","392","0.851119977985458","0.81893799754496","0.883301958425957","2"
"No","1996","higher education","West Germany","534","0.608300286091882","0.576356417764397","0.640244154419367","2"
"No","1996","higher education","East Germany","469","0.610637166298739","0.577201812218796","0.644072520378681","2"
"No","1996","higher vocational","East Germany","126","0.621541491179224","0.557598028024551","0.685484954333898","2"
"No","1996","inadequately","East Germany","8","","","","2"
"No","1996","general elemantary","West Germany","1542","0.83413785089169","0.817700248557624","0.850575453225756","2"
"No","1996","in school","West Germany","188","0.980417814791769","0.960818826629558","1.00001680295398","2"
"No","1996","general elemantary","East Germany","298","0.897104556088647","0.865229204684628","0.928979907492667","2"
"No","1996","higher vocational","West Germany","336","0.643157705119007","0.602100049571655","0.684215360666359","2"
"No","1996","middle vocational","West Germany","3098","0.720764112275059","0.707577125949045","0.733951098601072","2"
"No","1996","middle vocational","East Germany","1377","0.754838463265919","0.73564138411242","0.774035542419417","2"
"No","1996","vocational + Abi","West Germany","261","0.702175709866728","0.656436839179279","0.747914580554176","2"
"No","1996","vocational + Abi","East Germany","47","0.707658142161689","0.601107437487181","0.814208846836196","2"
"Yes","1996","general elemantary","West Germany","425","0.16586214910831","0.149424546774244","0.182299751442376","1"
"Yes","1996","general elemantary","East Germany","51","0.102895443911353","0.0710200925073331","0.134770795315372","1"
"Yes","1996","middle vocational","West Germany","1348","0.279235887724941","0.266048901398928","0.292422874050955","1"
"Yes","1996","middle vocational","East Germany","552","0.245161536734081","0.225964457580583","0.26435861588758","1"
"Yes","1996","vocational + Abi","West Germany","123","0.297824290133272","0.252085419445824","0.343563160820721","1"
"Yes","1996","in school","West Germany","4","","","","1"
"Yes","1996","in school","East Germany","1","","","","1"
"Yes","1996","inadequately","West Germany","78","0.148880022014542","0.116698041574043","0.18106200245504","1"
"Yes","1996","inadequately","East Germany","5","","","","1"
"Yes","1996","vocational + Abi","East Germany","23","","","","1"
"Yes","1996","higher vocational","West Germany","187","0.356842294880993","0.315784639333641","0.397899950428345","1"
"Yes","1996","higher vocational","East Germany","95","0.378458508820776","0.314515045666102","0.442401971975449","1"
"Yes","1996","higher education","West Germany","363","0.391699713908118","0.359755845580633","0.423643582235603","1"
"Yes","1996","higher education","East Germany","348","0.389362833701261","0.355927479621319","0.422798187781204","1"
"No","1997","in school","East Germany","109","0.994711855925263","0.981158337982183","1.00826537386834","2"
"No","1997","inadequately","West Germany","357","0.811905005916927","0.775473410976955","0.848336600856899","2"
"No","1997","higher vocational","East Germany","121","0.572619382204277","0.508265374862514","0.63697338954604","2"
"No","1997","higher education","West Germany","525","0.599732372460348","0.567669247399087","0.63179549752161","2"
"No","1997","higher education","East Germany","480","0.663947335355292","0.631235695147915","0.69665897556267","2"
"No","1997","inadequately","East Germany","7","","","","2"
"No","1997","general elemantary","West Germany","1512","0.838614641146505","0.822163436876858","0.855065845416152","2"
"No","1997","in school","West Germany","201","0.981477985896148","0.962976040534583","0.999979931257712","2"
"No","1997","general elemantary","East Germany","282","0.86572316660076","0.829428876433467","0.902017456768053","2"
"No","1997","higher vocational","West Germany","333","0.668355465750191","0.627654313373526","0.709056618126857","2"
"No","1997","middle vocational","West Germany","3066","0.735257440020864","0.722149475911095","0.748365404130634","2"
"No","1997","middle vocational","East Germany","1299","0.73550556242655","0.715626148396151","0.755384976456949","2"
"No","1997","vocational + Abi","West Germany","246","0.642708994975761","0.593881385838266","0.691536604113256","2"
"No","1997","vocational + Abi","East Germany","46","0.592520464600105","0.479802992728438","0.705237936471772","2"
"Yes","1997","general elemantary","West Germany","409","0.161385358853495","0.144934154583848","0.177836563123142","1"
"Yes","1997","general elemantary","East Germany","57","0.13427683339924","0.0979825432319471","0.170571123566533","1"
"Yes","1997","middle vocational","West Germany","1286","0.264742559979136","0.251634595869366","0.277850524088905","1"
"Yes","1997","middle vocational","East Germany","592","0.26449443757345","0.244615023543051","0.284373851603849","1"
"Yes","1997","vocational + Abi","West Germany","124","0.357291005024239","0.308463395886744","0.406118614161734","1"
"Yes","1997","in school","West Germany","3","","","","1"
"Yes","1997","in school","East Germany","1","","","","1"
"Yes","1997","inadequately","West Germany","85","0.188094994083073","0.151663399143101","0.224526589023046","1"
"Yes","1997","inadequately","East Germany","4","","","","1"
"Yes","1997","vocational + Abi","East Germany","27","","","","1"
"Yes","1997","higher vocational","West Germany","181","0.331644534249809","0.290943381873143","0.372345686626474","1"
"Yes","1997","higher vocational","East Germany","106","0.427380617795723","0.36302661045396","0.491734625137486","1"
"Yes","1997","higher education","West Germany","372","0.400267627539652","0.36820450247839","0.432330752600913","1"
"Yes","1997","higher education","East Germany","321","0.336052664644708","0.30334102443733","0.368764304852085","1"
"No","1998","in school","East Germany","105","0.984321123349071","0.960782444889619","1.00785980180852","2"
"No","1998","inadequately","East Germany","10","","","","2"
"No","1998","inadequately","West Germany","334","0.811109725801487","0.773541155627175","0.8486782959758","2"
"No","1998","general elemantary","West Germany","1683","0.849908268577198","0.83457029917594","0.865246237978456","2"
"No","1998","in school","West Germany","216","0.974047827870516","0.953133274175492","0.99496238156554","2"
"No","1998","higher vocational","West Germany","363","0.666948495348358","0.628324968766048","0.705572021930667","2"
"No","1998","higher vocational","East Germany","141","0.654377612752545","0.592511858552553","0.716243366952536","2"
"No","1998","higher education","West Germany","621","0.598926930757251","0.56951899419621","0.628334867318292","2"
"No","1998","higher education","East Germany","491","0.614848677811724","0.581802182449194","0.647895173174255","2"
"No","1998","general elemantary","East Germany","296","0.857582318404034","0.82168043235868","0.893484204449388","2"
"No","1998","middle vocational","West Germany","3287","0.721113170090665","0.708346588158865","0.733879752022464","2"
"No","1998","middle vocational","East Germany","1364","0.726561169546259","0.707046310527384","0.746076028565133","2"
"No","1998","vocational + Abi","West Germany","281","0.682357751403104","0.638043812122579","0.726671690683629","2"
"No","1998","vocational + Abi","East Germany","35","0.541401256244053","0.422088535398063","0.660713977090043","2"
