"ple0044_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Not a day","1988","Couple + C. LE 16 ","West Germany","780","1","1","1"
"Not a day","1988","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1988","Couple + C. GT 16 ","West Germany","695","1","1","1"
"Not a day","1988","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1988","Couple + C. LE and GT 16","West Germany","359","1","1","1"
"Not a day","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1989","1-pers.-HH","West Germany","235","1","1","1"
"Not a day","1989","1-pers.-HH","East Germany","","","",""
"Not a day","1989","(Married) couple without C. ","West Germany","595","1","1","1"
"Not a day","1989","(Married) couple without C. ","East Germany","","","",""
"Not a day","1989","Single parent ","West Germany","130","1","1","1"
"Not a day","1989","Single parent ","East Germany","","","",""
"Not a day","1989","Couple + C. LE 16 ","West Germany","719","1","1","1"
"Not a day","1989","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1989","Couple + C. GT 16 ","West Germany","689","1","1","1"
"Not a day","1989","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1989","Couple + C. LE and GT 16","West Germany","308","1","1","1"
"Not a day","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1990","1-pers.-HH","West Germany","","","",""
"Not a day","1990","1-pers.-HH","East Germany","","","",""
"Not a day","1990","(Married) couple without C. ","West Germany","","","",""
"Not a day","1990","(Married) couple without C. ","East Germany","","","",""
"Not a day","1990","Single parent ","West Germany","","","",""
"Not a day","1990","Single parent ","East Germany","","","",""
"Not a day","1990","Couple + C. LE 16 ","West Germany","","","",""
"Not a day","1990","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1990","Couple + C. GT 16 ","West Germany","","","",""
"Not a day","1990","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1990","Couple + C. LE and GT 16","West Germany","","","",""
"Not a day","1990","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1991","1-pers.-HH","West Germany","224","1","1","1"
"Not a day","1991","1-pers.-HH","East Germany","","","",""
"Not a day","1991","(Married) couple without C. ","West Germany","537","1","1","1"
"Not a day","1991","(Married) couple without C. ","East Germany","","","",""
"Not a day","1991","Single parent ","West Germany","135","1","1","1"
"Not a day","1991","Single parent ","East Germany","","","",""
"Not a day","1991","Couple + C. LE 16 ","West Germany","696","1","1","1"
"Not a day","1991","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1991","Couple + C. GT 16 ","West Germany","672","1","1","1"
"Not a day","1991","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1991","Couple + C. LE and GT 16","West Germany","281","1","1","1"
"Not a day","1991","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1992","1-pers.-HH","West Germany","233","1","1","1"
"Not a day","1992","1-pers.-HH","East Germany","61","1","1","1"
"Not a day","1992","(Married) couple without C. ","West Germany","535","1","1","1"
"Not a day","1992","(Married) couple without C. ","East Germany","317","1","1","1"
"Not a day","1992","Single parent ","West Germany","134","1","1","1"
"Not a day","1992","Single parent ","East Germany","70","1","1","1"
"Not a day","1992","Couple + C. LE 16 ","West Germany","652","1","1","1"
"Not a day","1992","Couple + C. LE 16 ","East Germany","673","1","1","1"
"Not a day","1992","Couple + C. GT 16 ","West Germany","626","1","1","1"
"Not a day","1992","Couple + C. GT 16 ","East Germany","367","1","1","1"
"Not a day","1992","Couple + C. LE and GT 16","West Germany","253","1","1","1"
"Not a day","1992","Couple + C. LE and GT 16","East Germany","152","1","1","1"
"Not a day","1993","1-pers.-HH","West Germany","","","",""
"Not a day","1993","1-pers.-HH","East Germany","","","",""
"Not a day","1993","(Married) couple without C. ","West Germany","","","",""
"Not a day","1993","(Married) couple without C. ","East Germany","","","",""
"Not a day","1993","Single parent ","West Germany","","","",""
"Not a day","1993","Single parent ","East Germany","","","",""
"Not a day","1993","Couple + C. LE 16 ","West Germany","","","",""
"Not a day","1993","Couple + C. LE 16 ","East Germany","","","",""
"Not a day","1993","Couple + C. GT 16 ","West Germany","","","",""
"Not a day","1993","Couple + C. GT 16 ","East Germany","","","",""
"Not a day","1993","Couple + C. LE and GT 16","West Germany","","","",""
"Not a day","1993","Couple + C. LE and GT 16","East Germany","","","",""
"Not a day","1994","1-pers.-HH","West Germany","232","1","1","1"
"Not a day","1994","1-pers.-HH","East Germany","45","1","1","1"
"Not a day","1994","(Married) couple without C. ","West Germany","596","1","1","1"
"Not a day","1994","(Married) couple without C. ","East Germany","226","1","1","1"
"Not a day","1994","Single parent ","West Germany","116","1","1","1"
"Not a day","1994","Single parent ","East Germany","40","1","1","1"
"Not a day","1994","Couple + C. LE 16 ","West Germany","676","1","1","1"
"Not a day","1994","Couple + C. LE 16 ","East Germany","449","1","1","1"
"Not a day","1994","Couple + C. GT 16 ","West Germany","571","1","1","1"
"Not a day","1994","Couple + C. GT 16 ","East Germany","279","1","1","1"
"Not a day","1994","Couple + C. LE and GT 16","West Germany","251","1","1","1"
"Not a day","1994","Couple + C. LE and GT 16","East Germany","144","1","1","1"
"Not a day","1995","1-pers.-HH","West Germany","230","1","1","1"
"Not a day","1995","1-pers.-HH","East Germany","52","1","1","1"
"Not a day","1995","(Married) couple without C. ","West Germany","598","1","1","1"
"Not a day","1995","(Married) couple without C. ","East Germany","248","1","1","1"
"Not a day","1995","Single parent ","West Germany","116","1","1","1"
"Not a day","1995","Single parent ","East Germany","52","1","1","1"
"Not a day","1995","Couple + C. LE 16 ","West Germany","770","1","1","1"
"Not a day","1995","Couple + C. LE 16 ","East Germany","365","1","1","1"
"Not a day","1995","Couple + C. GT 16 ","West Germany","551","1","1","1"
"Not a day","1995","Couple + C. GT 16 ","East Germany","285","1","1","1"
"Not a day","1995","Couple + C. LE and GT 16","West Germany","258","1","1","1"
"Not a day","1995","Couple + C. LE and GT 16","East Germany","158","1","1","1"
"Not a day","1996","1-pers.-HH","West Germany","249","1","1","1"
"Not a day","1996","1-pers.-HH","East Germany","46","1","1","1"
"Not a day","1996","(Married) couple without C. ","West Germany","592","1","1","1"
"Not a day","1996","(Married) couple without C. ","East Germany","244","1","1","1"
"Not a day","1996","Single parent ","West Germany","120","1","1","1"
"Not a day","1996","Single parent ","East Germany","45","1","1","1"
"Not a day","1996","Couple + C. LE 16 ","West Germany","716","1","1","1"
"Not a day","1996","Couple + C. LE 16 ","East Germany","307","1","1","1"
"Not a day","1996","Couple + C. GT 16 ","West Germany","522","1","1","1"
"Not a day","1996","Couple + C. GT 16 ","East Germany","237","1","1","1"
"Not a day","1996","Couple + C. LE and GT 16","West Germany","255","1","1","1"
"Not a day","1996","Couple + C. LE and GT 16","East Germany","139","1","1","1"
"Not a day","1997","1-pers.-HH","West Germany","242","1","1","1"
"Not a day","1997","1-pers.-HH","East Germany","50","1","1","1"
"Not a day","1997","(Married) couple without C. ","West Germany","568","1","1","1"
"Not a day","1997","(Married) couple without C. ","East Germany","234","1","1","1"
"Not a day","1997","Single parent ","West Germany","129","1","1","1"
"Not a day","1997","Single parent ","East Germany","53","1","1","1"
"Not a day","1997","Couple + C. LE 16 ","West Germany","716","1","1","1"
"Not a day","1997","Couple + C. LE 16 ","East Germany","289","1","1","1"
"Not a day","1997","Couple + C. GT 16 ","West Germany","491","1","1","1"
"Not a day","1997","Couple + C. GT 16 ","East Germany","279","1","1","1"
"Not a day","1997","Couple + C. LE and GT 16","West Germany","254","1","1","1"
"Not a day","1997","Couple + C. LE and GT 16","East Germany","145","1","1","1"
"Not a day","1998","1-pers.-HH","West Germany","284","1","1","1"
"Not a day","1998","1-pers.-HH","East Germany","68","1","1","1"
"Not a day","1998","(Married) couple without C. ","West Germany","701","1","1","1"
"Not a day","1998","(Married) couple without C. ","East Germany","296","1","1","1"
"Not a day","1998","Single parent ","West Germany","147","1","1","1"
"Not a day","1998","Single parent ","East Germany","51","1","1","1"
"Not a day","1998","Couple + C. LE 16 ","West Germany","804","1","1","1"
"Not a day","1998","Couple + C. LE 16 ","East Germany","282","1","1","1"
"Not a day","1998","Couple + C. GT 16 ","West Germany","522","1","1","1"
"Not a day","1998","Couple + C. GT 16 ","East Germany","293","1","1","1"
"Not a day","1998","Couple + C. LE and GT 16","West Germany","288","1","1","1"
"Not a day","1998","Couple + C. LE and GT 16","East Germany","151","1","1","1"
"Not a day","1999","1-pers.-HH","West Germany","303","1","1","1"
"Not a day","1999","1-pers.-HH","East Germany","72","1","1","1"
"Not a day","1999","(Married) couple without C. ","West Germany","688","1","1","1"
"Not a day","1999","(Married) couple without C. ","East Germany","261","1","1","1"
"Not a day","1999","Single parent ","West Germany","149","1","1","1"
"Not a day","1999","Single parent ","East Germany","57","1","1","1"
"Not a day","1999","Couple + C. LE 16 ","West Germany","811","1","1","1"
"Not a day","1999","Couple + C. LE 16 ","East Germany","317","1","1","1"
"Not a day","1999","Couple + C. GT 16 ","West Germany","560","1","1","1"
"Not a day","1999","Couple + C. GT 16 ","East Germany","302","1","1","1"
"Not a day","1999","Couple + C. LE and GT 16","West Germany","293","1","1","1"
"Not a day","1999","Couple + C. LE and GT 16","East Germany","141","1","1","1"
"Not a day","2000","1-pers.-HH","West Germany","626","1","1","1"
"Not a day","2000","1-pers.-HH","East Germany","166","1","1","1"
"Not a day","2000","(Married) couple without C. ","West Germany","1247","1","1","1"
"Not a day","2000","(Married) couple without C. ","East Germany","401","1","1","1"
"Not a day","2000","Single parent ","West Germany","259","1","1","1"
"Not a day","2000","Single parent ","East Germany","102","1","1","1"
"Not a day","2000","Couple + C. LE 16 ","West Germany","1495","1","1","1"
"Not a day","2000","Couple + C. LE 16 ","East Germany","411","1","1","1"
"Not a day","2000","Couple + C. GT 16 ","West Germany","876","1","1","1"
"Not a day","2000","Couple + C. GT 16 ","East Germany","450","1","1","1"
"Not a day","2000","Couple + C. LE and GT 16","West Germany","512","1","1","1"
"Not a day","2000","Couple + C. LE and GT 16","East Germany","191","1","1","1"
"Not a day","2001","1-pers.-HH","West Germany","541","1","1","1"
"Not a day","2001","1-pers.-HH","East Germany","131","1","1","1"
"Not a day","2001","(Married) couple without C. ","West Germany","1153","1","1","1"
"Not a day","2001","(Married) couple without C. ","East Germany","400","1","1","1"
"Not a day","2001","Single parent ","West Germany","243","1","1","1"
"Not a day","2001","Single parent ","East Germany","91","1","1","1"
"Not a day","2001","Couple + C. LE 16 ","West Germany","1386","1","1","1"
"Not a day","2001","Couple + C. LE 16 ","East Germany","368","1","1","1"
"Not a day","2001","Couple + C. GT 16 ","West Germany","864","1","1","1"
"Not a day","2001","Couple + C. GT 16 ","East Germany","371","1","1","1"
"Not a day","2001","Couple + C. LE and GT 16","West Germany","462","1","1","1"
"Not a day","2001","Couple + C. LE and GT 16","East Germany","193","1","1","1"
"Not a day","2002","1-pers.-HH","West Germany","557","1","1","1"
"Not a day","2002","1-pers.-HH","East Germany","146","1","1","1"
"Not a day","2002","(Married) couple without C. ","West Germany","1385","1","1","1"
"Not a day","2002","(Married) couple without C. ","East Germany","421","1","1","1"
"Not a day","2002","Single parent ","West Germany","224","1","1","1"
"Not a day","2002","Single parent ","East Germany","87","1","1","1"
"Not a day","2002","Couple + C. LE 16 ","West Germany","1510","1","1","1"
"Not a day","2002","Couple + C. LE 16 ","East Germany","333","1","1","1"
"Not a day","2002","Couple + C. GT 16 ","West Germany","969","1","1","1"
"Not a day","2002","Couple + C. GT 16 ","East Germany","443","1","1","1"
"Not a day","2002","Couple + C. LE and GT 16","West Germany","513","1","1","1"
"Not a day","2002","Couple + C. LE and GT 16","East Germany","166","1","1","1"
"Not a day","2003","1-pers.-HH","West Germany","556","1","1","1"
"Not a day","2003","1-pers.-HH","East Germany","136","1","1","1"
"Not a day","2003","(Married) couple without C. ","West Germany","1258","1","1","1"
"Not a day","2003","(Married) couple without C. ","East Germany","455","1","1","1"
"Not a day","2003","Single parent ","West Germany","238","1","1","1"
"Not a day","2003","Single parent ","East Germany","81","1","1","1"
"Not a day","2003","Couple + C. LE 16 ","West Germany","1371","1","1","1"
"Not a day","2003","Couple + C. LE 16 ","East Germany","297","1","1","1"
"Not a day","2003","Couple + C. GT 16 ","West Germany","910","1","1","1"
"Not a day","2003","Couple + C. GT 16 ","East Germany","427","1","1","1"
"Not a day","2003","Couple + C. LE and GT 16","West Germany","508","1","1","1"
"Not a day","2003","Couple + C. LE and GT 16","East Germany","143","1","1","1"
"Not a day","2004","1-pers.-HH","West Germany","535","1","1","1"
"Not a day","2004","1-pers.-HH","East Germany","148","1","1","1"
"Not a day","2004","(Married) couple without C. ","West Germany","1265","1","1","1"
"Not a day","2004","(Married) couple without C. ","East Germany","424","1","1","1"
"Not a day","2004","Single parent ","West Germany","226","1","1","1"
"Not a day","2004","Single parent ","East Germany","72","1","1","1"
"Not a day","2004","Couple + C. LE 16 ","West Germany","1292","1","1","1"
"Not a day","2004","Couple + C. LE 16 ","East Germany","303","1","1","1"
"Not a day","2004","Couple + C. GT 16 ","West Germany","969","1","1","1"
"Not a day","2004","Couple + C. GT 16 ","East Germany","407","1","1","1"
"Not a day","2004","Couple + C. LE and GT 16","West Germany","505","1","1","1"
"Not a day","2004","Couple + C. LE and GT 16","East Germany","137","1","1","1"
"Not a day","2005","1-pers.-HH","West Germany","527","1","1","1"
"Not a day","2005","1-pers.-HH","East Germany","158","1","1","1"
"Not a day","2005","(Married) couple without C. ","West Germany","1261","1","1","1"
"Not a day","2005","(Married) couple without C. ","East Germany","412","1","1","1"
"Not a day","2005","Single parent ","West Germany","213","1","1","1"
"Not a day","2005","Single parent ","East Germany","85","1","1","1"
"Not a day","2005","Couple + C. LE 16 ","West Germany","1171","1","1","1"
"Not a day","2005","Couple + C. LE 16 ","East Germany","265","1","1","1"
"Not a day","2005","Couple + C. GT 16 ","West Germany","896","1","1","1"
"Not a day","2005","Couple + C. GT 16 ","East Germany","398","1","1","1"
"Not a day","2005","Couple + C. LE and GT 16","West Germany","463","1","1","1"
"Not a day","2005","Couple + C. LE and GT 16","East Germany","125","1","1","1"
"Not a day","2006","1-pers.-HH","West Germany","564","1","1","1"
"Not a day","2006","1-pers.-HH","East Germany","194","1","1","1"
"Not a day","2006","(Married) couple without C. ","West Germany","1391","1","1","1"
"Not a day","2006","(Married) couple without C. ","East Germany","435","1","1","1"
"Not a day","2006","Single parent ","West Germany","257","1","1","1"
"Not a day","2006","Single parent ","East Germany","102","1","1","1"
"Not a day","2006","Couple + C. LE 16 ","West Germany","1242","1","1","1"
"Not a day","2006","Couple + C. LE 16 ","East Germany","288","1","1","1"
"Not a day","2006","Couple + C. GT 16 ","West Germany","905","1","1","1"
"Not a day","2006","Couple + C. GT 16 ","East Germany","407","1","1","1"
"Not a day","2006","Couple + C. LE and GT 16","West Germany","466","1","1","1"
"Not a day","2006","Couple + C. LE and GT 16","East Germany","113","1","1","1"
"Not a day","2007","1-pers.-HH","West Germany","541","1","1","1"
"Not a day","2007","1-pers.-HH","East Germany","167","1","1","1"
"Not a day","2007","(Married) couple without C. ","West Germany","1239","1","1","1"
"Not a day","2007","(Married) couple without C. ","East Germany","426","1","1","1"
"Not a day","2007","Single parent ","West Germany","240","1","1","1"
"Not a day","2007","Single parent ","East Germany","85","1","1","1"
"Not a day","2007","Couple + C. LE 16 ","West Germany","1126","1","1","1"
"Not a day","2007","Couple + C. LE 16 ","East Germany","280","1","1","1"
"Not a day","2007","Couple + C. GT 16 ","West Germany","868","1","1","1"
"Not a day","2007","Couple + C. GT 16 ","East Germany","383","1","1","1"
"Not a day","2007","Couple + C. LE and GT 16","West Germany","418","1","1","1"
"Not a day","2007","Couple + C. LE and GT 16","East Germany","99","1","1","1"
"Not a day","2008","1-pers.-HH","West Germany","493","1","1","1"
"Not a day","2008","1-pers.-HH","East Germany","168","1","1","1"
"Not a day","2008","(Married) couple without C. ","West Germany","1120","1","1","1"
"Not a day","2008","(Married) couple without C. ","East Germany","418","1","1","1"
"Not a day","2008","Single parent ","West Germany","232","1","1","1"
"Not a day","2008","Single parent ","East Germany","84","1","1","1"
"Not a day","2008","Couple + C. LE 16 ","West Germany","969","1","1","1"
"Not a day","2008","Couple + C. LE 16 ","East Germany","243","1","1","1"
"Not a day","2008","Couple + C. GT 16 ","West Germany","851","1","1","1"
"Not a day","2008","Couple + C. GT 16 ","East Germany","342","1","1","1"
"Not a day","2008","Couple + C. LE and GT 16","West Germany","372","1","1","1"
"Not a day","2008","Couple + C. LE and GT 16","East Germany","90","1","1","1"
"Not a day","2009","1-pers.-HH","West Germany","469","1","1","1"
"Not a day","2009","1-pers.-HH","East Germany","158","1","1","1"
"Not a day","2009","(Married) couple without C. ","West Germany","1034","1","1","1"
"Not a day","2009","(Married) couple without C. ","East Germany","378","1","1","1"
"Not a day","2009","Single parent ","West Germany","229","1","1","1"
"Not a day","2009","Single parent ","East Germany","79","1","1","1"
"Not a day","2009","Couple + C. LE 16 ","West Germany","775","1","1","1"
"Not a day","2009","Couple + C. LE 16 ","East Germany","218","1","1","1"
"Not a day","2009","Couple + C. GT 16 ","West Germany","816","1","1","1"
"Not a day","2009","Couple + C. GT 16 ","East Germany","281","1","1","1"
"Not a day","2009","Couple + C. LE and GT 16","West Germany","334","1","1","1"
"Not a day","2009","Couple + C. LE and GT 16","East Germany","82","1","1","1"
"Not a day","2010","1-pers.-HH","West Germany","437","1","1","1"
"Not a day","2010","1-pers.-HH","East Germany","154","1","1","1"
"Not a day","2010","(Married) couple without C. ","West Germany","994","1","1","1"
"Not a day","2010","(Married) couple without C. ","East Germany","361","1","1","1"
"Not a day","2010","Single parent ","West Germany","526","1","1","1"
"Not a day","2010","Single parent ","East Germany","155","1","1","1"
"Not a day","2010","Couple + C. LE 16 ","West Germany","2123","1","1","1"
"Not a day","2010","Couple + C. LE 16 ","East Germany","579","1","1","1"
"Not a day","2010","Couple + C. GT 16 ","West Germany","723","1","1","1"
"Not a day","2010","Couple + C. GT 16 ","East Germany","252","1","1","1"
"Not a day","2010","Couple + C. LE and GT 16","West Germany","455","1","1","1"
"Not a day","2010","Couple + C. LE and GT 16","East Germany","93","1","1","1"
"Not a day","2011","1-pers.-HH","West Germany","272","1","1","1"
"Not a day","2011","1-pers.-HH","East Germany","88","1","1","1"
"Not a day","2011","(Married) couple without C. ","West Germany","604","1","1","1"
"Not a day","2011","(Married) couple without C. ","East Germany","166","1","1","1"
"Not a day","2011","Single parent ","West Germany","494","1","1","1"
"Not a day","2011","Single parent ","East Germany","138","1","1","1"
"Not a day","2011","Couple + C. LE 16 ","West Germany","1787","1","1","1"
"Not a day","2011","Couple + C. LE 16 ","East Germany","398","1","1","1"
"Not a day","2011","Couple + C. GT 16 ","West Germany","339","1","1","1"
"Not a day","2011","Couple + C. GT 16 ","East Germany","80","1","1","1"
"Not a day","2011","Couple + C. LE and GT 16","West Germany","409","1","1","1"
"Not a day","2011","Couple + C. LE and GT 16","East Germany","54","1","1","1"
"Not a day","2012","1-pers.-HH","West Germany","547","1","1","1"
"Not a day","2012","1-pers.-HH","East Germany","216","1","1","1"
"Not a day","2012","(Married) couple without C. ","West Germany","1215","1","1","1"
"Not a day","2012","(Married) couple without C. ","East Germany","423","1","1","1"
"Not a day","2012","Single parent ","West Germany","578","1","1","1"
"Not a day","2012","Single parent ","East Germany","179","1","1","1"
"Not a day","2012","Couple + C. LE 16 ","West Germany","2001","1","1","1"
"Not a day","2012","Couple + C. LE 16 ","East Germany","540","1","1","1"
"Not a day","2012","Couple + C. GT 16 ","West Germany","778","1","1","1"
"Not a day","2012","Couple + C. GT 16 ","East Germany","257","1","1","1"
"Not a day","2012","Couple + C. LE and GT 16","West Germany","585","1","1","1"
"Not a day","2012","Couple + C. LE and GT 16","East Germany","100","1","1","1"
"Not a day","2013","1-pers.-HH","West Germany","591","1","1","1"
"Not a day","2013","1-pers.-HH","East Germany","200","1","1","1"
"Not a day","2013","(Married) couple without C. ","West Germany","1296","1","1","1"
"Not a day","2013","(Married) couple without C. ","East Germany","410","1","1","1"
"Not a day","2013","Single parent ","West Germany","620","1","1","1"
"Not a day","2013","Single parent ","East Germany","166","1","1","1"
"Not a day","2013","Couple + C. LE 16 ","West Germany","2216","1","1","1"
"Not a day","2013","Couple + C. LE 16 ","East Germany","513","1","1","1"
"Not a day","2013","Couple + C. GT 16 ","West Germany","934","1","1","1"
"Not a day","2013","Couple + C. GT 16 ","East Germany","241","1","1","1"
"Not a day","2013","Couple + C. LE and GT 16","West Germany","700","1","1","1"
"Not a day","2013","Couple + C. LE and GT 16","East Germany","122","1","1","1"
"Not a day","2014","1-pers.-HH","West Germany","631","1","1","1"
"Not a day","2014","1-pers.-HH","East Germany","195","1","1","1"
"Not a day","2014","(Married) couple without C. ","West Germany","1326","1","1","1"
"Not a day","2014","(Married) couple without C. ","East Germany","424","1","1","1"
"Not a day","2014","Single parent ","West Germany","570","1","1","1"
"Not a day","2014","Single parent ","East Germany","115","1","1","1"
"Not a day","2014","Couple + C. LE 16 ","West Germany","2144","1","1","1"
"Not a day","2014","Couple + C. LE 16 ","East Germany","453","1","1","1"
"Not a day","2014","Couple + C. GT 16 ","West Germany","967","1","1","1"
"Not a day","2014","Couple + C. GT 16 ","East Germany","205","1","1","1"
"Not a day","2014","Couple + C. LE and GT 16","West Germany","700","1","1","1"
"Not a day","2014","Couple + C. LE and GT 16","East Germany","116","1","1","1"
"Not a day","2015","1-pers.-HH","West Germany","625","1","1","1"
"Not a day","2015","1-pers.-HH","East Germany","194","1","1","1"
"Not a day","2015","(Married) couple without C. ","West Germany","1257","1","1","1"
"Not a day","2015","(Married) couple without C. ","East Germany","424","1","1","1"
"Not a day","2015","Single parent ","West Germany","442","1","1","1"
"Not a day","2015","Single parent ","East Germany","128","1","1","1"
"Not a day","2015","Couple + C. LE 16 ","West Germany","1790","1","1","1"
"Not a day","2015","Couple + C. LE 16 ","East Germany","389","1","1","1"
"Not a day","2015","Couple + C. GT 16 ","West Germany","810","1","1","1"
"Not a day","2015","Couple + C. GT 16 ","East Germany","175","1","1","1"
"Not a day","2015","Couple + C. LE and GT 16","West Germany","626","1","1","1"
"Not a day","2015","Couple + C. LE and GT 16","East Germany","114","1","1","1"
"Not a day","2016","1-pers.-HH","West Germany","527","1","1","1"
"Not a day","2016","1-pers.-HH","East Germany","179","1","1","1"
"Not a day","2016","(Married) couple without C. ","West Germany","1098","1","1","1"
"Not a day","2016","(Married) couple without C. ","East Germany","403","1","1","1"
"Not a day","2016","Single parent ","West Germany","396","1","1","1"
"Not a day","2016","Single parent ","East Germany","109","1","1","1"
"Not a day","2016","Couple + C. LE 16 ","West Germany","1581","1","1","1"
"Not a day","2016","Couple + C. LE 16 ","East Germany","335","1","1","1"
"Not a day","2016","Couple + C. GT 16 ","West Germany","790","1","1","1"
"Not a day","2016","Couple + C. GT 16 ","East Germany","126","1","1","1"
"Not a day","2016","Couple + C. LE and GT 16","West Germany","581","1","1","1"
"Not a day","2016","Couple + C. LE and GT 16","East Germany","89","1","1","1"
"Not a day","2017","1-pers.-HH","West Germany","617","1","1","1"
"Not a day","2017","1-pers.-HH","East Germany","185","1","1","1"
"Not a day","2017","(Married) couple without C. ","West Germany","1222","1","1","1"
"Not a day","2017","(Married) couple without C. ","East Germany","447","1","1","1"
"Not a day","2017","Single parent ","West Germany","404","1","1","1"
"Not a day","2017","Single parent ","East Germany","103","1","1","1"
"Not a day","2017","Couple + C. LE 16 ","West Germany","1494","1","1","1"
"Not a day","2017","Couple + C. LE 16 ","East Germany","351","1","1","1"
"Not a day","2017","Couple + C. GT 16 ","West Germany","825","1","1","1"
"Not a day","2017","Couple + C. GT 16 ","East Germany","143","1","1","1"
"Not a day","2017","Couple + C. LE and GT 16","West Germany","567","1","1","1"
"Not a day","2017","Couple + C. LE and GT 16","East Germany","102","1","1","1"
"Not a day","2018","1-pers.-HH","West Germany","597","1","1","1"
"Not a day","2018","1-pers.-HH","East Germany","202","1","1","1"
"Not a day","2018","(Married) couple without C. ","West Germany","1195","1","1","1"
"Not a day","2018","(Married) couple without C. ","East Germany","411","1","1","1"
"Not a day","2018","Single parent ","West Germany","390","1","1","1"
"Not a day","2018","Single parent ","East Germany","101","1","1","1"
"Not a day","2018","Couple + C. LE 16 ","West Germany","1327","1","1","1"
"Not a day","2018","Couple + C. LE 16 ","East Germany","327","1","1","1"
"Not a day","2018","Couple + C. GT 16 ","West Germany","774","1","1","1"
"Not a day","2018","Couple + C. GT 16 ","East Germany","133","1","1","1"
"Not a day","2018","Couple + C. LE and GT 16","West Germany","565","1","1","1"
"Not a day","2018","Couple + C. LE and GT 16","East Germany","95","1","1","1"
"Not a day","2019","1-pers.-HH","West Germany","652","1","1","1"
"Not a day","2019","1-pers.-HH","East Germany","202","1","1","1"
"Not a day","2019","(Married) couple without C. ","West Germany","1455","1","1","1"
"Not a day","2019","(Married) couple without C. ","East Germany","523","1","1","1"
"Not a day","2019","Single parent ","West Germany","360","1","1","1"
"Not a day","2019","Single parent ","East Germany","122","1","1","1"
"Not a day","2019","Couple + C. LE 16 ","West Germany","1304","1","1","1"
