"ple0044_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","1999","35-65 y.","Rural Area","919","1","1","1"
"Not a day","1999","66 and older","Urban Area","33","1","1","1"
"Not a day","1999","66 and older","Rural Area","11","","",""
"Not a day","2000","16-34 y.","Urban Area","1456","1","1","1"
"Not a day","2000","16-34 y.","Rural Area","760","1","1","1"
"Not a day","2000","35-65 y.","Urban Area","3006","1","1","1"
"Not a day","2000","35-65 y.","Rural Area","1648","1","1","1"
"Not a day","2000","66 and older","Urban Area","62","1","1","1"
"Not a day","2000","66 and older","Rural Area","24","","",""
"Not a day","2001","16-34 y.","Urban Area","1333","1","1","1"
"Not a day","2001","16-34 y.","Rural Area","644","1","1","1"
"Not a day","2001","35-65 y.","Urban Area","2813","1","1","1"
"Not a day","2001","35-65 y.","Rural Area","1518","1","1","1"
"Not a day","2001","66 and older","Urban Area","61","1","1","1"
"Not a day","2001","66 and older","Rural Area","26","","",""
"Not a day","2002","16-34 y.","Urban Area","1269","1","1","1"
"Not a day","2002","16-34 y.","Rural Area","630","1","1","1"
"Not a day","2002","35-65 y.","Urban Area","3321","1","1","1"
"Not a day","2002","35-65 y.","Rural Area","1597","1","1","1"
"Not a day","2002","66 and older","Urban Area","85","1","1","1"
"Not a day","2002","66 and older","Rural Area","40","1","1","1"
"Not a day","2003","16-34 y.","Urban Area","1187","1","1","1"
"Not a day","2003","16-34 y.","Rural Area","579","1","1","1"
"Not a day","2003","35-65 y.","Urban Area","3103","1","1","1"
"Not a day","2003","35-65 y.","Rural Area","1565","1","1","1"
"Not a day","2003","66 and older","Urban Area","78","1","1","1"
"Not a day","2003","66 and older","Rural Area","33","1","1","1"
"Not a day","2004","16-34 y.","Urban Area","1107","1","1","1"
"Not a day","2004","16-34 y.","Rural Area","610","1","1","1"
"Not a day","2004","35-65 y.","Urban Area","3055","1","1","1"
"Not a day","2004","35-65 y.","Rural Area","1530","1","1","1"
"Not a day","2004","66 and older","Urban Area","98","1","1","1"
"Not a day","2004","66 and older","Rural Area","43","1","1","1"
"Not a day","2005","16-34 y.","Urban Area","1013","1","1","1"
"Not a day","2005","16-34 y.","Rural Area","573","1","1","1"
"Not a day","2005","35-65 y.","Urban Area","2938","1","1","1"
"Not a day","2005","35-65 y.","Rural Area","1472","1","1","1"
"Not a day","2005","66 and older","Urban Area","81","1","1","1"
"Not a day","2005","66 and older","Rural Area","43","1","1","1"
"Not a day","2006","16-34 y.","Urban Area","1011","1","1","1"
"Not a day","2006","16-34 y.","Rural Area","545","1","1","1"
"Not a day","2006","35-65 y.","Urban Area","3097","1","1","1"
"Not a day","2006","35-65 y.","Rural Area","1688","1","1","1"
"Not a day","2006","66 and older","Urban Area","112","1","1","1"
"Not a day","2006","66 and older","Rural Area","66","1","1","1"
"Not a day","2007","16-34 y.","Urban Area","941","1","1","1"
"Not a day","2007","16-34 y.","Rural Area","495","1","1","1"
"Not a day","2007","35-65 y.","Urban Area","2859","1","1","1"
"Not a day","2007","35-65 y.","Rural Area","1532","1","1","1"
"Not a day","2007","66 and older","Urban Area","104","1","1","1"
"Not a day","2007","66 and older","Rural Area","60","1","1","1"
"Not a day","2008","16-34 y.","Urban Area","853","1","1","1"
"Not a day","2008","16-34 y.","Rural Area","455","1","1","1"
"Not a day","2008","35-65 y.","Urban Area","2582","1","1","1"
"Not a day","2008","35-65 y.","Rural Area","1409","1","1","1"
"Not a day","2008","66 and older","Urban Area","115","1","1","1"
"Not a day","2008","66 and older","Rural Area","62","1","1","1"
"Not a day","2009","16-34 y.","Urban Area","775","1","1","1"
"Not a day","2009","16-34 y.","Rural Area","403","1","1","1"
"Not a day","2009","35-65 y.","Urban Area","2305","1","1","1"
"Not a day","2009","35-65 y.","Rural Area","1272","1","1","1"
"Not a day","2009","66 and older","Urban Area","124","1","1","1"
"Not a day","2009","66 and older","Rural Area","56","1","1","1"
"Not a day","2010","16-34 y.","Urban Area","1188","1","1","1"
"Not a day","2010","16-34 y.","Rural Area","656","1","1","1"
"Not a day","2010","35-65 y.","Urban Area","3088","1","1","1"
"Not a day","2010","35-65 y.","Rural Area","1825","1","1","1"
"Not a day","2010","66 and older","Urban Area","130","1","1","1"
"Not a day","2010","66 and older","Rural Area","54","1","1","1"
"Not a day","2011","16-34 y.","Urban Area","745","1","1","1"
"Not a day","2011","16-34 y.","Rural Area","417","1","1","1"
"Not a day","2011","35-65 y.","Urban Area","2302","1","1","1"
"Not a day","2011","35-65 y.","Rural Area","1337","1","1","1"
"Not a day","2011","66 and older","Urban Area","71","1","1","1"
"Not a day","2011","66 and older","Rural Area","30","1","1","1"
"Not a day","2012","16-34 y.","Urban Area","1096","1","1","1"
"Not a day","2012","16-34 y.","Rural Area","630","1","1","1"
"Not a day","2012","35-65 y.","Urban Area","3464","1","1","1"
"Not a day","2012","35-65 y.","Rural Area","2103","1","1","1"
"Not a day","2012","66 and older","Urban Area","167","1","1","1"
"Not a day","2012","66 and older","Rural Area","72","1","1","1"
"Not a day","2013","16-34 y.","Urban Area","1387","1","1","1"
"Not a day","2013","16-34 y.","Rural Area","646","1","1","1"
"Not a day","2013","35-65 y.","Urban Area","3859","1","1","1"
"Not a day","2013","35-65 y.","Rural Area","2157","1","1","1"
"Not a day","2013","66 and older","Urban Area","154","1","1","1"
"Not a day","2013","66 and older","Rural Area","67","1","1","1"
"Not a day","2014","16-34 y.","Urban Area","1457","1","1","1"
"Not a day","2014","16-34 y.","Rural Area","620","1","1","1"
"Not a day","2014","35-65 y.","Urban Area","3749","1","1","1"
"Not a day","2014","35-65 y.","Rural Area","2015","1","1","1"
"Not a day","2014","66 and older","Urban Area","216","1","1","1"
"Not a day","2014","66 and older","Rural Area","100","1","1","1"
"Not a day","2015","16-34 y.","Urban Area","1274","1","1","1"
"Not a day","2015","16-34 y.","Rural Area","551","1","1","1"
"Not a day","2015","35-65 y.","Urban Area","3196","1","1","1"
"Not a day","2015","35-65 y.","Rural Area","1896","1","1","1"
"Not a day","2015","66 and older","Urban Area","182","1","1","1"
"Not a day","2015","66 and older","Rural Area","88","1","1","1"
"Not a day","2016","16-34 y.","Urban Area","996","1","1","1"
"Not a day","2016","16-34 y.","Rural Area","478","1","1","1"
"Not a day","2016","35-65 y.","Urban Area","2936","1","1","1"
"Not a day","2016","35-65 y.","Rural Area","1702","1","1","1"
"Not a day","2016","66 and older","Urban Area","186","1","1","1"
"Not a day","2016","66 and older","Rural Area","87","1","1","1"
"Not a day","2017","16-34 y.","Urban Area","1022","1","1","1"
"Not a day","2017","16-34 y.","Rural Area","486","1","1","1"
"Not a day","2017","35-65 y.","Urban Area","3045","1","1","1"
"Not a day","2017","35-65 y.","Rural Area","1768","1","1","1"
"Not a day","2017","66 and older","Urban Area","212","1","1","1"
"Not a day","2017","66 and older","Rural Area","106","1","1","1"
"Not a day","2018","16-34 y.","Urban Area","990","1","1","1"
"Not a day","2018","16-34 y.","Rural Area","464","1","1","1"
"Not a day","2018","35-65 y.","Urban Area","2800","1","1","1"
"Not a day","2018","35-65 y.","Rural Area","1717","1","1","1"
"Not a day","2018","66 and older","Urban Area","217","1","1","1"
"Not a day","2018","66 and older","Rural Area","92","1","1","1"
"Not a day","2019","16-34 y.","Urban Area","803","1","1","1"
"Not a day","2019","16-34 y.","Rural Area","377","1","1","1"
"Not a day","2019","35-65 y.","Urban Area","2935","1","1","1"
"Not a day","2019","35-65 y.","Rural Area","1767","1","1","1"
"Not a day","2019","66 and older","Urban Area","319","1","1","1"
"Not a day","2019","66 and older","Rural Area","164","1","1","1"
