"ple0044_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","1995","Urban Area","West Germany","2064","0.256218304578723","0.246245047740182","0.266191561417264","1"
"Yes","1995","Urban Area","East Germany","413","0.291591006072626","0.266253261661705","0.316928750483546","1"
"Yes","1995","Rural Area","West Germany","602","0.286609125547364","0.266717209514667","0.306501041580061","1"
"No","1996","Urban Area","East Germany","856","0.730773542786389","0.706095399800294","0.755451685772484","2"
"No","1996","Rural Area","West Germany","1384","0.729861944227301","0.710199200551163","0.749524687903439","2"
"No","1996","Rural Area","East Germany","1585","0.732500380350888","0.714346663684536","0.750654097017241","2"
"No","1996","Urban Area","West Germany","5136","0.735090960679029","0.724855252039815","0.745326669318243","2"
"Yes","1996","Rural Area","East Germany","699","0.267499619649111","0.249345902982759","0.285653336315464","1"
"Yes","1996","Urban Area","West Germany","2004","0.264909039320971","0.254673330681757","0.275144747960185","1"
"Yes","1996","Urban Area","East Germany","385","0.269226457213611","0.244548314227516","0.293904600199706","1"
"Yes","1996","Rural Area","West Germany","575","0.270138055772699","0.250475312096561","0.289800799448837","1"
"No","1997","Urban Area","East Germany","835","0.735728659632944","0.710934818009249","0.76052250125664","2"
"No","1997","Urban Area","West Germany","5059","0.746590735751142","0.736399809371283","0.756781662131001","2"
"No","1997","Rural Area","West Germany","1338","0.708847633067628","0.688516555424609","0.729178710710647","2"
"No","1997","Rural Area","East Germany","1534","0.719713501282874","0.70124122404235","0.738185778523398","2"
"Yes","1997","Urban Area","West Germany","1939","0.253409264248858","0.243218337868999","0.263600190628717","1"
"Yes","1997","Urban Area","East Germany","380","0.264271340367056","0.23947749874336","0.289065181990751","1"
"Yes","1997","Rural Area","West Germany","580","0.291152366932372","0.270821289289353","0.311483444575391","1"
"Yes","1997","Rural Area","East Germany","737","0.280286498717126","0.261814221476602","0.29875877595765","1"
"No","1998","Urban Area","East Germany","844","0.718469848078195","0.693386740372161","0.743552955784229","2"
"No","1998","Rural Area","East Germany","1662","0.709372117930157","0.69146946410392","0.727274771756393","2"
"No","1998","Urban Area","West Germany","5545","0.734190124518169","0.72436876700503","0.744011482031308","2"
"No","1998","Rural Area","West Germany","1588","0.738750422033741","0.720500450945149","0.757000393122332","2"
"Yes","1998","Urban Area","West Germany","2227","0.265809875481831","0.255988517968693","0.27563123299497","1"
"Yes","1998","Urban Area","East Germany","391","0.281530151921805","0.256447044215771","0.306613259627839","1"
"Yes","1998","Rural Area","West Germany","638","0.261249577966259","0.242999606877668","0.279499549054851","1"
"Yes","1998","Rural Area","East Germany","809","0.290627882069843","0.272725228243607","0.30853053589608","1"
"No","1999","Urban Area","East Germany","834","0.692077483593764","0.666506701568267","0.71764826561926","2"
"No","1999","Rural Area","East Germany","1624","0.710452045573318","0.69227617847704","0.728627912669596","2"
"No","1999","Urban Area","West Germany","5200","0.719067340229327","0.708848981670608","0.729285698788045","2"
"No","1999","Rural Area","West Germany","1453","0.719203780371937","0.700038166105778","0.738369394638096","2"
"Yes","1999","Urban Area","West Germany","2232","0.280932659770673","0.270714301211955","0.291151018329392","1"
"Yes","1999","Urban Area","East Germany","418","0.307922516406236","0.28235173438074","0.333493298431733","1"
"Yes","1999","Rural Area","West Germany","659","0.280796219628063","0.261630605361904","0.299961833894222","1"
"Yes","1999","Rural Area","East Germany","768","0.289547954426682","0.271372087330404","0.30772382152296","1"
"No","2000","Urban Area","East Germany","1271","0.708648611945183","0.688059613850799","0.729237610039566","2"
"No","2000","Rural Area","East Germany","2637","0.712238649369354","0.697869082147249","0.72660821659146","2"
"No","2000","Urban Area","West Germany","9638","0.720704023173345","0.713153152462802","0.728254893883889","2"
"No","2000","Rural Area","West Germany","2916","0.70979114834069","0.696019162801193","0.723563133880186","2"
"Yes","2000","Urban Area","East Germany","600","0.291351388054817","0.270762389960434","0.311940386149201","1"
"Yes","2000","Rural Area","West Germany","1256","0.29020885165931","0.276436866119814","0.303980837198807","1"
"Yes","2000","Rural Area","East Germany","1176","0.287761350630646","0.27339178340854","0.302130917852751","1"
"Yes","2000","Urban Area","West Germany","3924","0.279295976826655","0.271745106116111","0.286846847537198","1"
"No","2001","Urban Area","East Germany","1214","0.712065920699887","0.690899603936835","0.733232237462939","2"
"No","2001","Rural Area","East Germany","2490","0.72800608596247","0.713339161302438","0.742673010622501","2"
"No","2001","Urban Area","West Germany","8681","0.710197677960459","0.702194532895867","0.718200823025051","2"
"No","2001","Rural Area","West Germany","2616","0.706471575794682","0.691912220938977","0.721030930650386","2"
"Yes","2001","Urban Area","East Germany","544","0.287934079300113","0.266767762537061","0.309100396063165","1"
"Yes","2001","Rural Area","West Germany","1142","0.293528424205318","0.278969069349614","0.308087779061023","1"
"Yes","2001","Rural Area","East Germany","1046","0.27199391403753","0.257326989377499","0.286660838697562","1"
"Yes","2001","Urban Area","West Germany","3663","0.289802322039541","0.281799176974949","0.297805467104133","1"
"No","2002","Urban Area","West Germany","9134","0.718433089684344","0.710761026022425","0.726105153346263","2"
"No","2002","Urban Area","East Germany","1183","0.706442939024026","0.685346634523702","0.727539243524351","2"
"No","2002","Rural Area","East Germany","2440","0.729187614811878","0.714395676972127","0.743979552651629","2"
"No","2002","Rural Area","West Germany","2692","0.705854652891623","0.69161235816041","0.720096947622835","2"
"Yes","2002","Urban Area","East Germany","607","0.293557060975974","0.272460756475649","0.314653365476298","1"
"Yes","2002","Urban Area","West Germany","4068","0.281566910315656","0.273894846653737","0.289238973977575","1"
"Yes","2002","Rural Area","West Germany","1240","0.294145347108377","0.279903052377165","0.308387641839589","1"
"Yes","2002","Rural Area","East Germany","1027","0.270812385188122","0.256020447348371","0.285604323027873","1"
"No","2003","Rural Area","East Germany","2415","0.7240016309292","0.709076660319359","0.738926601539041","2"
"No","2003","Urban Area","West Germany","8886","0.72704948312822","0.71930365937256","0.73479530688388","2"
"No","2003","Urban Area","East Germany","1225","0.73112104174935","0.710483081425308","0.751759002073392","2"
"No","2003","Rural Area","West Germany","2546","0.694430966938805","0.679572073970349","0.709289859907261","2"
"Yes","2003","Urban Area","East Germany","548","0.26887895825065","0.248240997926608","0.289516918574692","1"
"Yes","2003","Rural Area","East Germany","1031","0.2759983690708","0.261073398460959","0.290923339680641","1"
"Yes","2003","Urban Area","West Germany","3820","0.27295051687178","0.26520469311612","0.28069634062744","1"
"Yes","2003","Rural Area","West Germany","1146","0.305569033061195","0.290710140092739","0.320427926029651","1"
"No","2004","Rural Area","East Germany","2304","0.715118940109045","0.699742527558067","0.730495352660024","2"
"No","2004","Urban Area","West Germany","8639","0.72614899486973","0.718289974893952","0.734008014845508","2"
"No","2004","Urban Area","East Germany","1243","0.746064457594324","0.725809972621696","0.766318942566953","2"
"No","2004","Rural Area","West Germany","2494","0.693367733779036","0.67845193077269","0.708283536785383","2"
"Yes","2004","Urban Area","East Germany","531","0.253935542405676","0.233681057433047","0.274190027378304","1"
"Yes","2004","Rural Area","East Germany","1006","0.284881059890955","0.269504647339976","0.300257472441934","1"
"Yes","2004","Urban Area","West Germany","3729","0.27385100513027","0.265991985154492","0.281710025106048","1"
"Yes","2004","Rural Area","West Germany","1177","0.306632266220964","0.291716463214617","0.32154806922731","1"
"No","2005","Urban Area","West Germany","8370","0.722308705377094","0.714259987939685","0.730357422814503","2"
"No","2005","Urban Area","East Germany","1201","0.743476748606223","0.722771801607855","0.764181695604592","2"
"No","2005","Rural Area","West Germany","2368","0.687901298246424","0.672515569784021","0.703287026708828","2"
"No","2005","Rural Area","East Germany","2234","0.714293260736704","0.698655849746521","0.729930671726887","2"
"Yes","2005","Urban Area","East Germany","508","0.256523251393777","0.235818304395408","0.277228198392145","1"
"Yes","2005","Rural Area","East Germany","972","0.285706739263296","0.270069328273113","0.301344150253479","1"
"Yes","2005","Urban Area","West Germany","3524","0.277691294622906","0.269642577185497","0.285740012060315","1"
"Yes","2005","Rural Area","West Germany","1116","0.312098701753576","0.296712973291172","0.327484430215979","1"
"No","2006","Urban Area","West Germany","8857","0.723910515245235","0.716083648374582","0.731737382115889","2"
"No","2006","Urban Area","East Germany","1223","0.712070034257084","0.690957780169343","0.733182288344825","2"
"No","2006","Rural Area","West Germany","2602","0.686675098270508","0.672057434656616","0.7012927618844","2"
"No","2006","Rural Area","East Germany","2336","0.7034542871297","0.688031553748474","0.718877020510927","2"
"Yes","2006","Urban Area","East Germany","544","0.287929965742916","0.266817711655175","0.309042219830657","1"
"Yes","2006","Rural Area","East Germany","1033","0.2965457128703","0.281122979489073","0.311968446251526","1"
"Yes","2006","Urban Area","West Germany","3676","0.276089484754765","0.268262617884111","0.283916351625418","1"
"Yes","2006","Rural Area","West Germany","1266","0.313324901729492","0.2987072381156","0.327942565343384","1"
"No","2007","Urban Area","West Germany","8222","0.724584734569012","0.716457451203925","0.732712017934099","2"
"No","2007","Urban Area","East Germany","1162","0.715615276669971","0.694056305665643","0.737174247674299","2"
"No","2007","Rural Area","West Germany","2448","0.692364374733669","0.67726120605575","0.707467543411587","2"
"No","2007","Rural Area","East Germany","2240","0.705698876790745","0.689879309230488","0.721518444351002","2"
"Yes","2007","Urban Area","West Germany","3384","0.275415265430988","0.267287982065901","0.283542548796075","1"
"Yes","2007","Urban Area","East Germany","520","0.284384723330029","0.262825752325701","0.305943694334357","1"
"Yes","2007","Rural Area","East Germany","948","0.294301123209255","0.278481555648998","0.310120690769512","1"
"Yes","2007","Rural Area","West Germany","1139","0.307635625266331","0.292532456588413","0.32273879394425","1"
"No","2008","Urban Area","East Germany","1166","0.729712284705738","0.708178962076975","0.751245607334501","2"
"No","2008","Rural Area","West Germany","2369","0.707477308530732","0.692181499894591","0.722773117166874","2"
"No","2008","Rural Area","East Germany","2137","0.710591118888067","0.69445473870595","0.726727499070185","2"
"No","2008","Urban Area","West Germany","7893","0.728978985159315","0.720663170247278","0.737294800071352","2"
"Yes","2008","Rural Area","East Germany","897","0.289408881111933","0.273272500929815","0.30554526129405","1"
"Yes","2008","Urban Area","West Germany","3082","0.271021014840685","0.262705199928648","0.279336829752722","1"
"Yes","2008","Urban Area","East Germany","468","0.270287715294262","0.248754392665499","0.291821037923025","1"
"Yes","2008","Rural Area","West Germany","1029","0.292522691469268","0.277226882833126","0.307818500105409","1"
"No","2009","Urban Area","East Germany","1110","0.733767696579858","0.711792526105467","0.755742867054248","2"
"No","2009","Rural Area","West Germany","2264","0.710865304672107","0.69521602550732","0.726514583836894","2"
"No","2009","Rural Area","East Germany","2117","0.7261827392038","0.709919656585058","0.742445821822541","2"
"No","2009","Urban Area","West Germany","7312","0.735492043065595","0.726878167528189","0.744105918603002","2"
"Yes","2009","Rural Area","East Germany","771","0.2738172607962","0.257554178177459","0.290080343414942","1"
"Yes","2009","Urban Area","West Germany","2760","0.264507956934405","0.255894081396998","0.273121832471811","1"
"Yes","2009","Urban Area","East Germany","444","0.266232303420142","0.244257132945752","0.288207473894533","1"
"Yes","2009","Rural Area","West Germany","960","0.289134695327893","0.273485416163106","0.30478397449268","1"
"No","2010","Urban Area","East Germany","1389","0.735866643868426","0.7162332913663","0.755499996370552","2"
"No","2010","Urban Area","West Germany","9842","0.741698464106456","0.734369122031376","0.749027806181537","2"
"No","2010","Rural Area","West Germany","3193","0.690327213927157","0.677059341566615","0.703595086287699","2"
"No","2010","Rural Area","East Germany","2417","0.70941385618289","0.694328840940982","0.724498871424797","2"
"Yes","2010","Urban Area","West Germany","3858","0.258301535893543","0.250972193818463","0.265630877968624","1"
"Yes","2010","Urban Area","East Germany","548","0.264133356131574","0.244500003629448","0.2837667086337","1"
"Yes","2010","Rural Area","West Germany","1472","0.309672786072843","0.296404913712301","0.322940658433385","1"
"Yes","2010","Rural Area","East Germany","1063","0.290586143817111","0.275501128575203","0.305671159059018","1"
"No","2011","Urban Area","East Germany","1243","0.835374942311095","0.817037080712684","0.853712803909506","2"
"No","2011","Rural Area","East Germany","2172","0.806064243467852","0.791393241951327","0.820735244984376","2"
"No","2011","Urban Area","West Germany","9258","0.805403436401093","0.798334323235489","0.812472549566697","2"
"No","2011","Rural Area","West Germany","3466","0.793805966020549","0.782155077613101","0.805456854427998","2"
"Yes","2011","Urban Area","West Germany","2790","0.194596563598907","0.187527450433303","0.201665676764511","1"
"Yes","2011","Urban Area","East Germany","328","0.164625057688905","0.146287196090494","0.182962919287316","1"
"Yes","2011","Rural Area","West Germany","1166","0.206194033979451","0.194543145572002","0.2178449223869","1"
"Yes","2011","Rural Area","East Germany","618","0.193935756532149","0.179264755015624","0.208606758048673","1"
"No","2012","Urban Area","East Germany","1567","0.727716510455288","0.709013547503504","0.746419473407072","2"
"No","2012","Rural Area","East Germany","2809","0.717495148827501","0.703446096608783","0.73154420104622","2"
"No","2012","Urban Area","West Germany","11275","0.748729538858394","0.741877502506484","0.755581575210303","2"
"No","2012","Rural Area","West Germany","4222","0.730236704967923","0.718902871219229","0.741570538716616","2"
"Yes","2012","Urban Area","West Germany","4118","0.251270461141606","0.244418424789697","0.258122497493516","1"
"Yes","2012","Urban Area","East Germany","609","0.272283489544712","0.253580526592928","0.290986452496496","1"
"Yes","2012","Rural Area","West Germany","1669","0.269763295032077","0.258429461283384","0.281097128780771","1"
"Yes","2012","Rural Area","East Germany","1136","0.282504851172499","0.26845579895378","0.296553903391217","1"
"No","2013","Urban Area","East Germany","1605","0.741155561572936","0.722902755708963","0.75940836743691","2"
"No","2013","Rural Area","East Germany","2781","0.726994723912815","0.712940541426275","0.741048906399355","2"
"No","2013","Urban Area","West Germany","13184","0.763062801353813","0.756847155701519","0.769278447006107","2"
"No","2013","Rural Area","West Germany","4567","0.740294847390674","0.729517038571629","0.751072656209719","2"
"Yes","2013","Urban Area","East Germany","607","0.258844438427064","0.24059163256309","0.277097244291037","1"
"Yes","2013","Rural Area","West Germany","1791","0.259705152609326","0.248927343790281","0.270482961428371","1"
"Yes","2013","Rural Area","East Germany","1079","0.273005276087185","0.258951093600645","0.287059458573725","1"
"Yes","2013","Urban Area","West Germany","4793","0.236937198646187","0.230721552993893","0.243152844298481","1"
"No","2014","Urban Area","East Germany","1447","0.733813286978417","0.714482380974922","0.753144192981911","2"
"No","2014","Rural Area","East Germany","2549","0.727459499543201","0.712762561230605","0.742156437855796","2"
"No","2014","Urban Area","West Germany","10768","0.725482811407132","0.718486311537962","0.732479311276302","2"
"No","2014","Rural Area","West Germany","3907","0.72506243174465","0.713435827787779","0.736689035701521","2"
"Yes","2014","Urban Area","East Germany","561","0.266186713021583","0.246855807018089","0.285517619025078","1"
"Yes","2014","Rural Area","West Germany","1758","0.27493756825535","0.263310964298479","0.286564172212221","1"
"Yes","2014","Rural Area","East Germany","977","0.272540500456799","0.257843562144204","0.287237438769395","1"
"Yes","2014","Urban Area","West Germany","4861","0.274517188592868","0.267520688723698","0.281513688462038","1"
"No","2015","Urban Area","West Germany","11431","0.757042502559914","0.750301319679958","0.76378368543987","2"
"No","2015","Urban Area","East Germany","1462","0.737378595878162","0.718078059365897","0.756679132390428","2"
"No","2015","Rural Area","East Germany","2461","0.723081917380539","0.707983029495705","0.738180805265372","2"
"No","2015","Rural Area","West Germany","4074","0.736715428711289","0.725278071420766","0.748152786001812","2"
"Yes","2015","Urban Area","East Germany","535","0.262621404121838","0.243320867609572","0.281921940634104","1"
"Yes","2015","Urban Area","West Germany","4117","0.242957497440086","0.23621631456013","0.249698680320042","1"
"Yes","2015","Rural Area","West Germany","1622","0.263284571288711","0.251847213998188","0.274721928579234","1"
"Yes","2015","Rural Area","East Germany","913","0.276918082619461","0.261819194734628","0.292016970504294","1"
"No","2016","Rural Area","East Germany","2353","0.732099908570481","0.716653993753648","0.747545823387315","2"
"No","2016","Urban Area","West Germany","10344","0.750218339466475","0.743047951151395","0.757388727781554","2"
"No","2016","Urban Area","East Germany","1362","0.747994612949481","0.728064539277834","0.767924686621128","2"
"No","2016","Rural Area","West Germany","3662","0.740228064631146","0.728221398930523","0.752234730331769","2"
"Yes","2016","Urban Area","East Germany","461","0.252005387050519","0.232075313378872","0.271935460722166","1"
"Yes","2016","Rural Area","East Germany","805","0.267900091429519","0.252454176612686","0.283346006246352","1"
"Yes","2016","Urban Area","West Germany","3657","0.249781660533525","0.242611272218446","0.256952048848605","1"
"Yes","2016","Rural Area","West Germany","1462","0.259771935368854","0.247765269668231","0.271778601069477","1"
"No","2017","Rural Area","East Germany","2729","0.76670073990714","0.752908212929194","0.780493266885086","2"
"No","2017","Urban Area","West Germany","11332","0.753544497168387","0.746680451233554","0.76040854310322","2"
"No","2017","Urban Area","East Germany","1472","0.761832537481424","0.742882664785454","0.780782410177394","2"
"No","2017","Rural Area","West Germany","4239","0.770941278730908","0.760047311944862","0.781835245516954","2"
"Yes","2017","Urban Area","East Germany","469","0.238167462518576","0.219217589822606","0.257117335214546","1"
"Yes","2017","Rural Area","East Germany","883","0.23329926009286","0.219506733114914","0.247091787070806","1"
"Yes","2017","Urban Area","West Germany","3810","0.246455502831613","0.23959145689678","0.253319548766446","1"
"Yes","2017","Rural Area","West Germany","1477","0.229058721269092","0.218164754483046","0.239952688055138","1"
"No","2018","Urban Area","West Germany","11085","0.77369890587645","0.766919202035449","0.780478609717451","2"
"No","2018","Urban Area","East Germany","1453","0.757156680969814","0.737936383433131","0.776376978506497","2"
"No","2018","Rural Area","West Germany","3966","0.75296157955004","0.741472169308585","0.764450989791495","2"
"No","2018","Rural Area","East Germany","2717","0.767145507337566","0.753228569139451","0.781062445535682","2"
"Yes","2018","Urban Area","East Germany","459","0.242843319030186","0.223623021493503","0.262063616566869","1"
"Yes","2018","Rural Area","East Germany","826","0.232854492662434","0.218937554464318","0.246771430860549","1"
"Yes","2018","Urban Area","West Germany","3548","0.22630109412355","0.219521390282548","0.233080797964551","1"
"Yes","2018","Rural Area","West Germany","1447","0.24703842044996","0.235549010208505","0.258527830691415","1"
"No","2019","Urban Area","West Germany","10134","0.764396098448959","0.757310799248389","0.77148139764953","2"
"No","2019","Urban Area","East Germany","1103","0.776145844746337","0.755142770116954","0.79714891937572","2"
"No","2019","Rural Area","West Germany","3860","0.769053284813622","0.757620633711696","0.780485935915547","2"
"No","2019","Rural Area","East Germany","2579","0.778033928540627","0.764319177542641","0.791748679538614","2"
"Yes","2019","Urban Area","East Germany","410","0.223854155253663","0.20285108062428","0.244857229883046","1"
"Yes","2019","Rural Area","East Germany","948","0.221966071459372","0.208251320461386","0.235680822457359","1"
"Yes","2019","Urban Area","West Germany","3647","0.235603901551041","0.22851860235047","0.242689200751611","1"
"Yes","2019","Rural Area","West Germany","1360","0.230946715186378","0.219514064084453","0.242379366288304","1"
