"ple0044_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","1988","Lower Saxony","Urban Area","164","1","1","1"
"Not a day","1988","Lower Saxony","Rural Area","156","1","1","1"
"Not a day","1988","Bremen","Urban Area","30","1","1","1"
"Not a day","1988","Bremen","Rural Area","","","",""
"Not a day","1988","North Rhine-Westphalia","Urban Area","790","1","1","1"
"Not a day","1988","North Rhine-Westphalia","Rural Area","22","","",""
"Not a day","1988","Hesse","Urban Area","257","1","1","1"
"Not a day","1988","Hesse","Rural Area","32","1","1","1"
"Not a day","1988","Rhineland-Palatinate,Saarland","Urban Area","168","1","1","1"
"Not a day","1988","Rhineland-Palatinate,Saarland","Rural Area","46","1","1","1"
"Not a day","1988","Baden-Württemberg","Urban Area","471","1","1","1"
"Not a day","1988","Baden-Württemberg","Rural Area","85","1","1","1"
"Not a day","1988","Bavaria","Urban Area","278","1","1","1"
"Not a day","1988","Bavaria","Rural Area","273","1","1","1"
"Not a day","1988","Berlin","Urban Area","100","1","1","1"
"Not a day","1988","Berlin","Rural Area","","","",""
"Not a day","1988","Brandenburg","Urban Area","","","",""
"Not a day","1988","Brandenburg","Rural Area","","","",""
"Not a day","1988","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1988","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1988","Saxony","Urban Area","","","",""
"Not a day","1988","Saxony","Rural Area","","","",""
"Not a day","1988","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1988","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1988","Thuringia","Urban Area","","","",""
"Not a day","1988","Thuringia","Rural Area","","","",""
"Not a day","1989","Schleswig-Holstein","Urban Area","43","1","1","1"
"Not a day","1989","Schleswig-Holstein","Rural Area","36","1","1","1"
"Not a day","1989","Hamburg","Urban Area","54","1","1","1"
"Not a day","1989","Hamburg","Rural Area","","","",""
"Not a day","1989","Lower Saxony","Urban Area","165","1","1","1"
"Not a day","1989","Lower Saxony","Rural Area","133","1","1","1"
"Not a day","1989","Bremen","Urban Area","32","1","1","1"
"Not a day","1989","Bremen","Rural Area","","","",""
"Not a day","1989","North Rhine-Westphalia","Urban Area","725","1","1","1"
"Not a day","1989","North Rhine-Westphalia","Rural Area","29","","",""
"Not a day","1989","Hesse","Urban Area","271","1","1","1"
"Not a day","1989","Hesse","Rural Area","39","1","1","1"
"Not a day","1989","Rhineland-Palatinate,Saarland","Urban Area","145","1","1","1"
"Not a day","1989","Rhineland-Palatinate,Saarland","Rural Area","26","","",""
"Not a day","1989","Baden-Württemberg","Urban Area","453","1","1","1"
"Not a day","1989","Baden-Württemberg","Rural Area","70","1","1","1"
"Not a day","1989","Bavaria","Urban Area","273","1","1","1"
"Not a day","1989","Bavaria","Rural Area","248","1","1","1"
"Not a day","1989","Berlin","Urban Area","98","1","1","1"
"Not a day","1989","Berlin","Rural Area","","","",""
"Not a day","1989","Brandenburg","Urban Area","","","",""
"Not a day","1989","Brandenburg","Rural Area","","","",""
"Not a day","1989","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1989","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1989","Saxony","Urban Area","","","",""
"Not a day","1989","Saxony","Rural Area","","","",""
"Not a day","1989","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1989","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1989","Thuringia","Urban Area","","","",""
"Not a day","1989","Thuringia","Rural Area","","","",""
"Not a day","1990","Schleswig-Holstein","Urban Area","","","",""
"Not a day","1990","Schleswig-Holstein","Rural Area","","","",""
"Not a day","1990","Hamburg","Urban Area","","","",""
"Not a day","1990","Hamburg","Rural Area","","","",""
"Not a day","1990","Lower Saxony","Urban Area","","","",""
"Not a day","1990","Lower Saxony","Rural Area","","","",""
"Not a day","1990","Bremen","Urban Area","","","",""
"Not a day","1990","Bremen","Rural Area","","","",""
"Not a day","1990","North Rhine-Westphalia","Urban Area","","","",""
"Not a day","1990","North Rhine-Westphalia","Rural Area","","","",""
"Not a day","1990","Hesse","Urban Area","","","",""
"Not a day","1990","Hesse","Rural Area","","","",""
"Not a day","1990","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Not a day","1990","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Not a day","1990","Baden-Württemberg","Urban Area","","","",""
"Not a day","1990","Baden-Württemberg","Rural Area","","","",""
"Not a day","1990","Bavaria","Urban Area","","","",""
"Not a day","1990","Bavaria","Rural Area","","","",""
"Not a day","1990","Berlin","Urban Area","","","",""
"Not a day","1990","Berlin","Rural Area","","","",""
"Not a day","1990","Brandenburg","Urban Area","","","",""
"Not a day","1990","Brandenburg","Rural Area","","","",""
"Not a day","1990","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1990","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1990","Saxony","Urban Area","","","",""
"Not a day","1990","Saxony","Rural Area","","","",""
"Not a day","1990","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1990","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1990","Thuringia","Urban Area","","","",""
"Not a day","1990","Thuringia","Rural Area","","","",""
"Not a day","1991","Schleswig-Holstein","Urban Area","48","1","1","1"
"Not a day","1991","Schleswig-Holstein","Rural Area","44","1","1","1"
"Not a day","1991","Hamburg","Urban Area","43","1","1","1"
"Not a day","1991","Hamburg","Rural Area","","","",""
"Not a day","1991","Lower Saxony","Urban Area","164","1","1","1"
"Not a day","1991","Lower Saxony","Rural Area","124","1","1","1"
"Not a day","1991","Bremen","Urban Area","16","","",""
"Not a day","1991","Bremen","Rural Area","","","",""
"Not a day","1991","North Rhine-Westphalia","Urban Area","729","1","1","1"
"Not a day","1991","North Rhine-Westphalia","Rural Area","23","","",""
"Not a day","1991","Hesse","Urban Area","237","1","1","1"
"Not a day","1991","Hesse","Rural Area","30","1","1","1"
"Not a day","1991","Rhineland-Palatinate,Saarland","Urban Area","138","1","1","1"
"Not a day","1991","Rhineland-Palatinate,Saarland","Rural Area","26","","",""
"Not a day","1991","Baden-Württemberg","Urban Area","421","1","1","1"
"Not a day","1991","Baden-Württemberg","Rural Area","70","1","1","1"
"Not a day","1991","Bavaria","Urban Area","241","1","1","1"
"Not a day","1991","Bavaria","Rural Area","250","1","1","1"
"Not a day","1991","Berlin","Urban Area","99","1","1","1"
"Not a day","1991","Berlin","Rural Area","","","",""
"Not a day","1991","Brandenburg","Urban Area","","","",""
"Not a day","1991","Brandenburg","Rural Area","","","",""
"Not a day","1991","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1991","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1991","Saxony","Urban Area","","","",""
"Not a day","1991","Saxony","Rural Area","","","",""
"Not a day","1991","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1991","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1991","Thuringia","Urban Area","","","",""
"Not a day","1991","Thuringia","Rural Area","","","",""
"Not a day","1992","Schleswig-Holstein","Urban Area","43","1","1","1"
"Not a day","1992","Schleswig-Holstein","Rural Area","48","1","1","1"
"Not a day","1992","Hamburg","Urban Area","40","1","1","1"
"Not a day","1992","Hamburg","Rural Area","","","",""
"Not a day","1992","Lower Saxony","Urban Area","136","1","1","1"
"Not a day","1992","Lower Saxony","Rural Area","122","1","1","1"
"Not a day","1992","Bremen","Urban Area","15","","",""
"Not a day","1992","Bremen","Rural Area","","","",""
"Not a day","1992","North Rhine-Westphalia","Urban Area","703","1","1","1"
"Not a day","1992","North Rhine-Westphalia","Rural Area","20","","",""
"Not a day","1992","Hesse","Urban Area","215","1","1","1"
"Not a day","1992","Hesse","Rural Area","34","1","1","1"
"Not a day","1992","Rhineland-Palatinate,Saarland","Urban Area","141","1","1","1"
"Not a day","1992","Rhineland-Palatinate,Saarland","Rural Area","30","1","1","1"
"Not a day","1992","Baden-Württemberg","Urban Area","394","1","1","1"
"Not a day","1992","Baden-Württemberg","Rural Area","65","1","1","1"
"Not a day","1992","Bavaria","Urban Area","238","1","1","1"
"Not a day","1992","Bavaria","Rural Area","266","1","1","1"
"Not a day","1992","Berlin","Urban Area","185","1","1","1"
"Not a day","1992","Berlin","Rural Area","","","",""
"Not a day","1992","Brandenburg","Urban Area","34","1","1","1"
"Not a day","1992","Brandenburg","Rural Area","260","1","1","1"
"Not a day","1992","Mecklenburg-Western Pomerania","Urban Area","18","","",""
"Not a day","1992","Mecklenburg-Western Pomerania","Rural Area","145","1","1","1"
"Not a day","1992","Saxony","Urban Area","264","1","1","1"
"Not a day","1992","Saxony","Rural Area","248","1","1","1"
"Not a day","1992","Saxony-Anhalt","Urban Area","112","1","1","1"
"Not a day","1992","Saxony-Anhalt","Rural Area","231","1","1","1"
"Not a day","1992","Thuringia","Urban Area","94","1","1","1"
"Not a day","1992","Thuringia","Rural Area","203","1","1","1"
"Not a day","1993","Schleswig-Holstein","Urban Area","","","",""
"Not a day","1993","Schleswig-Holstein","Rural Area","","","",""
"Not a day","1993","Hamburg","Urban Area","","","",""
"Not a day","1993","Hamburg","Rural Area","","","",""
"Not a day","1993","Lower Saxony","Urban Area","","","",""
"Not a day","1993","Lower Saxony","Rural Area","","","",""
"Not a day","1993","Bremen","Urban Area","","","",""
"Not a day","1993","Bremen","Rural Area","","","",""
"Not a day","1993","North Rhine-Westphalia","Urban Area","","","",""
"Not a day","1993","North Rhine-Westphalia","Rural Area","","","",""
"Not a day","1993","Hesse","Urban Area","","","",""
"Not a day","1993","Hesse","Rural Area","","","",""
"Not a day","1993","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Not a day","1993","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Not a day","1993","Baden-Württemberg","Urban Area","","","",""
"Not a day","1993","Baden-Württemberg","Rural Area","","","",""
"Not a day","1993","Bavaria","Urban Area","","","",""
"Not a day","1993","Bavaria","Rural Area","","","",""
"Not a day","1993","Berlin","Urban Area","","","",""
"Not a day","1993","Berlin","Rural Area","","","",""
"Not a day","1993","Brandenburg","Urban Area","","","",""
"Not a day","1993","Brandenburg","Rural Area","","","",""
"Not a day","1993","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1993","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1993","Saxony","Urban Area","","","",""
"Not a day","1993","Saxony","Rural Area","","","",""
"Not a day","1993","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1993","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1993","Thuringia","Urban Area","","","",""
"Not a day","1993","Thuringia","Rural Area","","","",""
"Not a day","1994","Schleswig-Holstein","Urban Area","52","1","1","1"
"Not a day","1994","Schleswig-Holstein","Rural Area","45","1","1","1"
"Not a day","1994","Hamburg","Urban Area","30","1","1","1"
"Not a day","1994","Hamburg","Rural Area","","","",""
"Not a day","1994","Lower Saxony","Urban Area","134","1","1","1"
"Not a day","1994","Lower Saxony","Rural Area","131","1","1","1"
"Not a day","1994","Bremen","Urban Area","16","","",""
"Not a day","1994","Bremen","Rural Area","","","",""
"Not a day","1994","North Rhine-Westphalia","Urban Area","717","1","1","1"
"Not a day","1994","North Rhine-Westphalia","Rural Area","20","","",""
"Not a day","1994","Hesse","Urban Area","220","1","1","1"
"Not a day","1994","Hesse","Rural Area","30","1","1","1"
"Not a day","1994","Rhineland-Palatinate,Saarland","Urban Area","136","1","1","1"
"Not a day","1994","Rhineland-Palatinate,Saarland","Rural Area","29","","",""
"Not a day","1994","Baden-Württemberg","Urban Area","408","1","1","1"
"Not a day","1994","Baden-Württemberg","Rural Area","58","1","1","1"
"Not a day","1994","Bavaria","Urban Area","228","1","1","1"
"Not a day","1994","Bavaria","Rural Area","254","1","1","1"
"Not a day","1994","Berlin","Urban Area","162","1","1","1"
"Not a day","1994","Berlin","Rural Area","","","",""
"Not a day","1994","Brandenburg","Urban Area","27","","",""
"Not a day","1994","Brandenburg","Rural Area","163","1","1","1"
"Not a day","1994","Mecklenburg-Western Pomerania","Urban Area","20","","",""
"Not a day","1994","Mecklenburg-Western Pomerania","Rural Area","118","1","1","1"
"Not a day","1994","Saxony","Urban Area","193","1","1","1"
"Not a day","1994","Saxony","Rural Area","175","1","1","1"
"Not a day","1994","Saxony-Anhalt","Urban Area","71","1","1","1"
"Not a day","1994","Saxony-Anhalt","Rural Area","174","1","1","1"
"Not a day","1994","Thuringia","Urban Area","75","1","1","1"
"Not a day","1994","Thuringia","Rural Area","166","1","1","1"
"Not a day","1995","Schleswig-Holstein","Urban Area","35","1","1","1"
"Not a day","1995","Schleswig-Holstein","Rural Area","42","1","1","1"
"Not a day","1995","Hamburg","Urban Area","32","1","1","1"
"Not a day","1995","Hamburg","Rural Area","","","",""
"Not a day","1995","Lower Saxony","Urban Area","140","1","1","1"
"Not a day","1995","Lower Saxony","Rural Area","141","1","1","1"
"Not a day","1995","Bremen","Urban Area","17","","",""
"Not a day","1995","Bremen","Rural Area","","","",""
"Not a day","1995","North Rhine-Westphalia","Urban Area","733","1","1","1"
"Not a day","1995","North Rhine-Westphalia","Rural Area","17","","",""
"Not a day","1995","Hesse","Urban Area","218","1","1","1"
"Not a day","1995","Hesse","Rural Area","42","1","1","1"
"Not a day","1995","Rhineland-Palatinate,Saarland","Urban Area","135","1","1","1"
"Not a day","1995","Rhineland-Palatinate,Saarland","Rural Area","41","1","1","1"
"Not a day","1995","Baden-Württemberg","Urban Area","420","1","1","1"
"Not a day","1995","Baden-Württemberg","Rural Area","67","1","1","1"
"Not a day","1995","Bavaria","Urban Area","253","1","1","1"
"Not a day","1995","Bavaria","Rural Area","252","1","1","1"
"Not a day","1995","Berlin","Urban Area","154","1","1","1"
"Not a day","1995","Berlin","Rural Area","","","",""
"Not a day","1995","Brandenburg","Urban Area","9","","",""
"Not a day","1995","Brandenburg","Rural Area","198","1","1","1"
"Not a day","1995","Mecklenburg-Western Pomerania","Urban Area","15","","",""
"Not a day","1995","Mecklenburg-Western Pomerania","Rural Area","124","1","1","1"
"Not a day","1995","Saxony","Urban Area","191","1","1","1"
"Not a day","1995","Saxony","Rural Area","174","1","1","1"
"Not a day","1995","Saxony-Anhalt","Urban Area","54","1","1","1"
"Not a day","1995","Saxony-Anhalt","Rural Area","177","1","1","1"
"Not a day","1995","Thuringia","Urban Area","71","1","1","1"
"Not a day","1995","Thuringia","Rural Area","149","1","1","1"
"Not a day","1996","Schleswig-Holstein","Urban Area","43","1","1","1"
"Not a day","1996","Schleswig-Holstein","Rural Area","45","1","1","1"
"Not a day","1996","Hamburg","Urban Area","22","","",""
"Not a day","1996","Hamburg","Rural Area","","","",""
"Not a day","1996","Lower Saxony","Urban Area","152","1","1","1"
"Not a day","1996","Lower Saxony","Rural Area","132","1","1","1"
"Not a day","1996","Bremen","Urban Area","25","","",""
"Not a day","1996","Bremen","Rural Area","","","",""
"Not a day","1996","North Rhine-Westphalia","Urban Area","722","1","1","1"
"Not a day","1996","North Rhine-Westphalia","Rural Area","22","","",""
"Not a day","1996","Hesse","Urban Area","211","1","1","1"
"Not a day","1996","Hesse","Rural Area","35","1","1","1"
"Not a day","1996","Rhineland-Palatinate,Saarland","Urban Area","157","1","1","1"
"Not a day","1996","Rhineland-Palatinate,Saarland","Rural Area","44","1","1","1"
"Not a day","1996","Baden-Württemberg","Urban Area","364","1","1","1"
"Not a day","1996","Baden-Württemberg","Rural Area","62","1","1","1"
"Not a day","1996","Bavaria","Urban Area","240","1","1","1"
"Not a day","1996","Bavaria","Rural Area","235","1","1","1"
"Not a day","1996","Berlin","Urban Area","131","1","1","1"
"Not a day","1996","Berlin","Rural Area","","","",""
"Not a day","1996","Brandenburg","Urban Area","14","","",""
"Not a day","1996","Brandenburg","Rural Area","172","1","1","1"
"Not a day","1996","Mecklenburg-Western Pomerania","Urban Area","13","","",""
"Not a day","1996","Mecklenburg-Western Pomerania","Rural Area","99","1","1","1"
"Not a day","1996","Saxony","Urban Area","185","1","1","1"
"Not a day","1996","Saxony","Rural Area","163","1","1","1"
"Not a day","1996","Saxony-Anhalt","Urban Area","55","1","1","1"
"Not a day","1996","Saxony-Anhalt","Rural Area","137","1","1","1"
"Not a day","1996","Thuringia","Urban Area","55","1","1","1"
"Not a day","1996","Thuringia","Rural Area","128","1","1","1"
"Not a day","1997","Schleswig-Holstein","Urban Area","30","1","1","1"
"Not a day","1997","Schleswig-Holstein","Rural Area","45","1","1","1"
"Not a day","1997","Hamburg","Urban Area","30","1","1","1"
"Not a day","1997","Hamburg","Rural Area","","","",""
"Not a day","1997","Lower Saxony","Urban Area","139","1","1","1"
"Not a day","1997","Lower Saxony","Rural Area","150","1","1","1"
"Not a day","1997","Bremen","Urban Area","27","","",""
"Not a day","1997","Bremen","Rural Area","","","",""
"Not a day","1997","North Rhine-Westphalia","Urban Area","706","1","1","1"
"Not a day","1997","North Rhine-Westphalia","Rural Area","17","","",""
"Not a day","1997","Hesse","Urban Area","178","1","1","1"
"Not a day","1997","Hesse","Rural Area","38","1","1","1"
"Not a day","1997","Rhineland-Palatinate,Saarland","Urban Area","135","1","1","1"
"Not a day","1997","Rhineland-Palatinate,Saarland","Rural Area","34","1","1","1"
"Not a day","1997","Baden-Württemberg","Urban Area","373","1","1","1"
"Not a day","1997","Baden-Württemberg","Rural Area","49","1","1","1"
"Not a day","1997","Bavaria","Urban Area","246","1","1","1"
"Not a day","1997","Bavaria","Rural Area","247","1","1","1"
"Not a day","1997","Berlin","Urban Area","139","1","1","1"
"Not a day","1997","Berlin","Rural Area","","","",""
"Not a day","1997","Brandenburg","Urban Area","9","","",""
"Not a day","1997","Brandenburg","Rural Area","165","1","1","1"
"Not a day","1997","Mecklenburg-Western Pomerania","Urban Area","20","","",""
"Not a day","1997","Mecklenburg-Western Pomerania","Rural Area","105","1","1","1"
"Not a day","1997","Saxony","Urban Area","174","1","1","1"
"Not a day","1997","Saxony","Rural Area","172","1","1","1"
"Not a day","1997","Saxony-Anhalt","Urban Area","53","1","1","1"
"Not a day","1997","Saxony-Anhalt","Rural Area","156","1","1","1"
"Not a day","1997","Thuringia","Urban Area","60","1","1","1"
"Not a day","1997","Thuringia","Rural Area","139","1","1","1"
"Not a day","1998","Schleswig-Holstein","Urban Area","64","1","1","1"
"Not a day","1998","Schleswig-Holstein","Rural Area","45","1","1","1"
"Not a day","1998","Hamburg","Urban Area","36","1","1","1"
"Not a day","1998","Hamburg","Rural Area","","","",""
"Not a day","1998","Lower Saxony","Urban Area","171","1","1","1"
"Not a day","1998","Lower Saxony","Rural Area","173","1","1","1"
"Not a day","1998","Bremen","Urban Area","31","1","1","1"
"Not a day","1998","Bremen","Rural Area","","","",""
"Not a day","1998","North Rhine-Westphalia","Urban Area","848","1","1","1"
"Not a day","1998","North Rhine-Westphalia","Rural Area","18","","",""
"Not a day","1998","Hesse","Urban Area","210","1","1","1"
"Not a day","1998","Hesse","Rural Area","28","","",""
"Not a day","1998","Rhineland-Palatinate,Saarland","Urban Area","142","1","1","1"
"Not a day","1998","Rhineland-Palatinate,Saarland","Rural Area","45","1","1","1"
"Not a day","1998","Baden-Württemberg","Urban Area","369","1","1","1"
"Not a day","1998","Baden-Württemberg","Rural Area","42","1","1","1"
"Not a day","1998","Bavaria","Urban Area","264","1","1","1"
"Not a day","1998","Bavaria","Rural Area","287","1","1","1"
"Not a day","1998","Berlin","Urban Area","166","1","1","1"
"Not a day","1998","Berlin","Rural Area","","","",""
"Not a day","1998","Brandenburg","Urban Area","5","","",""
"Not a day","1998","Brandenburg","Rural Area","179","1","1","1"
"Not a day","1998","Mecklenburg-Western Pomerania","Urban Area","14","","",""
"Not a day","1998","Mecklenburg-Western Pomerania","Rural Area","116","1","1","1"
"Not a day","1998","Saxony","Urban Area","191","1","1","1"
"Not a day","1998","Saxony","Rural Area","200","1","1","1"
"Not a day","1998","Saxony-Anhalt","Urban Area","53","1","1","1"
"Not a day","1998","Saxony-Anhalt","Rural Area","152","1","1","1"
"Not a day","1998","Thuringia","Urban Area","54","1","1","1"
"Not a day","1998","Thuringia","Rural Area","162","1","1","1"
"Not a day","1999","Schleswig-Holstein","Urban Area","66","1","1","1"
"Not a day","1999","Schleswig-Holstein","Rural Area","50","1","1","1"
"Not a day","1999","Hamburg","Urban Area","31","1","1","1"
"Not a day","1999","Hamburg","Rural Area","","","",""
"Not a day","1999","Lower Saxony","Urban Area","192","1","1","1"
"Not a day","1999","Lower Saxony","Rural Area","177","1","1","1"
"Not a day","1999","Bremen","Urban Area","24","","",""
"Not a day","1999","Bremen","Rural Area","","","",""
"Not a day","1999","North Rhine-Westphalia","Urban Area","810","1","1","1"
"Not a day","1999","North Rhine-Westphalia","Rural Area","22","","",""
"Not a day","1999","Hesse","Urban Area","218","1","1","1"
"Not a day","1999","Hesse","Rural Area","36","1","1","1"
"Not a day","1999","Rhineland-Palatinate,Saarland","Urban Area","128","1","1","1"
"Not a day","1999","Rhineland-Palatinate,Saarland","Rural Area","56","1","1","1"
"Not a day","1999","Baden-Württemberg","Urban Area","385","1","1","1"
"Not a day","1999","Baden-Württemberg","Rural Area","54","1","1","1"
"Not a day","1999","Bavaria","Urban Area","282","1","1","1"
"Not a day","1999","Bavaria","Rural Area","264","1","1","1"
"Not a day","1999","Berlin","Urban Area","159","1","1","1"
"Not a day","1999","Berlin","Rural Area","","","",""
"Not a day","1999","Brandenburg","Urban Area","13","","",""
"Not a day","1999","Brandenburg","Rural Area","165","1","1","1"
"Not a day","1999","Mecklenburg-Western Pomerania","Urban Area","18","","",""
"Not a day","1999","Mecklenburg-Western Pomerania","Rural Area","112","1","1","1"
"Not a day","1999","Saxony","Urban Area","207","1","1","1"
"Not a day","1999","Saxony","Rural Area","182","1","1","1"
"Not a day","1999","Saxony-Anhalt","Urban Area","56","1","1","1"
"Not a day","1999","Saxony-Anhalt","Rural Area","165","1","1","1"
