"ple0044_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Not a day","1990","Rhineland-Palatinate,Saarland","","","",""
"Not a day","1990","Baden-Württemberg","","","",""
"Not a day","1990","Bavaria","","","",""
"Not a day","1990","Berlin","","","",""
"Not a day","1990","Brandenburg","","","",""
"Not a day","1990","Mecklenburg-Western Pomerania","","","",""
"Not a day","1990","Saxony","","","",""
"Not a day","1990","Saxony-Anhalt","","","",""
"Not a day","1990","Thuringia","","","",""
"Not a day","1991","Schleswig-Holstein","92","1","1","1"
"Not a day","1991","Hamburg","43","1","1","1"
"Not a day","1991","Lower Saxony","288","1","1","1"
"Not a day","1991","Bremen","16","","",""
"Not a day","1991","North Rhine-Westphalia","752","1","1","1"
"Not a day","1991","Hesse","267","1","1","1"
"Not a day","1991","Rhineland-Palatinate,Saarland","164","1","1","1"
"Not a day","1991","Baden-Württemberg","491","1","1","1"
"Not a day","1991","Bavaria","491","1","1","1"
"Not a day","1991","Berlin","99","1","1","1"
"Not a day","1991","Brandenburg","","","",""
"Not a day","1991","Mecklenburg-Western Pomerania","","","",""
"Not a day","1991","Saxony","","","",""
"Not a day","1991","Saxony-Anhalt","","","",""
"Not a day","1991","Thuringia","","","",""
"Not a day","1992","Schleswig-Holstein","92","1","1","1"
"Not a day","1992","Hamburg","40","1","1","1"
"Not a day","1992","Lower Saxony","261","1","1","1"
"Not a day","1992","Bremen","15","","",""
"Not a day","1992","North Rhine-Westphalia","723","1","1","1"
"Not a day","1992","Hesse","251","1","1","1"
"Not a day","1992","Rhineland-Palatinate,Saarland","171","1","1","1"
"Not a day","1992","Baden-Württemberg","460","1","1","1"
"Not a day","1992","Bavaria","504","1","1","1"
"Not a day","1992","Berlin","193","1","1","1"
"Not a day","1992","Brandenburg","301","1","1","1"
"Not a day","1992","Mecklenburg-Western Pomerania","168","1","1","1"
"Not a day","1992","Saxony","523","1","1","1"
"Not a day","1992","Saxony-Anhalt","349","1","1","1"
"Not a day","1992","Thuringia","308","1","1","1"
"Not a day","1993","Schleswig-Holstein","","","",""
"Not a day","1993","Hamburg","","","",""
"Not a day","1993","Lower Saxony","","","",""
"Not a day","1993","Bremen","","","",""
"Not a day","1993","North Rhine-Westphalia","","","",""
"Not a day","1993","Hesse","","","",""
"Not a day","1993","Rhineland-Palatinate,Saarland","","","",""
"Not a day","1993","Baden-Württemberg","","","",""
"Not a day","1993","Bavaria","","","",""
"Not a day","1993","Berlin","","","",""
"Not a day","1993","Brandenburg","","","",""
"Not a day","1993","Mecklenburg-Western Pomerania","","","",""
"Not a day","1993","Saxony","","","",""
"Not a day","1993","Saxony-Anhalt","","","",""
"Not a day","1993","Thuringia","","","",""
"Not a day","1994","Schleswig-Holstein","97","1","1","1"
"Not a day","1994","Hamburg","30","1","1","1"
"Not a day","1994","Lower Saxony","265","1","1","1"
"Not a day","1994","Bremen","16","","",""
"Not a day","1994","North Rhine-Westphalia","737","1","1","1"
"Not a day","1994","Hesse","250","1","1","1"
"Not a day","1994","Rhineland-Palatinate,Saarland","165","1","1","1"
"Not a day","1994","Baden-Württemberg","466","1","1","1"
"Not a day","1994","Bavaria","482","1","1","1"
"Not a day","1994","Berlin","162","1","1","1"
"Not a day","1994","Brandenburg","190","1","1","1"
"Not a day","1994","Mecklenburg-Western Pomerania","138","1","1","1"
"Not a day","1994","Saxony","368","1","1","1"
"Not a day","1994","Saxony-Anhalt","245","1","1","1"
"Not a day","1994","Thuringia","241","1","1","1"
"Not a day","1995","Schleswig-Holstein","77","1","1","1"
"Not a day","1995","Hamburg","32","1","1","1"
"Not a day","1995","Lower Saxony","281","1","1","1"
"Not a day","1995","Bremen","17","","",""
"Not a day","1995","North Rhine-Westphalia","750","1","1","1"
"Not a day","1995","Hesse","260","1","1","1"
"Not a day","1995","Rhineland-Palatinate,Saarland","176","1","1","1"
"Not a day","1995","Baden-Württemberg","487","1","1","1"
"Not a day","1995","Bavaria","505","1","1","1"
"Not a day","1995","Berlin","154","1","1","1"
"Not a day","1995","Brandenburg","207","1","1","1"
"Not a day","1995","Mecklenburg-Western Pomerania","139","1","1","1"
"Not a day","1995","Saxony","365","1","1","1"
"Not a day","1995","Saxony-Anhalt","231","1","1","1"
"Not a day","1995","Thuringia","220","1","1","1"
"Not a day","1996","Schleswig-Holstein","88","1","1","1"
"Not a day","1996","Hamburg","22","","",""
"Not a day","1996","Lower Saxony","284","1","1","1"
"Not a day","1996","Bremen","25","","",""
"Not a day","1996","North Rhine-Westphalia","744","1","1","1"
"Not a day","1996","Hesse","246","1","1","1"
"Not a day","1996","Rhineland-Palatinate,Saarland","201","1","1","1"
"Not a day","1996","Baden-Württemberg","426","1","1","1"
"Not a day","1996","Bavaria","475","1","1","1"
"Not a day","1996","Berlin","131","1","1","1"
"Not a day","1996","Brandenburg","186","1","1","1"
"Not a day","1996","Mecklenburg-Western Pomerania","112","1","1","1"
"Not a day","1996","Saxony","348","1","1","1"
"Not a day","1996","Saxony-Anhalt","192","1","1","1"
"Not a day","1996","Thuringia","183","1","1","1"
"Not a day","1997","Schleswig-Holstein","75","1","1","1"
"Not a day","1997","Hamburg","30","1","1","1"
"Not a day","1997","Lower Saxony","289","1","1","1"
"Not a day","1997","Bremen","27","","",""
"Not a day","1997","North Rhine-Westphalia","723","1","1","1"
"Not a day","1997","Hesse","216","1","1","1"
"Not a day","1997","Rhineland-Palatinate,Saarland","169","1","1","1"
"Not a day","1997","Baden-Württemberg","422","1","1","1"
"Not a day","1997","Bavaria","493","1","1","1"
"Not a day","1997","Berlin","139","1","1","1"
"Not a day","1997","Brandenburg","174","1","1","1"
"Not a day","1997","Mecklenburg-Western Pomerania","125","1","1","1"
"Not a day","1997","Saxony","346","1","1","1"
"Not a day","1997","Saxony-Anhalt","209","1","1","1"
"Not a day","1997","Thuringia","199","1","1","1"
"Not a day","1998","Schleswig-Holstein","109","1","1","1"
"Not a day","1998","Hamburg","36","1","1","1"
"Not a day","1998","Lower Saxony","344","1","1","1"
"Not a day","1998","Bremen","31","1","1","1"
"Not a day","1998","North Rhine-Westphalia","866","1","1","1"
"Not a day","1998","Hesse","238","1","1","1"
"Not a day","1998","Rhineland-Palatinate,Saarland","187","1","1","1"
"Not a day","1998","Baden-Württemberg","411","1","1","1"
"Not a day","1998","Bavaria","551","1","1","1"
"Not a day","1998","Berlin","166","1","1","1"
"Not a day","1998","Brandenburg","184","1","1","1"
"Not a day","1998","Mecklenburg-Western Pomerania","130","1","1","1"
"Not a day","1998","Saxony","391","1","1","1"
"Not a day","1998","Saxony-Anhalt","205","1","1","1"
"Not a day","1998","Thuringia","216","1","1","1"
"Not a day","1999","Schleswig-Holstein","116","1","1","1"
"Not a day","1999","Hamburg","31","1","1","1"
"Not a day","1999","Lower Saxony","369","1","1","1"
"Not a day","1999","Bremen","24","","",""
"Not a day","1999","North Rhine-Westphalia","832","1","1","1"
"Not a day","1999","Hesse","254","1","1","1"
"Not a day","1999","Rhineland-Palatinate,Saarland","184","1","1","1"
"Not a day","1999","Baden-Württemberg","439","1","1","1"
"Not a day","1999","Bavaria","546","1","1","1"
"Not a day","1999","Berlin","159","1","1","1"
"Not a day","1999","Brandenburg","178","1","1","1"
"Not a day","1999","Mecklenburg-Western Pomerania","130","1","1","1"
"Not a day","1999","Saxony","389","1","1","1"
"Not a day","1999","Saxony-Anhalt","221","1","1","1"
"Not a day","1999","Thuringia","205","1","1","1"
"Not a day","2000","Schleswig-Holstein","212","1","1","1"
"Not a day","2000","Hamburg","68","1","1","1"
"Not a day","2000","Lower Saxony","581","1","1","1"
"Not a day","2000","Bremen","50","1","1","1"
"Not a day","2000","North Rhine-Westphalia","1486","1","1","1"
"Not a day","2000","Hesse","435","1","1","1"
"Not a day","2000","Rhineland-Palatinate,Saarland","361","1","1","1"
"Not a day","2000","Baden-Württemberg","797","1","1","1"
"Not a day","2000","Bavaria","1041","1","1","1"
"Not a day","2000","Berlin","260","1","1","1"
"Not a day","2000","Brandenburg","287","1","1","1"
"Not a day","2000","Mecklenburg-Western Pomerania","178","1","1","1"
"Not a day","2000","Saxony","564","1","1","1"
"Not a day","2000","Saxony-Anhalt","333","1","1","1"
"Not a day","2000","Thuringia","303","1","1","1"
"Not a day","2001","Schleswig-Holstein","196","1","1","1"
"Not a day","2001","Hamburg","75","1","1","1"
"Not a day","2001","Lower Saxony","536","1","1","1"
"Not a day","2001","Bremen","48","1","1","1"
"Not a day","2001","North Rhine-Westphalia","1368","1","1","1"
"Not a day","2001","Hesse","413","1","1","1"
"Not a day","2001","Rhineland-Palatinate,Saarland","349","1","1","1"
"Not a day","2001","Baden-Württemberg","739","1","1","1"
"Not a day","2001","Bavaria","938","1","1","1"
"Not a day","2001","Berlin","253","1","1","1"
"Not a day","2001","Brandenburg","264","1","1","1"
"Not a day","2001","Mecklenburg-Western Pomerania","164","1","1","1"
"Not a day","2001","Saxony","482","1","1","1"
"Not a day","2001","Saxony-Anhalt","299","1","1","1"
"Not a day","2001","Thuringia","271","1","1","1"
"Not a day","2002","Schleswig-Holstein","251","1","1","1"
"Not a day","2002","Hamburg","94","1","1","1"
"Not a day","2002","Lower Saxony","559","1","1","1"
"Not a day","2002","Bremen","60","1","1","1"
"Not a day","2002","North Rhine-Westphalia","1481","1","1","1"
"Not a day","2002","Hesse","473","1","1","1"
"Not a day","2002","Rhineland-Palatinate,Saarland","412","1","1","1"
"Not a day","2002","Baden-Württemberg","792","1","1","1"
"Not a day","2002","Bavaria","1030","1","1","1"
"Not a day","2002","Berlin","259","1","1","1"
"Not a day","2002","Brandenburg","264","1","1","1"
"Not a day","2002","Mecklenburg-Western Pomerania","147","1","1","1"
"Not a day","2002","Saxony","546","1","1","1"
"Not a day","2002","Saxony-Anhalt","291","1","1","1"
"Not a day","2002","Thuringia","283","1","1","1"
"Not a day","2003","Schleswig-Holstein","221","1","1","1"
"Not a day","2003","Hamburg","82","1","1","1"
"Not a day","2003","Lower Saxony","525","1","1","1"
"Not a day","2003","Bremen","47","1","1","1"
"Not a day","2003","North Rhine-Westphalia","1387","1","1","1"
"Not a day","2003","Hesse","419","1","1","1"
"Not a day","2003","Rhineland-Palatinate,Saarland","383","1","1","1"
"Not a day","2003","Baden-Württemberg","749","1","1","1"
"Not a day","2003","Bavaria","1007","1","1","1"
"Not a day","2003","Berlin","250","1","1","1"
"Not a day","2003","Brandenburg","245","1","1","1"
"Not a day","2003","Mecklenburg-Western Pomerania","165","1","1","1"
"Not a day","2003","Saxony","523","1","1","1"
"Not a day","2003","Saxony-Anhalt","267","1","1","1"
"Not a day","2003","Thuringia","275","1","1","1"
"Not a day","2004","Schleswig-Holstein","216","1","1","1"
"Not a day","2004","Hamburg","82","1","1","1"
"Not a day","2004","Lower Saxony","559","1","1","1"
"Not a day","2004","Bremen","55","1","1","1"
"Not a day","2004","North Rhine-Westphalia","1439","1","1","1"
"Not a day","2004","Hesse","389","1","1","1"
"Not a day","2004","Rhineland-Palatinate,Saarland","354","1","1","1"
"Not a day","2004","Baden-Württemberg","710","1","1","1"
"Not a day","2004","Bavaria","963","1","1","1"
"Not a day","2004","Berlin","251","1","1","1"
"Not a day","2004","Brandenburg","263","1","1","1"
"Not a day","2004","Mecklenburg-Western Pomerania","151","1","1","1"
"Not a day","2004","Saxony","478","1","1","1"
"Not a day","2004","Saxony-Anhalt","268","1","1","1"
"Not a day","2004","Thuringia","265","1","1","1"
"Not a day","2005","Schleswig-Holstein","206","1","1","1"
"Not a day","2005","Hamburg","71","1","1","1"
"Not a day","2005","Lower Saxony","526","1","1","1"
"Not a day","2005","Bremen","46","1","1","1"
"Not a day","2005","North Rhine-Westphalia","1297","1","1","1"
"Not a day","2005","Hesse","388","1","1","1"
"Not a day","2005","Rhineland-Palatinate,Saarland","351","1","1","1"
"Not a day","2005","Baden-Württemberg","695","1","1","1"
"Not a day","2005","Bavaria","938","1","1","1"
"Not a day","2005","Berlin","215","1","1","1"
"Not a day","2005","Brandenburg","276","1","1","1"
"Not a day","2005","Mecklenburg-Western Pomerania","136","1","1","1"
"Not a day","2005","Saxony","450","1","1","1"
"Not a day","2005","Saxony-Anhalt","276","1","1","1"
"Not a day","2005","Thuringia","249","1","1","1"
"Not a day","2006","Schleswig-Holstein","201","1","1","1"
"Not a day","2006","Hamburg","84","1","1","1"
"Not a day","2006","Lower Saxony","586","1","1","1"
"Not a day","2006","Bremen","39","1","1","1"
"Not a day","2006","North Rhine-Westphalia","1349","1","1","1"
"Not a day","2006","Hesse","411","1","1","1"
"Not a day","2006","Rhineland-Palatinate,Saarland","372","1","1","1"
"Not a day","2006","Baden-Württemberg","755","1","1","1"
"Not a day","2006","Bavaria","1009","1","1","1"
"Not a day","2006","Berlin","235","1","1","1"
"Not a day","2006","Brandenburg","283","1","1","1"
"Not a day","2006","Mecklenburg-Western Pomerania","156","1","1","1"
"Not a day","2006","Saxony","502","1","1","1"
"Not a day","2006","Saxony-Anhalt","272","1","1","1"
"Not a day","2006","Thuringia","265","1","1","1"
"Not a day","2007","Schleswig-Holstein","160","1","1","1"
"Not a day","2007","Hamburg","74","1","1","1"
"Not a day","2007","Lower Saxony","544","1","1","1"
"Not a day","2007","Bremen","36","1","1","1"
"Not a day","2007","North Rhine-Westphalia","1252","1","1","1"
"Not a day","2007","Hesse","417","1","1","1"
"Not a day","2007","Rhineland-Palatinate,Saarland","333","1","1","1"
"Not a day","2007","Baden-Württemberg","669","1","1","1"
"Not a day","2007","Bavaria","911","1","1","1"
"Not a day","2007","Berlin","225","1","1","1"
"Not a day","2007","Brandenburg","218","1","1","1"
"Not a day","2007","Mecklenburg-Western Pomerania","155","1","1","1"
"Not a day","2007","Saxony","482","1","1","1"
"Not a day","2007","Saxony-Anhalt","267","1","1","1"
"Not a day","2007","Thuringia","248","1","1","1"
"Not a day","2008","Schleswig-Holstein","161","1","1","1"
"Not a day","2008","Hamburg","75","1","1","1"
"Not a day","2008","Lower Saxony","503","1","1","1"
"Not a day","2008","Bremen","28","","",""
"Not a day","2008","North Rhine-Westphalia","1110","1","1","1"
"Not a day","2008","Hesse","340","1","1","1"
"Not a day","2008","Rhineland-Palatinate,Saarland","318","1","1","1"
"Not a day","2008","Baden-Württemberg","629","1","1","1"
"Not a day","2008","Bavaria","821","1","1","1"
"Not a day","2008","Berlin","198","1","1","1"
"Not a day","2008","Brandenburg","220","1","1","1"
"Not a day","2008","Mecklenburg-Western Pomerania","132","1","1","1"
"Not a day","2008","Saxony","450","1","1","1"
"Not a day","2008","Saxony-Anhalt","254","1","1","1"
"Not a day","2008","Thuringia","237","1","1","1"
"Not a day","2009","Schleswig-Holstein","141","1","1","1"
"Not a day","2009","Hamburg","70","1","1","1"
"Not a day","2009","Lower Saxony","454","1","1","1"
"Not a day","2009","Bremen","26","","",""
"Not a day","2009","North Rhine-Westphalia","1016","1","1","1"
"Not a day","2009","Hesse","312","1","1","1"
"Not a day","2009","Rhineland-Palatinate,Saarland","273","1","1","1"
"Not a day","2009","Baden-Württemberg","571","1","1","1"
"Not a day","2009","Bavaria","758","1","1","1"
"Not a day","2009","Berlin","177","1","1","1"
"Not a day","2009","Brandenburg","195","1","1","1"
"Not a day","2009","Mecklenburg-Western Pomerania","112","1","1","1"
"Not a day","2009","Saxony","409","1","1","1"
"Not a day","2009","Saxony-Anhalt","214","1","1","1"
"Not a day","2009","Thuringia","207","1","1","1"
"Not a day","2010","Schleswig-Holstein","189","1","1","1"
"Not a day","2010","Hamburg","117","1","1","1"
"Not a day","2010","Lower Saxony","651","1","1","1"
"Not a day","2010","Bremen","39","1","1","1"
"Not a day","2010","North Rhine-Westphalia","1461","1","1","1"
"Not a day","2010","Hesse","439","1","1","1"
"Not a day","2010","Rhineland-Palatinate,Saarland","422","1","1","1"
"Not a day","2010","Baden-Württemberg","822","1","1","1"
"Not a day","2010","Bavaria","1056","1","1","1"
"Not a day","2010","Berlin","218","1","1","1"
"Not a day","2010","Brandenburg","260","1","1","1"
"Not a day","2010","Mecklenburg-Western Pomerania","176","1","1","1"
"Not a day","2010","Saxony","544","1","1","1"
"Not a day","2010","Saxony-Anhalt","270","1","1","1"
"Not a day","2010","Thuringia","277","1","1","1"
"Not a day","2011","Schleswig-Holstein","176","1","1","1"
"Not a day","2011","Hamburg","81","1","1","1"
"Not a day","2011","Lower Saxony","493","1","1","1"
"Not a day","2011","Bremen","23","","",""
"Not a day","2011","North Rhine-Westphalia","1058","1","1","1"
"Not a day","2011","Hesse","335","1","1","1"
"Not a day","2011","Rhineland-Palatinate,Saarland","268","1","1","1"
"Not a day","2011","Baden-Württemberg","620","1","1","1"
"Not a day","2011","Bavaria","823","1","1","1"
"Not a day","2011","Berlin","126","1","1","1"
"Not a day","2011","Brandenburg","208","1","1","1"
"Not a day","2011","Mecklenburg-Western Pomerania","93","1","1","1"
"Not a day","2011","Saxony","273","1","1","1"
"Not a day","2011","Saxony-Anhalt","170","1","1","1"
"Not a day","2011","Thuringia","155","1","1","1"
"Not a day","2012","Schleswig-Holstein","231","1","1","1"
"Not a day","2012","Hamburg","102","1","1","1"
"Not a day","2012","Lower Saxony","654","1","1","1"
"Not a day","2012","Bremen","55","1","1","1"
"Not a day","2012","North Rhine-Westphalia","1553","1","1","1"
"Not a day","2012","Hesse","425","1","1","1"
"Not a day","2012","Rhineland-Palatinate,Saarland","442","1","1","1"
"Not a day","2012","Baden-Württemberg","924","1","1","1"
"Not a day","2012","Bavaria","1270","1","1","1"
"Not a day","2012","Berlin","260","1","1","1"
"Not a day","2012","Brandenburg","296","1","1","1"
"Not a day","2012","Mecklenburg-Western Pomerania","180","1","1","1"
"Not a day","2012","Saxony","570","1","1","1"
"Not a day","2012","Saxony-Anhalt","272","1","1","1"
"Not a day","2012","Thuringia","298","1","1","1"
"Not a day","2013","Schleswig-Holstein","242","1","1","1"
"Not a day","2013","Hamburg","137","1","1","1"
"Not a day","2013","Lower Saxony","737","1","1","1"
"Not a day","2013","Bremen","61","1","1","1"
"Not a day","2013","North Rhine-Westphalia","1806","1","1","1"
"Not a day","2013","Hesse","494","1","1","1"
"Not a day","2013","Rhineland-Palatinate,Saarland","509","1","1","1"
"Not a day","2013","Baden-Württemberg","1021","1","1","1"
"Not a day","2013","Bavaria","1411","1","1","1"
"Not a day","2013","Berlin","296","1","1","1"
"Not a day","2013","Brandenburg","268","1","1","1"
"Not a day","2013","Mecklenburg-Western Pomerania","175","1","1","1"
"Not a day","2013","Saxony","529","1","1","1"
"Not a day","2013","Saxony-Anhalt","289","1","1","1"
"Not a day","2013","Thuringia","295","1","1","1"
"Not a day","2014","Schleswig-Holstein","274","1","1","1"
"Not a day","2014","Hamburg","157","1","1","1"
"Not a day","2014","Lower Saxony","779","1","1","1"
"Not a day","2014","Bremen","80","1","1","1"
"Not a day","2014","North Rhine-Westphalia","1812","1","1","1"
"Not a day","2014","Hesse","522","1","1","1"
"Not a day","2014","Rhineland-Palatinate,Saarland","483","1","1","1"
"Not a day","2014","Baden-Württemberg","984","1","1","1"
"Not a day","2014","Bavaria","1373","1","1","1"
"Not a day","2014","Berlin","263","1","1","1"
"Not a day","2014","Brandenburg","268","1","1","1"
"Not a day","2014","Mecklenburg-Western Pomerania","146","1","1","1"
"Not a day","2014","Saxony","471","1","1","1"
"Not a day","2014","Saxony-Anhalt","273","1","1","1"
"Not a day","2014","Thuringia","272","1","1","1"
"Not a day","2015","Schleswig-Holstein","220","1","1","1"
"Not a day","2015","Hamburg","118","1","1","1"
"Not a day","2015","Lower Saxony","681","1","1","1"
"Not a day","2015","Bremen","46","1","1","1"
"Not a day","2015","North Rhine-Westphalia","1475","1","1","1"
"Not a day","2015","Hesse","471","1","1","1"
"Not a day","2015","Rhineland-Palatinate,Saarland","433","1","1","1"
"Not a day","2015","Baden-Württemberg","900","1","1","1"
"Not a day","2015","Bavaria","1273","1","1","1"
"Not a day","2015","Berlin","226","1","1","1"
"Not a day","2015","Brandenburg","246","1","1","1"
"Not a day","2015","Mecklenburg-Western Pomerania","144","1","1","1"
"Not a day","2015","Saxony","440","1","1","1"
"Not a day","2015","Saxony-Anhalt","248","1","1","1"
"Not a day","2015","Thuringia","266","1","1","1"
"Not a day","2016","Schleswig-Holstein","211","1","1","1"
"Not a day","2016","Hamburg","121","1","1","1"
"Not a day","2016","Lower Saxony","593","1","1","1"
"Not a day","2016","Bremen","34","1","1","1"
"Not a day","2016","North Rhine-Westphalia","1327","1","1","1"
"Not a day","2016","Hesse","405","1","1","1"
"Not a day","2016","Rhineland-Palatinate,Saarland","454","1","1","1"
"Not a day","2016","Baden-Württemberg","787","1","1","1"
"Not a day","2016","Bavaria","1076","1","1","1"
"Not a day","2016","Berlin","191","1","1","1"
"Not a day","2016","Brandenburg","211","1","1","1"
"Not a day","2016","Mecklenburg-Western Pomerania","133","1","1","1"
"Not a day","2016","Saxony","396","1","1","1"
"Not a day","2016","Saxony-Anhalt","216","1","1","1"
"Not a day","2016","Thuringia","230","1","1","1"
"Not a day","2017","Schleswig-Holstein","203","1","1","1"
"Not a day","2017","Hamburg","114","1","1","1"
"Not a day","2017","Lower Saxony","603","1","1","1"
"Not a day","2017","Bremen","59","1","1","1"
"Not a day","2017","North Rhine-Westphalia","1384","1","1","1"
"Not a day","2017","Hesse","400","1","1","1"
"Not a day","2017","Rhineland-Palatinate,Saarland","412","1","1","1"
"Not a day","2017","Baden-Württemberg","813","1","1","1"
"Not a day","2017","Bavaria","1175","1","1","1"
"Not a day","2017","Berlin","215","1","1","1"
"Not a day","2017","Brandenburg","228","1","1","1"
"Not a day","2017","Mecklenburg-Western Pomerania","122","1","1","1"
"Not a day","2017","Saxony","412","1","1","1"
"Not a day","2017","Saxony-Anhalt","230","1","1","1"
"Not a day","2017","Thuringia","269","1","1","1"
"Not a day","2018","Schleswig-Holstein","211","1","1","1"
"Not a day","2018","Hamburg","112","1","1","1"
"Not a day","2018","Lower Saxony","594","1","1","1"
"Not a day","2018","Bremen","47","1","1","1"
"Not a day","2018","North Rhine-Westphalia","1287","1","1","1"
"Not a day","2018","Hesse","384","1","1","1"
"Not a day","2018","Rhineland-Palatinate,Saarland","394","1","1","1"
"Not a day","2018","Baden-Württemberg","750","1","1","1"
"Not a day","2018","Bavaria","1087","1","1","1"
"Not a day","2018","Berlin","209","1","1","1"
"Not a day","2018","Brandenburg","230","1","1","1"
"Not a day","2018","Mecklenburg-Western Pomerania","129","1","1","1"
"Not a day","2018","Saxony","423","1","1","1"
"Not a day","2018","Saxony-Anhalt","204","1","1","1"
"Not a day","2018","Thuringia","219","1","1","1"
"Not a day","2019","Schleswig-Holstein","234","1","1","1"
"Not a day","2019","Hamburg","149","1","1","1"
"Not a day","2019","Lower Saxony","567","1","1","1"
"Not a day","2019","Bremen","55","1","1","1"
"Not a day","2019","North Rhine-Westphalia","1406","1","1","1"
"Not a day","2019","Hesse","432","1","1","1"
"Not a day","2019","Rhineland-Palatinate,Saarland","394","1","1","1"
"Not a day","2019","Baden-Württemberg","786","1","1","1"
"Not a day","2019","Bavaria","1063","1","1","1"
"Not a day","2019","Berlin","226","1","1","1"
"Not a day","2019","Brandenburg","287","1","1","1"
"Not a day","2019","Mecklenburg-Western Pomerania","152","1","1","1"
"Not a day","2019","Saxony","445","1","1","1"
"Not a day","2019","Saxony-Anhalt","226","1","1","1"
"Not a day","2019","Thuringia","262","1","1","1"
