"ple0044_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2012","66 and older","East Germany","1276","0.981542795197997","0.974228928711135","0.988856661684859","2"
"Yes","2012","16-34 y.","West Germany","1292","0.274811361444559","0.262301638125538","0.28732108476358","1"
"Yes","2012","16-34 y.","East Germany","434","0.330940356758192","0.306309395173403","0.35557131834298","1"
"Yes","2012","35-65 y.","West Germany","4281","0.343798532282167","0.335456311014104","0.35214075355023","1"
"Yes","2012","35-65 y.","East Germany","1286","0.384740964542092","0.368430164009677","0.401051765074507","1"
"Yes","2012","66 and older","West Germany","214","0.0492970465631812","0.042536404040742","0.0560576890856205","1"
"Yes","2012","66 and older","East Germany","25","","","","1"
"No","2013","16-34 y.","West Germany","4805","0.743855646184942","0.733203888073387","0.754507404296497","2"
"No","2013","16-34 y.","East Germany","949","0.666647356856627","0.641369229696123","0.691925484017131","2"
"No","2013","35-65 y.","West Germany","9300","0.668236982381691","0.660450049001913","0.676023915761468","2"
"No","2013","35-65 y.","East Germany","2211","0.639998822000618","0.624055630748099","0.655942013253137","2"
"No","2013","66 and older","West Germany","3646","0.957566654794591","0.951190230947468","0.963943078641714","2"
"No","2013","66 and older","East Germany","1226","0.982207203719907","0.974890373404484","0.98952403403533","2"
"Yes","2013","16-34 y.","West Germany","1646","0.256144353815058","0.245492595703503","0.266796111926613","1"
"Yes","2013","16-34 y.","East Germany","387","0.333352643143373","0.308074515982869","0.358630770303877","1"
"Yes","2013","35-65 y.","West Germany","4745","0.331763017618309","0.323976084238532","0.339549950998087","1"
"Yes","2013","35-65 y.","East Germany","1271","0.360001177999382","0.344057986746863","0.375944369251901","1"
"Yes","2013","66 and older","West Germany","193","0.042433345205409","0.0360569213582858","0.0488097690525322","1"
"Yes","2013","66 and older","East Germany","28","","","","1"
"No","2014","16-34 y.","West Germany","3588","0.688095379546719","0.675644238596129","0.700546520497308","2"
"No","2014","16-34 y.","East Germany","823","0.69775043052436","0.671436358311688","0.724064502737032","2"
"No","2014","35-65 y.","West Germany","7613","0.638018668584415","0.629498724763482","0.646538612405348","2"
"No","2014","35-65 y.","East Germany","1977","0.623414724647381","0.606445679322297","0.640383769972465","2"
"No","2014","66 and older","West Germany","3474","0.9418175700956","0.934329321073657","0.949305819117544","2"
"No","2014","66 and older","East Germany","1196","0.979825630316694","0.971974772316674","0.987676488316715","2"
"Yes","2014","16-34 y.","West Germany","1730","0.311904620453281","0.299453479502692","0.324355761403871","1"
"Yes","2014","16-34 y.","East Germany","347","0.30224956947564","0.275935497262968","0.328563641688312","1"
"Yes","2014","35-65 y.","West Germany","4609","0.361981331415585","0.353461387594652","0.370501275236518","1"
"Yes","2014","35-65 y.","East Germany","1155","0.376585275352619","0.359616230027535","0.393554320677703","1"
"Yes","2014","66 and older","West Germany","280","0.0581824299044","0.0506941808824565","0.0656706789263434","1"
"Yes","2014","66 and older","East Germany","36","0.0201743696833058","0.0123235116832855","0.0280252276833261","1"
"No","2015","16-34 y.","West Germany","4003","0.730850940124714","0.719138106785499","0.742563773463929","2"
"No","2015","16-34 y.","East Germany","801","0.694444706425958","0.667479172330241","0.721410240521674","2"
"No","2015","35-65 y.","West Germany","8025","0.66964767009519","0.661239029471976","0.678056310718404","2"
"No","2015","35-65 y.","East Germany","1917","0.619630673567257","0.602301668417619","0.636959678716895","2"
"No","2015","66 and older","West Germany","3477","0.940576161016017","0.932975888812978","0.948176433219056","2"
"No","2015","66 and older","East Germany","1205","0.983007422105504","0.975799291528282","0.990215552682726","2"
"Yes","2015","16-34 y.","West Germany","1505","0.269149059875286","0.257436226536071","0.280861893214501","1"
"Yes","2015","16-34 y.","East Germany","320","0.305555293574042","0.278589759478326","0.332520827669759","1"
"Yes","2015","35-65 y.","West Germany","3994","0.33035232990481","0.321943689281596","0.338760970528024","1"
"Yes","2015","35-65 y.","East Germany","1098","0.380369326432743","0.363040321283105","0.397698331582381","1"
"Yes","2015","66 and older","West Germany","240","0.0594238389839832","0.0518235667809441","0.0670241111870222","1"
"Yes","2015","66 and older","East Germany","30","0.0169925778944961","0.00978444731727422","0.0242007084717179","1"
"No","2016","16-34 y.","West Germany","3403","0.725942383834156","0.71310287554846","0.738781892119853","2"
"No","2016","16-34 y.","East Germany","720","0.708642491077258","0.679913981230617","0.737371000923899","2"
"No","2016","35-65 y.","West Germany","7261","0.666559306255422","0.657714976643646","0.675403635867198","2"
"No","2016","35-65 y.","East Germany","1852","0.646840268375357","0.629249731641333","0.664430805109381","2"
"No","2016","66 and older","West Germany","3342","0.938057719702103","0.930154952434193","0.945960486970013","2"
"No","2016","66 and older","East Germany","1143","0.965956682150987","0.955627474572264","0.97628588972971","2"
"Yes","2016","16-34 y.","West Germany","1233","0.274057616165844","0.261218107880147","0.286897124451541","1"
"Yes","2016","16-34 y.","East Germany","241","0.291357508922742","0.262628999076101","0.320086018769383","1"
"Yes","2016","35-65 y.","West Germany","3654","0.333440693744578","0.324596364132803","0.342285023356354","1"
"Yes","2016","35-65 y.","East Germany","984","0.353159731624642","0.335569194890618","0.370750268358666","1"
"Yes","2016","66 and older","West Germany","232","0.061942280297897","0.054039513029987","0.069845047565807","1"
"Yes","2016","66 and older","East Germany","41","0.0340433178490131","0.0237141102702898","0.0443725254277363","1"
"No","2017","16-34 y.","West Germany","3810","0.742404477249943","0.73036111325608","0.754447841243805","2"
"No","2017","16-34 y.","East Germany","856","0.748974581209081","0.723454931577994","0.774494230840169","2"
"No","2017","35-65 y.","West Germany","8258","0.678021406266344","0.66966862594571","0.686374186586978","2"
"No","2017","35-65 y.","East Germany","2157","0.678182459225903","0.662016218422737","0.694348700029068","2"
"No","2017","66 and older","West Germany","3503","0.936029160582337","0.928221149833132","0.943837171331542","2"
"No","2017","66 and older","East Germany","1188","0.96996620264491","0.96045090714975","0.979481498140069","2"
"Yes","2017","16-34 y.","West Germany","1255","0.257595522750057","0.245552158756195","0.26963888674392","1"
"Yes","2017","16-34 y.","East Germany","253","0.251025418790919","0.225505769159831","0.276545068422006","1"
"Yes","2017","35-65 y.","East Germany","1051","0.321817540774097","0.305651299970932","0.337983781577263","1"
"Yes","2017","35-65 y.","West Germany","3762","0.321978593733656","0.313625813413022","0.33033137405429","1"
"Yes","2017","66 and older","West Germany","270","0.0639708394176629","0.0561628286684581","0.0717788501668677","1"
"Yes","2017","66 and older","East Germany","48","0.0300337973550904","0.020518501859931","0.0395490928502498","1"
"No","2018","16-34 y.","West Germany","3671","0.743970679423553","0.731735643347749","0.756205715499358","2"
"No","2018","16-34 y.","East Germany","841","0.746048549628421","0.720065052378269","0.772032046878573","2"
"No","2018","35-65 y.","West Germany","7863","0.697935616211599","0.689498546197287","0.706372686225911","2"
"No","2018","35-65 y.","East Germany","2116","0.67677546137696","0.660361444805531","0.693189477948389","2"
"No","2018","66 and older","West Germany","3517","0.933504093884608","0.925562634484284","0.941445553284933","2"
"No","2018","66 and older","East Germany","1213","0.961916212915302","0.951339603730514","0.97249282210009","2"
"Yes","2018","16-34 y.","West Germany","1217","0.256029320576447","0.243794284500642","0.268264356652251","1"
"Yes","2018","16-34 y.","East Germany","237","0.253951450371579","0.227967953121427","0.279934947621731","1"
"Yes","2018","35-65 y.","East Germany","1003","0.32322453862304","0.306810522051611","0.339638555194469","1"
"Yes","2018","35-65 y.","West Germany","3514","0.302064383788401","0.293627313774089","0.310501453802713","1"
"Yes","2018","66 and older","East Germany","45","0.0380837870846983","0.0275071778999101","0.0486603962694866","1"
"Yes","2018","66 and older","West Germany","264","0.0664959061153918","0.0585544467150673","0.0744373655157164","1"
"No","2019","16-34 y.","West Germany","3366","0.75040999021553","0.737621066034831","0.763198914396229","2"
"No","2019","16-34 y.","East Germany","718","0.763467656856288","0.736344962282088","0.790590351430489","2"
"No","2019","35-65 y.","West Germany","7893","0.699322279489543","0.69100233214135","0.707642226837737","2"
"No","2019","35-65 y.","East Germany","2106","0.70474856663259","0.689019870582464","0.720477262682716","2"
"No","2019","66 and older","West Germany","3495","0.927819109998269","0.919701354630616","0.935936865365922","2"
"No","2019","66 and older","East Germany","1210","0.956861462043499","0.945863708375712","0.967859215711287","2"
"Yes","2019","16-34 y.","West Germany","1033","0.24959000978447","0.236801085603771","0.262378933965169","1"
"Yes","2019","16-34 y.","East Germany","225","0.236532343143712","0.209409648569511","0.263655037717912","1"
"Yes","2019","35-65 y.","West Germany","3776","0.300677720510457","0.292357773162263","0.30899766785865","1"
"Yes","2019","35-65 y.","East Germany","1125","0.29525143336741","0.279522737317284","0.310980129417536","1"
"Yes","2019","66 and older","West Germany","409","0.0721808900017308","0.064063134634078","0.0802986453693836","1"
"Yes","2019","66 and older","East Germany","101","0.0431385379565006","0.0321407842887134","0.0541362916242878","1"
