"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1999","lower secondary degree","1228.28","1176","2614","322","741","1585","2045","1202.57","1253.99","1089","1145"
"1999","no degree/no degree yet","895.81","895.88","232","153","322","1281","1534","823.07","968.55","833","1125"
"1999","Other degree","1216.5","1176","536","332","818","1534","1943","1163.28","1269.72","1176","1278"
"1999","secondary school degree","1263.98","1125","2790","332","767","1534","2147","1236.56","1291.4","1058","1089"
"2000","college entrance qualification","1763.31","1534","3331","409","971","2403","3239","1724.08","1802.54","1521","1559"
"2000","lower secondary degree","1201.77","1186.82","4526","322","665","1585","2030","1180.58","1222.96","1176","1227"
"2000","no degree/no degree yet","877.93","869","203","153","307","1278","1636","777.84","978.02","665","920"
"2000","Other degree","1241.63","1176","852","312","665","1534","2045","1182.57","1300.69","1176","1278"
"2000","secondary school degree","1236.75","1125","4915","358","741","1534","2091","1215.75","1257.75","1074","1125"
"2001","college entrance qualification","1807.17","1606.29","3123","403","1023","2454","3272","1766.17","1848.17","1534","1617"
"2001","lower secondary degree","1213.66","1227","3954","321","665","1636","2045","1190.8","1236.52","1176","1227"
"2001","no degree/no degree yet","770.24","614","199","92","205","1227","1692","665.93","874.55","322","767"
"2001","Other degree","1236.6","1176","760","322","716","1534","1994","1177.95","1295.25","1176","1278"
"2001","secondary school degree","1262.18","1176","4538","373","767","1585","2158","1240.82","1283.54","1125","1174"
"2002","college entrance qualification","1918.88","1650","4059","400","1000","2500","3400","1849.47","1988.29","1800","1900"
"2002","lower secondary degree","1243.34","1200","3729","321","620","1680","2085","1214.45","1272.23","1200","1250"
"2002","no degree/no degree yet","813.97","670.69","180","180","298","1200","1700","694.73","933.21","325","791"
"2002","Other degree","1233.2","1127.74","727","320","650","1534","2000","1132.96","1333.44","1200","1329"
"2002","secondary school degree","1301.9","1200","4697","325","750","1650","2300","1272.96","1330.84","1189","1200"
"2003","college entrance qualification","1909.07","1656.6","3881","400","1000","2485","3500","1848.14","1970","1750","1850"
"2003","lower secondary degree","1258.12","1200","3471","323","650","1700","2130","1229.21","1287.03","1200","1280"
"2003","no degree/no degree yet","782.95","605.73","156","100","200","1200","1665","657.17","908.73","312","788"
"2003","Other degree","1211.96","1127.63","659","300","600","1590","2000","1130.93","1292.99","1200","1300"
"2003","secondary school degree","1334.89","1220","4470","360","750","1700","2300","1306.04","1363.74","1200","1240"
"2004","college entrance qualification","1913.2","1650","3839","400","970","2490","3501","1855.51","1970.89","1780","1850"
"2004","lower secondary degree","1270.47","1200","3282","325","629","1700","2200","1236.09","1304.85","1200","1300"
"2004","no degree/no degree yet","856.14","688.03","139","108","250","1255","1900","710","1002.28","350","900"
"2004","Other degree","1262.95","1200","625","320","611","1600","2100","1177.38","1348.52","1200","1310"
"2004","secondary school degree","1355.39","1250","4335","400","800","1726","2376","1326.32","1384.46","1200","1230"
"2005","college entrance qualification","1929.8","1700","3679","400","1000","2500","3500","1875.31","1984.29","1800","1900"
"2005","lower secondary degree","1280.44","1250","2981","320","612","1764","2200","1246.52","1314.36","1200","1300"
"2005","no degree/no degree yet","789.64","500.89","131","100","187","1106","1950","635.65","943.63","312","800"
"2005","Other degree","1252.01","1150","586","295","587","1600","2014","1166.06","1337.96","1200","1322"
"2005","secondary school degree","1373.09","1260","4157","400","768","1780","2400","1343.07","1403.11","1200","1250"
"2006","college entrance qualification","1981.67","1700","3911","400","1000","2500","3590","1915.19","2048.15","1800","1889"
"2006","lower secondary degree","1281.35","1250","3107","319","600","1752","2200","1245.89","1316.81","1200","1300"
"2006","no degree/no degree yet","906.49","750","119","100","200","1400","2000","720.55","1092.43","330","800"
"2006","Other degree","1286.46","1200","607","250","510","1650","2500","1202.68","1370.24","1200","1312"
"2006","secondary school degree","1353.17","1250","4400","397","760","1745","2358","1308.43","1397.91","1200","1240"
"2007","college entrance qualification","1941.42","1700","3825","400","1000","2500","3600","1886.97","1995.87","1778","1850"
"2007","lower secondary degree","1309.65","1251.55","2926","325","600","1778","2200","1275.08","1344.22","1200","1300"
"2007","no degree/no degree yet","865.93","605.07","99","160","204","1251","2200","718.93","1012.93","400","964"
"2007","Other degree","1284.12","1200","537","318","550","1700","2300","1196.29","1371.95","1200","1393"
"2007","secondary school degree","1366.9","1280","4151","400","800","1760","2300","1337.07","1396.73","1200","1250"
"2008","college entrance qualification","1985.16","1700","3628","400","973","2600","3580","1930.14","2040.18","1800","1900"
"2008","lower secondary degree","1318.06","1300","2692","340","612","1800","2263","1283.83","1352.29","1235","1300"
"2008","no degree/no degree yet","898.85","592.58","100","100","200","1315","2230","734.13","1063.57","350","850"
"2008","Other degree","1223.44","1200","501","303","550","1693","2100","1131.69","1315.19","1100","1300"
"2008","secondary school degree","1388.76","1300","3973","400","770","1800","2400","1358.1","1419.42","1200","1300"
"2009","college entrance qualification","2000.74","1766","3439","439","1000","2599","3530","1944.2","2057.28","1800","1900"
"2009","lower secondary degree","1359.48","1300","2431","350","681","1800","2239","1322.61","1396.35","1280","1350"
"2009","no degree/no degree yet","782.68","430.39","97","101","187","1100","2300","632.35","933.01","300","700"
"2009","Other degree","1218.88","1100","427","300","400","1660","2300","1116.94","1320.82","1046","1220"
"2009","secondary school degree","1411.88","1300","3742","393","770","1800","2417","1376.66","1447.1","1238","1300"
"2010","college entrance qualification","2061.16","1800","4743","414","1060","2600","3700","2009.9","2112.42","1800","1900"
"2010","lower secondary degree","1329.11","1300","3049","340","638","1800","2240","1296.9","1361.32","1250","1310"
"2010","no degree/no degree yet","955.57","624.68","164","97","201","1500","2450","829.88","1081.26","345","650"
"2010","Other degree","1261.48","1100","813","270","400","1750","2300","1185.78","1337.18","1200","1300"
"2010","secondary school degree","1440.66","1350","5034","384","800","1900","2500","1409.02","1472.3","1200","1270"
"2011","college entrance qualification","2117.85","1850","5661","485","1100","2800","3800","2069.86","2165.84","1867","1950"
"2011","lower secondary degree","1369.33","1326.85","3566","360","700","1850","2300","1339.25","1399.41","1266","1362"
"2011","no degree/no degree yet","936.63","750","228","117","317","1315","2000","824.77","1048.49","400","796"
"2011","Other degree","1387.66","1200","1003","350","560","1900","2500","1322.91","1452.41","1200","1300"
"2011","secondary school degree","1454.48","1380","6039","400","832","1900","2500","1429.04","1479.92","1230","1300"
"2012","college entrance qualification","2138.79","1889.39","5668","401","1150","2800","3900","2090.57","2187.01","1860","1960"
"2012","lower secondary degree","1381.64","1400","3494","350","700","1900","2344","1350.24","1413.04","1300","1400"
"2012","no degree/no degree yet","942.45","542.21","250","160","280","1350","2350","838.47","1046.43","400","635"
"2012","Other degree","1399.82","1225.59","1053","360","600","1890","2600","1317.44","1482.2","1150","1300"
"2012","secondary school degree","1493.12","1400","5886","400","850","1950","2500","1467.17","1519.07","1250","1300"
"2013","college entrance qualification","2145.62","1900","5940","450","1100","2890","3982","2098.38","2192.86","1833","1930"
"2013","lower secondary degree","1399.93","1347.23","3580","370","700","1900","2500","1367.78","1432.08","1260","1346"
"2013","no degree/no degree yet","908.9","500","402","135","300","1350","2000","839.4","978.4","450","612"
"2013","Other degree","1504.67","1300","2702","385","700","1879","2600","1463.04","1546.3","1200","1300"
"2013","secondary school degree","1502.95","1400","5986","420","850","1960","2536","1477.49","1528.41","1280","1300"
"2014","college entrance qualification","2152.54","1900","5473","450","1150","2800","4000","2103.67","2201.41","1900","2000"
"2014","lower secondary degree","1428.1","1400","3130","360","660","1998","2500","1392.48","1463.72","1300","1400"
"2014","no degree/no degree yet","1017.33","500","282","139","320","1450","2400","912.85","1121.81","450","800"
"2014","Other degree","1440.09","1250.5","2122","400","630","1925","2600","1392.97","1487.21","1200","1300"
"2014","secondary school degree","1568.65","1470","5287","450","850","2000","2746","1539.86","1597.44","1300","1382"
"2015","college entrance qualification","2239.79","1969.76","5235","450","1200","3000","4000","2188.44","2291.14","1900","2000"
"2015","lower secondary degree","1446.65","1400","2821","375","700","2000","2500","1410.5","1482.8","1302","1435"
"2015","no degree/no degree yet","966.6","660.24","312","130","350","1400","2200","880.79","1052.41","600","851"
"2015","Other degree","1460.57","1300","2669","400","700","1950","2600","1415.42","1505.72","1300","1370"
"2015","secondary school degree","1583.23","1500","5002","450","900","2050","2700","1554.87","1611.59","1350","1400"
"2016","college entrance qualification","2260.28","2000","4966","500","1200","2942","4076","2207.39","2313.17","1950","2000"
"2016","lower secondary degree","1473.1","1432.69","2666","400","700","2000","2510","1435.81","1510.39","1300","1400"
"2016","no degree/no degree yet","927.75","500","490","100","200","1480","2100","865.79","989.71","400","450"
"2016","Other degree","1473.14","1300","2470","400","669","1900","2500","1428.61","1517.67","1200","1300"
"2016","secondary school degree","1610.55","1500","4629","450","950","2060","2700","1579.57","1641.53","1400","1433"
"2017","college entrance qualification","2266.92","2000","5881","475","1200","3000","4100","2220.91","2312.93","1973","2000"
"2017","lower secondary degree","1492.65","1450","2923","400","730","2090","2600","1456.33","1528.97","1300","1400"
"2017","no degree/no degree yet","939.56","654.53","636","60","193","1300","2250","885.85","993.27","450","633"
"2017","Other degree","1535.03","1350","2596","400","700","2000","2800","1491.31","1578.75","1200","1285"
"2017","secondary school degree","1653.37","1594","5361","460","1000","2100","2800","1625.04","1681.7","1450","1500"
"2018","college entrance qualification","2328.8","2100","5647","500","1200","3000","4258","2280.89","2376.71","2000","2092"
"2018","lower secondary degree","1495.93","1484.83","2674","380","680","2100","2641","1458.9","1532.96","1340","1450"
"2018","no degree/no degree yet","912.98","714.05","671","100","250","1300","2000","861.36","964.6","580","800"
"2018","Other degree","1613.29","1400","2647","400","722","2100","3000","1569.87","1656.71","1200","1300"
"2018","secondary school degree","1720.43","1600","5078","520","1049","2200","2900","1689.91","1750.95","1500","1550"
"2019","college entrance qualification","2413.85","2100","6546","545","1300","3070","4300","2341.27","2486.43","2200","2300"
"2019","lower secondary degree","1579.47","1500","2535","417","800","2200","2760","1527.37","1631.57","1450","1520"
"2019","no degree/no degree yet","1012.79","702.81","731","110","300","1350","1900","940.91","1084.67","750","985"
"2019","Other degree","1769.29","1560","2413","450","900","2200","3100","1701.89","1836.69","1300","1400"
"2019","secondary school degree","1909.45","1700","5302","539","1100","2250","2900","1275.35","2543.55","1604","1700"
