"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1993","35-65 y.","no migration background","1384.76","1227","3514","435","797","1764","2480","4114","1355.29","1414.23","0","20452","1125","1176"
"1993","66 and older","direct migration background","","","","","","","","","","","","","",""
"1993","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1993","66 and older","no migration background","","","","","","","","","","","","","",""
"1994","16-34 y.","direct migration background","1110.97","1074","470","435","791","1380","1738","2863","1063.53","1158.41","92","4602","1023","1125"
"1994","16-34 y.","indirect migration background","754.88","613.36","275","281","384","1074","1394","2301","693.35","816.41","51","4090","613","900"
"1994","16-34 y.","no migration background","1051.08","1023","2453","363","665","1329","1687","2659","1029.96","1072.2","0","5113","971","1023"
"1994","35-65 y.","direct migration background","1289.61","1206.21","896","445","844","1534","2045","4617","1245.29","1333.93","0","12271","1125","1227"
"1994","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1994","35-65 y.","no migration background","1418.35","1278","3444","463","869","1790","2505","4193","1390.25","1446.45","0","10226","1176","1227"
"1994","66 and older","direct migration background","","","","","","","","","","","","","",""
"1994","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1994","66 and older","no migration background","","","","","","","","","","","","","",""
"1995","16-34 y.","direct migration background","1069.23","1074","568","297","639","1329","1687","2556","990.44","1148.02","0","20452","1023","1125"
"1995","16-34 y.","indirect migration background","723.55","614","292","271","383","1023","1329","1943","659.41","787.69","0","4602","665","869"
"1995","16-34 y.","no migration background","1065.9","1023","2445","358","649","1345","1738","2965","1043.06","1088.74","0","10284","1000","1023"
"1995","35-65 y.","direct migration background","1327.56","1176","992","409","818","1557","2122","4868","1265.53","1389.59","0","25565","1125","1227"
"1995","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1995","35-65 y.","no migration background","1444.69","1278","3536","460","877","1841","2556","4406","1414.66","1474.72","0","20452","1176","1230"
"1995","66 and older","direct migration background","","","","","","","","","","","","","",""
"1995","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1995","66 and older","no migration background","687.13","296","30","205","256","920","1844","2555","416.41","957.85","0","2555","256","719"
"1996","16-34 y.","direct migration background","1042.82","1074","504","327","614","1329","1636","3068","994.15","1091.49","20","4090","1074","1176"
"1996","16-34 y.","indirect migration background","914.08","808.37","297","291","380","1125","1534","8692","831.31","996.85","26","8692","767","936"
"1996","16-34 y.","no migration background","1122.43","1074","2336","362","675","1431","1790","3323","1096.28","1148.58","52","14316","1023","1074"
"1996","35-65 y.","direct migration background","1330.13","1227","930","460","844","1559","2045","5113","1289.76","1370.5","51","5113","1176","1253"
"1996","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1996","35-65 y.","no migration background","1469.61","1314","3530","486","920","1841","2556","4346","1441.36","1497.86","44","10226","1227","1278"
"1996","66 and older","direct migration background","","","","","","","","","","","","","",""
"1996","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1996","66 and older","no migration background","715.69","350.19","33","153","245","1023","1483","2530","469.52","961.86","61","2530","266","1023"
"1997","16-34 y.","direct migration background","1056.77","1023","459","347","767","1329","1689","2556","1008.14","1105.4","153","3579","1074","1176"
"1997","16-34 y.","indirect migration background","887.22","767","328","286","383","1125","1636","7506","819.77","954.67","19","7506","741","964"
"1997","16-34 y.","no migration background","1097.97","1074","2240","355","639","1432","1835","2812","1074.32","1121.62","51","4922","1023","1074"
"1997","35-65 y.","direct migration background","1383.79","1278","864","480","869","1636","2556","4960","1341.13","1426.45","56","5624","1176","1278"
"1997","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1997","35-65 y.","no migration background","1488.22","1329","3478","486","920","1892","2597","4256","1458.51","1517.93","24","15339","1227","1278"
"1997","66 and older","direct migration background","","","","","","","","","","","","","",""
"1997","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1997","66 and older","no migration background","872.63","671.63","31","256","302","1278","2045","2709","588.63","1156.63","61","2709","297","1236"
"1998","16-34 y.","direct migration background","1065.56","1036.84","423","312","614","1401","1636","3323","1001.4","1129.72","38","7669","1074","1176"
"1998","16-34 y.","indirect migration background","902.91","868.78","324","291","404","1176","1662","3068","834.82","971","0","6135","767","995"
"1998","16-34 y.","no migration background","1095.47","1074","2410","336","665","1406","1790","3375","1072.2","1118.74","0","6818","1023","1074"
"1998","35-65 y.","direct migration background","1397.2","1278","857","460","869","1636","2505","5113","1350.73","1443.67","0","5624","1217","1278"
"1998","35-65 y.","indirect migration background","1113.96","1153.84","33","317","431","1585","2045","2863","859.38","1368.54","169","2863","459","1365"
"1998","35-65 y.","no migration background","1479.42","1329","4070","460","920","1853","2587","4325","1453.34","1505.5","0","7158","1240","1278"
"1998","66 and older","direct migration background","","","","","","","","","","","","","",""
"1998","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1998","66 and older","no migration background","715.75","511","36","205","256","1023","1887","2842","478.26","953.24","0","2842","256","614"
"1999","16-34 y.","direct migration background","1080.85","1099","386","322","629","1380","1687","2812","1024.4","1137.3","41","3579","1033","1176"
"1999","16-34 y.","indirect migration background","843.24","844","342","281","371","1125","1534","2301","784.38","902.1","61","3579","818","971"
"1999","16-34 y.","no migration background","1083.36","1048","2387","317","569","1382","1790","3477","1058.86","1107.86","0","7669","1023","1066"
"1999","35-65 y.","direct migration background","1492.54","1227","799","474","869","1713","2659","10226","1436.11","1548.97","0","10397","1217","1278"
"1999","35-65 y.","indirect migration background","1236.44","1227","38","358","665","1841","2147","3068","1006.18","1466.7","153","3068","818","1278"
"1999","35-65 y.","no migration background","1492.02","1342.45","4092","427","920","1892","2641","4499","1465.18","1518.86","0","10226","1268","1284"
"1999","66 and older","direct migration background","","","","","","","","","","","","","",""
"1999","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1999","66 and older","no migration background","655.77","355.9","37","245","256","767","1534","3070","432.41","879.13","0","3070","307","767"
"2000","16-34 y.","direct migration background","1051.99","1074","563","307","537","1406","1738","2648","1003.7","1100.28","0","4346","1023","1176"
"2000","16-34 y.","indirect migration background","938.6","971","426","288","448","1278","1636","2556","881.34","995.86","0","5113","920","1023"
"2000","16-34 y.","no migration background","1093.56","1074","3711","318","562","1432","1790","3323","1071.86","1115.26","0","8278","1023","1048"
"2000","35-65 y.","direct migration background","1370.63","1251.27","1239","343","854","1664","2431","4602","1323.69","1417.57","0","8181","1278","1329"
"2000","35-65 y.","indirect migration background","1321.25","1227","71","491","716","1790","2045","3528","1140.52","1501.98","102","3528","971","1329"
"2000","35-65 y.","no migration background","1513.83","1380","7741","383","869","1943","2659","4977","1491.94","1535.72","0","12782","1329","1380"
"2000","66 and older","direct migration background","","","","","","","","","","","","","",""
"2000","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2000","66 and older","no migration background","1061.77","491.26","84","153","255","1611","2556","4632","796.55","1326.99","0","6039","312","971"
"2001","16-34 y.","direct migration background","994.74","1023","503","281","404","1432","1738","2863","940.05","1049.43","0","4039","1017","1176"
"2001","16-34 y.","indirect migration background","1030.99","920","389","307","460","1432","1943","3068","961.02","1100.96","0","6647","896","1046"
"2001","16-34 y.","no migration background","1099.19","1074","3246","314","547","1483","1841","3068","1076.31","1122.07","0","7669","1012","1074"
"2001","35-65 y.","direct migration background","1404.01","1278","1115","412","869","1687","2352","4531","1355.29","1452.73","0","8308","1278","1355"
"2001","35-65 y.","indirect migration background","1589.42","1346.07","77","489","932","1943","3017","4550","1387.23","1791.61","179","4550","1125","1534"
"2001","35-65 y.","no migration background","1535.55","1432","7211","383","895","1994","2710","4848","1512.88","1558.22","0","12782","1365","1402"
"2001","66 and older","direct migration background","","","","","","","","","","","","","",""
"2001","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2001","66 and older","no migration background","1055.44","502.97","81","107","307","1636","3068","4224","815.33","1295.55","0","4224","322","920"
"2002","16-34 y.","direct migration background","1019.46","1000","438","300","400","1500","1850","2700","952.96","1085.96","0","5005","1000","1200"
"2002","16-34 y.","indirect migration background","974.56","900","378","300","400","1380","1800","3100","904.52","1044.6","0","4000","850","1100"
"2002","16-34 y.","no migration background","1107.28","1097","3133","311","525","1500","1902","3000","1080.43","1134.13","0","9000","1000","1077"
"2002","35-65 y.","direct migration background","1366.32","1200","1093","325","800","1700","2200","5000","1286.97","1445.67","0","25000","1280","1400"
"2002","35-65 y.","indirect migration background","1719.3","1477.13","98","439","990","1992","2800","15000","1368.67","2069.93","170","15000","1350","1700"
"2002","35-65 y.","no migration background","1608.92","1460","8224","350","900","2000","2800","5750","1570.54","1647.3","0","80000","1500","1539"
"2002","66 and older","direct migration background","","","","","","","","","","","","","",""
"2002","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2002","66 and older","no migration background","1209.2","503.1","125","110","300","1644","3086","6500","890.38","1528.02","0","9000","600","1470"
"2003","16-34 y.","direct migration background","1055.04","1000","386","320","450","1570","1850","2600","986.79","1123.29","0","4000","1000","1200"
"2003","16-34 y.","indirect migration background","1001.12","990.27","379","270","410","1300","1800","3000","870.01","1132.23","0","20000","825","1100"
"2003","16-34 y.","no migration background","1113.18","1100","2907","300","529","1500","1953","3000","1087.77","1138.59","0","7000","1000","1060"
"2003","35-65 y.","direct migration background","1367.97","1262.52","1006","325","750","1700","2400","5000","1303.22","1432.72","0","12500","1300","1400"
"2003","35-65 y.","indirect migration background","1618.25","1500","102","330","900","2000","3000","5600","1360.89","1875.61","172","7000","1200","1799"
"2003","35-65 y.","no migration background","1630.56","1500","7833","400","905","2000","2900","6000","1596.08","1665.04","0","59000","1500","1545"
"2003","66 and older","direct migration background","","","","","","","","","","","","","",""
"2003","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2003","66 and older","no migration background","1105.89","550.38","159","250","325","1301","2443","5630","850.11","1361.67","0","9000","445","892"
"2004","16-34 y.","direct migration background","1085.55","1098.46","353","300","500","1505","1930","2700","1017.39","1153.71","0","3600","1000","1226"
"2004","16-34 y.","indirect migration background","952.86","800","360","308","467","1300","1700","3000","881.93","1023.79","16","4000","800","1100"
"2004","16-34 y.","no migration background","1107.55","1070","2740","300","500","1500","1972","3100","1081.1","1134","0","9000","1000","1045"
"2004","35-65 y.","direct migration background","1407.31","1250","957","400","830","1700","2400","5200","1339.88","1474.74","0","9000","1300","1400"
"2004","35-65 y.","indirect migration background","1480.68","1505.25","117","400","700","1900","2499","6000","1261.68","1699.68","100","6500","1300","1700"
"2004","35-65 y.","no migration background","1651.67","1500","7674","400","900","2053","2988","6000","1617.55","1685.79","0","30214","1500","1600"
"2004","66 and older","direct migration background","","","","","","","","","","","","","",""
"2004","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2004","66 and older","no migration background","1134.13","583.75","174","110","260","1537","2789","8000","821.96","1446.3","0","15000","478","1100"
"2005","16-34 y.","direct migration background","1027.17","1000","286","272","400","1500","1900","2900","950.07","1104.27","0","3000","900","1200"
"2005","16-34 y.","indirect migration background","1016.34","920","358","280","429","1500","1950","2800","942.45","1090.23","0","5000","851","1100"
"2005","16-34 y.","no migration background","1136.82","1051","2555","300","520","1550","2037","3313","1108.92","1164.72","0","10000","993","1030"
"2005","35-65 y.","direct migration background","1382.83","1279.16","934","375","800","1750","2300","5628","1312.58","1453.08","0","10000","1300","1440"
"2005","35-65 y.","indirect migration background","1611.62","1600","120","390","900","2027","3000","5400","1388.62","1834.62","61","6900","1300","1810"
"2005","35-65 y.","no migration background","1659.76","1500","7333","400","918","2092","3000","5900","1627.08","1692.44","0","20000","1525","1600"
"2005","66 and older","direct migration background","","","","","","","","","","","","","",""
"2005","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2005","66 and older","no migration background","1224.73","545.4","146","150","282","1537","3999","9166","893.48","1555.98","0","11400","400","780"
"2006","16-34 y.","direct migration background","1137.08","1000","307","300","400","1600","2000","6000","1042.06","1232.1","0","6467","850","1200"
"2006","16-34 y.","indirect migration background","1011.87","950","360","282","446","1360","1950","2600","944.83","1078.91","0","3500","860","1100"
"2006","16-34 y.","no migration background","1088.81","1050","2510","280","500","1500","1900","3000","1060.68","1116.94","0","9651","1000","1046"
"2006","35-65 y.","direct migration background","1426.42","1322.99","929","364","790","1800","2499","5500","1357.98","1494.86","0","10000","1315","1400"
"2006","35-65 y.","indirect migration background","1591.75","1600","130","390","700","2000","3000","5000","1376.82","1806.68","112","7043","1430","1780"
"2006","35-65 y.","no migration background","1684.66","1500","7941","400","900","2100","3000","6000","1647.96","1721.36","0","80000","1500","1580"
"2006","66 and older","direct migration background","","","","","","","","","","","","","",""
"2006","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2006","66 and older","no migration background","1338.74","510.06","187","150","300","1771","3000","5000","431.76","2245.72","0","84300","400","650"
"2007","16-34 y.","direct migration background","1078.97","1050","258","300","400","1560","2092","3000","998.49","1159.45","0","3180","880","1200"
"2007","16-34 y.","indirect migration background","1047.95","928.43","362","294","450","1500","2000","3000","962.53","1133.37","0","10000","950","1200"
"2007","16-34 y.","no migration background","1109.97","1078.08","2408","300","500","1500","1960","3300","1081.41","1138.53","0","9000","1000","1050"
"2007","35-65 y.","direct migration background","1429.82","1306.65","840","380","790","1800","2400","5050","1350.79","1508.85","80","12000","1350","1500"
"2007","35-65 y.","indirect migration background","1544.43","1400","145","400","700","2000","3000","5002","1340.57","1748.29","84","6500","1300","1790"
"2007","35-65 y.","no migration background","1702.95","1500","7581","400","937","2115","3000","6000","1670.57","1735.33","0","25000","1500","1600"
"2007","66 and older","direct migration background","","","","","","","","","","","","","",""
"2007","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2007","66 and older","no migration background","934.31","400","200","148","278","1050","2100","7000","707.65","1160.97","0","10484","400","800"
"2008","16-34 y.","direct migration background","1046.01","953.45","233","300","450","1580","2000","2900","959.37","1132.65","0","3550","830","1200"
"2008","16-34 y.","indirect migration background","1103.76","1100","351","285","430","1600","2067","3500","1028.12","1179.4","0","3998","870","1100"
"2008","16-34 y.","no migration background","1129.39","1100","2282","320","533","1500","1900","3500","1099.89","1158.89","0","10000","1004","1100"
"2008","35-65 y.","direct migration background","1457.45","1314.39","791","358","720","1850","2390","5915","1374.83","1540.07","0","11877","1311","1500"
"2008","35-65 y.","indirect migration background","1471.24","1447.33","157","400","662","2000","2900","4500","1285.26","1657.22","70","6643","1260","1700"
"2008","35-65 y.","no migration background","1714.8","1501.91","7174","400","913","2200","3001","6000","1682.54","1747.06","0","18000","1513","1600"
"2008","66 and older","direct migration background","","","","","","","","","","","","","",""
"2008","66 and older","indirect migration background","","","","","","","","","","","","","",""
"2008","66 and older","no migration background","1200.4","400","184","135","300","1368","3000","8300","861.72","1539.08","0","22000","400","697"
"2009","16-34 y.","direct migration background","973.05","717.22","192","250","380","1400","2200","2700","870.96","1075.14","0","4457","760","1100"
"2009","16-34 y.","indirect migration background","1127.73","1091.9","313","310","429","1600","2200","3417","1043.73","1211.73","0","5000","960","1200"
"2009","16-34 y.","no migration background","1149.34","1100","2120","311","578","1600","2000","3200","1118.47","1180.21","0","7100","1030","1100"
