"year","bula_h","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1999","Brandenburg","1083.86","1023","335","1027.2","1140.52","409","777","1365","1769"
"1999","Bremen","1306.39","1260.16","41","1086.63","1526.15","353","767","1636","2045"
"1999","Hamburg","1443.95","1329","86","1266.73","1621.17","322","931","1784","2812"
"1999","Hesse","1455.28","1278","532","1373.38","1537.18","317","644","1841","2615"
"1999","Lower Saxony","1313.3","1229.98","710","1247.52","1379.08","322","665","1636","2250"
"1999","Mecklenburg-Western Pomerania","1073.47","1023","246","1004.27","1142.67","381","716","1227","1687"
"1999","North Rhine-Westphalia","1416.43","1307.73","1601","1374.82","1458.04","322","857","1790","2475"
"1999","Rhineland-Palatinate,Saarland","1275.01","1227","433","1205.05","1344.97","317","738","1651","2301"
"1999","Saxony","1029.08","971","659","988.92","1069.24","383","767","1273","1585"
"1999","Saxony-Anhalt","1023.89","981.11","388","975.37","1072.41","399","767","1278","1636"
"1999","Schleswig-Holstein","1427.73","1278","198","1296.74","1558.72","566","843","1585","2352"
"1999","Thuringia","982.42","929.98","416","932.62","1032.22","342","732","1227","1534"
"2000","Baden-Württemberg","1449.62","1278","1749","1402.79","1496.45","322","767","1841","2556"
"2000","Bavaria","1398.6","1278","2056","1356.65","1440.55","322","767","1790","2555"
"2000","Berlin","1341.72","1278","458","1264.75","1418.69","319","920","1636","2147"
"2000","Brandenburg","1119.81","1074","551","1067.77","1171.85","363","767","1432","1790"
"2000","Bremen","1362.77","1434.7","101","1210.29","1515.25","322","808","1738","2045"
"2000","Hamburg","1599.11","1432","173","1420.96","1777.26","511","1023","1943","2556"
"2000","Hesse","1487.72","1302.66","973","1421.73","1553.71","322","767","1943","2744"
"2000","Lower Saxony","1331.62","1278","1177","1275.91","1387.33","322","670","1687","2301"
"2000","Mecklenburg-Western Pomerania","1067.52","966.52","334","1000.27","1134.77","322","665","1278","1790"
"2000","North Rhine-Westphalia","1403.16","1278","2941","1371.07","1435.25","322","767","1790","2556"
"2000","Rhineland-Palatinate,Saarland","1327.28","1278","788","1268.47","1386.09","322","716","1738","2403"
"2000","Saxony","1096.92","1023","982","1056.02","1137.82","334","741","1329","1790"
"2000","Saxony-Anhalt","1044.81","989.98","561","994.6","1095.02","307","716","1329","1636"
"2000","Schleswig-Holstein","1376.43","1227","426","1289.74","1463.12","322","818","1687","2480"
"2000","Thuringia","1023.78","971","575","975.82","1071.74","409","716","1278","1636"
"2001","Baden-Württemberg","1459.52","1329","1587","1412.37","1506.67","322","767","1943","2608"
"2001","Bavaria","1425.2","1329","1864","1380.97","1469.43","322","767","1807","2590"
"2001","Berlin","1401.54","1278","460","1318.6","1484.48","322","900","1779","2556"
"2001","Brandenburg","1166.31","1120.58","519","1112.23","1220.39","342","759","1483","1943"
"2001","Bremen","1315.67","1380","89","1118.36","1512.98","215","511","1738","2096"
"2001","Hamburg","1608.13","1468.03","161","1396.73","1819.53","404","1023","2045","2608"
"2001","Hesse","1544.09","1380","870","1476.75","1611.43","322","818","1994","2916"
"2001","Lower Saxony","1349.87","1278","1054","1291.32","1408.42","322","716","1687","2352"
"2001","Mecklenburg-Western Pomerania","1121.19","1023","303","1049.32","1193.06","358","767","1329","1968"
"2001","North Rhine-Westphalia","1419.2","1329","2667","1383.83","1454.57","322","767","1841","2556"
"2001","Rhineland-Palatinate,Saarland","1305.92","1278","733","1244.83","1367.01","307","660","1738","2316"
"2001","Saxony","1110.74","1023","899","1070.6","1150.88","428","767","1380","1738"
"2001","Saxony-Anhalt","1080.9","1023","529","1026.75","1135.05","322","716","1380","1790"
"2001","Schleswig-Holstein","1405.41","1227","376","1306.65","1504.17","322","798","1738","2608"
"2001","Thuringia","1070.85","1023","521","1021.1","1120.6","409","751","1344","1687"
"2002","Baden-Württemberg","1496.23","1382.65","1732","1431.4","1561.06","325","750","1900","2600"
"2002","Bavaria","1506.36","1300","2027","1407.34","1605.38","325","716","1900","2646"
"2002","Berlin","1410.57","1300","487","1305.41","1515.73","325","820","1800","2423"
"2002","Brandenburg","1155.48","1100","505","1081.91","1229.05","340","750","1500","1900"
"2002","Bremen","1410.72","1200","103","1013.37","1808.07","298","400","2000","2500"
"2002","Hamburg","1534.67","1500","204","1341.82","1727.52","400","760","1851","2700"
"2002","Hesse","1590.78","1408.26","1017","1459.49","1722.07","325","700","2000","3000"
"2002","Lower Saxony","1407.15","1300","1136","1332.75","1481.55","325","700","1900","2500"
"2002","Mecklenburg-Western Pomerania","1148.71","1074.95","302","1042.53","1254.89","400","800","1400","1800"
"2002","North Rhine-Westphalia","1487.81","1399.67","2841","1431.58","1544.04","325","769","1892","2600"
"2002","Rhineland-Palatinate,Saarland","1341.4","1321.37","771","1271.69","1411.11","325","625","1755","2500"
"2002","Saxony","1103.41","1000","926","1045","1161.82","342","750","1395","1780"
"2002","Saxony-Anhalt","1112.63","1000","509","1046.77","1178.49","350","748","1400","1790"
"2002","Schleswig-Holstein","1413.61","1273.67","437","1286.96","1540.26","325","721","1800","2500"
"2002","Thuringia","1113.08","1096.01","507","1049.78","1176.38","358","760","1430","1790"
"2003","Baden-Württemberg","1546.82","1411.69","1644","1483.27","1610.37","325","800","2000","2600"
"2003","Bavaria","1492.29","1350","1934","1428.07","1556.51","330","752","1900","2600"
"2003","Berlin","1414.05","1300","464","1301.9","1526.2","325","800","1700","2303"
"2003","Brandenburg","1167.79","1100.44","502","1095.82","1239.76","300","730","1500","1900"
"2003","Bremen","1634.83","1500","97","436.05","2833.61","312","500","2100","2485"
"2003","Hamburg","1555.19","1450","178","1367.09","1743.29","446","800","1800","2927"
"2003","Hesse","1555.29","1450","931","1472.53","1638.05","325","800","2000","2846"
"2003","Lower Saxony","1392.93","1261.1","1109","1321.32","1464.54","320","650","1850","2500"
"2003","Mecklenburg-Western Pomerania","1126.26","1083.45","285","1021.99","1230.53","313","630","1400","2000"
"2003","North Rhine-Westphalia","1526.5","1400","2670","1468.82","1584.18","325","770","1968","2700"
"2003","Rhineland-Palatinate,Saarland","1355.68","1244.8","735","1277.59","1433.77","320","504","1800","2500"
"2003","Saxony","1157.04","1081.39","866","1100.94","1213.14","386","745","1470","1950"
"2003","Saxony-Anhalt","1138.05","1040.06","464","1054.78","1221.32","320","680","1443","1850"
"2003","Schleswig-Holstein","1361.32","1200","399","1238.04","1484.6","300","650","1750","2500"
"2003","Thuringia","1137.09","1080.14","514","1069.01","1205.17","420","791","1480","1700"
"2004","Baden-Württemberg","1575.6","1400","1576","1503.77","1647.43","370","789","2000","2780"
"2004","Bavaria","1480.77","1330.11","1854","1416.33","1545.21","350","750","1853","2600"
"2004","Berlin","1400.1","1300","469","1282.49","1517.71","300","703","1800","2500"
"2004","Brandenburg","1160.71","1097.65","464","1079.56","1241.86","260","720","1500","2000"
"2004","Bremen","1632.08","1564.91","96","1316.19","1947.97","400","1000","2000","2500"
"2004","Hamburg","1563.46","1420.34","167","1380.27","1746.65","454","890","1907","2800"
"2004","Hesse","1638.54","1430","892","1527.18","1749.9","398","734","2100","3000"
"2004","Lower Saxony","1401.21","1300","1085","1329.81","1472.61","325","671","1899","2500"
"2004","Mecklenburg-Western Pomerania","1143.92","1042.81","276","1048.09","1239.75","320","650","1400","2000"
"2004","North Rhine-Westphalia","1535.44","1400","2587","1475.8","1595.08","369","794","1950","2700"
"2004","Rhineland-Palatinate,Saarland","1375.84","1295.76","721","1295.01","1456.67","350","600","1800","2500"
"2004","Saxony","1155.37","1046.18","869","1099.69","1211.05","400","743","1475","1900"
"2004","Saxony-Anhalt","1106.79","1058.1","474","1033.76","1179.82","300","605","1473","1800"
"2004","Schleswig-Holstein","1445.06","1200","379","1255.48","1634.64","400","776","1880","2700"
"2004","Thuringia","1136.43","1100","495","1067.51","1205.35","282","800","1500","1880"
"2005","Baden-Württemberg","1550.35","1500","1473","1483.57","1617.13","395","762","2025","2700"
"2005","Bavaria","1576.05","1400","1782","1510.62","1641.48","391","812","2000","3000"
"2005","Berlin","1366.08","1250","424","1250.01","1482.15","300","800","1760","2400"
"2005","Brandenburg","1220.52","1100","456","1125.03","1316.01","300","714","1550","2055"
"2005","Bremen","1621.19","1663.16","78","1142.17","2100.21","400","800","2150","2550"
"2005","Hamburg","1583.85","1479","161","1350.03","1817.67","485","1000","1820","2700"
"2005","Hesse","1572.39","1402.56","854","1481.42","1663.36","350","700","2000","3000"
"2005","Lower Saxony","1425.94","1325.46","1007","1345.88","1506","333","750","1900","2500"
"2005","Mecklenburg-Western Pomerania","1117.42","941.15","263","1017.33","1217.51","327","696","1400","2000"
"2005","North Rhine-Westphalia","1536.46","1400","2465","1479.15","1593.77","340","750","1980","2800"
"2005","Rhineland-Palatinate,Saarland","1381.8","1300","698","1297.84","1465.76","325","550","1860","2500"
"2005","Saxony","1159.89","1071.12","825","1101.5","1218.28","340","718","1500","2000"
"2005","Saxony-Anhalt","1164.17","1070","459","1085.92","1242.42","250","690","1500","1880"
"2005","Schleswig-Holstein","1444.1","1291.66","367","1287.7","1600.5","333","750","1900","2450"
"2005","Thuringia","1159.67","1102.67","437","1086.52","1232.82","300","750","1500","1960"
"2006","Baden-Württemberg","1598.55","1500","1590","1532.66","1664.44","400","810","2100","2850"
"2006","Bavaria","1566.37","1400","1890","1506.47","1626.27","351","700","2000","2900"
"2006","Berlin","1365.41","1239.41","453","1251.63","1479.19","250","700","1800","2400"
