"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2013","35-65 y.","middle vocational","3861","0.538048501145967","0.526712429361358","0.549384572930576"
"Never","2013","35-65 y.","vocational + Abi","604","0.492345302648821","0.464496477873217","0.520194127424426"
"Never","2013","35-65 y.","higher vocational","645","0.546711410152717","0.518319827345137","0.575102992960297"
"Never","2013","35-65 y.","higher education","2095","0.562853839353644","0.547211673456839","0.57849600525045"
"Never","2013","66 and older","in school","","","",""
"Never","2013","66 and older","inadequately","46","0.922419477631824","0.847517957267018","0.99732099799663"
"Never","2013","66 and older","general elemantary","688","0.943738042459758","0.927045376573505","0.960430708346011"
"Never","2013","66 and older","middle vocational","2157","0.87068549660755","0.857581967414902","0.883789025800197"
"Never","2013","66 and older","vocational + Abi","99","0.802606954459634","0.731686291125291","0.873527617793977"
"Never","2013","66 and older","higher vocational","275","0.792047132942929","0.749284148127087","0.834810117758772"
"Never","2013","66 and older","higher education","807","0.730986487864358","0.70533462740216","0.756638348326556"
"Daily","2014","16-34 y.","in school","","","",""
"Daily","2014","16-34 y.","inadequately","","","",""
"Daily","2014","16-34 y.","general elemantary","","","",""
"Daily","2014","16-34 y.","middle vocational","","","",""
"Daily","2014","16-34 y.","vocational + Abi","","","",""
"Daily","2014","16-34 y.","higher vocational","","","",""
"Daily","2014","16-34 y.","higher education","","","",""
"Daily","2014","35-65 y.","in school","","","",""
"Daily","2014","35-65 y.","inadequately","","","",""
"Daily","2014","35-65 y.","general elemantary","","","",""
"Daily","2014","35-65 y.","middle vocational","","","",""
"Daily","2014","35-65 y.","vocational + Abi","","","",""
"Daily","2014","35-65 y.","higher vocational","","","",""
"Daily","2014","35-65 y.","higher education","","","",""
"Daily","2014","66 and older","in school","","","",""
"Daily","2014","66 and older","inadequately","","","",""
"Daily","2014","66 and older","general elemantary","","","",""
"Daily","2014","66 and older","middle vocational","","","",""
"Daily","2014","66 and older","vocational + Abi","","","",""
"Daily","2014","66 and older","higher vocational","","","",""
"Daily","2014","66 and older","higher education","","","",""
"Min 1x per week","2014","16-34 y.","in school","","","",""
"Min 1x per week","2014","16-34 y.","inadequately","","","",""
"Min 1x per week","2014","16-34 y.","general elemantary","","","",""
"Min 1x per week","2014","16-34 y.","middle vocational","","","",""
"Min 1x per week","2014","16-34 y.","vocational + Abi","","","",""
"Min 1x per week","2014","16-34 y.","higher vocational","","","",""
"Min 1x per week","2014","16-34 y.","higher education","","","",""
"Min 1x per week","2014","35-65 y.","in school","","","",""
"Min 1x per week","2014","35-65 y.","inadequately","","","",""
"Min 1x per week","2014","35-65 y.","general elemantary","","","",""
"Min 1x per week","2014","35-65 y.","middle vocational","","","",""
"Min 1x per week","2014","35-65 y.","vocational + Abi","","","",""
"Min 1x per week","2014","35-65 y.","higher vocational","","","",""
"Min 1x per week","2014","35-65 y.","higher education","","","",""
"Min 1x per week","2014","66 and older","in school","","","",""
"Min 1x per week","2014","66 and older","inadequately","","","",""
"Min 1x per week","2014","66 and older","general elemantary","","","",""
