"pli0165","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","2014","Not Working","indirect migration background","","","","","2"
"Min 1x per week","2014","Full Time","no migration background","","","","","2"
"Min 1x per week","2014","Part Time","direct migration background","","","","","2"
"Min 1x per week","2014","Not Working","no migration background","","","","","2"
"Min 1x per week","2014","Full Time","direct migration background","","","","","2"
"Min 1x per week","2014","Full Time","indirect migration background","","","","","2"
"Min 1x per week","2014","Part Time","no migration background","","","","","2"
"Never","2014","Part Time","indirect migration background","","","","","5"
"Never","2014","Not Working","direct migration background","","","","","5"
"Never","2014","Not Working","indirect migration background","","","","","5"
"Never","2014","Not Working","no migration background","","","","","5"
"Never","2014","Full Time","no migration background","","","","","5"
"Never","2014","Full Time","direct migration background","","","","","5"
"Never","2014","Full Time","indirect migration background","","","","","5"
"Never","2014","Part Time","no migration background","","","","","5"
"Never","2014","Part Time","direct migration background","","","","","5"
"Rarely","2014","Part Time","indirect migration background","","","","","4"
"Rarely","2014","Not Working","no migration background","","","","","4"
"Rarely","2014","Not Working","direct migration background","","","","","4"
"Rarely","2014","Not Working","indirect migration background","","","","","4"
"Rarely","2014","Part Time","direct migration background","","","","","4"
"Rarely","2014","Part Time","no migration background","","","","","4"
"Rarely","2014","Full Time","no migration background","","","","","4"
"Rarely","2014","Full Time","indirect migration background","","","","","4"
"Rarely","2014","Full Time","direct migration background","","","","","4"
"Daily","2015","Part Time","direct migration background","","","","","1"
"Daily","2015","Part Time","indirect migration background","","","","","1"
"Daily","2015","Not Working","no migration background","","","","","1"
"Daily","2015","Not Working","direct migration background","","","","","1"
"Daily","2015","Not Working","indirect migration background","","","","","1"
"Daily","2015","Full Time","indirect migration background","","","","","1"
"Daily","2015","Part Time","no migration background","","","","","1"
"Daily","2015","Full Time","no migration background","","","","","1"
"Daily","2015","Full Time","direct migration background","","","","","1"
"Min 1x per month","2015","Part Time","indirect migration background","","","","","3"
"Min 1x per month","2015","Not Working","no migration background","","","","","3"
"Min 1x per month","2015","Not Working","direct migration background","","","","","3"
"Min 1x per month","2015","Not Working","indirect migration background","","","","","3"
"Min 1x per month","2015","Full Time","no migration background","","","","","3"
"Min 1x per month","2015","Full Time","direct migration background","","","","","3"
"Min 1x per month","2015","Part Time","direct migration background","","","","","3"
"Min 1x per month","2015","Part Time","no migration background","","","","","3"
"Min 1x per month","2015","Full Time","indirect migration background","","","","","3"
"Min 1x per week","2015","Part Time","indirect migration background","","","","","2"
"Min 1x per week","2015","Full Time","no migration background","","","","","2"
"Min 1x per week","2015","Part Time","direct migration background","","","","","2"
"Min 1x per week","2015","Not Working","no migration background","","","","","2"
"Min 1x per week","2015","Not Working","direct migration background","","","","","2"
"Min 1x per week","2015","Not Working","indirect migration background","","","","","2"
"Min 1x per week","2015","Full Time","direct migration background","","","","","2"
"Min 1x per week","2015","Full Time","indirect migration background","","","","","2"
"Min 1x per week","2015","Part Time","no migration background","","","","","2"
"Never","2015","Part Time","indirect migration background","","","","","5"
"Never","2015","Not Working","direct migration background","","","","","5"
"Never","2015","Not Working","indirect migration background","","","","","5"
"Never","2015","Not Working","no migration background","","","","","5"
"Never","2015","Full Time","no migration background","","","","","5"
"Never","2015","Full Time","direct migration background","","","","","5"
"Never","2015","Full Time","indirect migration background","","","","","5"
"Never","2015","Part Time","no migration background","","","","","5"
"Never","2015","Part Time","direct migration background","","","","","5"
"Rarely","2015","Not Working","direct migration background","","","","","4"
"Rarely","2015","Not Working","no migration background","","","","","4"
"Rarely","2015","Part Time","indirect migration background","","","","","4"
"Rarely","2015","Part Time","direct migration background","","","","","4"
"Rarely","2015","Not Working","indirect migration background","","","","","4"
"Rarely","2015","Full Time","no migration background","","","","","4"
"Rarely","2015","Full Time","direct migration background","","","","","4"
"Rarely","2015","Full Time","indirect migration background","","","","","4"
"Rarely","2015","Part Time","no migration background","","","","","4"
"Daily","2016","Part Time","direct migration background","","","","","1"
"Daily","2016","Part Time","indirect migration background","","","","","1"
"Daily","2016","Not Working","no migration background","","","","","1"
"Daily","2016","Not Working","direct migration background","","","","","1"
"Daily","2016","Not Working","indirect migration background","","","","","1"
"Daily","2016","Full Time","no migration background","","","","","1"
"Daily","2016","Full Time","direct migration background","","","","","1"
"Daily","2016","Full Time","indirect migration background","","","","","1"
"Daily","2016","Part Time","no migration background","","","","","1"
"Min 1x per month","2016","Part Time","indirect migration background","","","","","3"
"Min 1x per month","2016","Not Working","no migration background","","","","","3"
"Min 1x per month","2016","Not Working","indirect migration background","","","","","3"
"Min 1x per month","2016","Not Working","direct migration background","","","","","3"
"Min 1x per month","2016","Part Time","direct migration background","","","","","3"
"Min 1x per month","2016","Full Time","direct migration background","","","","","3"
"Min 1x per month","2016","Full Time","no migration background","","","","","3"
"Min 1x per month","2016","Full Time","indirect migration background","","","","","3"
"Min 1x per month","2016","Part Time","no migration background","","","","","3"
"Min 1x per week","2016","Part Time","indirect migration background","","","","","2"
"Min 1x per week","2016","Not Working","no migration background","","","","","2"
"Min 1x per week","2016","Full Time","no migration background","","","","","2"
"Min 1x per week","2016","Part Time","direct migration background","","","","","2"
"Min 1x per week","2016","Not Working","direct migration background","","","","","2"
"Min 1x per week","2016","Not Working","indirect migration background","","","","","2"
"Min 1x per week","2016","Full Time","direct migration background","","","","","2"
"Min 1x per week","2016","Full Time","indirect migration background","","","","","2"
"Min 1x per week","2016","Part Time","no migration background","","","","","2"
"Never","2016","Part Time","indirect migration background","","","","","5"
"Never","2016","Not Working","no migration background","","","","","5"
"Never","2016","Not Working","direct migration background","","","","","5"
"Never","2016","Not Working","indirect migration background","","","","","5"
"Never","2016","Full Time","no migration background","","","","","5"
"Never","2016","Full Time","direct migration background","","","","","5"
"Never","2016","Full Time","indirect migration background","","","","","5"
"Never","2016","Part Time","no migration background","","","","","5"
"Never","2016","Part Time","direct migration background","","","","","5"
"Rarely","2016","Part Time","indirect migration background","","","","","4"
"Rarely","2016","Not Working","no migration background","","","","","4"
"Rarely","2016","Not Working","direct migration background","","","","","4"
"Rarely","2016","Full Time","no migration background","","","","","4"
"Rarely","2016","Full Time","direct migration background","","","","","4"
"Rarely","2016","Part Time","direct migration background","","","","","4"
"Rarely","2016","Not Working","indirect migration background","","","","","4"
"Rarely","2016","Full Time","indirect migration background","","","","","4"
"Rarely","2016","Part Time","no migration background","","","","","4"
"Daily","2017","Part Time","direct migration background","108","0.684769857050432","0.614304437455765","0.755235276645099","1"
"Daily","2017","Part Time","indirect migration background","","","","","1"
"Daily","2017","Not Working","no migration background","","","","","1"
"Daily","2017","Not Working","direct migration background","3142","0.587080045916985","0.573833423962438","0.600326667871531","1"
"Daily","2017","Not Working","indirect migration background","","","","","1"
"Daily","2017","Full Time","indirect migration background","","","","","1"
"Daily","2017","Full Time","no migration background","","","","","1"
"Daily","2017","Full Time","direct migration background","35","0.49738110173153","0.375830962786828","0.618931240676232","1"
"Daily","2017","Part Time","no migration background","","","","","1"
"Min 1x per month","2017","Not Working","no migration background","","","","","3"
"Min 1x per month","2017","Part Time","indirect migration background","","","","","3"
"Min 1x per month","2017","Part Time","direct migration background","2","","","","3"
"Min 1x per month","2017","Not Working","direct migration background","160","0.039182759656281","0.0339625078667158","0.0444030114458462","3"
"Min 1x per month","2017","Not Working","indirect migration background","","","","","3"
"Min 1x per month","2017","Full Time","no migration background","","","","","3"
"Min 1x per month","2017","Full Time","direct migration background","4","","","","3"
"Min 1x per month","2017","Full Time","indirect migration background","","","","","3"
"Min 1x per month","2017","Part Time","no migration background","","","","","3"
"Min 1x per week","2017","Part Time","indirect migration background","","","","","2"
"Min 1x per week","2017","Not Working","no migration background","","","","","2"
"Min 1x per week","2017","Not Working","direct migration background","878","0.158423288476107","0.148599479395077","0.168247097557137","2"
"Min 1x per week","2017","Not Working","indirect migration background","","","","","2"
"Min 1x per week","2017","Full Time","no migration background","","","","","2"
"Min 1x per week","2017","Part Time","direct migration background","28","","","","2"
"Min 1x per week","2017","Part Time","no migration background","","","","","2"
"Min 1x per week","2017","Full Time","indirect migration background","","","","","2"
"Min 1x per week","2017","Full Time","direct migration background","14","","","","2"
"Never","2017","Not Working","direct migration background","832","0.161559011739875","0.151656955428508","0.171461068051242","5"
"Never","2017","Not Working","indirect migration background","","","","","5"
"Never","2017","Part Time","indirect migration background","","","","","5"
"Never","2017","Not Working","no migration background","","","","","5"
"Never","2017","Full Time","no migration background","","","","","5"
"Never","2017","Full Time","direct migration background","9","","","","5"
"Never","2017","Full Time","indirect migration background","","","","","5"
"Never","2017","Part Time","no migration background","","","","","5"
"Never","2017","Part Time","direct migration background","15","","","","5"
"Rarely","2017","Part Time","indirect migration background","","","","","4"
"Rarely","2017","Not Working","no migration background","","","","","4"
"Rarely","2017","Not Working","direct migration background","295","0.0537548942107529","0.0476870506407312","0.0598227377807745","4"
"Rarely","2017","Full Time","no migration background","","","","","4"
"Rarely","2017","Full Time","direct migration background","3","","","","4"
"Rarely","2017","Full Time","indirect migration background","","","","","4"
"Rarely","2017","Part Time","direct migration background","14","","","","4"
"Rarely","2017","Not Working","indirect migration background","","","","","4"
"Rarely","2017","Part Time","no migration background","","","","","4"
"Daily","2018","Part Time","direct migration background","258","0.731963038460759","0.686080388109317","0.777845688812201","1"
"Daily","2018","Part Time","indirect migration background","","","","","1"
"Daily","2018","Not Working","no migration background","","","","","1"
"Daily","2018","Not Working","direct migration background","2144","0.637792784298965","0.621536319992871","0.654049248605059","1"
"Daily","2018","Not Working","indirect migration background","","","","","1"
"Daily","2018","Full Time","indirect migration background","","","","","1"
"Daily","2018","Full Time","no migration background","","","","","1"
"Daily","2018","Full Time","direct migration background","107","0.735364023175581","0.665691207381703","0.805036838969459","1"
"Daily","2018","Part Time","no migration background","","","","","1"
"Min 1x per month","2018","Part Time","indirect migration background","","","","","3"
"Min 1x per month","2018","Not Working","no migration background","","","","","3"
"Min 1x per month","2018","Not Working","direct migration background","101","0.026988844061617","0.0215078567466713","0.0324698313765627","3"
"Min 1x per month","2018","Not Working","indirect migration background","","","","","3"
"Min 1x per month","2018","Full Time","no migration background","","","","","3"
"Min 1x per month","2018","Part Time","direct migration background","14","","","","3"
"Min 1x per month","2018","Full Time","direct migration background","3","","","","3"
"Min 1x per month","2018","Full Time","indirect migration background","","","","","3"
"Min 1x per month","2018","Part Time","no migration background","","","","","3"
"Min 1x per week","2018","Not Working","direct migration background","552","0.177070292865498","0.164159230823311","0.189981354907685","2"
"Min 1x per week","2018","Not Working","no migration background","","","","","2"
"Min 1x per week","2018","Not Working","indirect migration background","","","","","2"
"Min 1x per week","2018","Part Time","indirect migration background","","","","","2"
"Min 1x per week","2018","Part Time","direct migration background","47","0.10817084675606","0.0759970343788031","0.140344659133317","2"
"Min 1x per week","2018","Full Time","no migration background","","","","","2"
"Min 1x per week","2018","Full Time","direct migration background","29","","","","2"
"Min 1x per week","2018","Full Time","indirect migration background","","","","","2"
"Min 1x per week","2018","Part Time","no migration background","","","","","2"
"Never","2018","Part Time","indirect migration background","","","","","5"
"Never","2018","Not Working","no migration background","","","","","5"
"Never","2018","Not Working","direct migration background","392","0.103948617344861","0.0936261489750791","0.114271085714643","5"
"Never","2018","Not Working","indirect migration background","","","","","5"
"Never","2018","Full Time","no migration background","","","","","5"
"Never","2018","Full Time","direct migration background","9","","","","5"
"Never","2018","Full Time","indirect migration background","","","","","5"
"Never","2018","Part Time","no migration background","","","","","5"
"Never","2018","Part Time","direct migration background","25","","","","5"
"Rarely","2018","Part Time","indirect migration background","","","","","4"
"Rarely","2018","Not Working","no migration background","","","","","4"
"Rarely","2018","Not Working","direct migration background","169","0.054199461429059","0.0465416439812083","0.0618572788769096","4"
"Rarely","2018","Full Time","indirect migration background","","","","","4"
"Rarely","2018","Part Time","direct migration background","14","","","","4"
"Rarely","2018","Not Working","indirect migration background","","","","","4"
"Rarely","2018","Full Time","no migration background","","","","","4"
"Rarely","2018","Full Time","direct migration background","6","","","","4"
"Rarely","2018","Part Time","no migration background","","","","","4"
"Daily","2019","Part Time","direct migration background","411","0.803097749507085","0.769017184118138","0.837178314896032","1"
"Daily","2019","Part Time","indirect migration background","","","","","1"
"Daily","2019","Not Working","no migration background","","","","","1"
"Daily","2019","Not Working","direct migration background","1804","0.657233226020367","0.63932692988217","0.675139522158564","1"
"Daily","2019","Not Working","indirect migration background","","","","","1"
"Daily","2019","Full Time","no migration background","","","","","1"
"Daily","2019","Full Time","indirect migration background","","","","","1"
"Daily","2019","Part Time","no migration background","","","","","1"
"Daily","2019","Full Time","direct migration background","258","0.75209284123338","0.706660657182071","0.797525025284689","1"
"Min 1x per month","2019","Full Time","no migration background","","","","","3"
"Min 1x per month","2019","Full Time","direct migration background","7","","","","3"
"Min 1x per month","2019","Part Time","direct migration background","6","","","","3"
"Min 1x per month","2019","Part Time","indirect migration background","","","","","3"
"Min 1x per month","2019","Not Working","no migration background","","","","","3"
"Min 1x per month","2019","Not Working","direct migration background","52","0.0188943680942192","0.0137578275668425","0.0240309086215959","3"
"Min 1x per month","2019","Not Working","indirect migration background","","","","","3"
"Min 1x per month","2019","Full Time","indirect migration background","","","","","3"
"Min 1x per month","2019","Part Time","no migration background","","","","","3"
"Min 1x per week","2019","Part Time","direct migration background","66","0.110582394925794","0.0837046329818068","0.137460156869781","2"
"Min 1x per week","2019","Part Time","indirect migration background","","","","","2"
"Min 1x per week","2019","Full Time","no migration background","","","","","2"
"Min 1x per week","2019","Full Time","direct migration background","54","0.146062117598637","0.108903008759501","0.183221226437773","2"
"Min 1x per week","2019","Full Time","indirect migration background","","","","","2"
"Min 1x per week","2019","Part Time","no migration background","","","","","2"
"Min 1x per week","2019","Not Working","no migration background","","","","","2"
"Min 1x per week","2019","Not Working","direct migration background","428","0.166844334825017","0.152778501819265","0.180910167830769","2"
"Min 1x per week","2019","Not Working","indirect migration background","","","","","2"
"Never","2019","Full Time","no migration background","","","","","5"
"Never","2019","Full Time","direct migration background","16","","","","5"
"Never","2019","Full Time","indirect migration background","","","","","5"
"Never","2019","Part Time","no migration background","","","","","5"
"Never","2019","Part Time","direct migration background","24","","","","5"
"Never","2019","Part Time","indirect migration background","","","","","5"
"Never","2019","Not Working","no migration background","","","","","5"
"Never","2019","Not Working","direct migration background","258","0.0939971050485159","0.0829875775491586","0.105006632547873","5"
"Never","2019","Not Working","indirect migration background","","","","","5"
"Rarely","2019","Full Time","indirect migration background","","","","","4"
"Rarely","2019","Part Time","direct migration background","16","","","","4"
"Rarely","2019","Part Time","indirect migration background","","","","","4"
"Rarely","2019","Not Working","no migration background","","","","","4"
"Rarely","2019","Not Working","direct migration background","157","0.063030966011881","0.0538627201869995","0.0721992118367626","4"
"Rarely","2019","Full Time","no migration background","","","","","4"
"Rarely","2019","Full Time","direct migration background","12","","","","4"
"Rarely","2019","Part Time","no migration background","","","","","4"
"Rarely","2019","Not Working","indirect migration background","","","","","4"
