"pli0165","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Never","2018","Employed","Female","5","","",""
"Daily","2019","Not Employed","Male","1002","0.703135709493175","0.679246131054229","0.727025287932121"
"Daily","2019","Not Employed","Female","802","0.588866206398819","0.562057191466636","0.615675221331001"
"Daily","2019","Employed","Male","600","0.783378512377761","0.754506217211353","0.812250807544169"
"Daily","2019","Employed","Female","69","0.749107366779113","0.658529363296644","0.839685370261581"
"Min 1x per week","2019","Not Employed","Male","225","0.159085787452529","0.139960786465518","0.17821078843954"
"Min 1x per week","2019","Not Employed","Female","203","0.178399891743061","0.157540171002627","0.199259612483495"
"Min 1x per week","2019","Employed","Male","114","0.128043241144516","0.104624124046455","0.151462358242577"
"Min 1x per week","2019","Employed","Female","6","","",""
"Min 1x per month","2019","Not Employed","Male","21","","",""
"Min 1x per month","2019","Not Employed","Female","31","0.0305000209708252","0.0211307688902157","0.0398692730514348"
"Min 1x per month","2019","Employed","Male","11","","",""
"Min 1x per month","2019","Employed","Female","2","","",""
"Rarely","2019","Not Employed","Male","66","0.0513365660011353","0.0397972672659386","0.0628758647363321"
"Rarely","2019","Not Employed","Female","91","0.0804485699084221","0.0656292549236781","0.0952678848931662"
"Rarely","2019","Employed","Male","26","","",""
"Rarely","2019","Employed","Female","2","","",""
"Never","2019","Not Employed","Male","91","0.0753397513929359","0.0615386700979513","0.0891408326879205"
"Never","2019","Not Employed","Female","167","0.121785310978873","0.103966498559542","0.139604123398205"
"Never","2019","Employed","Male","31","0.0444846873452792","0.0300346552610077","0.0589347194295508"
"Never","2019","Employed","Female","9","","",""
