"pli0165","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2019","Urban Area","Male","1120","0.745666593150532","0.723766636673031","0.767566549628033"
"Daily","2019","Urban Area","Female","620","0.610590221593134","0.579951543778802","0.641228899407465"
"Daily","2019","Rural Area","Male","432","0.732217033188055","0.696426281791269","0.76800778458484"
"Daily","2019","Rural Area","Female","225","0.573671726511177","0.522656680716654","0.624686772305699"
"Min 1x per week","2019","Urban Area","Male","234","0.140665329391923","0.123181204304672","0.158149454479174"
"Min 1x per week","2019","Urban Area","Female","134","0.159038124008778","0.136059159889855","0.182017088127702"
"Min 1x per week","2019","Rural Area","Male","90","0.158753393917429","0.12921529096404","0.188291496870818"
"Min 1x per week","2019","Rural Area","Female","65","0.208452165613186","0.166550018403386","0.250354312822986"
"Min 1x per month","2019","Urban Area","Male","19","","",""
"Min 1x per month","2019","Urban Area","Female","21","","",""
"Min 1x per month","2019","Rural Area","Male","12","","",""
"Min 1x per month","2019","Rural Area","Female","11","","",""
"Rarely","2019","Urban Area","Male","59","0.0442854992452163","0.0339396995850296","0.054631298905403"
"Rarely","2019","Urban Area","Female","69","0.0783424646397116","0.0614584750735416","0.0952264542058816"
"Rarely","2019","Rural Area","Male","26","","",""
"Rarely","2019","Rural Area","Female","21","","",""
"Never","2019","Urban Area","Male","87","0.0630898728101929","0.0508634897978688","0.075316255822517"
"Never","2019","Urban Area","Female","129","0.120047843230127","0.0996258380549695","0.140469848405285"
"Never","2019","Rural Area","Male","28","","",""
"Never","2019","Rural Area","Female","39","0.118496047322124","0.0851565878816468","0.1518355067626"
