"pli0165","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2016","1-pers.-HH","West Germany","","","","","1"
"Daily","2016","Single parent ","East Germany","","","","","1"
"Daily","2016","Couple + C. LE 16 ","West Germany","","","","","1"
"Daily","2016","Couple + C. LE 16 ","East Germany","","","","","1"
"Daily","2016","Couple + C. GT 16 ","West Germany","","","","","1"
"Daily","2016","Couple + C. GT 16 ","East Germany","","","","","1"
"Daily","2016","Couple + C. LE and GT 16","East Germany","","","","","1"
"Daily","2016","1-pers.-HH","East Germany","","","","","1"
"Daily","2016","(Married) couple without C. ","West Germany","","","","","1"
"Daily","2016","(Married) couple without C. ","East Germany","","","","","1"
"Daily","2016","Single parent ","West Germany","","","","","1"
"Daily","2016","Couple + C. LE and GT 16","West Germany","","","","","1"
"Min 1x per month","2016","Single parent ","East Germany","","","","","3"
"Min 1x per month","2016","Couple + C. GT 16 ","West Germany","","","","","3"
"Min 1x per month","2016","Couple + C. LE and GT 16","East Germany","","","","","3"
"Min 1x per month","2016","1-pers.-HH","East Germany","","","","","3"
"Min 1x per month","2016","(Married) couple without C. ","West Germany","","","","","3"
"Min 1x per month","2016","Single parent ","West Germany","","","","","3"
"Min 1x per month","2016","Couple + C. LE 16 ","East Germany","","","","","3"
"Min 1x per month","2016","Couple + C. GT 16 ","East Germany","","","","","3"
"Min 1x per month","2016","Couple + C. LE and GT 16","West Germany","","","","","3"
"Min 1x per month","2016","1-pers.-HH","West Germany","","","","","3"
"Min 1x per month","2016","(Married) couple without C. ","East Germany","","","","","3"
"Min 1x per month","2016","Couple + C. LE 16 ","West Germany","","","","","3"
"Min 1x per week","2016","1-pers.-HH","East Germany","","","","","2"
"Min 1x per week","2016","(Married) couple without C. ","West Germany","","","","","2"
"Min 1x per week","2016","(Married) couple without C. ","East Germany","","","","","2"
"Min 1x per week","2016","1-pers.-HH","West Germany","","","","","2"
"Min 1x per week","2016","Single parent ","West Germany","","","","","2"
"Min 1x per week","2016","Single parent ","East Germany","","","","","2"
"Min 1x per week","2016","Couple + C. LE 16 ","East Germany","","","","","2"
"Min 1x per week","2016","Couple + C. LE 16 ","West Germany","","","","","2"
"Min 1x per week","2016","Couple + C. GT 16 ","West Germany","","","","","2"
"Min 1x per week","2016","Couple + C. GT 16 ","East Germany","","","","","2"
"Min 1x per week","2016","Couple + C. LE and GT 16","East Germany","","","","","2"
"Min 1x per week","2016","Couple + C. LE and GT 16","West Germany","","","","","2"
"Never","2016","1-pers.-HH","East Germany","","","","","5"
"Never","2016","Couple + C. LE 16 ","East Germany","","","","","5"
"Never","2016","Couple + C. GT 16 ","West Germany","","","","","5"
"Never","2016","Couple + C. GT 16 ","East Germany","","","","","5"
"Never","2016","Couple + C. LE and GT 16","West Germany","","","","","5"
"Never","2016","1-pers.-HH","West Germany","","","","","5"
"Never","2016","(Married) couple without C. ","West Germany","","","","","5"
"Never","2016","(Married) couple without C. ","East Germany","","","","","5"
"Never","2016","Single parent ","West Germany","","","","","5"
"Never","2016","Single parent ","East Germany","","","","","5"
"Never","2016","Couple + C. LE 16 ","West Germany","","","","","5"
"Never","2016","Couple + C. LE and GT 16","East Germany","","","","","5"
"Rarely","2016","1-pers.-HH","East Germany","","","","","4"
"Rarely","2016","1-pers.-HH","West Germany","","","","","4"
"Rarely","2016","(Married) couple without C. ","West Germany","","","","","4"
"Rarely","2016","(Married) couple without C. ","East Germany","","","","","4"
"Rarely","2016","Single parent ","East Germany","","","","","4"
"Rarely","2016","Single parent ","West Germany","","","","","4"
"Rarely","2016","Couple + C. LE 16 ","West Germany","","","","","4"
"Rarely","2016","Couple + C. LE 16 ","East Germany","","","","","4"
"Rarely","2016","Couple + C. LE and GT 16","East Germany","","","","","4"
"Rarely","2016","Couple + C. GT 16 ","West Germany","","","","","4"
"Rarely","2016","Couple + C. GT 16 ","East Germany","","","","","4"
"Rarely","2016","Couple + C. LE and GT 16","West Germany","","","","","4"
"Daily","2017","1-pers.-HH","West Germany","597","0.624698854807579","0.593843693405707","0.655554016209451","1"
"Daily","2017","Single parent ","East Germany","26","","","","1"
"Daily","2017","Couple + C. LE and GT 16","East Germany","44","0.472197830994074","0.367295281314164","0.577100380673984","1"
"Daily","2017","1-pers.-HH","East Germany","109","0.573300283813348","0.498731511312401","0.647869056314296","1"
"Daily","2017","(Married) couple without C. ","West Germany","114","0.551408293405247","0.481058999355197","0.621757587455296","1"
"Daily","2017","Single parent ","West Germany","192","0.491277483315621","0.437663414474235","0.544891552157007","1"
"Daily","2017","Couple + C. LE 16 ","West Germany","1116","0.56456287287753","0.542550794188691","0.586574951566369","1"
"Daily","2017","Couple + C. LE 16 ","East Germany","192","0.565524762487995","0.512758471322536","0.618291053653453","1"
"Daily","2017","Couple + C. GT 16 ","West Germany","48","0.615287908114675","0.513053856338785","0.717521959890565","1"
"Daily","2017","Couple + C. GT 16 ","East Germany","12","","","","1"
"Daily","2017","Couple + C. LE and GT 16","West Germany","299","0.496415096140801","0.454515168862796","0.538315023418805","1"
"Daily","2017","(Married) couple without C. ","East Germany","11","","","","1"
"Min 1x per month","2017","Couple + C. LE and GT 16","East Germany","3","","","","3"
"Min 1x per month","2017","1-pers.-HH","East Germany","7","","","","3"
"Min 1x per month","2017","Single parent ","West Germany","11","","","","3"
"Min 1x per month","2017","Single parent ","East Germany","3","","","","3"
"Min 1x per month","2017","Couple + C. LE 16 ","East Germany","8","","","","3"
"Min 1x per month","2017","Couple + C. GT 16 ","West Germany","4","","","","3"
"Min 1x per month","2017","Couple + C. LE and GT 16","West Germany","10","","","","3"
"Min 1x per month","2017","1-pers.-HH","West Germany","31","0.0361163294250383","0.0242267460398891","0.0480059128101875","3"
"Min 1x per month","2017","(Married) couple without C. ","West Germany","7","","","","3"
"Min 1x per month","2017","(Married) couple without C. ","East Germany","2","","","","3"
"Min 1x per month","2017","Couple + C. LE 16 ","West Germany","61","0.0365740461018878","0.0282403464127381","0.0449077457910376","3"
"Min 1x per month","2017","Couple + C. GT 16 ","East Germany","","","","","3"
"Min 1x per week","2017","1-pers.-HH","East Germany","30","0.126640279459817","0.0764999425283969","0.176780616391236","2"
"Min 1x per week","2017","(Married) couple without C. ","West Germany","27","","","","2"
"Min 1x per week","2017","(Married) couple without C. ","East Germany","2","","","","2"
"Min 1x per week","2017","1-pers.-HH","West Germany","158","0.160660735123412","0.137260179587227","0.184061290659597","2"
"Min 1x per week","2017","Single parent ","West Germany","41","0.145286966256837","0.107495099161968","0.183078833351706","2"
"Min 1x per week","2017","Single parent ","East Germany","12","","","","2"
"Min 1x per week","2017","Couple + C. LE 16 ","West Germany","373","0.188584952751566","0.171218256088507","0.205951649414624","2"
"Min 1x per week","2017","Couple + C. LE 16 ","East Germany","65","0.187317154208071","0.145783746637033","0.228850561779108","2"
"Min 1x per week","2017","Couple + C. GT 16 ","West Germany","8","","","","2"
"Min 1x per week","2017","Couple + C. GT 16 ","East Germany","1","","","","2"
"Min 1x per week","2017","Couple + C. LE and GT 16","West Germany","88","0.151033438756651","0.121025492347883","0.181041385165419","2"
"Min 1x per week","2017","Couple + C. LE and GT 16","East Germany","18","","","","2"
"Never","2017","Couple + C. LE 16 ","East Germany","64","0.195116574407479","0.152931208989257","0.237301939825702","5"
"Never","2017","1-pers.-HH","West Germany","111","0.123176680202165","0.102234455447961","0.144118904956369","5"
"Never","2017","1-pers.-HH","East Germany","16","","","","5"
"Never","2017","(Married) couple without C. ","West Germany","34","0.235062920527017","0.175083481828412","0.295042359225621","5"
"Never","2017","(Married) couple without C. ","East Germany","1","","","","5"
"Never","2017","Single parent ","West Germany","64","0.236254806267103","0.190699451938812","0.281810160595395","5"
"Never","2017","Single parent ","East Germany","13","","","","5"
"Never","2017","Couple + C. LE 16 ","West Germany","278","0.155405713169059","0.139321503289458","0.171489923048661","5"
"Never","2017","Couple + C. GT 16 ","West Germany","22","","","","5"
"Never","2017","Couple + C. GT 16 ","East Germany","3","","","","5"
"Never","2017","Couple + C. LE and GT 16","West Germany","118","0.250884546280046","0.214554515861337","0.287214576698754","5"
"Never","2017","Couple + C. LE and GT 16","East Germany","18","","","","5"
"Rarely","2017","1-pers.-HH","East Germany","7","","","","4"
"Rarely","2017","1-pers.-HH","West Germany","49","0.0553474004418053","0.0407764728945879","0.0699183279890227","4"
"Rarely","2017","(Married) couple without C. ","West Germany","10","","","","4"
"Rarely","2017","(Married) couple without C. ","East Germany","1","","","","4"
"Rarely","2017","Single parent ","East Germany","1","","","","4"
"Rarely","2017","Single parent ","West Germany","26","","","","4"
"Rarely","2017","Couple + C. LE 16 ","West Germany","121","0.0548724150999575","0.0447621061133738","0.0649827240865412","4"
"Rarely","2017","Couple + C. LE and GT 16","East Germany","4","","","","4"
"Rarely","2017","Couple + C. LE and GT 16","West Germany","32","0.0651331541917991","0.0444541147267729","0.0858121936568253","4"
"Rarely","2017","Couple + C. LE 16 ","East Germany","10","","","","4"
"Rarely","2017","Couple + C. GT 16 ","West Germany","5","","","","4"
"Rarely","2017","Couple + C. GT 16 ","East Germany","1","","","","4"
"Daily","2018","1-pers.-HH","West Germany","482","0.713659493766982","0.679455741760578","0.747863245773387","1"
"Daily","2018","1-pers.-HH","East Germany","81","0.634723846517834","0.546719881690356","0.722727811345313","1"
"Daily","2018","Single parent ","East Germany","25","","","","1"
"Daily","2018","Couple + C. LE and GT 16","East Germany","39","0.422106287628446","0.304716983009866","0.539495592247026","1"
"Daily","2018","Single parent ","West Germany","167","0.581490395673976","0.523291125645467","0.639689665702485","1"
"Daily","2018","Couple + C. LE 16 ","West Germany","905","0.626604564191827","0.60118513432445","0.652023994059205","1"
"Daily","2018","Couple + C. LE 16 ","East Germany","148","0.574627914225712","0.515325781381295","0.633930047070129","1"
"Daily","2018","Couple + C. GT 16 ","West Germany","40","0.520173982573483","0.410007177429849","0.630340787717117","1"
"Daily","2018","Couple + C. LE and GT 16","West Germany","274","0.610576135566047","0.565321626732688","0.655830644399405","1"
"Daily","2018","(Married) couple without C. ","West Germany","79","0.559994359517281","0.470049549591204","0.649939169443358","1"
"Daily","2018","(Married) couple without C. ","East Germany","10","","","","1"
"Daily","2018","Couple + C. GT 16 ","East Germany","8","","","","1"
"Min 1x per month","2018","Single parent ","West Germany","8","","","","3"
"Min 1x per month","2018","Couple + C. LE 16 ","East Germany","12","","","","3"
"Min 1x per month","2018","Couple + C. LE and GT 16","West Germany","19","","","","3"
"Min 1x per month","2018","Couple + C. LE and GT 16","East Germany","","","","","3"
"Min 1x per month","2018","1-pers.-HH","West Germany","19","","","","3"
"Min 1x per month","2018","1-pers.-HH","East Germany","2","","","","3"
"Min 1x per month","2018","(Married) couple without C. ","East Germany","1","","","","3"
"Min 1x per month","2018","Single parent ","East Germany","2","","","","3"
"Min 1x per month","2018","Couple + C. LE 16 ","West Germany","37","0.0259035651079822","0.0175558950921194","0.0342512351238449","3"
"Min 1x per month","2018","Couple + C. GT 16 ","West Germany","3","","","","3"
"Min 1x per month","2018","Couple + C. GT 16 ","East Germany","","","","","3"
"Min 1x per month","2018","(Married) couple without C. ","West Germany","3","","","","3"
"Min 1x per week","2018","1-pers.-HH","West Germany","91","0.140946095945387","0.114617750696632","0.167274441194143","2"
"Min 1x per week","2018","1-pers.-HH","East Germany","18","","","","2"
"Min 1x per week","2018","(Married) couple without C. ","West Germany","16","","","","2"
"Min 1x per week","2018","(Married) couple without C. ","East Germany","2","","","","2"
"Min 1x per week","2018","Single parent ","West Germany","51","0.216086461936088","0.167530628642908","0.264642295229268","2"
"Min 1x per week","2018","Single parent ","East Germany","10","","","","2"
"Min 1x per week","2018","Couple + C. LE 16 ","West Germany","239","0.1776517690631","0.157565597143047","0.197737940983154","2"
"Min 1x per week","2018","Couple + C. LE 16 ","East Germany","52","0.177856352144118","0.131989281584265","0.223723422703972","2"
"Min 1x per week","2018","Couple + C. LE and GT 16","West Germany","80","0.185109977815012","0.149064973974421","0.221154981655603","2"
"Min 1x per week","2018","Couple + C. GT 16 ","West Germany","12","","","","2"
"Min 1x per week","2018","Couple + C. GT 16 ","East Germany","","","","","2"
"Min 1x per week","2018","Couple + C. LE and GT 16","East Germany","8","","","","2"
"Never","2018","1-pers.-HH","West Germany","46","0.0641678856832224","0.0456263941143933","0.0827093772520514","5"
"Never","2018","Couple + C. LE 16 ","East Germany","45","0.180935894366586","0.134760164040516","0.227111624692657","5"
"Never","2018","Couple + C. GT 16 ","West Germany","20","","","","5"
"Never","2018","Couple + C. GT 16 ","East Germany","2","","","","5"
"Never","2018","Couple + C. LE and GT 16","West Germany","51","0.108665566720749","0.0797822555964517","0.137548877845046","5"
"Never","2018","Couple + C. LE and GT 16","East Germany","16","","","","5"
"Never","2018","1-pers.-HH","East Germany","10","","","","5"
"Never","2018","(Married) couple without C. ","West Germany","11","","","","5"
"Never","2018","(Married) couple without C. ","East Germany","","","","","5"
"Never","2018","Single parent ","West Germany","38","0.126786513376633","0.0875319368330161","0.166041089920249","5"
"Never","2018","Single parent ","East Germany","13","","","","5"
"Never","2018","Couple + C. LE 16 ","West Germany","130","0.109800759905573","0.0933710154519441","0.126230504359202","5"
"Rarely","2018","1-pers.-HH","West Germany","33","0.0549409864143996","0.0376999042522076","0.0721820685765916","4"
