"pli0165","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","35-65 y.","Rural Area","3000","0.578338991422343","0.565247587114253","0.591430395730433","5"
"Never","2013","66 and older","Urban Area","2621","0.8366691322205","0.823892950538234","0.849445313902767","5"
"Never","2013","66 and older","Rural Area","1468","0.88170729636986","0.866427039833317","0.896987552906404","5"
"Never","2013","35-65 y.","Urban Area","4827","0.527955074228436","0.517876000937642","0.53803414751923","5"
"Never","2013","16-34 y.","Urban Area","663","0.162388646468809","0.150541856700617","0.174235436237002","5"
"Rarely","2013","16-34 y.","Rural Area","128","0.0841709045259994","0.0717648475128109","0.096576961539188","4"
"Rarely","2013","16-34 y.","Urban Area","177","0.0366892854929052","0.03065043336332","0.0427281376224904","4"
"Rarely","2013","35-65 y.","Urban Area","865","0.0900835521839684","0.0843032045024681","0.0958638998654688","4"
"Rarely","2013","35-65 y.","Rural Area","548","0.103599745207471","0.0955210056670164","0.111678484747926","4"
"Rarely","2013","66 and older","Urban Area","194","0.054778442627493","0.0469141127816175","0.0626427724733686","4"
"Rarely","2013","66 and older","Rural Area","80","0.0397123720636993","0.030472775037316","0.0489519690900827","4"
"Daily","2014","35-65 y.","Urban Area","","","","","1"
"Daily","2014","16-34 y.","Urban Area","","","","","1"
"Daily","2014","16-34 y.","Rural Area","","","","","1"
"Daily","2014","35-65 y.","Rural Area","","","","","1"
"Daily","2014","66 and older","Urban Area","","","","","1"
"Daily","2014","66 and older","Rural Area","","","","","1"
"Min 1x per month","2014","16-34 y.","Rural Area","","","","","3"
"Min 1x per month","2014","35-65 y.","Urban Area","","","","","3"
"Min 1x per month","2014","16-34 y.","Urban Area","","","","","3"
"Min 1x per month","2014","35-65 y.","Rural Area","","","","","3"
"Min 1x per month","2014","66 and older","Urban Area","","","","","3"
"Min 1x per month","2014","66 and older","Rural Area","","","","","3"
"Min 1x per week","2014","16-34 y.","Rural Area","","","","","2"
"Min 1x per week","2014","35-65 y.","Urban Area","","","","","2"
"Min 1x per week","2014","35-65 y.","Rural Area","","","","","2"
"Min 1x per week","2014","16-34 y.","Urban Area","","","","","2"
"Min 1x per week","2014","66 and older","Urban Area","","","","","2"
"Min 1x per week","2014","66 and older","Rural Area","","","","","2"
"Never","2014","16-34 y.","Rural Area","","","","","5"
"Never","2014","66 and older","Rural Area","","","","","5"
"Never","2014","35-65 y.","Urban Area","","","","","5"
"Never","2014","16-34 y.","Urban Area","","","","","5"
"Never","2014","66 and older","Urban Area","","","","","5"
"Never","2014","35-65 y.","Rural Area","","","","","5"
"Rarely","2014","16-34 y.","Rural Area","","","","","4"
"Rarely","2014","66 and older","Urban Area","","","","","4"
"Rarely","2014","66 and older","Rural Area","","","","","4"
"Rarely","2014","16-34 y.","Urban Area","","","","","4"
"Rarely","2014","35-65 y.","Urban Area","","","","","4"
"Rarely","2014","35-65 y.","Rural Area","","","","","4"
"Daily","2015","16-34 y.","Urban Area","","","","","1"
"Daily","2015","16-34 y.","Rural Area","","","","","1"
"Daily","2015","35-65 y.","Urban Area","","","","","1"
"Daily","2015","35-65 y.","Rural Area","","","","","1"
"Daily","2015","66 and older","Urban Area","","","","","1"
"Daily","2015","66 and older","Rural Area","","","","","1"
"Min 1x per month","2015","35-65 y.","Urban Area","","","","","3"
"Min 1x per month","2015","35-65 y.","Rural Area","","","","","3"
"Min 1x per month","2015","16-34 y.","Urban Area","","","","","3"
"Min 1x per month","2015","16-34 y.","Rural Area","","","","","3"
"Min 1x per month","2015","66 and older","Urban Area","","","","","3"
"Min 1x per month","2015","66 and older","Rural Area","","","","","3"
"Min 1x per week","2015","35-65 y.","Rural Area","","","","","2"
"Min 1x per week","2015","16-34 y.","Urban Area","","","","","2"
"Min 1x per week","2015","35-65 y.","Urban Area","","","","","2"
"Min 1x per week","2015","16-34 y.","Rural Area","","","","","2"
"Min 1x per week","2015","66 and older","Urban Area","","","","","2"
"Min 1x per week","2015","66 and older","Rural Area","","","","","2"
"Never","2015","16-34 y.","Rural Area","","","","","5"
"Never","2015","35-65 y.","Urban Area","","","","","5"
"Never","2015","66 and older","Urban Area","","","","","5"
"Never","2015","66 and older","Rural Area","","","","","5"
"Never","2015","16-34 y.","Urban Area","","","","","5"
"Never","2015","35-65 y.","Rural Area","","","","","5"
"Rarely","2015","16-34 y.","Rural Area","","","","","4"
"Rarely","2015","35-65 y.","Urban Area","","","","","4"
"Rarely","2015","16-34 y.","Urban Area","","","","","4"
"Rarely","2015","66 and older","Urban Area","","","","","4"
"Rarely","2015","35-65 y.","Rural Area","","","","","4"
"Rarely","2015","66 and older","Rural Area","","","","","4"
"Daily","2016","16-34 y.","Urban Area","","","","","1"
"Daily","2016","16-34 y.","Rural Area","","","","","1"
"Daily","2016","35-65 y.","Urban Area","","","","","1"
"Daily","2016","35-65 y.","Rural Area","","","","","1"
"Daily","2016","66 and older","Urban Area","","","","","1"
"Daily","2016","66 and older","Rural Area","","","","","1"
"Min 1x per month","2016","16-34 y.","Urban Area","","","","","3"
"Min 1x per month","2016","16-34 y.","Rural Area","","","","","3"
"Min 1x per month","2016","35-65 y.","Urban Area","","","","","3"
"Min 1x per month","2016","35-65 y.","Rural Area","","","","","3"
"Min 1x per month","2016","66 and older","Urban Area","","","","","3"
"Min 1x per month","2016","66 and older","Rural Area","","","","","3"
"Min 1x per week","2016","16-34 y.","Urban Area","","","","","2"
"Min 1x per week","2016","16-34 y.","Rural Area","","","","","2"
"Min 1x per week","2016","35-65 y.","Urban Area","","","","","2"
"Min 1x per week","2016","35-65 y.","Rural Area","","","","","2"
"Min 1x per week","2016","66 and older","Urban Area","","","","","2"
"Min 1x per week","2016","66 and older","Rural Area","","","","","2"
"Never","2016","16-34 y.","Urban Area","","","","","5"
"Never","2016","16-34 y.","Rural Area","","","","","5"
"Never","2016","35-65 y.","Urban Area","","","","","5"
"Never","2016","35-65 y.","Rural Area","","","","","5"
"Never","2016","66 and older","Urban Area","","","","","5"
"Never","2016","66 and older","Rural Area","","","","","5"
"Rarely","2016","16-34 y.","Urban Area","","","","","4"
"Rarely","2016","16-34 y.","Rural Area","","","","","4"
"Rarely","2016","35-65 y.","Urban Area","","","","","4"
"Rarely","2016","35-65 y.","Rural Area","","","","","4"
"Rarely","2016","66 and older","Urban Area","","","","","4"
"Rarely","2016","66 and older","Rural Area","","","","","4"
"Daily","2017","35-65 y.","Urban Area","862","0.517341054625318","0.492787088461174","0.541895020789462","1"
"Daily","2017","66 and older","Rural Area","2","","","","1"
"Daily","2017","16-34 y.","Urban Area","1493","0.622728952260095","0.603039534625749","0.642418369894442","1"
"Daily","2017","16-34 y.","Rural Area","566","0.612648089665089","0.581066543664977","0.6442296356652","1"
"Daily","2017","35-65 y.","Rural Area","352","0.56613312607801","0.528120398744404","0.604145853411615","1"
"Daily","2017","66 and older","Urban Area","10","","","","1"
"Min 1x per month","2017","16-34 y.","Urban Area","72","0.0379185573841521","0.0301598669358311","0.0456772478324732","3"
"Min 1x per month","2017","16-34 y.","Rural Area","33","0.0556898272590345","0.0408229326528815","0.0705567218651874","3"
"Min 1x per month","2017","66 and older","Urban Area","1","","","","3"
"Min 1x per month","2017","66 and older","Rural Area","","","","","3"
"Min 1x per month","2017","35-65 y.","Urban Area","42","0.0333296727225483","0.0245096902989974","0.0421496551460992","3"
"Min 1x per month","2017","35-65 y.","Rural Area","18","","","","3"
"Min 1x per week","2017","16-34 y.","Urban Area","385","0.169119260502203","0.153891975216256","0.18434654578815","2"
"Min 1x per week","2017","35-65 y.","Urban Area","279","0.156643085045496","0.138783378436246","0.174502791654747","2"
"Min 1x per week","2017","16-34 y.","Rural Area","149","0.142285242720833","0.1196374248507","0.164933060590966","2"
"Min 1x per week","2017","66 and older","Rural Area","","","","","2"
"Min 1x per week","2017","35-65 y.","Rural Area","107","0.135324384363906","0.109087870019555","0.161560898708258","2"
"Min 1x per week","2017","66 and older","Urban Area","","","","","2"
"Never","2017","16-34 y.","Urban Area","272","0.124620691671656","0.111203864665215","0.138037518678097","5"
"Never","2017","16-34 y.","Rural Area","126","0.143424525036458","0.120701323454813","0.166147726618104","5"
"Never","2017","35-65 y.","Urban Area","299","0.2140732935533","0.193918179041217","0.234228408065383","5"
"Never","2017","35-65 y.","Rural Area","120","0.195844701837586","0.165406613174256","0.226282790500917","5"
"Never","2017","66 and older","Urban Area","33","0.784802260117994","0.664730518624513","0.904874001611475","5"
"Never","2017","66 and older","Rural Area","6","","","","5"
"Rarely","2017","16-34 y.","Urban Area","106","0.0456125381818935","0.0371371209787076","0.0540879553850795","4"
"Rarely","2017","16-34 y.","Rural Area","40","0.0459523153185858","0.0323781312734662","0.0595264993637055","4"
"Rarely","2017","66 and older","Urban Area","1","","","","4"
"Rarely","2017","35-65 y.","Rural Area","56","0.0872828861482603","0.0656345687607185","0.108931203535802","4"
"Rarely","2017","66 and older","Rural Area","","","","","4"
"Rarely","2017","35-65 y.","Urban Area","109","0.0786128940533378","0.0653883423551462","0.0918374457515294","4"
"Daily","2018","35-65 y.","Urban Area","778","0.566062125175217","0.539110227874791","0.593014022475643","1"
"Daily","2018","16-34 y.","Rural Area","367","0.699378654636577","0.660488151999507","0.738269157273647","1"
"Daily","2018","66 and older","Rural Area","2","","","","1"
"Daily","2018","35-65 y.","Rural Area","271","0.527282199970358","0.482525642363007","0.572038757577709","1"
"Daily","2018","16-34 y.","Urban Area","1085","0.701742538240881","0.678803723476501","0.72468135300526","1"
"Daily","2018","66 and older","Urban Area","6","","","","1"
"Min 1x per month","2018","16-34 y.","Urban Area","39","0.0147143777999362","0.00867713784059417","0.0207516177592781","3"
"Min 1x per month","2018","16-34 y.","Rural Area","11","","","","3"
"Min 1x per month","2018","35-65 y.","Urban Area","48","0.0509741953964512","0.0390134645964534","0.0629349261964491","3"
"Min 1x per month","2018","66 and older","Rural Area","1","","","","3"
"Min 1x per month","2018","35-65 y.","Rural Area","18","","","","3"
"Min 1x per month","2018","66 and older","Urban Area","1","","","","3"
"Min 1x per week","2018","35-65 y.","Urban Area","225","0.167421066560859","0.147118016916606","0.187724116205111","2"
"Min 1x per week","2018","35-65 y.","Rural Area","88","0.175402724139235","0.141309093047351","0.209496355231119","2"
"Min 1x per week","2018","66 and older","Rural Area","","","","","2"
"Min 1x per week","2018","16-34 y.","Urban Area","220","0.172057602865854","0.153133146651634","0.190982059080074","2"
"Min 1x per week","2018","16-34 y.","Rural Area","92","0.159558164228769","0.128498925320605","0.190617403136933","2"
"Min 1x per week","2018","66 and older","Urban Area","3","","","","2"
"Never","2018","16-34 y.","Urban Area","113","0.0670731891201426","0.0545306726759744","0.0796157055643108","5"
"Never","2018","16-34 y.","Rural Area","54","0.103373450903445","0.0775515763545247","0.129195325452366","5"
"Never","2018","35-65 y.","Urban Area","166","0.134889861156912","0.116313148212699","0.153466574101125","5"
"Never","2018","66 and older","Urban Area","15","","","","5"
"Never","2018","66 and older","Rural Area","2","","","","5"
"Never","2018","35-65 y.","Rural Area","76","0.150412717933944","0.118366231283815","0.182459204584073","5"
"Rarely","2018","16-34 y.","Urban Area","71","0.0444122919731868","0.0340829350507853","0.0547416488955884","4"
"Rarely","2018","16-34 y.","Rural Area","10","","","","4"
"Rarely","2018","66 and older","Rural Area","","","","","4"
"Rarely","2018","35-65 y.","Urban Area","82","0.0806527517105611","0.0658448712320452","0.0954606321890769","4"
"Rarely","2018","35-65 y.","Rural Area","25","","","","4"
"Rarely","2018","66 and older","Urban Area","1","","","","4"
"Daily","2019","66 and older","Rural Area","2","","","","1"
"Daily","2019","35-65 y.","Rural Area","307","0.628499732847052","0.585091037969344","0.67190842772476","1"
"Daily","2019","16-34 y.","Urban Area","926","0.746809408714051","0.722547822969956","0.771070994458145","1"
"Daily","2019","16-34 y.","Rural Area","348","0.725410808934746","0.684888996429121","0.765932621440371","1"
"Daily","2019","35-65 y.","Urban Area","810","0.631710962071192","0.604799077338978","0.658622846803406","1"
"Daily","2019","66 and older","Urban Area","4","","","","1"
"Min 1x per month","2019","35-65 y.","Urban Area","23","","","","3"
"Min 1x per month","2019","66 and older","Rural Area","","","","","3"
"Min 1x per month","2019","16-34 y.","Rural Area","6","","","","3"
"Min 1x per month","2019","16-34 y.","Urban Area","16","","","","3"
"Min 1x per month","2019","35-65 y.","Rural Area","17","","","","3"
"Min 1x per month","2019","66 and older","Urban Area","1","","","","3"
"Min 1x per week","2019","16-34 y.","Urban Area","159","0.125809916259324","0.107306544022494","0.144313288496154","2"
"Min 1x per week","2019","16-34 y.","Rural Area","74","0.169272305800386","0.13522541700808","0.203319194592693","2"
"Min 1x per week","2019","35-65 y.","Urban Area","207","0.191121696069651","0.169184197779927","0.213059194359374","2"
"Min 1x per week","2019","35-65 y.","Rural Area","81","0.184201915851582","0.149377565240168","0.219026266462995","2"
"Min 1x per week","2019","66 and older","Rural Area","","","","","2"
"Min 1x per week","2019","66 and older","Urban Area","2","","","","2"
"Never","2019","16-34 y.","Urban Area","77","0.0603288468883009","0.0470444766581248","0.073613217118477","5"
"Never","2019","16-34 y.","Rural Area","20","","","","5"
"Never","2019","35-65 y.","Urban Area","126","0.109627416112974","0.0921958667689662","0.127058965456982","5"
"Never","2019","35-65 y.","Rural Area","43","0.0726216748477212","0.0493082426136196","0.0959351070818227","5"
"Never","2019","66 and older","Urban Area","13","","","","5"
"Never","2019","66 and older","Rural Area","4","","","","5"
"Rarely","2019","16-34 y.","Urban Area","56","0.0538783476426258","0.0412812314250643","0.0664754638601873","4"
"Rarely","2019","16-34 y.","Rural Area","18","","","","4"
"Rarely","2019","35-65 y.","Urban Area","68","0.0519835298160838","0.039597522409247","0.0643695372229206","4"
"Rarely","2019","35-65 y.","Rural Area","28","","","","4"
"Rarely","2019","66 and older","Rural Area","1","","","","4"
"Rarely","2019","66 and older","Urban Area","4","","","","4"
