"pli0165","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","2017","Not Employed","West Germany","136","0.0340140638344558","0.0287798236430991","0.0392483040258125","3"
"Min 1x per week","2017","Not Employed","West Germany","750","0.159167465678928","0.148603648189564","0.169731283168291","2"
"Min 1x per week","2017","Not Employed","East Germany","128","0.154478667231668","0.127705755097274","0.181251579366062","2"
"Min 1x per week","2017","Employed","West Germany","36","0.143192219318369","0.0939033748091108","0.192481063827628","2"
"Min 1x per week","2017","Employed","East Germany","6","","","","2"
"Never","2017","Not Employed","East Germany","118","0.176442384355778","0.148203500721002","0.204681267990554","5"
"Never","2017","Employed","West Germany","20","","","","5"
"Never","2017","Employed","East Germany","4","","","","5"
"Never","2017","Not Employed","West Germany","714","0.158751171413643","0.148198566212017","0.16930377661527","5"
"Rarely","2017","Employed","East Germany","1","","","","4"
"Rarely","2017","Not Employed","West Germany","270","0.0563803190783579","0.0497199047757775","0.0630407333809382","4"
"Rarely","2017","Employed","West Germany","16","","","","4"
"Rarely","2017","Not Employed","East Germany","25","","","","4"
"Daily","2018","Employed","East Germany","55","0.707154034115275","0.60551059221154","0.80879747601901","1"
"Daily","2018","Employed","West Germany","310","0.73842724371878","0.697126908892589","0.77972757854497","1"
"Daily","2018","Not Employed","West Germany","1872","0.650279146053654","0.632865603147239","0.667692688960068","1"
"Daily","2018","Not Employed","East Germany","272","0.568011589444015","0.523558336389507","0.612464842498522","1"
"Min 1x per month","2018","Employed","West Germany","15","","","","3"
"Min 1x per month","2018","Employed","East Germany","2","","","","3"
"Min 1x per month","2018","Not Employed","West Germany","86","0.02798429702182","0.0219618872338459","0.034006706809794","3"
"Min 1x per month","2018","Not Employed","East Germany","15","","","","3"
"Min 1x per week","2018","Not Employed","West Germany","465","0.169077270572831","0.155390550165446","0.182763990980217","2"
"Min 1x per week","2018","Employed","West Germany","67","0.130732126701861","0.0990531284320825","0.16241112497164","2"
"Min 1x per week","2018","Employed","East Germany","9","","","","2"
"Min 1x per week","2018","Not Employed","East Germany","87","0.221740041911901","0.184460264785242","0.259019819038559","2"
"Never","2018","Not Employed","West Germany","309","0.0968803241666996","0.086079251059687","0.107681397273712","5"
"Never","2018","Not Employed","East Germany","83","0.143450431664151","0.111993520092811","0.17490734323549","5"
"Never","2018","Employed","West Germany","25","","","","5"
"Never","2018","Employed","East Germany","9","","","","5"
"Rarely","2018","Employed","East Germany","2","","","","4"
"Rarely","2018","Not Employed","West Germany","149","0.0557789621849955","0.0473988754637307","0.0641590489062602","4"
"Rarely","2018","Employed","West Germany","18","","","","4"
"Rarely","2018","Not Employed","East Germany","20","","","","4"
"Daily","2019","Employed","East Germany","80","0.767299021415864","0.688334287657378","0.84626375517435","1"
"Daily","2019","Employed","West Germany","589","0.783279879494397","0.75398785443482","0.812571904553974","1"
"Daily","2019","Not Employed","East Germany","229","0.631523180842689","0.582102664065865","0.680943697619513","1"
"Daily","2019","Not Employed","West Germany","1575","0.661636698850911","0.642437100594061","0.680836297107762","1"
"Min 1x per month","2019","Employed","West Germany","9","","","","3"
"Min 1x per month","2019","Employed","East Germany","4","","","","3"
"Min 1x per month","2019","Not Employed","East Germany","3","","","","3"
"Min 1x per month","2019","Not Employed","West Germany","49","0.0216438476875809","0.0157390306375624","0.0275486647375995","3"
"Min 1x per week","2019","Employed","East Germany","16","","","","2"
"Min 1x per week","2019","Not Employed","East Germany","55","0.116910878943908","0.0839925880708353","0.149829169816982","2"
"Min 1x per week","2019","Not Employed","West Germany","373","0.175396658042969","0.159964597302914","0.190828718783023","2"
"Min 1x per week","2019","Employed","West Germany","104","0.12941656097119","0.105552660828896","0.153280461113485","2"
"Never","2019","Not Employed","West Germany","205","0.0799169444184155","0.0689136261946103","0.0909202626422206","5"
"Never","2019","Not Employed","East Germany","53","0.176205302950373","0.137172788284734","0.215237817616012","5"
"Never","2019","Employed","West Germany","35","0.0504547563814973","0.0348933020337039","0.0660162107292906","5"
"Never","2019","Employed","East Germany","5","","","","5"
"Rarely","2019","Employed","East Germany","5","","","","4"
"Rarely","2019","Employed","West Germany","23","","","","4"
"Rarely","2019","Not Employed","West Germany","131","0.0614058510001235","0.0516641561817561","0.0711475458184909","4"
"Rarely","2019","Not Employed","East Germany","26","","","","4"
