"pli0165","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","2017","Not Employed","Urban Area","2268","0.584081972475318","0.568421259359938","0.599742685590697","1"
"Min 1x per month","2017","Employed","Rural Area","1","","","","3"
"Min 1x per month","2017","Employed","Urban Area","5","","","","3"
"Min 1x per month","2017","Not Employed","Rural Area","50","0.047781474496522","0.0369942128754034","0.0585687361176405","3"
"Min 1x per month","2017","Not Employed","Urban Area","110","0.035645362875668","0.0297543405697002","0.0415363851816357","3"
"Min 1x per week","2017","Not Employed","Urban Area","635","0.164755267287455","0.152968430028634","0.176542104546277","2"
"Min 1x per week","2017","Not Employed","Rural Area","243","0.143031495146154","0.125325864735367","0.160737125556941","2"
"Min 1x per week","2017","Employed","Urban Area","29","","","","2"
"Min 1x per week","2017","Employed","Rural Area","13","","","","2"
"Never","2017","Not Employed","Rural Area","244","0.15996473916149","0.141426263810512","0.178503214512468","5"
"Never","2017","Employed","Urban Area","16","","","","5"
"Never","2017","Employed","Rural Area","8","","","","5"
"Never","2017","Not Employed","Urban Area","588","0.162214874248514","0.150501489187637","0.173928259309392","5"
"Rarely","2017","Employed","Rural Area","5","","","","4"
"Rarely","2017","Not Employed","Urban Area","204","0.0533025231130447","0.0461649551944489","0.0604400910316406","4"
"Rarely","2017","Employed","Urban Area","12","","","","4"
"Rarely","2017","Not Employed","Rural Area","91","0.0548545192492776","0.0433393941004599","0.0663696443980954","4"
"Daily","2018","Employed","Rural Area","100","0.681297227037921","0.604384224371841","0.758210229704001","1"
"Daily","2018","Employed","Urban Area","265","0.753480868649592","0.709625520253834","0.797336217045349","1"
"Daily","2018","Not Employed","Urban Area","1604","0.636702013618917","0.617780894951221","0.655623132286613","1"
"Daily","2018","Not Employed","Rural Area","540","0.640795427845002","0.609024736301512","0.672566119388491","1"
"Min 1x per month","2018","Employed","Urban Area","13","","","","3"
"Min 1x per month","2018","Employed","Rural Area","4","","","","3"
"Min 1x per month","2018","Not Employed","Urban Area","75","0.0253179186090415","0.0191378585858278","0.0314979786322552","3"
"Min 1x per month","2018","Not Employed","Rural Area","26","","","","3"
"Min 1x per week","2018","Not Employed","Urban Area","396","0.182742865626559","0.167539253613654","0.197946477639465","2"
"Min 1x per week","2018","Employed","Urban Area","52","0.106249357767938","0.0748925043047022","0.137606211231174","2"
"Min 1x per week","2018","Employed","Rural Area","24","","","","2"
"Min 1x per week","2018","Not Employed","Rural Area","156","0.161454990490781","0.137088949866881","0.185821031114681","2"
"Never","2018","Not Employed","Urban Area","269","0.0957172651742398","0.084142972427056","0.107291557921424","5"
"Never","2018","Not Employed","Rural Area","123","0.126607657345079","0.104586977925978","0.148628336764181","5"
"Never","2018","Employed","Urban Area","25","","","","5"
"Never","2018","Employed","Rural Area","9","","","","5"
"Rarely","2018","Employed","Rural Area","4","","","","4"
"Rarely","2018","Not Employed","Urban Area","138","0.0595199369712424","0.0502120043569403","0.0688278695855446","4"
"Rarely","2018","Employed","Urban Area","16","","","","4"
"Rarely","2018","Not Employed","Rural Area","31","0.0395534026003769","0.0266464244755315","0.0524603807252223","4"
"Daily","2019","Employed","Rural Area","198","0.797704304177254","0.748781369801249","0.846627238553259","1"
"Daily","2019","Employed","Urban Area","450","0.778412416210923","0.744583631402043","0.812241201019803","1"
"Daily","2019","Not Employed","Rural Area","459","0.629062354415005","0.593019361271595","0.665105347558415","1"
"Daily","2019","Not Employed","Urban Area","1290","0.672779055198406","0.651753504264657","0.693804606132156","1"
"Min 1x per month","2019","Employed","Urban Area","5","","","","3"
"Min 1x per month","2019","Employed","Rural Area","8","","","","3"
"Min 1x per month","2019","Not Employed","Rural Area","15","","","","3"
"Min 1x per month","2019","Not Employed","Urban Area","35","0.0193869477883984","0.013208289728283","0.0255656058485139","3"
"Min 1x per week","2019","Employed","Rural Area","36","0.109009725098519","0.0710548721553471","0.14696457804169","2"
"Min 1x per week","2019","Not Employed","Rural Area","119","0.206467006020335","0.176265307354905","0.236668704685765","2"
"Min 1x per week","2019","Not Employed","Urban Area","290","0.153289324976929","0.137145216036995","0.169433433916862","2"
"Min 1x per week","2019","Employed","Urban Area","78","0.130052304926952","0.102654585941176","0.157450023912729","2"
"Never","2019","Not Employed","Urban Area","188","0.0876232663962676","0.074952950983779","0.100293581808756","5"
"Never","2019","Not Employed","Rural Area","58","0.0933883465144675","0.0716773110250004","0.115099382003935","5"
"Never","2019","Employed","Urban Area","28","","","","5"
"Never","2019","Employed","Rural Area","9","","","","5"
"Rarely","2019","Employed","Rural Area","8","","","","4"
"Rarely","2019","Employed","Urban Area","18","","","","4"
"Rarely","2019","Not Employed","Urban Area","110","0.0669214056399989","0.055723617500283","0.0781191937797149","4"
"Rarely","2019","Not Employed","Rural Area","39","0.0523941834147002","0.035768521584164","0.0690198452452364","4"
