"pli0165","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","middle vocational","East Germany","1736","0.596269971991521","0.578817208525177","0.613722735457864","5"
"Never","2013","vocational + Abi","West Germany","668","0.434442738880425","0.409374854238714","0.459510623522136","5"
"Never","2013","vocational + Abi","East Germany","128","0.485465607118449","0.426287748192132","0.544643466044765","5"
"Never","2013","higher vocational","West Germany","668","0.542596220843111","0.514856588903524","0.570335852782698","5"
"Never","2013","higher vocational","East Germany","290","0.694655773129892","0.651125284259978","0.738186261999806","5"
"Never","2013","in school","East Germany","3","","","","5"
"Never","2013","inadequately","West Germany","152","0.640405852743015","0.584096576818383","0.696715128667646","5"
"Never","2013","inadequately","East Germany","20","","","","5"
"Never","2013","higher education","West Germany","2243","0.523544074770605","0.50872932856643","0.538358820974779","5"
"Never","2013","higher education","East Germany","848","0.605632997829118","0.580469619476139","0.630796376182097","5"
"Rarely","2013","in school","East Germany","1","","","","4"
"Rarely","2013","middle vocational","West Germany","702","0.0731494840660026","0.0678680131410954","0.0784309549909097","4"
"Rarely","2013","in school","West Germany","7","","","","4"
"Rarely","2013","general elemantary","West Germany","128","0.0416900365769115","0.0334347332034152","0.0499453399504078","4"
"Rarely","2013","general elemantary","East Germany","12","","","","4"
"Rarely","2013","inadequately","West Germany","14","","","","4"
"Rarely","2013","inadequately","East Germany","","","","","4"
"Rarely","2013","middle vocational","East Germany","226","0.0773006113136293","0.0678007166875429","0.0868005059397158","4"
"Rarely","2013","vocational + Abi","West Germany","116","0.0773785095229961","0.063866028785312","0.0908909902606801","4"
"Rarely","2013","vocational + Abi","East Germany","24","","","","4"
"Rarely","2013","higher vocational","West Germany","126","0.110462595157295","0.093008306006578","0.127916884308012","4"
"Rarely","2013","higher vocational","East Germany","36","0.0677966320018454","0.0440351646207464","0.0915580993829443","4"
"Rarely","2013","higher education","West Germany","459","0.0902891480136","0.0817880369413101","0.0987902590858899","4"
"Rarely","2013","higher education","East Germany","128","0.0799750612522881","0.0660084518099012","0.093941670694675","4"
"Daily","2014","inadequately","East Germany","","","","","1"
"Daily","2014","general elemantary","West Germany","","","","","1"
"Daily","2014","general elemantary","East Germany","","","","","1"
"Daily","2014","middle vocational","West Germany","","","","","1"
"Daily","2014","middle vocational","East Germany","","","","","1"
"Daily","2014","higher vocational","West Germany","","","","","1"
"Daily","2014","higher vocational","East Germany","","","","","1"
"Daily","2014","higher education","West Germany","","","","","1"
"Daily","2014","in school","West Germany","","","","","1"
"Daily","2014","in school","East Germany","","","","","1"
"Daily","2014","inadequately","West Germany","","","","","1"
"Daily","2014","vocational + Abi","West Germany","","","","","1"
"Daily","2014","vocational + Abi","East Germany","","","","","1"
"Daily","2014","higher education","East Germany","","","","","1"
"Min 1x per month","2014","in school","West Germany","","","","","3"
"Min 1x per month","2014","in school","East Germany","","","","","3"
"Min 1x per month","2014","inadequately","West Germany","","","","","3"
"Min 1x per month","2014","inadequately","East Germany","","","","","3"
"Min 1x per month","2014","general elemantary","West Germany","","","","","3"
"Min 1x per month","2014","general elemantary","East Germany","","","","","3"
"Min 1x per month","2014","middle vocational","West Germany","","","","","3"
"Min 1x per month","2014","middle vocational","East Germany","","","","","3"
"Min 1x per month","2014","vocational + Abi","West Germany","","","","","3"
"Min 1x per month","2014","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","2014","higher vocational","East Germany","","","","","3"
"Min 1x per month","2014","higher vocational","West Germany","","","","","3"
"Min 1x per month","2014","higher education","East Germany","","","","","3"
"Min 1x per month","2014","higher education","West Germany","","","","","3"
"Min 1x per week","2014","in school","West Germany","","","","","2"
"Min 1x per week","2014","general elemantary","West Germany","","","","","2"
"Min 1x per week","2014","in school","East Germany","","","","","2"
"Min 1x per week","2014","inadequately","East Germany","","","","","2"
"Min 1x per week","2014","inadequately","West Germany","","","","","2"
"Min 1x per week","2014","higher vocational","East Germany","","","","","2"
"Min 1x per week","2014","higher education","West Germany","","","","","2"
"Min 1x per week","2014","general elemantary","East Germany","","","","","2"
"Min 1x per week","2014","middle vocational","West Germany","","","","","2"
"Min 1x per week","2014","middle vocational","East Germany","","","","","2"
"Min 1x per week","2014","vocational + Abi","West Germany","","","","","2"
"Min 1x per week","2014","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","2014","higher vocational","West Germany","","","","","2"
"Min 1x per week","2014","higher education","East Germany","","","","","2"
"Never","2014","vocational + Abi","East Germany","","","","","5"
"Never","2014","higher education","West Germany","","","","","5"
"Never","2014","in school","West Germany","","","","","5"
"Never","2014","inadequately","East Germany","","","","","5"
"Never","2014","higher vocational","West Germany","","","","","5"
"Never","2014","higher vocational","East Germany","","","","","5"
"Never","2014","higher education","East Germany","","","","","5"
"Never","2014","in school","East Germany","","","","","5"
"Never","2014","inadequately","West Germany","","","","","5"
"Never","2014","general elemantary","West Germany","","","","","5"
"Never","2014","general elemantary","East Germany","","","","","5"
"Never","2014","middle vocational","West Germany","","","","","5"
"Never","2014","middle vocational","East Germany","","","","","5"
"Never","2014","vocational + Abi","West Germany","","","","","5"
"Rarely","2014","higher vocational","West Germany","","","","","4"
"Rarely","2014","in school","West Germany","","","","","4"
"Rarely","2014","in school","East Germany","","","","","4"
"Rarely","2014","inadequately","West Germany","","","","","4"
"Rarely","2014","inadequately","East Germany","","","","","4"
"Rarely","2014","general elemantary","West Germany","","","","","4"
"Rarely","2014","general elemantary","East Germany","","","","","4"
"Rarely","2014","middle vocational","West Germany","","","","","4"
"Rarely","2014","middle vocational","East Germany","","","","","4"
"Rarely","2014","vocational + Abi","West Germany","","","","","4"
"Rarely","2014","vocational + Abi","East Germany","","","","","4"
"Rarely","2014","higher vocational","East Germany","","","","","4"
"Rarely","2014","higher education","West Germany","","","","","4"
"Rarely","2014","higher education","East Germany","","","","","4"
"Daily","2015","in school","West Germany","","","","","1"
"Daily","2015","in school","East Germany","","","","","1"
"Daily","2015","inadequately","West Germany","","","","","1"
"Daily","2015","inadequately","East Germany","","","","","1"
"Daily","2015","general elemantary","West Germany","","","","","1"
"Daily","2015","general elemantary","East Germany","","","","","1"
"Daily","2015","middle vocational","West Germany","","","","","1"
"Daily","2015","middle vocational","East Germany","","","","","1"
"Daily","2015","vocational + Abi","West Germany","","","","","1"
"Daily","2015","vocational + Abi","East Germany","","","","","1"
"Daily","2015","higher vocational","West Germany","","","","","1"
"Daily","2015","higher vocational","East Germany","","","","","1"
"Daily","2015","higher education","West Germany","","","","","1"
"Daily","2015","higher education","East Germany","","","","","1"
"Min 1x per month","2015","in school","West Germany","","","","","3"
"Min 1x per month","2015","in school","East Germany","","","","","3"
"Min 1x per month","2015","inadequately","West Germany","","","","","3"
"Min 1x per month","2015","inadequately","East Germany","","","","","3"
"Min 1x per month","2015","general elemantary","West Germany","","","","","3"
"Min 1x per month","2015","general elemantary","East Germany","","","","","3"
"Min 1x per month","2015","middle vocational","West Germany","","","","","3"
"Min 1x per month","2015","middle vocational","East Germany","","","","","3"
"Min 1x per month","2015","vocational + Abi","West Germany","","","","","3"
"Min 1x per month","2015","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","2015","higher vocational","West Germany","","","","","3"
"Min 1x per month","2015","higher vocational","East Germany","","","","","3"
"Min 1x per month","2015","higher education","East Germany","","","","","3"
"Min 1x per month","2015","higher education","West Germany","","","","","3"
"Min 1x per week","2015","in school","West Germany","","","","","2"
"Min 1x per week","2015","in school","East Germany","","","","","2"
"Min 1x per week","2015","inadequately","West Germany","","","","","2"
"Min 1x per week","2015","inadequately","East Germany","","","","","2"
"Min 1x per week","2015","general elemantary","West Germany","","","","","2"
"Min 1x per week","2015","general elemantary","East Germany","","","","","2"
"Min 1x per week","2015","middle vocational","West Germany","","","","","2"
"Min 1x per week","2015","middle vocational","East Germany","","","","","2"
"Min 1x per week","2015","vocational + Abi","West Germany","","","","","2"
"Min 1x per week","2015","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","2015","higher vocational","West Germany","","","","","2"
"Min 1x per week","2015","higher vocational","East Germany","","","","","2"
"Min 1x per week","2015","higher education","West Germany","","","","","2"
"Min 1x per week","2015","higher education","East Germany","","","","","2"
"Never","2015","in school","West Germany","","","","","5"
"Never","2015","in school","East Germany","","","","","5"
"Never","2015","inadequately","West Germany","","","","","5"
"Never","2015","inadequately","East Germany","","","","","5"
"Never","2015","general elemantary","West Germany","","","","","5"
"Never","2015","general elemantary","East Germany","","","","","5"
"Never","2015","middle vocational","West Germany","","","","","5"
"Never","2015","middle vocational","East Germany","","","","","5"
"Never","2015","vocational + Abi","West Germany","","","","","5"
"Never","2015","vocational + Abi","East Germany","","","","","5"
"Never","2015","higher vocational","West Germany","","","","","5"
"Never","2015","higher vocational","East Germany","","","","","5"
"Never","2015","higher education","West Germany","","","","","5"
"Never","2015","higher education","East Germany","","","","","5"
"Rarely","2015","in school","West Germany","","","","","4"
"Rarely","2015","in school","East Germany","","","","","4"
"Rarely","2015","inadequately","West Germany","","","","","4"
"Rarely","2015","inadequately","East Germany","","","","","4"
"Rarely","2015","middle vocational","West Germany","","","","","4"
"Rarely","2015","general elemantary","West Germany","","","","","4"
"Rarely","2015","general elemantary","East Germany","","","","","4"
"Rarely","2015","vocational + Abi","West Germany","","","","","4"
"Rarely","2015","middle vocational","East Germany","","","","","4"
"Rarely","2015","higher vocational","West Germany","","","","","4"
"Rarely","2015","vocational + Abi","East Germany","","","","","4"
"Rarely","2015","higher vocational","East Germany","","","","","4"
"Rarely","2015","higher education","West Germany","","","","","4"
"Rarely","2015","higher education","East Germany","","","","","4"
"Daily","2016","general elemantary","East Germany","","","","","1"
"Daily","2016","middle vocational","West Germany","","","","","1"
"Daily","2016","middle vocational","East Germany","","","","","1"
"Daily","2016","inadequately","East Germany","","","","","1"
"Daily","2016","general elemantary","West Germany","","","","","1"
"Daily","2016","vocational + Abi","West Germany","","","","","1"
"Daily","2016","vocational + Abi","East Germany","","","","","1"
"Daily","2016","higher vocational","West Germany","","","","","1"
"Daily","2016","higher vocational","East Germany","","","","","1"
"Daily","2016","higher education","West Germany","","","","","1"
"Daily","2016","in school","West Germany","","","","","1"
"Daily","2016","in school","East Germany","","","","","1"
"Daily","2016","inadequately","West Germany","","","","","1"
"Daily","2016","higher education","East Germany","","","","","1"
"Min 1x per month","2016","in school","West Germany","","","","","3"
"Min 1x per month","2016","in school","East Germany","","","","","3"
"Min 1x per month","2016","inadequately","West Germany","","","","","3"
"Min 1x per month","2016","inadequately","East Germany","","","","","3"
"Min 1x per month","2016","general elemantary","West Germany","","","","","3"
"Min 1x per month","2016","general elemantary","East Germany","","","","","3"
"Min 1x per month","2016","middle vocational","West Germany","","","","","3"
"Min 1x per month","2016","middle vocational","East Germany","","","","","3"
"Min 1x per month","2016","vocational + Abi","West Germany","","","","","3"
"Min 1x per month","2016","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","2016","higher vocational","West Germany","","","","","3"
"Min 1x per month","2016","higher vocational","East Germany","","","","","3"
"Min 1x per month","2016","higher education","West Germany","","","","","3"
"Min 1x per month","2016","higher education","East Germany","","","","","3"
"Min 1x per week","2016","in school","West Germany","","","","","2"
"Min 1x per week","2016","in school","East Germany","","","","","2"
"Min 1x per week","2016","inadequately","West Germany","","","","","2"
"Min 1x per week","2016","inadequately","East Germany","","","","","2"
"Min 1x per week","2016","general elemantary","West Germany","","","","","2"
"Min 1x per week","2016","general elemantary","East Germany","","","","","2"
"Min 1x per week","2016","middle vocational","West Germany","","","","","2"
"Min 1x per week","2016","vocational + Abi","West Germany","","","","","2"
"Min 1x per week","2016","higher vocational","West Germany","","","","","2"
"Min 1x per week","2016","higher vocational","East Germany","","","","","2"
"Min 1x per week","2016","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","2016","middle vocational","East Germany","","","","","2"
"Min 1x per week","2016","higher education","East Germany","","","","","2"
"Min 1x per week","2016","higher education","West Germany","","","","","2"
"Never","2016","in school","West Germany","","","","","5"
"Never","2016","higher vocational","East Germany","","","","","5"
"Never","2016","higher education","West Germany","","","","","5"
"Never","2016","higher education","East Germany","","","","","5"
"Never","2016","in school","East Germany","","","","","5"
"Never","2016","inadequately","West Germany","","","","","5"
"Never","2016","inadequately","East Germany","","","","","5"
"Never","2016","general elemantary","West Germany","","","","","5"
"Never","2016","general elemantary","East Germany","","","","","5"
"Never","2016","vocational + Abi","East Germany","","","","","5"
"Never","2016","higher vocational","West Germany","","","","","5"
"Never","2016","middle vocational","West Germany","","","","","5"
"Never","2016","middle vocational","East Germany","","","","","5"
"Never","2016","vocational + Abi","West Germany","","","","","5"
"Rarely","2016","in school","East Germany","","","","","4"
"Rarely","2016","in school","West Germany","","","","","4"
"Rarely","2016","middle vocational","West Germany","","","","","4"
"Rarely","2016","general elemantary","West Germany","","","","","4"
"Rarely","2016","inadequately","West Germany","","","","","4"
"Rarely","2016","inadequately","East Germany","","","","","4"
"Rarely","2016","general elemantary","East Germany","","","","","4"
"Rarely","2016","middle vocational","East Germany","","","","","4"
"Rarely","2016","vocational + Abi","West Germany","","","","","4"
"Rarely","2016","vocational + Abi","East Germany","","","","","4"
"Rarely","2016","higher vocational","West Germany","","","","","4"
"Rarely","2016","higher vocational","East Germany","","","","","4"
"Rarely","2016","higher education","West Germany","","","","","4"
"Rarely","2016","higher education","East Germany","","","","","4"
"Daily","2017","in school","West Germany","11","","","","1"
"Daily","2017","in school","East Germany","2","","","","1"
"Daily","2017","inadequately","West Germany","914","0.467443024327648","0.444798872749513","0.490087175905783","1"
"Daily","2017","inadequately","East Germany","144","0.531277543052395","0.473544326724646","0.589010759380144","1"
"Daily","2017","general elemantary","West Germany","619","0.677296702872298","0.647520844945523","0.707072560799073","1"
"Daily","2017","general elemantary","East Germany","84","0.486052905513441","0.403846644012508","0.568259167014374","1"
"Daily","2017","middle vocational","West Germany","504","0.661823030135761","0.628232755287719","0.695413304983803","1"
"Daily","2017","middle vocational","East Germany","89","0.562614463008046","0.478623347930285","0.646605578085807","1"
"Daily","2017","vocational + Abi","West Germany","81","0.650477626948215","0.564807722537385","0.736147531359046","1"
"Daily","2017","vocational + Abi","East Germany","9","","","","1"
"Daily","2017","higher vocational","West Germany","","","","","1"
"Daily","2017","higher vocational","East Germany","","","","","1"
"Daily","2017","higher education","West Germany","584","0.737681398254468","0.70740622588974","0.767956570619197","1"
"Daily","2017","higher education","East Germany","81","0.697547901823623","0.614673118384709","0.780422685262537","1"
"Min 1x per month","2017","in school","East Germany","","","","","3"
"Min 1x per month","2017","in school","West Germany","3","","","","3"
"Min 1x per month","2017","inadequately","West Germany","65","0.0412556018466755","0.0322294724287307","0.0502817312646203","3"
"Min 1x per month","2017","inadequately","East Germany","12","","","","3"
"Min 1x per month","2017","general elemantary","West Germany","24","","","","3"
"Min 1x per month","2017","general elemantary","East Germany","5","","","","3"
"Min 1x per month","2017","middle vocational","West Germany","22","","","","3"
"Min 1x per month","2017","middle vocational","East Germany","4","","","","3"
"Min 1x per month","2017","vocational + Abi","West Germany","2","","","","3"
"Min 1x per month","2017","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","2017","higher vocational","West Germany","","","","","3"
"Min 1x per month","2017","higher vocational","East Germany","","","","","3"
"Min 1x per month","2017","higher education","West Germany","14","","","","3"
"Min 1x per month","2017","higher education","East Germany","2","","","","3"
"Min 1x per week","2017","in school","West Germany","3","","","","2"
"Min 1x per week","2017","in school","East Germany","","","","","2"
"Min 1x per week","2017","inadequately","West Germany","339","0.178385216910264","0.161010320429683","0.195760113390845","2"
"Min 1x per week","2017","general elemantary","West Germany","142","0.148600598450669","0.125946329557861","0.171254867343477","2"
"Min 1x per week","2017","inadequately","East Germany","51","0.139186118848771","0.0991400641791079","0.179232173518434","2"
"Min 1x per week","2017","middle vocational","West Germany","112","0.132126749489075","0.108083446344462","0.156170052633689","2"
"Min 1x per week","2017","general elemantary","East Germany","29","","","","2"
"Min 1x per week","2017","vocational + Abi","West Germany","21","","","","2"
"Min 1x per week","2017","vocational + Abi","East Germany","4","","","","2"
"Min 1x per week","2017","middle vocational","East Germany","25","","","","2"
"Min 1x per week","2017","higher vocational","West Germany","","","","","2"
"Min 1x per week","2017","higher vocational","East Germany","","","","","2"
"Min 1x per week","2017","higher education","West Germany","114","0.125133137947094","0.102361471434101","0.147904804460087","2"
"Min 1x per week","2017","higher education","East Germany","19","","","","2"
"Never","2017","in school","West Germany","","","","","5"
"Never","2017","in school","East Germany","1","","","","5"
"Never","2017","inadequately","West Germany","431","0.246392439993447","0.226835766487107","0.265949113499788","5"
"Never","2017","inadequately","East Germany","71","0.202360147586566","0.155879404914045","0.248840890259086","5"
"Never","2017","general elemantary","West Germany","117","0.113291749600677","0.0931051756022235","0.133478323599131","5"
"Never","2017","general elemantary","East Germany","17","","","","5"
"Never","2017","middle vocational","West Germany","67","0.0984627032263391","0.0773084191590197","0.119616987293658","5"
"Never","2017","middle vocational","East Germany","13","","","","5"
"Never","2017","vocational + Abi","West Germany","10","","","","5"
"Never","2017","vocational + Abi","East Germany","1","","","","5"
"Never","2017","higher vocational","West Germany","","","","","5"
"Never","2017","higher vocational","East Germany","","","","","5"
"Never","2017","higher education","West Germany","55","0.0683003824242433","0.0509388846009753","0.0856618802475113","5"
"Never","2017","higher education","East Germany","12","","","","5"
"Rarely","2017","in school","West Germany","1","","","","4"
"Rarely","2017","in school","East Germany","1","","","","4"
"Rarely","2017","inadequately","West Germany","116","0.0665237169219648","0.0552140824039461","0.0778333514399836","4"
"Rarely","2017","inadequately","East Germany","9","","","","4"
"Rarely","2017","general elemantary","West Germany","45","0.0371872213316363","0.0251357273371718","0.0492387153261008","4"
"Rarely","2017","general elemantary","East Germany","7","","","","4"
"Rarely","2017","middle vocational","West Germany","57","0.0708640158484062","0.0526450750175691","0.0890829566792433","4"
"Rarely","2017","middle vocational","East Germany","3","","","","4"
"Rarely","2017","vocational + Abi","West Germany","5","","","","4"
"Rarely","2017","vocational + Abi","East Germany","","","","","4"
"Rarely","2017","higher vocational","West Germany","","","","","4"
"Rarely","2017","higher vocational","East Germany","","","","","4"
"Rarely","2017","higher education","West Germany","44","0.0423242368047455","0.0284681217793863","0.0561803518301048","4"
"Rarely","2017","higher education","East Germany","4","","","","4"
"Daily","2018","general elemantary","East Germany","67","0.615416005376921","0.522362349992898","0.708469660760944","1"
"Daily","2018","middle vocational","West Germany","407","0.703641133844957","0.66605383354519","0.741228434144725","1"
"Daily","2018","middle vocational","East Germany","59","0.61155617710069","0.512498325383398","0.710614028817983","1"
"Daily","2018","vocational + Abi","West Germany","53","0.710729707094767","0.60811216427922","0.813347249910315","1"
"Daily","2018","vocational + Abi","East Germany","9","","","","1"
"Daily","2018","higher vocational","East Germany","","","","","1"
"Daily","2018","higher education","West Germany","431","0.781462021292075","0.747476704518564","0.815447338065587","1"
"Daily","2018","in school","West Germany","3","","","","1"
"Daily","2018","inadequately","West Germany","714","0.58300431036702","0.555571906495955","0.610436714238085","1"
"Daily","2018","inadequately","East Germany","104","0.51382373357523","0.44606287419881","0.581584592951649","1"
"Daily","2018","higher vocational","West Germany","","","","","1"
"Daily","2018","higher education","East Germany","70","0.8111730446788","0.732055479263972","0.890290610093628","1"
"Daily","2018","in school","East Germany","1","","","","1"
"Daily","2018","general elemantary","West Germany","450","0.723466748311232","0.688975032450887","0.757958464171576","1"
"Min 1x per month","2018","in school","East Germany","","","","","3"
"Min 1x per month","2018","in school","West Germany","","","","","3"
"Min 1x per month","2018","inadequately","East Germany","5","","","","3"
"Min 1x per month","2018","inadequately","West Germany","44","0.0264381502819829","0.0175120963345778","0.035364204229388","3"
"Min 1x per month","2018","general elemantary","West Germany","23","","","","3"
"Min 1x per month","2018","general elemantary","East Germany","4","","","","3"
"Min 1x per month","2018","middle vocational","West Germany","12","","","","3"
"Min 1x per month","2018","middle vocational","East Germany","3","","","","3"
"Min 1x per month","2018","vocational + Abi","West Germany","2","","","","3"
"Min 1x per month","2018","vocational + Abi","East Germany","1","","","","3"
"Min 1x per month","2018","higher vocational","West Germany","","","","","3"
"Min 1x per month","2018","higher vocational","East Germany","","","","","3"
"Min 1x per month","2018","higher education","West Germany","9","","","","3"
"Min 1x per month","2018","higher education","East Germany","2","","","","3"
"Min 1x per week","2018","in school","West Germany","","","","","2"
"Min 1x per week","2018","in school","East Germany","","","","","2"
"Min 1x per week","2018","inadequately","West Germany","213","0.185953183675743","0.164306633098931","0.207599734252555","2"
"Min 1x per week","2018","general elemantary","West Germany","98","0.143944774048581","0.116875246585601","0.171014301511561","2"
"Min 1x per week","2018","general elemantary","East Germany","14","","","","2"
"Min 1x per week","2018","middle vocational","West Germany","90","0.145710592952709","0.116670056477778","0.17475112942764","2"
"Min 1x per week","2018","middle vocational","East Germany","22","","","","2"
"Min 1x per week","2018","vocational + Abi","West Germany","12","","","","2"
"Min 1x per week","2018","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","2018","higher vocational","West Germany","","","","","2"
"Min 1x per week","2018","higher vocational","East Germany","","","","","2"
"Min 1x per week","2018","higher education","West Germany","80","0.146200534594141","0.117145169109073","0.175255900079209","2"
"Min 1x per week","2018","higher education","East Germany","13","","","","2"
"Min 1x per week","2018","inadequately","East Germany","39","0.230608686571259","0.17350207152017","0.287715301622349","2"
"Never","2018","in school","West Germany","","","","","5"
"Never","2018","general elemantary","West Germany","54","0.084283543735285","0.0628603736805799","0.10570671378999","5"
"Never","2018","general elemantary","East Germany","17","","","","5"
"Never","2018","higher vocational","East Germany","","","","","5"
"Never","2018","higher education","West Germany","22","","","","5"
"Never","2018","higher education","East Germany","8","","","","5"
"Never","2018","in school","East Germany","1","","","","5"
"Never","2018","inadequately","West Germany","193","0.144810451973038","0.125231323912557","0.164389580033518","5"
"Never","2018","inadequately","East Germany","49","0.172461365828288","0.121244264252095","0.22367846740448","5"
"Never","2018","middle vocational","West Germany","34","0.0464388274195355","0.0291178871636344","0.0637597676754366","5"
"Never","2018","middle vocational","East Germany","7","","","","5"
"Never","2018","vocational + Abi","West Germany","4","","","","5"
"Never","2018","vocational + Abi","East Germany","2","","","","5"
"Never","2018","higher vocational","West Germany","","","","","5"
"Rarely","2018","in school","West Germany","","","","","4"
"Rarely","2018","inadequately","East Germany","12","","","","4"
"Rarely","2018","general elemantary","West Germany","21","","","","4"
"Rarely","2018","general elemantary","East Germany","3","","","","4"
"Rarely","2018","middle vocational","West Germany","24","","","","4"
"Rarely","2018","middle vocational","East Germany","2","","","","4"
"Rarely","2018","vocational + Abi","West Germany","4","","","","4"
"Rarely","2018","in school","East Germany","","","","","4"
"Rarely","2018","inadequately","West Germany","77","0.0597939037022163","0.0466021605904852","0.0729856468139474","4"
"Rarely","2018","higher vocational","East Germany","","","","","4"
"Rarely","2018","higher vocational","West Germany","","","","","4"
"Rarely","2018","higher education","West Germany","26","","","","4"
"Rarely","2018","vocational + Abi","East Germany","","","","","4"
"Rarely","2018","higher education","East Germany","1","","","","4"
"Daily","2019","in school","West Germany","","","","","1"
"Daily","2019","in school","East Germany","","","","","1"
"Daily","2019","higher vocational","West Germany","","","","","1"
"Daily","2019","higher vocational","East Germany","","","","","1"
"Daily","2019","higher education","West Germany","401","0.812451120067832","0.778606199494538","0.846296040641127","1"
"Daily","2019","inadequately","West Germany","747","0.627468120764132","0.599952247462034","0.654983994066229","1"
"Daily","2019","inadequately","East Germany","110","0.587797250730295","0.515281779235691","0.6603127222249","1"
"Daily","2019","general elemantary","West Germany","449","0.727585299749246","0.692313338579489","0.762857260919002","1"
