"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1999","Not Employed","in school","","","","","","","","","","","","","",""
"1999","Not Employed","inadequately","","","","","","","","","","","","","",""
"1999","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1999","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2000","Employed","general elemantary","","","","","","","","","","","","","",""
"2000","Employed","higher education","","","","","","","","","","","","","",""
"2000","Employed","higher vocational","","","","","","","","","","","","","",""
"2000","Employed","in school","","","","","","","","","","","","","",""
"2000","Employed","inadequately","","","","","","","","","","","","","",""
"2000","Employed","middle vocational","","","","","","","","","","","","","",""
"2000","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2000","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2000","Not Employed","higher education","","","","","","","","","","","","","",""
"2000","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2000","Not Employed","in school","","","","","","","","","","","","","",""
"2000","Not Employed","inadequately","","","","","","","","","","","","","",""
"2000","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2000","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2001","Employed","general elemantary","4.53","5","1449","3","4","5","5","5","4.48","4.58","2","5","5","5"
"2001","Employed","higher education","4.05","4","2724","2","4","5","5","5","4.01","4.09","2","5","4","4"
"2001","Employed","higher vocational","4.34","5","1198","3","4","5","5","5","4.29","4.39","2","5","5","5"
"2001","Employed","in school","3.83","4","121","2","2","5","5","5","3.6","4.06","2","5","3","4"
"2001","Employed","inadequately","4.88","5","130","5","5","5","5","5","4.8","4.96","2","5","5","5"
"2001","Employed","middle vocational","4.44","5","7334","3","4","5","5","5","4.42","4.46","2","5","5","5"
"2001","Employed","vocational + Abi","4.23","5","788","2","4","5","5","5","4.16","4.3","2","5","5","5"
"2001","Not Employed","general elemantary","4.64","5","1628","4","5","5","5","5","4.6","4.68","2","5","5","5"
"2001","Not Employed","higher education","4.09","5","806","2","3","5","5","5","4.02","4.16","2","5","4","5"
"2001","Not Employed","higher vocational","4.36","5","463","2","4","5","5","5","4.27","4.45","2","5","5","5"
"2001","Not Employed","in school","3.94","4","425","2","3","5","5","5","3.82","4.06","2","5","4","5"
"2001","Not Employed","inadequately","4.9","5","177","5","5","5","5","5","4.82","4.98","2","5","5","5"
"2001","Not Employed","middle vocational","4.52","5","4203","3","4","5","5","5","4.49","4.55","2","5","5","5"
"2001","Not Employed","vocational + Abi","4.16","5","278","2","4","5","5","5","4.04","4.28","2","5","4","5"
"2002","Employed","general elemantary","","","","","","","","","","","","","",""
"2002","Employed","higher education","","","","","","","","","","","","","",""
"2002","Employed","higher vocational","","","","","","","","","","","","","",""
"2002","Employed","in school","","","","","","","","","","","","","",""
"2002","Employed","inadequately","","","","","","","","","","","","","",""
"2002","Employed","middle vocational","","","","","","","","","","","","","",""
"2002","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2002","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2002","Not Employed","higher education","","","","","","","","","","","","","",""
"2002","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2002","Not Employed","in school","","","","","","","","","","","","","",""
"2002","Not Employed","inadequately","","","","","","","","","","","","","",""
"2002","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2002","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2003","Employed","general elemantary","4.42","5","1257","3","4","5","5","5","4.36","4.48","1","5","5","5"
