"year","e11102","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2008","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2008","Employed","Other degree","","","","","","","","","","","","","",""
"2008","Employed","secondary school degree","","","","","","","","","","","","","",""
"2008","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2008","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2008","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2008","Not Employed","Other degree","","","","","","","","","","","","","",""
"2008","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2009","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2009","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2009","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2009","Employed","Other degree","","","","","","","","","","","","","",""
"2009","Employed","secondary school degree","","","","","","","","","","","","","",""
"2009","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2009","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2009","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2009","Not Employed","Other degree","","","","","","","","","","","","","",""
"2009","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2010","Employed","college entrance qualification","2.71","2","3449","1","2","4","5","7","2.66","2.76","1","7","2","3"
"2010","Employed","lower secondary degree","3.19","3","2364","1","2","4","6","7","3.12","3.26","1","7","3","3"
"2010","Employed","no degree/no degree yet","3.21","3","109","1","2","5","5","7","2.89","3.53","1","7","2","3"
"2010","Employed","Other degree","3.17","3","395","1","2","4","6","7","3","3.34","1","7","2","3"
"2010","Employed","secondary school degree","3.02","3","3678","1","2","4","5","7","2.97","3.07","1","7","3","3"
"2010","Not Employed","college entrance qualification","2.57","2","1208","1","1","4","5","7","2.49","2.65","1","7","2","2"
"2010","Not Employed","lower secondary degree","2.84","2","2976","1","1","4","5","7","2.78","2.9","1","7","2","3"
"2010","Not Employed","no degree/no degree yet","2.93","2.76","304","1","1","4","6","7","2.74","3.12","1","7","2","3"
"2010","Not Employed","Other degree","2.73","2","320","1","1","4","5","7","2.56","2.9","1","7","2","3"
"2010","Not Employed","secondary school degree","2.71","2","1361","1","1","4","5","7","2.62","2.8","1","7","2","2"
"2011","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2011","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2011","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2011","Employed","Other degree","","","","","","","","","","","","","",""
"2011","Employed","secondary school degree","","","","","","","","","","","","","",""
"2011","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2011","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2011","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2011","Not Employed","Other degree","","","","","","","","","","","","","",""
"2011","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2012","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2012","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2012","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2012","Employed","Other degree","","","","","","","","","","","","","",""
"2012","Employed","secondary school degree","","","","","","","","","","","","","",""
"2012","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2012","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2012","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2012","Not Employed","Other degree","","","","","","","","","","","","","",""
"2012","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2013","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2013","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2013","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2013","Employed","Other degree","","","","","","","","","","","","","",""
"2013","Employed","secondary school degree","","","","","","","","","","","","","",""
"2013","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2013","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2013","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2013","Not Employed","Other degree","","","","","","","","","","","","","",""
"2013","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2014","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2014","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2014","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Employed","Other degree","","","","","","","","","","","","","",""
"2014","Employed","secondary school degree","","","","","","","","","","","","","",""
"2014","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2014","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2014","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2014","Not Employed","Other degree","","","","","","","","","","","","","",""
"2014","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2015","Employed","college entrance qualification","2.39","2","5466","1","1","3","4","6","2.36","2.42","1","7","2","2"
"2015","Employed","lower secondary degree","2.76","2","3063","1","1","4","5","7","2.7","2.82","1","7","2","2"
"2015","Employed","no degree/no degree yet","2.69","2","291","1","1","4","5","7","2.49","2.89","1","7","2","2"
"2015","Employed","Other degree","2.42","2","1932","1","1","3","5","7","2.35","2.49","1","7","2","2"
"2015","Employed","secondary school degree","2.58","2","5237","1","1","3","5","7","2.54","2.62","1","7","2","2"
"2015","Not Employed","college entrance qualification","2.2","2","1745","1","1","3","4","6","2.14","2.26","1","7","2","2"
"2015","Not Employed","lower secondary degree","2.59","2","3317","1","1","4","5","7","2.53","2.65","1","7","2","2"
"2015","Not Employed","no degree/no degree yet","2.73","2","664","1","1","4","5","7","2.6","2.86","1","7","2","2"
"2015","Not Employed","Other degree","2.42","2","2083","1","1","3","5","7","2.35","2.49","1","7","2","2"
"2015","Not Employed","secondary school degree","2.52","2","1958","1","1","3","5","7","2.45","2.59","1","7","2","2"
"2016","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2016","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2016","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2016","Employed","Other degree","","","","","","","","","","","","","",""
"2016","Employed","secondary school degree","","","","","","","","","","","","","",""
"2016","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2016","Not Employed","lower secondary degree","3.77","3","31","1","2","7","7","7","3.17","4.37","1","7","1","3"
"2016","Not Employed","no degree/no degree yet","1.9","1","1562","1","1","2","4","7","1.83","1.97","1","7","1","1"
"2016","Not Employed","Other degree","1.9","1","2327","1","1","2","4","7","1.85","1.95","1","7","1","1"
"2016","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2017","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2017","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2017","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2017","Employed","Other degree","","","","","","","","","","","","","",""
"2017","Employed","secondary school degree","","","","","","","","","","","","","",""
"2017","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2017","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2017","Not Employed","no degree/no degree yet","1.73","1","1232","1","1","2","4","7","1.64","1.82","1","7","1","1"
"2017","Not Employed","Other degree","1.67","1","1432","1","1","2","4","7","1.6","1.74","1","7","1","1"
"2017","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2018","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2018","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2018","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2018","Employed","Other degree","","","","","","","","","","","","","",""
"2018","Employed","secondary school degree","","","","","","","","","","","","","",""
"2018","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2018","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2018","Not Employed","no degree/no degree yet","1.65","1","171","1","1","1","4","7","1.41","1.89","1","7","1","1"
"2018","Not Employed","Other degree","1.54","1","176","1","1","1","4","7","1.32","1.76","1","7","1","1"
"2018","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2019","Employed","college entrance qualification","","","","","","","","","","","","","",""
"2019","Employed","lower secondary degree","","","","","","","","","","","","","",""
"2019","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2019","Employed","Other degree","","","","","","","","","","","","","",""
"2019","Employed","secondary school degree","","","","","","","","","","","","","",""
"2019","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2019","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2019","Not Employed","no degree/no degree yet","1.89","1","139","1","1","3","4","7","1.64","2.14","1","7","1","2"
"2019","Not Employed","Other degree","1.92","1","88","1","1","2","4","7","1.59","2.25","1","7","1","1"
"2019","Not Employed","secondary school degree","","","","","","","","","","","","","",""
