"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1987","Part Time","Other degree","1887.88","1526.52","151","684","1023","1943","2556","10226","1732.53","2043.23","341","10226","1406","1738"
"1987","Part Time","secondary school degree","1830.83","1674.85","337","774","1278","2045","2710","5011","1699.21","1962.45","307","18407","1646","1790"
"1988","Full Time","college entrance qualification","2240.51","2045","525","1023","1534","2710","3323","5624","2087.85","2393.17","153","35790","2045","2199"
"1988","Full Time","lower secondary degree","1770.55","1534","2008","920","1227","2045","2659","4602","1716.77","1824.33","0","25565","1585","1708"
"1988","Full Time","no degree/no degree yet","1645.82","1534","326","920","1023","1943","2301","3963","1524.2","1767.44","511","17384","1534","1738"
"1988","Full Time","Other degree","1611.4","1534","637","869","1023","1892","2403","4090","1541.79","1681.01","51","17384","1534","1713"
"1988","Full Time","secondary school degree","1930.35","1800.38","827","920","1369","2336","2914","5113","1866.24","1994.46","51","10226","1790","1943"
"1988","Not Working","college entrance qualification","1686.57","1592.21","313","531","1023","2199","2761","5215","1578.97","1794.17","0","7352","1594","1841"
"1988","Not Working","lower secondary degree","1199.93","1023","1862","537","741","1524","2045","3579","1167.43","1232.43","79","9203","1125","1227"
"1988","Not Working","no degree/no degree yet","1732.69","1534","445","614","1023","2065","2863","6902","1618.78","1846.6","31","20452","1432","1534"
"1988","Not Working","Other degree","1317.24","1222.08","245","511","920","1636","2199","3170","1237.77","1396.71","153","4090","1150","1380"
"1988","Not Working","secondary school degree","1615.44","1464.57","505","665","1023","2004","2556","6136","1507.03","1723.85","256","20452","1534","1662"
"1988","Part Time","college entrance qualification","2083.62","1790","269","690","1176","2352","3221","5215","1780.27","2386.97","179","35790","1738","2045"
"1988","Part Time","lower secondary degree","1589.38","1534","841","787","1099","1892","2500","4090","1540.17","1638.59","169","5772","1534","1534"
"1988","Part Time","no degree/no degree yet","1656.8","1636","105","767","1071","2045","2556","4602","1515.43","1798.17","345","4602","1534","1790"
"1988","Part Time","Other degree","1461.46","1483","170","665","895","1841","2536","3247","1358.41","1564.51","205","3835","1483","1738"
"1988","Part Time","secondary school degree","1851.2","1790","351","811","1278","2301","2965","5241","1759","1943.4","261","5772","1738","1892"
"1989","Full Time","college entrance qualification","2322.74","2111","569","1023","1534","2812","3579","5241","2186.03","2459.45","460","33234","2053","2301"
"1989","Full Time","lower secondary degree","1776.38","1636","1955","920","1253","2045","2812","4256","1738.8","1813.96","205","10226","1687","1790"
"1989","Full Time","no degree/no degree yet","1616.38","1585","303","869","1099","1943","2529","3835","1530.32","1702.44","361","5113","1600","1790"
"1989","Full Time","Other degree","1649.88","1636","632","895","1125","2045","2454","3937","1593.07","1706.69","240","5880","1662","1790"
"1989","Full Time","secondary school degree","2048.67","1943","831","1023","1432","2524","3068","5113","1973.88","2123.46","0","20452","1892","2027"
"1989","Not Working","college entrance qualification","1812.19","1636","314","614","1023","2352","3068","5369","1693.83","1930.55","332","6647","1636","1943"
"1989","Not Working","lower secondary degree","1271.55","1111.28","1771","559","767","1534","2045","4090","1217","1326.1","0","33234","1227","1278"
"1989","Not Working","no degree/no degree yet","1789.26","1738","433","614","1227","2301","3068","4806","1706.9","1871.62","92","7311","1585","1790"
"1989","Not Working","Other degree","1282.84","1153.67","242","460","869","1687","2045","3068","1201.18","1364.5","256","3886","1227","1380"
"1989","Not Working","secondary school degree","1633.21","1483","477","716","997","2045","2659","4141","1549.24","1717.18","153","10226","1534","1687"
"1989","Part Time","college entrance qualification","2026.84","1815","255","757","1370","2556","3323","5369","1895.22","2158.46","0","7311","1763","2045"
"1989","Part Time","lower secondary degree","1710.55","1588.61","769","798","1227","2045","2556","4256","1654","1767.1","102","5624","1585","1738"
"1989","Part Time","no degree/no degree yet","1627.15","1534","123","767","1048","2045","2812","4090","1462.32","1791.98","460","5880","1534","1790"
"1989","Part Time","Other degree","1763","1534","135","818","1125","2147","2914","4602","1627.2","1898.8","322","5113","1534","1841"
"1989","Part Time","secondary school degree","1911.23","1790","332","920","1329","2352","2965","4806","1811.08","2011.38","307","5880","1723","2045"
"1990","Full Time","college entrance qualification","2381.54","2199","567","1125","1534","2886","3579","6136","2223.91","2539.17","511","38347","2199","2418"
"1990","Full Time","lower secondary degree","1923.34","1790","1877","1023","1304","2301","2965","4908","1856.5","1990.18","0","38347","1790","1892"
"1990","Full Time","no degree/no degree yet","1745.07","1585","283","971","1227","2045","2556","4346","1647.24","1842.9","153","5277","1769","1892"
"1990","Full Time","Other degree","1905.27","1738","604","920","1227","2199","2914","5277","1792.76","2017.78","358","20452","1784","1892"
"1990","Full Time","secondary school degree","2168.59","2045","838","1023","1483","2556","3068","6136","2047.32","2289.86","307","38347","1994","2045"
"1990","Not Working","college entrance qualification","1859.28","1636","299","558","1176","2301","3068","5624","1722.45","1996.11","0","10226","1636","1994"
"1990","Not Working","lower secondary degree","1356.62","1176","1733","562","818","1585","2166","4346","1288.38","1424.86","0","38347","1278","1329"
"1990","Not Working","no degree/no degree yet","1911.84","1790","416","690","1278","2454","3211","5113","1820.93","2002.75","153","5496","1636","1841"
"1990","Not Working","Other degree","1378.68","1278","249","511","923","1851","2250","3579","1280.77","1476.59","205","5113","1278","1457"
"1990","Not Working","secondary school degree","1628.44","1534","444","716","1023","2045","2695","4244","1547.14","1709.74","66","9520","1534","1790"
"1990","Part Time","college entrance qualification","2092.1","1915.06","281","869","1278","2659","3579","5215","1957.75","2226.45","0","10226","1892","2250"
"1990","Part Time","lower secondary degree","1802.57","1652.44","756","767","1258","2301","2914","4602","1736.44","1868.7","0","7669","1687","1841"
"1990","Part Time","no degree/no degree yet","2120.9","1772.19","123","1122","1258","2321","3323","9520","1893.12","2348.68","51","9520","1559","1943"
"1990","Part Time","Other degree","1587.44","1432","135","588","1048","2045","2556","3988","1452.59","1722.29","511","5277","1534","1790"
"1990","Part Time","secondary school degree","2017.19","1994","331","1023","1534","2454","3068","5215","1919.25","2115.13","107","5624","1866","2045"
"1991","Full Time","college entrance qualification","2449.37","2301","578","1176","1585","3068","3732","6136","2358.04","2540.7","394","7669","2301","2556"
"1991","Full Time","lower secondary degree","1955.55","1821.89","1894","1023","1329","2403","3068","4857","1916.22","1994.88","256","7311","1841","1943"
"1991","Full Time","no degree/no degree yet","1805.9","1687","277","1074","1278","2096","2659","4090","1707.89","1903.91","511","5328","1790","2045"
"1991","Full Time","Other degree","1866.22","1790","587","971","1278","2301","2914","4090","1805.53","1926.91","511","5328","1841","1968"
"1991","Full Time","secondary school degree","2173.59","2045","816","1023","1432","2556","3323","6136","2100.28","2246.9","358","10226","2045","2147"
"1991","Not Working","college entrance qualification","1967.31","1790","312","767","1278","2523","3298","5113","1849.17","2085.45","399","10021","1790","2045"
"1991","Not Working","lower secondary degree","1373.98","1227","1660","588","824","1722","2301","4090","1334.53","1413.43","77","7669","1329","1432"
"1991","Not Working","no degree/no degree yet","1958.58","1790","396","755","1278","2454","3421","6647","1859.09","2058.07","210","7669","1738","1943"
"1991","Not Working","Other degree","1478.86","1380","238","486","1023","1790","2301","4602","1353.99","1603.73","368","6238","1329","1534"
"1991","Not Working","secondary school degree","1732.78","1534","448","767","1038","2147","2761","5113","1646.8","1818.76","240","10021","1636","1841"
"1991","Part Time","college entrance qualification","2137.13","2045","286","665","1278","2812","3528","6136","1988.91","2285.35","358","10021","2045","2352"
"1991","Part Time","lower secondary degree","1906.21","1790","722","869","1278","2301","3068","5624","1838.49","1973.93","182","7669","1790","1866"
"1991","Part Time","no degree/no degree yet","2135.62","1944.94","122","1099","1329","2556","3950","6647","1944.61","2326.63","460","6647","1636","2045"
"1991","Part Time","Other degree","1819.03","1717.39","143","920","1176","2147","3068","4806","1670.81","1967.25","409","5328","1764","1943"
"1991","Part Time","secondary school degree","2070.49","1943","350","1023","1534","2556","3170","5880","1970.57","2170.41","260","7669","1892","2045"
"1992","Full Time","college entrance qualification","2371.88","2199","905","1074","1534","2965","3835","5624","2303.66","2440.1","307","8692","2045","2199"
"1992","Full Time","lower secondary degree","1947.97","1790","2418","1007","1278","2352","3068","5113","1910.66","1985.28","205","8181","1790","1790"
"1992","Full Time","no degree/no degree yet","1824.07","1790","280","1012","1278","2301","2556","4397","1726.55","1921.59","358","5113","1841","2045"
"1992","Full Time","Other degree","1891.48","1841","571","1023","1278","2301","2965","4141","1828.47","1954.49","614","5113","1892","2045"
"1992","Full Time","secondary school degree","1900.76","1738","2058","879","1227","2352","3068","5113","1860.93","1940.59","205","10737","1636","1733"
"1992","Not Working","college entrance qualification","1943.79","1790","389","623","1176","2505","3426","4857","1843.43","2044.15","205","6647","1687","1938"
"1992","Not Working","lower secondary degree","1316.13","1125","2251","551","818","1642","2250","4039","1283.3","1348.96","128","7669","1227","1278"
"1992","Not Working","no degree/no degree yet","1949.94","1790","440","716","1202","2454","3272","5624","1855.94","2043.94","225","6136","1687","1943"
"1992","Not Working","Other degree","1366.21","1176","264","511","818","1759","2045","4602","1249.7","1482.72","389","6136","1278","1483"
"1992","Not Working","secondary school degree","1669.09","1534","707","665","1023","2045","2675","5624","1598.89","1739.29","245","8692","1534","1636"
"1992","Part Time","college entrance qualification","2162.95","2045","386","767","1329","2556","3809","5573","2050.08","2275.82","358","10226","1943","2199"
"1992","Part Time","lower secondary degree","1784.6","1659.38","999","767","1125","2283","3068","4704","1730.31","1838.89","239","5113","1534","1687"
"1992","Part Time","no degree/no degree yet","2139.99","1833.7","123","920","1334","2965","3835","5624","1957.49","2322.49","409","5624","1687","2045"
"1992","Part Time","Other degree","1700.52","1566.07","147","767","1176","2301","2863","3323","1572.04","1829","0","4116","1567","1994"
"1992","Part Time","secondary school degree","1916.71","1687","742","818","1202","2301","3323","6713","1850.39","1983.03","256","6713","1534","1657"
"1993","Full Time","college entrance qualification","2598.82","2556","893","1278","1790","3068","4090","6136","2524.56","2673.08","358","11504","2403","2556"
"1993","Full Time","lower secondary degree","2040.52","1892","2238","1023","1380","2556","3272","4960","2002.45","2078.59","256","7823","1841","1943"
"1993","Full Time","no degree/no degree yet","1895.5","1890.58","247","869","1380","2301","3006","3988","1781.1","2009.9","256","5987","1892","2045"
"1993","Full Time","Other degree","1973.46","1936.75","531","1023","1432","2337","2812","4602","1901.46","2045.46","424","5987","1943","2045"
"1993","Full Time","secondary school degree","2129.62","2020.14","2006","1023","1432","2556","3323","5113","2087.71","2171.53","256","15339","1892","2020"
"1993","Not Working","college entrance qualification","2064.88","1892","393","639","1329","2608","3375","5113","1949.86","2179.9","153","11504","1790","2045"
"1993","Not Working","lower secondary degree","1363.73","1176","2299","601","844","1667","2301","3988","1327.19","1400.27","26","21474","1278","1289"
"1993","Not Working","no degree/no degree yet","2070.45","1790","448","716","1278","2556","3630","7669","1970.14","2170.76","343","7669","1649","1889"
