"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1988","Not Employed","(0) in school","2115.51","1841","147","869","1406","2403","3068","6902","1823.77","2407.25","409","20452","1738","1984"
"1988","Not Employed","(1a) inadequately completed","1272.24","1117.83","299","409","818","1534","2275","3579","1188.11","1356.37","31","5113","1278","1432"
"1988","Not Employed","(1b) general elementary school","1125.78","971","1025","511","665","1380","1943","3088","1083.72","1167.84","79","5624","1115","1196"
"1988","Not Employed","(1c) basic vocational qualification","1268.58","1125","1031","562","818","1534","2045","3579","1224.67","1312.49","115","9203","1176","1278"
"1988","Not Employed","(2a) intermediate vocational","1609.14","1432","334","716","1000","1994","2556","6136","1459.71","1758.57","256","20452","1508","1657"
"1988","Not Employed","(2b) intermediate general qualification","1556.74","1483","157","511","971","2045","2608","4090","1434.42","1679.06","281","4090","1483","1738"
"1988","Not Employed","(2c_gen) general maturity certificate","1801","1790","159","531","1023","2438","2965","5215","1638.95","1963.05","256","7352","1534","1994"
"1988","Not Employed","(2c_voc) vocational maturity certificate","1582.16","1375.7","98","726","1074","1994","2556","4448","1404.75","1759.57","153","6136","1278","1738"
"1988","Not Employed","(3a) lower tertiary education","1713.93","1527.95","52","767","1125","1943","2812","7669","1410.96","2016.9","256","7669","1457","1790"
"1988","Not Employed","(3b) higher tertiary education","1639.66","1615.56","71","409","895","2147","2556","5624","1414.28","1865.04","0","5624","1432","1917"
"1989","Employed","(0) in school","","","","","","","","","","","","","",""
"1989","Employed","(1a) inadequately completed","1627.86","1585","414","869","1125","1943","2529","3863","1549.66","1706.06","361","5880","1585","1790"
"1989","Employed","(1b) general elementary school","1679.46","1559","1183","767","1125","2045","2710","4090","1633.68","1725.24","201","5624","1636","1764"
"1989","Employed","(1c) basic vocational qualification","1780.94","1636","2182","920","1278","2045","2659","4448","1746.15","1815.73","102","10226","1687","1790"
"1989","Employed","(2a) intermediate vocational","2020.05","1892","884","979","1380","2454","3068","5113","1948.26","2091.84","0","20452","1841","1968"
"1989","Employed","(2b) intermediate general qualification","1909.08","1841","237","920","1253","2403","2950","5113","1794.37","2023.79","358","5624","1841","2045"
"1989","Employed","(2c_gen) general maturity certificate","1721.75","1614.24","173","562","1023","2199","2812","3906","1586.77","1856.73","153","7311","1524","1943"
"1989","Employed","(2c_voc) vocational maturity certificate","2082.08","1790","276","920","1278","2403","3068","5113","1834.92","2329.24","0","33234","1790","2045"
"1989","Employed","(3a) lower tertiary education","2200.38","2045","169","1023","1534","2556","3221","6136","2047.43","2353.33","153","6647","1994","2301"
"1989","Employed","(3b) higher tertiary education","2482.36","2363.16","379","1278","1687","3068","4047","5369","2372.36","2592.36","256","7311","2301","2556"
"1989","Not Employed","(0) in school","2130.56","1962.83","147","1278","1544","2556","3170","4806","1984.27","2276.85","307","7311","1820","2045"
"1989","Not Employed","(1a) inadequately completed","1337.92","1278","287","360","743","1790","2403","3400","1243.51","1432.33","92","5215","1380","1636"
"1989","Not Employed","(1b) general elementary school","1166.96","1023","971","511","709","1460","2045","3184","1122.52","1211.4","0","6647","1125","1253"
"1989","Not Employed","(1c) basic vocational qualification","1331.19","1202","989","578","869","1585","2045","4090","1268.44","1393.94","92","20452","1251","1329"
"1989","Not Employed","(2a) intermediate vocational","1625.36","1479.9","321","716","983","2045","2659","4141","1526.05","1724.67","153","7311","1534","1763"
"1989","Not Employed","(2b) intermediate general qualification","1542.64","1502.2","143","614","971","2045","2556","3323","1425","1660.28","179","3579","1462","1738"
