"plh0039","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Some worries","2009","1-pers.-HH","(3a) lower tertiary education","127","0.537025197192684","0.473941305203039","0.600109089182329"
"Some worries","2009","1-pers.-HH","(3b) higher tertiary education","204","0.527054003115609","0.476112911994254","0.577995094236965"
"Some worries","2009","(Married) couple without C. ","(0) in school","2","","",""
"Some worries","2009","(Married) couple without C. ","(1a) inadequately completed","32","0.380895810536714","0.268728369473009","0.493063251600419"
"Some worries","2009","(Married) couple without C. ","(1b) general elementary school","214","0.477289868354892","0.431089388395132","0.523490348314652"
"Some worries","2009","(Married) couple without C. ","(1c) basic vocational qualification","1014","0.447833978299738","0.42717642552759","0.468491531071887"
"Some worries","2009","(Married) couple without C. ","(2b) intermediate general qualification","37","0.50679928252025","0.3861829917466","0.6274155732939"
"Some worries","2009","(Married) couple without C. ","(2a) intermediate vocational","753","0.519215051048245","0.493820433580953","0.544609668515538"
"Some worries","2009","(Married) couple without C. ","(2c_gen) general maturity certificate","69","0.533382182681125","0.448276014660324","0.618488350701926"
"Some worries","2009","(Married) couple without C. ","(2c_voc) vocational maturity certificate","221","0.52020302577203","0.471962206767832","0.568443844776228"
"Some worries","2009","(Married) couple without C. ","(3a) lower tertiary education","371","0.497687243850174","0.460987022431176","0.534387465269171"
"Some worries","2009","(Married) couple without C. ","(3b) higher tertiary education","604","0.554543444774495","0.524116620702148","0.584970268846842"
"Some worries","2009","Single parent ","(0) in school","23","","",""
"Some worries","2009","Single parent ","(1a) inadequately completed","2","","",""
"Some worries","2009","Single parent ","(1b) general elementary school","57","0.516646296125156","0.426861294284637","0.606431297965674"
"Some worries","2009","Single parent ","(1c) basic vocational qualification","94","0.494993769920079","0.422555047776971","0.567432492063188"
"Some worries","2009","Single parent ","(2b) intermediate general qualification","28","","",""
"Some worries","2009","Single parent ","(2a) intermediate vocational","143","0.513002976053186","0.451654878895014","0.574351073211359"
"Some worries","2009","Single parent ","(2c_gen) general maturity certificate","35","0.595807205982796","0.467278174029606","0.724336237935986"
"Some worries","2009","Single parent ","(2c_voc) vocational maturity certificate","30","0.475703474632843","0.341251616740703","0.610155332524982"
"Some worries","2009","Single parent ","(3a) lower tertiary education","39","0.552619198089223","0.434438842973996","0.67079955320445"
"Some worries","2009","Single parent ","(3b) higher tertiary education","51","0.622583633129339","0.520134549068778","0.7250327171899"
"Some worries","2009","Couple + C. LE 16 ","(0) in school","","","",""
"Some worries","2009","Couple + C. LE 16 ","(1a) inadequately completed","10","","",""
