"plh0039","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"No worries","2009","Rural Area","Male","512","0.165168695227777","0.151914063524818","0.178423326930737"
"No worries","2009","Rural Area","Female","387","0.11633083189782","0.105235937337115","0.127425726458525"
"Big worries","2010","Urban Area","Male","1606","0.314940611103733","0.302336386981446","0.32754483522602"
"Big worries","2010","Urban Area","Female","2092","0.38653408936128","0.373997684168317","0.399070494554242"
"Big worries","2010","Rural Area","Male","888","0.33452225039749","0.316820117465764","0.352224383329217"
"Big worries","2010","Rural Area","Female","1084","0.390447863305452","0.372744049609103","0.408151677001801"
"Some worries","2010","Urban Area","Male","2615","0.481046926609024","0.467488932559478","0.49460492065857"
"Some worries","2010","Urban Area","Female","2976","0.492379315198173","0.479508576956808","0.505250053439537"
"Some worries","2010","Rural Area","Male","1391","0.513836594755449","0.495084492123332","0.532588697387566"
"Some worries","2010","Rural Area","Female","1480","0.488508149153959","0.470368238555244","0.506648059752673"
"No worries","2010","Urban Area","Male","996","0.204012462287243","0.193077453016536","0.214947471557949"
"No worries","2010","Urban Area","Female","728","0.121086595440548","0.112688032507459","0.129485158373636"
"No worries","2010","Rural Area","Male","450","0.15164115484706","0.138184266132483","0.165098043561638"
"No worries","2010","Rural Area","Female","353","0.121043987540589","0.109207167138955","0.132880807942223"
"Big worries","2011","Urban Area","Male","1954","0.307210767822438","0.295820664256879","0.318600871387996"
"Big worries","2011","Urban Area","Female","2585","0.374383148577853","0.363166923818318","0.385599373337389"
"Big worries","2011","Rural Area","Male","1061","0.330571109311692","0.314793637596283","0.346348581027102"
"Big worries","2011","Rural Area","Female","1369","0.367304845687582","0.351782242056886","0.382827449318277"
"Some worries","2011","Urban Area","Male","3170","0.502416299484222","0.490071790371379","0.514760808597064"
"Some worries","2011","Urban Area","Female","3612","0.492377827426719","0.480791284533118","0.50396437032032"
"Some worries","2011","Rural Area","Male","1698","0.492623336579659","0.475855560264161","0.509391112895157"
"Some worries","2011","Rural Area","Female","1871","0.515951148433642","0.499859413371712","0.532042883495571"
"No worries","2011","Urban Area","Male","1178","0.190372932693341","0.180680026689397","0.200065838697284"
"No worries","2011","Urban Area","Female","955","0.133239023995428","0.125363132316085","0.14111491567477"
"No worries","2011","Rural Area","Male","656","0.176805554108649","0.164010211925311","0.189600896291987"
"No worries","2011","Rural Area","Female","465","0.116744005878777","0.106404147814141","0.127083863943412"
"Big worries","2012","Urban Area","Male","1731","0.273732111883515","0.26262556679067","0.28483865697636"
"Big worries","2012","Urban Area","Female","2362","0.33484157265439","0.323799398608415","0.345883746700365"
"Big worries","2012","Rural Area","Male","974","0.280461733668562","0.26548472852351","0.295438738813615"
"Big worries","2012","Rural Area","Female","1298","0.346318168004448","0.331186337923357","0.361449998085538"
"Some worries","2012","Urban Area","Male","3094","0.496207534705581","0.483753066156891","0.508662003254271"
"Some worries","2012","Urban Area","Female","3653","0.520367495510566","0.50867837767143","0.532056613349702"
"Some worries","2012","Rural Area","Male","1759","0.511964794382253","0.495299735639291","0.528629853125215"
"Some worries","2012","Rural Area","Female","1943","0.513830110172063","0.497934602065914","0.529725618278212"
"No worries","2012","Urban Area","Male","1366","0.230060353410904","0.219576596990217","0.240544109831592"
"No worries","2012","Urban Area","Female","1002","0.144790931835044","0.136557532444379","0.153024331225709"
"No worries","2012","Rural Area","Male","723","0.207573471949184","0.194051916548832","0.221095027349536"
"No worries","2012","Rural Area","Female","557","0.139851721823489","0.128821323853097","0.150882119793882"
"Big worries","2013","Urban Area","Male","1604","0.275732995060894","0.264117482392235","0.287348507729553"
"Big worries","2013","Urban Area","Female","2203","0.344857950427512","0.333336331904104","0.35637956895092"
"Big worries","2013","Rural Area","Male","903","0.294489717001576","0.27856951763348","0.310409916369672"
"Big worries","2013","Rural Area","Female","1122","0.326007945897908","0.310442896661185","0.341572995134632"
"Some worries","2013","Urban Area","Male","2830","0.500090384755613","0.4870942363923","0.513086533118925"
"Some worries","2013","Urban Area","Female","3325","0.505911746794943","0.493792788832697","0.518030704757189"
"Some worries","2013","Rural Area","Male","1567","0.484448669146412","0.466993598920161","0.501903739372663"
"Some worries","2013","Rural Area","Female","1767","0.51321038552607","0.496613469827211","0.529807301224929"
"No worries","2013","Urban Area","Male","1252","0.224176620183494","0.213336820577903","0.235016419789084"
"No worries","2013","Urban Area","Female","1010","0.149230302777545","0.140593357870383","0.157867247684707"
"No worries","2013","Rural Area","Male","679","0.221061613852012","0.206568223740921","0.235555003963102"
"No worries","2013","Rural Area","Female","595","0.160781668576022","0.14858433884026","0.172978998311784"
"Big worries","2014","Urban Area","Male","","","",""
"Big worries","2014","Urban Area","Female","","","",""
"Big worries","2014","Rural Area","Male","","","",""
"Big worries","2014","Rural Area","Female","","","",""
"Some worries","2014","Urban Area","Male","","","",""
"Some worries","2014","Urban Area","Female","","","",""
"Some worries","2014","Rural Area","Male","","","",""
"Some worries","2014","Rural Area","Female","","","",""
"No worries","2014","Urban Area","Male","","","",""
"No worries","2014","Urban Area","Female","","","",""
"No worries","2014","Rural Area","Male","","","",""
"No worries","2014","Rural Area","Female","","","",""
"Big worries","2015","Urban Area","Male","","","",""
"Big worries","2015","Urban Area","Female","","","",""
"Big worries","2015","Rural Area","Male","","","",""
"Big worries","2015","Rural Area","Female","","","",""
"Some worries","2015","Urban Area","Male","","","",""
"Some worries","2015","Urban Area","Female","","","",""
"Some worries","2015","Rural Area","Male","","","",""
"Some worries","2015","Rural Area","Female","","","",""
"No worries","2015","Urban Area","Male","","","",""
"No worries","2015","Urban Area","Female","","","",""
"No worries","2015","Rural Area","Male","","","",""
"No worries","2015","Rural Area","Female","","","",""
"Big worries","2016","Urban Area","Male","","","",""
"Big worries","2016","Urban Area","Female","","","",""
"Big worries","2016","Rural Area","Male","","","",""
"Big worries","2016","Rural Area","Female","","","",""
"Some worries","2016","Urban Area","Male","","","",""
"Some worries","2016","Urban Area","Female","","","",""
"Some worries","2016","Rural Area","Male","","","",""
"Some worries","2016","Rural Area","Female","","","",""
"No worries","2016","Urban Area","Male","","","",""
"No worries","2016","Urban Area","Female","","","",""
"No worries","2016","Rural Area","Male","","","",""
"No worries","2016","Rural Area","Female","","","",""
"Big worries","2017","Urban Area","Male","","","",""
"Big worries","2017","Urban Area","Female","","","",""
"Big worries","2017","Rural Area","Male","","","",""
"Big worries","2017","Rural Area","Female","","","",""
"Some worries","2017","Urban Area","Male","","","",""
"Some worries","2017","Urban Area","Female","","","",""
"Some worries","2017","Rural Area","Male","","","",""
"Some worries","2017","Rural Area","Female","","","",""
"No worries","2017","Urban Area","Male","","","",""
"No worries","2017","Urban Area","Female","","","",""
"No worries","2017","Rural Area","Male","","","",""
"No worries","2017","Rural Area","Female","","","",""
"Big worries","2018","Urban Area","Male","2600","0.348667800577584","0.337986155594907","0.359349445560261"
"Big worries","2018","Urban Area","Female","3800","0.441398059526293","0.431159793503899","0.451636325548688"
"Big worries","2018","Rural Area","Male","1628","0.405346717933203","0.390488075951439","0.420205359914967"
"Big worries","2018","Rural Area","Female","2146","0.467437055564429","0.453345728561126","0.481528382567731"
"Some worries","2018","Urban Area","Male","3685","0.477813127733189","0.466616868180763","0.489009387285615"
"Some worries","2018","Urban Area","Female","4299","0.461090697944414","0.45081264145472","0.471368754434109"
"Some worries","2018","Rural Area","Male","1891","0.446283099766665","0.431238418617466","0.461327780915864"
"Some worries","2018","Rural Area","Female","2145","0.432476221573673","0.418484279445269","0.446468163702078"
"No worries","2018","Urban Area","Male","1361","0.173519071689227","0.165030766806778","0.182007376571675"
"No worries","2018","Urban Area","Female","937","0.0975112425292921","0.0913946686554023","0.103627816403182"
"No worries","2018","Rural Area","Male","675","0.148370182300132","0.137612155484133","0.159128209116131"
"No worries","2018","Rural Area","Female","525","0.100086722861898","0.0916106746900903","0.108562771033706"
