"plh0185","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Very often","2012","East Germany","Female","54","0.0177855249144806","0.0126665876094341","0.0229044622195271","5"
"Very often","2012","West Germany","Female","146","0.0201187320338162","0.0170972019219106","0.0231402621457219","5"
"Very often","2012","West Germany","Male","46","0.00729785736241261","0.0053541118720607","0.00924160285276453","5"
"Very rare","2012","East Germany","Male","1082","0.455765083927803","0.435420015384437","0.476110152471168","1"
"Very rare","2012","East Germany","Female","816","0.32650452383353","0.308342876227138","0.344666171439921","1"
"Very rare","2012","West Germany","Male","3718","0.486507238819726","0.475093076354026","0.497921401285426","1"
"Very rare","2012","West Germany","Female","2891","0.339205870396991","0.329017501444236","0.349394239349746","1"
"Often","2013","East Germany","Male","86","0.0353539955745751","0.0282826724654004","0.0424253186837499","4"
"Often","2013","East Germany","Female","238","0.0816723436161115","0.0720795986574433","0.0912650885747796","4"
"Often","2013","West Germany","Male","310","0.0381034432117518","0.0341473213221579","0.0420595651013457","4"
"Often","2013","West Germany","Female","842","0.082418518392175","0.0772686462787472","0.0875683905056028","4"
"Rarely","2013","East Germany","Male","883","0.329691683845917","0.311691010728779","0.347692356963055","2"
"Rarely","2013","East Germany","Female","1142","0.351495662758196","0.334772324086097","0.368219001430294","2"
"Rarely","2013","West Germany","Male","3101","0.341396245118085","0.33159762684861","0.351194863387561","2"
"Rarely","2013","West Germany","Female","3969","0.347571626514122","0.338653979027268","0.356489274000976","2"
"Sometimes","2013","East Germany","Male","287","0.120699621228609","0.108225239519364","0.133174002937854","3"
"Sometimes","2013","East Germany","Female","658","0.229562632939345","0.214831850174876","0.244293415703814","3"
"Sometimes","2013","West Germany","Male","1034","0.128559330146106","0.121642707531522","0.13547595276069","3"
"Sometimes","2013","West Germany","Female","2177","0.213437224571046","0.205764254577168","0.221110194564924","3"
"Very often","2013","East Germany","Male","15","","","","5"
"Very often","2013","East Germany","Female","81","0.0231824424369023","0.0179114440802374","0.0284534407935672","5"
"Very often","2013","West Germany","Male","61","0.00668905156043391","0.00500463985567796","0.00837346326518986","5"
"Very often","2013","West Germany","Female","216","0.0195407477430241","0.0169486755895759","0.0221328198964723","5"
"Very rare","2013","East Germany","Male","1349","0.505073739475711","0.485929192735136","0.524218286216287","1"
"Very rare","2013","East Germany","Female","1012","0.314086918249445","0.297828959238017","0.330344877260874","1"
"Very rare","2013","West Germany","Male","4490","0.485251929963623","0.474924212061932","0.495579647865314","1"
"Very rare","2013","West Germany","Female","3750","0.337031882779633","0.328179839316821","0.345883926242445","1"
"Often","2014","East Germany","Male","79","0.0371678809774605","0.0298312473827616","0.0445045145721595","4"
"Often","2014","East Germany","Female","219","0.0848919196168165","0.0750116284356372","0.0947722107979958","4"
"Often","2014","West Germany","Male","333","0.0392055150035212","0.035380643739601","0.0430303862674415","4"
"Often","2014","West Germany","Female","901","0.0847173497531906","0.0796558636312362","0.089778835875145","4"
"Rarely","2014","East Germany","Female","1123","0.352195688347237","0.335263452610219","0.369127924084254","2"
