"year","pgcasmin","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1986","(2a) intermediate vocational","general elemantary","","","","","","","","","","",""
"1986","(2a) intermediate vocational","higher education","","","","","","","","","","",""
"1986","(2a) intermediate vocational","higher vocational","7.54","8","179","5","7","9","9","7.3","7.78","8","8"
"1986","(2a) intermediate vocational","in school","","","","","","","","","","",""
"1986","(2a) intermediate vocational","inadequately","","","","","","","","","","",""
"1986","(2a) intermediate vocational","middle vocational","7.71","8","1118","5","7","9","10","7.62","7.8","8","8"
"1986","(2a) intermediate vocational","vocational + Abi","","","","","","","","","","",""
"1986","(2b) intermediate general qualification","general elemantary","7.61","8","463","5","7","9","10","7.45","7.77","8","8"
"1986","(2b) intermediate general qualification","higher education","","","","","","","","","","",""
"1986","(2b) intermediate general qualification","higher vocational","","","","","","","","","","",""
"1986","(2b) intermediate general qualification","in school","","","","","","","","","","",""
"1986","(2b) intermediate general qualification","inadequately","","","","","","","","","","",""
"1986","(2b) intermediate general qualification","middle vocational","","","","","","","","","","",""
"1986","(2b) intermediate general qualification","vocational + Abi","","","","","","","","","","",""
"1986","(2c_gen) general maturity certificate","general elemantary","","","","","","","","","","",""
"1986","(2c_gen) general maturity certificate","higher education","","","","","","","","","","",""
"1986","(2c_gen) general maturity certificate","higher vocational","","","","","","","","","","",""
"1986","(2c_gen) general maturity certificate","in school","","","","","","","","","","",""
"1986","(2c_gen) general maturity certificate","inadequately","","","","","","","","","","",""
"1986","(2c_gen) general maturity certificate","middle vocational","7.67","8","396","5","7","9","9","7.5","7.84","8","8"
"1986","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","","","",""
"1986","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","","","",""
"1986","(2c_voc) vocational maturity certificate","higher education","","","","","","","","","","",""
"1986","(2c_voc) vocational maturity certificate","higher vocational","7.34","8","134","5","6","9","10","6.99","7.69","8","8"
"1986","(2c_voc) vocational maturity certificate","in school","","","","","","","","","","",""
"1986","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","","","",""
"1986","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","","","",""
"1986","(2c_voc) vocational maturity certificate","vocational + Abi","7.63","8","273","5","7","9","10","7.4","7.86","8","8"
"1986","(3a) lower tertiary education","general elemantary","","","","","","","","","","",""
"1986","(3a) lower tertiary education","higher education","7.79","8","245","6","7","9","10","7.59","7.99","8","8"
"1986","(3a) lower tertiary education","higher vocational","","","","","","","","","","",""
"1986","(3a) lower tertiary education","in school","","","","","","","","","","",""
"1986","(3a) lower tertiary education","inadequately","","","","","","","","","","",""
"1986","(3a) lower tertiary education","middle vocational","","","","","","","","","","",""
"1986","(3a) lower tertiary education","vocational + Abi","","","","","","","","","","",""
"1986","(3b) higher tertiary education","general elemantary","","","","","","","","","","",""
"1986","(3b) higher tertiary education","higher education","7.98","8","500","6","7","9","10","7.85","8.11","8","8"
"1986","(3b) higher tertiary education","higher vocational","","","","","","","","","","",""
"1986","(3b) higher tertiary education","in school","","","","","","","","","","",""
"1986","(3b) higher tertiary education","inadequately","","","","","","","","","","",""
"1986","(3b) higher tertiary education","middle vocational","","","","","","","","","","",""
"1986","(3b) higher tertiary education","vocational + Abi","","","","","","","","","","",""
"1987","(0) in school","general elemantary","","","","","","","","","","",""
"1987","(0) in school","higher education","","","","","","","","","","",""
"1987","(0) in school","higher vocational","","","","","","","","","","",""
"1987","(0) in school","in school","7.5","8","187","5","6","9","10","7.23","7.77","8","8"
"1987","(0) in school","inadequately","","","","","","","","","","",""
"1987","(0) in school","middle vocational","","","","","","","","","","",""
"1987","(0) in school","vocational + Abi","","","","","","","","","","",""
"1987","(1a) inadequately completed","general elemantary","","","","","","","","","","",""
"1987","(1a) inadequately completed","higher education","","","","","","","","","","",""
"1987","(1a) inadequately completed","higher vocational","","","","","","","","","","",""
"1987","(1a) inadequately completed","in school","","","","","","","","","","",""
"1987","(1a) inadequately completed","inadequately","6.74","7","723","4","5","8","9","6.59","6.89","7","8"
"1987","(1a) inadequately completed","middle vocational","7.4","8","87","4","7","9","9","6.96","7.84","7","8"
"1987","(1a) inadequately completed","vocational + Abi","","","","","","","","","","",""
"1987","(1b) general elementary school","general elemantary","7.1","7","2383","5","6","8","10","7.02","7.18","8","8"
"1987","(1b) general elementary school","higher education","","","","","","","","","","",""
"1987","(1b) general elementary school","higher vocational","","","","","","","","","","",""
"1987","(1b) general elementary school","in school","","","","","","","","","","",""
"1987","(1b) general elementary school","inadequately","7.07","7","30","5","6","9","10","6.34","7.8","6","8"
"1987","(1b) general elementary school","middle vocational","","","","","","","","","","",""
"1987","(1b) general elementary school","vocational + Abi","","","","","","","","","","",""
"1987","(1c) basic vocational qualification","general elemantary","","","","","","","","","","",""
"1987","(1c) basic vocational qualification","higher education","","","","","","","","","","",""
"1987","(1c) basic vocational qualification","higher vocational","7.43","8","253","5","6","8","10","7.22","7.64","7","8"
"1987","(1c) basic vocational qualification","in school","","","","","","","","","","",""
"1987","(1c) basic vocational qualification","inadequately","","","","","","","","","","",""
"1987","(1c) basic vocational qualification","middle vocational","7.24","8","3308","5","6","8","10","7.18","7.3","8","8"
"1987","(1c) basic vocational qualification","vocational + Abi","","","","","","","","","","",""
"1987","(2a) intermediate vocational","general elemantary","","","","","","","","","","",""
"1987","(2a) intermediate vocational","higher education","","","","","","","","","","",""
"1987","(2a) intermediate vocational","higher vocational","7.57","8","180","5","7","9","9","7.35","7.79","8","8"
"1987","(2a) intermediate vocational","in school","","","","","","","","","","",""
"1987","(2a) intermediate vocational","inadequately","","","","","","","","","","",""
"1987","(2a) intermediate vocational","middle vocational","7.45","8","1139","5","7","9","10","7.35","7.55","8","8"
"1987","(2a) intermediate vocational","vocational + Abi","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","general elemantary","7.3","8","424","5","6","8","9","7.13","7.47","8","8"
"1987","(2b) intermediate general qualification","higher education","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","higher vocational","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","in school","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","inadequately","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","middle vocational","","","","","","","","","","",""
"1987","(2b) intermediate general qualification","vocational + Abi","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","general elemantary","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","higher education","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","higher vocational","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","in school","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","inadequately","","","","","","","","","","",""
"1987","(2c_gen) general maturity certificate","middle vocational","7.42","8","378","5","7","9","9","7.24","7.6","8","8"
"1987","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","higher education","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","higher vocational","7.13","7.73","126","4","7","8","9","6.78","7.48","7","8"
"1987","(2c_voc) vocational maturity certificate","in school","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","","","",""
"1987","(2c_voc) vocational maturity certificate","vocational + Abi","7.54","8","269","5","7","9","10","7.33","7.75","8","8"
"1987","(3a) lower tertiary education","general elemantary","","","","","","","","","","",""
"1987","(3a) lower tertiary education","higher education","7.51","8","248","5","7","8","9","7.31","7.71","8","8"
"1987","(3a) lower tertiary education","higher vocational","","","","","","","","","","",""
"1987","(3a) lower tertiary education","in school","","","","","","","","","","",""
"1987","(3a) lower tertiary education","inadequately","","","","","","","","","","",""
"1987","(3a) lower tertiary education","middle vocational","","","","","","","","","","",""
"1987","(3a) lower tertiary education","vocational + Abi","","","","","","","","","","",""
"1987","(3b) higher tertiary education","general elemantary","","","","","","","","","","",""
"1987","(3b) higher tertiary education","higher education","7.57","8","490","5","7","9","9","7.41","7.73","8","8"
"1987","(3b) higher tertiary education","higher vocational","","","","","","","","","","",""
"1987","(3b) higher tertiary education","in school","","","","","","","","","","",""
"1987","(3b) higher tertiary education","inadequately","","","","","","","","","","",""
"1987","(3b) higher tertiary education","middle vocational","","","","","","","","","","",""
"1987","(3b) higher tertiary education","vocational + Abi","","","","","","","","","","",""
"1988","(0) in school","general elemantary","","","","","","","","","","",""
"1988","(0) in school","higher education","","","","","","","","","","",""
"1988","(0) in school","higher vocational","","","","","","","","","","",""
"1988","(0) in school","in school","","","","","","","","","","",""
"1988","(0) in school","inadequately","","","","","","","","","","",""
"1988","(0) in school","middle vocational","","","","","","","","","","",""
"1988","(0) in school","vocational + Abi","","","","","","","","","","",""
"1988","(1a) inadequately completed","general elemantary","","","","","","","","","","",""
"1988","(1a) inadequately completed","higher education","","","","","","","","","","",""
"1988","(1a) inadequately completed","higher vocational","","","","","","","","","","",""
"1988","(1a) inadequately completed","in school","","","","","","","","","","",""
"1988","(1a) inadequately completed","inadequately","","","","","","","","","","",""
"1988","(1a) inadequately completed","middle vocational","","","","","","","","","","",""
"1988","(1a) inadequately completed","vocational + Abi","","","","","","","","","","",""
"1988","(1b) general elementary school","general elemantary","","","","","","","","","","",""
"1988","(1b) general elementary school","higher education","","","","","","","","","","",""
"1988","(1b) general elementary school","higher vocational","","","","","","","","","","",""
"1988","(1b) general elementary school","in school","","","","","","","","","","",""
"1988","(1b) general elementary school","inadequately","","","","","","","","","","",""
"1988","(1b) general elementary school","middle vocational","","","","","","","","","","",""
"1988","(1b) general elementary school","vocational + Abi","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","general elemantary","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","higher education","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","higher vocational","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","in school","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","inadequately","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","middle vocational","","","","","","","","","","",""
"1988","(1c) basic vocational qualification","vocational + Abi","","","","","","","","","","",""
"1988","(2a) intermediate vocational","general elemantary","","","","","","","","","","",""
"1988","(2a) intermediate vocational","higher education","","","","","","","","","","",""
"1988","(2a) intermediate vocational","higher vocational","","","","","","","","","","",""
"1988","(2a) intermediate vocational","in school","","","","","","","","","","",""
"1988","(2a) intermediate vocational","inadequately","","","","","","","","","","",""
"1988","(2a) intermediate vocational","middle vocational","","","","","","","","","","",""
"1988","(2a) intermediate vocational","vocational + Abi","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","general elemantary","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","higher education","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","higher vocational","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","in school","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","inadequately","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","middle vocational","","","","","","","","","","",""
"1988","(2b) intermediate general qualification","vocational + Abi","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","general elemantary","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","higher education","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","higher vocational","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","in school","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","inadequately","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","middle vocational","","","","","","","","","","",""
"1988","(2c_gen) general maturity certificate","vocational + Abi","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","general elemantary","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","higher education","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","higher vocational","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","in school","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","inadequately","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","middle vocational","","","","","","","","","","",""
"1988","(2c_voc) vocational maturity certificate","vocational + Abi","","","","","","","","","","",""
"1988","(3a) lower tertiary education","general elemantary","","","","","","","","","","",""
"1988","(3a) lower tertiary education","higher education","","","","","","","","","","",""
"1988","(3a) lower tertiary education","higher vocational","","","","","","","","","","",""
"1988","(3a) lower tertiary education","in school","","","","","","","","","","",""
"1988","(3a) lower tertiary education","inadequately","","","","","","","","","","",""
"1988","(3a) lower tertiary education","middle vocational","","","","","","","","","","",""
"1988","(3a) lower tertiary education","vocational + Abi","","","","","","","","","","",""
"1988","(3b) higher tertiary education","general elemantary","","","","","","","","","","",""
"1988","(3b) higher tertiary education","higher education","","","","","","","","","","",""
"1988","(3b) higher tertiary education","higher vocational","","","","","","","","","","",""
"1988","(3b) higher tertiary education","in school","","","","","","","","","","",""
"1988","(3b) higher tertiary education","inadequately","","","","","","","","","","",""
"1988","(3b) higher tertiary education","middle vocational","","","","","","","","","","",""
"1988","(3b) higher tertiary education","vocational + Abi","","","","","","","","","","",""
"1989","(0) in school","general elemantary","","","","","","","","","","",""
"1989","(0) in school","higher education","","","","","","","","","","",""
"1989","(0) in school","higher vocational","","","","","","","","","","",""
"1989","(0) in school","in school","","","","","","","","","","",""
"1989","(0) in school","inadequately","","","","","","","","","","",""
"1989","(0) in school","middle vocational","","","","","","","","","","",""
"1989","(0) in school","vocational + Abi","","","","","","","","","","",""
"1989","(1a) inadequately completed","general elemantary","","","","","","","","","","",""
"1989","(1a) inadequately completed","higher education","","","","","","","","","","",""
"1989","(1a) inadequately completed","higher vocational","","","","","","","","","","",""
"1989","(1a) inadequately completed","in school","","","","","","","","","","",""
"1989","(1a) inadequately completed","inadequately","","","","","","","","","","",""
"1989","(1a) inadequately completed","middle vocational","","","","","","","","","","",""
"1989","(1a) inadequately completed","vocational + Abi","","","","","","","","","","",""
"1989","(1b) general elementary school","general elemantary","","","","","","","","","","",""
"1989","(1b) general elementary school","higher education","","","","","","","","","","",""
"1989","(1b) general elementary school","higher vocational","","","","","","","","","","",""
"1989","(1b) general elementary school","in school","","","","","","","","","","",""
"1989","(1b) general elementary school","inadequately","","","","","","","","","","",""
"1989","(1b) general elementary school","middle vocational","","","","","","","","","","",""
"1989","(1b) general elementary school","vocational + Abi","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","general elemantary","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","higher education","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","higher vocational","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","in school","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","inadequately","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","middle vocational","","","","","","","","","","",""
"1989","(1c) basic vocational qualification","vocational + Abi","","","","","","","","","","",""
"1989","(2a) intermediate vocational","general elemantary","","","","","","","","","","",""
"1989","(2a) intermediate vocational","higher education","","","","","","","","","","",""
"1989","(2a) intermediate vocational","higher vocational","","","","","","","","","","",""
"1989","(2a) intermediate vocational","in school","","","","","","","","","","",""
"1989","(2a) intermediate vocational","inadequately","","","","","","","","","","",""
