"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","66 and older","6.98","7","4968","5","6","8","9","10","6.93","7.03","0","10","7","8"
"2014","16-34 y.","","","","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","","","","",""
"2017","16-34 y.","","","","","","","","","","","","","",""
"2017","35-65 y.","","","","","","","","","","","","","",""
"2017","66 and older","","","","","","","","","","","","","",""
"2018","16-34 y.","8","8","6006","6","7","9","10","10","7.96","8.04","0","10","8","8"
"2018","35-65 y.","7.55","8","14519","5","7","9","9","10","7.52","7.58","0","10","8","8"
"2018","66 and older","7.27","8","4939","5","6","8","9","10","7.22","7.32","0","10","8","8"
