"year","education","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1988","secondary school degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1988","secondary school degree","(3a) lower tertiary education","","","","","","","","",""
"1988","secondary school degree","(3b) higher tertiary education","","","","","","","","",""
"1989","college entrance qualification","(0) in school","","","","","","","","",""
"1989","college entrance qualification","(1a) inadequately completed","","","","","","","","",""
"1989","college entrance qualification","(1b) general elementary school","","","","","","","","",""
"1989","college entrance qualification","(1c) basic vocational qualification","","","","","","","","",""
"1989","college entrance qualification","(2a) intermediate vocational","","","","","","","","",""
"1989","college entrance qualification","(2b) intermediate general qualification","","","","","","","","",""
"1989","college entrance qualification","(2c_gen) general maturity certificate","","","","","","","","",""
"1989","college entrance qualification","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1989","college entrance qualification","(3a) lower tertiary education","","","","","","","","",""
"1989","college entrance qualification","(3b) higher tertiary education","","","","","","","","",""
"1989","lower secondary degree","(0) in school","","","","","","","","",""
"1989","lower secondary degree","(1a) inadequately completed","","","","","","","","",""
"1989","lower secondary degree","(1b) general elementary school","","","","","","","","",""
"1989","lower secondary degree","(1c) basic vocational qualification","","","","","","","","",""
"1989","lower secondary degree","(2a) intermediate vocational","","","","","","","","",""
"1989","lower secondary degree","(2b) intermediate general qualification","","","","","","","","",""
"1989","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1989","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1989","lower secondary degree","(3a) lower tertiary education","","","","","","","","",""
"1989","lower secondary degree","(3b) higher tertiary education","","","","","","","","",""
"1989","no degree/no degree yet","(0) in school","","","","","","","","",""
"1989","no degree/no degree yet","(1a) inadequately completed","","","","","","","","",""
"1989","no degree/no degree yet","(1b) general elementary school","","","","","","","","",""
"1989","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","",""
"1989","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","",""
"1989","no degree/no degree yet","(2b) intermediate general qualification","","","","","","","","",""
"1989","no degree/no degree yet","(2c_gen) general maturity certificate","","","","","","","","",""
"1989","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1989","no degree/no degree yet","(3a) lower tertiary education","","","","","","","","",""
"1989","no degree/no degree yet","(3b) higher tertiary education","","","","","","","","",""
"1989","Other degree","(0) in school","","","","","","","","",""
"1989","Other degree","(1a) inadequately completed","","","","","","","","",""
"1989","Other degree","(1b) general elementary school","","","","","","","","",""
"1989","Other degree","(1c) basic vocational qualification","","","","","","","","",""
"1989","Other degree","(2a) intermediate vocational","","","","","","","","",""
"1989","Other degree","(2b) intermediate general qualification","","","","","","","","",""
"1989","Other degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1989","Other degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1989","Other degree","(3a) lower tertiary education","","","","","","","","",""
"1989","Other degree","(3b) higher tertiary education","","","","","","","","",""
"1989","secondary school degree","(0) in school","","","","","","","","",""
"1989","secondary school degree","(1a) inadequately completed","","","","","","","","",""
"1989","secondary school degree","(1b) general elementary school","","","","","","","","",""
"1989","secondary school degree","(1c) basic vocational qualification","","","","","","","","",""
"1989","secondary school degree","(2a) intermediate vocational","","","","","","","","",""
"1989","secondary school degree","(2b) intermediate general qualification","","","","","","","","",""
"1989","secondary school degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1989","secondary school degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1989","secondary school degree","(3a) lower tertiary education","","","","","","","","",""
"1989","secondary school degree","(3b) higher tertiary education","","","","","","","","",""
"1990","college entrance qualification","(0) in school","","","","","","","","",""
"1990","college entrance qualification","(1a) inadequately completed","","","","","","","","",""
"1990","college entrance qualification","(1b) general elementary school","","","","","","","","",""
"1990","college entrance qualification","(1c) basic vocational qualification","","","","","","","","",""
"1990","college entrance qualification","(2a) intermediate vocational","","","","","","","","",""
"1990","college entrance qualification","(2b) intermediate general qualification","","","","","","","","",""
"1990","college entrance qualification","(2c_gen) general maturity certificate","","","","","","","","",""
"1990","college entrance qualification","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1990","college entrance qualification","(3a) lower tertiary education","","","","","","","","",""
"1990","college entrance qualification","(3b) higher tertiary education","","","","","","","","",""
"1990","lower secondary degree","(0) in school","","","","","","","","",""
"1990","lower secondary degree","(1a) inadequately completed","","","","","","","","",""
"1990","lower secondary degree","(1b) general elementary school","","","","","","","","",""
"1990","lower secondary degree","(1c) basic vocational qualification","","","","","","","","",""
"1990","lower secondary degree","(2a) intermediate vocational","","","","","","","","",""
"1990","lower secondary degree","(2b) intermediate general qualification","","","","","","","","",""
"1990","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1990","lower secondary degree","(3a) lower tertiary education","","","","","","","","",""
"1990","lower secondary degree","(3b) higher tertiary education","","","","","","","","",""
"1990","no degree/no degree yet","(0) in school","","","","","","","","",""
"1990","no degree/no degree yet","(1a) inadequately completed","","","","","","","","",""
"1990","no degree/no degree yet","(1b) general elementary school","","","","","","","","",""
"1990","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","",""
"1990","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","",""
"1990","no degree/no degree yet","(2b) intermediate general qualification","","","","","","","","",""
"1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","","","","","","",""
"1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1990","no degree/no degree yet","(3a) lower tertiary education","","","","","","","","",""
"1990","no degree/no degree yet","(3b) higher tertiary education","","","","","","","","",""
"1990","Other degree","(0) in school","","","","","","","","",""
"1990","Other degree","(1a) inadequately completed","","","","","","","","",""
"1990","Other degree","(1b) general elementary school","","","","","","","","",""
"1990","Other degree","(1c) basic vocational qualification","","","","","","","","",""
"1990","Other degree","(2a) intermediate vocational","","","","","","","","",""
"1990","Other degree","(2b) intermediate general qualification","","","","","","","","",""
"1990","Other degree","(2c_gen) general maturity certificate","","","","","","","","",""
"1990","Other degree","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1990","Other degree","(3a) lower tertiary education","","","","","","","","",""
"1990","Other degree","(3b) higher tertiary education","","","","","","","","",""
"1990","secondary school degree","(0) in school","","","","","","","","",""
"1990","secondary school degree","(1a) inadequately completed","","","","","","","","",""
