"year","bula_h","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Saxony-Anhalt","(3a) lower tertiary education","","","","","","","","",""
"1984","Saxony-Anhalt","(3b) higher tertiary education","","","","","","","","",""
"1984","Schleswig-Holstein","(0) in school","","","","","","","","",""
"1984","Schleswig-Holstein","(1a) inadequately completed","","","","","","","","",""
"1984","Schleswig-Holstein","(1b) general elementary school","7.63","8","70","7.1","8.16","5","6","10","10"
"1984","Schleswig-Holstein","(1c) basic vocational qualification","7.69","8","151","7.37","8.01","5","6","9","10"
"1984","Schleswig-Holstein","(2a) intermediate vocational","8.32","8","76","7.99","8.65","6","7","10","10"
"1984","Schleswig-Holstein","(2b) intermediate general qualification","","","","","","","","",""
"1984","Schleswig-Holstein","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Schleswig-Holstein","(3a) lower tertiary education","","","","","","","","",""
"1984","Schleswig-Holstein","(3b) higher tertiary education","","","","","","","","",""
"1984","Thuringia","(0) in school","","","","","","","","",""
"1984","Thuringia","(1a) inadequately completed","","","","","","","","",""
"1984","Thuringia","(1b) general elementary school","","","","","","","","",""
"1984","Thuringia","(1c) basic vocational qualification","","","","","","","","",""
"1984","Thuringia","(2a) intermediate vocational","","","","","","","","",""
"1984","Thuringia","(2b) intermediate general qualification","","","","","","","","",""
"1984","Thuringia","(2c_gen) general maturity certificate","","","","","","","","",""
"1984","Thuringia","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1984","Thuringia","(3a) lower tertiary education","","","","","","","","",""
"1984","Thuringia","(3b) higher tertiary education","","","","","","","","",""
"1985","Baden-Württemberg","(0) in school","7.75","8","41","7.35","8.15","6","7","9","9"
"1985","Baden-Württemberg","(1a) inadequately completed","7.37","8","258","7.13","7.61","4","7","9","10"
"1985","Baden-Württemberg","(1b) general elementary school","7.27","8","525","7.1","7.44","5","6","9","10"
"1985","Baden-Württemberg","(1c) basic vocational qualification","7.4","8","668","7.24","7.56","5","6","9","10"
"1985","Baden-Württemberg","(2a) intermediate vocational","7.81","8","195","7.57","8.05","5","7","9","10"
"1985","Baden-Württemberg","(2b) intermediate general qualification","7.93","8","77","7.51","8.35","6","7","9","10"
"1985","Baden-Württemberg","(2c_gen) general maturity certificate","7.64","8","52","7.18","8.1","6","7","9","10"
"1985","Baden-Württemberg","(2c_voc) vocational maturity certificate","7.33","8","71","6.87","7.79","5","7","8","10"
"1985","Baden-Württemberg","(3a) lower tertiary education","7.56","8","44","6.94","8.18","5","7","9","10"
"1985","Baden-Württemberg","(3b) higher tertiary education","7.8","8","68","7.39","8.21","5","7","9","10"
"1985","Bavaria","(0) in school","","","","","","","","",""
"1985","Bavaria","(1a) inadequately completed","7.36","7.88","87","6.95","7.77","5","6","9","10"
"1985","Bavaria","(1b) general elementary school","6.95","7","450","6.75","7.15","4","6","8","10"
"1985","Bavaria","(1c) basic vocational qualification","7.02","7","701","6.86","7.18","4","6","9","10"
"1985","Bavaria","(2a) intermediate vocational","7.5","8","262","7.3","7.7","5","7","9","10"
"1985","Bavaria","(2b) intermediate general qualification","7.66","8","90","7.27","8.05","5","7","9","10"
"1985","Bavaria","(2c_gen) general maturity certificate","7.79","8","53","7.39","8.19","6","7","9","10"
"1985","Bavaria","(2c_voc) vocational maturity certificate","7.52","8","69","7.09","7.95","5","7","8","10"
"1985","Bavaria","(3a) lower tertiary education","7.54","8","51","7.09","7.99","5","7","8","10"
"1985","Bavaria","(3b) higher tertiary education","7.86","8","94","7.56","8.16","6","7","9","10"
"1985","Berlin","(0) in school","","","","","","","","",""
"1985","Berlin","(1a) inadequately completed","6.15","5.12","31","5.22","7.08","4","4","8","10"
"1985","Berlin","(1b) general elementary school","6.68","6.71","74","6.09","7.27","4","5","9","10"
"1985","Berlin","(1c) basic vocational qualification","7.4","8","101","6.9","7.9","4","6","10","10"
"1985","Berlin","(2a) intermediate vocational","7.51","7.71","61","7.07","7.95","5","7","9","9"
"1985","Berlin","(2b) intermediate general qualification","","","","","","","","",""
"1985","Berlin","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Berlin","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Berlin","(3a) lower tertiary education","","","","","","","","",""
"1985","Berlin","(3b) higher tertiary education","","","","","","","","",""
"1985","Brandenburg","(0) in school","","","","","","","","",""
"1985","Brandenburg","(1a) inadequately completed","","","","","","","","",""
"1985","Brandenburg","(1b) general elementary school","","","","","","","","",""
"1985","Brandenburg","(1c) basic vocational qualification","","","","","","","","",""
"1985","Brandenburg","(2a) intermediate vocational","","","","","","","","",""
"1985","Brandenburg","(2b) intermediate general qualification","","","","","","","","",""
"1985","Brandenburg","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Brandenburg","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Brandenburg","(3a) lower tertiary education","","","","","","","","",""
"1985","Brandenburg","(3b) higher tertiary education","","","","","","","","",""
"1985","Bremen","(0) in school","","","","","","","","",""
"1985","Bremen","(1a) inadequately completed","","","","","","","","",""
"1985","Bremen","(1b) general elementary school","7.19","8","30","6.23","8.15","2","5","10","10"
"1985","Bremen","(1c) basic vocational qualification","6.74","7.6","52","5.99","7.49","2","5","9","10"
"1985","Bremen","(2a) intermediate vocational","","","","","","","","",""
"1985","Bremen","(2b) intermediate general qualification","","","","","","","","",""
"1985","Bremen","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Bremen","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Bremen","(3a) lower tertiary education","","","","","","","","",""
"1985","Bremen","(3b) higher tertiary education","","","","","","","","",""
"1985","Hamburg","(0) in school","","","","","","","","",""
"1985","Hamburg","(1a) inadequately completed","","","","","","","","",""
"1985","Hamburg","(1b) general elementary school","7.27","8","47","6.64","7.9","4","6","9","10"
"1985","Hamburg","(1c) basic vocational qualification","7.44","8","98","7.02","7.86","5","6","9","10"
"1985","Hamburg","(2a) intermediate vocational","7.9","8","44","7.42","8.38","5","8","9","10"
"1985","Hamburg","(2b) intermediate general qualification","","","","","","","","",""
"1985","Hamburg","(2c_gen) general maturity certificate","","","","","","","","",""
"1985","Hamburg","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1985","Hamburg","(3a) lower tertiary education","","","","","","","","",""
"1985","Hamburg","(3b) higher tertiary education","","","","","","","","",""
"1985","Hesse","(0) in school","","","","","","","","",""
"1985","Hesse","(1a) inadequately completed","7.23","7.97","106","6.79","7.67","4","7","9","9"
"1985","Hesse","(1b) general elementary school","7.12","8","287","6.87","7.37","4","5","9","10"
"1985","Hesse","(1c) basic vocational qualification","7.46","8","344","7.26","7.66","5","6","9","10"
"1985","Hesse","(2a) intermediate vocational","7.72","8","137","7.45","7.99","5","7","9","10"
"1985","Hesse","(2b) intermediate general qualification","7.52","8","40","6.78","8.26","5","7","9","10"
"1985","Hesse","(2c_gen) general maturity certificate","7.1","7","48","6.6","7.6","5","6","8","9"
"1985","Hesse","(2c_voc) vocational maturity certificate","7.93","8","41","7.5","8.36","6","7","9","9"
"1985","Hesse","(3a) lower tertiary education","","","","","","","","",""
"1985","Hesse","(3b) higher tertiary education","7.9","8","63","7.5","8.3","6","7","9","10"
"1985","Lower Saxony","(0) in school","","","","","","","","",""
"1985","Lower Saxony","(1a) inadequately completed","6.89","7","49","6.3","7.48","4","5","9","10"
"1985","Lower Saxony","(1b) general elementary school","7.02","7","256","6.74","7.3","4","5","9","10"
"1985","Lower Saxony","(1c) basic vocational qualification","7.06","8","390","6.84","7.28","4","6","9","10"
"1985","Lower Saxony","(2a) intermediate vocational","7.64","8","162","7.38","7.9","5","7","9","10"
"1985","Lower Saxony","(2b) intermediate general qualification","7.34","8","56","6.87","7.81","5","6","8","9"
"1985","Lower Saxony","(2c_gen) general maturity certificate","7.17","7.36","36","6.55","7.79","5","6","8","9"
"1985","Lower Saxony","(2c_voc) vocational maturity certificate","7.41","8","32","6.76","8.06","5","7","8","9"
"1985","Lower Saxony","(3a) lower tertiary education","","","","","","","","",""
"1985","Lower Saxony","(3b) higher tertiary education","7.83","8","57","7.5","8.16","6","7","9","9"
"1985","Mecklenburg-Western Pomerania","(0) in school","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(1b) general elementary school","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","","","","","","",""
