"plh0110","year","migback","n","percent","lower_confidence","upper_confidence"
"Very important","2000","indirect migration background","","","",""
"Important","2000","no migration background","","","",""
"Important","2000","direct migration background","","","",""
"Important","2000","indirect migration background","","","",""
"Less important","2000","no migration background","","","",""
"Less important","2000","direct migration background","","","",""
"Less important","2000","indirect migration background","","","",""
"Quite unimportant","2000","no migration background","","","",""
"Quite unimportant","2000","direct migration background","","","",""
"Quite unimportant","2000","indirect migration background","","","",""
"Very important","2001","no migration background","","","",""
"Very important","2001","direct migration background","","","",""
"Very important","2001","indirect migration background","","","",""
"Important","2001","no migration background","","","",""
"Important","2001","direct migration background","","","",""
"Important","2001","indirect migration background","","","",""
"Less important","2001","no migration background","","","",""
"Less important","2001","direct migration background","","","",""
"Less important","2001","indirect migration background","","","",""
"Quite unimportant","2001","no migration background","","","",""
"Quite unimportant","2001","direct migration background","","","",""
"Quite unimportant","2001","indirect migration background","","","",""
"Very important","2002","no migration background","","","",""
"Very important","2002","direct migration background","","","",""
"Very important","2002","indirect migration background","","","",""
"Important","2002","no migration background","","","",""
"Important","2002","direct migration background","","","",""
"Important","2002","indirect migration background","","","",""
"Less important","2002","no migration background","","","",""
"Less important","2002","direct migration background","","","",""
"Less important","2002","indirect migration background","","","",""
"Quite unimportant","2002","no migration background","","","",""
"Quite unimportant","2002","direct migration background","","","",""
"Quite unimportant","2002","indirect migration background","","","",""
"Very important","2003","no migration background","","","",""
"Very important","2003","direct migration background","","","",""
"Very important","2003","indirect migration background","","","",""
"Important","2003","no migration background","","","",""
"Important","2003","direct migration background","","","",""
"Important","2003","indirect migration background","","","",""
"Less important","2003","no migration background","","","",""
"Less important","2003","direct migration background","","","",""
"Less important","2003","indirect migration background","","","",""
"Quite unimportant","2003","no migration background","","","",""
"Quite unimportant","2003","direct migration background","","","",""
"Quite unimportant","2003","indirect migration background","","","",""
"Very important","2004","no migration background","7944","0.405569979457183","0.398394282917222","0.412745675997144"
"Very important","2004","direct migration background","1406","0.534500390579854","0.514998104598729","0.554002676560978"
"Very important","2004","indirect migration background","305","0.37025399547937","0.336603424589086","0.403904566369655"
"Important","2004","no migration background","6422","0.370001472592771","0.362945574659404","0.377057370526138"
"Important","2004","direct migration background","799","0.326441006106517","0.308107648053558","0.344774364159475"
"Important","2004","indirect migration background","277","0.371231160561467","0.337562366115818","0.404899955007116"
"Less important","2004","no migration background","2471","0.145537266500986","0.140383621895008","0.150690911106965"
"Less important","2004","direct migration background","217","0.093277731938337","0.0819072734669822","0.104648190409692"
"Less important","2004","indirect migration background","155","0.19009431227559","0.162750338108202","0.217438286442979"
"Quite unimportant","2004","no migration background","1149","0.0788912814490595","0.0749516939723164","0.0828308689258026"
"Quite unimportant","2004","direct migration background","91","0.0457808713752924","0.0376090675328593","0.0539526752177255"
"Quite unimportant","2004","indirect migration background","54","0.0684205316835725","0.0508265949580539","0.086014468409091"
"Very important","2005","no migration background","","","",""
"Very important","2005","direct migration background","","","",""
"Very important","2005","indirect migration background","","","",""
"Important","2005","no migration background","","","",""
"Important","2005","direct migration background","","","",""
"Important","2005","indirect migration background","","","",""
"Less important","2005","no migration background","","","",""
"Less important","2005","direct migration background","","","",""
"Less important","2005","indirect migration background","","","",""
"Quite unimportant","2005","no migration background","","","",""
"Quite unimportant","2005","direct migration background","","","",""
"Quite unimportant","2005","indirect migration background","","","",""
"Very important","2006","no migration background","","","",""
"Very important","2006","direct migration background","","","",""
"Very important","2006","indirect migration background","","","",""
"Important","2006","no migration background","","","",""
"Important","2006","direct migration background","","","",""
"Important","2006","indirect migration background","","","",""
"Less important","2006","no migration background","","","",""
"Less important","2006","direct migration background","","","",""
"Less important","2006","indirect migration background","","","",""
"Quite unimportant","2006","no migration background","","","",""
"Quite unimportant","2006","direct migration background","","","",""
"Quite unimportant","2006","indirect migration background","","","",""
"Very important","2007","no migration background","","","",""
"Very important","2007","direct migration background","","","",""
"Very important","2007","indirect migration background","","","",""
"Important","2007","no migration background","","","",""
"Important","2007","direct migration background","","","",""
"Important","2007","indirect migration background","","","",""
"Less important","2007","no migration background","","","",""
"Less important","2007","direct migration background","","","",""
"Less important","2007","indirect migration background","","","",""
"Quite unimportant","2007","no migration background","","","",""
"Quite unimportant","2007","direct migration background","","","",""
"Quite unimportant","2007","indirect migration background","","","",""
"Very important","2008","no migration background","7617","0.419650237764292","0.412118643713579","0.427181831815005"
"Very important","2008","direct migration background","1118","0.569510191240594","0.547157768570164","0.591862613911024"
"Very important","2008","indirect migration background","336","0.412997595257294","0.378106783387871","0.447888407126716"
"Important","2008","no migration background","5842","0.355138768143809","0.347835278163739","0.362442258123878"
"Important","2008","direct migration background","565","0.294313578813425","0.273740303210071","0.314886854416779"
