"plh0105","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","2011","Rural Area","West Germany","","","",""
"Very important","2011","Rural Area","East Germany","","","",""
"Important","2011","Urban Area","West Germany","","","",""
"Important","2011","Urban Area","East Germany","","","",""
"Important","2011","Rural Area","West Germany","","","",""
"Important","2011","Rural Area","East Germany","","","",""
"Less important","2011","Urban Area","West Germany","","","",""
"Less important","2011","Urban Area","East Germany","","","",""
"Less important","2011","Rural Area","West Germany","","","",""
"Less important","2011","Rural Area","East Germany","","","",""
"Quite unimportant","2011","Urban Area","West Germany","","","",""
"Quite unimportant","2011","Urban Area","East Germany","","","",""
"Quite unimportant","2011","Rural Area","West Germany","","","",""
"Quite unimportant","2011","Rural Area","East Germany","","","",""
"Very important","2012","Urban Area","West Germany","5615","0.327338250862311","0.319952495030821","0.3347240066938"
"Very important","2012","Urban Area","East Germany","771","0.319651928783124","0.300173959468692","0.339129898097556"
"Very important","2012","Rural Area","West Germany","2059","0.319456179856475","0.307626652904859","0.331285706808091"
"Very important","2012","Rural Area","East Germany","1171","0.264196905392626","0.250526543257448","0.277867267527804"
"Important","2012","Urban Area","West Germany","9097","0.605853862799893","0.598162367497504","0.613545358102282"
"Important","2012","Urban Area","East Germany","1318","0.625662301496751","0.605448815842099","0.645875787151403"
"Important","2012","Rural Area","West Germany","3657","0.621315285124192","0.609008954163607","0.633621616084776"
"Important","2012","Rural Area","East Germany","2596","0.672367106986386","0.657814783870481","0.686919430102291"
"Less important","2012","Urban Area","West Germany","738","0.0612682594038684","0.0574935221812728","0.065042996626464"
"Less important","2012","Urban Area","East Germany","100","0.0476264178839379","0.0387309855007809","0.0565218502670948"
"Less important","2012","Rural Area","West Germany","229","0.053899930101686","0.0481706992480351","0.0596291609553369"
"Less important","2012","Rural Area","East Germany","209","0.0584508210252844","0.0511771749743748","0.065724467076194"
"Quite unimportant","2012","Urban Area","West Germany","56","0.00553962693392788","0.00437138658645993","0.00670786728139582"
"Quite unimportant","2012","Urban Area","East Germany","13","","",""
"Quite unimportant","2012","Rural Area","West Germany","23","","",""
"Quite unimportant","2012","Rural Area","East Germany","20","","",""
"Very important","2013","Urban Area","West Germany","","","",""
"Very important","2013","Urban Area","East Germany","","","",""
"Very important","2013","Rural Area","West Germany","","","",""
"Very important","2013","Rural Area","East Germany","","","",""
"Important","2013","Urban Area","West Germany","","","",""
"Important","2013","Urban Area","East Germany","","","",""
"Important","2013","Rural Area","West Germany","","","",""
"Important","2013","Rural Area","East Germany","","","",""
"Less important","2013","Urban Area","West Germany","","","",""
"Less important","2013","Urban Area","East Germany","","","",""
"Less important","2013","Rural Area","West Germany","","","",""
"Less important","2013","Rural Area","East Germany","","","",""
"Quite unimportant","2013","Urban Area","West Germany","","","",""
"Quite unimportant","2013","Urban Area","East Germany","","","",""
"Quite unimportant","2013","Rural Area","West Germany","","","",""
"Quite unimportant","2013","Rural Area","East Germany","","","",""
"Very important","2014","Urban Area","West Germany","","","",""
"Very important","2014","Urban Area","East Germany","","","",""
"Very important","2014","Rural Area","West Germany","","","",""
"Very important","2014","Rural Area","East Germany","","","",""
"Important","2014","Urban Area","West Germany","","","",""
"Important","2014","Urban Area","East Germany","","","",""
"Important","2014","Rural Area","West Germany","","","",""
"Important","2014","Rural Area","East Germany","","","",""
"Less important","2014","Urban Area","West Germany","","","",""
"Less important","2014","Urban Area","East Germany","","","",""
"Less important","2014","Rural Area","West Germany","","","",""
"Less important","2014","Rural Area","East Germany","","","",""
"Quite unimportant","2014","Urban Area","West Germany","","","",""
"Quite unimportant","2014","Urban Area","East Germany","","","",""
"Quite unimportant","2014","Rural Area","West Germany","","","",""
"Quite unimportant","2014","Rural Area","East Germany","","","",""
"Very important","2015","Urban Area","West Germany","","","",""
"Very important","2015","Urban Area","East Germany","","","",""
"Very important","2015","Rural Area","West Germany","","","",""
"Very important","2015","Rural Area","East Germany","","","",""
"Important","2015","Urban Area","West Germany","","","",""
"Important","2015","Urban Area","East Germany","","","",""
"Important","2015","Rural Area","West Germany","","","",""
"Important","2015","Rural Area","East Germany","","","",""
"Less important","2015","Urban Area","West Germany","","","",""
"Less important","2015","Urban Area","East Germany","","","",""
"Less important","2015","Rural Area","West Germany","","","",""
"Less important","2015","Rural Area","East Germany","","","",""
"Quite unimportant","2015","Urban Area","West Germany","","","",""
"Quite unimportant","2015","Urban Area","East Germany","","","",""
"Quite unimportant","2015","Rural Area","West Germany","","","",""
"Quite unimportant","2015","Rural Area","East Germany","","","",""
"Very important","2016","Urban Area","West Germany","5277","0.347459978337577","0.339610222377413","0.355309734297742"
"Very important","2016","Urban Area","East Germany","655","0.315154072921921","0.294018354922961","0.336289790920881"
"Very important","2016","Rural Area","West Germany","1907","0.337610788514079","0.324737770472998","0.35048380655516"
"Very important","2016","Rural Area","East Germany","1047","0.315149180160331","0.29907785619594","0.331220504124721"
"Important","2016","Urban Area","West Germany","8158","0.592425470768592","0.584324807799652","0.600526133737531"
"Important","2016","Urban Area","East Germany","1110","0.632651963628897","0.610719854578813","0.654584072678981"
"Important","2016","Rural Area","West Germany","3056","0.613151485893454","0.599893731975755","0.626409239811153"
"Important","2016","Rural Area","East Germany","1973","0.622905106460932","0.606139014415284","0.63967119850658"
"Less important","2016","Urban Area","West Germany","652","0.0563365495401388","0.0525354969893817","0.0601376020908959"
"Less important","2016","Urban Area","East Germany","79","0.0488107967759734","0.0390079884806244","0.0586136050713225"
"Less important","2016","Rural Area","West Germany","202","0.0449566486065616","0.0393160642120985","0.0505972330010247"
"Less important","2016","Rural Area","East Germany","172","0.0572603443973401","0.0492228915041756","0.0652977972905047"
"Quite unimportant","2016","Urban Area","West Germany","48","0.00377800135369213","0.00276663313311715","0.00478936957426711"
"Quite unimportant","2016","Urban Area","East Germany","12","","",""
"Quite unimportant","2016","Rural Area","West Germany","19","","",""
"Quite unimportant","2016","Rural Area","East Germany","18","","",""
