"plh0105","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","North Rhine-Westphalia","(0) in school","6","","",""
"Very important","1990","North Rhine-Westphalia","(1a) inadequately completed","5","","",""
"Very important","1990","North Rhine-Westphalia","(1b) general elementary school","71","0.216967641086696","0.171377534718318","0.262557747455074"
"Very important","1990","North Rhine-Westphalia","(1c) basic vocational qualification","149","0.196841052150511","0.168076431493505","0.225605672807517"
"Very important","1990","North Rhine-Westphalia","(2b) intermediate general qualification","18","","",""
"Very important","1990","North Rhine-Westphalia","(2a) intermediate vocational","81","0.218324364513046","0.173685356794745","0.262963372231348"
"Very important","1990","North Rhine-Westphalia","(2c_gen) general maturity certificate","21","","",""
"Very important","1990","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","24","","",""
"Very important","1990","North Rhine-Westphalia","(3a) lower tertiary education","14","","",""
"Very important","1990","North Rhine-Westphalia","(3b) higher tertiary education","25","","",""
"Very important","1990","Hesse","(0) in school","1","","",""
"Very important","1990","Hesse","(1a) inadequately completed","2","","",""
"Very important","1990","Hesse","(1b) general elementary school","36","0.289288995561498","0.211343882445606","0.36723410867739"
"Very important","1990","Hesse","(1c) basic vocational qualification","53","0.243097053797599","0.187539860755001","0.298654246840196"
"Very important","1990","Hesse","(2b) intermediate general qualification","9","","",""
"Very important","1990","Hesse","(2a) intermediate vocational","33","0.260214351747678","0.184501115531866","0.335927587963489"
"Very important","1990","Hesse","(2c_gen) general maturity certificate","7","","",""
"Very important","1990","Hesse","(2c_voc) vocational maturity certificate","5","","",""
"Very important","1990","Hesse","(3a) lower tertiary education","3","","",""
"Very important","1990","Hesse","(3b) higher tertiary education","12","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(1b) general elementary school","34","0.221527641877232","0.15697930018877","0.286075983565694"
"Very important","1990","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","53","0.216256521314632","0.163280946832493","0.269232095796772"
"Very important","1990","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","2","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","11","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","3","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","1","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","3","","",""
"Very important","1990","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","4","","",""
"Very important","1990","Baden-Württemberg","(0) in school","4","","",""
"Very important","1990","Baden-Württemberg","(1a) inadequately completed","2","","",""
"Very important","1990","Baden-Württemberg","(1b) general elementary school","73","0.294890862917011","0.237792470867795","0.351989254966227"
"Very important","1990","Baden-Württemberg","(1c) basic vocational qualification","109","0.236500570158979","0.197583888072758","0.2754172522452"
"Very important","1990","Baden-Württemberg","(2b) intermediate general qualification","19","","",""
"Very important","1990","Baden-Württemberg","(2a) intermediate vocational","55","0.256095946325419","0.193369391715366","0.318822500935472"
"Very important","1990","Baden-Württemberg","(2c_gen) general maturity certificate","9","","",""
"Very important","1990","Baden-Württemberg","(2c_voc) vocational maturity certificate","15","","",""
"Very important","1990","Baden-Württemberg","(3a) lower tertiary education","6","","",""
"Very important","1990","Baden-Württemberg","(3b) higher tertiary education","14","","",""
"Very important","1990","Bavaria","(0) in school","9","","",""
"Very important","1990","Bavaria","(1a) inadequately completed","","","",""
"Very important","1990","Bavaria","(1b) general elementary school","45","0.209145312026143","0.156238989361615","0.26205163469067"
"Very important","1990","Bavaria","(1c) basic vocational qualification","83","0.154534933878525","0.123586147973911","0.18548371978314"
"Very important","1990","Bavaria","(2b) intermediate general qualification","6","","",""
"Very important","1990","Bavaria","(2a) intermediate vocational","49","0.232798943351041","0.176569559759085","0.289028326942998"
"Very important","1990","Bavaria","(2c_gen) general maturity certificate","10","","",""
"Very important","1990","Bavaria","(2c_voc) vocational maturity certificate","14","","",""
"Very important","1990","Bavaria","(3a) lower tertiary education","3","","",""
"Very important","1990","Bavaria","(3b) higher tertiary education","10","","",""
"Very important","1990","Berlin","(0) in school","","","",""
"Very important","1990","Berlin","(1a) inadequately completed","","","",""
"Very important","1990","Berlin","(1b) general elementary school","6","","",""
"Very important","1990","Berlin","(1c) basic vocational qualification","18","","",""
"Very important","1990","Berlin","(2b) intermediate general qualification","3","","",""
"Very important","1990","Berlin","(2a) intermediate vocational","17","","",""
"Very important","1990","Berlin","(2c_gen) general maturity certificate","3","","",""
"Very important","1990","Berlin","(2c_voc) vocational maturity certificate","2","","",""
"Very important","1990","Berlin","(3a) lower tertiary education","2","","",""
"Very important","1990","Berlin","(3b) higher tertiary education","3","","",""
"Very important","1990","Brandenburg","(0) in school","","","",""
"Very important","1990","Brandenburg","(1a) inadequately completed","","","",""
"Very important","1990","Brandenburg","(1b) general elementary school","","","",""
"Very important","1990","Brandenburg","(1c) basic vocational qualification","","","",""
"Very important","1990","Brandenburg","(2b) intermediate general qualification","","","",""
"Very important","1990","Brandenburg","(2a) intermediate vocational","","","",""
"Very important","1990","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Very important","1990","Brandenburg","(3a) lower tertiary education","","","",""
"Very important","1990","Brandenburg","(3b) higher tertiary education","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Very important","1990","Saxony","(0) in school","","","",""
"Very important","1990","Saxony","(1a) inadequately completed","","","",""
"Very important","1990","Saxony","(1b) general elementary school","","","",""
"Very important","1990","Saxony","(1c) basic vocational qualification","","","",""
"Very important","1990","Saxony","(2b) intermediate general qualification","","","",""
"Very important","1990","Saxony","(2a) intermediate vocational","","","",""
"Very important","1990","Saxony","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Very important","1990","Saxony","(3a) lower tertiary education","","","",""
"Very important","1990","Saxony","(3b) higher tertiary education","","","",""
"Very important","1990","Saxony-Anhalt","(0) in school","","","",""
"Very important","1990","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Very important","1990","Saxony-Anhalt","(1b) general elementary school","","","",""
"Very important","1990","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Very important","1990","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Very important","1990","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Very important","1990","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Very important","1990","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Very important","1990","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Very important","1990","Thuringia","(0) in school","","","",""
"Very important","1990","Thuringia","(1a) inadequately completed","","","",""
"Very important","1990","Thuringia","(1b) general elementary school","","","",""
"Very important","1990","Thuringia","(1c) basic vocational qualification","","","",""
"Very important","1990","Thuringia","(2b) intermediate general qualification","","","",""
"Very important","1990","Thuringia","(2a) intermediate vocational","","","",""
"Very important","1990","Thuringia","(2c_gen) general maturity certificate","","","",""
"Very important","1990","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Very important","1990","Thuringia","(3a) lower tertiary education","","","",""
"Very important","1990","Thuringia","(3b) higher tertiary education","","","",""
"Important","1990","Schleswig-Holstein","(0) in school","2","","",""
"Important","1990","Schleswig-Holstein","(1a) inadequately completed","3","","",""
"Important","1990","Schleswig-Holstein","(1b) general elementary school","33","0.758432017580834","0.6274130484507","0.889450986710968"
"Important","1990","Schleswig-Holstein","(1c) basic vocational qualification","75","0.66260775823797","0.573845029200569","0.751370487275371"
"Important","1990","Schleswig-Holstein","(2b) intermediate general qualification","5","","",""
"Important","1990","Schleswig-Holstein","(2a) intermediate vocational","40","0.69909060195228","0.575611129859415","0.822570074045144"
"Important","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","5","","",""
"Important","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","7","","",""
"Important","1990","Schleswig-Holstein","(3a) lower tertiary education","6","","",""
"Important","1990","Schleswig-Holstein","(3b) higher tertiary education","5","","",""
"Important","1990","Hamburg","(0) in school","2","","",""
"Important","1990","Hamburg","(1a) inadequately completed","1","","",""
"Important","1990","Hamburg","(1b) general elementary school","9","","",""
"Important","1990","Hamburg","(1c) basic vocational qualification","38","0.657910064044826","0.532532404047886","0.783287724041766"
"Important","1990","Hamburg","(2b) intermediate general qualification","1","","",""
"Important","1990","Hamburg","(2a) intermediate vocational","22","","",""
"Important","1990","Hamburg","(2c_gen) general maturity certificate","3","","",""
"Important","1990","Hamburg","(2c_voc) vocational maturity certificate","4","","",""
"Important","1990","Hamburg","(3a) lower tertiary education","5","","",""
"Important","1990","Hamburg","(3b) higher tertiary education","4","","",""
"Important","1990","Lower Saxony","(0) in school","4","","",""
"Important","1990","Lower Saxony","(1a) inadequately completed","7","","",""
"Important","1990","Lower Saxony","(1b) general elementary school","109","0.681901499177682","0.609960446758157","0.753842551597207"
"Important","1990","Lower Saxony","(1c) basic vocational qualification","230","0.712351300834486","0.662520624935547","0.762181976733425"
"Important","1990","Lower Saxony","(2b) intermediate general qualification","25","","",""
"Important","1990","Lower Saxony","(2a) intermediate vocational","115","0.744289949478757","0.677110636207125","0.811469262750389"
"Important","1990","Lower Saxony","(2c_gen) general maturity certificate","18","","",""
"Important","1990","Lower Saxony","(2c_voc) vocational maturity certificate","22","","",""
"Important","1990","Lower Saxony","(3a) lower tertiary education","13","","",""
"Important","1990","Lower Saxony","(3b) higher tertiary education","35","0.650857828039858","0.526005024594979","0.775710631484737"
"Important","1990","Bremen","(0) in school","","","",""
"Important","1990","Bremen","(1a) inadequately completed","1","","",""
"Important","1990","Bremen","(1b) general elementary school","14","","",""
"Important","1990","Bremen","(1c) basic vocational qualification","23","","",""
"Important","1990","Bremen","(2b) intermediate general qualification","2","","",""
"Important","1990","Bremen","(2a) intermediate vocational","12","","",""
"Important","1990","Bremen","(2c_gen) general maturity certificate","","","",""
"Important","1990","Bremen","(2c_voc) vocational maturity certificate","3","","",""
"Important","1990","Bremen","(3a) lower tertiary education","2","","",""
"Important","1990","Bremen","(3b) higher tertiary education","1","","",""
"Important","1990","North Rhine-Westphalia","(0) in school","27","","",""
"Important","1990","North Rhine-Westphalia","(1a) inadequately completed","17","","",""
"Important","1990","North Rhine-Westphalia","(1b) general elementary school","210","0.67532936271494","0.623537373675128","0.727121351754753"
"Important","1990","North Rhine-Westphalia","(1c) basic vocational qualification","509","0.691173541557365","0.657750123277626","0.724596959837104"
"Important","1990","North Rhine-Westphalia","(2b) intermediate general qualification","56","0.66157993669974","0.557893413555004","0.765266459844476"
"Important","1990","North Rhine-Westphalia","(2a) intermediate vocational","217","0.677138418481287","0.626614496669662","0.727662340292912"
"Important","1990","North Rhine-Westphalia","(2c_gen) general maturity certificate","60","0.717203236734025","0.623638666876266","0.810767806591783"
"Important","1990","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","68","0.654503848162225","0.561301726142823","0.747705970181626"
"Important","1990","North Rhine-Westphalia","(3a) lower tertiary education","39","0.648340738868252","0.527521762668439","0.769159715068066"
"Important","1990","North Rhine-Westphalia","(3b) higher tertiary education","89","0.696628204565889","0.617603197612972","0.775653211518806"
"Important","1990","Hesse","(0) in school","6","","",""
"Important","1990","Hesse","(1a) inadequately completed","4","","",""
"Important","1990","Hesse","(1b) general elementary school","84","0.626349809273578","0.543189232313907","0.709510386233248"
"Important","1990","Hesse","(1c) basic vocational qualification","157","0.678605631168304","0.618119165168566","0.739092097168042"
"Important","1990","Hesse","(2b) intermediate general qualification","15","","",""
"Important","1990","Hesse","(2a) intermediate vocational","83","0.634654102105375","0.551559292067084","0.717748912143665"
"Important","1990","Hesse","(2c_gen) general maturity certificate","20","","",""
"Important","1990","Hesse","(2c_voc) vocational maturity certificate","23","","",""
"Important","1990","Hesse","(3a) lower tertiary education","20","","",""
"Important","1990","Hesse","(3b) higher tertiary education","27","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(1a) inadequately completed","2","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(1b) general elementary school","110","0.674124274924814","0.60127159751013","0.746976952339498"
"Important","1990","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","157","0.678217788753467","0.618104608768039","0.738330968738895"
"Important","1990","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","14","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","45","0.715657773011878","0.604266493416222","0.827049052607533"
"Important","1990","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","9","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","11","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","13","","",""
"Important","1990","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","14","","",""
"Important","1990","Baden-Württemberg","(0) in school","7","","",""
"Important","1990","Baden-Württemberg","(1a) inadequately completed","4","","",""
"Important","1990","Baden-Württemberg","(1b) general elementary school","145","0.58788650130199","0.52625252131938","0.6495204812846"
"Important","1990","Baden-Württemberg","(1c) basic vocational qualification","305","0.648694655930623","0.60497488374547","0.692414428115777"
"Important","1990","Baden-Württemberg","(2b) intermediate general qualification","32","0.527985068751237","0.394835458340463","0.661134679162011"
"Important","1990","Baden-Württemberg","(2a) intermediate vocational","121","0.663681546462376","0.595785132232658","0.731577960692095"
"Important","1990","Baden-Württemberg","(2c_gen) general maturity certificate","23","","",""
"Important","1990","Baden-Württemberg","(2c_voc) vocational maturity certificate","27","","",""
"Important","1990","Baden-Württemberg","(3a) lower tertiary education","25","","",""
"Important","1990","Baden-Württemberg","(3b) higher tertiary education","34","0.657693989929441","0.532297336836655","0.783090643022228"
"Important","1990","Bavaria","(0) in school","11","","",""
"Important","1990","Bavaria","(1a) inadequately completed","4","","",""
"Important","1990","Bavaria","(1b) general elementary school","151","0.63933736037237","0.576870341185863","0.701804379558877"
"Important","1990","Bavaria","(1c) basic vocational qualification","367","0.695890970001394","0.656502627466703","0.735279312536085"
"Important","1990","Bavaria","(2b) intermediate general qualification","35","0.687242122527205","0.560002604088118","0.814481640966292"
"Important","1990","Bavaria","(2a) intermediate vocational","143","0.64627203269973","0.582656875535192","0.709887189864267"
"Important","1990","Bavaria","(2c_gen) general maturity certificate","19","","",""
"Important","1990","Bavaria","(2c_voc) vocational maturity certificate","35","0.654239481194311","0.526193417794318","0.782285544594305"
"Important","1990","Bavaria","(3a) lower tertiary education","37","0.770887325173032","0.649439655631343","0.892334994714722"
"Important","1990","Bavaria","(3b) higher tertiary education","54","0.731695403063849","0.631419477470708","0.83197132865699"
"Important","1990","Berlin","(0) in school","5","","",""
"Important","1990","Berlin","(1a) inadequately completed","1","","",""
"Important","1990","Berlin","(1b) general elementary school","29","","",""
"Important","1990","Berlin","(1c) basic vocational qualification","50","0.670974181130038","0.563190117098147","0.778758245161929"
"Important","1990","Berlin","(2b) intermediate general qualification","10","","",""
"Important","1990","Berlin","(2a) intermediate vocational","20","","",""
"Important","1990","Berlin","(2c_gen) general maturity certificate","1","","",""
"Important","1990","Berlin","(2c_voc) vocational maturity certificate","12","","",""
"Important","1990","Berlin","(3a) lower tertiary education","5","","",""
"Important","1990","Berlin","(3b) higher tertiary education","19","","",""
"Important","1990","Brandenburg","(0) in school","","","",""
"Important","1990","Brandenburg","(1a) inadequately completed","","","",""
"Important","1990","Brandenburg","(1b) general elementary school","","","",""
"Important","1990","Brandenburg","(1c) basic vocational qualification","","","",""
"Important","1990","Brandenburg","(2b) intermediate general qualification","","","",""
"Important","1990","Brandenburg","(2a) intermediate vocational","","","",""
"Important","1990","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Important","1990","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Important","1990","Brandenburg","(3a) lower tertiary education","","","",""
"Important","1990","Brandenburg","(3b) higher tertiary education","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Important","1990","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Important","1990","Saxony","(0) in school","","","",""
"Important","1990","Saxony","(1a) inadequately completed","","","",""
"Important","1990","Saxony","(1b) general elementary school","","","",""
"Important","1990","Saxony","(1c) basic vocational qualification","","","",""
"Important","1990","Saxony","(2b) intermediate general qualification","","","",""
"Important","1990","Saxony","(2a) intermediate vocational","","","",""
"Important","1990","Saxony","(2c_gen) general maturity certificate","","","",""
"Important","1990","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Important","1990","Saxony","(3a) lower tertiary education","","","",""
"Important","1990","Saxony","(3b) higher tertiary education","","","",""
"Important","1990","Saxony-Anhalt","(0) in school","","","",""
"Important","1990","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Important","1990","Saxony-Anhalt","(1b) general elementary school","","","",""
"Important","1990","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Important","1990","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Important","1990","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Important","1990","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Important","1990","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Important","1990","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Important","1990","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Important","1990","Thuringia","(0) in school","","","",""
"Important","1990","Thuringia","(1a) inadequately completed","","","",""
"Important","1990","Thuringia","(1b) general elementary school","","","",""
"Important","1990","Thuringia","(1c) basic vocational qualification","","","",""
"Important","1990","Thuringia","(2b) intermediate general qualification","","","",""
"Important","1990","Thuringia","(2a) intermediate vocational","","","",""
"Important","1990","Thuringia","(2c_gen) general maturity certificate","","","",""
"Important","1990","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Important","1990","Thuringia","(3a) lower tertiary education","","","",""
"Important","1990","Thuringia","(3b) higher tertiary education","","","",""
"Less important","1990","Schleswig-Holstein","(0) in school","1","","",""
"Less important","1990","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Less important","1990","Schleswig-Holstein","(1b) general elementary school","2","","",""
"Less important","1990","Schleswig-Holstein","(1c) basic vocational qualification","10","","",""
"Less important","1990","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Less important","1990","Schleswig-Holstein","(2a) intermediate vocational","5","","",""
"Less important","1990","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Less important","1990","Schleswig-Holstein","(2c_voc) vocational maturity certificate","2","","",""
"Less important","1990","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Less important","1990","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Less important","1990","Hamburg","(0) in school","","","",""
"Less important","1990","Hamburg","(1a) inadequately completed","","","",""
"Less important","1990","Hamburg","(1b) general elementary school","","","",""
"Less important","1990","Hamburg","(1c) basic vocational qualification","6","","",""
"Less important","1990","Hamburg","(2b) intermediate general qualification","","","",""
"Less important","1990","Hamburg","(2a) intermediate vocational","1","","",""
"Less important","1990","Hamburg","(2c_gen) general maturity certificate","","","",""
"Less important","1990","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Less important","1990","Hamburg","(3a) lower tertiary education","1","","",""
"Less important","1990","Hamburg","(3b) higher tertiary education","1","","",""
"Less important","1990","Lower Saxony","(0) in school","1","","",""
"Less important","1990","Lower Saxony","(1a) inadequately completed","","","",""
"Less important","1990","Lower Saxony","(1b) general elementary school","14","","",""
"Less important","1990","Lower Saxony","(1c) basic vocational qualification","29","","",""
"Less important","1990","Lower Saxony","(2b) intermediate general qualification","2","","",""
"Less important","1990","Lower Saxony","(2a) intermediate vocational","17","","",""
"Less important","1990","Lower Saxony","(2c_gen) general maturity certificate","4","","",""
"Less important","1990","Lower Saxony","(2c_voc) vocational maturity certificate","2","","",""
"Less important","1990","Lower Saxony","(3a) lower tertiary education","2","","",""
"Less important","1990","Lower Saxony","(3b) higher tertiary education","8","","",""
"Less important","1990","Bremen","(0) in school","","","",""
"Less important","1990","Bremen","(1a) inadequately completed","","","",""
"Less important","1990","Bremen","(1b) general elementary school","1","","",""
"Less important","1990","Bremen","(1c) basic vocational qualification","1","","",""
"Less important","1990","Bremen","(2b) intermediate general qualification","","","",""
"Less important","1990","Bremen","(2a) intermediate vocational","","","",""
"Less important","1990","Bremen","(2c_gen) general maturity certificate","1","","",""
"Less important","1990","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Less important","1990","Bremen","(3a) lower tertiary education","","","",""
"Less important","1990","Bremen","(3b) higher tertiary education","1","","",""
"Less important","1990","North Rhine-Westphalia","(0) in school","3","","",""
"Less important","1990","North Rhine-Westphalia","(1a) inadequately completed","2","","",""
"Less important","1990","North Rhine-Westphalia","(1b) general elementary school","30","0.0954037330967231","0.0629104685108296","0.127896997682617"
"Less important","1990","North Rhine-Westphalia","(1c) basic vocational qualification","72","0.105795664246778","0.0835445183388416","0.128046810154714"
"Less important","1990","North Rhine-Westphalia","(2b) intermediate general qualification","5","","",""
"Less important","1990","North Rhine-Westphalia","(2a) intermediate vocational","31","0.104537217005667","0.0714767199063","0.137597714105034"
"Less important","1990","North Rhine-Westphalia","(2c_gen) general maturity certificate","8","","",""
"Less important","1990","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","8","","",""
"Less important","1990","North Rhine-Westphalia","(3a) lower tertiary education","7","","",""
"Less important","1990","North Rhine-Westphalia","(3b) higher tertiary education","16","","",""
"Less important","1990","Hesse","(0) in school","1","","",""
"Less important","1990","Hesse","(1a) inadequately completed","1","","",""
"Less important","1990","Hesse","(1b) general elementary school","8","","",""
"Less important","1990","Hesse","(1c) basic vocational qualification","18","","",""
"Less important","1990","Hesse","(2b) intermediate general qualification","1","","",""
"Less important","1990","Hesse","(2a) intermediate vocational","13","","",""
"Less important","1990","Hesse","(2c_gen) general maturity certificate","1","","",""
"Less important","1990","Hesse","(2c_voc) vocational maturity certificate","3","","",""
"Less important","1990","Hesse","(3a) lower tertiary education","5","","",""
"Less important","1990","Hesse","(3b) higher tertiary education","6","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(0) in school","2","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(1b) general elementary school","12","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","19","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","4","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","7","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","3","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","2","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","2","","",""
"Less important","1990","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","4","","",""
"Less important","1990","Baden-Württemberg","(0) in school","5","","",""
"Less important","1990","Baden-Württemberg","(1a) inadequately completed","","","",""
"Less important","1990","Baden-Württemberg","(1b) general elementary school","24","","",""
