"ple0181","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Once a month or less","2018","middle vocational","Female","652","0.120199038697557","0.112142688640572","0.128255388754542"
"Once a month or less","2018","vocational + Abi","Male","68","0.0784457873265963","0.0597322126393443","0.0971593620138482"
"Once a month or less","2018","vocational + Abi","Female","96","0.0703650949211909","0.056552029987403","0.0841781598549789"
"Once a month or less","2018","higher vocational","Male","87","0.102982125123708","0.0826924108325069","0.123271839414909"
"Once a month or less","2018","higher vocational","Female","57","0.126938210178187","0.0995366533858562","0.154339766970517"
"Once a month or less","2018","higher education","Male","334","0.10583690440932","0.0950147389420533","0.116659069876587"
"Once a month or less","2018","higher education","Female","368","0.129299190128189","0.117613444301207","0.140984935955172"
"Never","2018","in school","Male","4","","",""
"Never","2018","in school","Female","26","","",""
"Never","2018","inadequately","Male","5","","",""
"Never","2018","inadequately","Female","10","","",""
"Never","2018","general elemantary","Male","18","","",""
"Never","2018","general elemantary","Female","62","0.0416423387179796","0.0318629277875439","0.0514217496484152"
"Never","2018","middle vocational","Male","167","0.0386178989781684","0.0333364567712075","0.0438993411851293"
"Never","2018","middle vocational","Female","319","0.0547443473266407","0.0491087507322716","0.0603799439210098"
"Never","2018","vocational + Abi","Male","28","","",""
"Never","2018","vocational + Abi","Female","83","0.0634064519692294","0.0502451907037835","0.0765677132346752"
"Never","2018","higher vocational","Male","33","0.0396461002341862","0.0266201220176895","0.052672078450683"
"Never","2018","higher vocational","Female","28","","",""
"Never","2018","higher education","Male","131","0.0474045735230699","0.0399288780355677","0.0548802690105721"
"Never","2018","higher education","Female","270","0.0938973410031202","0.0837386112127587","0.104056070793482"
