"ple0181","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Once a month or less","2016","(Married) couple without C. ","direct migration background","77","0.0805029527991458","0.0637487239615483","0.0972571816367433"
"Once a month or less","2016","(Married) couple without C. ","indirect migration background","12","","",""
"Once a month or less","2016","Single parent ","no migration background","145","0.0778172904336843","0.0647644396788844","0.0908701411884842"
"Once a month or less","2016","Single parent ","direct migration background","23","","",""
"Once a month or less","2016","Single parent ","indirect migration background","10","","",""
"Once a month or less","2016","Couple + C. LE 16 ","no migration background","310","0.0739197490802574","0.0653753644493075","0.0824641337112073"
"Once a month or less","2016","Couple + C. LE 16 ","direct migration background","98","0.0680278394269579","0.0560302852320171","0.0800253936218987"
"Once a month or less","2016","Couple + C. LE 16 ","indirect migration background","21","","",""
"Once a month or less","2016","Couple + C. GT 16 ","no migration background","216","0.0999929487649166","0.0869172423993882","0.113068655130445"
"Once a month or less","2016","Couple + C. GT 16 ","direct migration background","29","","",""
"Once a month or less","2016","Couple + C. GT 16 ","indirect migration background","8","","",""
"Once a month or less","2016","Couple + C. LE and GT 16","no migration background","114","0.0797188315810049","0.0650289859326514","0.0944086772293583"
"Once a month or less","2016","Couple + C. LE and GT 16","direct migration background","17","","",""
"Once a month or less","2016","Couple + C. LE and GT 16","indirect migration background","16","","",""
"Never","2016","1-pers.-HH","no migration background","188","0.0673089188126429","0.0580316691380519","0.076586168487234"
"Never","2016","1-pers.-HH","direct migration background","36","0.0718446657285103","0.0483989913314646","0.095290340125556"
"Never","2016","1-pers.-HH","indirect migration background","14","","",""
"Never","2016","(Married) couple without C. ","no migration background","254","0.0457909802610283","0.040512397458648","0.0510695630634086"
"Never","2016","(Married) couple without C. ","direct migration background","33","0.0376828967261806","0.0259562292418466","0.0494095642105145"
"Never","2016","(Married) couple without C. ","indirect migration background","8","","",""
"Never","2016","Single parent ","no migration background","68","0.0389532380959308","0.0295256006008756","0.0483808755909861"
"Never","2016","Single parent ","direct migration background","18","","",""
"Never","2016","Single parent ","indirect migration background","7","","",""
"Never","2016","Couple + C. LE 16 ","no migration background","141","0.0332775727364924","0.027420198745034","0.0391349467279508"
"Never","2016","Couple + C. LE 16 ","direct migration background","49","0.0214386586698976","0.0145372023453022","0.028340114994493"
"Never","2016","Couple + C. LE 16 ","indirect migration background","12","","",""
"Never","2016","Couple + C. GT 16 ","no migration background","88","0.045372570488426","0.0363012364008616","0.0544439045759905"
"Never","2016","Couple + C. GT 16 ","direct migration background","9","","",""
"Never","2016","Couple + C. GT 16 ","indirect migration background","8","","",""
"Never","2016","Couple + C. LE and GT 16","no migration background","48","0.0252483850109385","0.0167401341507162","0.0337566358711608"
"Never","2016","Couple + C. LE and GT 16","direct migration background","13","","",""
"Never","2016","Couple + C. LE and GT 16","indirect migration background","6","","",""
"Daily","2017","1-pers.-HH","no migration background","","","",""
"Daily","2017","1-pers.-HH","direct migration background","","","",""
"Daily","2017","1-pers.-HH","indirect migration background","","","",""
"Daily","2017","(Married) couple without C. ","no migration background","","","",""
"Daily","2017","(Married) couple without C. ","direct migration background","","","",""
