"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","Part Time","vocational + Abi","6.14","7","54","3","4","8","10","10","5.44","6.84","0","10","5","7"
"1990","Full Time","general elemantary","6.35","7","892","4","5","8","9","10","6.21","6.49","0","10","6","7"
"1990","Full Time","higher education","7.28","8","434","5","6","9","9","10","7.11","7.45","0","10","7","8"
"1990","Full Time","higher vocational","6.95","7","286","4","6","8","9","10","6.73","7.17","0","10","7","7"
"1990","Full Time","in school","","","","","","","","","","","","","",""
"1990","Full Time","inadequately","6.22","6","258","4","5","8","9","10","5.96","6.48","0","10","6","7"
"1990","Full Time","middle vocational","6.72","7","2328","4","5","8","9","10","6.64","6.8","0","10","7","7"
"1990","Full Time","vocational + Abi","6.84","7","151","4","6","8","9","10","6.55","7.13","1","10","7","8"
"1990","Not Working","general elemantary","6.48","7","1070","3","5","8","10","10","6.33","6.63","0","10","7","7"
"1990","Not Working","higher education","7.33","8","133","4","6","9","10","10","6.91","7.75","0","10","7","8"
"1990","Not Working","higher vocational","6.89","7","138","4","5","9","10","10","6.5","7.28","0","10","7","8"
"1990","Not Working","in school","6.96","8","128","5","5","8","9","10","6.59","7.33","0","10","6","8"
"1990","Not Working","inadequately","5.39","5","268","2","4","7","9","10","5.1","5.68","0","10","5","6"
"1990","Not Working","middle vocational","6.87","7","1419","4","5","8","10","10","6.75","6.99","0","10","7","7"
"1990","Not Working","vocational + Abi","6.88","7","85","4","5","9","10","10","6.38","7.38","2","10","6","8"
"1990","Part Time","general elemantary","6.18","7","485","3","5","8","9","10","5.97","6.39","0","10","6","7"
"1990","Part Time","higher education","6.98","7","133","4","6","9","9","10","6.63","7.33","0","10","7","8"
"1990","Part Time","higher vocational","7.17","7","89","5","7","8","9","10","6.76","7.58","0","10","7","8"
"1990","Part Time","in school","","","","","","","","","","","","","",""
"1990","Part Time","inadequately","5.75","5","110","4","5","7","9","10","5.36","6.14","0","10","5","6"
"1990","Part Time","middle vocational","6.39","7","791","3","5","8","9","10","6.24","6.54","0","10","7","7"
"1990","Part Time","vocational + Abi","5.8","5","59","4","5","7","8","10","5.25","6.35","1","10","5","7"
"1991","Full Time","general elemantary","6.49","7","921","4","5","8","9","10","6.35","6.63","0","10","7","7"
"1991","Full Time","higher education","7.3","8","434","5","6","8","9","10","7.13","7.47","2","10","8","8"
"1991","Full Time","higher vocational","7.28","8","289","5","7","8","9","10","7.07","7.49","1","10","7","8"
"1991","Full Time","in school","","","","","","","","","","","","","",""
"1991","Full Time","inadequately","6.55","7","255","4","5","8","9","10","6.29","6.81","0","10","7","7"
"1991","Full Time","middle vocational","6.87","7","2299","4","6","8","9","10","6.79","6.95","0","10","7","7"
"1991","Full Time","vocational + Abi","7.03","7","150","5","6","8","9","10","6.75","7.31","0","10","7","8"
"1991","Not Working","general elemantary","6.72","7","1027","3","5","8","10","10","6.57","6.87","0","10","7","7"
"1991","Not Working","higher education","7.54","8","141","5","7","9","10","10","7.18","7.9","0","10","8","8"
"1991","Not Working","higher vocational","7.11","8","139","4","5","9","10","10","6.73","7.49","0","10","7","8"
"1991","Not Working","in school","7.7","8","114","5","7","9","10","10","7.3","8.1","0","10","7","8"
"1991","Not Working","inadequately","5.64","6","253","2","4","8","9","10","5.36","5.92","0","10","6","6"
"1991","Not Working","middle vocational","7.06","8","1412","4","6","8","10","10","6.95","7.17","0","10","7","8"
"1991","Not Working","vocational + Abi","7.2","7","75","5","6","8","10","10","6.75","7.65","2","10","6","8"
"1991","Part Time","general elemantary","6.67","7","444","4","5","8","10","10","6.46","6.88","0","10","7","7"
"1991","Part Time","higher education","7.31","8","146","5","6","9","9","10","7","7.62","1","10","7","8"
"1991","Part Time","higher vocational","6.92","7","90","5","5","8","9","10","6.52","7.32","2","10","7","8"
"1991","Part Time","in school","","","","","","","","","","","","","",""
"1991","Part Time","inadequately","5.98","6","109","3","5","8","8","10","5.56","6.4","0","10","5","7"
"1991","Part Time","middle vocational","6.7","7","808","4","5","8","9","10","6.55","6.85","0","10","7","7"
"1991","Part Time","vocational + Abi","6.48","7.38","79","3","4","8","9","10","5.95","7.01","0","10","6","8"
"1992","Full Time","general elemantary","6.15","6","972","3","5","8","9","10","6.01","6.29","0","10","6","7"
"1992","Full Time","higher education","6.66","7","1055","4","5","8","9","10","6.53","6.79","0","10","6","7"
"1992","Full Time","higher vocational","6.67","7","477","4","5","8","9","10","6.49","6.85","0","10","6","7"
"1992","Full Time","in school","","","","","","","","","","","","","",""
"1992","Full Time","inadequately","5.94","6","252","3","5","8","9","10","5.66","6.22","0","10","6","7"
"1992","Full Time","middle vocational","6.37","7","3497","3","5","8","9","10","6.3","6.44","0","10","6","7"
"1992","Full Time","vocational + Abi","6.6","7","208","4","5","8","9","10","6.33","6.87","0","10","6","7"
"1992","Not Working","general elemantary","6.19","6","1254","3","5","8","9","10","6.06","6.32","0","10","6","6"
"1992","Not Working","higher education","6.45","7","271","3","5","8","10","10","6.16","6.74","0","10","6","7"
"1992","Not Working","higher vocational","6.45","7","171","3","5","8","10","10","6.09","6.81","0","10","6","7"
"1992","Not Working","in school","7.41","8","130","5","6","9","10","10","6.99","7.83","0","10","7","8"
"1992","Not Working","inadequately","5.44","6","265","2","4","7","8","10","5.17","5.71","0","10","5","6"
"1992","Not Working","middle vocational","6.41","7","1937","3","5","8","9","10","6.3","6.52","0","10","6","7"
"1992","Not Working","vocational + Abi","6.58","7","100","3","5","8","9","10","6.13","7.03","0","10","6","7"
"1992","Part Time","general elemantary","6.15","7","536","3","5","8","9","10","5.95","6.35","0","10","6","7"
"1992","Part Time","higher education","6.53","7","330","4","5","8","9","10","6.3","6.76","0","10","6","7"
"1992","Part Time","higher vocational","6.83","7","120","4","5","8","9","10","6.46","7.2","1","10","7","8"
"1992","Part Time","in school","","","","","","","","","","","","","",""
"1992","Part Time","inadequately","5.35","5","102","1","4","7","8","10","4.89","5.81","0","10","5","7"
"1992","Part Time","middle vocational","6.01","6","1280","3","5","8","9","10","5.88","6.14","0","10","6","6"
"1992","Part Time","vocational + Abi","6.11","7","78","2","5","8","9","10","5.58","6.64","0","10","6","7"
"1993","Full Time","general elemantary","6.04","6","876","3","5","8","8","10","5.9","6.18","0","10","6","6"
"1993","Full Time","higher education","6.87","7","1010","4","6","8","9","10","6.75","6.99","0","10","7","7"
"1993","Full Time","higher vocational","6.51","7","451","4","5","8","9","10","6.31","6.71","0","10","7","7"
"1993","Full Time","in school","","","","","","","","","","","","","",""
"1993","Full Time","inadequately","6.2","6","230","4","5","8","9","10","5.92","6.48","0","10","6","7"
"1993","Full Time","middle vocational","6.35","7","3296","3","5","8","9","10","6.28","6.42","0","10","6","7"
"1993","Full Time","vocational + Abi","6.53","7","195","4","5","8","9","10","6.24","6.82","0","10","6","7"
"1993","Not Working","general elemantary","6.22","6","1206","3","5","8","10","10","6.08","6.36","0","10","6","6"
"1993","Not Working","higher education","6.08","6","320","2","4","8","9","10","5.8","6.36","0","10","6","7"
"1993","Not Working","higher vocational","6.56","7","168","3","5","9","10","10","6.17","6.95","0","10","7","8"
"1993","Not Working","in school","6.79","7","120","4","5","8","9","10","6.35","7.23","0","10","6","7"
"1993","Not Working","inadequately","5.41","5","273","2","4","7","10","10","5.13","5.69","0","10","5","5"
"1993","Not Working","middle vocational","6.33","7","2048","3","5","8","9","10","6.22","6.44","0","10","6","7"
"1993","Not Working","vocational + Abi","6.2","7","91","2","5","8","9","10","5.63","6.77","0","10","5","7"
"1993","Part Time","general elemantary","6.03","6","524","2","4","8","9","10","5.81","6.25","0","10","6","7"
"1993","Part Time","higher education","6.42","7","292","3","5","8","9","10","6.17","6.67","0","10","7","7"
"1993","Part Time","higher vocational","6.66","7","120","3","5","8","10","10","6.23","7.09","0","10","6","7"
"1993","Part Time","in school","","","","","","","","","","","","","",""
"1993","Part Time","inadequately","5.85","6","90","1","5","8","9","10","5.36","6.34","0","10","5","7"
"1993","Part Time","middle vocational","6.08","6.88","1221","3","5","8","9","10","5.94","6.22","0","10","6","6"
"1993","Part Time","vocational + Abi","6.76","7","92","3","5","8","9","10","6.31","7.21","0","10","6","7"
"1994","Full Time","general elemantary","5.92","6","784","3","5","8","9","10","5.76","6.08","0","10","6","6"
"1994","Full Time","higher education","6.87","7","1023","4","6","8","9","10","6.75","6.99","0","10","7","7"
"1994","Full Time","higher vocational","6.28","6","425","3","5","8","9","10","6.09","6.47","0","10","6","7"
"1994","Full Time","in school","","","","","","","","","","","","","",""
"1994","Full Time","inadequately","6.17","7","199","3","5","8","8","10","5.84","6.5","0","10","6","7"
"1994","Full Time","middle vocational","6.27","7","3174","3","5","8","9","10","6.2","6.34","0","10","6","7"
"1994","Full Time","vocational + Abi","6.13","6","202","3","5","8","8","10","5.85","6.41","1","10","6","7"
