"plh0034","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No worries","2011","higher education","596","0.145589715357671","0.135367475374403","0.15581195534094"
"Big worries","2012","in school","53","0.164723372795883","0.120641867478119","0.208804878113647"
"Big worries","2012","inadequately","74","0.357153552429319","0.294544382896434","0.419762721962204"
"Big worries","2012","general elemantary","641","0.311273307074126","0.291365669900194","0.331180944248059"
"Big worries","2012","middle vocational","4000","0.382334733071304","0.372928842945778","0.39174062319683"
"Big worries","2012","vocational + Abi","432","0.373450584337288","0.346150205513102","0.400750963161474"
"Big worries","2012","higher vocational","648","0.440529970944195","0.414915165071922","0.466144776816469"
"Big worries","2012","higher education","1885","0.395780019818332","0.381713935277845","0.409846104358819"
"Some worries","2012","in school","130","0.553697942867021","0.494621472686431","0.61277441304761"
"Some worries","2012","inadequately","94","0.380457590413403","0.317020175258989","0.443895005567816"
"Some worries","2012","general elemantary","969","0.479670602257375","0.458190514447046","0.501150690067704"
"Some worries","2012","middle vocational","4807","0.475112073692145","0.465446385979075","0.484777761405216"
"Some worries","2012","vocational + Abi","591","0.460791646228789","0.432659359080484","0.488923933377095"
"Some worries","2012","higher vocational","664","0.47806113885453","0.452288050467135","0.503834227241926"
"Some worries","2012","higher education","2321","0.508806248510503","0.494426496910324","0.523186000110683"
"No worries","2012","in school","89","0.281578684337096","0.228128017046995","0.335029351627198"
"No worries","2012","inadequately","57","0.262388857157279","0.204905349587974","0.319872364726583"
"No worries","2012","general elemantary","468","0.209056090668499","0.191572542479405","0.226539638857592"
"No worries","2012","middle vocational","1447","0.142553193236551","0.135786234890872","0.149320151582229"
"No worries","2012","vocational + Abi","183","0.165757769433922","0.1447704259951","0.186745112872745"
"No worries","2012","higher vocational","131","0.0814088902012745","0.0672993792291276","0.0955184011734214"
"No worries","2012","higher education","437","0.0954137316711645","0.0869632943386713","0.103864169003658"
"Big worries","2013","in school","","","",""
"Big worries","2013","inadequately","49","0.253321860325899","0.19164326703888","0.315000453612918"
"Big worries","2013","general elemantary","443","0.2571994701328","0.237151572244462","0.277247368021138"
"Big worries","2013","middle vocational","3010","0.32412183282686","0.314658549792233","0.333585115861488"
"Big worries","2013","vocational + Abi","318","0.317167186418349","0.2896533873641","0.344680985472597"
"Big worries","2013","higher vocational","471","0.33925215143906","0.313778464119289","0.364725838758831"
"Big worries","2013","higher education","1491","0.330138994056819","0.316329906053793","0.343948082059845"
"Some worries","2013","in school","133","0.554571534822232","0.494042189073488","0.615100880570976"
"Some worries","2013","inadequately","83","0.416003781641153","0.346102511992252","0.485905051290055"
"Some worries","2013","general elemantary","931","0.486909837681366","0.463984337329943","0.509835338032788"
"Some worries","2013","middle vocational","4770","0.505740091131411","0.495631401530947","0.515848780731876"
"Some worries","2013","vocational + Abi","601","0.530044927043411","0.50053733592008","0.559552518166741"
"Some worries","2013","higher vocational","699","0.537648556402049","0.510823046823407","0.564474065980692"
