"m11104","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1986","(Married) couple without C. ","Male","719","0.640877082668728","0.613446306978199","0.668307858359257"
"Almost never or never","1986","(Married) couple without C. ","Female","786","0.679251455525811","0.652608105860768","0.705894805190854"
"Almost never or never","1986","Single parent ","Male","61","0.344581339132551","0.274767203041945","0.414395475223157"
"Almost never or never","1986","Single parent ","Female","207","0.62093831562456","0.568273755073603","0.673602876175516"
"Almost never or never","1986","Couple + C. LE 16 ","Male","600","0.443508654163042","0.415376697563077","0.471640610763007"
"Almost never or never","1986","Couple + C. LE 16 ","Female","745","0.546098539869452","0.517905884690757","0.574291195048147"
"Almost never or never","1986","Couple + C. GT 16 ","Male","550","0.475426475873824","0.446500353906853","0.504352597840794"
"Almost never or never","1986","Couple + C. GT 16 ","Female","553","0.55671495567037","0.524923921515784","0.588505989824955"
"Almost never or never","1986","Couple + C. LE and GT 16","Male","368","0.459858645509372","0.424190268222528","0.495527022796216"
"Almost never or never","1986","Couple + C. LE and GT 16","Female","415","0.571640029453956","0.533362285462719","0.609917773445193"
"Several times a year","1986","1-pers.-HH","Male","58","0.12739328722726","0.0966562912337911","0.15813028322073"
"Several times a year","1986","1-pers.-HH","Female","54","0.0679599257570162","0.0487299434353481","0.0871899080786843"
"Several times a year","1986","(Married) couple without C. ","Male","108","0.0823617166289874","0.066642618882547","0.0980808143754277"
"Several times a year","1986","(Married) couple without C. ","Female","110","0.082318332118266","0.0666296848871527","0.0980069793493793"
"Several times a year","1986","Single parent ","Male","30","0.16051288049101","0.106586651369464","0.214439109612556"
"Several times a year","1986","Single parent ","Female","29","","",""
"Several times a year","1986","Couple + C. LE 16 ","Male","195","0.180245442729001","0.158478684755174","0.202012200702828"
"Several times a year","1986","Couple + C. LE 16 ","Female","170","0.16831873870524","0.147131987131737","0.189505490278742"
"Several times a year","1986","Couple + C. GT 16 ","Male","159","0.140165244775938","0.120057053144442","0.160273436407433"
"Several times a year","1986","Couple + C. GT 16 ","Female","121","0.132927190761719","0.111201111041227","0.154653270482211"
"Several times a year","1986","Couple + C. LE and GT 16","Male","98","0.154322531725484","0.128468129029321","0.180176934421647"
"Several times a year","1986","Couple + C. LE and GT 16","Female","83","0.14442559374936","0.11723419490987","0.17161699258885"
"At least once a month","1986","1-pers.-HH","Male","28","","",""
"At least once a month","1986","1-pers.-HH","Female","30","0.037184949664726","0.022727550285769","0.0516423490436829"
"At least once a month","1986","(Married) couple without C. ","Male","53","0.0416721122827518","0.0302457239890203","0.0530985005764833"
"At least once a month","1986","(Married) couple without C. ","Female","53","0.043052926960834","0.0314668478687513","0.0546390060529167"
"At least once a month","1986","Single parent ","Male","15","","",""
"At least once a month","1986","Single parent ","Female","15","","",""
"At least once a month","1986","Couple + C. LE 16 ","Male","95","0.0842753143845844","0.0685444591811901","0.100006169587979"
"At least once a month","1986","Couple + C. LE 16 ","Female","65","0.0627312032931488","0.0490004750892066","0.0764619314970909"
"At least once a month","1986","Couple + C. GT 16 ","Male","75","0.0681859322217352","0.0535857804531002","0.0827860839903703"
"At least once a month","1986","Couple + C. GT 16 ","Female","47","0.0615151440537346","0.0461388622787075","0.0768914258287616"
"At least once a month","1986","Couple + C. LE and GT 16","Male","45","0.0581984250854843","0.041443102960809","0.0749537472101596"
"At least once a month","1986","Couple + C. LE and GT 16","Female","22","","",""
"At lease once a week","1986","1-pers.-HH","Male","134","0.297713746914504","0.255560075915005","0.339867417914003"
"At lease once a week","1986","1-pers.-HH","Female","130","0.166095427824873","0.137659188509663","0.194531667140082"
"At lease once a week","1986","(Married) couple without C. ","Male","295","0.235089088419533","0.210842489875302","0.259335686963763"
"At lease once a week","1986","(Married) couple without C. ","Female","230","0.195377285395089","0.172745210671566","0.218009360118612"
"At lease once a week","1986","Single parent ","Male","72","0.410650266763949","0.338379828205587","0.482920705322311"
"At lease once a week","1986","Single parent ","Female","75","0.249451075541915","0.202480975535996","0.296421175547834"
"At lease once a week","1986","Couple + C. LE 16 ","Male","308","0.291970588723372","0.266224285248913","0.317716892197831"
"At lease once a week","1986","Couple + C. LE 16 ","Female","218","0.22285151813216","0.199285864943296","0.246417171321024"
"At lease once a week","1986","Couple + C. GT 16 ","Male","361","0.316222347128503","0.289288457371598","0.343156236885409"
"At lease once a week","1986","Couple + C. GT 16 ","Female","217","0.248842709514177","0.221174912809744","0.27651050621861"
"At lease once a week","1986","Couple + C. LE and GT 16","Male","239","0.32762039767966","0.294030383213109","0.361210412146211"
"At lease once a week","1986","Couple + C. LE and GT 16","Female","122","0.243172068426854","0.209987513491197","0.276356623362512"
"Almost never or never","1987","1-pers.-HH","Male","","","",""
"Almost never or never","1987","1-pers.-HH","Female","","","",""
"Almost never or never","1987","(Married) couple without C. ","Male","","","",""
"Almost never or never","1987","(Married) couple without C. ","Female","","","",""
"Almost never or never","1987","Single parent ","Male","","","",""
"Almost never or never","1987","Single parent ","Female","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","Male","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","Female","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","Male","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","Female","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","Male","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","Female","","","",""
"Several times a year","1987","1-pers.-HH","Male","","","",""
"Several times a year","1987","1-pers.-HH","Female","","","",""
"Several times a year","1987","(Married) couple without C. ","Male","","","",""
"Several times a year","1987","(Married) couple without C. ","Female","","","",""
"Several times a year","1987","Single parent ","Male","","","",""
"Several times a year","1987","Single parent ","Female","","","",""
"Several times a year","1987","Couple + C. LE 16 ","Male","","","",""
"Several times a year","1987","Couple + C. LE 16 ","Female","","","",""
"Several times a year","1987","Couple + C. GT 16 ","Male","","","",""
"Several times a year","1987","Couple + C. GT 16 ","Female","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","Male","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","Female","","","",""
"At least once a month","1987","1-pers.-HH","Male","","","",""
"At least once a month","1987","1-pers.-HH","Female","","","",""
"At least once a month","1987","(Married) couple without C. ","Male","","","",""
"At least once a month","1987","(Married) couple without C. ","Female","","","",""
"At least once a month","1987","Single parent ","Male","","","",""
"At least once a month","1987","Single parent ","Female","","","",""
"At least once a month","1987","Couple + C. LE 16 ","Male","","","",""
"At least once a month","1987","Couple + C. LE 16 ","Female","","","",""
"At least once a month","1987","Couple + C. GT 16 ","Male","","","",""
"At least once a month","1987","Couple + C. GT 16 ","Female","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","Male","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","Female","","","",""
"At lease once a week","1987","1-pers.-HH","Male","","","",""
"At lease once a week","1987","1-pers.-HH","Female","","","",""
"At lease once a week","1987","(Married) couple without C. ","Male","","","",""
"At lease once a week","1987","(Married) couple without C. ","Female","","","",""
"At lease once a week","1987","Single parent ","Male","","","",""
"At lease once a week","1987","Single parent ","Female","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","Male","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","Female","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","Male","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","Female","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","Male","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","Female","","","",""
"Almost never or never","1988","1-pers.-HH","Male","247","0.557498247336338","0.510607332405721","0.604389162266956"
"Almost never or never","1988","1-pers.-HH","Female","421","0.704721341634229","0.66892978907604","0.740512894192417"
"Almost never or never","1988","(Married) couple without C. ","Male","676","0.609672054973378","0.581254425673144","0.638089684273611"
"Almost never or never","1988","(Married) couple without C. ","Female","733","0.645731539951626","0.617856914979067","0.673606164924186"
"Almost never or never","1988","Single parent ","Male","66","0.400402033806524","0.329986280157311","0.470817787455737"
"Almost never or never","1988","Single parent ","Female","194","0.585162716990032","0.531431825751273","0.638893608228792"
"Almost never or never","1988","Couple + C. LE 16 ","Male","538","0.433117068130645","0.403954104394588","0.462280031866702"
"Almost never or never","1988","Couple + C. LE 16 ","Female","663","0.520209999117006","0.490740110220746","0.549679888013266"
"Almost never or never","1988","Couple + C. GT 16 ","Male","576","0.468803298349361","0.440755142126318","0.496851454572404"
"Almost never or never","1988","Couple + C. GT 16 ","Female","545","0.526808996323752","0.49530763911775","0.558310353529755"
"Almost never or never","1988","Couple + C. LE and GT 16","Male","280","0.446089087778927","0.405281453016742","0.486896722541113"
"Almost never or never","1988","Couple + C. LE and GT 16","Female","315","0.516344369512008","0.473058020445185","0.559630718578832"
"Several times a year","1988","1-pers.-HH","Male","57","0.141509613410587","0.108603988239426","0.174415238581748"
"Several times a year","1988","1-pers.-HH","Female","48","0.0673077686303813","0.0476489429144714","0.0869665943462912"
"Several times a year","1988","(Married) couple without C. ","Male","124","0.103864833097414","0.0860924403643117","0.121637225830517"
"Several times a year","1988","(Married) couple without C. ","Female","127","0.108871973382936","0.0907191205255205","0.127024826240351"
"Several times a year","1988","Single parent ","Male","28","","",""
"Several times a year","1988","Single parent ","Female","50","0.164234666166185","0.123830939672493","0.204638392659877"
"Several times a year","1988","Couple + C. LE 16 ","Male","209","0.204370563246839","0.180637876316527","0.228103250177151"
"Several times a year","1988","Couple + C. LE 16 ","Female","170","0.177721949111563","0.15517211055153","0.200271787671595"
"Several times a year","1988","Couple + C. GT 16 ","Male","185","0.163209119396385","0.142437900449179","0.183980338343591"
"Several times a year","1988","Couple + C. GT 16 ","Female","121","0.135708208542038","0.114100053502841","0.157316363581234"
"Several times a year","1988","Couple + C. LE and GT 16","Male","65","0.122095410739123","0.0952182126001977","0.148972608878049"
"Several times a year","1988","Couple + C. LE and GT 16","Female","76","0.178648793386777","0.145468700009081","0.211828886764473"
"At least once a month","1988","1-pers.-HH","Male","18","","",""
"At least once a month","1988","1-pers.-HH","Female","32","0.0458808002465056","0.0294646013278763","0.0622969991651349"
"At least once a month","1988","(Married) couple without C. ","Male","44","0.0353794423057519","0.024617798199427","0.0461410864120769"
"At least once a month","1988","(Married) couple without C. ","Female","47","0.0404113727314643","0.0289348284618449","0.0518879170010837"
"At least once a month","1988","Single parent ","Male","16","","",""
"At least once a month","1988","Single parent ","Female","13","","",""
"At least once a month","1988","Couple + C. LE 16 ","Male","88","0.0884354295953681","0.0717249397255963","0.10514591946514"
"At least once a month","1988","Couple + C. LE 16 ","Female","47","0.0515247595852419","0.0384845509323382","0.0645649682381456"
"At least once a month","1988","Couple + C. GT 16 ","Male","75","0.0673046670846012","0.0532223604840923","0.0813869736851101"
"At least once a month","1988","Couple + C. GT 16 ","Female","62","0.0661094919563588","0.0504324426290647","0.0817865412836529"
"At least once a month","1988","Couple + C. LE and GT 16","Male","33","0.0615835594936764","0.0418483899978372","0.0813187289895156"
"At least once a month","1988","Couple + C. LE and GT 16","Female","20","","",""
"At lease once a week","1988","1-pers.-HH","Male","109","0.261318985999437","0.219840451237744","0.302797520761131"
"At lease once a week","1988","1-pers.-HH","Female","123","0.182090089488884","0.15181038125563","0.212369797722139"
"At lease once a week","1988","(Married) couple without C. ","Male","288","0.251083669623456","0.225822656669532","0.27634468257738"
"At lease once a week","1988","(Married) couple without C. ","Female","224","0.204985113933974","0.181458166580269","0.228512061287678"
"At lease once a week","1988","Single parent ","Male","76","0.361775949667955","0.292720485640442","0.430831413695468"
"At lease once a week","1988","Single parent ","Female","66","0.207200474568514","0.163000309271768","0.25140063986526"
"At lease once a week","1988","Couple + C. LE 16 ","Male","274","0.274076939027148","0.247824850373568","0.300329027680728"
"At lease once a week","1988","Couple + C. LE 16 ","Female","224","0.25054329218619","0.224982269855648","0.276104314516731"
"At lease once a week","1988","Couple + C. GT 16 ","Male","380","0.300682915169653","0.274909453754526","0.326456376584779"
"At lease once a week","1988","Couple + C. GT 16 ","Female","237","0.271373303177851","0.243317640278187","0.299428966077515"
"At lease once a week","1988","Couple + C. LE and GT 16","Male","192","0.370231941988273","0.33059155182742","0.409872332149126"
"At lease once a week","1988","Couple + C. LE and GT 16","Female","101","0.256771770120983","0.218932056008369","0.294611484233597"
"Almost never or never","1989","1-pers.-HH","Male","","","",""
"Almost never or never","1989","1-pers.-HH","Female","","","",""
"Almost never or never","1989","(Married) couple without C. ","Male","","","",""
"Almost never or never","1989","(Married) couple without C. ","Female","","","",""
"Almost never or never","1989","Single parent ","Male","","","",""
"Almost never or never","1989","Single parent ","Female","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","Male","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","Female","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","Male","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","Female","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","Male","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","Female","","","",""
"Several times a year","1989","1-pers.-HH","Male","","","",""
"Several times a year","1989","1-pers.-HH","Female","","","",""
"Several times a year","1989","(Married) couple without C. ","Male","","","",""
"Several times a year","1989","(Married) couple without C. ","Female","","","",""
"Several times a year","1989","Single parent ","Male","","","",""
"Several times a year","1989","Single parent ","Female","","","",""
"Several times a year","1989","Couple + C. LE 16 ","Male","","","",""
"Several times a year","1989","Couple + C. LE 16 ","Female","","","",""
"Several times a year","1989","Couple + C. GT 16 ","Male","","","",""
"Several times a year","1989","Couple + C. GT 16 ","Female","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","Male","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","Female","","","",""
"At least once a month","1989","1-pers.-HH","Male","","","",""
"At least once a month","1989","1-pers.-HH","Female","","","",""
"At least once a month","1989","(Married) couple without C. ","Male","","","",""
"At least once a month","1989","(Married) couple without C. ","Female","","","",""
"At least once a month","1989","Single parent ","Male","","","",""
"At least once a month","1989","Single parent ","Female","","","",""
"At least once a month","1989","Couple + C. LE 16 ","Male","","","",""
"At least once a month","1989","Couple + C. LE 16 ","Female","","","",""
"At least once a month","1989","Couple + C. GT 16 ","Male","","","",""
"At least once a month","1989","Couple + C. GT 16 ","Female","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","Male","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","Female","","","",""
"At lease once a week","1989","1-pers.-HH","Male","","","",""
"At lease once a week","1989","1-pers.-HH","Female","","","",""
"At lease once a week","1989","(Married) couple without C. ","Male","","","",""
"At lease once a week","1989","(Married) couple without C. ","Female","","","",""
"At lease once a week","1989","Single parent ","Male","","","",""
"At lease once a week","1989","Single parent ","Female","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","Male","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","Female","","","",""
"At lease once a week","1989","Couple + C. GT 16 ","Male","","","",""
"At lease once a week","1989","Couple + C. GT 16 ","Female","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","Male","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","Female","","","",""
"Almost never or never","1990","1-pers.-HH","Male","242","0.444197073770455","0.40111606123019","0.487278086310719"
"Almost never or never","1990","1-pers.-HH","Female","582","0.674101474881749","0.64253615302066","0.705666796742837"
"Almost never or never","1990","(Married) couple without C. ","Male","869","0.514286723574421","0.489865764669953","0.538707682478889"
"Almost never or never","1990","(Married) couple without C. ","Female","967","0.563180233161865","0.539005152931698","0.587355313392032"
"Almost never or never","1990","Single parent ","Male","74","0.283211454308548","0.225482844691987","0.340940063925109"
"Almost never or never","1990","Single parent ","Female","230","0.50592678476089","0.457824740441338","0.554028829080442"
"Almost never or never","1990","Couple + C. LE 16 ","Male","795","0.36359328779488","0.341094395348782","0.386092180240977"
"Almost never or never","1990","Couple + C. LE 16 ","Female","967","0.435691198698191","0.412617400571175","0.458764996825207"
"Almost never or never","1990","Couple + C. GT 16 ","Male","638","0.360083620146762","0.336324062081267","0.383843178212258"
"Almost never or never","1990","Couple + C. GT 16 ","Female","686","0.473228735593705","0.445876697145049","0.500580774042362"
"Almost never or never","1990","Couple + C. LE and GT 16","Male","257","0.361540700205055","0.323600209725396","0.399481190684714"
"Almost never or never","1990","Couple + C. LE and GT 16","Female","314","0.437618714081859","0.397034651605979","0.47820277655774"
"Several times a year","1990","1-pers.-HH","Male","90","0.185957283936016","0.152223284336683","0.219691283535348"
"Several times a year","1990","1-pers.-HH","Female","76","0.0935965276510484","0.0739811337054855","0.113211921596611"
"Several times a year","1990","(Married) couple without C. ","Male","266","0.172800872492046","0.154327419990058","0.191274324994034"
"Several times a year","1990","(Married) couple without C. ","Female","230","0.14474805306706","0.127598749726816","0.161897356407304"
"Several times a year","1990","Single parent ","Male","49","0.243424357142746","0.18843883468491","0.298409879600582"
"Several times a year","1990","Single parent ","Female","67","0.164513713255736","0.128844399158959","0.200183027352513"
"Several times a year","1990","Couple + C. LE 16 ","Male","391","0.254125217666999","0.233762174631343","0.274488260702655"
"Several times a year","1990","Couple + C. LE 16 ","Female","379","0.254216044257631","0.233954185689165","0.274477902826097"
"Several times a year","1990","Couple + C. GT 16 ","Male","320","0.223525020409059","0.202904393411797","0.24414564740632"
"Several times a year","1990","Couple + C. GT 16 ","Female","210","0.17759856708097","0.156662034172821","0.198535099989119"
"Several times a year","1990","Couple + C. LE and GT 16","Male","110","0.191043233337312","0.159998622442677","0.222087844231948"
"Several times a year","1990","Couple + C. LE and GT 16","Female","95","0.187265303777175","0.155350277614852","0.219180329939498"
"At least once a month","1990","1-pers.-HH","Male","40","0.0768509883120409","0.0537570355063704","0.0999449411177114"
"At least once a month","1990","1-pers.-HH","Female","40","0.0506576367563444","0.0358890044099234","0.0654262691027655"
"At least once a month","1990","(Married) couple without C. ","Male","107","0.0706670238024892","0.0581452993287943","0.0831887482761841"
"At least once a month","1990","(Married) couple without C. ","Female","101","0.0743390909262382","0.0615532980175599","0.0871248838349166"
"At least once a month","1990","Single parent ","Male","31","0.12581348538627","0.0833216186755738","0.168305352096966"
"At least once a month","1990","Single parent ","Female","24","","",""
"At least once a month","1990","Couple + C. LE 16 ","Male","147","0.107403895680468","0.0929220689901367","0.121885722370799"
"At least once a month","1990","Couple + C. LE 16 ","Female","85","0.061704157297134","0.0505072420204902","0.0729010725737777"
"At least once a month","1990","Couple + C. GT 16 ","Male","139","0.0993150291437691","0.0845113723794695","0.114118685908069"
