"m11104","year","sex","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1997","Female","308","0.0452893963295679","0.0402697440857749","0.050309048573361","3"
"At least once a month","1997","Male","455","0.0680317020983943","0.0617543721386134","0.0743090320581753","3"
"Several times a year","1997","Male","1258","0.197215117217301","0.187295648478086","0.207134585956517","2"
"Several times a year","1997","Female","1221","0.172682712539523","0.163558403794094","0.181807021284952","2"
"Almost never or never","1998","Male","2578","0.36956543229245","0.358147341278982","0.380983523305917","1"
"Almost never or never","1998","Female","3363","0.461412370126366","0.450004072681429","0.472820667571304","1"
"At lease once a week","1998","Female","1895","0.278210309641258","0.267955207767053","0.288465411515463","4"
"At lease once a week","1998","Male","2055","0.314642897185397","0.303658018996169","0.325627775374626","4"
"At least once a month","1998","Female","519","0.0692666792785296","0.0634560542987077","0.0750773042583514","3"
"At least once a month","1998","Male","587","0.0832037058065889","0.0766703609943061","0.0897370506188718","3"
"Several times a year","1998","Male","1645","0.232587964715564","0.222594047621177","0.24258188180995","2"
"Several times a year","1998","Female","1558","0.191110640953846","0.182112868052858","0.200108413854834","2"
"Almost never or never","1999","Male","2912","0.443338590267583","0.431337174604529","0.455340005930637","1"
"Almost never or never","1999","Female","3722","0.532880118094886","0.521232313453301","0.544527922736471","1"
"At lease once a week","1999","Female","1548","0.23729733248471","0.227365275466591","0.24722938950283","4"
"At lease once a week","1999","Male","1740","0.27627439159627","0.265471837802582","0.287076945389957","4"
"At least once a month","1999","Male","510","0.0718213868915719","0.0655838687136664","0.0780589050694773","3"
"At least once a month","1999","Female","417","0.0566561115109332","0.0512588489526818","0.0620533740691846","3"
"Several times a year","1999","Male","1420","0.208565631244575","0.198750457829772","0.218380804659378","2"
"Several times a year","1999","Female","1361","0.173166437909471","0.16433246519633","0.182000410622611","2"
"Almost never or never","2000","Male","","","","","1"
"Almost never or never","2000","Female","","","","","1"
"At lease once a week","2000","Female","","","","","4"
"At lease once a week","2000","Male","","","","","4"
"At least once a month","2000","Male","","","","","3"
"At least once a month","2000","Female","","","","","3"
"Several times a year","2000","Male","","","","","2"
"Several times a year","2000","Female","","","","","2"
"Almost never or never","2001","Male","4933","0.470904139665998","0.46135169602024","0.480456583311756","1"
"Almost never or never","2001","Female","5973","0.540438743259222","0.531278377798207","0.549599108720237","1"
"At lease once a week","2001","Female","2976","0.262632986863296","0.254544182202149","0.270721791524443","4"
"At lease once a week","2001","Male","2913","0.280568516164272","0.271970559818671","0.289166472509873","4"
"At least once a month","2001","Male","745","0.0714304666521022","0.0665017936305482","0.0763591396736562","3"
"At least once a month","2001","Female","627","0.0533709898902938","0.0492394648200211","0.0575025149605664","3"
"Several times a year","2001","Male","1898","0.177096877517628","0.16979119398656","0.184402561048696","2"
"Several times a year","2001","Female","1794","0.143557279987189","0.137112180430188","0.150002379544189","2"
"Almost never or never","2002","Female","","","","","1"
"Almost never or never","2002","Male","","","","","1"
"At lease once a week","2002","Male","","","","","4"
"At lease once a week","2002","Female","","","","","4"
"At least once a month","2002","Male","","","","","3"
"At least once a month","2002","Female","","","","","3"
"Several times a year","2002","Male","","","","","2"
"Several times a year","2002","Female","","","","","2"
"Almost never or never","2003","Female","4538","0.433126927983821","0.424066711330435","0.442187144637206","1"
"Almost never or never","2003","Male","3736","0.372498989307701","0.363324187158072","0.38167379145733","1"
"At lease once a week","2003","Male","3792","0.335056579285784","0.326099253601443","0.344013904970125","4"
"At lease once a week","2003","Female","4077","0.330762095324992","0.322159366975255","0.339364823674729","4"
"At least once a month","2003","Male","932","0.0886895287457998","0.0832944685172978","0.0940845889743018","3"
"At least once a month","2003","Female","802","0.064177452009936","0.0596964404479163","0.0686584635719557","3"
"Several times a year","2003","Male","2207","0.203754902660715","0.196111189825319","0.211398615496111","2"
"Several times a year","2003","Female","2073","0.171933524681252","0.165034289315199","0.178832760047304","2"
"Almost never or never","2004","Female","","","","","1"
"Almost never or never","2004","Male","","","","","1"
"At lease once a week","2004","Male","","","","","4"
"At lease once a week","2004","Female","","","","","4"
"At least once a month","2004","Male","","","","","3"
"At least once a month","2004","Female","","","","","3"
"Several times a year","2004","Male","","","","","2"
"Several times a year","2004","Female","","","","","2"
"Almost never or never","2005","Female","4536","0.452328720048593","0.44293701251529","0.461720427581895","1"
"Almost never or never","2005","Male","3852","0.407068068658701","0.397381196253192","0.416754941064211","1"
"At lease once a week","2005","Male","3233","0.308346144623798","0.299240487270451","0.317451801977145","4"
"At lease once a week","2005","Female","3547","0.303417123409906","0.29474223423926","0.312092012580551","4"
"At least once a month","2005","Male","840","0.0872827611251672","0.0817175709952779","0.0928479512550565","3"
"At least once a month","2005","Female","787","0.0726897826687748","0.0677907909858464","0.0775887743517031","3"
"Several times a year","2005","Female","1919","0.171564373872727","0.164450593828323","0.17867815391713","2"
"Several times a year","2005","Male","1956","0.197303025592334","0.189456266362266","0.205149784822401","2"
"Almost never or never","2006","Male","","","","","1"
"Almost never or never","2006","Female","","","","","1"
"At lease once a week","2006","Male","","","","","4"
"At lease once a week","2006","Female","","","","","4"
"At least once a month","2006","Male","","","","","3"
"At least once a month","2006","Female","","","","","3"
"Several times a year","2006","Female","","","","","2"
"Several times a year","2006","Male","","","","","2"
"Almost never or never","2007","Male","3823","0.395182936875104","0.385485760039753","0.404880113710455","1"
"Almost never or never","2007","Female","4384","0.435570030689853","0.426191373918407","0.4449486874613","1"
"At lease once a week","2007","Male","3294","0.330182702976809","0.320854681355523","0.339510724598095","4"
"At lease once a week","2007","Female","3855","0.337290999640055","0.32834826332932","0.34623373595079","4"
"At least once a month","2007","Male","786","0.0803501880829793","0.0749583244765232","0.0857420516894354","3"
"At least once a month","2007","Female","719","0.0619925065933905","0.0574313039554969","0.0665537092312841","3"
"Several times a year","2007","Female","1779","0.165146463076701","0.158123079323698","0.172169846829705","2"
"Several times a year","2007","Male","1861","0.194284172065108","0.186436445481053","0.202131898649163","2"
"Almost never or never","2008","Male","2943","0.317511105130705","0.308001995375436","0.327020214885974","1"
"Almost never or never","2008","Female","3427","0.359538562230031","0.350188843959434","0.368888280500628","1"
"At lease once a week","2008","Male","3626","0.389992324867797","0.380028908368075","0.399955741367519","4"
"At lease once a week","2008","Female","4187","0.391534068181881","0.38202403121735","0.401044105146412","4"
"At least once a month","2008","Female","724","0.0702071421073201","0.0652290486762921","0.0751852355383481","3"
"At least once a month","2008","Male","767","0.0868020879839392","0.0810508657882253","0.092553310179653","3"
"Several times a year","2008","Female","1781","0.178720227480768","0.171255538615678","0.186184916345858","2"
"Several times a year","2008","Male","1870","0.205694482017559","0.197437568872771","0.213951395162347","2"
"Almost never or never","2009","Male","3217","0.36462329117413","0.354453535892923","0.374793046455338","1"
"Almost never or never","2009","Female","3707","0.41098594891519","0.401051292412043","0.420920605418337","1"
"At lease once a week","2009","Male","3006","0.349257756436192","0.339184957066112","0.359330555806271","4"
"At lease once a week","2009","Female","3542","0.364010893153223","0.354295540493356","0.37372624581309","4"
"At least once a month","2009","Female","636","0.0696502476977091","0.0645102728137033","0.0747902225817148","3"
"At least once a month","2009","Male","700","0.0855696504267558","0.0796593732530374","0.0914799276004743","3"
"Several times a year","2009","Male","1682","0.200549301962922","0.192089132271513","0.209009471654331","2"
"Several times a year","2009","Female","1537","0.155352910233877","0.14803859147952","0.162667228988235","2"
"Almost never or never","2010","Male","","","","","1"
"Almost never or never","2010","Female","","","","","1"
"At lease once a week","2010","Male","","","","","4"
"At lease once a week","2010","Female","","","","","4"
"At least once a month","2010","Female","","","","","3"
"At least once a month","2010","Male","","","","","3"
"Several times a year","2010","Male","","","","","2"
"Several times a year","2010","Female","","","","","2"
"Almost never or never","2011","Male","5119","0.396416245926693","0.387958765130388","0.404873726722997","1"
"Almost never or never","2011","Female","6466","0.420080401950862","0.412316207970231","0.427844595931493","1"
"At lease once a week","2011","Female","5741","0.373447476863804","0.36583826317754","0.381056690550067","4"
"At lease once a week","2011","Male","4637","0.359735312549548","0.351437419407854","0.368033205691241","4"
"At least once a month","2011","Female","922","0.0581733503698034","0.0544912654547126","0.0618554352848942","3"
"At least once a month","2011","Male","893","0.0704923272903551","0.0660665053115107","0.0749181492691995","3"
"Several times a year","2011","Male","2201","0.173356114233404","0.166810877818032","0.179901350648777","2"
"Several times a year","2011","Female","2395","0.148298770815531","0.142708167384881","0.153889374246182","2"
"Almost never or never","2012","Male","","","","","1"
"Almost never or never","2012","Female","","","","","1"
"At lease once a week","2012","Female","","","","","4"
"At lease once a week","2012","Male","","","","","4"
"At least once a month","2012","Male","","","","","3"
"At least once a month","2012","Female","","","","","3"
"Several times a year","2012","Male","","","","","2"
"Several times a year","2012","Female","","","","","2"
"Almost never or never","2013","Male","3766","0.319604965169384","0.311093915974201","0.328116014364566","1"
"Almost never or never","2013","Female","4707","0.331302902758381","0.323496986930037","0.339108818586726","1"
"At lease once a week","2013","Female","6783","0.494266142199093","0.485974549314191","0.502557735083995","4"
"At lease once a week","2013","Male","5323","0.468352085135854","0.459244692490181","0.477459477781527","4"
"At least once a month","2013","Male","618","0.0561221354395384","0.0519214441273839","0.060322826751693","3"
"At least once a month","2013","Female","637","0.0463521739495362","0.0428653855708704","0.049838962328202","3"
"Several times a year","2013","Male","1825","0.155920814255224","0.149299572933087","0.162542055577361","2"
"Several times a year","2013","Female","1840","0.12807878109299","0.122536688967813","0.133620873218167","2"
"Almost never or never","2014","Male","","","","","1"
"Almost never or never","2014","Female","","","","","1"
"At lease once a week","2014","Female","","","","","4"
"At lease once a week","2014","Male","","","","","4"
"At least once a month","2014","Male","","","","","3"
"At least once a month","2014","Female","","","","","3"
"Several times a year","2014","Female","","","","","2"
"Several times a year","2014","Male","","","","","2"
"Almost never or never","2015","Female","5729","0.387124868309868","0.379197196265998","0.395052540353739","1"
"Almost never or never","2015","Male","4698","0.368872568569608","0.360365336580308","0.377379800558907","1"
"At lease once a week","2015","Male","5084","0.423558983320156","0.414846821087085","0.432271145553226","4"
"At lease once a week","2015","Female","6204","0.440473606509112","0.432393736486442","0.448553476531781","4"
"At least once a month","2015","Male","750","0.0604106073162451","0.0562099503158291","0.0646112643166611","3"
"At least once a month","2015","Female","699","0.0509600020205894","0.0473807595739301","0.0545392444672486","3"
"Several times a year","2015","Male","1825","0.147157840793991","0.140911616118578","0.153404065469405","2"
"Several times a year","2015","Female","1870","0.121441523160431","0.116125301505363","0.126757744815498","2"
"Almost never or never","2016","Female","","","","","1"
"Almost never or never","2016","Male","","","","","1"
"At lease once a week","2016","Male","","","","","4"
"At lease once a week","2016","Female","","","","","4"
"At least once a month","2016","Male","","","","","3"
"At least once a month","2016","Female","","","","","3"
"Several times a year","2016","Male","","","","","2"
"Several times a year","2016","Female","","","","","2"
"Almost never or never","2017","Female","6804","0.376836905978869","0.369449993221241","0.384223818736496","1"
"Almost never or never","2017","Male","5662","0.351150621720812","0.343669815865492","0.358631427576131","1"
"At lease once a week","2017","Male","6817","0.445870836915405","0.438080795727632","0.453660878103177","4"
"At lease once a week","2017","Female","6927","0.46504562096622","0.457442506204306","0.472648735728135","4"
"At least once a month","2017","Female","746","0.0451990763999144","0.0420323788344167","0.0483657739654121","3"
"At least once a month","2017","Male","901","0.0569394665573364","0.0533077980595719","0.0605711350551008","3"
"Several times a year","2017","Male","2260","0.146039074806448","0.14050451286079","0.151573636752105","2"
"Several times a year","2017","Female","2055","0.112918396654996","0.108093927539495","0.117742865770498","2"
"Almost never or never","2018","Female","902","0.603513379639974","0.578490183344316","0.628536575935632","1"
"Almost never or never","2018","Male","917","0.309714773408004","0.291165917319315","0.328263629496692","1"
"At lease once a week","2018","Male","919","0.447271683900034","0.427325333653556","0.467218034146512","4"
"At lease once a week","2018","Female","283","0.193263451670444","0.173064641140357","0.213462262200532","4"
"At least once a month","2018","Male","162","0.0805565540490314","0.0696387616414369","0.091474346456626","3"
"At least once a month","2018","Female","54","0.0323332771652964","0.0232848555414963","0.0413816987890964","3"
"Several times a year","2018","Female","229","0.170889891524286","0.151634632937395","0.190145150111176","2"
"Several times a year","2018","Male","389","0.162456988642931","0.147659274263644","0.177254703022218","2"
"Almost never or never","2019","Male","4044","0.27499973158967","0.267732493994195","0.282266969185146","1"
"Almost never or never","2019","Female","4556","0.288576336645383","0.281291520672948","0.295861152617817","1"
"At lease once a week","2019","Male","7703","0.535646603961607","0.527529564981361","0.543763642941852","4"
"At lease once a week","2019","Female","7870","0.54365145353692","0.535643294553246","0.551659612520595","4"
"At least once a month","2019","Male","771","0.0509614233126375","0.047382133633366","0.0545407129919089","3"
"At least once a month","2019","Female","594","0.0432319100792853","0.0399620465519735","0.0465017736065972","3"
"Several times a year","2019","Female","1841","0.124540299738411","0.119231490662419","0.129849108814404","2"
"Several times a year","2019","Male","1984","0.138392241136085","0.132772131181468","0.144012351090703","2"
