"m11104","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Single parent ","31","0.698306872038919","0.56708536265781","0.829528381420027"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","105","0.604595489605295","0.531312479989899","0.677878499220691"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","86","0.559329505226041","0.480662389582258","0.637996620869825"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","75","0.596851745002505","0.508345744981015","0.685357745023994"
"Almost never or never","1984","Baden-Württemberg","1-pers.-HH","161","0.751388512696931","0.694014831524476","0.808762193869386"
"Almost never or never","1984","Baden-Württemberg","(Married) couple without C. ","313","0.779002159073335","0.738135997839906","0.819868320306764"
"Almost never or never","1984","Baden-Württemberg","Single parent ","73","0.609923825026109","0.520775808967901","0.699071841084317"
"Almost never or never","1984","Baden-Württemberg","Couple + C. LE 16 ","415","0.566083701834402","0.52777601648312","0.604391387185684"
"Almost never or never","1984","Baden-Württemberg","Couple + C. GT 16 ","236","0.591521332997779","0.542547679452351","0.640494986543207"
"Almost never or never","1984","Baden-Württemberg","Couple + C. LE and GT 16","218","0.642392309129023","0.590913372677079","0.693871245580966"
"Almost never or never","1984","Bavaria","1-pers.-HH","126","0.678958894207624","0.613928324588346","0.743989463826901"
"Almost never or never","1984","Bavaria","(Married) couple without C. ","301","0.646601108321246","0.603657806975201","0.689544409667291"
"Almost never or never","1984","Bavaria","Single parent ","59","0.618420256628578","0.520218631862003","0.716621881395154"
"Almost never or never","1984","Bavaria","Couple + C. LE 16 ","315","0.57459458604092","0.532303317661975","0.616885854419865"
"Almost never or never","1984","Bavaria","Couple + C. GT 16 ","184","0.573212014173002","0.519019807351413","0.627404220994591"
"Almost never or never","1984","Bavaria","Couple + C. LE and GT 16","185","0.540278432139945","0.485416043168297","0.595140821111593"
"Almost never or never","1984","Berlin","1-pers.-HH","48","0.719781394013166","0.615317139619449","0.824245648406882"
"Almost never or never","1984","Berlin","(Married) couple without C. ","59","0.582988167639868","0.487301360299105","0.678674974980631"
"Almost never or never","1984","Berlin","Single parent ","13","","",""
"Almost never or never","1984","Berlin","Couple + C. LE 16 ","60","0.634340790713067","0.53538824482835","0.733293336597784"
"Almost never or never","1984","Berlin","Couple + C. GT 16 ","23","","",""
"Almost never or never","1984","Berlin","Couple + C. LE and GT 16","26","","",""
"Almost never or never","1984","Brandenburg","1-pers.-HH","","","",""
"Almost never or never","1984","Brandenburg","(Married) couple without C. ","","","",""
"Almost never or never","1984","Brandenburg","Single parent ","","","",""
"Almost never or never","1984","Brandenburg","Couple + C. LE 16 ","","","",""
"Almost never or never","1984","Brandenburg","Couple + C. GT 16 ","","","",""
"Almost never or never","1984","Brandenburg","Couple + C. LE and GT 16","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Almost never or never","1984","Saxony","1-pers.-HH","","","",""
"Almost never or never","1984","Saxony","(Married) couple without C. ","","","",""
"Almost never or never","1984","Saxony","Single parent ","","","",""
"Almost never or never","1984","Saxony","Couple + C. LE 16 ","","","",""
"Almost never or never","1984","Saxony","Couple + C. GT 16 ","","","",""
"Almost never or never","1984","Saxony","Couple + C. LE and GT 16","","","",""
"Almost never or never","1984","Saxony-Anhalt","1-pers.-HH","","","",""
"Almost never or never","1984","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Almost never or never","1984","Saxony-Anhalt","Single parent ","","","",""
"Almost never or never","1984","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Almost never or never","1984","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Almost never or never","1984","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Almost never or never","1984","Thuringia","1-pers.-HH","","","",""
"Almost never or never","1984","Thuringia","(Married) couple without C. ","","","",""
"Almost never or never","1984","Thuringia","Single parent ","","","",""
"Almost never or never","1984","Thuringia","Couple + C. LE 16 ","","","",""
"Almost never or never","1984","Thuringia","Couple + C. GT 16 ","","","",""
"Almost never or never","1984","Thuringia","Couple + C. LE and GT 16","","","",""
"Several times a year","1984","Schleswig-Holstein","1-pers.-HH","10","","",""
"Several times a year","1984","Schleswig-Holstein","(Married) couple without C. ","15","","",""
"Several times a year","1984","Schleswig-Holstein","Single parent ","4","","",""
"Several times a year","1984","Schleswig-Holstein","Couple + C. LE 16 ","17","","",""
"Several times a year","1984","Schleswig-Holstein","Couple + C. GT 16 ","12","","",""
"Several times a year","1984","Schleswig-Holstein","Couple + C. LE and GT 16","7","","",""
"Several times a year","1984","Hamburg","1-pers.-HH","8","","",""
"Several times a year","1984","Hamburg","(Married) couple without C. ","15","","",""
"Several times a year","1984","Hamburg","Single parent ","7","","",""
"Several times a year","1984","Hamburg","Couple + C. LE 16 ","11","","",""
"Several times a year","1984","Hamburg","Couple + C. GT 16 ","8","","",""
"Several times a year","1984","Hamburg","Couple + C. LE and GT 16","5","","",""
"Several times a year","1984","Lower Saxony","1-pers.-HH","14","","",""
"Several times a year","1984","Lower Saxony","(Married) couple without C. ","32","0.105230184962367","0.0686968536959493","0.141763516228784"
"Several times a year","1984","Lower Saxony","Single parent ","15","","",""
"Several times a year","1984","Lower Saxony","Couple + C. LE 16 ","54","0.197085189376873","0.15082039353932","0.243349985214427"
"Several times a year","1984","Lower Saxony","Couple + C. GT 16 ","43","0.216652353137856","0.161197553901665","0.272107152374046"
"Several times a year","1984","Lower Saxony","Couple + C. LE and GT 16","33","0.241196331622329","0.171563484960287","0.310829178284371"
"Several times a year","1984","Bremen","1-pers.-HH","5","","",""
"Several times a year","1984","Bremen","(Married) couple without C. ","4","","",""
"Several times a year","1984","Bremen","Single parent ","","","",""
"Several times a year","1984","Bremen","Couple + C. LE 16 ","3","","",""
"Several times a year","1984","Bremen","Couple + C. GT 16 ","3","","",""
"Several times a year","1984","Bremen","Couple + C. LE and GT 16","","","",""
"Several times a year","1984","North Rhine-Westphalia","1-pers.-HH","62","0.137772705735828","0.102795416185935","0.172749995285721"
"Several times a year","1984","North Rhine-Westphalia","(Married) couple without C. ","101","0.136865129302313","0.111385374731898","0.162344883872727"
"Several times a year","1984","North Rhine-Westphalia","Single parent ","29","","",""
"Several times a year","1984","North Rhine-Westphalia","Couple + C. LE 16 ","191","0.242411309053724","0.213602068620704","0.271220549486745"
"Several times a year","1984","North Rhine-Westphalia","Couple + C. GT 16 ","103","0.212053715308255","0.176260519429761","0.24784691118675"
"Several times a year","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","94","0.202503864855421","0.166664898352943","0.238342831357899"
"Several times a year","1984","Hesse","1-pers.-HH","17","","",""
"Several times a year","1984","Hesse","(Married) couple without C. ","42","0.124398941603125","0.0861493717031401","0.16264851150311"
"Several times a year","1984","Hesse","Single parent ","9","","",""
"Several times a year","1984","Hesse","Couple + C. LE 16 ","60","0.235896393467769","0.187200376435239","0.2845924105003"
"Several times a year","1984","Hesse","Couple + C. GT 16 ","37","0.15541110647289","0.108280951076469","0.20254126186931"
"Several times a year","1984","Hesse","Couple + C. LE and GT 16","30","0.129394649997809","0.078182271708067","0.18060702828755"
"Several times a year","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","10","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","18","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","Single parent ","5","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","39","0.22323341552503","0.160820437533557","0.285646393516504"
"Several times a year","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","33","0.209369249376109","0.144901030090861","0.273837468661357"
"Several times a year","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","13","","",""
"Several times a year","1984","Baden-Württemberg","1-pers.-HH","24","","",""
"Several times a year","1984","Baden-Württemberg","(Married) couple without C. ","50","0.129279445489627","0.0962345306703091","0.162324360308946"
"Several times a year","1984","Baden-Württemberg","Single parent ","15","","",""
"Several times a year","1984","Baden-Württemberg","Couple + C. LE 16 ","132","0.229841927000699","0.197322179286605","0.262361674714792"
"Several times a year","1984","Baden-Württemberg","Couple + C. GT 16 ","87","0.242014720673637","0.199342633487283","0.284686807859991"
"Several times a year","1984","Baden-Württemberg","Couple + C. LE and GT 16","58","0.18972776591445","0.147615665883919","0.231839865944981"
"Several times a year","1984","Bavaria","1-pers.-HH","35","0.147735984462317","0.0983110938135141","0.19716087511112"
"Several times a year","1984","Bavaria","(Married) couple without C. ","92","0.183442181629679","0.148673542794224","0.218210820465134"
"Several times a year","1984","Bavaria","Single parent ","12","","",""
"Several times a year","1984","Bavaria","Couple + C. LE 16 ","118","0.222347862861978","0.18677837566797","0.257917350055986"
"Several times a year","1984","Bavaria","Couple + C. GT 16 ","79","0.252280330403119","0.20469378256253","0.299866878243708"
"Several times a year","1984","Bavaria","Couple + C. LE and GT 16","75","0.255307347329814","0.207307633180348","0.303307061479281"
"Several times a year","1984","Berlin","1-pers.-HH","9","","",""
"Several times a year","1984","Berlin","(Married) couple without C. ","22","","",""
"Several times a year","1984","Berlin","Single parent ","10","","",""
"Several times a year","1984","Berlin","Couple + C. LE 16 ","22","","",""
"Several times a year","1984","Berlin","Couple + C. GT 16 ","7","","",""
"Several times a year","1984","Berlin","Couple + C. LE and GT 16","11","","",""
"Several times a year","1984","Brandenburg","1-pers.-HH","","","",""
"Several times a year","1984","Brandenburg","(Married) couple without C. ","","","",""
"Several times a year","1984","Brandenburg","Single parent ","","","",""
"Several times a year","1984","Brandenburg","Couple + C. LE 16 ","","","",""
"Several times a year","1984","Brandenburg","Couple + C. GT 16 ","","","",""
"Several times a year","1984","Brandenburg","Couple + C. LE and GT 16","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Several times a year","1984","Saxony","1-pers.-HH","","","",""
"Several times a year","1984","Saxony","(Married) couple without C. ","","","",""
"Several times a year","1984","Saxony","Single parent ","","","",""
"Several times a year","1984","Saxony","Couple + C. LE 16 ","","","",""
"Several times a year","1984","Saxony","Couple + C. GT 16 ","","","",""
"Several times a year","1984","Saxony","Couple + C. LE and GT 16","","","",""
"Several times a year","1984","Saxony-Anhalt","1-pers.-HH","","","",""
"Several times a year","1984","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Several times a year","1984","Saxony-Anhalt","Single parent ","","","",""
"Several times a year","1984","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Several times a year","1984","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Several times a year","1984","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Several times a year","1984","Thuringia","1-pers.-HH","","","",""
"Several times a year","1984","Thuringia","(Married) couple without C. ","","","",""
"Several times a year","1984","Thuringia","Single parent ","","","",""
"Several times a year","1984","Thuringia","Couple + C. LE 16 ","","","",""
"Several times a year","1984","Thuringia","Couple + C. GT 16 ","","","",""
"Several times a year","1984","Thuringia","Couple + C. LE and GT 16","","","",""
"At least once a month","1984","Schleswig-Holstein","1-pers.-HH","12","","",""
"At least once a month","1984","Schleswig-Holstein","(Married) couple without C. ","14","","",""
"At least once a month","1984","Schleswig-Holstein","Single parent ","5","","",""
"At least once a month","1984","Schleswig-Holstein","Couple + C. LE 16 ","28","","",""
"At least once a month","1984","Schleswig-Holstein","Couple + C. GT 16 ","23","","",""
"At least once a month","1984","Schleswig-Holstein","Couple + C. LE and GT 16","10","","",""
"At least once a month","1984","Hamburg","1-pers.-HH","13","","",""
"At least once a month","1984","Hamburg","(Married) couple without C. ","13","","",""
"At least once a month","1984","Hamburg","Single parent ","2","","",""
"At least once a month","1984","Hamburg","Couple + C. LE 16 ","12","","",""
"At least once a month","1984","Hamburg","Couple + C. GT 16 ","5","","",""
"At least once a month","1984","Hamburg","Couple + C. LE and GT 16","10","","",""
"At least once a month","1984","Lower Saxony","1-pers.-HH","22","","",""
"At least once a month","1984","Lower Saxony","(Married) couple without C. ","42","0.14303315468494","0.101349689574683","0.184716619795196"
"At least once a month","1984","Lower Saxony","Single parent ","11","","",""
"At least once a month","1984","Lower Saxony","Couple + C. LE 16 ","65","0.259125768741945","0.20816728847597","0.310084249007919"
"At least once a month","1984","Lower Saxony","Couple + C. GT 16 ","54","0.246209920135513","0.188219247919058","0.304200592351969"
"At least once a month","1984","Lower Saxony","Couple + C. LE and GT 16","26","","",""
"At least once a month","1984","Bremen","1-pers.-HH","7","","",""
"At least once a month","1984","Bremen","(Married) couple without C. ","","","",""
"At least once a month","1984","Bremen","Single parent ","","","",""
"At least once a month","1984","Bremen","Couple + C. LE 16 ","6","","",""
"At least once a month","1984","Bremen","Couple + C. GT 16 ","4","","",""
"At least once a month","1984","Bremen","Couple + C. LE and GT 16","1","","",""
"At least once a month","1984","North Rhine-Westphalia","1-pers.-HH","70","0.167095361239088","0.129235979949077","0.2049547425291"
"At least once a month","1984","North Rhine-Westphalia","(Married) couple without C. ","110","0.152159925240475","0.125533269915686","0.178786580565264"
"At least once a month","1984","North Rhine-Westphalia","Single parent ","26","","",""
"At least once a month","1984","North Rhine-Westphalia","Couple + C. LE 16 ","122","0.169901566766331","0.144655012233354","0.195148121299308"
"At least once a month","1984","North Rhine-Westphalia","Couple + C. GT 16 ","100","0.207038637660643","0.171558855720668","0.242518419600617"
"At least once a month","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","100","0.255206485115523","0.216325404924351","0.294087565306695"
"At least once a month","1984","Hesse","1-pers.-HH","25","","",""
"At least once a month","1984","Hesse","(Married) couple without C. ","51","0.173028033151941","0.129188219047696","0.216867847256186"
"At least once a month","1984","Hesse","Single parent ","9","","",""
"At least once a month","1984","Hesse","Couple + C. LE 16 ","43","0.185608600028969","0.141015023822058","0.23020217623588"
"At least once a month","1984","Hesse","Couple + C. GT 16 ","56","0.279181874242893","0.220825053841509","0.337538694644276"
"At least once a month","1984","Hesse","Couple + C. LE and GT 16","28","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","10","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","39","0.174299340782704","0.122112709915346","0.226485971650063"
"At least once a month","1984","Rhineland-Palatinate,Saarland","Single parent ","11","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","27","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","34","0.231301245397849","0.164486941218966","0.298115549576733"
"At least once a month","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","30","0.268001169144778","0.188085741945195","0.34791659634436"
"At least once a month","1984","Baden-Württemberg","1-pers.-HH","33","0.133478073862865","0.0883325613268671","0.178623586398863"
"At least once a month","1984","Baden-Württemberg","(Married) couple without C. ","33","0.0917183954370373","0.063290874929654","0.120145915944421"
"At least once a month","1984","Baden-Württemberg","Single parent ","27","","",""
"At least once a month","1984","Baden-Württemberg","Couple + C. LE 16 ","96","0.204074371164899","0.17292329299363","0.235225449336169"
"At least once a month","1984","Baden-Württemberg","Couple + C. GT 16 ","64","0.166463946328584","0.129351900455068","0.2035759922021"
"At least once a month","1984","Baden-Württemberg","Couple + C. LE and GT 16","57","0.167879924956528","0.127736136328551","0.208023713584504"
"At least once a month","1984","Bavaria","1-pers.-HH","37","0.17330512133006","0.120582885690277","0.226027356969842"
"At least once a month","1984","Bavaria","(Married) couple without C. ","83","0.169956710049075","0.136215228812665","0.203698191285484"
"At least once a month","1984","Bavaria","Single parent ","23","","",""
"At least once a month","1984","Bavaria","Couple + C. LE 16 ","92","0.203057551097101","0.168647010824949","0.237468091369254"
"At least once a month","1984","Bavaria","Couple + C. GT 16 ","57","0.174507655423879","0.132922639825699","0.216092671022059"
"At least once a month","1984","Bavaria","Couple + C. LE and GT 16","57","0.20441422053024","0.16002091146679","0.248807529593691"
"At least once a month","1984","Berlin","1-pers.-HH","14","","",""
"At least once a month","1984","Berlin","(Married) couple without C. ","21","","",""
"At least once a month","1984","Berlin","Single parent ","3","","",""
"At least once a month","1984","Berlin","Couple + C. LE 16 ","9","","",""
"At least once a month","1984","Berlin","Couple + C. GT 16 ","9","","",""
"At least once a month","1984","Berlin","Couple + C. LE and GT 16","11","","",""
"At least once a month","1984","Brandenburg","1-pers.-HH","","","",""
"At least once a month","1984","Brandenburg","(Married) couple without C. ","","","",""
"At least once a month","1984","Brandenburg","Single parent ","","","",""
"At least once a month","1984","Brandenburg","Couple + C. LE 16 ","","","",""
"At least once a month","1984","Brandenburg","Couple + C. GT 16 ","","","",""
"At least once a month","1984","Brandenburg","Couple + C. LE and GT 16","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","Single parent ","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"At least once a month","1984","Saxony","1-pers.-HH","","","",""
"At least once a month","1984","Saxony","(Married) couple without C. ","","","",""
"At least once a month","1984","Saxony","Single parent ","","","",""
"At least once a month","1984","Saxony","Couple + C. LE 16 ","","","",""
"At least once a month","1984","Saxony","Couple + C. GT 16 ","","","",""
"At least once a month","1984","Saxony","Couple + C. LE and GT 16","","","",""
"At least once a month","1984","Saxony-Anhalt","1-pers.-HH","","","",""
"At least once a month","1984","Saxony-Anhalt","(Married) couple without C. ","","","",""
"At least once a month","1984","Saxony-Anhalt","Single parent ","","","",""
"At least once a month","1984","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"At least once a month","1984","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"At least once a month","1984","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"At least once a month","1984","Thuringia","1-pers.-HH","","","",""
"At least once a month","1984","Thuringia","(Married) couple without C. ","","","",""
"At least once a month","1984","Thuringia","Single parent ","","","",""
"At least once a month","1984","Thuringia","Couple + C. LE 16 ","","","",""
"At least once a month","1984","Thuringia","Couple + C. GT 16 ","","","",""
"At least once a month","1984","Thuringia","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Schleswig-Holstein","1-pers.-HH","","","",""
"At lease once a week","1984","Schleswig-Holstein","(Married) couple without C. ","","","",""
"At lease once a week","1984","Schleswig-Holstein","Single parent ","","","",""
"At lease once a week","1984","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Hamburg","1-pers.-HH","","","",""
"At lease once a week","1984","Hamburg","(Married) couple without C. ","","","",""
"At lease once a week","1984","Hamburg","Single parent ","","","",""
"At lease once a week","1984","Hamburg","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Hamburg","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Hamburg","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Lower Saxony","1-pers.-HH","","","",""
"At lease once a week","1984","Lower Saxony","(Married) couple without C. ","","","",""
"At lease once a week","1984","Lower Saxony","Single parent ","","","",""
"At lease once a week","1984","Lower Saxony","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Lower Saxony","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Lower Saxony","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Bremen","1-pers.-HH","","","",""
"At lease once a week","1984","Bremen","(Married) couple without C. ","","","",""
"At lease once a week","1984","Bremen","Single parent ","","","",""
"At lease once a week","1984","Bremen","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Bremen","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Bremen","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","North Rhine-Westphalia","1-pers.-HH","","","",""
"At lease once a week","1984","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"At lease once a week","1984","North Rhine-Westphalia","Single parent ","","","",""
"At lease once a week","1984","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Hesse","1-pers.-HH","","","",""
"At lease once a week","1984","Hesse","(Married) couple without C. ","","","",""
"At lease once a week","1984","Hesse","Single parent ","","","",""
"At lease once a week","1984","Hesse","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Hesse","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Hesse","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Baden-Württemberg","1-pers.-HH","","","",""
"At lease once a week","1984","Baden-Württemberg","(Married) couple without C. ","","","",""
"At lease once a week","1984","Baden-Württemberg","Single parent ","","","",""
"At lease once a week","1984","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Bavaria","1-pers.-HH","","","",""
"At lease once a week","1984","Bavaria","(Married) couple without C. ","","","",""
"At lease once a week","1984","Bavaria","Single parent ","","","",""
"At lease once a week","1984","Bavaria","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Bavaria","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Bavaria","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Berlin","1-pers.-HH","","","",""
"At lease once a week","1984","Berlin","(Married) couple without C. ","","","",""
"At lease once a week","1984","Berlin","Single parent ","","","",""
"At lease once a week","1984","Berlin","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Berlin","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Berlin","Couple + C. LE and GT 16","","","",""
"At lease once a week","1984","Brandenburg","1-pers.-HH","","","",""
"At lease once a week","1984","Brandenburg","(Married) couple without C. ","","","",""
"At lease once a week","1984","Brandenburg","Single parent ","","","",""
"At lease once a week","1984","Brandenburg","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Brandenburg","Couple + C. GT 16 ","","","",""
