"m11104","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1985","no migration background","West Germany","421","0.0493109889343592","0.0445340944768931","0.0540878833918253","3"
"At least once a month","1985","no migration background","East Germany","","","","","3"
"At least once a month","1985","direct migration background","West Germany","111","0.0374876172312845","0.0305943207549909","0.0443809137075781","3"
"At least once a month","1985","direct migration background","East Germany","","","","","3"
"At least once a month","1985","indirect migration background","West Germany","10","","","","3"
"At least once a month","1985","indirect migration background","East Germany","","","","","3"
"Several times a year","1985","no migration background","West Germany","1104","0.129200545155597","0.121800305235399","0.136600785075795","2"
"Several times a year","1985","no migration background","East Germany","","","","","2"
"Several times a year","1985","direct migration background","East Germany","","","","","2"
"Several times a year","1985","direct migration background","West Germany","301","0.103350895886755","0.0923037965636212","0.114397995209889","2"
"Several times a year","1985","indirect migration background","West Germany","28","","","","2"
"Several times a year","1985","indirect migration background","East Germany","","","","","2"
"Almost never or never","1986","no migration background","West Germany","4070","0.572432345726993","0.561267813241822","0.583596878212164","1"
"Almost never or never","1986","no migration background","East Germany","","","","","1"
"Almost never or never","1986","direct migration background","West Germany","2009","0.679518530762941","0.662322281523188","0.696714780002694","1"
"Almost never or never","1986","direct migration background","East Germany","","","","","1"
"Almost never or never","1986","indirect migration background","West Germany","59","0.469562373880464","0.390994310551388","0.54813043720954","1"
"Almost never or never","1986","indirect migration background","East Germany","","","","","1"
"At lease once a week","1986","no migration background","West Germany","2060","0.253816747324556","0.243995674688476","0.263637819960637","4"
"At lease once a week","1986","no migration background","East Germany","","","","","4"
"At lease once a week","1986","direct migration background","West Germany","423","0.168625527889861","0.154828306883281","0.182422748896441","4"
"At lease once a week","1986","indirect migration background","West Germany","60","0.332814315761167","0.258630938524639","0.406997692997696","4"
"At lease once a week","1986","direct migration background","East Germany","","","","","4"
"At lease once a week","1986","indirect migration background","East Germany","","","","","4"
"At least once a month","1986","no migration background","West Germany","431","0.0530464773035437","0.0479885958809515","0.0581043587261359","3"
"At least once a month","1986","no migration background","East Germany","","","","","3"
"At least once a month","1986","direct migration background","West Germany","124","0.050259115789507","0.0422082681818144","0.0583099633971996","3"
"At least once a month","1986","direct migration background","East Germany","","","","","3"
"At least once a month","1986","indirect migration background","West Germany","12","","","","3"
"At least once a month","1986","indirect migration background","East Germany","","","","","3"
"Several times a year","1986","no migration background","West Germany","982","0.120704429644907","0.113352436660728","0.128056422629086","2"
"Several times a year","1986","no migration background","East Germany","","","","","2"
"Several times a year","1986","direct migration background","West Germany","273","0.101596825557691","0.0904639507482053","0.112729700367177","2"
"Several times a year","1986","direct migration background","East Germany","","","","","2"
"Several times a year","1986","indirect migration background","West Germany","24","","","","2"
"Several times a year","1986","indirect migration background","East Germany","","","","","2"
"Almost never or never","1987","no migration background","West Germany","","","","","1"
"Almost never or never","1987","no migration background","East Germany","","","","","1"
"Almost never or never","1987","direct migration background","West Germany","","","","","1"
"Almost never or never","1987","direct migration background","East Germany","","","","","1"
"Almost never or never","1987","indirect migration background","West Germany","","","","","1"
"Almost never or never","1987","indirect migration background","East Germany","","","","","1"
"At lease once a week","1987","no migration background","West Germany","","","","","4"
"At lease once a week","1987","no migration background","East Germany","","","","","4"
"At lease once a week","1987","direct migration background","West Germany","","","","","4"
"At lease once a week","1987","indirect migration background","West Germany","","","","","4"
"At lease once a week","1987","direct migration background","East Germany","","","","","4"
"At lease once a week","1987","indirect migration background","East Germany","","","","","4"
"At least once a month","1987","no migration background","East Germany","","","","","3"
"At least once a month","1987","no migration background","West Germany","","","","","3"
"At least once a month","1987","direct migration background","East Germany","","","","","3"
"At least once a month","1987","direct migration background","West Germany","","","","","3"
"At least once a month","1987","indirect migration background","West Germany","","","","","3"
"At least once a month","1987","indirect migration background","East Germany","","","","","3"
"Several times a year","1987","no migration background","East Germany","","","","","2"
"Several times a year","1987","no migration background","West Germany","","","","","2"
"Several times a year","1987","direct migration background","East Germany","","","","","2"
"Several times a year","1987","direct migration background","West Germany","","","","","2"
"Several times a year","1987","indirect migration background","West Germany","","","","","2"
"Several times a year","1987","indirect migration background","East Germany","","","","","2"
"Almost never or never","1988","no migration background","West Germany","3630","0.548453327853334","0.536823639684406","0.560083016022262","1"
"Almost never or never","1988","no migration background","East Germany","","","","","1"
"Almost never or never","1988","direct migration background","West Germany","1934","0.691168858832228","0.673611471223407","0.708726246441049","1"
"Almost never or never","1988","direct migration background","East Germany","","","","","1"
"Almost never or never","1988","indirect migration background","West Germany","79","0.522368331290206","0.456513607692656","0.588223054887755","1"
"Almost never or never","1988","indirect migration background","East Germany","","","","","1"
"At lease once a week","1988","no migration background","West Germany","1945","0.257941543222801","0.24771740727976","0.268165679165842","4"
"At lease once a week","1988","no migration background","East Germany","","","","","4"
"At lease once a week","1988","direct migration background","West Germany","389","0.171063005901128","0.156752793389461","0.185373218412794","4"
"At lease once a week","1988","direct migration background","East Germany","","","","","4"
"At lease once a week","1988","indirect migration background","West Germany","85","0.271551382718957","0.212913615501371","0.330189149936544","4"
"At lease once a week","1988","indirect migration background","East Germany","","","","","4"
"At least once a month","1988","no migration background","West Germany","418","0.0556538522795006","0.0502963775522922","0.0610113270067091","3"
"At least once a month","1988","no migration background","East Germany","","","","","3"
"At least once a month","1988","direct migration background","West Germany","85","0.0300073222659278","0.0235238878525485","0.036490756679307","3"
"At least once a month","1988","direct migration background","East Germany","","","","","3"
"At least once a month","1988","indirect migration background","West Germany","18","","","","3"
"At least once a month","1988","indirect migration background","East Germany","","","","","3"
"Several times a year","1988","no migration background","West Germany","1041","0.137951276644364","0.129892378301321","0.146010174987407","2"
"Several times a year","1988","no migration background","East Germany","","","","","2"
"Several times a year","1988","direct migration background","East Germany","","","","","2"
"Several times a year","1988","direct migration background","West Germany","252","0.107760813000716","0.0959772033056655","0.119544422695767","2"
"Several times a year","1988","indirect migration background","West Germany","39","0.14119307201485","0.0952831645356244","0.187102979494075","2"
"Several times a year","1988","indirect migration background","East Germany","","","","","2"
"Almost never or never","1989","no migration background","West Germany","","","","","1"
"Almost never or never","1989","no migration background","East Germany","","","","","1"
"Almost never or never","1989","direct migration background","West Germany","","","","","1"
"Almost never or never","1989","direct migration background","East Germany","","","","","1"
"Almost never or never","1989","indirect migration background","West Germany","","","","","1"
"Almost never or never","1989","indirect migration background","East Germany","","","","","1"
"At lease once a week","1989","no migration background","West Germany","","","","","4"
"At lease once a week","1989","no migration background","East Germany","","","","","4"
"At lease once a week","1989","indirect migration background","West Germany","","","","","4"
"At lease once a week","1989","direct migration background","West Germany","","","","","4"
"At lease once a week","1989","direct migration background","East Germany","","","","","4"
"At lease once a week","1989","indirect migration background","East Germany","","","","","4"
"At least once a month","1989","no migration background","East Germany","","","","","3"
"At least once a month","1989","no migration background","West Germany","","","","","3"
"At least once a month","1989","direct migration background","East Germany","","","","","3"
"At least once a month","1989","direct migration background","West Germany","","","","","3"
"At least once a month","1989","indirect migration background","West Germany","","","","","3"
"At least once a month","1989","indirect migration background","East Germany","","","","","3"
"Several times a year","1989","no migration background","East Germany","","","","","2"
"Several times a year","1989","no migration background","West Germany","","","","","2"
"Several times a year","1989","direct migration background","East Germany","","","","","2"
"Several times a year","1989","direct migration background","West Germany","","","","","2"
"Several times a year","1989","indirect migration background","West Germany","","","","","2"
"Several times a year","1989","indirect migration background","East Germany","","","","","2"
"Almost never or never","1990","no migration background","West Germany","2557","0.409149643364545","0.397323479541288","0.420975807187802","1"
"Almost never or never","1990","no migration background","East Germany","2849","0.705524646747477","0.691700179092526","0.719349114402427","1"
"Almost never or never","1990","direct migration background","West Germany","1606","0.576941310174133","0.557655948122919","0.596226672225346","1"
"Almost never or never","1990","direct migration background","East Germany","105","0.788559646964763","0.719679761077231","0.857439532852296","1"
"Almost never or never","1990","indirect migration background","West Germany","90","0.343048933384519","0.288784037569531","0.397313829199507","1"
"Almost never or never","1990","indirect migration background","East Germany","1","","","","1"
"At lease once a week","1990","no migration background","West Germany","2067","0.299526499723436","0.288509139938996","0.310543859507876","4"
"At lease once a week","1990","no migration background","East Germany","565","0.128089065136653","0.117953220706941","0.138224909566364","4"
"At lease once a week","1990","direct migration background","West Germany","418","0.200210524443617","0.184590095260284","0.215830953626949","4"
"At lease once a week","1990","indirect migration background","West Germany","113","0.325394598514397","0.2718390461836","0.378950150845193","4"
"At lease once a week","1990","direct migration background","East Germany","16","","","","4"
"At lease once a week","1990","indirect migration background","East Germany","","","","","4"
"At least once a month","1990","no migration background","West Germany","614","0.0891964928971485","0.082340816846159","0.0960521689481381","3"
"At least once a month","1990","no migration background","East Germany","144","0.0312788200648928","0.0259993245595346","0.036558315570251","3"
"At least once a month","1990","direct migration background","East Germany","4","","","","3"
"At least once a month","1990","direct migration background","West Germany","149","0.0606242721806943","0.0513088057688333","0.0699397385925554","3"
"At least once a month","1990","indirect migration background","West Germany","42","0.124527973144092","0.0867856157700736","0.16227033051811","3"
"At least once a month","1990","indirect migration background","East Germany","","","","","3"
"Several times a year","1990","no migration background","West Germany","1402","0.20212736401487","0.192468114321029","0.211786613708712","2"
"Several times a year","1990","no migration background","East Germany","618","0.135107468050978","0.124739620630654","0.145475315471301","2"
"Several times a year","1990","direct migration background","West Germany","348","0.162223893201556","0.147833155308852","0.176614631094261","2"
"Several times a year","1990","direct migration background","East Germany","10","","","","2"
"Several times a year","1990","indirect migration background","West Germany","49","0.207028494956993","0.160713856411874","0.253343133502112","2"
"Several times a year","1990","indirect migration background","East Germany","1","","","","2"
"Almost never or never","1991","no migration background","West Germany","","","","","1"
"Almost never or never","1991","no migration background","East Germany","","","","","1"
"Almost never or never","1991","direct migration background","West Germany","","","","","1"
"Almost never or never","1991","direct migration background","East Germany","","","","","1"
"Almost never or never","1991","indirect migration background","West Germany","","","","","1"
"Almost never or never","1991","indirect migration background","East Germany","","","","","1"
"At lease once a week","1991","no migration background","West Germany","","","","","4"
"At lease once a week","1991","no migration background","East Germany","","","","","4"
"At lease once a week","1991","indirect migration background","West Germany","","","","","4"
"At lease once a week","1991","direct migration background","West Germany","","","","","4"
"At lease once a week","1991","direct migration background","East Germany","","","","","4"
"At lease once a week","1991","indirect migration background","East Germany","","","","","4"
"At least once a month","1991","no migration background","East Germany","","","","","3"
"At least once a month","1991","no migration background","West Germany","","","","","3"
"At least once a month","1991","direct migration background","East Germany","","","","","3"
"At least once a month","1991","direct migration background","West Germany","","","","","3"
"At least once a month","1991","indirect migration background","West Germany","","","","","3"
"At least once a month","1991","indirect migration background","East Germany","","","","","3"
"Several times a year","1991","no migration background","East Germany","","","","","2"
"Several times a year","1991","no migration background","West Germany","","","","","2"
"Several times a year","1991","direct migration background","West Germany","","","","","2"
"Several times a year","1991","direct migration background","East Germany","","","","","2"
"Several times a year","1991","indirect migration background","West Germany","","","","","2"
"Several times a year","1991","indirect migration background","East Germany","","","","","2"
"Almost never or never","1992","no migration background","West Germany","3076","0.501502047890552","0.489300845961286","0.513703249819819","1"
"Almost never or never","1992","no migration background","East Germany","2484","0.685913157487729","0.671132200794358","0.7006941141811","1"
"Almost never or never","1992","direct migration background","West Germany","1627","0.650423233439343","0.631193314748884","0.669653152129803","1"
"Almost never or never","1992","direct migration background","East Germany","106","0.741986314547833","0.670769358267029","0.813203270828637","1"
"Almost never or never","1992","indirect migration background","West Germany","107","0.344648115470827","0.297420227896843","0.391876003044811","1"
"Almost never or never","1992","indirect migration background","East Germany","1","","","","1"
"At lease once a week","1992","no migration background","West Germany","1796","0.267048425647655","0.256252317606379","0.27784453368893","4"
"At lease once a week","1992","no migration background","East Germany","477","0.11950714954366","0.109177086625797","0.129837212461523","4"
"At lease once a week","1992","direct migration background","West Germany","343","0.172311638476963","0.157081674551664","0.187541602402262","4"
"At lease once a week","1992","indirect migration background","West Germany","158","0.37315770413116","0.325096057849305","0.421219350413015","4"
"At lease once a week","1992","direct migration background","East Germany","17","","","","4"
"At lease once a week","1992","indirect migration background","East Germany","4","","","","4"
"At least once a month","1992","no migration background","West Germany","473","0.0699812147151169","0.0637557587033461","0.0762066707268878","3"
"At least once a month","1992","no migration background","East Germany","139","0.0358080086335395","0.0298908263185888","0.0417251909484903","3"
"At least once a month","1992","direct migration background","East Germany","5","","","","3"
"At least once a month","1992","direct migration background","West Germany","100","0.0426267126003036","0.0344798626473352","0.0507735625532719","3"
"At least once a month","1992","indirect migration background","West Germany","46","0.0896831111684424","0.0612892193493152","0.118077002987569","3"
"At least once a month","1992","indirect migration background","East Germany","1","","","","3"
"Several times a year","1992","no migration background","West Germany","1106","0.161468311746676","0.152489105193498","0.170447518299855","2"
"Several times a year","1992","no migration background","East Germany","688","0.158771684335071","0.147133464049597","0.170409904620545","2"
"Several times a year","1992","direct migration background","East Germany","17","","","","2"
"Several times a year","1992","direct migration background","West Germany","292","0.13463841548339","0.120872932740702","0.148403898226078","2"
"Several times a year","1992","indirect migration background","West Germany","78","0.19251106922957","0.153330618097264","0.231691520361877","2"
"Several times a year","1992","indirect migration background","East Germany","4","","","","2"
"Almost never or never","1993","no migration background","West Germany","","","","","1"
"Almost never or never","1993","no migration background","East Germany","","","","","1"
"Almost never or never","1993","direct migration background","West Germany","","","","","1"
"Almost never or never","1993","direct migration background","East Germany","","","","","1"
"Almost never or never","1993","indirect migration background","West Germany","","","","","1"
"Almost never or never","1993","indirect migration background","East Germany","","","","","1"
"At lease once a week","1993","no migration background","West Germany","","","","","4"
"At lease once a week","1993","no migration background","East Germany","","","","","4"
"At lease once a week","1993","direct migration background","West Germany","","","","","4"
"At lease once a week","1993","direct migration background","East Germany","","","","","4"
"At lease once a week","1993","indirect migration background","West Germany","","","","","4"
"At lease once a week","1993","indirect migration background","East Germany","","","","","4"
"At least once a month","1993","no migration background","East Germany","","","","","3"
"At least once a month","1993","no migration background","West Germany","","","","","3"
"At least once a month","1993","direct migration background","East Germany","","","","","3"
"At least once a month","1993","direct migration background","West Germany","","","","","3"
"At least once a month","1993","indirect migration background","West Germany","","","","","3"
"At least once a month","1993","indirect migration background","East Germany","","","","","3"
"Several times a year","1993","no migration background","East Germany","","","","","2"
"Several times a year","1993","no migration background","West Germany","","","","","2"
"Several times a year","1993","direct migration background","West Germany","","","","","2"
"Several times a year","1993","direct migration background","East Germany","","","","","2"
"Several times a year","1993","indirect migration background","West Germany","","","","","2"
"Several times a year","1993","indirect migration background","East Germany","","","","","2"
"Almost never or never","1994","no migration background","West Germany","2954","0.48962504041056","0.477310371911269","0.501939708909851","1"
"Almost never or never","1994","no migration background","East Germany","2349","0.692468604843026","0.677333064178557","0.707604145507495","1"
"Almost never or never","1994","direct migration background","West Germany","1471","0.631267199130445","0.611129664876398","0.651404733384492","1"
"Almost never or never","1994","direct migration background","East Germany","107","0.770114142772369","0.699913316425713","0.840314969119024","1"
"Almost never or never","1994","indirect migration background","West Germany","121","0.255899108337678","0.216532555194929","0.295265661480427","1"
"Almost never or never","1994","indirect migration background","East Germany","7","","","","1"
"At lease once a week","1994","no migration background","East Germany","451","0.118327179677121","0.107733443603546","0.128920915750697","4"
"At lease once a week","1994","no migration background","West Germany","1727","0.26421541104125","0.253353639789777","0.275077182292723","4"
"At lease once a week","1994","direct migration background","West Germany","298","0.174729664451278","0.15887981166359","0.190579517238967","4"
"At lease once a week","1994","direct migration background","East Germany","7","","","","4"
"At lease once a week","1994","indirect migration background","West Germany","174","0.353700288213652","0.310567078226721","0.396833498200582","4"
"At lease once a week","1994","indirect migration background","East Germany","4","","","","4"
"At least once a month","1994","no migration background","West Germany","469","0.0673193471407893","0.0611465405764143","0.0734921537051643","3"
"At least once a month","1994","no migration background","East Germany","139","0.0361780088770256","0.030053462719893","0.0423025550341583","3"
"At least once a month","1994","direct migration background","East Germany","10","","","","3"
"At least once a month","1994","direct migration background","West Germany","97","0.0406359409105593","0.0323947366884211","0.0488771451326974","3"
"At least once a month","1994","indirect migration background","West Germany","63","0.110645330801597","0.0823456763789077","0.138944985224286","3"
"At least once a month","1994","indirect migration background","East Germany","","","","","3"
"Several times a year","1994","no migration background","West Germany","1180","0.178840201407401","0.169399752396064","0.188280650418738","2"
"Several times a year","1994","no migration background","East Germany","632","0.153026206602827","0.141218350318584","0.164834062887069","2"
"Several times a year","1994","direct migration background","East Germany","14","","","","2"
"Several times a year","1994","direct migration background","West Germany","339","0.153367195507717","0.138326858131878","0.168407532883556","2"
"Several times a year","1994","indirect migration background","West Germany","114","0.279755272647073","0.239259818315442","0.320250726978705","2"
"Several times a year","1994","indirect migration background","East Germany","5","","","","2"
"Almost never or never","1995","no migration background","West Germany","2396","0.397990460250933","0.386047684537827","0.409933235964038","1"
"Almost never or never","1995","no migration background","East Germany","1621","0.511621890473282","0.495097019388856","0.528146761557707","1"
"Almost never or never","1995","direct migration background","East Germany","89","0.6279181537502","0.548695236124665","0.707141071375735","1"
"Almost never or never","1995","direct migration background","West Germany","1655","0.553010131605487","0.534062687414586","0.571957575796387","1"
"Almost never or never","1995","indirect migration background","East Germany","3","","","","1"
"Almost never or never","1995","indirect migration background","West Germany","120","0.252837352378011","0.214509647862524","0.291165056893498","1"
"At lease once a week","1995","no migration background","West Germany","2124","0.314954201782303","0.303621048434059","0.326287355130547","4"
"At lease once a week","1995","no migration background","East Germany","690","0.180667451335655","0.167948377474883","0.193386525196426","4"
"At lease once a week","1995","direct migration background","West Germany","432","0.221996699888268","0.206158740258004","0.237834659518531","4"
"At lease once a week","1995","direct migration background","East Germany","21","","","","4"
"At lease once a week","1995","indirect migration background","West Germany","214","0.43402499647994","0.39031904159658","0.477730951363299","4"
"At lease once a week","1995","indirect migration background","East Germany","4","","","","4"
"At least once a month","1995","no migration background","East Germany","219","0.0578841742579131","0.0501641707608304","0.0656041777549958","3"
"At least once a month","1995","no migration background","West Germany","541","0.0804919050362075","0.0738541512363159","0.0871296588360991","3"
"At least once a month","1995","direct migration background","East Germany","6","","","","3"
"At least once a month","1995","direct migration background","West Germany","133","0.0522214622478815","0.0437430759174573","0.0606998485783057","3"
"At least once a month","1995","indirect migration background","West Germany","58","0.100763611222694","0.074219180562085","0.127308041883303","3"
"At least once a month","1995","indirect migration background","East Germany","3","","","","3"
"Several times a year","1995","no migration background","East Germany","985","0.249826483933151","0.235514971633657","0.264137996232644","2"
"Several times a year","1995","no migration background","West Germany","1392","0.206563432930557","0.196685863621292","0.216441002239822","2"
"Several times a year","1995","direct migration background","East Germany","27","","","","2"
"Several times a year","1995","direct migration background","West Germany","425","0.172771706258364","0.158364351368797","0.187179061147931","2"
"Several times a year","1995","indirect migration background","West Germany","102","0.212374039919355","0.176308258867552","0.248439820971158","2"
"Several times a year","1995","indirect migration background","East Germany","6","","","","2"
"Almost never or never","1996","no migration background","West Germany","2680","0.442901094914405","0.430699002684669","0.45510318714414","1"
"Almost never or never","1996","no migration background","East Germany","1973","0.60465882969959","0.588474923356366","0.620842736042814","1"
"Almost never or never","1996","direct migration background","West Germany","1608","0.595997115111317","0.576629958394391","0.615364271828243","1"
"Almost never or never","1996","direct migration background","East Germany","97","0.732879849052044","0.659325152700664","0.806434545403425","1"
"Almost never or never","1996","indirect migration background","West Germany","144","0.252653246188799","0.215447847302601","0.289858645074996","1"
"Almost never or never","1996","indirect migration background","East Germany","5","","","","1"
"At lease once a week","1996","no migration background","West Germany","1823","0.279651480471869","0.268626072482905","0.290676888460834","4"
"At lease once a week","1996","no migration background","East Germany","566","0.146825860972779","0.135110322496939","0.15854139944862","4"
"At lease once a week","1996","direct migration background","West Germany","316","0.167400405597177","0.152665481422081","0.182135329772273","4"
"At lease once a week","1996","direct migration background","East Germany","12","","","","4"
"At lease once a week","1996","indirect migration background","West Germany","170","0.361634534349854","0.320495689942566","0.402773378757141","4"
"At lease once a week","1996","indirect migration background","East Germany","5","","","","4"
"At least once a month","1996","no migration background","East Germany","196","0.0452369859193357","0.0383578045631615","0.05211616727551","3"
"At least once a month","1996","no migration background","West Germany","507","0.0757290727526924","0.0692300846818848","0.0822280608235","3"
"At least once a month","1996","direct migration background","East Germany","7","","","","3"
"At least once a month","1996","direct migration background","West Germany","139","0.0665580032071187","0.0567202626453799","0.0763957437688575","3"
"At least once a month","1996","indirect migration background","West Germany","72","0.137837897536022","0.108321644006905","0.167354151065139","3"
"At least once a month","1996","indirect migration background","East Germany","1","","","","3"
"Several times a year","1996","no migration background","East Germany","771","0.203278323408295","0.189957195854258","0.216599450962332","2"
"Several times a year","1996","no migration background","West Germany","1356","0.201718351861034","0.191860879862441","0.211575823859626","2"
"Several times a year","1996","direct migration background","East Germany","23","","","","2"
"Several times a year","1996","direct migration background","West Germany","403","0.170044476084387","0.155217239099207","0.184871713069568","2"
"Several times a year","1996","indirect migration background","West Germany","138","0.247874321925325","0.210904834846682","0.284843809003968","2"
"Several times a year","1996","indirect migration background","East Germany","9","","","","2"
"Almost never or never","1997","no migration background","West Germany","2760","0.463689136846826","0.45135847696176","0.476019796731891","1"
"Almost never or never","1997","no migration background","East Germany","1987","0.608516524563247","0.592236962883092","0.624796086243403","1"
"Almost never or never","1997","direct migration background","East Germany","103","0.776721697915165","0.705679382983357","0.847764012846972","1"
"Almost never or never","1997","direct migration background","West Germany","1580","0.631504424577653","0.611946486242519","0.651062362912787","1"
"Almost never or never","1997","indirect migration background","East Germany","4","","","","1"
"Almost never or never","1997","indirect migration background","West Germany","125","0.221781825089819","0.186934822241585","0.256628827938052","1"
"At lease once a week","1997","no migration background","West Germany","1845","0.289253517216706","0.278042081141621","0.300464953291791","4"
"At lease once a week","1997","no migration background","East Germany","579","0.154132123596917","0.142088764139918","0.166175483053916","4"
"At lease once a week","1997","direct migration background","West Germany","317","0.174099772600845","0.15872595834786","0.189473586853829","4"
"At lease once a week","1997","direct migration background","East Germany","6","","","","4"
"At lease once a week","1997","indirect migration background","West Germany","222","0.400881869178596","0.359774828919995","0.441988909437198","4"
"At lease once a week","1997","indirect migration background","East Germany","3","","","","4"
"At least once a month","1997","no migration background","West Germany","437","0.0606379313714255","0.0547365557339985","0.0665393070088525","3"
"At least once a month","1997","no migration background","East Germany","156","0.0402093223616945","0.0336569066567644","0.0467617380666246","3"
"At least once a month","1997","direct migration background","West Germany","99","0.0475517053150596","0.0389234599408099","0.0561799506893093","3"
"At least once a month","1997","direct migration background","East Germany","3","","","","3"
"At least once a month","1997","indirect migration background","West Germany","67","0.126466346971965","0.0985872259509135","0.154345467993017","3"
"At least once a month","1997","indirect migration background","East Germany","1","","","","3"
"Several times a year","1997","no migration background","West Germany","1241","0.186419414565043","0.17678976641098","0.196049062719106","2"
"Several times a year","1997","no migration background","East Germany","731","0.197142029478141","0.183872400653969","0.210411658302313","2"
"Several times a year","1997","direct migration background","East Germany","20","","","","2"
"Several times a year","1997","direct migration background","West Germany","341","0.146844097506442","0.132493790844001","0.161194404168883","2"
"Several times a year","1997","indirect migration background","West Germany","132","0.25086995875962","0.214507377437793","0.287232540081446","2"
"Several times a year","1997","indirect migration background","East Germany","14","","","","2"
"Almost never or never","1998","no migration background","West Germany","2661","0.374820591338963","0.36385999261579","0.385781190062135","1"
"Almost never or never","1998","no migration background","East Germany","1627","0.476562974449745","0.460487248393207","0.492638700506283","1"
"Almost never or never","1998","direct migration background","East Germany","77","0.646706759606098","0.560825980721641","0.732587538490555","1"
"Almost never or never","1998","direct migration background","West Germany","1433","0.575569451963416","0.555286197762038","0.595852706164795","1"
"Almost never or never","1998","indirect migration background","East Germany","4","","","","1"
"Almost never or never","1998","indirect migration background","West Germany","139","0.218127413888403","0.184343087576687","0.251911740200119","1"
"At lease once a week","1998","no migration background","West Germany","2541","0.338012075453497","0.32730153548272","0.348722615424274","4"
"At lease once a week","1998","no migration background","East Germany","829","0.204538689861653","0.191555676807288","0.217521702916019","4"
"At lease once a week","1998","direct migration background","West Germany","335","0.192550014614847","0.176368653804494","0.2087313754252","4"
"At lease once a week","1998","direct migration background","East Germany","18","","","","4"
"At lease once a week","1998","indirect migration background","West Germany","219","0.423670448484509","0.38324622600243","0.464094670966588","4"
"At lease once a week","1998","indirect migration background","East Germany","8","","","","4"
"At least once a month","1998","no migration background","East Germany","243","0.0608899673136976","0.0531931826044289","0.0685867520229663","3"
"At least once a month","1998","no migration background","West Germany","663","0.0825672048217873","0.0763354386941013","0.0887989709494732","3"
"At least once a month","1998","direct migration background","East Germany","5","","","","3"
"At least once a month","1998","direct migration background","West Germany","118","0.0550151902178398","0.0456581354476731","0.0643722449880065","3"
"At least once a month","1998","indirect migration background","West Germany","74","0.136980977276233","0.10885339140263","0.165108563149835","3"
"At least once a month","1998","indirect migration background","East Germany","3","","","","3"
"Several times a year","1998","no migration background","East Germany","1009","0.258008368374904","0.243925386249825","0.272091350499983","2"
"Several times a year","1998","no migration background","West Germany","1628","0.204600128385753","0.195466024768316","0.21373423200319","2"
"Several times a year","1998","direct migration background","East Germany","19","","","","2"
"Several times a year","1998","direct migration background","West Germany","395","0.176865343203896","0.161207127819567","0.192523558588225","2"
"Several times a year","1998","indirect migration background","West Germany","142","0.221221160350855","0.187265471200053","0.255176849501657","2"
"Several times a year","1998","indirect migration background","East Germany","10","","","","2"
