"m11104","year","regtyp","n","percent","lower_confidence","upper_confidence"
"At lease once a week","2001","Rural Area","1759","0.238284254677985","0.22862303561557","0.247945473740399"
"Almost never or never","2002","Urban Area","","","",""
"Almost never or never","2002","Rural Area","","","",""
"Several times a year","2002","Urban Area","","","",""
"Several times a year","2002","Rural Area","","","",""
"At least once a month","2002","Urban Area","","","",""
"At least once a month","2002","Rural Area","","","",""
"At lease once a week","2002","Urban Area","","","",""
"At lease once a week","2002","Rural Area","","","",""
"Almost never or never","2003","Urban Area","5409","0.394170597602649","0.386308054125718","0.40203314107958"
"Almost never or never","2003","Rural Area","2865","0.424821145389038","0.413495670877119","0.436146619900956"
"Several times a year","2003","Urban Area","2701","0.180938148802742","0.174744177423591","0.187132120181893"
"Several times a year","2003","Rural Area","1579","0.201715180083765","0.192521272900771","0.210909087266758"
"At least once a month","2003","Urban Area","1192","0.078762805290088","0.0744287734886234","0.0830968370915526"
"At least once a month","2003","Rural Area","542","0.0701235202311269","0.0642729745491762","0.0759740659130776"
"At lease once a week","2003","Urban Area","5537","0.346128448304521","0.338474057310085","0.353782839298956"
"At lease once a week","2003","Rural Area","2332","0.303340154296071","0.292807757076843","0.313872551515298"
"Almost never or never","2004","Urban Area","","","",""
"Almost never or never","2004","Rural Area","","","",""
"Several times a year","2004","Urban Area","","","",""
"Several times a year","2004","Rural Area","","","",""
"At least once a month","2004","Urban Area","","","",""
"At least once a month","2004","Rural Area","","","",""
"At lease once a week","2004","Urban Area","","","",""
"At lease once a week","2004","Rural Area","","","",""
"Almost never or never","2005","Urban Area","5456","0.418921372569129","0.410700931169043","0.427141813969215"
"Almost never or never","2005","Rural Area","2932","0.455725868265704","0.443916277469154","0.467535459062253"
"Several times a year","2005","Urban Area","2482","0.177036931752479","0.170677277024914","0.183396586480045"
"Several times a year","2005","Rural Area","1393","0.199611652308053","0.190133635256705","0.2090896693594"
"At least once a month","2005","Urban Area","1132","0.0824608308873259","0.0778778548375892","0.0870438069370626"
"At least once a month","2005","Rural Area","495","0.0738113724900228","0.0676114604985869","0.0800112844814587"
"At lease once a week","2005","Urban Area","4768","0.321580864791066","0.31379860773778","0.329363121844352"
"At lease once a week","2005","Rural Area","2012","0.270851106936221","0.260313364483542","0.2813888493889"
"Almost never or never","2006","Urban Area","","","",""
"Almost never or never","2006","Rural Area","","","",""
"Several times a year","2006","Urban Area","","","",""
"Several times a year","2006","Rural Area","","","",""
"At least once a month","2006","Urban Area","","","",""
"At least once a month","2006","Rural Area","","","",""
"At lease once a week","2006","Urban Area","","","",""
"At lease once a week","2006","Rural Area","","","",""
"Almost never or never","2007","Urban Area","5208","0.404784931195275","0.396523270142584","0.413046592247966"
"Almost never or never","2007","Rural Area","2999","0.440037666800533","0.428359856861053","0.451715476740013"
"Several times a year","2007","Urban Area","2302","0.176315071537675","0.169900856364162","0.182729286711188"
"Several times a year","2007","Rural Area","1338","0.185660642970331","0.176513200090374","0.194808085850287"
"At least once a month","2007","Urban Area","1029","0.0721937238263851","0.0678376360620745","0.0765498115906957"
"At least once a month","2007","Rural Area","476","0.068113722504195","0.0621867101162474","0.0740407348921425"
"At lease once a week","2007","Urban Area","5021","0.346706273440665","0.338695889358447","0.354716657522882"
"At lease once a week","2007","Rural Area","2128","0.306187967724941","0.295344903191074","0.317031032258809"
"Almost never or never","2008","Urban Area","4061","0.331405051931891","0.323245321383779","0.339564782480003"
"Almost never or never","2008","Rural Area","2309","0.355820827825027","0.344218502499038","0.367423153151016"
"Several times a year","2008","Urban Area","2296","0.184084156534623","0.177366069914034","0.190802243155212"
"Several times a year","2008","Rural Area","1355","0.208653344253","0.198805932965222","0.218500755540778"
"At least once a month","2008","Urban Area","1012","0.0761547665345793","0.0715568311181979","0.0807527019509606"
"At least once a month","2008","Rural Area","479","0.082876272280528","0.0761950628485938","0.0895574817124622"
"At lease once a week","2008","Urban Area","5415","0.408356024998907","0.399835538021932","0.416876511975882"
"At lease once a week","2008","Rural Area","2398","0.352649555641445","0.341070652736825","0.364228458546065"
"Almost never or never","2009","Urban Area","4260","0.369012879352394","0.360308702407892","0.377717056296896"
"Almost never or never","2009","Rural Area","2664","0.430005232251416","0.417702819465467","0.442307645037365"
"Several times a year","2009","Urban Area","2057","0.177797848320496","0.17090102252362","0.184694674117372"
"Several times a year","2009","Rural Area","1162","0.176491189523674","0.167017620353727","0.185964758693621"
"At least once a month","2009","Urban Area","882","0.0751676903469897","0.0704116689320399","0.0799237117619394"
"At least once a month","2009","Rural Area","454","0.0822258305846321","0.075399457188387","0.0890522039808772"
"At lease once a week","2009","Urban Area","4607","0.37802158198012","0.369274913683701","0.38676825027654"
"At lease once a week","2009","Rural Area","1941","0.311277747640278","0.299772020100101","0.322783475180455"
"Almost never or never","2010","Urban Area","","","",""
"Almost never or never","2010","Rural Area","","","",""
"Several times a year","2010","Urban Area","","","",""
"Several times a year","2010","Rural Area","","","",""
"At least once a month","2010","Urban Area","","","",""
"At least once a month","2010","Rural Area","","","",""
"At lease once a week","2010","Urban Area","","","",""
"At lease once a week","2010","Rural Area","","","",""
"Almost never or never","2011","Urban Area","7059","0.391149620186176","0.38408992721876","0.398209313153592"
"Almost never or never","2011","Rural Area","4526","0.446093135917783","0.436359194655852","0.455827077179714"
"Several times a year","2011","Urban Area","2895","0.156826607365518","0.151566102980766","0.16208711175027"
"Several times a year","2011","Rural Area","1701","0.16816675984893","0.160842802761625","0.175490716936234"
"At least once a month","2011","Urban Area","1224","0.0673271519354906","0.0637020614193318","0.0709522424516495"
"At least once a month","2011","Rural Area","591","0.0573004574684095","0.0527492852456416","0.0618516296911775"
"At lease once a week","2011","Urban Area","7178","0.384696620512815","0.377658399468626","0.391734841557004"
"At lease once a week","2011","Rural Area","3200","0.328439646764877","0.31924303421977","0.337636259309984"
"Almost never or never","2012","Urban Area","","","",""
"Almost never or never","2012","Rural Area","","","",""
"Several times a year","2012","Urban Area","","","",""
"Several times a year","2012","Rural Area","","","",""
"At least once a month","2012","Urban Area","","","",""
"At least once a month","2012","Rural Area","","","",""
"At lease once a week","2012","Urban Area","","","",""
"At lease once a week","2012","Rural Area","","","",""
"Almost never or never","2013","Urban Area","5233","0.314734873486735","0.307620465523363","0.321849281450106"
"Almost never or never","2013","Rural Area","3240","0.347733496956658","0.337964533066697","0.357502460846619"
"Several times a year","2013","Urban Area","2194","0.132869013711026","0.127669158809127","0.138068868612925"
"Several times a year","2013","Rural Area","1471","0.159065621854077","0.15156353790445","0.166567705803704"
"At least once a month","2013","Urban Area","815","0.0515309402532347","0.0481441941935216","0.0549176863129477"
"At least once a month","2013","Rural Area","440","0.0501485119914067","0.0456716925220249","0.0546253314607885"
"At lease once a week","2013","Urban Area","8127","0.500865172549004","0.493205567604181","0.508524777493827"
"At lease once a week","2013","Rural Area","3979","0.443052369197859","0.432862997285135","0.453241741110583"
"Almost never or never","2014","Urban Area","","","",""
"Almost never or never","2014","Rural Area","","","",""
"Several times a year","2014","Urban Area","","","",""
"Several times a year","2014","Rural Area","","","",""
"At least once a month","2014","Urban Area","","","",""
"At least once a month","2014","Rural Area","","","",""
"At lease once a week","2014","Urban Area","","","",""
"At lease once a week","2014","Rural Area","","","",""
"Almost never or never","2015","Urban Area","6524","0.363575594920821","0.356490888696981","0.37066030114466"
"Almost never or never","2015","Rural Area","3903","0.410186326990791","0.40010806713632","0.420264586845262"
"Several times a year","2015","Urban Area","2369","0.125290877284336","0.120415113860406","0.130166640708267"
"Several times a year","2015","Rural Area","1326","0.153205234958348","0.145825114866889","0.160585355049807"
"At least once a month","2015","Urban Area","943","0.0561486812879994","0.0527581118273863","0.0595392507486125"
"At least once a month","2015","Rural Area","506","0.0543648348529373","0.049719057554642","0.0590106121512326"
"At lease once a week","2015","Urban Area","7873","0.454984846506844","0.447650628297524","0.462319064716164"
"At lease once a week","2015","Rural Area","3415","0.382243603197923","0.372286883461231","0.392200322934615"
"Almost never or never","2016","Urban Area","","","",""
"Almost never or never","2016","Rural Area","","","",""
"Several times a year","2016","Urban Area","","","",""
"Several times a year","2016","Rural Area","","","",""
"At least once a month","2016","Urban Area","","","",""
"At least once a month","2016","Rural Area","","","",""
"At lease once a week","2016","Urban Area","","","",""
"At lease once a week","2016","Rural Area","","","",""
"Almost never or never","2017","Urban Area","7822","0.346278764767681","0.339869969847226","0.352687559688137"
"Almost never or never","2017","Rural Area","4644","0.403419062624143","0.394251272923192","0.412586852325094"
"Several times a year","2017","Urban Area","2758","0.124636954300071","0.120187726250545","0.129086182349596"
"Several times a year","2017","Rural Area","1557","0.139317308211808","0.132846242342681","0.145788374080934"
"At least once a month","2017","Urban Area","1078","0.0503612634135364","0.0474155216808134","0.0533070051462593"
"At least once a month","2017","Rural Area","569","0.0523469614226126","0.0481847688792845","0.0565091539659407"
"At lease once a week","2017","Urban Area","9514","0.478723017518712","0.471994125216688","0.485451909820735"
"At lease once a week","2017","Rural Area","4230","0.404916667741436","0.39574341269148","0.414089922791393"
"Almost never or never","2018","Urban Area","1326","0.393642500019317","0.375677474366884","0.411607525671749"
"Almost never or never","2018","Rural Area","493","0.37899886278581","0.349138556047205","0.408859169524415"
"Several times a year","2018","Urban Area","478","0.172485858221434","0.158593469290601","0.186378247152266"
"Several times a year","2018","Rural Area","140","0.14379931272405","0.122202219408401","0.1653964060397"
"At least once a month","2018","Urban Area","172","0.0706702299853468","0.0612466558557565","0.0800938041149372"
"At least once a month","2018","Rural Area","44","0.058646177000088","0.0441842750661576","0.0731080789340184"
"At lease once a week","2018","Urban Area","865","0.363201411773903","0.345517135784599","0.380885687763207"
"At lease once a week","2018","Rural Area","337","0.418555647490052","0.388191590707155","0.448919704272949"
"Almost never or never","2019","Urban Area","5101","0.27589121542776","0.269348028113752","0.282434402741768"
"Almost never or never","2019","Rural Area","3078","0.299389329151858","0.290320356977147","0.308458301326569"
"Several times a year","2019","Urban Area","2234","0.126341924294843","0.121478266614279","0.131205581975407"
"Several times a year","2019","Rural Area","1397","0.148803469046191","0.141756165347931","0.155850772744451"
"At least once a month","2019","Urban Area","799","0.0457936163264779","0.0427334703895969","0.0488537622633589"
"At least once a month","2019","Rural Area","485","0.0482975583799236","0.0440521964917108","0.0525429202681364"
"At lease once a week","2019","Urban Area","9791","0.551973243950919","0.544693275496011","0.559253212405827"
"At lease once a week","2019","Rural Area","4837","0.503509643422028","0.493609058753855","0.513410228090202"
