"m11104","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1988","West Germany","Female","3108","0.60893595810052","0.595413906402313","0.622458009798727"
"Almost never or never","1988","East Germany","Male","","","",""
"Almost never or never","1988","East Germany","Female","","","",""
"Several times a year","1988","West Germany","Male","704","0.148103960501931","0.13817061485535","0.158037306148511"
"Several times a year","1988","West Germany","Female","628","0.122942838432991","0.113843739083288","0.132041937782694"
"Several times a year","1988","East Germany","Male","","","",""
"Several times a year","1988","East Germany","Female","","","",""
"At least once a month","1988","West Germany","Male","291","0.0586540859384197","0.0520829164576147","0.0652252554192247"
"At least once a month","1988","West Germany","Female","230","0.0481112258465341","0.0421813014899378","0.0540411502031304"
"At least once a month","1988","East Germany","Male","","","",""
"At least once a month","1988","East Germany","Female","","","",""
"At lease once a week","1988","West Germany","Male","1382","0.281441812164567","0.268865763987423","0.29401786034171"
"At lease once a week","1988","West Germany","Female","1037","0.220009977619955","0.208531123104188","0.231488832135722"
"At lease once a week","1988","East Germany","Male","","","",""
"At lease once a week","1988","East Germany","Female","","","",""
"Almost never or never","1989","West Germany","Male","","","",""
"Almost never or never","1989","West Germany","Female","","","",""
"Almost never or never","1989","East Germany","Male","","","",""
"Almost never or never","1989","East Germany","Female","","","",""
"Several times a year","1989","West Germany","Male","","","",""
"Several times a year","1989","West Germany","Female","","","",""
"Several times a year","1989","East Germany","Male","","","",""
"Several times a year","1989","East Germany","Female","","","",""
"At least once a month","1989","West Germany","Male","","","",""
"At least once a month","1989","West Germany","Female","","","",""
"At least once a month","1989","East Germany","Male","","","",""
"At least once a month","1989","East Germany","Female","","","",""
"At lease once a week","1989","West Germany","Male","","","",""
"At lease once a week","1989","West Germany","Female","","","",""
"At lease once a week","1989","East Germany","Male","","","",""
"At lease once a week","1989","East Germany","Female","","","",""
"Almost never or never","1990","West Germany","Male","1830","0.36554686535273","0.351727325814819","0.379366404890641"
"Almost never or never","1990","West Germany","Female","2423","0.484555088685963","0.470402266772387","0.49870791059954"
"Almost never or never","1990","East Germany","Male","1259","0.631790195523621","0.610931747736272","0.652648643310971"
"Almost never or never","1990","East Germany","Female","1696","0.776413997478822","0.759232581232548","0.793595413725096"
"Several times a year","1990","West Germany","Male","961","0.220670602315809","0.208770381045924","0.232570823585694"
"Several times a year","1990","West Germany","Female","838","0.176469609606338","0.165673802605506","0.18726541660717"
"Several times a year","1990","East Germany","Male","339","0.157550013768376","0.141794623769747","0.173305403767004"
"Several times a year","1990","East Germany","Female","290","0.11031234533314","0.0973935857301269","0.123231104936153"
"At least once a month","1990","West Germany","Male","458","0.0989628224576629","0.0903938320070059","0.10753181290832"
"At least once a month","1990","West Germany","Female","347","0.0746783380814061","0.0672340354321646","0.0821226407306476"
"At least once a month","1990","East Germany","Male","98","0.0447394081756175","0.0357990705546588","0.0536797457965763"
"At least once a month","1990","East Germany","Female","50","0.018708527097455","0.0131211396638973","0.0242959145310128"
"At lease once a week","1990","West Germany","Male","1416","0.314819709873798","0.301491996170771","0.328147423576825"
"At lease once a week","1990","West Germany","Female","1182","0.264296963626293","0.251809400535369","0.276784526717217"
"At lease once a week","1990","East Germany","Male","358","0.165920382532386","0.14983240334508","0.182008361719692"
"At lease once a week","1990","East Germany","Female","223","0.0945651300905831","0.0824985528929692","0.106631707288197"
"Almost never or never","1991","West Germany","Male","","","",""
"Almost never or never","1991","West Germany","Female","","","",""
"Almost never or never","1991","East Germany","Male","","","",""
"Almost never or never","1991","East Germany","Female","","","",""
"Several times a year","1991","West Germany","Male","","","",""
"Several times a year","1991","West Germany","Female","","","",""
"Several times a year","1991","East Germany","Male","","","",""
"Several times a year","1991","East Germany","Female","","","",""
"At least once a month","1991","West Germany","Male","","","",""
"At least once a month","1991","West Germany","Female","","","",""
"At least once a month","1991","East Germany","Male","","","",""
"At least once a month","1991","East Germany","Female","","","",""
"At lease once a week","1991","West Germany","Male","","","",""
"At lease once a week","1991","West Germany","Female","","","",""
"At lease once a week","1991","East Germany","Male","","","",""
"At lease once a week","1991","East Germany","Female","","","",""
"Almost never or never","1992","West Germany","Male","2129","0.466628591607901","0.452075078137133","0.481182105078668"
"Almost never or never","1992","West Germany","Female","2681","0.564928638846252","0.550737039766061","0.579120237926444"
"Almost never or never","1992","East Germany","Male","1125","0.624624724648294","0.602683866246691","0.646565583049898"
"Almost never or never","1992","East Germany","Female","1466","0.74428815715115","0.725503676561213","0.763072637741087"
"Several times a year","1992","West Germany","Male","782","0.17481888579405","0.163738978478088","0.185898793110012"
"Several times a year","1992","West Germany","Female","694","0.143575067693236","0.13353726960857","0.153612865777903"
"Several times a year","1992","East Germany","Male","369","0.180054368071845","0.162644096060193","0.197464640083497"
"Several times a year","1992","East Germany","Female","340","0.135249842109415","0.120524448107661","0.149975236111169"
"At least once a month","1992","West Germany","Male","364","0.0830120097608806","0.0749634235223857","0.0910605959993755"
"At least once a month","1992","West Germany","Female","255","0.0519129735805968","0.0455623503982972","0.0582635967628965"
"At least once a month","1992","East Germany","Male","97","0.0521331091416611","0.0420605068336073","0.0622057114497149"
"At least once a month","1992","East Germany","Female","48","0.0213083490670844","0.0150903441873765","0.0275263539467922"
"At lease once a week","1992","West Germany","Male","1239","0.275540512837169","0.262506831552632","0.288574194121706"
"At lease once a week","1992","West Germany","Female","1058","0.239583319879915","0.227365087066084","0.251801552693745"
"At lease once a week","1992","East Germany","Male","280","0.1431877981382","0.127316698285879","0.159058897990521"
"At lease once a week","1992","East Germany","Female","218","0.099153651672351","0.0862850033270769","0.112022300017625"
"Almost never or never","1993","West Germany","Male","","","",""
"Almost never or never","1993","West Germany","Female","","","",""
"Almost never or never","1993","East Germany","Male","","","",""
"Almost never or never","1993","East Germany","Female","","","",""
"Several times a year","1993","West Germany","Male","","","",""
"Several times a year","1993","West Germany","Female","","","",""
"Several times a year","1993","East Germany","Male","","","",""
"Several times a year","1993","East Germany","Female","","","",""
"At least once a month","1993","West Germany","Male","","","",""
"At least once a month","1993","West Germany","Female","","","",""
"At least once a month","1993","East Germany","Male","","","",""
"At least once a month","1993","East Germany","Female","","","",""
"At lease once a week","1993","West Germany","Male","","","",""
"At lease once a week","1993","West Germany","Female","","","",""
"At lease once a week","1993","East Germany","Male","","","",""
"At lease once a week","1993","East Germany","Female","","","",""
"Almost never or never","1994","West Germany","Male","1953","0.447764908787574","0.43302836193614","0.462501455639007"
"Almost never or never","1994","West Germany","Female","2593","0.555079832885046","0.540769962133147","0.569389703636945"
"Almost never or never","1994","East Germany","Male","1072","0.638974502529804","0.616580046481771","0.661368958577837"
"Almost never or never","1994","East Germany","Female","1391","0.747537092098474","0.728294795222871","0.766779388974077"
"Several times a year","1994","West Germany","Male","856","0.205620875425442","0.193643650236179","0.217598100614705"
"Several times a year","1994","West Germany","Female","777","0.151981284068379","0.141643803306863","0.162318764829896"
"Several times a year","1994","East Germany","Male","346","0.173104739780253","0.155464294342767","0.19074518521774"
"Several times a year","1994","East Germany","Female","305","0.128678694823391","0.113847223459373","0.143510166187409"
"At least once a month","1994","West Germany","Male","358","0.0719910779755405","0.0643311600586727","0.0796509958924083"
"At least once a month","1994","West Germany","Female","271","0.0579144833333566","0.0511885013814439","0.0646404652852693"
"At least once a month","1994","East Germany","Male","88","0.0489962570200558","0.0389315211654924","0.0590609928746191"
"At least once a month","1994","East Germany","Female","61","0.0285423758173064","0.0211667523423655","0.0359179992922472"
"At lease once a week","1994","West Germany","Male","1207","0.274623137811444","0.261396206036734","0.287850069586154"
"At lease once a week","1994","West Germany","Female","992","0.235024399713218","0.222814918568554","0.247233880857882"
"At lease once a week","1994","East Germany","Male","261","0.138924500669887","0.122798010558716","0.155050990781057"
"At lease once a week","1994","East Germany","Female","201","0.0952418372608285","0.0822394862943729","0.108244188227284"
"Almost never or never","1995","West Germany","Male","1790","0.36776618106547","0.353912676311481","0.381619685819459"
"Almost never or never","1995","West Germany","Female","2381","0.468178879092683","0.454261378531112","0.482096379654253"
"Almost never or never","1995","East Germany","Male","740","0.460819743377235","0.437425587456191","0.484213899298279"
"Almost never or never","1995","East Germany","Female","973","0.567200777224683","0.545096257600374","0.589305296848992"
"Several times a year","1995","West Germany","Male","990","0.220021969622355","0.208120266563071","0.231923672681639"
"Several times a year","1995","West Germany","Female","929","0.183846435370473","0.173042397546225","0.194650473194721"
"Several times a year","1995","East Germany","Male","507","0.266796489615506","0.246038887932514","0.287554091298498"
"Several times a year","1995","East Germany","Female","511","0.226671262492106","0.207992429336687","0.245350095647526"
"At least once a month","1995","West Germany","Male","407","0.0942480551921662","0.0858539242846398","0.102642186099693"
"At least once a month","1995","West Germany","Female","325","0.0598362546286376","0.0532208486871001","0.0664516605701751"
"At least once a month","1995","East Germany","Male","131","0.0714360936082314","0.0593485070011395","0.0835236802153233"
"At least once a month","1995","East Germany","Female","97","0.0443378651211647","0.0351543485316144","0.0535213817107151"
"At lease once a week","1995","West Germany","Male","1467","0.317963794120009","0.304584677117485","0.331342911122533"
"At lease once a week","1995","West Germany","Female","1303","0.288138430908207","0.275506465857919","0.300770395958495"
"At lease once a week","1995","East Germany","Male","366","0.200947673399028","0.182141347751007","0.219753999047049"
"At lease once a week","1995","East Germany","Female","349","0.161790095162046","0.145360691658003","0.178219498666089"
"Almost never or never","1996","West Germany","Male","1890","0.409257553386158","0.394935927577528","0.423579179194788"
"Almost never or never","1996","West Germany","Female","2542","0.513137856684751","0.4990389806639","0.527236732705601"
"Almost never or never","1996","East Germany","Male","898","0.55571416613432","0.532400673421743","0.579027658846896"
"Almost never or never","1996","East Germany","Female","1177","0.659618930353359","0.638424256815981","0.680813603890737"
"Several times a year","1996","West Germany","Male","986","0.21861493068101","0.206576570142531","0.23065329121949"
"Several times a year","1996","West Germany","Female","911","0.178327042292688","0.167529558506658","0.189124526078718"
"Several times a year","1996","East Germany","Male","426","0.230635756245027","0.210871535591877","0.250399976898178"
"Several times a year","1996","East Germany","Female","377","0.171278521165292","0.154426452249935","0.188130590080649"
"At least once a month","1996","West Germany","Male","396","0.0876118871851035","0.0793768377849309","0.0958469365852761"
"At least once a month","1996","West Germany","Female","322","0.064662709870945","0.0577256485199883","0.0715997712219016"
"At least once a month","1996","East Germany","Male","115","0.0520112351543353","0.0415928465085162","0.0624296238001544"
"At least once a month","1996","East Germany","Female","89","0.0395877945234516","0.0308659776117025","0.0483096114352007"
"At lease once a week","1996","West Germany","Male","1256","0.284515628747728","0.271374035482179","0.297657222013278"
"At lease once a week","1996","West Germany","Female","1053","0.243872391151616","0.231759625175522","0.255985157127711"
"At lease once a week","1996","East Germany","Male","306","0.161638842466317","0.144366994141157","0.178910690791478"
"At lease once a week","1996","East Germany","Female","277","0.129514753957898","0.114495864998444","0.144533642917352"
"Almost never or never","1997","West Germany","Male","1944","0.440646236198744","0.426054638708471","0.455237833689017"
"Almost never or never","1997","West Germany","Female","2521","0.524912126020835","0.510664143358314","0.539160108683356"
"Almost never or never","1997","East Germany","Male","933","0.568750807092358","0.545440461887408","0.592061152297307"
"Almost never or never","1997","East Germany","Female","1161","0.659693313272459","0.638235498864138","0.681151127680779"
"Several times a year","1997","West Germany","Male","875","0.193856786717873","0.182237990564951","0.205475582870795"
"Several times a year","1997","West Germany","Female","839","0.170505419939569","0.159775438443375","0.181235401435764"
"Several times a year","1997","East Germany","Male","383","0.211349077344047","0.192132938392834","0.230565216295261"
"Several times a year","1997","East Germany","Female","382","0.18208809649823","0.164610840618263","0.199565352378197"
"At least once a month","1997","West Germany","Male","353","0.0718722554019604","0.0642812545407468","0.0794632562631739"
"At least once a month","1997","West Germany","Female","250","0.0495303640276602","0.0433398318416058","0.0557208962137146"
"At least once a month","1997","East Germany","Male","102","0.0518682460995044","0.0414304532927753","0.0623060389062336"
"At least once a month","1997","East Germany","Female","58","0.0269694288810573","0.0196331079779334","0.0343057497841812"
"At lease once a week","1997","West Germany","Male","1275","0.293624721681423","0.280239407141672","0.307010036221174"
"At lease once a week","1997","West Germany","Female","1109","0.255052090011936","0.242615523446779","0.267488656577092"
"At lease once a week","1997","East Germany","Male","316","0.16803186946409","0.150433488323029","0.185630250605152"
"At lease once a week","1997","East Germany","Female","272","0.131249161348254","0.115956781065723","0.146541541630785"
"Almost never or never","1998","West Germany","Male","1837","0.356686003832279","0.343407135739055","0.369964871925503"
"Almost never or never","1998","West Germany","Female","2396","0.443292647589011","0.429979813038864","0.456605482139158"
"Almost never or never","1998","East Germany","Male","741","0.423055957185133","0.400639961958062","0.445471952412205"
"Almost never or never","1998","East Germany","Female","967","0.539075533950169","0.517152625995575","0.560998441904764"
"Several times a year","1998","West Germany","Male","1113","0.218466264149595","0.207011857992397","0.229920670306793"
"Several times a year","1998","West Germany","Female","1052","0.184311084711544","0.173920265231672","0.194701904191416"
"Several times a year","1998","East Germany","Male","532","0.291237863504702","0.270623665471431","0.311852061537973"
"Several times a year","1998","East Germany","Female","506","0.220254301916997","0.202028058653413","0.238480545180581"
"At least once a month","1998","West Germany","Male","461","0.0895447381029294","0.0816296480009585","0.0974598282049003"
"At least once a month","1998","West Germany","Female","394","0.0710243220397938","0.0641406921399914","0.0779079519395961"
"At least once a month","1998","East Germany","Male","126","0.0568682867356557","0.0463604451261969","0.0673761283451144"
"At least once a month","1998","East Germany","Female","125","0.061733225196638","0.0511484626131807","0.0723179877800954"
"At lease once a week","1998","West Germany","Male","1588","0.335302993915197","0.32221608440173","0.348389903428663"
"At lease once a week","1998","West Germany","Female","1507","0.301371945659651","0.289075312596389","0.313668578722914"
"At lease once a week","1998","East Germany","Male","467","0.228837892574509","0.209777621105404","0.247898164043614"
"At lease once a week","1998","East Germany","Female","388","0.178936938936196","0.16207930077399","0.195794577098402"
"Almost never or never","1999","West Germany","Male","1977","0.418967854156686","0.404972067453033","0.43296364086034"
"Almost never or never","1999","West Germany","Female","2575","0.515049941686495","0.501329630760752","0.528770252612239"
"Almost never or never","1999","East Germany","Male","935","0.547986887445268","0.52504603888524","0.570927736005296"
"Almost never or never","1999","East Germany","Female","1147","0.611036086200382","0.589403544891973","0.63266862750879"
"Several times a year","1999","West Germany","Male","1011","0.205918693086141","0.19444806347324","0.217389322699042"
"Several times a year","1999","West Germany","Female","961","0.169391143897735","0.159093582186004","0.179688705609466"
"Several times a year","1999","East Germany","Male","409","0.21993162239701","0.200839287075266","0.239023957718754"
"Several times a year","1999","East Germany","Female","400","0.189714886540142","0.17231729654944","0.207112476530843"
"At least once a month","1999","West Germany","Male","398","0.0751710358291026","0.0676917029534997","0.0826503687047054"
"At least once a month","1999","West Germany","Female","319","0.0591501421882524","0.0526738142390305","0.0656264701374742"
"At least once a month","1999","East Germany","Male","112","0.0574379453795653","0.0467127971754275","0.068163093583703"
"At least once a month","1999","East Germany","Female","98","0.0457238931410151","0.0364549955900272","0.054992790692003"
"At lease once a week","1999","West Germany","Male","1388","0.29994241692807","0.286943932771591","0.312940901084549"
"At lease once a week","1999","West Germany","Female","1242","0.256408772227517","0.244421390296362","0.268396154158672"
"At lease once a week","1999","East Germany","Male","352","0.174643544778157","0.157143227478501","0.192143862077812"
"At lease once a week","1999","East Germany","Female","306","0.153525134118461","0.1375289559523","0.169521312284622"
"Almost never or never","2000","West Germany","Male","","","",""
"Almost never or never","2000","West Germany","Female","","","",""
"Almost never or never","2000","East Germany","Male","","","",""
"Almost never or never","2000","East Germany","Female","","","",""
"Several times a year","2000","West Germany","Male","","","",""
"Several times a year","2000","West Germany","Female","","","",""
"Several times a year","2000","East Germany","Male","","","",""
"Several times a year","2000","East Germany","Female","","","",""
"At least once a month","2000","West Germany","Male","","","",""
"At least once a month","2000","West Germany","Female","","","",""
"At least once a month","2000","East Germany","Male","","","",""
"At least once a month","2000","East Germany","Female","","","",""
"At lease once a week","2000","West Germany","Male","","","",""
"At lease once a week","2000","West Germany","Female","","","",""
"At lease once a week","2000","East Germany","Male","","","",""
"At lease once a week","2000","East Germany","Female","","","",""
"Almost never or never","2001","West Germany","Male","3546","0.451747887426518","0.440755586533725","0.462740188319312"
"Almost never or never","2001","West Germany","Female","4345","0.524305018546154","0.513727932098517","0.534882104993791"
"Almost never or never","2001","East Germany","Male","1387","0.552696548174289","0.533639451138147","0.571753645210431"
"Almost never or never","2001","East Germany","Female","1628","0.61028477972597","0.5922403063884","0.628329253063539"
"Several times a year","2001","West Germany","Male","1385","0.176388358562887","0.167969628521415","0.18480708860436"
"Several times a year","2001","West Germany","Female","1308","0.14132870175562","0.133950705682526","0.148706697828713"
"Several times a year","2001","East Germany","Male","513","0.180122076343449","0.16539317636279","0.194850976324108"
"Several times a year","2001","East Germany","Female","486","0.153205229186736","0.139878298596062","0.166532159777411"
"At least once a month","2001","West Germany","Male","593","0.0746295070134711","0.0688250246526215","0.0804339893743208"
"At least once a month","2001","West Germany","Female","498","0.0558280794058034","0.0509655566616709","0.0606906021499359"
"At least once a month","2001","East Germany","Male","152","0.0577713639841834","0.0488291160987365","0.0667136118696303"
"At least once a month","2001","East Germany","Female","129","0.0427337708379975","0.0352502454726956","0.0502172962032994"
"At lease once a week","2001","West Germany","Male","2350","0.297234246997123","0.287139275339966","0.30732921865428"
"At lease once a week","2001","West Germany","Female","2413","0.278538200292423","0.269043990704124","0.288032409880723"
"At lease once a week","2001","East Germany","Male","563","0.209410011498079","0.193814966940199","0.225005056055958"
"At lease once a week","2001","East Germany","Female","563","0.193776220249297","0.179151677386618","0.208400763111975"
"Almost never or never","2002","West Germany","Male","","","",""
"Almost never or never","2002","West Germany","Female","","","",""
"Almost never or never","2002","East Germany","Male","","","",""
"Almost never or never","2002","East Germany","Female","","","",""
"Several times a year","2002","West Germany","Male","","","",""
"Several times a year","2002","West Germany","Female","","","",""
"Several times a year","2002","East Germany","Male","","","",""
"Several times a year","2002","East Germany","Female","","","",""
"At least once a month","2002","West Germany","Male","","","",""
"At least once a month","2002","West Germany","Female","","","",""
"At least once a month","2002","East Germany","Male","","","",""
"At least once a month","2002","East Germany","Female","","","",""
"At lease once a week","2002","West Germany","Male","","","",""
"At lease once a week","2002","West Germany","Female","","","",""
"At lease once a week","2002","East Germany","Male","","","",""
"At lease once a week","2002","East Germany","Female","","","",""
"Almost never or never","2003","West Germany","Male","2733","0.364781187374678","0.354289167256304","0.375273207493053"
"Almost never or never","2003","West Germany","Female","3381","0.425593981351421","0.415216972731253","0.43597098997159"
"Almost never or never","2003","East Germany","Male","1003","0.405259623029469","0.386319427039409","0.424199819019528"
"Almost never or never","2003","East Germany","Female","1157","0.466265454942346","0.447684591582134","0.484846318302559"
"Several times a year","2003","West Germany","Male","1602","0.198929399847089","0.190228461220902","0.207630338473275"
"Several times a year","2003","West Germany","Female","1458","0.165454397301108","0.157655572909465","0.17325322169275"
"Several times a year","2003","East Germany","Male","605","0.22423826457807","0.208147631643718","0.240328897512423"
"Several times a year","2003","East Germany","Female","615","0.200436147603224","0.185525338418126","0.215346956788321"
"At least once a month","2003","West Germany","Male","738","0.092688614132318","0.0863678061490425","0.0990094221155936"
"At least once a month","2003","West Germany","Female","596","0.0629438762236606","0.0578467605274831","0.0680409919198381"
"At least once a month","2003","East Germany","Male","194","0.0717141550957942","0.061760160609159","0.0816681495824293"
"At least once a month","2003","East Germany","Female","206","0.0696041311626928","0.0601256662185447","0.0790825961068409"
"At lease once a week","2003","West Germany","Male","3013","0.343600798645915","0.333249559868165","0.353952037423664"
"At lease once a week","2003","West Germany","Female","3286","0.34600774512381","0.336023984480128","0.355991505767493"
"At lease once a week","2003","East Germany","Male","779","0.298787957296667","0.281129192731025","0.316446721862309"
"At lease once a week","2003","East Germany","Female","791","0.263694266291738","0.247282094746837","0.280106437836638"
"Almost never or never","2004","West Germany","Male","","","",""
"Almost never or never","2004","West Germany","Female","","","",""
"Almost never or never","2004","East Germany","Male","","","",""
"Almost never or never","2004","East Germany","Female","","","",""
"Several times a year","2004","West Germany","Male","","","",""
"Several times a year","2004","West Germany","Female","","","",""
"Several times a year","2004","East Germany","Male","","","",""
"Several times a year","2004","East Germany","Female","","","",""
"At least once a month","2004","West Germany","Male","","","",""
"At least once a month","2004","West Germany","Female","","","",""
"At least once a month","2004","East Germany","Male","","","",""
"At least once a month","2004","East Germany","Female","","","",""
"At lease once a week","2004","West Germany","Male","","","",""
"At lease once a week","2004","West Germany","Female","","","",""
"At lease once a week","2004","East Germany","Male","","","",""
"At lease once a week","2004","East Germany","Female","","","",""
"Almost never or never","2005","West Germany","Male","2790","0.393134728226509","0.38205075355122","0.404218702901799"
"Almost never or never","2005","West Germany","Female","3292","0.438352728312486","0.42759745791622","0.449107998708752"
"Almost never or never","2005","East Germany","Male","1062","0.466773723330846","0.446900895613352","0.48664655104834"
"Almost never or never","2005","East Germany","Female","1244","0.515249502515769","0.49608726105061","0.534411743980927"
"Several times a year","2005","West Germany","Male","1400","0.192389583701488","0.183444788312632","0.201334379090344"
"Several times a year","2005","West Germany","Female","1373","0.163613501353497","0.155595045808425","0.171631956898569"
"Several times a year","2005","East Germany","Male","556","0.218357579323662","0.201901025581596","0.234814133065729"
"Several times a year","2005","East Germany","Female","546","0.207359695568163","0.19181512834628","0.222904262790047"
"At least once a month","2005","West Germany","Male","637","0.0877126237891416","0.081293502803854","0.0941317447744292"
"At least once a month","2005","West Germany","Female","623","0.0770307213353062","0.0712510485079805","0.082810394162632"
"At least once a month","2005","East Germany","Male","203","0.0854407597833782","0.0743057867878","0.0965757327789563"
"At least once a month","2005","East Germany","Female","164","0.0531466072936394","0.0445454373450018","0.061747777242277"
"At lease once a week","2005","West Germany","Male","2633","0.326763064282861","0.316119695149166","0.337406433416557"
"At lease once a week","2005","West Germany","Female","2888","0.321003048998711","0.310883383893508","0.331122714103914"
"At lease once a week","2005","East Germany","Male","600","0.229427937562114","0.212679261747376","0.246176613376852"
"At lease once a week","2005","East Germany","Female","659","0.224244194622429","0.208252241516808","0.240236147728049"
"Almost never or never","2006","West Germany","Male","","","",""
"Almost never or never","2006","West Germany","Female","","","",""
"Almost never or never","2006","East Germany","Male","","","",""
"Almost never or never","2006","East Germany","Female","","","",""
"Several times a year","2006","West Germany","Male","","","",""
"Several times a year","2006","West Germany","Female","","","",""
"Several times a year","2006","East Germany","Male","","","",""
"Several times a year","2006","East Germany","Female","","","",""
"At least once a month","2006","West Germany","Male","","","",""
"At least once a month","2006","West Germany","Female","","","",""
"At least once a month","2006","East Germany","Male","","","",""
"At least once a month","2006","East Germany","Female","","","",""
"At lease once a week","2006","West Germany","Male","","","",""
"At lease once a week","2006","West Germany","Female","","","",""
"At lease once a week","2006","East Germany","Male","","","",""
"At lease once a week","2006","East Germany","Female","","","",""
"Almost never or never","2007","West Germany","Male","2738","0.376952242650141","0.365879823345475","0.388024661954807"
"Almost never or never","2007","West Germany","Female","3173","0.423569657960199","0.41283276907386","0.434306546846537"
"Almost never or never","2007","East Germany","Male","1085","0.471984093784562","0.452032493525542","0.491935694043581"
"Almost never or never","2007","East Germany","Female","1211","0.488130000180924","0.468920082523887","0.50733991783796"
"Several times a year","2007","West Germany","Male","1340","0.190820667514209","0.181842787729824","0.199798547298594"
"Several times a year","2007","West Germany","Female","1263","0.15802642931535","0.150100381019655","0.165952477611044"
"Several times a year","2007","East Germany","Male","521","0.208875012830021","0.192628642586785","0.225121383073256"
"Several times a year","2007","East Germany","Female","516","0.196331224225599","0.181065720135201","0.211596728315996"
"At least once a month","2007","West Germany","Male","605","0.0820363588012186","0.0757665453755635","0.0883061722268736"
"At least once a month","2007","West Germany","Female","557","0.0620551774262452","0.0568128966607987","0.0672974581916918"
"At least once a month","2007","East Germany","Male","181","0.0732467909051412","0.0628340059127493","0.0836595758975331"
