"m11104","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1993","Employed","Male","","","","","3"
"Several times a year","1993","Not Employed","Male","","","","","2"
"Several times a year","1993","Employed","Male","","","","","2"
"Several times a year","1993","Not Employed","Female","","","","","2"
"Several times a year","1993","Employed","Female","","","","","2"
"Almost never or never","1994","Not Employed","Male","975","0.681354957119285","0.657814215839494","0.704895698399076","1"
"Almost never or never","1994","Not Employed","Female","2118","0.721767052375323","0.705636897134819","0.737897207615827","1"
"Almost never or never","1994","Employed","Male","2050","0.406673887334638","0.392533990133459","0.420813784535817","1"
"Almost never or never","1994","Employed","Female","1866","0.45938566583734","0.443165074253871","0.475606257420809","1"
"At lease once a week","1994","Not Employed","Female","443","0.157020238806757","0.143924737359466","0.170115740254048","4"
"At lease once a week","1994","Not Employed","Male","313","0.175022187602046","0.155824561491873","0.194219813712219","4"
"At lease once a week","1994","Employed","Male","1155","0.276921763341507","0.264040823062045","0.28980270362097","4"
"At lease once a week","1994","Employed","Female","750","0.259792429495088","0.245519135934386","0.27406572305579","4"
"At least once a month","1994","Not Employed","Male","68","0.0395961396787982","0.0297439398168306","0.0494483395407658","3"
"At least once a month","1994","Employed","Female","242","0.0745845036768785","0.066033307360727","0.0831356999930299","3"
"At least once a month","1994","Employed","Male","378","0.0786796318188989","0.0709294324767229","0.086429831161075","3"
"At least once a month","1994","Not Employed","Female","90","0.0304870413795435","0.0242987580238009","0.0366753247352862","3"
"Several times a year","1994","Not Employed","Male","149","0.10402671559987","0.0886026162250908","0.11945081497465","2"
"Several times a year","1994","Employed","Male","1053","0.237724717504956","0.22547095479357","0.249978480216341","2"
"Several times a year","1994","Not Employed","Female","314","0.0907256674383763","0.080387387351627","0.101063947525126","2"
"Several times a year","1994","Employed","Female","768","0.206237400990694","0.193068084937494","0.219406717043893","2"
"Almost never or never","1995","Employed","Male","1644","0.306557610151067","0.293478803251076","0.319636417051059","1"
"Almost never or never","1995","Not Employed","Male","886","0.570276277124379","0.546199830210105","0.594352724038652","1"
"Almost never or never","1995","Not Employed","Female","1931","0.626814524257508","0.609956795946407","0.643672252568608","1"
"Almost never or never","1995","Employed","Female","1423","0.331186745416907","0.316034245409259","0.346339245424555","1"
"At lease once a week","1995","Not Employed","Female","611","0.19350221845325","0.179732922932178","0.207271513974323","4"
"At lease once a week","1995","Not Employed","Male","414","0.222941220853035","0.202698112402504","0.243184329303566","4"
"At lease once a week","1995","Employed","Male","1419","0.326511060723959","0.313208934442131","0.339813187005787","4"
"At lease once a week","1995","Employed","Female","1041","0.342349818794112","0.327073176601839","0.357626460986384","4"
"At least once a month","1995","Not Employed","Male","89","0.0511204325709652","0.040408745271475","0.0618321198704554","3"
"At least once a month","1995","Employed","Female","274","0.0713814136582654","0.0630923277299324","0.0796704995865985","3"
"At least once a month","1995","Not Employed","Female","148","0.043852408064307","0.0367152330015635","0.0509895831270505","3"
"At least once a month","1995","Employed","Male","449","0.106459745190159","0.0977107806527307","0.115208709727588","3"
"Several times a year","1995","Not Employed","Male","235","0.155662069451621","0.138029945575323","0.173294193327919","2"
"Several times a year","1995","Employed","Male","1262","0.260471583934815","0.248021723231598","0.272921444638031","2"
"Several times a year","1995","Not Employed","Female","472","0.135830849224935","0.123889160527368","0.147772537922502","2"
"Several times a year","1995","Employed","Female","968","0.255082022130716","0.241047761520256","0.269116282741176","2"
"Almost never or never","1996","Employed","Male","1845","0.360364706905513","0.34663894387074","0.374090469940286","1"
"Almost never or never","1996","Not Employed","Male","943","0.618410386385668","0.594404353877492","0.642416418893844","1"
"Almost never or never","1996","Not Employed","Female","2013","0.664389393270023","0.64759812924649","0.681180657293557","1"
"Almost never or never","1996","Employed","Female","1706","0.406762866306674","0.390955993828264","0.422569738785085","1"
"At lease once a week","1996","Not Employed","Male","323","0.18516178395903","0.165966475184527","0.204357092733533","4"
"At lease once a week","1996","Not Employed","Female","479","0.172714062057234","0.159272619616119","0.186155504498348","4"
"At lease once a week","1996","Employed","Male","1239","0.293361032363503","0.28034438419942","0.306377680527587","4"
"At lease once a week","1996","Employed","Female","851","0.275919512946565","0.261536635975114","0.290302389918016","4"
"At least once a month","1996","Not Employed","Male","90","0.063819397235071","0.0517401492328378","0.0758986452373043","3"
"At least once a month","1996","Employed","Female","263","0.0730072527245825","0.0646361570142331","0.081378348434932","3"
"At least once a month","1996","Not Employed","Female","148","0.0478476621936661","0.0402577319070038","0.0554375924803284","3"
"At least once a month","1996","Employed","Male","421","0.088064275529855","0.0799624822089703","0.0961660688507397","3"
"Several times a year","1996","Not Employed","Male","217","0.132608432420231","0.115848321124927","0.149368543715536","2"
"Several times a year","1996","Not Employed","Female","398","0.115048882479077","0.103702561911243","0.126395203046911","2"
"Several times a year","1996","Employed","Male","1195","0.258209985201129","0.245698001500612","0.270721968901646","2"
"Several times a year","1996","Employed","Female","890","0.244310368022178","0.230484136750801","0.258136599293555","2"
"Almost never or never","1997","Employed","Male","1866","0.378409360422932","0.364323455711081","0.392495265134783","1"
"Almost never or never","1997","Employed","Female","1654","0.413508887548774","0.397322856964974","0.429694918132575","1"
"Almost never or never","1997","Not Employed","Male","1011","0.663882228656107","0.640928905356377","0.686835551955836","1"
"Almost never or never","1997","Not Employed","Female","2028","0.673488910683707","0.656808320983868","0.690169500383547","1"
"At lease once a week","1997","Not Employed","Female","528","0.183251724521372","0.169490237792305","0.197013211250439","4"
"At lease once a week","1997","Not Employed","Male","348","0.196622250554428","0.177310104131357","0.215934396977498","4"
"At lease once a week","1997","Employed","Male","1243","0.301374474794287","0.28804763933494","0.314701310253635","4"
"At lease once a week","1997","Employed","Female","853","0.285623106468309","0.270776486790716","0.300469726145902","4"
"At least once a month","1997","Not Employed","Male","72","0.0398668872004193","0.0303602657219934","0.0493735086788452","3"
"At least once a month","1997","Not Employed","Female","108","0.0317645251247144","0.0255263309869575","0.0380027192624712","3"
"At least once a month","1997","Employed","Male","383","0.0803433160402603","0.0724485489883063","0.0882380830922143","3"
"At least once a month","1997","Employed","Female","200","0.0602956224529489","0.0524720387867602","0.0681192061191377","3"
"Several times a year","1997","Not Employed","Female","372","0.111494839670206","0.100299054193642","0.122690625146771","2"
"Several times a year","1997","Employed","Male","1062","0.23987284874252","0.227471033786325","0.252274663698715","2"
"Several times a year","1997","Not Employed","Male","196","0.0996286335890467","0.0850754757662439","0.114181791411849","2"
"Several times a year","1997","Employed","Female","849","0.240572383529968","0.226523775562588","0.254620991497348","2"
"Almost never or never","1998","Not Employed","Female","2045","0.595456976585792","0.579115021088485","0.611798932083099","1"
"Almost never or never","1998","Employed","Female","1318","0.306562028199944","0.292035708482444","0.321088347917445","1"
"Almost never or never","1998","Not Employed","Male","1038","0.548591432554522","0.526314958888703","0.570867906220341","1"
"Almost never or never","1998","Employed","Male","1540","0.285487967803587","0.27290358491813","0.298072350689044","1"
"At lease once a week","1998","Not Employed","Female","711","0.215130010040468","0.201448128301755","0.228811891779181","4"
"At lease once a week","1998","Not Employed","Male","471","0.238559941854604","0.219481027651162","0.257638856058047","4"
"At lease once a week","1998","Employed","Male","1584","0.350374366165704","0.337081121905371","0.363667610426036","4"
"At lease once a week","1998","Employed","Female","1184","0.351081618827132","0.336043563003425","0.366119674650838","4"
"At least once a month","1998","Not Employed","Male","102","0.0518713679535176","0.0419439909237331","0.061798744983302","3"
"At least once a month","1998","Employed","Male","485","0.0979185713531482","0.0896374594991437","0.106199683207153","3"
"At least once a month","1998","Not Employed","Female","167","0.0436183305723854","0.0368177402494951","0.0504189208952757","3"
"At least once a month","1998","Employed","Female","352","0.0988960367879399","0.089490805015432","0.108301268560448","3"
"Several times a year","1998","Not Employed","Female","542","0.145794682801354","0.134044396474955","0.157544969127754","2"
"Several times a year","1998","Employed","Male","1339","0.266219094677561","0.253904048355073","0.27853414100005","2"
"Several times a year","1998","Not Employed","Male","306","0.160977257637356","0.144525732578333","0.17742878269638","2"
"Several times a year","1998","Employed","Female","1016","0.243460316184985","0.229938888302294","0.256981744067675","2"
"Almost never or never","1999","Employed","Female","1625","0.390789049532206","0.375436260873557","0.406141838190854","1"
"Almost never or never","1999","Not Employed","Male","1078","0.645889610836646","0.623288366449153","0.668490855224139","1"
"Almost never or never","1999","Not Employed","Female","2097","0.670126317600439","0.653754093675757","0.686498541525121","1"
"Almost never or never","1999","Employed","Male","1834","0.357310231577512","0.343840342078435","0.370780121076589","1"
"At lease once a week","1999","Not Employed","Female","549","0.180227181513119","0.166842365457559","0.193611997568678","4"
"At lease once a week","1999","Not Employed","Male","357","0.192796294476612","0.174152908870753","0.211439680082472","4"
"At lease once a week","1999","Employed","Male","1383","0.311729575488201","0.298709629823354","0.324749521153047","4"
"At lease once a week","1999","Employed","Female","999","0.296382092309035","0.282013088825171","0.310751095792898","4"
"At least once a month","1999","Not Employed","Male","87","0.0451047037956818","0.0352968798351368","0.0549125277562267","3"
"At least once a month","1999","Employed","Male","423","0.0831686138269134","0.0754067667610138","0.0909304608928131","3"
"At least once a month","1999","Not Employed","Female","101","0.0307045031543234","0.024697129588093","0.0367118767205538","3"
"At least once a month","1999","Employed","Female","316","0.0835238264319694","0.0748182404612536","0.0922294124026853","3"
"Several times a year","1999","Not Employed","Female","421","0.118941997732119","0.107669364710137","0.1302146307541","2"
"Several times a year","1999","Employed","Male","1222","0.247791579107374","0.235656210261863","0.259926947952885","2"
"Several times a year","1999","Not Employed","Male","198","0.11620939089106","0.101064045870861","0.131354735911258","2"
"Several times a year","1999","Employed","Female","940","0.22930503172679","0.216077455212507","0.242532608241074","2"
"Almost never or never","2000","Not Employed","Male","","","","","1"
"Almost never or never","2000","Not Employed","Female","","","","","1"
"Almost never or never","2000","Employed","Female","","","","","1"
"Almost never or never","2000","Employed","Male","","","","","1"
"At lease once a week","2000","Not Employed","Female","","","","","4"
"At lease once a week","2000","Not Employed","Male","","","","","4"
"At lease once a week","2000","Employed","Male","","","","","4"
"At lease once a week","2000","Employed","Female","","","","","4"
"At least once a month","2000","Not Employed","Male","","","","","3"
"At least once a month","2000","Employed","Male","","","","","3"
"At least once a month","2000","Not Employed","Female","","","","","3"
"At least once a month","2000","Employed","Female","","","","","3"
"Several times a year","2000","Not Employed","Female","","","","","2"
"Several times a year","2000","Employed","Male","","","","","2"
