"m11104","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Several times a year","1986","(Married) couple without C. ","West Germany","218","0.0823402831460619","0.0712359655754437","0.0934446007166802"
"Several times a year","1986","(Married) couple without C. ","East Germany","","","",""
"Several times a year","1986","Single parent ","West Germany","59","0.116573387881794","0.0885566368544087","0.144590138909179"
"Several times a year","1986","Single parent ","East Germany","","","",""
"Several times a year","1986","Couple + C. LE 16 ","West Germany","365","0.174385892160302","0.159192704201133","0.189579080119471"
"Several times a year","1986","Couple + C. LE 16 ","East Germany","","","",""
"Several times a year","1986","Couple + C. GT 16 ","West Germany","280","0.136907209518566","0.12214520411987","0.151669214917262"
"Several times a year","1986","Couple + C. GT 16 ","East Germany","","","",""
"Several times a year","1986","Couple + C. LE and GT 16","West Germany","181","0.149833099628033","0.131083825810723","0.168582373445342"
"Several times a year","1986","Couple + C. LE and GT 16","East Germany","","","",""
"At least once a month","1986","1-pers.-HH","West Germany","58","0.0428144061057291","0.0309052869515807","0.0547235252598775"
"At least once a month","1986","1-pers.-HH","East Germany","","","",""
"At least once a month","1986","(Married) couple without C. ","West Germany","106","0.0423542835769253","0.034218564072435","0.0504900030814155"
"At least once a month","1986","(Married) couple without C. ","East Germany","","","",""
"At least once a month","1986","Single parent ","West Germany","30","0.0532504434291517","0.0336479195176602","0.0728529673406431"
"At least once a month","1986","Single parent ","East Germany","","","",""
"At least once a month","1986","Couple + C. LE 16 ","West Germany","160","0.0736907632674922","0.0632293776987146","0.0841521488362699"
"At least once a month","1986","Couple + C. LE 16 ","East Germany","","","",""
"At least once a month","1986","Couple + C. GT 16 ","West Germany","122","0.0651832379888505","0.0545825349967292","0.0757839409809717"
"At least once a month","1986","Couple + C. GT 16 ","East Germany","","","",""
"At least once a month","1986","Couple + C. LE and GT 16","West Germany","67","0.050289083607644","0.0388085770953578","0.0617695901199301"
"At least once a month","1986","Couple + C. LE and GT 16","East Germany","","","",""
"At lease once a week","1986","1-pers.-HH","West Germany","264","0.209527489691008","0.185586037344188","0.233468942037828"
"At lease once a week","1986","1-pers.-HH","East Germany","","","",""
"At lease once a week","1986","(Married) couple without C. ","West Germany","525","0.215470053010108","0.198861068347256","0.23207903767296"
"At lease once a week","1986","(Married) couple without C. ","East Germany","","","",""
"At lease once a week","1986","Single parent ","West Germany","147","0.305742006498904","0.265519343259177","0.345964669738632"
"At lease once a week","1986","Single parent ","East Germany","","","",""
"At lease once a week","1986","Couple + C. LE 16 ","West Germany","526","0.258012616044267","0.240493047128933","0.2755321849596"
"At lease once a week","1986","Couple + C. LE 16 ","East Germany","","","",""
"At lease once a week","1986","Couple + C. GT 16 ","West Germany","578","0.285893030084841","0.266489226231593","0.305296833938088"
"At lease once a week","1986","Couple + C. GT 16 ","East Germany","","","",""
"At lease once a week","1986","Couple + C. LE and GT 16","West Germany","361","0.289313090829975","0.265492546918606","0.313133634741343"
"At lease once a week","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Almost never or never","1987","1-pers.-HH","West Germany","","","",""
"Almost never or never","1987","1-pers.-HH","East Germany","","","",""
"Almost never or never","1987","(Married) couple without C. ","West Germany","","","",""
"Almost never or never","1987","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1987","Single parent ","West Germany","","","",""
"Almost never or never","1987","Single parent ","East Germany","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","West Germany","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","West Germany","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","East Germany","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Several times a year","1987","1-pers.-HH","West Germany","","","",""
"Several times a year","1987","1-pers.-HH","East Germany","","","",""
"Several times a year","1987","(Married) couple without C. ","West Germany","","","",""
"Several times a year","1987","(Married) couple without C. ","East Germany","","","",""
"Several times a year","1987","Single parent ","West Germany","","","",""
"Several times a year","1987","Single parent ","East Germany","","","",""
"Several times a year","1987","Couple + C. LE 16 ","West Germany","","","",""
"Several times a year","1987","Couple + C. LE 16 ","East Germany","","","",""
"Several times a year","1987","Couple + C. GT 16 ","West Germany","","","",""
"Several times a year","1987","Couple + C. GT 16 ","East Germany","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","East Germany","","","",""
"At least once a month","1987","1-pers.-HH","West Germany","","","",""
"At least once a month","1987","1-pers.-HH","East Germany","","","",""
"At least once a month","1987","(Married) couple without C. ","West Germany","","","",""
"At least once a month","1987","(Married) couple without C. ","East Germany","","","",""
"At least once a month","1987","Single parent ","West Germany","","","",""
"At least once a month","1987","Single parent ","East Germany","","","",""
"At least once a month","1987","Couple + C. LE 16 ","West Germany","","","",""
"At least once a month","1987","Couple + C. LE 16 ","East Germany","","","",""
"At least once a month","1987","Couple + C. GT 16 ","West Germany","","","",""
"At least once a month","1987","Couple + C. GT 16 ","East Germany","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","West Germany","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","East Germany","","","",""
"At lease once a week","1987","1-pers.-HH","West Germany","","","",""
"At lease once a week","1987","1-pers.-HH","East Germany","","","",""
"At lease once a week","1987","(Married) couple without C. ","West Germany","","","",""
"At lease once a week","1987","(Married) couple without C. ","East Germany","","","",""
"At lease once a week","1987","Single parent ","West Germany","","","",""
"At lease once a week","1987","Single parent ","East Germany","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","West Germany","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","East Germany","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","West Germany","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","East Germany","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","West Germany","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Almost never or never","1988","1-pers.-HH","West Germany","668","0.654353390654611","0.625655882348187","0.683050898961036"
"Almost never or never","1988","1-pers.-HH","East Germany","","","",""
"Almost never or never","1988","(Married) couple without C. ","West Germany","1409","0.627522253346221","0.607603115115416","0.647441391577025"
"Almost never or never","1988","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1988","Single parent ","West Germany","260","0.518198822082078","0.474790665870951","0.561606978293205"
"Almost never or never","1988","Single parent ","East Germany","","","",""
"Almost never or never","1988","Couple + C. LE 16 ","West Germany","1201","0.476437597811822","0.455628913430908","0.497246282192736"
"Almost never or never","1988","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1988","Couple + C. GT 16 ","West Germany","1121","0.494111186906193","0.473128546425044","0.515093827387342"
"Almost never or never","1988","Couple + C. GT 16 ","East Germany","","","",""
"Almost never or never","1988","Couple + C. LE and GT 16","West Germany","595","0.478582315126568","0.448817330521471","0.508347299731664"
"Almost never or never","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Several times a year","1988","1-pers.-HH","West Germany","105","0.0926936966894965","0.0751942657384994","0.110193127640494"
"Several times a year","1988","1-pers.-HH","East Germany","","","",""
"Several times a year","1988","(Married) couple without C. ","West Germany","251","0.106343472141514","0.0936422196927283","0.1190447245903"
"Several times a year","1988","(Married) couple without C. ","East Germany","","","",""
"Several times a year","1988","Single parent ","West Germany","78","0.159978273988893","0.128131535431699","0.191825012546086"
"Several times a year","1988","Single parent ","East Germany","","","",""
"Several times a year","1988","Couple + C. LE 16 ","West Germany","379","0.191115387809119","0.174734082715169","0.207496692903069"
"Several times a year","1988","Couple + C. LE 16 ","East Germany","","","",""
"Several times a year","1988","Couple + C. GT 16 ","West Germany","306","0.151210470790855","0.136175201959375","0.166245739622336"
"Several times a year","1988","Couple + C. GT 16 ","East Germany","","","",""
"Several times a year","1988","Couple + C. LE and GT 16","West Germany","141","0.148251478643454","0.127078124008917","0.16942483327799"
"Several times a year","1988","Couple + C. LE and GT 16","East Germany","","","",""
"At least once a month","1988","1-pers.-HH","West Germany","50","0.0437570406493671","0.0314137783604749","0.0561003029382594"
"At least once a month","1988","1-pers.-HH","East Germany","","","",""
"At least once a month","1988","(Married) couple without C. ","West Germany","91","0.03787035298713","0.0300058317555855","0.0457348742186745"
"At least once a month","1988","(Married) couple without C. ","East Germany","","","",""
"At least once a month","1988","Single parent ","West Germany","29","","",""
"At least once a month","1988","Single parent ","East Germany","","","",""
"At least once a month","1988","Couple + C. LE 16 ","West Germany","135","0.0700758479666798","0.0594401663369854","0.0807115295963742"
"At least once a month","1988","Couple + C. LE 16 ","East Germany","","","",""
"At least once a month","1988","Couple + C. GT 16 ","West Germany","137","0.0667832121240073","0.0563060133957032","0.0772604108523115"
"At least once a month","1988","Couple + C. GT 16 ","East Germany","","","",""
"At least once a month","1988","Couple + C. LE and GT 16","West Germany","53","0.055409851392476","0.0417781627080156","0.0690415400769365"
"At least once a month","1988","Couple + C. LE and GT 16","East Germany","","","",""
"At lease once a week","1988","1-pers.-HH","West Germany","232","0.209195872006525","0.184652576281387","0.233739167731663"
"At lease once a week","1988","1-pers.-HH","East Germany","","","",""
"At lease once a week","1988","(Married) couple without C. ","West Germany","512","0.228263921525135","0.210971378973155","0.245556464077116"
"At lease once a week","1988","(Married) couple without C. ","East Germany","","","",""
"At lease once a week","1988","Single parent ","West Germany","142","0.263224167983986","0.224966387896625","0.301481948071347"
"At lease once a week","1988","Single parent ","East Germany","","","",""
"At lease once a week","1988","Couple + C. LE 16 ","West Germany","498","0.262371166412379","0.244042351762096","0.280699981062663"
"At lease once a week","1988","Couple + C. LE 16 ","East Germany","","","",""
"At lease once a week","1988","Couple + C. GT 16 ","West Germany","617","0.287895130178944","0.268892689060935","0.306897571296954"
"At lease once a week","1988","Couple + C. GT 16 ","East Germany","","","",""
"At lease once a week","1988","Couple + C. LE and GT 16","West Germany","293","0.317756354837502","0.290013488303108","0.345499221371897"
"At lease once a week","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Almost never or never","1989","1-pers.-HH","West Germany","","","",""
"Almost never or never","1989","1-pers.-HH","East Germany","","","",""
"Almost never or never","1989","(Married) couple without C. ","West Germany","","","",""
"Almost never or never","1989","(Married) couple without C. ","East Germany","","","",""
"Almost never or never","1989","Single parent ","West Germany","","","",""
"Almost never or never","1989","Single parent ","East Germany","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","West Germany","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","East Germany","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","West Germany","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","East Germany","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Several times a year","1989","1-pers.-HH","West Germany","","","",""
"Several times a year","1989","1-pers.-HH","East Germany","","","",""
"Several times a year","1989","(Married) couple without C. ","West Germany","","","",""
"Several times a year","1989","(Married) couple without C. ","East Germany","","","",""
"Several times a year","1989","Single parent ","West Germany","","","",""
"Several times a year","1989","Single parent ","East Germany","","","",""
"Several times a year","1989","Couple + C. LE 16 ","West Germany","","","",""
"Several times a year","1989","Couple + C. LE 16 ","East Germany","","","",""
"Several times a year","1989","Couple + C. GT 16 ","West Germany","","","",""
"Several times a year","1989","Couple + C. GT 16 ","East Germany","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","East Germany","","","",""
"At least once a month","1989","1-pers.-HH","West Germany","","","",""
"At least once a month","1989","1-pers.-HH","East Germany","","","",""
"At least once a month","1989","(Married) couple without C. ","West Germany","","","",""
"At least once a month","1989","(Married) couple without C. ","East Germany","","","",""
"At least once a month","1989","Single parent ","West Germany","","","",""
"At least once a month","1989","Single parent ","East Germany","","","",""
"At least once a month","1989","Couple + C. LE 16 ","West Germany","","","",""
"At least once a month","1989","Couple + C. LE 16 ","East Germany","","","",""
"At least once a month","1989","Couple + C. GT 16 ","West Germany","","","",""
"At least once a month","1989","Couple + C. GT 16 ","East Germany","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","West Germany","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","East Germany","","","",""
"At lease once a week","1989","1-pers.-HH","West Germany","","","",""
"At lease once a week","1989","1-pers.-HH","East Germany","","","",""
"At lease once a week","1989","(Married) couple without C. ","West Germany","","","",""
"At lease once a week","1989","(Married) couple without C. ","East Germany","","","",""
"At lease once a week","1989","Single parent ","West Germany","","","",""
"At lease once a week","1989","Single parent ","East Germany","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","West Germany","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","East Germany","","","",""
"At lease once a week","1989","Couple + C. GT 16 ","West Germany","","","",""
"At lease once a week","1989","Couple + C. GT 16 ","East Germany","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","West Germany","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Almost never or never","1990","1-pers.-HH","West Germany","552","0.555908370313824","0.525594168133924","0.586222572493723"
"Almost never or never","1990","1-pers.-HH","East Germany","272","0.831093390701835","0.790422140059653","0.871764641344018"
"Almost never or never","1990","(Married) couple without C. ","West Germany","1106","0.481666382736152","0.461254959508696","0.502077805963608"
"Almost never or never","1990","(Married) couple without C. ","East Germany","730","0.792269557824886","0.766111911547335","0.818427204102437"
"Almost never or never","1990","Single parent ","West Germany","175","0.369963055846627","0.325795442173087","0.414130669520167"
"Almost never or never","1990","Single parent ","East Germany","129","0.668647998051695","0.601718916662957","0.735577079440432"
"Almost never or never","1990","Couple + C. LE 16 ","West Germany","814","0.307398832301028","0.287569452094675","0.327228212507381"
"Almost never or never","1990","Couple + C. LE 16 ","East Germany","948","0.659442116084421","0.635050088670732","0.683834143498109"
"Almost never or never","1990","Couple + C. GT 16 ","West Germany","852","0.369001912151123","0.348118878382336","0.38988494591991"
"Almost never or never","1990","Couple + C. GT 16 ","East Germany","472","0.600449519482965","0.566444501427282","0.634454537538649"
"Almost never or never","1990","Couple + C. LE and GT 16","West Germany","402","0.360304717662754","0.328639003480126","0.391970431845382"
"Almost never or never","1990","Couple + C. LE and GT 16","East Germany","169","0.570931881606269","0.51556702571768","0.626296737494859"
"Several times a year","1990","1-pers.-HH","West Germany","142","0.134175424526658","0.113380388087683","0.154970460965632"
"Several times a year","1990","1-pers.-HH","East Germany","24","","",""
"Several times a year","1990","(Married) couple without C. ","West Germany","407","0.173509607618821","0.158040113919388","0.188979101318254"
"Several times a year","1990","(Married) couple without C. ","East Germany","89","0.0938290985463712","0.0750278827813921","0.11263031431135"
"Several times a year","1990","Single parent ","West Germany","89","0.208375180237218","0.171219566141897","0.245530794332538"
"Several times a year","1990","Single parent ","East Germany","27","","",""
"Several times a year","1990","Couple + C. LE 16 ","West Germany","526","0.286151069594963","0.266728026807019","0.305574112382907"
"Several times a year","1990","Couple + C. LE 16 ","East Germany","244","0.164318541735808","0.145245157441823","0.183391926029793"
"Several times a year","1990","Couple + C. GT 16 ","West Germany","385","0.208446418999746","0.190867076034388","0.226025761965104"
"Several times a year","1990","Couple + C. GT 16 ","East Germany","145","0.180186025869762","0.153502873137719","0.206869178601805"
"Several times a year","1990","Couple + C. LE and GT 16","West Germany","147","0.192302097464769","0.166307432319813","0.218296762609725"
"Several times a year","1990","Couple + C. LE and GT 16","East Germany","58","0.175095438674228","0.132582789179931","0.217608088168524"
"At least once a month","1990","1-pers.-HH","West Germany","77","0.0677860340184854","0.0524491844609173","0.0831228835760536"
"At least once a month","1990","1-pers.-HH","East Germany","3","","",""
