"m11104","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Almost never or never","2005","West Germany","6082","0.41651190962413","0.40878483742484","0.42423898182342"
"Almost never or never","2005","East Germany","2306","0.49123685396986","0.477426819003693","0.505046888936027"
"Several times a year","2005","West Germany","2773","0.177512683005243","0.17152354170939","0.183501824301097"
"Several times a year","2005","East Germany","1102","0.212807536155978","0.201501107385283","0.224113964926673"
"At least once a month","2005","West Germany","1260","0.0821902041584591","0.0778852192426681","0.0864951890742501"
"At least once a month","2005","East Germany","367","0.0691436298657959","0.0621353907606539","0.0761518689709379"
"At lease once a week","2005","West Germany","5521","0.323785203212168","0.316450946720617","0.331119459703719"
"At lease once a week","2005","East Germany","1259","0.226811980008366","0.215243746710298","0.238380213306435"
"Almost never or never","2006","West Germany","","","",""
"Almost never or never","2006","East Germany","","","",""
"Several times a year","2006","West Germany","","","",""
"Several times a year","2006","East Germany","","","",""
"At least once a month","2006","West Germany","","","",""
"At least once a month","2006","East Germany","","","",""
"At lease once a week","2006","West Germany","","","",""
"At lease once a week","2006","East Germany","","","",""
"Almost never or never","2007","West Germany","5911","0.401039592605227","0.393322655090655","0.408756530119799"
"Almost never or never","2007","East Germany","2296","0.480169786921899","0.466329954160923","0.494009619682874"
"Several times a year","2007","West Germany","2603","0.173875792154808","0.16790826318842","0.179843321121196"
"Several times a year","2007","East Germany","1037","0.202515530632195","0.191383024255125","0.213648037009265"
"At least once a month","2007","West Germany","1162","0.0717120260364377","0.0676495607864038","0.0757744912864716"
"At least once a month","2007","East Germany","343","0.0674019034848054","0.0604566834160491","0.0743471235535618"
"At lease once a week","2007","West Germany","5819","0.353372589203528","0.345846042075455","0.3608991363316"
"At lease once a week","2007","East Germany","1330","0.249912778961101","0.237919089952415","0.261906467969787"
"Almost never or never","2008","West Germany","4600","0.329360074034349","0.321724318690857","0.336995829377842"
"Almost never or never","2008","East Germany","1770","0.382124187293533","0.368337791740737","0.395910582846329"
"Several times a year","2008","West Germany","2594","0.185564821009623","0.179248736793223","0.191880905226024"
"Several times a year","2008","East Germany","1057","0.219504214451784","0.207760524245366","0.231247904658202"
"At least once a month","2008","West Germany","1158","0.0796426893239483","0.075244002748181","0.0840413758997156"
"At least once a month","2008","East Germany","333","0.0722380859292944","0.0648929597861846","0.0795832120724042"
"At lease once a week","2008","West Germany","6201","0.405432415632079","0.397455561052552","0.413409270211607"
"At lease once a week","2008","East Germany","1612","0.326133512325389","0.312832566739404","0.339434457911374"
"Almost never or never","2009","West Germany","4894","0.370213592122189","0.36206623689115","0.378360947353228"
"Almost never or never","2009","East Germany","2030","0.467807096128097","0.453283462814009","0.482330729442185"
"Several times a year","2009","West Germany","2319","0.175278203015519","0.168862983474568","0.18169342255647"
"Several times a year","2009","East Germany","900","0.186579650767146","0.175240070291525","0.197919231242768"
"At least once a month","2009","West Germany","993","0.0778929384160715","0.0733709072783115","0.0824149695538315"
"At least once a month","2009","East Germany","343","0.075298340239832","0.0676176393372488","0.0829790411424152"
"At lease once a week","2009","West Germany","5287","0.376615266446221","0.368439643153625","0.384790889738817"
"At lease once a week","2009","East Germany","1261","0.270314912864924","0.257387546076259","0.28324227965359"
"Almost never or never","2010","West Germany","","","",""
"Almost never or never","2010","East Germany","","","",""
"Several times a year","2010","West Germany","","","",""
"Several times a year","2010","East Germany","","","",""
"At least once a month","2010","West Germany","","","",""
"At least once a month","2010","East Germany","","","",""
"At lease once a week","2010","West Germany","","","",""
"At lease once a week","2010","East Germany","","","",""
"Almost never or never","2011","West Germany","8557","0.395686066941987","0.389232771442056","0.402139362441918"
"Almost never or never","2011","East Germany","3028","0.46665229681759","0.454349762900447","0.478954830734734"
"Several times a year","2011","West Germany","3508","0.158008772741164","0.153195181007464","0.162822364474864"
"Several times a year","2011","East Germany","1088","0.171307095885236","0.162015781849647","0.180598409920826"
"At least once a month","2011","West Germany","1410","0.0642404598150539","0.0610048114264811","0.0674761082036266"
"At least once a month","2011","East Germany","405","0.0636824805023449","0.0576608484737395","0.0697041125309504"
"At lease once a week","2011","West Germany","8582","0.382064700501795","0.375652385788992","0.388477015214598"
"At lease once a week","2011","East Germany","1796","0.298358126794828","0.287075263189003","0.309640990400653"
"Almost never or never","2012","West Germany","","","",""
"Almost never or never","2012","East Germany","","","",""
"Several times a year","2012","West Germany","","","",""
"Several times a year","2012","East Germany","","","",""
"At least once a month","2012","West Germany","","","",""
"At least once a month","2012","East Germany","","","",""
"At lease once a week","2012","West Germany","","","",""
"At lease once a week","2012","East Germany","","","",""
"Almost never or never","2013","West Germany","6222","0.313621947587267","0.307156183344353","0.320087711830181"
"Almost never or never","2013","East Germany","2251","0.376442110260951","0.363885409875032","0.388998810646871"
"Several times a year","2013","West Germany","2729","0.134158299131824","0.129408634250711","0.138907964012938"
"Several times a year","2013","East Germany","936","0.172680882294313","0.162884929079129","0.182476835509497"
"At least once a month","2013","West Germany","974","0.0512777684064823","0.0482040148484229","0.0543515219645416"
"At least once a month","2013","East Germany","281","0.0502118314463333","0.0445519875704597","0.0558716753222069"
"At lease once a week","2013","West Germany","9855","0.500941984874426","0.49397404842614","0.507909921322713"
"At lease once a week","2013","East Germany","2251","0.400665175998402","0.387964887169465","0.413365464827339"
"Almost never or never","2014","West Germany","","","",""
"Almost never or never","2014","East Germany","","","",""
"Several times a year","2014","West Germany","","","",""
"Several times a year","2014","East Germany","","","",""
"At least once a month","2014","West Germany","","","",""
"At least once a month","2014","East Germany","","","",""
"At lease once a week","2014","West Germany","","","",""
"At lease once a week","2014","East Germany","","","",""
"Almost never or never","2015","West Germany","7910","0.361056928802187","0.354626563209904","0.36748729439447"
"Almost never or never","2015","East Germany","2517","0.457443626563094","0.444189246930202","0.470698006195986"
"Several times a year","2015","West Germany","2950","0.132823227911676","0.12827954962069","0.137366906202662"
"Several times a year","2015","East Germany","745","0.139667210127633","0.130444710485577","0.14888970976969"
"At least once a month","2015","West Germany","1133","0.0554479446167088","0.0523840599341161","0.0585118292993016"
"At least once a month","2015","East Germany","316","0.0562452745859247","0.0501155526991728","0.0623749964726765"
"At lease once a week","2015","West Germany","9439","0.450671898669428","0.444010538924378","0.457333258414479"
"At lease once a week","2015","East Germany","1849","0.346643888723348","0.333982395318434","0.359305382128262"
"Almost never or never","2016","West Germany","","","",""
"Almost never or never","2016","East Germany","","","",""
"Several times a year","2016","West Germany","","","",""
"Several times a year","2016","East Germany","","","",""
"At least once a month","2016","West Germany","","","",""
"At least once a month","2016","East Germany","","","",""
"At lease once a week","2016","West Germany","","","",""
"At lease once a week","2016","East Germany","","","",""
"Almost never or never","2017","West Germany","9681","0.351714143545797","0.345888543136353","0.35753974395524"
"Almost never or never","2017","East Germany","2785","0.423647418374496","0.411506164707009","0.435788672041982"
"Several times a year","2017","West Germany","3426","0.127290200718916","0.123223942874458","0.131356458563375"
"Several times a year","2017","East Germany","889","0.138519795451351","0.130031984432455","0.147007606470246"
"At least once a month","2017","West Germany","1320","0.0503745952471571","0.0477062350778427","0.0530429554164715"
"At least once a month","2017","East Germany","327","0.0538872605335946","0.048339322169743","0.0594351988974462"
"At lease once a week","2017","West Germany","11382","0.47062106048813","0.464531562223015","0.476710558753245"
"At lease once a week","2017","East Germany","2362","0.383945525640559","0.371995702081431","0.395895349199687"
"Almost never or never","2018","West Germany","1555","0.394547717770782","0.377874667602464","0.4112207679391"
"Almost never or never","2018","East Germany","264","0.363466258661255","0.323413173522705","0.403519343799806"
"Several times a year","2018","West Germany","554","0.171230598278985","0.158379718221767","0.184081478336202"
"Several times a year","2018","East Germany","64","0.129740266343714","0.101759793720198","0.15772073896723"
"At least once a month","2018","West Germany","204","0.0748308674925203","0.0658550030296118","0.0838067319554288"
"At least once a month","2018","East Germany","12","","",""
"At lease once a week","2018","West Germany","988","0.359390816457713","0.343022447846863","0.375759185068563"
"At lease once a week","2018","East Germany","214","0.479371628524016","0.437771632639267","0.520971624408764"
"Almost never or never","2019","West Germany","6603","0.275505008466305","0.269762516757283","0.281247500175327"
"Almost never or never","2019","East Germany","1984","0.314184850623801","0.302479354365374","0.325890346882228"
"Several times a year","2019","West Germany","2912","0.127221663498524","0.122938640091782","0.131504686905265"
"Several times a year","2019","East Germany","909","0.151873793302123","0.142823444136369","0.160924142467877"
"At least once a month","2019","West Germany","1045","0.0450002977903798","0.0423357271038303","0.0476648684769292"
"At least once a month","2019","East Germany","318","0.0570380742056637","0.0511898612462521","0.0628862871650753"
"At lease once a week","2019","West Germany","12692","0.552273030244791","0.545881549579928","0.558664510909655"
"At lease once a week","2019","East Germany","2830","0.476903281868412","0.46430823388544","0.489498329851385"
