"m11104","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"At least once a month","1984","in school","West Germany","91","0.491326190531807","0.419673593819073","0.562978787244542"
"At least once a month","1984","in school","East Germany","","","",""
"At least once a month","1984","inadequately","West Germany","50","0.0779981397601928","0.0614432670395658","0.0945530124808198"
"At least once a month","1984","inadequately","East Germany","","","",""
"At least once a month","1984","general elemantary","West Germany","426","0.119364321093966","0.108485571399085","0.130243070788846"
"At least once a month","1984","general elemantary","East Germany","","","",""
"At least once a month","1984","middle vocational","West Germany","1097","0.194758577411259","0.184414178875797","0.20510297594672"
"At least once a month","1984","middle vocational","East Germany","","","",""
"At least once a month","1984","vocational + Abi","West Germany","75","0.264795543991622","0.215679130637792","0.313911957345452"
"At least once a month","1984","vocational + Abi","East Germany","","","",""
"At least once a month","1984","higher vocational","West Germany","138","0.208296275189939","0.176932577914038","0.239659972465841"
"At least once a month","1984","higher vocational","East Germany","","","",""
"At least once a month","1984","higher education","West Germany","236","0.298372990035822","0.266345495735388","0.330400484336257"
"At least once a month","1984","higher education","East Germany","","","",""
"At lease once a week","1984","in school","West Germany","","","",""
"At lease once a week","1984","in school","East Germany","","","",""
"At lease once a week","1984","inadequately","West Germany","","","",""
"At lease once a week","1984","inadequately","East Germany","","","",""
"At lease once a week","1984","general elemantary","West Germany","","","",""
"At lease once a week","1984","general elemantary","East Germany","","","",""
"At lease once a week","1984","middle vocational","West Germany","","","",""
"At lease once a week","1984","middle vocational","East Germany","","","",""
"At lease once a week","1984","vocational + Abi","West Germany","","","",""
"At lease once a week","1984","vocational + Abi","East Germany","","","",""
"At lease once a week","1984","higher vocational","West Germany","","","",""
"At lease once a week","1984","higher vocational","East Germany","","","",""
"At lease once a week","1984","higher education","West Germany","","","",""
"At lease once a week","1984","higher education","East Germany","","","",""
"Almost never or never","1985","in school","West Germany","40","0.183664065712505","0.128166511797529","0.239161619627481"
"Almost never or never","1985","in school","East Germany","","","",""
"Almost never or never","1985","inadequately","West Germany","721","0.792862113666825","0.765440329154141","0.820283898179509"
"Almost never or never","1985","inadequately","East Germany","","","",""
"Almost never or never","1985","general elemantary","West Germany","2094","0.71140334582137","0.695296336989058","0.727510354653681"
"Almost never or never","1985","general elemantary","East Germany","","","",""
"Almost never or never","1985","middle vocational","West Germany","2903","0.575992353184779","0.56247294557233","0.589511760797229"
"Almost never or never","1985","middle vocational","East Germany","","","",""
"Almost never or never","1985","vocational + Abi","West Germany","125","0.41768534907637","0.359183411915058","0.476187286237683"
"Almost never or never","1985","vocational + Abi","East Germany","","","",""
"Almost never or never","1985","higher vocational","West Germany","289","0.490993511827206","0.451418833865793","0.530568189788619"
"Almost never or never","1985","higher vocational","East Germany","","","",""
"Almost never or never","1985","higher education","West Germany","255","0.357004029114831","0.322714766649682","0.39129329157998"
"Almost never or never","1985","higher education","East Germany","","","",""
"Several times a year","1985","in school","West Germany","23","","",""
"Several times a year","1985","in school","East Germany","","","",""
"Several times a year","1985","inadequately","West Germany","54","0.0735142425053076","0.0558549936122196","0.0911734913983956"
"Several times a year","1985","inadequately","East Germany","","","",""
"Several times a year","1985","general elemantary","West Germany","296","0.0828409456673835","0.0730425233896846","0.0926393679450823"
"Several times a year","1985","general elemantary","East Germany","","","",""
"Several times a year","1985","middle vocational","West Germany","755","0.140670089674215","0.131158714663026","0.150181464685404"
"Several times a year","1985","middle vocational","East Germany","","","",""
"Several times a year","1985","vocational + Abi","West Germany","48","0.187585935309251","0.141277978376962","0.233893892241539"
"Several times a year","1985","vocational + Abi","East Germany","","","",""
"Several times a year","1985","higher vocational","West Germany","106","0.155812593971083","0.127102238670167","0.184522949271998"
"Several times a year","1985","higher vocational","East Germany","","","",""
"Several times a year","1985","higher education","West Germany","140","0.176320254241422","0.149046322174408","0.203594186308436"
"Several times a year","1985","higher education","East Germany","","","",""
"At least once a month","1985","in school","West Germany","15","","",""
"At least once a month","1985","in school","East Germany","","","",""
"At least once a month","1985","inadequately","West Germany","15","","",""
"At least once a month","1985","inadequately","East Germany","","","",""
"At least once a month","1985","general elemantary","West Germany","123","0.0358421150604817","0.0292339300622156","0.0424503000587478"
"At least once a month","1985","general elemantary","East Germany","","","",""
"At least once a month","1985","middle vocational","West Germany","273","0.0486973912705436","0.0428092984040831","0.0545854841370041"
"At least once a month","1985","middle vocational","East Germany","","","",""
"At least once a month","1985","vocational + Abi","West Germany","14","","",""
"At least once a month","1985","vocational + Abi","East Germany","","","",""
"At least once a month","1985","higher vocational","West Germany","42","0.0665146427212343","0.0467890419080361","0.0862402435344325"
"At least once a month","1985","higher vocational","East Germany","","","",""
"At least once a month","1985","higher education","West Germany","56","0.0697778888889331","0.051544403161677","0.0880113746161892"
"At least once a month","1985","higher education","East Germany","","","",""
"At lease once a week","1985","in school","West Germany","109","0.605561082912712","0.535513017551437","0.675609148273987"
"At lease once a week","1985","in school","East Germany","","","",""
"At lease once a week","1985","inadequately","West Germany","49","0.107702730658285","0.0867261232688012","0.128679338047768"
"At lease once a week","1985","inadequately","East Germany","","","",""
"At lease once a week","1985","general elemantary","West Germany","527","0.169913593450765","0.156563416794054","0.183263770107476"
"At lease once a week","1985","general elemantary","East Germany","","","",""
"At lease once a week","1985","middle vocational","West Germany","1202","0.234640165870462","0.223047148921643","0.24623318281928"
"At lease once a week","1985","middle vocational","East Germany","","","",""
"At lease once a week","1985","vocational + Abi","West Germany","86","0.338569066703708","0.282434205058988","0.394703928348429"
"At lease once a week","1985","vocational + Abi","East Germany","","","",""
"At lease once a week","1985","higher vocational","West Germany","176","0.286679251480477","0.25088128038821","0.322477222572745"
"At lease once a week","1985","higher vocational","East Germany","","","",""
"At lease once a week","1985","higher education","West Germany","299","0.396897827754814","0.361882978040142","0.431912677469487"
"At lease once a week","1985","higher education","East Germany","","","",""
"Almost never or never","1986","in school","West Germany","26","","",""
"Almost never or never","1986","in school","East Germany","","","",""
"Almost never or never","1986","inadequately","West Germany","659","0.778084286211577","0.748941576913495","0.807226995509658"
"Almost never or never","1986","inadequately","East Germany","","","",""
"Almost never or never","1986","general elemantary","West Germany","1964","0.709862259141496","0.693307843500182","0.726416674782811"
"Almost never or never","1986","general elemantary","East Germany","","","",""
"Almost never or never","1986","middle vocational","West Germany","2750","0.569276421790141","0.555506920254911","0.583045923325372"
"Almost never or never","1986","middle vocational","East Germany","","","",""
"Almost never or never","1986","vocational + Abi","West Germany","123","0.392592124222205","0.334981238679023","0.450203009765386"
"Almost never or never","1986","vocational + Abi","East Germany","","","",""
"Almost never or never","1986","higher vocational","West Germany","276","0.503952466241744","0.462906819979372","0.544998112504116"
"Almost never or never","1986","higher vocational","East Germany","","","",""
"Almost never or never","1986","higher education","West Germany","269","0.379116873226243","0.344301571528107","0.41393217492438"
"Almost never or never","1986","higher education","East Germany","","","",""
"Several times a year","1986","in school","West Germany","33","0.157843734894524","0.105447312426558","0.21024015736249"
"Several times a year","1986","in school","East Germany","","","",""
"Several times a year","1986","inadequately","West Germany","50","0.0662915459977269","0.0488430783195768","0.0837400136758769"
"Several times a year","1986","inadequately","East Germany","","","",""
"Several times a year","1986","general elemantary","West Germany","261","0.0802437092578513","0.0703338706778426","0.09015354783786"
"Several times a year","1986","general elemantary","East Germany","","","",""
"Several times a year","1986","middle vocational","West Germany","675","0.128235844493858","0.118938444415736","0.13753324457198"
"Several times a year","1986","middle vocational","East Germany","","","",""
"Several times a year","1986","vocational + Abi","West Germany","47","0.188897698930297","0.142718680171666","0.235076717688929"
"Several times a year","1986","vocational + Abi","East Germany","","","",""
"Several times a year","1986","higher vocational","West Germany","92","0.164794928156445","0.134338487642845","0.195251368670044"
"Several times a year","1986","higher vocational","East Germany","","","",""
"Several times a year","1986","higher education","West Germany","110","0.142496874469283","0.117412735252708","0.167581013685857"
"Several times a year","1986","higher education","East Germany","","","",""
"At least once a month","1986","in school","West Germany","6","","",""
"At least once a month","1986","in school","East Germany","","","",""
"At least once a month","1986","inadequately","West Germany","15","","",""
"At least once a month","1986","inadequately","East Germany","","","",""
"At least once a month","1986","general elemantary","West Germany","121","0.0377061405444104","0.0307577439730768","0.0446545371157441"
"At least once a month","1986","general elemantary","East Germany","","","",""
"At least once a month","1986","middle vocational","West Germany","299","0.0552660940075404","0.0489121785168114","0.0616200094982693"
"At least once a month","1986","middle vocational","East Germany","","","",""
"At least once a month","1986","vocational + Abi","West Germany","18","","",""
"At least once a month","1986","vocational + Abi","East Germany","","","",""
"At least once a month","1986","higher vocational","West Germany","35","0.0500113532277348","0.0321174875166621","0.0679052189388076"
"At least once a month","1986","higher vocational","East Germany","","","",""
"At least once a month","1986","higher education","West Germany","67","0.0904135661860801","0.0698348885412957","0.110992243830864"
"At least once a month","1986","higher education","East Germany","","","",""
"At lease once a week","1986","in school","West Germany","121","0.659826867253713","0.591741055231718","0.727912679275707"
"At lease once a week","1986","in school","East Germany","","","",""
"At lease once a week","1986","inadequately","West Germany","57","0.134954994334038","0.110992258159699","0.158917730508377"
"At lease once a week","1986","inadequately","East Germany","","","",""
"At lease once a week","1986","general elemantary","West Germany","541","0.172187891056242","0.158416053547095","0.185959728565389"
"At lease once a week","1986","general elemantary","East Germany","","","",""
"At lease once a week","1986","middle vocational","West Germany","1244","0.247221639708461","0.235225704765307","0.259217574651614"
"At lease once a week","1986","middle vocational","East Germany","","","",""
"At lease once a week","1986","vocational + Abi","West Germany","88","0.332609505385801","0.277025365896776","0.388193644874826"
"At lease once a week","1986","vocational + Abi","East Germany","","","",""
"At lease once a week","1986","higher vocational","West Germany","167","0.281241252374076","0.244331447742288","0.318151057005865"
"At lease once a week","1986","higher vocational","East Germany","","","",""
"At lease once a week","1986","higher education","West Germany","300","0.387972686118394","0.353005180336227","0.422940191900561"
"At lease once a week","1986","higher education","East Germany","","","",""
"Almost never or never","1987","in school","West Germany","","","",""
"Almost never or never","1987","in school","East Germany","","","",""
"Almost never or never","1987","inadequately","West Germany","","","",""
"Almost never or never","1987","inadequately","East Germany","","","",""
"Almost never or never","1987","general elemantary","West Germany","","","",""
"Almost never or never","1987","general elemantary","East Germany","","","",""
"Almost never or never","1987","middle vocational","West Germany","","","",""
"Almost never or never","1987","middle vocational","East Germany","","","",""
"Almost never or never","1987","vocational + Abi","West Germany","","","",""
"Almost never or never","1987","vocational + Abi","East Germany","","","",""
"Almost never or never","1987","higher vocational","West Germany","","","",""
"Almost never or never","1987","higher vocational","East Germany","","","",""
"Almost never or never","1987","higher education","West Germany","","","",""
"Almost never or never","1987","higher education","East Germany","","","",""
"Several times a year","1987","in school","West Germany","","","",""
"Several times a year","1987","in school","East Germany","","","",""
"Several times a year","1987","inadequately","West Germany","","","",""
"Several times a year","1987","inadequately","East Germany","","","",""
"Several times a year","1987","general elemantary","West Germany","","","",""
"Several times a year","1987","general elemantary","East Germany","","","",""
"Several times a year","1987","middle vocational","West Germany","","","",""
"Several times a year","1987","middle vocational","East Germany","","","",""
"Several times a year","1987","vocational + Abi","West Germany","","","",""
"Several times a year","1987","vocational + Abi","East Germany","","","",""
"Several times a year","1987","higher vocational","West Germany","","","",""
"Several times a year","1987","higher vocational","East Germany","","","",""
"Several times a year","1987","higher education","West Germany","","","",""
"Several times a year","1987","higher education","East Germany","","","",""
"At least once a month","1987","in school","West Germany","","","",""
"At least once a month","1987","in school","East Germany","","","",""
"At least once a month","1987","inadequately","West Germany","","","",""
"At least once a month","1987","inadequately","East Germany","","","",""
"At least once a month","1987","general elemantary","West Germany","","","",""
"At least once a month","1987","general elemantary","East Germany","","","",""
"At least once a month","1987","middle vocational","West Germany","","","",""
"At least once a month","1987","middle vocational","East Germany","","","",""
"At least once a month","1987","vocational + Abi","West Germany","","","",""
"At least once a month","1987","vocational + Abi","East Germany","","","",""
"At least once a month","1987","higher vocational","West Germany","","","",""
"At least once a month","1987","higher vocational","East Germany","","","",""
"At least once a month","1987","higher education","West Germany","","","",""
"At least once a month","1987","higher education","East Germany","","","",""
"At lease once a week","1987","in school","West Germany","","","",""
"At lease once a week","1987","in school","East Germany","","","",""
"At lease once a week","1987","inadequately","West Germany","","","",""
"At lease once a week","1987","inadequately","East Germany","","","",""
"At lease once a week","1987","general elemantary","West Germany","","","",""
"At lease once a week","1987","general elemantary","East Germany","","","",""
"At lease once a week","1987","middle vocational","West Germany","","","",""
"At lease once a week","1987","middle vocational","East Germany","","","",""
"At lease once a week","1987","vocational + Abi","West Germany","","","",""
"At lease once a week","1987","vocational + Abi","East Germany","","","",""
"At lease once a week","1987","higher vocational","West Germany","","","",""
"At lease once a week","1987","higher vocational","East Germany","","","",""
"At lease once a week","1987","higher education","West Germany","","","",""
"At lease once a week","1987","higher education","East Germany","","","",""
"Almost never or never","1988","in school","West Germany","22","","",""
"Almost never or never","1988","in school","East Germany","","","",""
"Almost never or never","1988","inadequately","West Germany","608","0.799294903181799","0.769602713543876","0.828987092819722"
"Almost never or never","1988","inadequately","East Germany","","","",""
"Almost never or never","1988","general elemantary","West Germany","1795","0.703369543066576","0.68616260431169","0.720576481821461"
"Almost never or never","1988","general elemantary","East Germany","","","",""
"Almost never or never","1988","middle vocational","West Germany","2539","0.548673593334654","0.534443950923976","0.562903235745333"
"Almost never or never","1988","middle vocational","East Germany","","","",""
"Almost never or never","1988","vocational + Abi","West Germany","124","0.41304689807439","0.354315871438125","0.471777924710656"
"Almost never or never","1988","vocational + Abi","East Germany","","","",""
"Almost never or never","1988","higher vocational","West Germany","237","0.470842745786363","0.428625366803672","0.513060124769055"
"Almost never or never","1988","higher vocational","East Germany","","","",""
"Almost never or never","1988","higher education","West Germany","241","0.3605704995899","0.324974521288345","0.396166477891454"
"Almost never or never","1988","higher education","East Germany","","","",""
"Several times a year","1988","in school","West Germany","14","","",""
"Several times a year","1988","in school","East Germany","","","",""
"Several times a year","1988","inadequately","West Germany","33","0.0731420237086055","0.0538401448694974","0.0924439025477135"
"Several times a year","1988","inadequately","East Germany","","","",""
"Several times a year","1988","general elemantary","West Germany","268","0.0856683622589592","0.07512531704193","0.0962114074759884"
"Several times a year","1988","general elemantary","East Germany","","","",""
"Several times a year","1988","middle vocational","West Germany","714","0.146535150312342","0.136422725362499","0.156647575262186"
"Several times a year","1988","middle vocational","East Germany","","","",""
"Several times a year","1988","vocational + Abi","West Germany","48","0.197319271184653","0.149848927233907","0.244789615135398"
"Several times a year","1988","vocational + Abi","East Germany","","","",""
"Several times a year","1988","higher vocational","West Germany","103","0.176353806669","0.144119100543793","0.208588512794206"
"Several times a year","1988","higher vocational","East Germany","","","",""
"Several times a year","1988","higher education","West Germany","130","0.177377610412632","0.149059832856671","0.205695387968593"
"Several times a year","1988","higher education","East Germany","","","",""
"At least once a month","1988","in school","West Germany","9","","",""
"At least once a month","1988","in school","East Germany","","","",""
"At least once a month","1988","inadequately","West Germany","13","","",""
"At least once a month","1988","inadequately","East Germany","","","",""
"At least once a month","1988","general elemantary","West Germany","121","0.0352906623204484","0.0283399052718494","0.0422414193690474"
"At least once a month","1988","general elemantary","East Germany","","","",""
"At least once a month","1988","middle vocational","West Germany","275","0.0579939264746027","0.0513103381290322","0.0646775148201731"
"At least once a month","1988","middle vocational","East Germany","","","",""
"At least once a month","1988","vocational + Abi","West Germany","17","","",""
"At least once a month","1988","vocational + Abi","East Germany","","","",""
"At least once a month","1988","higher vocational","West Germany","37","0.0688594719916237","0.0474428778207913","0.090276066162456"
"At least once a month","1988","higher vocational","East Germany","","","",""
"At least once a month","1988","higher education","West Germany","45","0.0681555153478338","0.0494731558116437","0.0868378748840238"
"At least once a month","1988","higher education","East Germany","","","",""
"At lease once a week","1988","in school","West Germany","116","0.70982393395022","0.639720181235252","0.779927686665188"
"At lease once a week","1988","in school","East Germany","","","",""
"At lease once a week","1988","inadequately","West Germany","45","0.105020260068439","0.0822927086012277","0.127747811535651"
"At lease once a week","1988","inadequately","East Germany","","","",""
"At lease once a week","1988","general elemantary","West Germany","523","0.175671432354017","0.16133620088761","0.190006663820423"
"At lease once a week","1988","general elemantary","East Germany","","","",""
"At lease once a week","1988","middle vocational","West Germany","1170","0.2467973298784","0.234468616995873","0.259126042760928"
"At lease once a week","1988","middle vocational","East Germany","","","",""
"At lease once a week","1988","vocational + Abi","West Germany","81","0.316983173214003","0.261482274602085","0.372484071825922"
"At lease once a week","1988","vocational + Abi","East Germany","","","",""
"At lease once a week","1988","higher vocational","West Germany","160","0.283943975553013","0.2458066021514","0.322081348954627"
"At lease once a week","1988","higher vocational","East Germany","","","",""
"At lease once a week","1988","higher education","West Germany","283","0.393896374649635","0.357674248742836","0.430118500556433"
"At lease once a week","1988","higher education","East Germany","","","",""
"Almost never or never","1989","in school","West Germany","","","",""
"Almost never or never","1989","in school","East Germany","","","",""
"Almost never or never","1989","inadequately","West Germany","","","",""
"Almost never or never","1989","inadequately","East Germany","","","",""
"Almost never or never","1989","general elemantary","West Germany","","","",""
"Almost never or never","1989","general elemantary","East Germany","","","",""
"Almost never or never","1989","middle vocational","West Germany","","","",""
"Almost never or never","1989","middle vocational","East Germany","","","",""
"Almost never or never","1989","vocational + Abi","West Germany","","","",""
"Almost never or never","1989","vocational + Abi","East Germany","","","",""
"Almost never or never","1989","higher vocational","West Germany","","","",""
"Almost never or never","1989","higher vocational","East Germany","","","",""
"Almost never or never","1989","higher education","West Germany","","","",""
"Almost never or never","1989","higher education","East Germany","","","",""
"Several times a year","1989","in school","West Germany","","","",""
"Several times a year","1989","in school","East Germany","","","",""
"Several times a year","1989","inadequately","West Germany","","","",""
"Several times a year","1989","inadequately","East Germany","","","",""
"Several times a year","1989","general elemantary","West Germany","","","",""
"Several times a year","1989","general elemantary","East Germany","","","",""
"Several times a year","1989","middle vocational","West Germany","","","",""
"Several times a year","1989","middle vocational","East Germany","","","",""
"Several times a year","1989","vocational + Abi","West Germany","","","",""
"Several times a year","1989","vocational + Abi","East Germany","","","",""
"Several times a year","1989","higher vocational","West Germany","","","",""
"Several times a year","1989","higher vocational","East Germany","","","",""
"Several times a year","1989","higher education","West Germany","","","",""
"Several times a year","1989","higher education","East Germany","","","",""
"At least once a month","1989","in school","West Germany","","","",""
"At least once a month","1989","in school","East Germany","","","",""
"At least once a month","1989","inadequately","West Germany","","","",""
"At least once a month","1989","inadequately","East Germany","","","",""
"At least once a month","1989","general elemantary","West Germany","","","",""
"At least once a month","1989","general elemantary","East Germany","","","",""
"At least once a month","1989","middle vocational","West Germany","","","",""
"At least once a month","1989","middle vocational","East Germany","","","",""
"At least once a month","1989","vocational + Abi","West Germany","","","",""
"At least once a month","1989","vocational + Abi","East Germany","","","",""
"At least once a month","1989","higher vocational","West Germany","","","",""
"At least once a month","1989","higher vocational","East Germany","","","",""
"At least once a month","1989","higher education","West Germany","","","",""
"At least once a month","1989","higher education","East Germany","","","",""
"At lease once a week","1989","in school","West Germany","","","",""
"At lease once a week","1989","in school","East Germany","","","",""
"At lease once a week","1989","inadequately","West Germany","","","",""
"At lease once a week","1989","inadequately","East Germany","","","",""
"At lease once a week","1989","general elemantary","West Germany","","","",""
"At lease once a week","1989","general elemantary","East Germany","","","",""
"At lease once a week","1989","middle vocational","West Germany","","","",""
"At lease once a week","1989","middle vocational","East Germany","","","",""
"At lease once a week","1989","vocational + Abi","West Germany","","","",""
"At lease once a week","1989","vocational + Abi","East Germany","","","",""
"At lease once a week","1989","higher vocational","West Germany","","","",""
"At lease once a week","1989","higher vocational","East Germany","","","",""
"At lease once a week","1989","higher education","West Germany","","","",""
"At lease once a week","1989","higher education","East Germany","","","",""
"Almost never or never","1990","in school","West Germany","20","","",""
"Almost never or never","1990","in school","East Germany","6","","",""
"Almost never or never","1990","inadequately","West Germany","500","0.724812014189954","0.6899100237877","0.759714004592208"
"Almost never or never","1990","inadequately","East Germany","8","","",""
"Almost never or never","1990","general elemantary","West Germany","1441","0.604061366651628","0.584751369506726","0.623371363796529"
"Almost never or never","1990","general elemantary","East Germany","365","0.783875505475894","0.747905571497752","0.819845439454037"
"Almost never or never","1990","middle vocational","West Germany","1802","0.39917115421563","0.384932009887576","0.413410298543685"
"Almost never or never","1990","middle vocational","East Germany","1821","0.753246671166624","0.736199762534371","0.770293579798877"
"Almost never or never","1990","vocational + Abi","West Germany","91","0.265342478410928","0.214959604299987","0.315725352521869"
"Almost never or never","1990","vocational + Abi","East Germany","37","0.469433343054095","0.359382977634914","0.579483708473276"
"Almost never or never","1990","higher vocational","West Germany","164","0.325483197976291","0.284937005112953","0.366029390839628"
"Almost never or never","1990","higher vocational","East Germany","174","0.741625908133456","0.687145647224456","0.796106169042455"
"Almost never or never","1990","higher education","West Germany","164","0.23208652801538","0.200655210714075","0.263517845316685"
"Almost never or never","1990","higher education","East Germany","541","0.560676873641586","0.529572101955659","0.591781645327513"
"Several times a year","1990","in school","West Germany","15","","",""
"Several times a year","1990","in school","East Germany","9","","",""
"Several times a year","1990","inadequately","West Germany","62","0.124275578963784","0.0984946004879864","0.150056557439581"
"Several times a year","1990","inadequately","East Germany","2","","",""
"Several times a year","1990","general elemantary","West Germany","370","0.143737554327891","0.129885432153771","0.157589676502011"
"Several times a year","1990","general elemantary","East Germany","60","0.0849433150236698","0.0605790844693217","0.109307545578018"
"Several times a year","1990","middle vocational","West Germany","973","0.215610000147977","0.20365280261855","0.227567197677403"
"Several times a year","1990","middle vocational","East Germany","311","0.119775808137305","0.106936940607373","0.132614675667237"
"Several times a year","1990","vocational + Abi","West Germany","64","0.214360520943231","0.167530846950167","0.261190194936295"
"Several times a year","1990","vocational + Abi","East Germany","19","","",""
"Several times a year","1990","higher vocational","West Germany","124","0.242959081357316","0.20584697074559","0.280071191969042"
"Several times a year","1990","higher vocational","East Germany","31","0.0997648563948978","0.0624665576640321","0.137063155125764"
"Several times a year","1990","higher education","West Germany","165","0.229392958567655","0.19808981150166","0.260696105633649"
"Several times a year","1990","higher education","East Germany","197","0.194452989063878","0.169648435179622","0.219257542948135"
"At least once a month","1990","in school","West Germany","17","","",""
"At least once a month","1990","in school","East Germany","2","","",""
"At least once a month","1990","inadequately","West Germany","22","","",""
"At least once a month","1990","inadequately","East Germany","","","",""
"At least once a month","1990","general elemantary","West Germany","159","0.0569455488676537","0.0477954451787838","0.0660956525565236"
"At least once a month","1990","general elemantary","East Germany","15","","",""
"At least once a month","1990","middle vocational","West Germany","435","0.0950276998095783","0.0865011824347471","0.10355421718441"
"At least once a month","1990","middle vocational","East Germany","69","0.0253454165106492","0.0191307104311038","0.0315601225901946"
"At least once a month","1990","vocational + Abi","West Germany","28","","",""
"At least once a month","1990","vocational + Abi","East Germany","2","","",""
"At least once a month","1990","higher vocational","West Germany","59","0.112289473981918","0.0849685981863673","0.139610349777468"
"At least once a month","1990","higher vocational","East Germany","12","","",""
"At least once a month","1990","higher education","West Germany","72","0.106161509939029","0.0832267318052198","0.129096288072838"
"At least once a month","1990","higher education","East Germany","48","0.0470544887749109","0.0337831960762013","0.0603257814736205"
"At lease once a week","1990","in school","West Germany","110","0.725395687997208","0.656667998359925","0.794123377634491"
"At lease once a week","1990","in school","East Germany","15","","",""
"At lease once a week","1990","inadequately","West Germany","45","0.111231455330982","0.0866599979634045","0.135802912698559"
"At lease once a week","1990","inadequately","East Germany","1","","",""
"At lease once a week","1990","general elemantary","West Germany","494","0.195255530152828","0.179603942011328","0.210907118294328"
"At lease once a week","1990","general elemantary","East Germany","63","0.107709289869148","0.0806171152887314","0.134801464449564"
"At lease once a week","1990","middle vocational","West Germany","1334","0.290191145826815","0.276995163824472","0.303387127829158"
"At lease once a week","1990","middle vocational","East Germany","256","0.101632104185422","0.0896843003598322","0.113579908011012"
"At lease once a week","1990","vocational + Abi","West Germany","112","0.42991424056082","0.373420790905735","0.486407690215906"
"At lease once a week","1990","vocational + Abi","East Germany","21","","",""
"At lease once a week","1990","higher vocational","West Germany","166","0.319268246684476","0.27892644625037","0.359610047118581"
"At lease once a week","1990","higher vocational","East Germany","31","0.108694031684059","0.069955914650798","0.14743214871732"
"At lease once a week","1990","higher education","West Germany","292","0.432359003477936","0.395474783439251","0.469243223516621"
"At lease once a week","1990","higher education","East Germany","192","0.197815648519625","0.172849814515205","0.222781482524045"
"Almost never or never","1991","in school","West Germany","","","",""
"Almost never or never","1991","in school","East Germany","","","",""
"Almost never or never","1991","inadequately","West Germany","","","",""
"Almost never or never","1991","inadequately","East Germany","","","",""
"Almost never or never","1991","general elemantary","West Germany","","","",""
"Almost never or never","1991","general elemantary","East Germany","","","",""
"Almost never or never","1991","middle vocational","West Germany","","","",""
"Almost never or never","1991","middle vocational","East Germany","","","",""
"Almost never or never","1991","vocational + Abi","West Germany","","","",""
"Almost never or never","1991","vocational + Abi","East Germany","","","",""
"Almost never or never","1991","higher vocational","West Germany","","","",""
"Almost never or never","1991","higher vocational","East Germany","","","",""
"Almost never or never","1991","higher education","West Germany","","","",""
"Almost never or never","1991","higher education","East Germany","","","",""
"Several times a year","1991","in school","West Germany","","","",""
"Several times a year","1991","in school","East Germany","","","",""
"Several times a year","1991","inadequately","West Germany","","","",""
"Several times a year","1991","inadequately","East Germany","","","",""
"Several times a year","1991","general elemantary","West Germany","","","",""
"Several times a year","1991","general elemantary","East Germany","","","",""
"Several times a year","1991","middle vocational","West Germany","","","",""
"Several times a year","1991","middle vocational","East Germany","","","",""
"Several times a year","1991","vocational + Abi","West Germany","","","",""
"Several times a year","1991","vocational + Abi","East Germany","","","",""
"Several times a year","1991","higher vocational","West Germany","","","",""
"Several times a year","1991","higher vocational","East Germany","","","",""
"Several times a year","1991","higher education","West Germany","","","",""
"Several times a year","1991","higher education","East Germany","","","",""
"At least once a month","1991","in school","West Germany","","","",""
"At least once a month","1991","in school","East Germany","","","",""
