"m11104","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Couple + C. LE and GT 16","higher education","24","","",""
"Several times a year","1984","1-pers.-HH","in school","","","",""
"Several times a year","1984","1-pers.-HH","inadequately","9","","",""
"Several times a year","1984","1-pers.-HH","general elemantary","34","0.0766605813064126","0.0501193430222442","0.103201819590581"
"Several times a year","1984","1-pers.-HH","middle vocational","106","0.14706039386705","0.119023825420597","0.175096962313503"
"Several times a year","1984","1-pers.-HH","vocational + Abi","8","","",""
"Several times a year","1984","1-pers.-HH","higher vocational","15","","",""
"Several times a year","1984","1-pers.-HH","higher education","22","","",""
"Several times a year","1984","(Married) couple without C. ","in school","1","","",""
"Several times a year","1984","(Married) couple without C. ","inadequately","10","","",""
"Several times a year","1984","(Married) couple without C. ","general elemantary","61","0.0768670235701599","0.0568749395335496","0.0968591076067701"
"Several times a year","1984","(Married) couple without C. ","middle vocational","221","0.149256122012421","0.130529906418759","0.167982337606083"
"Several times a year","1984","(Married) couple without C. ","vocational + Abi","20","","",""
"Several times a year","1984","(Married) couple without C. ","higher vocational","30","0.179653990639664","0.119217503776739","0.240090477502589"
"Several times a year","1984","(Married) couple without C. ","higher education","47","0.227127952172865","0.169206538205392","0.285049366140338"
"Several times a year","1984","Single parent ","in school","4","","",""
"Several times a year","1984","Single parent ","inadequately","3","","",""
"Several times a year","1984","Single parent ","general elemantary","32","0.142991799726294","0.0944762286200633","0.191507370832525"
"Several times a year","1984","Single parent ","middle vocational","51","0.197034752004126","0.148405082284826","0.245664421723427"
"Several times a year","1984","Single parent ","vocational + Abi","4","","",""
"Several times a year","1984","Single parent ","higher vocational","6","","",""
"Several times a year","1984","Single parent ","higher education","5","","",""
"Several times a year","1984","Couple + C. LE 16 ","in school","","","",""
"Several times a year","1984","Couple + C. LE 16 ","inadequately","35","0.0943873795889581","0.0621008763412373","0.126673882836679"
"Several times a year","1984","Couple + C. LE 16 ","general elemantary","104","0.154925889711077","0.127258078469915","0.182593700952239"
"Several times a year","1984","Couple + C. LE 16 ","middle vocational","344","0.23086447459164","0.209468358437231","0.25226059074605"
"Several times a year","1984","Couple + C. LE 16 ","vocational + Abi","21","","",""
"Several times a year","1984","Couple + C. LE 16 ","higher vocational","55","0.259165977299704","0.199184022681865","0.319147931917543"
"Several times a year","1984","Couple + C. LE 16 ","higher education","81","0.311631067610895","0.255866779991049","0.367395355230742"
"Several times a year","1984","Couple + C. GT 16 ","in school","22","","",""
"Several times a year","1984","Couple + C. GT 16 ","inadequately","13","","",""
"Several times a year","1984","Couple + C. GT 16 ","general elemantary","98","0.18301771137088","0.151548419159869","0.214487003581892"
"Several times a year","1984","Couple + C. GT 16 ","middle vocational","210","0.217701840254344","0.190918306496985","0.244485374011703"
"Several times a year","1984","Couple + C. GT 16 ","vocational + Abi","11","","",""
"Several times a year","1984","Couple + C. GT 16 ","higher vocational","24","","",""
"Several times a year","1984","Couple + C. GT 16 ","higher education","32","0.34173170226217","0.246357615316824","0.437105789207515"
"Several times a year","1984","Couple + C. LE and GT 16","in school","19","","",""
"Several times a year","1984","Couple + C. LE and GT 16","inadequately","20","","",""
"Several times a year","1984","Couple + C. LE and GT 16","general elemantary","113","0.175116200494886","0.144370202791645","0.205862198198127"
"Several times a year","1984","Couple + C. LE and GT 16","middle vocational","129","0.191002515015929","0.161281982736425","0.220723047295433"
"Several times a year","1984","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"Several times a year","1984","Couple + C. LE and GT 16","higher vocational","15","","",""
"Several times a year","1984","Couple + C. LE and GT 16","higher education","23","","",""
"At least once a month","1984","1-pers.-HH","in school","","","",""
"At least once a month","1984","1-pers.-HH","inadequately","7","","",""
"At least once a month","1984","1-pers.-HH","general elemantary","27","","",""
"At least once a month","1984","1-pers.-HH","middle vocational","125","0.18136855542135","0.150865519799779","0.211871591042921"
"At least once a month","1984","1-pers.-HH","vocational + Abi","13","","",""
"At least once a month","1984","1-pers.-HH","higher vocational","24","","",""
"At least once a month","1984","1-pers.-HH","higher education","47","0.372136749200704","0.284549886185487","0.459723612215921"
"At least once a month","1984","(Married) couple without C. ","in school","1","","",""
"At least once a month","1984","(Married) couple without C. ","inadequately","5","","",""
"At least once a month","1984","(Married) couple without C. ","general elemantary","48","0.0718789007319232","0.0524942071728171","0.0912635942910293"
"At least once a month","1984","(Married) couple without C. ","middle vocational","226","0.154627659945165","0.135627724089396","0.173627595800934"
"At least once a month","1984","(Married) couple without C. ","vocational + Abi","23","","",""
"At least once a month","1984","(Married) couple without C. ","higher vocational","35","0.201571103025924","0.138415119694537","0.26472708635731"
"At least once a month","1984","(Married) couple without C. ","higher education","68","0.329561924659657","0.264579200602952","0.394544648716361"
"At least once a month","1984","Single parent ","in school","10","","",""
"At least once a month","1984","Single parent ","inadequately","6","","",""
"At least once a month","1984","Single parent ","general elemantary","30","0.155644941825807","0.105403377447444","0.205886506204169"
"At least once a month","1984","Single parent ","middle vocational","63","0.238563425221993","0.186455914437063","0.290670936006922"
"At least once a month","1984","Single parent ","vocational + Abi","1","","",""
"At least once a month","1984","Single parent ","higher vocational","4","","",""
"At least once a month","1984","Single parent ","higher education","3","","",""
"At least once a month","1984","Couple + C. LE 16 ","in school","","","",""
"At least once a month","1984","Couple + C. LE 16 ","inadequately","9","","",""
"At least once a month","1984","Couple + C. LE 16 ","general elemantary","56","0.0961210510677021","0.0735823025539559","0.118659799581448"
"At least once a month","1984","Couple + C. LE 16 ","middle vocational","292","0.218619980376942","0.197633914431535","0.239606046322349"
"At least once a month","1984","Couple + C. LE 16 ","vocational + Abi","14","","",""
"At least once a month","1984","Couple + C. LE 16 ","higher vocational","47","0.236884381275514","0.178682832029089","0.295085930521938"
"At least once a month","1984","Couple + C. LE 16 ","higher education","78","0.298270250151712","0.243187569469785","0.353352930833639"
"At least once a month","1984","Couple + C. GT 16 ","in school","38","0.477906413974076","0.367757516638372","0.58805531130978"
"At least once a month","1984","Couple + C. GT 16 ","inadequately","9","","",""
"At least once a month","1984","Couple + C. GT 16 ","general elemantary","111","0.181916211668799","0.150520618757474","0.213311804580124"
"At least once a month","1984","Couple + C. GT 16 ","middle vocational","200","0.22014333420937","0.193252093753504","0.247034574665235"
"At least once a month","1984","Couple + C. GT 16 ","vocational + Abi","11","","",""
"At least once a month","1984","Couple + C. GT 16 ","higher vocational","17","","",""
"At least once a month","1984","Couple + C. GT 16 ","higher education","20","","",""
"At least once a month","1984","Couple + C. LE and GT 16","in school","35","0.474045281023022","0.363233768830426","0.584856793215618"
"At least once a month","1984","Couple + C. LE and GT 16","inadequately","12","","",""
"At least once a month","1984","Couple + C. LE and GT 16","general elemantary","119","0.221687210328771","0.188084334811148","0.255290085846394"
"At least once a month","1984","Couple + C. LE and GT 16","middle vocational","141","0.227555393221306","0.195856748548121","0.259254037894492"
"At least once a month","1984","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"At least once a month","1984","Couple + C. LE and GT 16","higher vocational","6","","",""
"At least once a month","1984","Couple + C. LE and GT 16","higher education","12","","",""
"At lease once a week","1984","1-pers.-HH","in school","","","",""
"At lease once a week","1984","1-pers.-HH","inadequately","","","",""
"At lease once a week","1984","1-pers.-HH","general elemantary","","","",""
"At lease once a week","1984","1-pers.-HH","middle vocational","","","",""
"At lease once a week","1984","1-pers.-HH","vocational + Abi","","","",""
"At lease once a week","1984","1-pers.-HH","higher vocational","","","",""
"At lease once a week","1984","1-pers.-HH","higher education","","","",""
"At lease once a week","1984","(Married) couple without C. ","in school","","","",""
"At lease once a week","1984","(Married) couple without C. ","inadequately","","","",""
"At lease once a week","1984","(Married) couple without C. ","general elemantary","","","",""
"At lease once a week","1984","(Married) couple without C. ","middle vocational","","","",""
"At lease once a week","1984","(Married) couple without C. ","vocational + Abi","","","",""
"At lease once a week","1984","(Married) couple without C. ","higher vocational","","","",""
"At lease once a week","1984","(Married) couple without C. ","higher education","","","",""
"At lease once a week","1984","Single parent ","in school","","","",""
"At lease once a week","1984","Single parent ","inadequately","","","",""
"At lease once a week","1984","Single parent ","general elemantary","","","",""
"At lease once a week","1984","Single parent ","middle vocational","","","",""
"At lease once a week","1984","Single parent ","vocational + Abi","","","",""
"At lease once a week","1984","Single parent ","higher vocational","","","",""
"At lease once a week","1984","Single parent ","higher education","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","in school","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","inadequately","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","general elemantary","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","middle vocational","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","vocational + Abi","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","higher vocational","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","higher education","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","in school","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","inadequately","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","general elemantary","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","middle vocational","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","vocational + Abi","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","higher vocational","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","higher education","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","in school","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","inadequately","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","general elemantary","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","middle vocational","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","higher vocational","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","higher education","","","",""
"Almost never or never","1985","1-pers.-HH","in school","","","",""
"Almost never or never","1985","1-pers.-HH","inadequately","43","0.776500865054384","0.665389084718502","0.887612645390265"
"Almost never or never","1985","1-pers.-HH","general elemantary","282","0.869340313282512","0.833141720291611","0.905538906273414"
"Almost never or never","1985","1-pers.-HH","middle vocational","319","0.634754643971439","0.594404069450888","0.675105218491991"
"Almost never or never","1985","1-pers.-HH","vocational + Abi","16","","",""
"Almost never or never","1985","1-pers.-HH","higher vocational","34","0.444954309510356","0.336054988046295","0.553853630974417"
"Almost never or never","1985","1-pers.-HH","higher education","41","0.420824060915009","0.326840759736253","0.514807362093765"
"Almost never or never","1985","(Married) couple without C. ","in school","","","",""
"Almost never or never","1985","(Married) couple without C. ","inadequately","84","0.788256810097275","0.70737075691372","0.86914286328083"
"Almost never or never","1985","(Married) couple without C. ","general elemantary","484","0.834064011878885","0.804070706119791","0.864057317637979"
"Almost never or never","1985","(Married) couple without C. ","middle vocational","811","0.650580015668604","0.624388651538951","0.676771379798257"
"Almost never or never","1985","(Married) couple without C. ","vocational + Abi","34","0.468808891326542","0.353541845918637","0.584075936734448"
"Almost never or never","1985","(Married) couple without C. ","higher vocational","84","0.590646055544248","0.512985431794301","0.668306679294195"
"Almost never or never","1985","(Married) couple without C. ","higher education","62","0.332896186085734","0.266064482924251","0.399727889247216"
"Almost never or never","1985","Single parent ","in school","5","","",""
"Almost never or never","1985","Single parent ","inadequately","33","0.719158047381769","0.581595779558168","0.856720315205371"
"Almost never or never","1985","Single parent ","general elemantary","116","0.602037426153156","0.532620677531678","0.671454174774634"
"Almost never or never","1985","Single parent ","middle vocational","129","0.552963191513152","0.489664654646562","0.616261728379743"
"Almost never or never","1985","Single parent ","vocational + Abi","4","","",""
"Almost never or never","1985","Single parent ","higher vocational","11","","",""
"Almost never or never","1985","Single parent ","higher education","8","","",""
"Almost never or never","1985","Couple + C. LE 16 ","in school","","","",""
"Almost never or never","1985","Couple + C. LE 16 ","inadequately","215","0.858102873310432","0.815105264002093","0.901100482618771"
"Almost never or never","1985","Couple + C. LE 16 ","general elemantary","376","0.634082367526269","0.593716068338001","0.674448666714537"
"Almost never or never","1985","Couple + C. LE 16 ","middle vocational","688","0.486946151054423","0.459879508544261","0.514012793564585"
"Almost never or never","1985","Couple + C. LE 16 ","vocational + Abi","37","0.38426292044717","0.276315397032533","0.492210443861807"
"Almost never or never","1985","Couple + C. LE 16 ","higher vocational","77","0.405343076352489","0.334786704823866","0.475899447881112"
"Almost never or never","1985","Couple + C. LE 16 ","higher education","75","0.299501920732392","0.242147310969899","0.356856530494885"
"Almost never or never","1985","Couple + C. GT 16 ","in school","12","","",""
"Almost never or never","1985","Couple + C. GT 16 ","inadequately","107","0.660110850397117","0.579610206050693","0.740611494743541"
"Almost never or never","1985","Couple + C. GT 16 ","general elemantary","367","0.602459591783598","0.563559475223121","0.641359708344074"
"Almost never or never","1985","Couple + C. GT 16 ","middle vocational","469","0.51324146363676","0.480926178597134","0.545556748676386"
"Almost never or never","1985","Couple + C. GT 16 ","vocational + Abi","16","","",""
"Almost never or never","1985","Couple + C. GT 16 ","higher vocational","47","0.509782295835346","0.411309251620508","0.608255340050183"
"Almost never or never","1985","Couple + C. GT 16 ","higher education","45","0.436601030299139","0.342627270151244","0.530574790447033"
"Almost never or never","1985","Couple + C. LE and GT 16","in school","22","","",""
"Almost never or never","1985","Couple + C. LE and GT 16","inadequately","179","0.855355265227989","0.806237391396089","0.904473139059888"
"Almost never or never","1985","Couple + C. LE and GT 16","general elemantary","277","0.490622064427754","0.446977875704739","0.53426625315077"
"Almost never or never","1985","Couple + C. LE and GT 16","middle vocational","319","0.531234803555898","0.490411035794133","0.572058571317663"
"Almost never or never","1985","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Almost never or never","1985","Couple + C. LE and GT 16","higher vocational","13","","",""
"Almost never or never","1985","Couple + C. LE and GT 16","higher education","12","","",""
"Several times a year","1985","1-pers.-HH","in school","","","",""
"Several times a year","1985","1-pers.-HH","inadequately","2","","",""
"Several times a year","1985","1-pers.-HH","general elemantary","14","","",""
"Several times a year","1985","1-pers.-HH","middle vocational","58","0.0900247494796682","0.0660391720098172","0.114010326949519"
"Several times a year","1985","1-pers.-HH","vocational + Abi","7","","",""
"Several times a year","1985","1-pers.-HH","higher vocational","8","","",""
"Several times a year","1985","1-pers.-HH","higher education","14","","",""
"Several times a year","1985","(Married) couple without C. ","in school","","","",""
"Several times a year","1985","(Married) couple without C. ","inadequately","6","","",""
"Several times a year","1985","(Married) couple without C. ","general elemantary","33","0.0493723342298304","0.0319060145204276","0.0668386539392331"
"Several times a year","1985","(Married) couple without C. ","middle vocational","164","0.124537657613977","0.106399090736927","0.142676224491026"
"Several times a year","1985","(Married) couple without C. ","vocational + Abi","9","","",""
"Several times a year","1985","(Married) couple without C. ","higher vocational","23","","",""
"Several times a year","1985","(Married) couple without C. ","higher education","31","0.171348769061807","0.11790983438436","0.224787703739254"
"Several times a year","1985","Single parent ","in school","1","","",""
"Several times a year","1985","Single parent ","inadequately","5","","",""
"Several times a year","1985","Single parent ","general elemantary","20","","",""
"Several times a year","1985","Single parent ","middle vocational","40","0.171926608190651","0.123889165358713","0.219964051022589"
"Several times a year","1985","Single parent ","vocational + Abi","1","","",""
"Several times a year","1985","Single parent ","higher vocational","5","","",""
"Several times a year","1985","Single parent ","higher education","2","","",""
"Several times a year","1985","Couple + C. LE 16 ","in school","","","",""
"Several times a year","1985","Couple + C. LE 16 ","inadequately","23","","",""
"Several times a year","1985","Couple + C. LE 16 ","general elemantary","71","0.138044211855079","0.10913701208224","0.166951411627917"
"Several times a year","1985","Couple + C. LE 16 ","middle vocational","227","0.187895851059808","0.166742610755594","0.209049091364022"
"Several times a year","1985","Couple + C. LE 16 ","vocational + Abi","18","","",""
"Several times a year","1985","Couple + C. LE 16 ","higher vocational","34","0.181893856332674","0.12645612349534","0.237331589170008"
"Several times a year","1985","Couple + C. LE 16 ","higher education","50","0.205714778302642","0.15509898639708","0.256330570208204"
"Several times a year","1985","Couple + C. GT 16 ","in school","12","","",""
"Several times a year","1985","Couple + C. GT 16 ","inadequately","9","","",""
"Several times a year","1985","Couple + C. GT 16 ","general elemantary","61","0.0975811437496275","0.0739935665714085","0.121168720927846"
"Several times a year","1985","Couple + C. GT 16 ","middle vocational","135","0.140727128122766","0.118244617968497","0.163209638277034"
"Several times a year","1985","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Several times a year","1985","Couple + C. GT 16 ","higher vocational","24","","",""
"Several times a year","1985","Couple + C. GT 16 ","higher education","25","","",""
"Several times a year","1985","Couple + C. LE and GT 16","in school","10","","",""
"Several times a year","1985","Couple + C. LE and GT 16","inadequately","7","","",""
"Several times a year","1985","Couple + C. LE and GT 16","general elemantary","76","0.170229039117061","0.137417336811012","0.20304074142311"
"Several times a year","1985","Couple + C. LE and GT 16","middle vocational","98","0.170749502235149","0.139966233165508","0.201532771304789"
"Several times a year","1985","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Several times a year","1985","Couple + C. LE and GT 16","higher vocational","7","","",""
"Several times a year","1985","Couple + C. LE and GT 16","higher education","10","","",""
"At least once a month","1985","1-pers.-HH","in school","","","",""
"At least once a month","1985","1-pers.-HH","inadequately","2","","",""
"At least once a month","1985","1-pers.-HH","general elemantary","7","","",""
"At least once a month","1985","1-pers.-HH","middle vocational","22","","",""
"At least once a month","1985","1-pers.-HH","vocational + Abi","1","","",""
"At least once a month","1985","1-pers.-HH","higher vocational","6","","",""
"At least once a month","1985","1-pers.-HH","higher education","9","","",""
"At least once a month","1985","(Married) couple without C. ","in school","","","",""
"At least once a month","1985","(Married) couple without C. ","inadequately","1","","",""
"At least once a month","1985","(Married) couple without C. ","general elemantary","16","","",""
"At least once a month","1985","(Married) couple without C. ","middle vocational","57","0.0409009677591025","0.0300208797703889","0.0517810557478161"
"At least once a month","1985","(Married) couple without C. ","vocational + Abi","6","","",""
"At least once a month","1985","(Married) couple without C. ","higher vocational","6","","",""
"At least once a month","1985","(Married) couple without C. ","higher education","11","","",""
"At least once a month","1985","Single parent ","in school","4","","",""
"At least once a month","1985","Single parent ","inadequately","","","",""
"At least once a month","1985","Single parent ","general elemantary","8","","",""
"At least once a month","1985","Single parent ","middle vocational","13","","",""
"At least once a month","1985","Single parent ","vocational + Abi","1","","",""
"At least once a month","1985","Single parent ","higher vocational","","","",""
"At least once a month","1985","Single parent ","higher education","4","","",""
"At least once a month","1985","Couple + C. LE 16 ","in school","","","",""
"At least once a month","1985","Couple + C. LE 16 ","inadequately","6","","",""
"At least once a month","1985","Couple + C. LE 16 ","general elemantary","24","","",""
"At least once a month","1985","Couple + C. LE 16 ","middle vocational","64","0.0493339561787442","0.0376066191605329","0.0610612931969556"
"At least once a month","1985","Couple + C. LE 16 ","vocational + Abi","3","","",""
"At least once a month","1985","Couple + C. LE 16 ","higher vocational","15","","",""
"At least once a month","1985","Couple + C. LE 16 ","higher education","24","","",""
"At least once a month","1985","Couple + C. GT 16 ","in school","8","","",""
"At least once a month","1985","Couple + C. GT 16 ","inadequately","5","","",""
"At least once a month","1985","Couple + C. GT 16 ","general elemantary","30","0.0525303156005335","0.0347972439880413","0.0702633872130258"
"At least once a month","1985","Couple + C. GT 16 ","middle vocational","64","0.0691721573040081","0.0527666117082004","0.0855777028998158"
"At least once a month","1985","Couple + C. GT 16 ","vocational + Abi","","","",""
"At least once a month","1985","Couple + C. GT 16 ","higher vocational","10","","",""
"At least once a month","1985","Couple + C. GT 16 ","higher education","4","","",""
"At least once a month","1985","Couple + C. LE and GT 16","in school","3","","",""
"At least once a month","1985","Couple + C. LE and GT 16","inadequately","1","","",""
"At least once a month","1985","Couple + C. LE and GT 16","general elemantary","25","","",""
"At least once a month","1985","Couple + C. LE and GT 16","middle vocational","36","0.0642619167624117","0.0442012143744176","0.0843226191504057"
"At least once a month","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"At least once a month","1985","Couple + C. LE and GT 16","higher vocational","3","","",""
"At least once a month","1985","Couple + C. LE and GT 16","higher education","2","","",""
"At lease once a week","1985","1-pers.-HH","in school","","","",""
"At lease once a week","1985","1-pers.-HH","inadequately","7","","",""
"At lease once a week","1985","1-pers.-HH","general elemantary","30","0.0830518956541907","0.0534122417897107","0.112691549518671"
"At lease once a week","1985","1-pers.-HH","middle vocational","148","0.243188189550639","0.207236474074196","0.279139905027082"
"At lease once a week","1985","1-pers.-HH","vocational + Abi","15","","",""
"At lease once a week","1985","1-pers.-HH","higher vocational","32","0.394755269140482","0.287644639085668","0.501865899195297"
"At lease once a week","1985","1-pers.-HH","higher education","42","0.368399508978192","0.276571343280099","0.460227674676285"
"At lease once a week","1985","(Married) couple without C. ","in school","","","",""
"At lease once a week","1985","(Married) couple without C. ","inadequately","7","","",""
"At lease once a week","1985","(Married) couple without C. ","general elemantary","58","0.095207594086067","0.0715448765641649","0.118870311607969"
"At lease once a week","1985","(Married) couple without C. ","middle vocational","241","0.183981358958317","0.162696496883129","0.205266221033506"
"At lease once a week","1985","(Married) couple without C. ","vocational + Abi","23","","",""
"At lease once a week","1985","(Married) couple without C. ","higher vocational","41","0.242717088682875","0.175004879071888","0.310429298293861"
"At lease once a week","1985","(Married) couple without C. ","higher education","87","0.44514694412441","0.374665937731493","0.515627950517327"
"At lease once a week","1985","Single parent ","in school","9","","",""
"At lease once a week","1985","Single parent ","inadequately","3","","",""
"At lease once a week","1985","Single parent ","general elemantary","47","0.273026929601506","0.20984493797266","0.336208921230352"
"At lease once a week","1985","Single parent ","middle vocational","55","0.223048241246048","0.170048915246603","0.276047567245492"
"At lease once a week","1985","Single parent ","vocational + Abi","3","","",""
"At lease once a week","1985","Single parent ","higher vocational","7","","",""
"At lease once a week","1985","Single parent ","higher education","1","","",""
"At lease once a week","1985","Couple + C. LE 16 ","in school","1","","",""
"At lease once a week","1985","Couple + C. LE 16 ","inadequately","9","","",""
"At lease once a week","1985","Couple + C. LE 16 ","general elemantary","76","0.181577750430415","0.14927239993256","0.21388310092827"
"At lease once a week","1985","Couple + C. LE 16 ","middle vocational","331","0.275824041707025","0.251622080886814","0.300026002527235"
"At lease once a week","1985","Couple + C. LE 16 ","vocational + Abi","20","","",""
"At lease once a week","1985","Couple + C. LE 16 ","higher vocational","60","0.336577221980012","0.268667935252272","0.404486508707753"
"At lease once a week","1985","Couple + C. LE 16 ","higher education","96","0.407519824870351","0.345991324403795","0.469048325336908"
"At lease once a week","1985","Couple + C. GT 16 ","in school","49","0.612788183552313","0.506707801861051","0.718868565243574"
"At lease once a week","1985","Couple + C. GT 16 ","inadequately","12","","",""
"At lease once a week","1985","Couple + C. GT 16 ","general elemantary","150","0.247428948866241","0.213128854830059","0.281729042902423"
"At lease once a week","1985","Couple + C. GT 16 ","middle vocational","251","0.276859250936466","0.247930394084037","0.305788107788895"
"At lease once a week","1985","Couple + C. GT 16 ","vocational + Abi","15","","",""
"At lease once a week","1985","Couple + C. GT 16 ","higher vocational","18","","",""
"At lease once a week","1985","Couple + C. GT 16 ","higher education","33","0.318231498051301","0.229975089585667","0.406487906516934"
"At lease once a week","1985","Couple + C. LE and GT 16","in school","45","0.612586570572026","0.505835025630351","0.719338115513701"
"At lease once a week","1985","Couple + C. LE and GT 16","inadequately","10","","",""
"At lease once a week","1985","Couple + C. LE and GT 16","general elemantary","126","0.278685248488365","0.239542418610495","0.317828078366236"
"At lease once a week","1985","Couple + C. LE and GT 16","middle vocational","121","0.233753777446542","0.199131499625664","0.268376055267419"
"At lease once a week","1985","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"At lease once a week","1985","Couple + C. LE and GT 16","higher vocational","14","","",""
"At lease once a week","1985","Couple + C. LE and GT 16","higher education","24","","",""
"Almost never or never","1986","1-pers.-HH","in school","","","",""
"Almost never or never","1986","1-pers.-HH","inadequately","33","0.624874384051159","0.483416696022542","0.766332072079776"
