"m11104","year","e11102","n","percent","lower_confidence","upper_confidence"
"Several times a year","1995","Employed","2230","0.25819305456036","0.248878375617981","0.267507733502738"
"At least once a month","1995","Not Employed","237","0.0463484488638499","0.0403921812022119","0.0523047165254879"
"At least once a month","1995","Employed","723","0.0916297809541959","0.0854893347235209","0.0977702271848708"
"At lease once a week","1995","Not Employed","1025","0.20361238676933","0.192203951317331","0.215020822221328"
"At lease once a week","1995","Employed","2460","0.333207166424108","0.323174813690882","0.343239519157335"
"Almost never or never","1996","Not Employed","2956","0.648545145564684","0.634764949094124","0.662325342035244"
"Almost never or never","1996","Employed","3551","0.380091706537272","0.369717425394024","0.390465987680521"
"Several times a year","1996","Not Employed","615","0.121099858298578","0.111683301839893","0.130516414757264"
"Several times a year","1996","Employed","2085","0.252300316660184","0.243017653547561","0.261582979772808"
"At least once a month","1996","Not Employed","238","0.0533514810759779","0.04686486565927","0.0598380964926859"
"At least once a month","1996","Employed","684","0.0816625154779774","0.0758097297375926","0.0875153012183621"
"At lease once a week","1996","Not Employed","802","0.177003515060759","0.165987095553965","0.188019934567554"
"At lease once a week","1996","Employed","2090","0.285945461324566","0.276288124275723","0.295602798373408"
"Almost never or never","1997","Not Employed","3039","0.670127053734721","0.656632227132321","0.683621880337122"
"Almost never or never","1997","Employed","3520","0.393241593784817","0.382610565132057","0.403872622437576"
"Several times a year","1997","Not Employed","568","0.107342262614213","0.0984575529013691","0.116226972327056"
"Several times a year","1997","Employed","1911","0.240168455665513","0.230871210008222","0.249465701322804"
"At least once a month","1997","Not Employed","180","0.0345999455299227","0.0293542056636642","0.0398456853961812"
"At least once a month","1997","Employed","583","0.0718716329720394","0.0662505442081572","0.0774927217359216"
"At lease once a week","1997","Not Employed","876","0.187930738121143","0.176718021946524","0.199143454295762"
"At lease once a week","1997","Employed","2096","0.294718317577631","0.284795785060191","0.30464085009507"
"Almost never or never","1998","Not Employed","3083","0.578720250187532","0.565528698732541","0.591911801642522"
"Almost never or never","1998","Employed","2858","0.294393386564137","0.284880586043808","0.303906187084465"
"Several times a year","1998","Not Employed","848","0.151216717396359","0.141645337457621","0.160788097335098"
"Several times a year","1998","Employed","2355","0.256601752355147","0.24748576699121","0.265717737719085"
"At least once a month","1998","Not Employed","269","0.0465656734755311","0.0409363710581853","0.0521949758928768"
"At least once a month","1998","Employed","837","0.098331626021165","0.0921167413674595","0.10454651067487"
"At lease once a week","1998","Not Employed","1182","0.223497358940578","0.212367647344092","0.234627070537064"
"At lease once a week","1998","Employed","2768","0.350673235059551","0.340713540816559","0.360632929302542"
"Almost never or never","1999","Not Employed","3175","0.661522310530535","0.648256928426653","0.674787692634417"
"Almost never or never","1999","Employed","3459","0.371607586607069","0.361477796600115","0.381737376614023"
"Several times a year","1999","Not Employed","619","0.117971924990435","0.108928914598964","0.127014935381906"
"Several times a year","1999","Employed","2162","0.239896774352659","0.23094536986703","0.248848178838288"
"At least once a month","1999","Not Employed","188","0.0358165602227109","0.0306069616050985","0.0410261588403233"
"At least once a month","1999","Employed","739","0.0833203097658899","0.0775269975738181","0.0891136219579616"
"At lease once a week","1999","Not Employed","906","0.184689204256319","0.173810808762117","0.195567599750521"
"At lease once a week","1999","Employed","2382","0.305175329274382","0.295522491310946","0.314828167237817"
"Almost never or never","2000","Not Employed","","","",""
"Almost never or never","2000","Employed","","","",""
"Several times a year","2000","Not Employed","","","",""
"Several times a year","2000","Employed","","","",""
"At least once a month","2000","Not Employed","","","",""
"At least once a month","2000","Employed","","","",""
"At lease once a week","2000","Not Employed","","","",""
"At lease once a week","2000","Employed","","","",""
"Almost never or never","2001","Not Employed","5287","0.677138477965689","0.666914920513956","0.687362035417423"
"Almost never or never","2001","Employed","5619","0.397326634706112","0.389169341607389","0.405483927804836"
"Several times a year","2001","Not Employed","829","0.0918978557610935","0.0855813748190712","0.0982143367031158"
"Several times a year","2001","Employed","2863","0.203421737773063","0.196711403825514","0.210132071720612"
"At least once a month","2001","Not Employed","310","0.0378372055771748","0.0336652568974173","0.0420091542569324"
"At least once a month","2001","Employed","1062","0.077720690128334","0.0732576500631614","0.0821837301935065"
"At lease once a week","2001","Not Employed","1609","0.193126460696042","0.184495109694549","0.201757811697535"
"At lease once a week","2001","Employed","4280","0.32153093739249","0.313745058638736","0.329316816146245"
"Almost never or never","2002","Not Employed","","","",""
"Almost never or never","2002","Employed","","","",""
"Several times a year","2002","Not Employed","","","",""
"Several times a year","2002","Employed","","","",""
"At least once a month","2002","Not Employed","","","",""
"At least once a month","2002","Employed","","","",""
"At lease once a week","2002","Not Employed","","","",""
"At lease once a week","2002","Employed","","","",""
"Almost never or never","2003","Not Employed","4416","0.571998633494497","0.561258505840346","0.582738761148647"
"Almost never or never","2003","Employed","3858","0.286813606716439","0.279322888852524","0.294304324580353"
"Several times a year","2003","Not Employed","1043","0.122520117986732","0.115402877228993","0.129637358744471"
"Several times a year","2003","Employed","3237","0.232427804467003","0.225432192739285","0.23942341619472"
"At least once a month","2003","Not Employed","388","0.0473296350781327","0.0427204167974433","0.0519388533588222"
"At least once a month","2003","Employed","1346","0.0960452363969364","0.0911650849054736","0.100925387888399"
"At lease once a week","2003","Not Employed","2306","0.258151613440639","0.248652471657394","0.267650755223883"
"At lease once a week","2003","Employed","5563","0.384713352419622","0.376655312489227","0.392771392350017"
"Almost never or never","2004","Not Employed","","","",""
"Almost never or never","2004","Employed","","","",""
"Several times a year","2004","Not Employed","","","",""
"Several times a year","2004","Employed","","","",""
"At least once a month","2004","Not Employed","","","",""
"At least once a month","2004","Employed","","","",""
"At lease once a week","2004","Not Employed","","","",""
"At lease once a week","2004","Employed","","","",""
"Almost never or never","2005","Not Employed","4344","0.58698567737204","0.576106095020116","0.597865259723965"
"Almost never or never","2005","Employed","4044","0.324659228885332","0.316548039519212","0.332770418251453"
"Several times a year","2005","Not Employed","1008","0.126784005923333","0.119431946794669","0.134136065051997"
"Several times a year","2005","Employed","2867","0.222707882405387","0.215500640390667","0.229915124420107"
"At least once a month","2005","Not Employed","424","0.0487679182813609","0.0440088025203064","0.0535270340424155"
"At least once a month","2005","Employed","1203","0.100696307006038","0.0954835300872683","0.105909083924807"
"At lease once a week","2005","Not Employed","2092","0.237462398423266","0.228059884776632","0.246864912069901"
"At lease once a week","2005","Employed","4688","0.351936581703243","0.343663827156964","0.360209336249522"
"Almost never or never","2006","Not Employed","","","",""
"Almost never or never","2006","Employed","","","",""
"Several times a year","2006","Not Employed","","","",""
"Several times a year","2006","Employed","","","",""
"At least once a month","2006","Not Employed","","","",""
"At least once a month","2006","Employed","","","",""
"At lease once a week","2006","Not Employed","","","",""
"At lease once a week","2006","Employed","","","",""
"Almost never or never","2007","Not Employed","4372","0.573457139324516","0.562581362330431","0.584332916318602"
"Almost never or never","2007","Employed","3835","0.309937335282414","0.301848493201161","0.318026177363667"
"Several times a year","2007","Not Employed","927","0.116364989665689","0.109313577538184","0.123416401793193"
"Several times a year","2007","Employed","2713","0.221647472141164","0.21438265470022","0.228912289582108"
"At least once a month","2007","Not Employed","379","0.0433220036234421","0.0388452248553967","0.0477987823914875"
"At least once a month","2007","Employed","1126","0.0894670369832968","0.084474922832801","0.0944591511337925"
"At lease once a week","2007","Not Employed","2266","0.266855867386353","0.257129256708021","0.276582478064685"
"At lease once a week","2007","Employed","4883","0.378948155593125","0.370463016407362","0.387433294778888"
"Almost never or never","2008","Not Employed","3536","0.49629752760485","0.484944834274228","0.507650220935472"
"Almost never or never","2008","Employed","2834","0.237029606588499","0.229380605733805","0.244678607443192"
"Several times a year","2008","Not Employed","984","0.134702593024258","0.126950633642788","0.142454552405727"
"Several times a year","2008","Employed","2667","0.228934095587716","0.221377075834618","0.236491115340814"
"At least once a month","2008","Not Employed","356","0.0453243591677001","0.0406011784128755","0.0500475399225248"
"At least once a month","2008","Employed","1135","0.0996724183566179","0.0942842973063602","0.105060539406876"
"At lease once a week","2008","Not Employed","2575","0.323675520203192","0.313051881554578","0.334299158851806"
"At lease once a week","2008","Employed","5238","0.434363879467167","0.425448394175504","0.443279364758831"
"Almost never or never","2009","Not Employed","3704","0.561067130517738","0.549298866208793","0.572835394826684"
"Almost never or never","2009","Employed","3220","0.281862262460606","0.27352854087268","0.290195984048533"
"Several times a year","2009","Not Employed","768","0.108888516356385","0.101501602936923","0.116275429775848"
"Several times a year","2009","Employed","2451","0.219636632136822","0.211968007664557","0.227305256609086"
"At least once a month","2009","Not Employed","318","0.0480639375686223","0.0429914672833576","0.053136407853887"
"At least once a month","2009","Employed","1018","0.0955131019109152","0.0900687114918804","0.10095749232995"
"At lease once a week","2009","Not Employed","2041","0.281980415557254","0.271309945130455","0.292650885984052"
"At lease once a week","2009","Employed","4507","0.402988003491657","0.393902390493837","0.412073616489477"
"Almost never or never","2010","Not Employed","","","",""
"Almost never or never","2010","Employed","","","",""
"Several times a year","2010","Not Employed","","","",""
"Several times a year","2010","Employed","","","",""
"At least once a month","2010","Not Employed","","","",""
"At least once a month","2010","Employed","","","",""
"At lease once a week","2010","Not Employed","","","",""
"At lease once a week","2010","Employed","","","",""
"Almost never or never","2011","Not Employed","5559","0.572453938602244","0.562807108199802","0.582100769004686"
"Almost never or never","2011","Employed","6026","0.310126135728751","0.303419249147598","0.316833022309903"
"Several times a year","2011","Not Employed","1102","0.100489660418017","0.0946271087438557","0.106352212092178"
"Several times a year","2011","Employed","3494","0.196469945641398","0.190708704446986","0.20223118683581"
"At least once a month","2011","Not Employed","378","0.0365128527034796","0.0328554838681107","0.0401702215388486"
"At least once a month","2011","Employed","1437","0.0807472367007411","0.0767967715159265","0.0846977018855557"
"At lease once a week","2011","Not Employed","3064","0.290543548276259","0.281690529123001","0.299396567429517"
"At lease once a week","2011","Employed","7314","0.41265668192911","0.405518174936191","0.419795188922029"
"Almost never or never","2012","Not Employed","","","",""
"Almost never or never","2012","Employed","","","",""
"Several times a year","2012","Not Employed","","","",""
"Several times a year","2012","Employed","","","",""
"At least once a month","2012","Not Employed","","","",""
"At least once a month","2012","Employed","","","",""
"At lease once a week","2012","Not Employed","","","",""
"At lease once a week","2012","Employed","","","",""
"Almost never or never","2013","Not Employed","3824","0.44225856475805","0.431856369604717","0.452660759911382"
"Almost never or never","2013","Employed","4649","0.253099236386994","0.246513242983547","0.259685229790441"
"Several times a year","2013","Not Employed","977","0.115977162376153","0.109270778673192","0.122683546079114"
"Several times a year","2013","Employed","2688","0.15743456864197","0.151917653677111","0.162951483606828"
"At least once a month","2013","Not Employed","298","0.035101549941603","0.0312469938728672","0.0389561060103389"
"At least once a month","2013","Employed","957","0.0610110446561132","0.0573854529488172","0.0646366363634093"
"At lease once a week","2013","Not Employed","3658","0.406662722924194","0.396374546206715","0.416950899641674"
"At lease once a week","2013","Employed","8448","0.528455150314923","0.520893614865169","0.536016685764677"
"Almost never or never","2014","Not Employed","","","",""
"Almost never or never","2014","Employed","","","",""
"Several times a year","2014","Not Employed","","","",""
"Several times a year","2014","Employed","","","",""
"At least once a month","2014","Not Employed","","","",""
"At least once a month","2014","Employed","","","",""
"At lease once a week","2014","Not Employed","","","",""
"At lease once a week","2014","Employed","","","",""
"Almost never or never","2015","Not Employed","5035","0.506361819629543","0.496677833319348","0.516045805939737"
"Almost never or never","2015","Employed","5392","0.298579241035868","0.291621765408362","0.305536716663373"
"Several times a year","2015","Not Employed","1127","0.0988324412020101","0.0930518553520779","0.104613027051942"
"Several times a year","2015","Employed","2568","0.155904300047196","0.150389148227182","0.161419451867211"
"At least once a month","2015","Not Employed","379","0.0367458467702453","0.0331017164936292","0.0403899770468614"
"At least once a month","2015","Employed","1070","0.0672924183293993","0.063483616273841","0.0711012203849576"
"At lease once a week","2015","Not Employed","3698","0.358059892398202","0.348773555971863","0.367346228824541"
"At lease once a week","2015","Employed","7590","0.478224040587537","0.470629695699279","0.485818385475796"
"Almost never or never","2016","Not Employed","","","",""
"Almost never or never","2016","Employed","","","",""
"Several times a year","2016","Not Employed","","","",""
"Several times a year","2016","Employed","","","",""
"At least once a month","2016","Not Employed","","","",""
"At least once a month","2016","Employed","","","",""
"At lease once a week","2016","Not Employed","","","",""
"At lease once a week","2016","Employed","","","",""
"Almost never or never","2017","Not Employed","6719","0.488446506709354","0.480132738642856","0.496760274775851"
"Almost never or never","2017","Employed","5747","0.293303123913757","0.286704163262165","0.29990208456535"
"Several times a year","2017","Not Employed","1595","0.096154051505213","0.0912509049424472","0.101057198067979"
"Several times a year","2017","Employed","2720","0.148106163846672","0.142957673375569","0.153254654317774"
"At least once a month","2017","Not Employed","541","0.03143450050618","0.0285324053198575","0.0343365956925025"
"At least once a month","2017","Employed","1106","0.0621337619940336","0.0586348349712845","0.0656326890167827"
"At lease once a week","2017","Not Employed","5032","0.383964941279253","0.375875987131635","0.392053895426872"
"At lease once a week","2017","Employed","8712","0.496456950245537","0.489209926085385","0.50370397440569"
"Almost never or never","2018","Not Employed","1625","0.414500334658268","0.397813224430649","0.431187444885886"
"Almost never or never","2018","Employed","194","0.269223333348832","0.230613956168058","0.307832710529605"
"Several times a year","2018","Not Employed","551","0.175722578748346","0.162831007529062","0.18861414996763"
"Several times a year","2018","Employed","67","0.111475412607725","0.0840805970563341","0.138870228159115"
"At least once a month","2018","Not Employed","179","0.0647924794115932","0.0564542918248004","0.0731306669983861"
"At least once a month","2018","Employed","37","0.080232743429787","0.0565866770199312","0.103878809839643"
"At lease once a week","2018","Not Employed","993","0.344984607181793","0.32888256432361","0.361086650039975"
"At lease once a week","2018","Employed","209","0.539068510613657","0.495679046886976","0.582457974340337"
"Almost never or never","2019","Not Employed","4172","0.38710405625408","0.377909178806355","0.396298933701805"
"Almost never or never","2019","Employed","4431","0.224350004842944","0.218353737682752","0.230346272003136"
"Several times a year","2019","Not Employed","1254","0.112388308112111","0.10642604984507","0.118350566379153"
"Several times a year","2019","Employed","2572","0.141702512976807","0.136689570371929","0.146715455581685"
"At least once a month","2019","Not Employed","411","0.0341288718166285","0.0307015154072963","0.0375562282259608"
"At least once a month","2019","Employed","954","0.0540769062520272","0.0508258920352098","0.0573279204688447"
"At lease once a week","2019","Not Employed","4943","0.46637876381718","0.456961501965438","0.475796025668923"
"At lease once a week","2019","Employed","10635","0.579870575928221","0.572775743847676","0.586965408008767"
