"m11104","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"At lease once a week","1984","Employed","inadequately","","","","","4"
"At lease once a week","1984","Employed","general elemantary","","","","","4"
"At least once a month","1984","Not Employed","in school","88","0.500652287066564","0.427199593786547","0.574104980346581","3"
"At least once a month","1984","Not Employed","inadequately","21","","","","3"
"At least once a month","1984","Not Employed","general elemantary","189","0.0933328931067584","0.0796290981691355","0.107036688044381","3"
"At least once a month","1984","Not Employed","middle vocational","281","0.142890669104446","0.126869769274892","0.158911568933999","3"
"At least once a month","1984","Not Employed","vocational + Abi","20","","","","3"
"At least once a month","1984","Not Employed","higher vocational","24","","","","3"
"At least once a month","1984","Not Employed","higher education","37","0.226347990719897","0.160681026013406","0.292014955426387","3"
"At least once a month","1984","Employed","in school","3","","","","3"
"At least once a month","1984","Employed","inadequately","29","","","","3"
"At least once a month","1984","Employed","general elemantary","237","0.159540802814406","0.142035951030617","0.177045654598195","3"
"At least once a month","1984","Employed","middle vocational","816","0.225929473955513","0.212627854969167","0.239231092941859","3"
"At least once a month","1984","Employed","vocational + Abi","55","0.285075768980366","0.226732019775179","0.343419518185553","3"
"At least once a month","1984","Employed","higher vocational","114","0.245460288115287","0.206511554597847","0.284409021632728","3"
"At least once a month","1984","Employed","higher education","199","0.319245079673384","0.282784315232432","0.355705844114336","3"
"Several times a year","1984","Not Employed","inadequately","22","","","","2"
"Several times a year","1984","Not Employed","general elemantary","198","0.0961279677992629","0.0822419437859374","0.110013991812588","2"
"Several times a year","1984","Employed","vocational + Abi","59","0.258306469112048","0.201739350163303","0.314873588060793","2"
"Several times a year","1984","Not Employed","vocational + Abi","18","","","","2"
"Several times a year","1984","Not Employed","middle vocational","272","0.13287862259997","0.117339218380884","0.148418026819055","2"
"Several times a year","1984","Not Employed","in school","45","0.238093400600129","0.175523907516541","0.300662893683717","2"
"Several times a year","1984","Employed","higher vocational","123","0.250981816587587","0.211741818341373","0.290221814833802","2"
"Several times a year","1984","Employed","higher education","185","0.286928202970737","0.251551160884233","0.322305245057241","2"
"Several times a year","1984","Employed","middle vocational","852","0.219474576140477","0.206309801507859","0.232639350773095","2"
"Several times a year","1984","Not Employed","higher vocational","30","0.162778278256316","0.108083289707455","0.217473266805176","2"
"Several times a year","1984","Not Employed","higher education","34","0.191199416303114","0.129490232691527","0.2529085999147","2"
"Several times a year","1984","Employed","in school","3","","","","2"
"Several times a year","1984","Employed","inadequately","74","0.135108408568035","0.108478586618942","0.161738230517128","2"
"Several times a year","1984","Employed","general elemantary","286","0.165994928776978","0.148208203790512","0.183781653763443","2"
"Almost never or never","1985","Not Employed","in school","39","0.185886247328334","0.129056200476872","0.242716294179796","1"
"Almost never or never","1985","Not Employed","inadequately","305","0.825509787866266","0.785048808600125","0.865970767132408","1"
"Almost never or never","1985","Not Employed","general elemantary","1102","0.771125396955795","0.749942899432624","0.792307894478965","1"
"Almost never or never","1985","Not Employed","middle vocational","1163","0.723232381209082","0.701945906664916","0.744518855753248","1"
"Almost never or never","1985","Not Employed","vocational + Abi","36","0.530732989490512","0.419264842308662","0.642201136672361","1"
"Almost never or never","1985","Not Employed","higher vocational","115","0.714772193957475","0.645877484301288","0.783666903613661","1"
"Almost never or never","1985","Not Employed","higher education","73","0.539726201342744","0.458878711484805","0.620573691200683","1"
"Almost never or never","1985","Employed","in school","1","","","","1"
"Almost never or never","1985","Employed","inadequately","416","0.761756387939194","0.724453031249647","0.79905974462874","1"
"Almost never or never","1985","Employed","general elemantary","992","0.622661680383701","0.598365619146285","0.646957741621117","1"
"Almost never or never","1985","Employed","middle vocational","1740","0.4854293833261","0.468718206466716","0.502140560185483","1"
"Almost never or never","1985","Employed","vocational + Abi","89","0.357456022759493","0.290362160407885","0.424549885111101","1"
"Almost never or never","1985","Employed","higher vocational","174","0.391328869430176","0.346135847755658","0.436521891104694","1"
"Almost never or never","1985","Employed","higher education","182","0.304858656852456","0.268146031110905","0.341571282594007","1"
"At lease once a week","1985","Not Employed","general elemantary","244","0.140705281528047","0.123172850873666","0.158237712182427","4"
"At lease once a week","1985","Employed","vocational + Abi","65","0.397598974223405","0.329083994373331","0.46611395407348","4"
"At lease once a week","1985","Employed","higher vocational","146","0.337909645150002","0.2941102605244","0.381709029775604","4"
"At lease once a week","1985","Employed","higher education","253","0.425913322232177","0.386478583445701","0.465348061018653","4"
"At lease once a week","1985","Not Employed","inadequately","13","","","","4"
"At lease once a week","1985","Not Employed","middle vocational","295","0.158007889125467","0.140653850223429","0.175361928027505","4"
"At lease once a week","1985","Not Employed","vocational + Abi","21","","","","4"
"At lease once a week","1985","Employed","middle vocational","907","0.281774404176322","0.266732503292522","0.296816305060122","4"
"At lease once a week","1985","Not Employed","higher vocational","30","0.171650795002287","0.11411531264718","0.229186277357395","4"
"At lease once a week","1985","Not Employed","in school","106","0.613431683774498","0.542292632658522","0.684570734890474","4"
"At lease once a week","1985","Not Employed","higher education","46","0.295224870996652","0.221234804309628","0.369214937683675","4"
"At lease once a week","1985","Employed","in school","3","","","","4"
"At lease once a week","1985","Employed","inadequately","36","0.13327942323819","0.103518230388983","0.163040616087396","4"
"At lease once a week","1985","Employed","general elemantary","283","0.213314551646437","0.19278142205665","0.233847681236224","4"
"At least once a month","1985","Not Employed","higher education","9","","","","3"
"At least once a month","1985","Employed","in school","1","","","","3"
"At least once a month","1985","Not Employed","higher vocational","6","","","","3"
"At least once a month","1985","Employed","inadequately","11","","","","3"
"At least once a month","1985","Not Employed","vocational + Abi","7","","","","3"
"At least once a month","1985","Not Employed","in school","14","","","","3"
"At least once a month","1985","Not Employed","inadequately","4","","","","3"
"At least once a month","1985","Not Employed","general elemantary","48","0.0279459086139978","0.0196355418244539","0.0362562754035416","3"
"At least once a month","1985","Not Employed","middle vocational","68","0.0336982623964096","0.0251127285643281","0.042283796228491","3"
"At least once a month","1985","Employed","general elemantary","75","0.0475751767586378","0.03690553331303","0.0582448202042456","3"
"At least once a month","1985","Employed","middle vocational","205","0.057922910134955","0.0501122107832363","0.0657336094866737","3"
"At least once a month","1985","Employed","vocational + Abi","7","","","","3"
"At least once a month","1985","Employed","higher vocational","36","0.0786907093646691","0.0537577666320144","0.103623652097324","3"
"At least once a month","1985","Employed","higher education","47","0.074776938899211","0.0538002620637108","0.0957536157347111","3"
"Several times a year","1985","Employed","vocational + Abi","35","0.2152154941965","0.157680505420341","0.272750482972659","2"
"Several times a year","1985","Not Employed","general elemantary","117","0.060223412902161","0.0482281201613156","0.0722187056430063","2"
"Several times a year","1985","Employed","higher vocational","92","0.192070776055153","0.155593165001113","0.228548387109193","2"
"Several times a year","1985","Employed","middle vocational","584","0.174873302362624","0.162172136459896","0.187574468265351","2"
"Several times a year","1985","Not Employed","inadequately","16","","","","2"
"Several times a year","1985","Not Employed","middle vocational","171","0.0850614672690417","0.0717884529187945","0.0983344816192889","2"
"Several times a year","1985","Not Employed","vocational + Abi","13","","","","2"
"Several times a year","1985","Not Employed","higher vocational","14","","","","2"
"Several times a year","1985","Employed","higher education","122","0.194451082016156","0.162887901213768","0.226014262818544","2"
"Several times a year","1985","Not Employed","in school","21","","","","2"
"Several times a year","1985","Employed","inadequately","38","0.0684497898024392","0.0463382787879656","0.0905613008169129","2"
"Several times a year","1985","Employed","general elemantary","179","0.116448591211224","0.100370763163617","0.132526419258831","2"
"Several times a year","1985","Not Employed","higher education","18","","","","2"
"Several times a year","1985","Employed","in school","2","","","","2"
"Almost never or never","1986","Not Employed","in school","25","","","","1"
"Almost never or never","1986","Not Employed","inadequately","283","0.859709084103664","0.821598703799297","0.897819464408031","1"
"Almost never or never","1986","Not Employed","general elemantary","1013","0.796165974716383","0.774740110255998","0.817591839176768","1"
"Almost never or never","1986","Not Employed","middle vocational","1102","0.728686713700483","0.706994579516519","0.750378847884448","1"
"Almost never or never","1986","Not Employed","vocational + Abi","37","0.594228249374262","0.48080570271583","0.707650796032694","1"
"Almost never or never","1986","Not Employed","higher vocational","112","0.71842774621539","0.648737086357456","0.788118406073325","1"
"Almost never or never","1986","Not Employed","higher education","74","0.556864198365424","0.475728885901174","0.637999510829675","1"
"Almost never or never","1986","Employed","in school","1","","","","1"
"Almost never or never","1986","Employed","inadequately","376","0.705696030638304","0.664140005495439","0.747252055781168","1"
"Almost never or never","1986","Employed","general elemantary","951","0.592572127463218","0.567943493376765","0.61720076154967","1"
"Almost never or never","1986","Employed","middle vocational","1648","0.469823155516318","0.45293259163068","0.486713719401956","1"
"Almost never or never","1986","Employed","vocational + Abi","86","0.302315793169995","0.239293693068949","0.36533789327104","1"
"Almost never or never","1986","Employed","higher vocational","164","0.394723480641806","0.347410581920394","0.442036379363219","1"
"Almost never or never","1986","Employed","higher education","195","0.327732406107882","0.290236778517092","0.365228033698672","1"
"At lease once a week","1986","Not Employed","general elemantary","225","0.133233964130219","0.11515986651493","0.151308061745508","4"
"At lease once a week","1986","Employed","vocational + Abi","63","0.35843247892748","0.292627633971622","0.424237323883338","4"
"At lease once a week","1986","Employed","higher vocational","140","0.340036458633338","0.294182284377362","0.385890632889314","4"
"At lease once a week","1986","Not Employed","vocational + Abi","25","","","","4"
"At lease once a week","1986","Not Employed","higher vocational","27","","","","4"
"At lease once a week","1986","Employed","higher education","258","0.422918106386892","0.383454505615931","0.462381707157854","4"
"At lease once a week","1986","Not Employed","middle vocational","318","0.173381796187563","0.154912491015931","0.191851101359195","4"
"At lease once a week","1986","Not Employed","inadequately","21","","","","4"
"At lease once a week","1986","Employed","middle vocational","926","0.293289014225481","0.277881400534214","0.308696627916747","4"
"At lease once a week","1986","Not Employed","in school","118","0.660963908123786","0.592000193991388","0.729927622256184","4"
"At lease once a week","1986","Not Employed","higher education","42","0.267090728458264","0.194826834636257","0.33935462228027","4"
"At lease once a week","1986","Employed","in school","3","","","","4"
"At lease once a week","1986","Employed","inadequately","36","0.169879890659792","0.135637146826216","0.204122634493368","4"
"At lease once a week","1986","Employed","general elemantary","316","0.225127804339289","0.204192756628743","0.246062852049835","4"
"At least once a month","1986","Not Employed","higher education","12","","","","3"
"At least once a month","1986","Employed","in school","","","","","3"
"At least once a month","1986","Employed","inadequately","10","","","","3"
"At least once a month","1986","Not Employed","vocational + Abi","2","","","","3"
"At least once a month","1986","Not Employed","higher vocational","8","","","","3"
"At least once a month","1986","Not Employed","in school","6","","","","3"
"At least once a month","1986","Not Employed","inadequately","5","","","","3"
"At least once a month","1986","Not Employed","general elemantary","45","0.0282182458099546","0.0194108486154558","0.0370256430044534","3"
"At least once a month","1986","Not Employed","middle vocational","55","0.0278985528072151","0.0198643468919478","0.0359327587224825","3"
"At least once a month","1986","Employed","general elemantary","76","0.050600561315766","0.039614386613787","0.061586736017745","3"
"At least once a month","1986","Employed","middle vocational","244","0.072340219709453","0.0635732231229759","0.0811072162959301","3"
"At least once a month","1986","Employed","vocational + Abi","16","","","","3"
"At least once a month","1986","Employed","higher vocational","27","","","","3"
"At least once a month","1986","Employed","higher education","55","0.0976168520231104","0.0739081524951897","0.121325551551031","3"
"Several times a year","1986","Not Employed","general elemantary","75","0.0423818153434433","0.0316670127096299","0.0530966179772568","2"
"Several times a year","1986","Not Employed","middle vocational","139","0.0700329373047383","0.0575825953334128","0.0824832792760638","2"
"Several times a year","1986","Employed","vocational + Abi","39","0.228723131251868","0.171087214602783","0.286359047900953","2"
"Several times a year","1986","Not Employed","inadequately","10","","","","2"
"Several times a year","1986","Not Employed","vocational + Abi","8","","","","2"
"Several times a year","1986","Employed","higher vocational","79","0.208434753087865","0.169117371451477","0.247752134724253","2"
"Several times a year","1986","Employed","middle vocational","536","0.164547610548748","0.151999648263532","0.177095572833965","2"
"Several times a year","1986","Not Employed","higher vocational","13","","","","2"
"Several times a year","1986","Employed","higher education","94","0.151732635482115","0.123073985695236","0.180391285268995","2"
"Several times a year","1986","Not Employed","in school","32","0.155924884548353","0.103073414987511","0.208776354109194","2"
"Several times a year","1986","Employed","in school","1","","","","2"
"Several times a year","1986","Employed","inadequately","40","0.0937853882112837","0.0672020067244993","0.120368769698068","2"
"Several times a year","1986","Employed","general elemantary","186","0.131699506881728","0.114749438814097","0.148649574949358","2"
"Several times a year","1986","Not Employed","higher education","16","","","","2"
"Almost never or never","1987","Not Employed","in school","","","","","1"
"Almost never or never","1987","Not Employed","inadequately","","","","","1"
"Almost never or never","1987","Not Employed","general elemantary","","","","","1"
"Almost never or never","1987","Not Employed","middle vocational","","","","","1"
"Almost never or never","1987","Not Employed","vocational + Abi","","","","","1"
"Almost never or never","1987","Not Employed","higher vocational","","","","","1"
"Almost never or never","1987","Not Employed","higher education","","","","","1"
"Almost never or never","1987","Employed","in school","","","","","1"
"Almost never or never","1987","Employed","inadequately","","","","","1"
"Almost never or never","1987","Employed","general elemantary","","","","","1"
"Almost never or never","1987","Employed","middle vocational","","","","","1"
"Almost never or never","1987","Employed","vocational + Abi","","","","","1"
"Almost never or never","1987","Employed","higher vocational","","","","","1"
"Almost never or never","1987","Employed","higher education","","","","","1"
"At lease once a week","1987","Not Employed","middle vocational","","","","","4"
"At lease once a week","1987","Not Employed","general elemantary","","","","","4"
"At lease once a week","1987","Employed","higher education","","","","","4"
"At lease once a week","1987","Not Employed","inadequately","","","","","4"
"At lease once a week","1987","Employed","higher vocational","","","","","4"
"At lease once a week","1987","Employed","vocational + Abi","","","","","4"
"At lease once a week","1987","Not Employed","vocational + Abi","","","","","4"
"At lease once a week","1987","Not Employed","in school","","","","","4"
"At lease once a week","1987","Not Employed","higher vocational","","","","","4"
"At lease once a week","1987","Not Employed","higher education","","","","","4"
"At lease once a week","1987","Employed","middle vocational","","","","","4"
"At lease once a week","1987","Employed","in school","","","","","4"
"At lease once a week","1987","Employed","inadequately","","","","","4"
"At lease once a week","1987","Employed","general elemantary","","","","","4"
"At least once a month","1987","Not Employed","in school","","","","","3"
"At least once a month","1987","Not Employed","inadequately","","","","","3"
"At least once a month","1987","Employed","inadequately","","","","","3"
"At least once a month","1987","Employed","general elemantary","","","","","3"
"At least once a month","1987","Not Employed","general elemantary","","","","","3"
"At least once a month","1987","Employed","vocational + Abi","","","","","3"
"At least once a month","1987","Employed","higher vocational","","","","","3"
"At least once a month","1987","Employed","higher education","","","","","3"
"At least once a month","1987","Employed","middle vocational","","","","","3"
"At least once a month","1987","Not Employed","middle vocational","","","","","3"
"At least once a month","1987","Not Employed","vocational + Abi","","","","","3"
"At least once a month","1987","Not Employed","higher vocational","","","","","3"
"At least once a month","1987","Not Employed","higher education","","","","","3"
"At least once a month","1987","Employed","in school","","","","","3"
"Several times a year","1987","Not Employed","middle vocational","","","","","2"
"Several times a year","1987","Not Employed","vocational + Abi","","","","","2"
"Several times a year","1987","Not Employed","general elemantary","","","","","2"
"Several times a year","1987","Not Employed","inadequately","","","","","2"
"Several times a year","1987","Employed","vocational + Abi","","","","","2"
"Several times a year","1987","Employed","higher vocational","","","","","2"
"Several times a year","1987","Employed","middle vocational","","","","","2"
"Several times a year","1987","Employed","higher education","","","","","2"
"Several times a year","1987","Not Employed","higher vocational","","","","","2"
"Several times a year","1987","Not Employed","in school","","","","","2"
"Several times a year","1987","Employed","in school","","","","","2"
"Several times a year","1987","Employed","inadequately","","","","","2"
"Several times a year","1987","Employed","general elemantary","","","","","2"
"Several times a year","1987","Not Employed","higher education","","","","","2"
"Almost never or never","1988","Not Employed","in school","20","","","","1"
"Almost never or never","1988","Not Employed","inadequately","271","0.821458641572486","0.778050142900531","0.864867140244442","1"
"Almost never or never","1988","Not Employed","general elemantary","875","0.786094850817154","0.762845424894606","0.809344276739701","1"
"Almost never or never","1988","Not Employed","middle vocational","968","0.691807777320667","0.668322893195518","0.715292661445816","1"
"Almost never or never","1988","Not Employed","vocational + Abi","42","0.583968915649506","0.468502196339361","0.699435634959652","1"
"Almost never or never","1988","Not Employed","higher vocational","98","0.673976920268472","0.598961741826787","0.748992098710156","1"
"Almost never or never","1988","Not Employed","higher education","73","0.587480179794593","0.502855812563394","0.672104547025792","1"
"Almost never or never","1988","Employed","in school","2","","","","1"
"Almost never or never","1988","Employed","inadequately","337","0.777886993959233","0.737152404336434","0.818621583582032","1"
"Almost never or never","1988","Employed","general elemantary","920","0.59968941866145","0.574993003155887","0.624385834167013","1"
"Almost never or never","1988","Employed","middle vocational","1571","0.463424327440876","0.446181930783947","0.480666724097805","1"
"Almost never or never","1988","Employed","vocational + Abi","82","0.334748261595865","0.269347129295154","0.400149393896577","1"
"Almost never or never","1988","Employed","higher vocational","139","0.372368815906741","0.324203821170424","0.420533810643057","1"
"Almost never or never","1988","Employed","higher education","168","0.299774323489045","0.262129246512805","0.337419400465285","1"
"At lease once a week","1988","Employed","higher vocational","132","0.335837574908095","0.28878380743265","0.38289134238354","4"
"At lease once a week","1988","Not Employed","general elemantary","200","0.137428227015598","0.117907331755908","0.156949122275288","4"
"At lease once a week","1988","Not Employed","vocational + Abi","18","","","","4"
"At lease once a week","1988","Employed","higher education","246","0.42720632392826","0.386561064346072","0.467851583510448","4"
"At lease once a week","1988","Not Employed","middle vocational","288","0.17451525305731","0.155210862904836","0.193819643209785","4"
"At lease once a week","1988","Employed","vocational + Abi","63","0.340735712704507","0.275049882143276","0.406421543265738","4"
"At lease once a week","1988","Not Employed","inadequately","15","","","","4"
"At lease once a week","1988","Not Employed","higher vocational","28","","","","4"
"At lease once a week","1988","Not Employed","in school","111","0.727023728944741","0.656434389656773","0.797613068232708","4"
"At lease once a week","1988","Employed","middle vocational","882","0.289847800525425","0.274160310920474","0.305535290130376","4"
"At lease once a week","1988","Not Employed","higher education","37","0.26957358951412","0.1932948830664","0.34585229596184","4"
"At lease once a week","1988","Employed","in school","5","","","","4"
"At lease once a week","1988","Employed","inadequately","30","0.117032599378294","0.0855301838484483","0.148535014908139","4"
"At lease once a week","1988","Employed","general elemantary","323","0.223601870994305","0.202600282139388","0.244603459849222","4"
"At least once a month","1988","Not Employed","middle vocational","59","0.0362415534712441","0.0267361103944104","0.0457469965480778","3"
"At least once a month","1988","Not Employed","vocational + Abi","3","","","","3"
"At least once a month","1988","Not Employed","higher vocational","6","","","","3"
"At least once a month","1988","Not Employed","higher education","7","","","","3"
"At least once a month","1988","Employed","in school","","","","","3"
"At least once a month","1988","Employed","inadequately","10","","","","3"
"At least once a month","1988","Employed","general elemantary","86","0.0505931089757129","0.0395461162208223","0.0616401017306036","3"
"At least once a month","1988","Employed","middle vocational","216","0.0709494188548518","0.0620719975901247","0.079826840119579","3"
"At least once a month","1988","Employed","vocational + Abi","14","","","","3"
"At least once a month","1988","Employed","higher vocational","31","0.0856999405712127","0.0578113065663794","0.113588574576046","3"
"At least once a month","1988","Not Employed","in school","9","","","","3"
"At least once a month","1988","Not Employed","inadequately","3","","","","3"
"At least once a month","1988","Not Employed","general elemantary","35","0.0230809971010364","0.0145672508831028","0.0315947433189701","3"
"At least once a month","1988","Employed","higher education","38","0.071520861868385","0.050347276584441","0.092694447152329","3"
"Several times a year","1988","Not Employed","general elemantary","85","0.053395925066212","0.040649089581647","0.0661427605507769","2"
"Several times a year","1988","Not Employed","vocational + Abi","7","","","","2"
"Several times a year","1988","Employed","higher education","117","0.20149849071431","0.168540120539741","0.234456860888879","2"
"Several times a year","1988","Not Employed","middle vocational","170","0.0974354161507785","0.0823526002404247","0.112518232061132","2"
"Several times a year","1988","Employed","vocational + Abi","41","0.227110851407522","0.169046358069853","0.285175344745191","2"
"Several times a year","1988","Employed","higher vocational","85","0.206093668613952","0.165793249170623","0.246394088057281","2"
"Several times a year","1988","Not Employed","inadequately","10","","","","2"
"Several times a year","1988","Employed","middle vocational","544","0.175778453178847","0.162617191341625","0.18893971501607","2"
"Several times a year","1988","Not Employed","higher vocational","18","","","","2"
"Several times a year","1988","Not Employed","in school","13","","","","2"
"Several times a year","1988","Not Employed","higher education","13","","","","2"
"Several times a year","1988","Employed","in school","1","","","","2"
"Several times a year","1988","Employed","inadequately","23","","","","2"
"Several times a year","1988","Employed","general elemantary","183","0.126115601368532","0.109382224358753","0.142848978378311","2"
"Almost never or never","1989","Not Employed","vocational + Abi","","","","","1"
"Almost never or never","1989","Not Employed","higher vocational","","","","","1"
"Almost never or never","1989","Not Employed","higher education","","","","","1"
"Almost never or never","1989","Employed","in school","","","","","1"
"Almost never or never","1989","Employed","inadequately","","","","","1"
"Almost never or never","1989","Not Employed","in school","","","","","1"
"Almost never or never","1989","Not Employed","inadequately","","","","","1"
"Almost never or never","1989","Not Employed","general elemantary","","","","","1"
"Almost never or never","1989","Not Employed","middle vocational","","","","","1"
"Almost never or never","1989","Employed","general elemantary","","","","","1"
"Almost never or never","1989","Employed","middle vocational","","","","","1"
"Almost never or never","1989","Employed","vocational + Abi","","","","","1"
"Almost never or never","1989","Employed","higher vocational","","","","","1"
"Almost never or never","1989","Employed","higher education","","","","","1"
"At lease once a week","1989","Not Employed","vocational + Abi","","","","","4"
"At lease once a week","1989","Not Employed","higher vocational","","","","","4"
"At lease once a week","1989","Not Employed","middle vocational","","","","","4"
"At lease once a week","1989","Not Employed","general elemantary","","","","","4"
"At lease once a week","1989","Employed","vocational + Abi","","","","","4"
"At lease once a week","1989","Not Employed","inadequately","","","","","4"
"At lease once a week","1989","Not Employed","in school","","","","","4"
"At lease once a week","1989","Employed","middle vocational","","","","","4"
"At lease once a week","1989","Employed","higher vocational","","","","","4"
"At lease once a week","1989","Employed","higher education","","","","","4"
"At lease once a week","1989","Not Employed","higher education","","","","","4"
"At lease once a week","1989","Employed","in school","","","","","4"
"At lease once a week","1989","Employed","inadequately","","","","","4"
"At lease once a week","1989","Employed","general elemantary","","","","","4"
"At least once a month","1989","Not Employed","in school","","","","","3"
"At least once a month","1989","Not Employed","inadequately","","","","","3"
"At least once a month","1989","Not Employed","general elemantary","","","","","3"
"At least once a month","1989","Not Employed","middle vocational","","","","","3"
"At least once a month","1989","Not Employed","vocational + Abi","","","","","3"
"At least once a month","1989","Not Employed","higher vocational","","","","","3"
"At least once a month","1989","Not Employed","higher education","","","","","3"
"At least once a month","1989","Employed","in school","","","","","3"
"At least once a month","1989","Employed","inadequately","","","","","3"
"At least once a month","1989","Employed","general elemantary","","","","","3"
"At least once a month","1989","Employed","middle vocational","","","","","3"
"At least once a month","1989","Employed","vocational + Abi","","","","","3"
"At least once a month","1989","Employed","higher vocational","","","","","3"
"At least once a month","1989","Employed","higher education","","","","","3"
"Several times a year","1989","Employed","vocational + Abi","","","","","2"
"Several times a year","1989","Not Employed","general elemantary","","","","","2"
"Several times a year","1989","Not Employed","vocational + Abi","","","","","2"
"Several times a year","1989","Employed","higher vocational","","","","","2"
"Several times a year","1989","Employed","higher education","","","","","2"
"Several times a year","1989","Not Employed","middle vocational","","","","","2"
"Several times a year","1989","Not Employed","inadequately","","","","","2"
"Several times a year","1989","Employed","middle vocational","","","","","2"
"Several times a year","1989","Not Employed","higher vocational","","","","","2"
"Several times a year","1989","Not Employed","in school","","","","","2"
"Several times a year","1989","Not Employed","higher education","","","","","2"
"Several times a year","1989","Employed","in school","","","","","2"
"Several times a year","1989","Employed","inadequately","","","","","2"
"Several times a year","1989","Employed","general elemantary","","","","","2"
"Almost never or never","1990","Not Employed","vocational + Abi","38","0.4945708416377","0.3882831368951","0.600858546380301","1"
"Almost never or never","1990","Not Employed","higher vocational","81","0.58991326509506","0.507851568891345","0.671974961298774","1"
"Almost never or never","1990","Not Employed","higher education","54","0.405178053970022","0.321110406951331","0.489245700988714","1"
"Almost never or never","1990","Employed","in school","1","","","","1"
"Almost never or never","1990","Employed","inadequately","270","0.635128397242676","0.585674764780114","0.684582029705238","1"
"Almost never or never","1990","Not Employed","in school","19","","","","1"
"Almost never or never","1990","Not Employed","inadequately","230","0.836341499511306","0.791797802300765","0.880885196721847","1"
"Almost never or never","1990","Not Employed","general elemantary","745","0.735065429347096","0.708758657451701","0.761372201242491","1"
"Almost never or never","1990","Not Employed","middle vocational","791","0.583244520674781","0.557592422919614","0.608896618429948","1"
"Almost never or never","1990","Employed","general elemantary","696","0.449397991997058","0.423181688251311","0.475614295742805","1"
"Almost never or never","1990","Employed","middle vocational","1011","0.295111735890906","0.279120705063932","0.31110276671788","1"
"Almost never or never","1990","Employed","vocational + Abi","53","0.167741806186338","0.117207286646551","0.218276325726126","1"
"Almost never or never","1990","Employed","higher vocational","83","0.200491098513822","0.159969025330027","0.241013171697617","1"
"Almost never or never","1990","Employed","higher education","110","0.185420269934349","0.153289188916565","0.217551350952133","1"
"At lease once a week","1990","Not Employed","inadequately","10","","","","4"
"At lease once a week","1990","Not Employed","general elemantary","176","0.146232315028779","0.125168997336483","0.167295632721075","4"
"At lease once a week","1990","Not Employed","vocational + Abi","25","","","","4"
"At lease once a week","1990","Not Employed","middle vocational","323","0.214458740855701","0.193103067503208","0.235814414208195","4"
"At lease once a week","1990","Not Employed","higher vocational","35","0.250091208227585","0.177837193583171","0.322345222872","4"
"At lease once a week","1990","Employed","vocational + Abi","87","0.485828909361288","0.418230893606264","0.553426925116312","4"
"At lease once a week","1990","Employed","higher vocational","131","0.351967188092826","0.303629926343473","0.400304449842179","4"
"At lease once a week","1990","Employed","higher education","245","0.449345046632065","0.40821968900108","0.49047040426305","4"
"At lease once a week","1990","Not Employed","in school","98","0.718089482783265","0.645356006372382","0.790822959194149","4"
"At lease once a week","1990","Employed","middle vocational","1011","0.333003803416664","0.316480025252761","0.349527581580568","4"
"At lease once a week","1990","Not Employed","higher education","47","0.369355449081647","0.286708462691644","0.45200243547165","4"
"At lease once a week","1990","Employed","in school","12","","","","4"
"At lease once a week","1990","Employed","inadequately","35","0.172760492266349","0.133924424576104","0.211596559956594","4"
