"m11104","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Several times a year","1984","Full Time","indirect migration background","9","","","","2"
"Several times a year","1984","Part Time","direct migration background","95","0.201767287594321","0.165977043172098","0.237557532016543","2"
"Several times a year","1984","Part Time","indirect migration background","3","","","","2"
"Several times a year","1984","Not Working","no migration background","496","0.126704319148548","0.115701371612494","0.137707266684603","2"
"Several times a year","1984","Not Working","direct migration background","118","0.114259037107553","0.0944123437532528","0.134105730461852","2"
"Several times a year","1984","Not Working","indirect migration background","12","","","","2"
"Several times a year","1984","Part Time","no migration background","299","0.211027113207158","0.189357073573276","0.232697152841041","2"
"Almost never or never","1985","Full Time","no migration background","1516","0.46060401841958","0.443628593989796","0.477579442849364","1"
"Almost never or never","1985","Full Time","direct migration background","1125","0.657119697584481","0.633684776487454","0.680554618681507","1"
"Almost never or never","1985","Full Time","indirect migration background","19","","","","1"
"Almost never or never","1985","Part Time","no migration background","665","0.492920554417721","0.466456533498176","0.519384575337266","1"
"Almost never or never","1985","Part Time","direct migration background","305","0.62612857132801","0.581817907972063","0.670439234683957","1"
"Almost never or never","1985","Part Time","indirect migration background","9","","","","1"
"Almost never or never","1985","Not Working","no migration background","2153","0.709024286237797","0.693309004936344","0.724739567539249","1"
"Almost never or never","1985","Not Working","direct migration background","686","0.753764017783679","0.725348132013834","0.782179903553523","1"
"Almost never or never","1985","Not Working","indirect migration background","26","","","","1"
"At lease once a week","1985","Full Time","no migration background","991","0.302396136610274","0.286754021242486","0.318038251978062","4"
"At lease once a week","1985","Full Time","indirect migration background","14","","","","4"
"At lease once a week","1985","Part Time","no migration background","408","0.295495900868592","0.27134424809908","0.319647553638104","4"
"At lease once a week","1985","Part Time","direct migration background","71","0.21922902330827","0.181338883558744","0.257119163057796","4"
"At lease once a week","1985","Full Time","direct migration background","218","0.170895288472648","0.152311266051423","0.189479310893873","4"
"At lease once a week","1985","Part Time","indirect migration background","5","","","","4"
"At lease once a week","1985","Not Working","no migration background","634","0.176134207082977","0.162954270445106","0.189314143720848","4"
"At lease once a week","1985","Not Working","direct migration background","100","0.153675864821304","0.129888905208383","0.177462824434224","4"
"At lease once a week","1985","Not Working","indirect migration background","29","","","","4"
"At least once a month","1985","Full Time","direct migration background","61","0.0425323112576321","0.0325692789269367","0.0524953435883274","3"
"At least once a month","1985","Full Time","indirect migration background","4","","","","3"
"At least once a month","1985","Part Time","indirect migration background","","","","","3"
"At least once a month","1985","Not Working","no migration background","125","0.0352302702471596","0.0288515573653663","0.0416089831289529","3"
"At least once a month","1985","Part Time","direct migration background","22","","","","3"
"At least once a month","1985","Full Time","no migration background","219","0.0638818771818431","0.0555535632326666","0.0722101911310196","3"
"At least once a month","1985","Part Time","no migration background","77","0.052613884584603","0.0407959099011747","0.0644318592680313","3"
"At least once a month","1985","Not Working","direct migration background","28","","","","3"
"At least once a month","1985","Not Working","indirect migration background","6","","","","3"
"Several times a year","1985","Full Time","direct migration background","172","0.12945270268524","0.112878916522942","0.146026488847537","2"
"Several times a year","1985","Full Time","no migration background","586","0.173117967788303","0.16023263091714","0.186003304659466","2"
"Several times a year","1985","Full Time","indirect migration background","12","","","","2"
"Several times a year","1985","Part Time","direct migration background","60","0.123378083000219","0.0932590847453623","0.153497081255076","2"
"Several times a year","1985","Part Time","indirect migration background","6","","","","2"
"Several times a year","1985","Not Working","no migration background","297","0.0796112364320667","0.0702456263913058","0.0889768464728277","2"
"Several times a year","1985","Not Working","direct migration background","69","0.0586655938741896","0.0431656030440846","0.0741655847042945","2"
"Several times a year","1985","Not Working","indirect migration background","10","","","","2"
"Several times a year","1985","Part Time","no migration background","221","0.158969660129084","0.139614698349954","0.178324621908214","2"
"Almost never or never","1986","Full Time","no migration background","1436","0.447504307565823","0.430377645559413","0.464630969572233","1"
"Almost never or never","1986","Full Time","direct migration background","1064","0.64640606990542","0.6224269253366","0.670385214474241","1"
"Almost never or never","1986","Full Time","indirect migration background","22","","","","1"
"Almost never or never","1986","Part Time","no migration background","618","0.469311391624875","0.44246023114393","0.496162552105821","1"
"Almost never or never","1986","Part Time","direct migration background","313","0.627733062685154","0.583460966337483","0.672005159032824","1"
"Almost never or never","1986","Part Time","indirect migration background","14","","","","1"
"Almost never or never","1986","Not Working","no migration background","2016","0.725349787609196","0.709319199405871","0.741380375812521","1"
"Almost never or never","1986","Not Working","direct migration background","632","0.747747353082997","0.718447045737496","0.777047660428499","1"
"Almost never or never","1986","Not Working","indirect migration background","23","","","","1"
"At lease once a week","1986","Full Time","no migration background","1007","0.309534246300363","0.293610872397345","0.325457620203381","4"
"At lease once a week","1986","Part Time","direct migration background","76","0.211274520288505","0.173889135961699","0.248659904615312","4"
"At lease once a week","1986","Full Time","indirect migration background","18","","","","4"
"At lease once a week","1986","Part Time","no migration background","423","0.314030642045604","0.289058775729733","0.339002508361475","4"
"At lease once a week","1986","Full Time","direct migration background","222","0.170426667074904","0.151567403100149","0.189285931049658","4"
"At lease once a week","1986","Part Time","indirect migration background","12","","","","4"
"At lease once a week","1986","Not Working","no migration background","630","0.180341415324932","0.166532804906094","0.194150025743771","4"
"At lease once a week","1986","Not Working","direct migration background","125","0.146055434745818","0.12222946598391","0.169881403507725","4"
"At lease once a week","1986","Not Working","indirect migration background","30","0.416231009701823","0.295464690131201","0.536997329272444","4"
"At least once a month","1986","Full Time","no migration background","249","0.074287924515413","0.0652554499814949","0.0833203990493311","3"
"At least once a month","1986","Full Time","direct migration background","78","0.0621008135323899","0.0499960782355222","0.0742055488292576","3"
"At least once a month","1986","Part Time","indirect migration background","4","","","","3"
"At least once a month","1986","Part Time","direct migration background","17","","","","3"
"At least once a month","1986","Full Time","indirect migration background","5","","","","3"
"At least once a month","1986","Not Working","no migration background","102","0.0294379382300912","0.0233670659704558","0.0355088104897267","3"
"At least once a month","1986","Not Working","direct migration background","29","","","","3"
"At least once a month","1986","Not Working","indirect migration background","3","","","","3"
"At least once a month","1986","Part Time","no migration background","80","0.0641306016164264","0.0509494635229561","0.0773117397098967","3"
"Several times a year","1986","Full Time","direct migration background","163","0.121066449487286","0.10470512353387","0.137427775440703","2"
"Several times a year","1986","Part Time","indirect migration background","6","","","","2"
"Several times a year","1986","Not Working","direct migration background","58","0.0644146985530391","0.047852764456265","0.0809766326498131","2"
"Several times a year","1986","Full Time","no migration background","546","0.168673521618401","0.15577562380969","0.181571419427112","2"
"Several times a year","1986","Part Time","direct migration background","52","0.125846000677988","0.095470108982968","0.156221892373008","2"
"Several times a year","1986","Full Time","indirect migration background","10","","","","2"
"Several times a year","1986","Not Working","indirect migration background","8","","","","2"
"Several times a year","1986","Part Time","no migration background","206","0.152527364713095","0.133183227909148","0.171871501517041","2"
"Several times a year","1986","Not Working","no migration background","230","0.0648708588357803","0.0560248704741932","0.0737168471973675","2"
"Almost never or never","1987","Full Time","no migration background","","","","","1"
"Almost never or never","1987","Full Time","direct migration background","","","","","1"
"Almost never or never","1987","Full Time","indirect migration background","","","","","1"
"Almost never or never","1987","Part Time","no migration background","","","","","1"
"Almost never or never","1987","Part Time","direct migration background","","","","","1"
"Almost never or never","1987","Part Time","indirect migration background","","","","","1"
"Almost never or never","1987","Not Working","no migration background","","","","","1"
"Almost never or never","1987","Not Working","direct migration background","","","","","1"
"Almost never or never","1987","Not Working","indirect migration background","","","","","1"
"At lease once a week","1987","Full Time","no migration background","","","","","4"
"At lease once a week","1987","Full Time","indirect migration background","","","","","4"
"At lease once a week","1987","Part Time","no migration background","","","","","4"
"At lease once a week","1987","Part Time","direct migration background","","","","","4"
"At lease once a week","1987","Full Time","direct migration background","","","","","4"
"At lease once a week","1987","Part Time","indirect migration background","","","","","4"
"At lease once a week","1987","Not Working","no migration background","","","","","4"
"At lease once a week","1987","Not Working","direct migration background","","","","","4"
"At lease once a week","1987","Not Working","indirect migration background","","","","","4"
"At least once a month","1987","Full Time","direct migration background","","","","","3"
"At least once a month","1987","Full Time","no migration background","","","","","3"
"At least once a month","1987","Part Time","direct migration background","","","","","3"
"At least once a month","1987","Part Time","indirect migration background","","","","","3"
"At least once a month","1987","Full Time","indirect migration background","","","","","3"
"At least once a month","1987","Part Time","no migration background","","","","","3"
"At least once a month","1987","Not Working","no migration background","","","","","3"
"At least once a month","1987","Not Working","direct migration background","","","","","3"
"At least once a month","1987","Not Working","indirect migration background","","","","","3"
"Several times a year","1987","Full Time","no migration background","","","","","2"
"Several times a year","1987","Full Time","direct migration background","","","","","2"
"Several times a year","1987","Part Time","direct migration background","","","","","2"
"Several times a year","1987","Part Time","indirect migration background","","","","","2"
"Several times a year","1987","Not Working","direct migration background","","","","","2"
"Several times a year","1987","Not Working","indirect migration background","","","","","2"
"Several times a year","1987","Full Time","indirect migration background","","","","","2"
"Several times a year","1987","Part Time","no migration background","","","","","2"
"Several times a year","1987","Not Working","no migration background","","","","","2"
"Almost never or never","1988","Full Time","no migration background","1329","0.431654803760358","0.41420211586353","0.449107491657186","1"
"Almost never or never","1988","Full Time","direct migration background","973","0.643866448272097","0.618719987121651","0.669012909422543","1"
"Almost never or never","1988","Full Time","indirect migration background","22","","","","1"
"Almost never or never","1988","Part Time","no migration background","601","0.474116347765965","0.44709739737928","0.50113529815265","1"
"Almost never or never","1988","Part Time","direct migration background","326","0.664170043075281","0.621243988535368","0.707096097615195","1"
"Almost never or never","1988","Part Time","indirect migration background","21","","","","1"
"Almost never or never","1988","Not Working","no migration background","1700","0.693817805182779","0.676196093270729","0.711439517094829","1"
"Almost never or never","1988","Not Working","direct migration background","635","0.764435044874554","0.735066221878316","0.793803867870791","1"
"Almost never or never","1988","Not Working","indirect migration background","36","0.591466470066448","0.493643432999909","0.689289507132987","1"
"At lease once a week","1988","Full Time","no migration background","956","0.310127792263386","0.293829481109996","0.326426103416776","4"
"At lease once a week","1988","Full Time","indirect migration background","30","0.290499748311956","0.186355373283267","0.394644123340645","4"
"At lease once a week","1988","Part Time","no migration background","418","0.30740102044885","0.282433538210442","0.332368502687258","4"
"At lease once a week","1988","Part Time","direct migration background","78","0.205775415268471","0.169031111641818","0.242519718895124","4"
"At lease once a week","1988","Full Time","direct migration background","208","0.161654659460694","0.14232259993215","0.180986718989237","4"
"At lease once a week","1988","Part Time","indirect migration background","18","","","","4"
"At lease once a week","1988","Not Working","no migration background","571","0.186350481401178","0.171463064306459","0.201237898495898","4"
"At lease once a week","1988","Not Working","direct migration background","103","0.164704413099916","0.139033955038498","0.190374871161334","4"
"At lease once a week","1988","Not Working","indirect migration background","37","0.276449599848041","0.187446609030628","0.365452590665455","4"
"At least once a month","1988","Full Time","direct migration background","53","0.0441215684390006","0.0333370853156231","0.0549060515623781","3"
"At least once a month","1988","Part Time","indirect migration background","4","","","","3"
"At least once a month","1988","Part Time","direct migration background","20","","","","3"
"At least once a month","1988","Full Time","no migration background","239","0.0765993364352187","0.0672281294325659","0.0859705434378715","3"
"At least once a month","1988","Full Time","indirect migration background","6","","","","3"
"At least once a month","1988","Part Time","no migration background","76","0.0576722944663885","0.045057918566913","0.0702866703658641","3"
"At least once a month","1988","Not Working","no migration background","103","0.0342103623074237","0.0272608309625254","0.041159893652322","3"
"At least once a month","1988","Not Working","direct migration background","12","","","","3"
"At least once a month","1988","Not Working","indirect migration background","8","","","","3"
"Several times a year","1988","Full Time","direct migration background","159","0.150357323828208","0.131587811645395","0.169126836011022","2"
"Several times a year","1988","Part Time","indirect migration background","8","","","","2"
"Several times a year","1988","Full Time","no migration background","570","0.181618067541037","0.168033510618083","0.195202624463991","2"
"Several times a year","1988","Part Time","direct migration background","41","0.0957106017035918","0.0689709739259727","0.122450229481211","2"
"Several times a year","1988","Part Time","no migration background","217","0.160810337318796","0.140932541847336","0.180688132790256","2"
"Several times a year","1988","Not Working","direct migration background","52","0.0607723591621307","0.0442375423661387","0.0773071759581227","2"
"Several times a year","1988","Not Working","indirect migration background","16","","","","2"
"Several times a year","1988","Full Time","indirect migration background","15","","","","2"
"Several times a year","1988","Not Working","no migration background","254","0.0856213511086187","0.0749236739528512","0.0963190282643861","2"
"Almost never or never","1989","Full Time","no migration background","","","","","1"
"Almost never or never","1989","Full Time","direct migration background","","","","","1"
"Almost never or never","1989","Full Time","indirect migration background","","","","","1"
"Almost never or never","1989","Part Time","no migration background","","","","","1"
"Almost never or never","1989","Part Time","direct migration background","","","","","1"
"Almost never or never","1989","Part Time","indirect migration background","","","","","1"
"Almost never or never","1989","Not Working","no migration background","","","","","1"
"Almost never or never","1989","Not Working","direct migration background","","","","","1"
"Almost never or never","1989","Not Working","indirect migration background","","","","","1"
"At lease once a week","1989","Part Time","no migration background","","","","","4"
"At lease once a week","1989","Part Time","direct migration background","","","","","4"
"At lease once a week","1989","Full Time","no migration background","","","","","4"
"At lease once a week","1989","Full Time","direct migration background","","","","","4"
"At lease once a week","1989","Full Time","indirect migration background","","","","","4"
"At lease once a week","1989","Part Time","indirect migration background","","","","","4"
"At lease once a week","1989","Not Working","no migration background","","","","","4"
"At lease once a week","1989","Not Working","direct migration background","","","","","4"
"At lease once a week","1989","Not Working","indirect migration background","","","","","4"
"At least once a month","1989","Full Time","no migration background","","","","","3"
"At least once a month","1989","Full Time","direct migration background","","","","","3"
"At least once a month","1989","Part Time","direct migration background","","","","","3"
"At least once a month","1989","Part Time","indirect migration background","","","","","3"
"At least once a month","1989","Not Working","no migration background","","","","","3"
"At least once a month","1989","Not Working","direct migration background","","","","","3"
"At least once a month","1989","Not Working","indirect migration background","","","","","3"
"At least once a month","1989","Full Time","indirect migration background","","","","","3"
"At least once a month","1989","Part Time","no migration background","","","","","3"
"Several times a year","1989","Full Time","direct migration background","","","","","2"
"Several times a year","1989","Full Time","no migration background","","","","","2"
"Several times a year","1989","Part Time","direct migration background","","","","","2"
"Several times a year","1989","Part Time","indirect migration background","","","","","2"
"Several times a year","1989","Part Time","no migration background","","","","","2"
"Several times a year","1989","Not Working","direct migration background","","","","","2"
"Several times a year","1989","Not Working","indirect migration background","","","","","2"
"Several times a year","1989","Full Time","indirect migration background","","","","","2"
"Several times a year","1989","Not Working","no migration background","","","","","2"
"Almost never or never","1990","Full Time","no migration background","814","0.269848027381464","0.253950999610192","0.285745055152736","1"
"Almost never or never","1990","Full Time","direct migration background","788","0.52789133474025","0.500990768522205","0.554791900958294","1"
"Almost never or never","1990","Full Time","indirect migration background","31","0.252211551734192","0.165338648107629","0.339084455360754","1"
"Almost never or never","1990","Part Time","no migration background","365","0.297447906316741","0.27199384053191","0.322901972101572","1"
"Almost never or never","1990","Part Time","direct migration background","248","0.479044736271355","0.430210621901892","0.527878850640818","1"
"Almost never or never","1990","Part Time","indirect migration background","24","","","","1"
"Almost never or never","1990","Not Working","no migration background","1378","0.605991765406363","0.586466979064401","0.625516551748325","1"
"Almost never or never","1990","Not Working","direct migration background","570","0.680364806789229","0.647968927428352","0.712760686150106","1"
"Almost never or never","1990","Not Working","indirect migration background","35","0.401483984913481","0.313037803314688","0.489930166512275","1"
"At lease once a week","1990","Part Time","direct migration background","78","0.266953090023805","0.223709830280251","0.310196349767358","4"
"At lease once a week","1990","Part Time","no migration background","446","0.35533208695621","0.328682058414596","0.381982115497825","4"
"At lease once a week","1990","Full Time","no migration background","1047","0.350599674766356","0.333510870202501","0.367688479330211","4"
"At lease once a week","1990","Full Time","direct migration background","236","0.205005941150966","0.183252231177245","0.226759651124686","4"
"At lease once a week","1990","Full Time","indirect migration background","34","0.374537612253945","0.277718567719634","0.471356656788256","4"
"At lease once a week","1990","Part Time","indirect migration background","26","","","","4"
"At lease once a week","1990","Not Working","no migration background","574","0.220890183453175","0.204313874766493","0.237466492139857","4"
"At lease once a week","1990","Not Working","direct migration background","104","0.165786470582802","0.139951693732114","0.191621247433491","4"
"At lease once a week","1990","Not Working","indirect migration background","53","0.369991175912595","0.282879556618682","0.457102795206508","4"
"At least once a month","1990","Full Time","no migration background","350","0.117891752472559","0.106342541074986","0.129440963870132","3"
"At least once a month","1990","Full Time","direct migration background","95","0.0751422518171119","0.0609370391036509","0.0893474645305728","3"
"At least once a month","1990","Part Time","direct migration background","24","","","","3"
"At least once a month","1990","Part Time","indirect migration background","13","","","","3"
"At least once a month","1990","Not Working","no migration background","136","0.0518187716377524","0.0429617131411496","0.0606758301343553","3"
"At least once a month","1990","Not Working","direct migration background","30","0.0356148030314802","0.0227402518437621","0.0484893542191982","3"
"At least once a month","1990","Not Working","indirect migration background","13","","","","3"
"At least once a month","1990","Full Time","indirect migration background","16","","","","3"
"At least once a month","1990","Part Time","no migration background","128","0.104924799102075","0.0878607821716611","0.121988816032489","3"
"Several times a year","1990","Full Time","no migration background","784","0.261660545379621","0.245919019163135","0.277402071596107","2"
"Several times a year","1990","Full Time","direct migration background","204","0.191960472291673","0.170738273570399","0.213182671012948","2"
"Several times a year","1990","Part Time","direct migration background","52","0.177575682032684","0.140218442091162","0.214932921974206","2"
"Several times a year","1990","Part Time","indirect migration background","17","","","","2"
"Several times a year","1990","Part Time","no migration background","300","0.242295207624974","0.21843716187617","0.266153253373778","2"
"Several times a year","1990","Full Time","indirect migration background","15","","","","2"
"Several times a year","1990","Not Working","direct migration background","92","0.118233919596488","0.0958034020153024","0.140664437177674","2"
"Several times a year","1990","Not Working","indirect migration background","17","","","","2"
"Several times a year","1990","Not Working","no migration background","318","0.121299279502709","0.108254105347134","0.134344453658285","2"
"Almost never or never","1991","Full Time","no migration background","","","","","1"
"Almost never or never","1991","Full Time","direct migration background","","","","","1"
"Almost never or never","1991","Full Time","indirect migration background","","","","","1"
"Almost never or never","1991","Part Time","no migration background","","","","","1"
"Almost never or never","1991","Part Time","direct migration background","","","","","1"
"Almost never or never","1991","Part Time","indirect migration background","","","","","1"
"Almost never or never","1991","Not Working","no migration background","","","","","1"
"Almost never or never","1991","Not Working","direct migration background","","","","","1"
"Almost never or never","1991","Not Working","indirect migration background","","","","","1"
"At lease once a week","1991","Part Time","no migration background","","","","","4"
"At lease once a week","1991","Part Time","direct migration background","","","","","4"
"At lease once a week","1991","Full Time","no migration background","","","","","4"
"At lease once a week","1991","Full Time","direct migration background","","","","","4"
"At lease once a week","1991","Full Time","indirect migration background","","","","","4"
"At lease once a week","1991","Part Time","indirect migration background","","","","","4"
"At lease once a week","1991","Not Working","no migration background","","","","","4"
"At lease once a week","1991","Not Working","direct migration background","","","","","4"
"At lease once a week","1991","Not Working","indirect migration background","","","","","4"
"At least once a month","1991","Part Time","indirect migration background","","","","","3"
"At least once a month","1991","Full Time","no migration background","","","","","3"
"At least once a month","1991","Part Time","direct migration background","","","","","3"
"At least once a month","1991","Not Working","direct migration background","","","","","3"
"At least once a month","1991","Not Working","indirect migration background","","","","","3"
"At least once a month","1991","Full Time","direct migration background","","","","","3"
"At least once a month","1991","Full Time","indirect migration background","","","","","3"
"At least once a month","1991","Part Time","no migration background","","","","","3"
"At least once a month","1991","Not Working","no migration background","","","","","3"
"Several times a year","1991","Full Time","no migration background","","","","","2"
"Several times a year","1991","Full Time","direct migration background","","","","","2"
"Several times a year","1991","Part Time","direct migration background","","","","","2"
"Several times a year","1991","Part Time","no migration background","","","","","2"
"Several times a year","1991","Part Time","indirect migration background","","","","","2"
"Several times a year","1991","Not Working","direct migration background","","","","","2"
"Several times a year","1991","Not Working","indirect migration background","","","","","2"
"Several times a year","1991","Full Time","indirect migration background","","","","","2"
"Several times a year","1991","Not Working","no migration background","","","","","2"
"Almost never or never","1992","Full Time","no migration background","2358","0.423958522295273","0.410301605569461","0.437615439021084","1"
"Almost never or never","1992","Full Time","direct migration background","831","0.588942581057899","0.56235934367133","0.615525818444467","1"
"Almost never or never","1992","Full Time","indirect migration background","49","0.32792112372833","0.256290136209174","0.399552111247486","1"
"Almost never or never","1992","Part Time","no migration background","998","0.475466212482195","0.453463726228539","0.497468698735851","1"
"Almost never or never","1992","Part Time","direct migration background","274","0.555103058088231","0.506941230657843","0.603264885518619","1"
"Almost never or never","1992","Part Time","indirect migration background","25","","","","1"
"Almost never or never","1992","Not Working","no migration background","2204","0.71199845050922","0.696381948325128","0.727614952693311","1"
"Almost never or never","1992","Not Working","direct migration background","628","0.797673749131923","0.769516937106072","0.825830561157774","1"
"Almost never or never","1992","Not Working","indirect migration background","34","0.326471445911873","0.252169021754757","0.400773870068989","1"
"At lease once a week","1992","Full Time","no migration background","1193","0.270841384035875","0.258560415557282","0.283122352514467","4"
"At lease once a week","1992","Part Time","no migration background","476","0.268271601433703","0.248751255941102","0.287791946926304","4"
"At lease once a week","1992","Part Time","direct migration background","64","0.224587414653366","0.184144209384208","0.265030619922524","4"
"At lease once a week","1992","Full Time","direct migration background","217","0.190886626546928","0.169653566516983","0.212119686576873","4"
"At lease once a week","1992","Full Time","indirect migration background","57","0.30446676645173","0.23425094041454","0.374682592488921","4"
"At lease once a week","1992","Part Time","indirect migration background","25","","","","4"
"At lease once a week","1992","Not Working","no migration background","604","0.176031519285634","0.162897509123884","0.189165529447384","4"
"At lease once a week","1992","Not Working","direct migration background","79","0.112437395481179","0.0902962747052679","0.13457851625709","4"
"At lease once a week","1992","Not Working","indirect migration background","80","0.46902894434284","0.389954231855193","0.548103656830488","4"
"At least once a month","1992","Full Time","no migration background","371","0.0847231236043905","0.077027544206745","0.092418703002036","3"
"At least once a month","1992","Part Time","direct migration background","14","","","","3"
"At least once a month","1992","Part Time","indirect migration background","9","","","","3"
"At least once a month","1992","Not Working","direct migration background","19","","","","3"
"At least once a month","1992","Not Working","indirect migration background","15","","","","3"
"At least once a month","1992","Full Time","direct migration background","72","0.0574189332174665","0.044849749847214","0.0699881165877189","3"
"At least once a month","1992","Full Time","indirect migration background","23","","","","3"
"At least once a month","1992","Part Time","no migration background","126","0.072957461169365","0.0614994331034562","0.0844154892352739","3"
"At least once a month","1992","Not Working","no migration background","115","0.0314189548147361","0.0254029153076534","0.0374349943218188","3"
"Several times a year","1992","Full Time","no migration background","1108","0.220476970064462","0.209020252953777","0.231933687175146","2"
"Several times a year","1992","Full Time","direct migration background","196","0.162751859177707","0.142807953044044","0.18269576531137","2"
"Several times a year","1992","Part Time","direct migration background","57","0.18808342560423","0.150211498589223","0.225955352619237","2"
"Several times a year","1992","Part Time","no migration background","379","0.183304724914736","0.166257957125907","0.200351492703565","2"
"Several times a year","1992","Part Time","indirect migration background","22","","","","2"
"Several times a year","1992","Not Working","direct migration background","56","0.0639191398343724","0.0467749542919096","0.0810633253768352","2"
"Several times a year","1992","Not Working","indirect migration background","24","","","","2"
"Several times a year","1992","Full Time","indirect migration background","36","0.244917717973588","0.179301172711039","0.310534263236137","2"
"Several times a year","1992","Not Working","no migration background","307","0.0805510753904106","0.071165815445317","0.0899363353355042","2"
"Almost never or never","1993","Full Time","no migration background","","","","","1"
"Almost never or never","1993","Full Time","direct migration background","","","","","1"
"Almost never or never","1993","Full Time","indirect migration background","","","","","1"
"Almost never or never","1993","Part Time","no migration background","","","","","1"
"Almost never or never","1993","Part Time","direct migration background","","","","","1"
"Almost never or never","1993","Part Time","indirect migration background","","","","","1"
"Almost never or never","1993","Not Working","no migration background","","","","","1"
"Almost never or never","1993","Not Working","direct migration background","","","","","1"
"Almost never or never","1993","Not Working","indirect migration background","","","","","1"
"At lease once a week","1993","Full Time","no migration background","","","","","4"
"At lease once a week","1993","Full Time","direct migration background","","","","","4"
"At lease once a week","1993","Full Time","indirect migration background","","","","","4"
"At lease once a week","1993","Part Time","no migration background","","","","","4"
"At lease once a week","1993","Part Time","direct migration background","","","","","4"
"At lease once a week","1993","Part Time","indirect migration background","","","","","4"
"At lease once a week","1993","Not Working","no migration background","","","","","4"
"At lease once a week","1993","Not Working","direct migration background","","","","","4"
"At lease once a week","1993","Not Working","indirect migration background","","","","","4"
"At least once a month","1993","Full Time","no migration background","","","","","3"
"At least once a month","1993","Full Time","direct migration background","","","","","3"
"At least once a month","1993","Full Time","indirect migration background","","","","","3"
"At least once a month","1993","Part Time","no migration background","","","","","3"
"At least once a month","1993","Part Time","direct migration background","","","","","3"
"At least once a month","1993","Part Time","indirect migration background","","","","","3"
"At least once a month","1993","Not Working","direct migration background","","","","","3"
"At least once a month","1993","Not Working","indirect migration background","","","","","3"
"At least once a month","1993","Not Working","no migration background","","","","","3"
"Several times a year","1993","Full Time","no migration background","","","","","2"
"Several times a year","1993","Full Time","direct migration background","","","","","2"
"Several times a year","1993","Part Time","direct migration background","","","","","2"
"Several times a year","1993","Part Time","no migration background","","","","","2"
"Several times a year","1993","Full Time","indirect migration background","","","","","2"
"Several times a year","1993","Part Time","indirect migration background","","","","","2"
"Several times a year","1993","Not Working","direct migration background","","","","","2"
"Several times a year","1993","Not Working","indirect migration background","","","","","2"
"Several times a year","1993","Not Working","no migration background","","","","","2"
"Almost never or never","1994","Full Time","no migration background","2063","0.410452332668861","0.396236902642313","0.424667762695409","1"
"Almost never or never","1994","Full Time","direct migration background","646","0.544260240226959","0.514801872101864","0.573718608352054","1"
"Almost never or never","1994","Full Time","indirect migration background","51","0.200923450417345","0.147112855202688","0.254734045632002","1"
"Almost never or never","1994","Part Time","no migration background","858","0.434705922060181","0.411944001624229","0.457467842496133","1"
"Almost never or never","1994","Part Time","direct migration background","268","0.546498597650963","0.498887599226027","0.594109596075898","1"
"Almost never or never","1994","Part Time","indirect migration background","30","0.260482268783504","0.178087769147143","0.342876768419865","1"
"Almost never or never","1994","Not Working","no migration background","2382","0.704720857568296","0.689562720676521","0.719878994460071","1"
