"m11104","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"At lease once a week","1992","Employed","indirect migration background","82","0.305615949236085","0.248049636392405","0.363182262079765","4"
"At least once a month","1992","Not Employed","no migration background","115","0.0314189548147361","0.0254029153076534","0.0374349943218188","3"
"At least once a month","1992","Not Employed","direct migration background","19","","","","3"
"At least once a month","1992","Employed","no migration background","497","0.0813175253213609","0.0749187795784239","0.0877162710642978","3"
"At least once a month","1992","Not Employed","indirect migration background","15","","","","3"
"At least once a month","1992","Employed","direct migration background","86","0.0510802743458618","0.0406907685618555","0.061469780129868","3"
"At least once a month","1992","Employed","indirect migration background","32","0.110474528312345","0.0713011695675971","0.149647887057093","3"
"Several times a year","1992","Not Employed","no migration background","307","0.0805510753904106","0.071165815445317","0.0899363353355042","2"
"Several times a year","1992","Not Employed","direct migration background","56","0.0639191398343724","0.0467749542919096","0.0810633253768352","2"
"Several times a year","1992","Employed","no migration background","1487","0.209717377482458","0.200186596571197","0.219248158393719","2"
"Several times a year","1992","Not Employed","indirect migration background","24","","","","2"
"Several times a year","1992","Employed","direct migration background","253","0.169125424525362","0.151435510340153","0.186815338710571","2"
"Several times a year","1992","Employed","indirect migration background","58","0.242821520965791","0.189238986021927","0.296404055909654","2"
"Almost never or never","1993","Not Employed","no migration background","","","","","1"
"Almost never or never","1993","Not Employed","direct migration background","","","","","1"
"Almost never or never","1993","Not Employed","indirect migration background","","","","","1"
"Almost never or never","1993","Employed","no migration background","","","","","1"
"Almost never or never","1993","Employed","direct migration background","","","","","1"
"Almost never or never","1993","Employed","indirect migration background","","","","","1"
"At lease once a week","1993","Not Employed","no migration background","","","","","4"
"At lease once a week","1993","Not Employed","direct migration background","","","","","4"
"At lease once a week","1993","Not Employed","indirect migration background","","","","","4"
"At lease once a week","1993","Employed","no migration background","","","","","4"
"At lease once a week","1993","Employed","direct migration background","","","","","4"
"At lease once a week","1993","Employed","indirect migration background","","","","","4"
"At least once a month","1993","Not Employed","direct migration background","","","","","3"
"At least once a month","1993","Not Employed","no migration background","","","","","3"
"At least once a month","1993","Employed","no migration background","","","","","3"
"At least once a month","1993","Not Employed","indirect migration background","","","","","3"
"At least once a month","1993","Employed","direct migration background","","","","","3"
"At least once a month","1993","Employed","indirect migration background","","","","","3"
"Several times a year","1993","Not Employed","direct migration background","","","","","2"
"Several times a year","1993","Not Employed","no migration background","","","","","2"
"Several times a year","1993","Not Employed","indirect migration background","","","","","2"
"Several times a year","1993","Employed","no migration background","","","","","2"
"Several times a year","1993","Employed","direct migration background","","","","","2"
"Several times a year","1993","Employed","indirect migration background","","","","","2"
"Almost never or never","1994","Not Employed","no migration background","2382","0.704720857568296","0.689562720676521","0.719878994460071","1"
"Almost never or never","1994","Not Employed","direct migration background","664","0.793068841386445","0.765425565691879","0.820712117081011","1"
"Almost never or never","1994","Not Employed","indirect migration background","47","0.322534322906606","0.25142514393528","0.393643501877932","1"
"Almost never or never","1994","Employed","no migration background","2921","0.41756443674772","0.4055030113607","0.429625862134741","1"
"Almost never or never","1994","Employed","direct migration background","914","0.544943011383733","0.519892266555976","0.56999375621149","1"
"Almost never or never","1994","Employed","indirect migration background","81","0.223044747722635","0.177575877943744","0.268513617501526","1"
"At lease once a week","1994","Not Employed","direct migration background","79","0.116842853797428","0.0949228215692385","0.138762886025618","4"
"At lease once a week","1994","Not Employed","no migration background","598","0.163959111073175","0.151656354999436","0.176261867146913","4"
"At lease once a week","1994","Not Employed","indirect migration background","79","0.418024062446064","0.342991945099522","0.493056179792606","4"
"At lease once a week","1994","Employed","no migration background","1580","0.278905658248179","0.267937400519805","0.289873915976552","4"
"At lease once a week","1994","Employed","direct migration background","226","0.19851050670774","0.178444873419393","0.218576139996087","4"
"At lease once a week","1994","Employed","indirect migration background","99","0.303371289869918","0.253159225286827","0.353583354453009","4"
"At least once a month","1994","Not Employed","no migration background","130","0.0350185599239572","0.028910131376635","0.0411269884712794","3"
"At least once a month","1994","Not Employed","direct migration background","12","","","","3"
"At least once a month","1994","Employed","no migration background","478","0.0778901852740755","0.0713355937638266","0.0844447767843243","3"
"At least once a month","1994","Not Employed","indirect migration background","16","","","","3"
"At least once a month","1994","Employed","direct migration background","95","0.0642801999435881","0.0519427977035501","0.0766176021836261","3"
"At least once a month","1994","Employed","indirect migration background","47","0.112906256414188","0.0783390791076881","0.147473433720687","3"
"Several times a year","1994","Not Employed","no migration background","369","0.0963014714345718","0.0864986943766581","0.106104248492485","2"
"Several times a year","1994","Not Employed","direct migration background","70","0.0769240564256489","0.0587408310348582","0.0951072818164396","2"
"Several times a year","1994","Employed","no migration background","1443","0.225639719730026","0.215416392773263","0.235863046686789","2"
"Several times a year","1994","Not Employed","indirect migration background","24","","","","2"
"Several times a year","1994","Employed","direct migration background","283","0.192266281964938","0.172441981314933","0.212090582614944","2"
"Several times a year","1994","Employed","indirect migration background","95","0.360677705993259","0.308228402038819","0.4131270099477","2"
"Almost never or never","1995","Not Employed","no migration background","1993","0.605170559185579","0.589027082323806","0.621314036047352","1"
"Almost never or never","1995","Not Employed","direct migration background","777","0.654527622883591","0.626336740863614","0.682718504903569","1"
"Almost never or never","1995","Employed","no migration background","2024","0.292742716729405","0.281634746577015","0.303850686881795","1"
"Almost never or never","1995","Not Employed","indirect migration background","47","0.301949923501925","0.233138461164603","0.370761385839246","1"
"Almost never or never","1995","Employed","indirect migration background","76","0.21746274446488","0.173549736584409","0.261375752345351","1"
"Almost never or never","1995","Employed","direct migration background","967","0.482149671766095","0.458361760742162","0.505937582790029","1"
"At lease once a week","1995","Not Employed","no migration background","798","0.202419495610032","0.189149620079395","0.215689371140669","4"
"At lease once a week","1995","Not Employed","direct migration background","146","0.182423787023228","0.159528670017561","0.205318904028896","4"
"At lease once a week","1995","Not Employed","indirect migration background","81","0.449974433490009","0.375409369694434","0.524539497285583","4"
"At lease once a week","1995","Employed","no migration background","2016","0.345150293134721","0.333544418302724","0.356756167966719","4"
"At lease once a week","1995","Employed","direct migration background","307","0.247407559857394","0.226865232372022","0.267949887342766","4"
"At lease once a week","1995","Employed","indirect migration background","137","0.412754295449096","0.360345525462901","0.465163065435291","4"
"At least once a month","1995","Not Employed","direct migration background","36","0.0310355869130679","0.0207549054072896","0.0413162684188463","3"
"At least once a month","1995","Not Employed","no migration background","187","0.0484753653321043","0.0413824630143177","0.0555682676498909","3"
"At least once a month","1995","Employed","no migration background","573","0.094880165448775","0.0877262517274686","0.102034079170081","3"
"At least once a month","1995","Not Employed","indirect migration background","14","","","","3"
"At least once a month","1995","Employed","direct migration background","103","0.0670138505887939","0.0551101190302956","0.0789175821472921","3"
"At least once a month","1995","Employed","indirect migration background","47","0.122102252799338","0.0872499043341132","0.156954601264563","3"
"Several times a year","1995","Not Employed","direct migration background","134","0.132013003180113","0.1119450548064","0.152080951553825","2"
"Several times a year","1995","Not Employed","no migration background","544","0.143934579872285","0.13234174994177","0.1555274098028","2"
"Several times a year","1995","Employed","no migration background","1833","0.267226824687099","0.256424238315257","0.27802941105894","2"
"Several times a year","1995","Not Employed","indirect migration background","29","","","","2"
"Several times a year","1995","Employed","direct migration background","318","0.203428917787717","0.184265107971101","0.222592727604333","2"
"Several times a year","1995","Employed","indirect migration background","79","0.247680707286685","0.201729658191432","0.293631756381939","2"
"Almost never or never","1996","Not Employed","no migration background","2125","0.645816042453559","0.629777754091961","0.661854330815156","1"
"Almost never or never","1996","Not Employed","direct migration background","778","0.710197204987313","0.682328616915168","0.738065793059459","1"
"Almost never or never","1996","Not Employed","indirect migration background","53","0.237246567059644","0.174577459266434","0.299915674852855","1"
"Almost never or never","1996","Employed","no migration background","2528","0.361010346261193","0.349294516091367","0.372726176431019","1"
"Almost never or never","1996","Employed","direct migration background","927","0.520203762776063","0.495624163903885","0.544783361648241","1"
"Almost never or never","1996","Employed","indirect migration background","96","0.264373436237427","0.219255142376044","0.30949173009881","1"
"At lease once a week","1996","Not Employed","no migration background","649","0.181323250410113","0.168402964144033","0.194243536676192","4"
"At lease once a week","1996","Not Employed","direct migration background","90","0.126221202243381","0.105820688261234","0.146621716225527","4"
"At lease once a week","1996","Not Employed","indirect migration background","63","0.415933801482286","0.343322436296294","0.488545166668278","4"
"At lease once a week","1996","Employed","no migration background","1740","0.299640000340552","0.288465531430888","0.310814469250217","4"
"At lease once a week","1996","Employed","direct migration background","238","0.192247727763999","0.172859892114676","0.211635563413322","4"
"At lease once a week","1996","Employed","indirect migration background","112","0.325303553430526","0.277372864211673","0.373234242649379","4"
"At least once a month","1996","Not Employed","direct migration background","34","0.0450159641436281","0.0322793047206084","0.0577526235666479","3"
"At least once a month","1996","Not Employed","no migration background","184","0.0541217256078243","0.0465343322023216","0.061709119013327","3"
