"m11104","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"At lease once a week","1985","Couple + C. GT 16 ","Rural Area","96","0.249114543507637","0.205571891784797","0.292657195230477"
"At lease once a week","1985","Couple + C. LE and GT 16","Urban Area","250","0.278963595906251","0.253042608968392","0.304884582844109"
"At lease once a week","1985","Couple + C. LE and GT 16","Rural Area","92","0.299805377498223","0.250372007799974","0.349238747196472"
"Almost never or never","1986","1-pers.-HH","Urban Area","564","0.648916933962762","0.618452596353194","0.679381271572329"
"Almost never or never","1986","1-pers.-HH","Rural Area","112","0.71296201806362","0.644351178049168","0.781572858078073"
"Almost never or never","1986","(Married) couple without C. ","Urban Area","1209","0.650650414814389","0.629308125344337","0.67199270428444"
"Almost never or never","1986","(Married) couple without C. ","Rural Area","296","0.694761259957593","0.651585002405485","0.737937517509702"
"Almost never or never","1986","Single parent ","Urban Area","210","0.519081068676439","0.469493899139237","0.568668238213641"
"Almost never or never","1986","Single parent ","Rural Area","58","0.539439528843636","0.447941786253309","0.630937271433964"
"Almost never or never","1986","Couple + C. LE 16 ","Urban Area","1082","0.486784968444379","0.46434000695818","0.509229929930577"
"Almost never or never","1986","Couple + C. LE 16 ","Rural Area","263","0.517235208544423","0.473035523016904","0.561434894071942"
"Almost never or never","1986","Couple + C. GT 16 ","Urban Area","879","0.504435160077174","0.480433946085668","0.52843637406868"
"Almost never or never","1986","Couple + C. GT 16 ","Rural Area","224","0.537643220784718","0.489732012051837","0.585554429517598"
"Almost never or never","1986","Couple + C. LE and GT 16","Urban Area","627","0.530334340212351","0.500514093392076","0.560154587032626"
"Almost never or never","1986","Couple + C. LE and GT 16","Rural Area","156","0.467274556139541","0.412264468546579","0.522284643732503"
"Several times a year","1986","1-pers.-HH","Urban Area","100","0.0951718768829908","0.0764422292485742","0.113901524517407"
"Several times a year","1986","1-pers.-HH","Rural Area","12","","",""
"Several times a year","1986","(Married) couple without C. ","Urban Area","181","0.0825977179067557","0.0702751571871092","0.0949202786264022"
"Several times a year","1986","(Married) couple without C. ","Rural Area","37","0.081361386107562","0.0557290086258623","0.106993763589262"
"Several times a year","1986","Single parent ","Urban Area","46","0.12065967848466","0.0883319370900726","0.152987419879248"
"Several times a year","1986","Single parent ","Rural Area","13","","",""
"Several times a year","1986","Couple + C. LE 16 ","Urban Area","295","0.184862152736948","0.167430437080928","0.202293868392968"
"Several times a year","1986","Couple + C. LE 16 ","Rural Area","70","0.14009434605125","0.109394015514508","0.170794676587992"
"Several times a year","1986","Couple + C. GT 16 ","Urban Area","218","0.132939658810003","0.116641736915655","0.149237580704351"
"Several times a year","1986","Couple + C. GT 16 ","Rural Area","62","0.150318417276537","0.11597562323918","0.184661211313894"
"Several times a year","1986","Couple + C. LE and GT 16","Urban Area","127","0.138388406865668","0.117756110039627","0.15902070369171"
"Several times a year","1986","Couple + C. LE and GT 16","Rural Area","54","0.174893916999843","0.133010047629382","0.216777786370304"
"At least once a month","1986","1-pers.-HH","Urban Area","49","0.0420880534031203","0.0292725857326339","0.0549035210736068"
"At least once a month","1986","1-pers.-HH","Rural Area","9","","",""
"At least once a month","1986","(Married) couple without C. ","Urban Area","84","0.041721912162887","0.0327710490467669","0.0506727752790071"
"At least once a month","1986","(Married) couple without C. ","Rural Area","22","","",""
"At least once a month","1986","Single parent ","Urban Area","26","","",""
"At least once a month","1986","Single parent ","Rural Area","4","","",""
"At least once a month","1986","Couple + C. LE 16 ","Urban Area","125","0.0747220139336233","0.0629144311213601","0.0865295967458866"
"At least once a month","1986","Couple + C. LE 16 ","Rural Area","35","0.0703152096041498","0.0477000401729537","0.0929303790353458"
"At least once a month","1986","Couple + C. GT 16 ","Urban Area","101","0.0699682084622956","0.0577226226707991","0.082213794253792"
"At least once a month","1986","Couple + C. GT 16 ","Rural Area","21","","",""
"At least once a month","1986","Couple + C. LE and GT 16","Urban Area","48","0.0428918913008184","0.030785629775469","0.0549981528261677"
"At least once a month","1986","Couple + C. LE and GT 16","Rural Area","19","","",""
"At lease once a week","1986","1-pers.-HH","Urban Area","230","0.213823135751127","0.187654581995417","0.239991689506838"
"At lease once a week","1986","1-pers.-HH","Rural Area","34","0.189191405917624","0.12978958893671","0.248593222898539"
"At lease once a week","1986","(Married) couple without C. ","Urban Area","443","0.225029955115969","0.206336066128585","0.243723844103352"
"At lease once a week","1986","(Married) couple without C. ","Rural Area","82","0.179118474712927","0.143166909366981","0.215070040058872"
"At lease once a week","1986","Single parent ","Urban Area","108","0.299778561345049","0.254307637837941","0.345249484852157"
"At lease once a week","1986","Single parent ","Rural Area","39","0.32245826240259","0.23665566264828","0.408260862156899"
"At lease once a week","1986","Couple + C. LE 16 ","Urban Area","403","0.25363086488505","0.234092937636778","0.273168792133323"
"At lease once a week","1986","Couple + C. LE 16 ","Rural Area","123","0.272355235800177","0.232978935033335","0.311731536567019"
"At lease once a week","1986","Couple + C. GT 16 ","Urban Area","469","0.292656972650528","0.27081585956884","0.314498085732216"
"At lease once a week","1986","Couple + C. GT 16 ","Rural Area","109","0.263029393127255","0.220720793520796","0.305337992733713"
"At lease once a week","1986","Couple + C. LE and GT 16","Urban Area","274","0.288385361621162","0.261317683839581","0.315453039402743"
"At lease once a week","1986","Couple + C. LE and GT 16","Rural Area","87","0.291344569765696","0.241245971656463","0.34144316787493"
"Almost never or never","1987","1-pers.-HH","Urban Area","","","",""
"Almost never or never","1987","1-pers.-HH","Rural Area","","","",""
"Almost never or never","1987","(Married) couple without C. ","Urban Area","","","",""
"Almost never or never","1987","(Married) couple without C. ","Rural Area","","","",""
"Almost never or never","1987","Single parent ","Urban Area","","","",""
"Almost never or never","1987","Single parent ","Rural Area","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","Urban Area","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","Rural Area","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","Urban Area","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","Rural Area","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","Urban Area","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","Rural Area","","","",""
"Several times a year","1987","1-pers.-HH","Urban Area","","","",""
"Several times a year","1987","1-pers.-HH","Rural Area","","","",""
"Several times a year","1987","(Married) couple without C. ","Urban Area","","","",""
"Several times a year","1987","(Married) couple without C. ","Rural Area","","","",""
"Several times a year","1987","Single parent ","Urban Area","","","",""
"Several times a year","1987","Single parent ","Rural Area","","","",""
"Several times a year","1987","Couple + C. LE 16 ","Urban Area","","","",""
"Several times a year","1987","Couple + C. LE 16 ","Rural Area","","","",""
"Several times a year","1987","Couple + C. GT 16 ","Urban Area","","","",""
"Several times a year","1987","Couple + C. GT 16 ","Rural Area","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","Urban Area","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","Rural Area","","","",""
"At least once a month","1987","1-pers.-HH","Urban Area","","","",""
"At least once a month","1987","1-pers.-HH","Rural Area","","","",""
"At least once a month","1987","(Married) couple without C. ","Urban Area","","","",""
"At least once a month","1987","(Married) couple without C. ","Rural Area","","","",""
"At least once a month","1987","Single parent ","Urban Area","","","",""
"At least once a month","1987","Single parent ","Rural Area","","","",""
"At least once a month","1987","Couple + C. LE 16 ","Urban Area","","","",""
"At least once a month","1987","Couple + C. LE 16 ","Rural Area","","","",""
"At least once a month","1987","Couple + C. GT 16 ","Urban Area","","","",""
"At least once a month","1987","Couple + C. GT 16 ","Rural Area","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","Urban Area","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","Rural Area","","","",""
"At lease once a week","1987","1-pers.-HH","Urban Area","","","",""
"At lease once a week","1987","1-pers.-HH","Rural Area","","","",""
"At lease once a week","1987","(Married) couple without C. ","Urban Area","","","",""
"At lease once a week","1987","(Married) couple without C. ","Rural Area","","","",""
"At lease once a week","1987","Single parent ","Urban Area","","","",""
"At lease once a week","1987","Single parent ","Rural Area","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","Urban Area","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","Rural Area","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","Urban Area","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","Rural Area","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","Urban Area","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","Rural Area","","","",""
"Almost never or never","1988","1-pers.-HH","Urban Area","563","0.654266200872428","0.622966913969855","0.685565487775"
"Almost never or never","1988","1-pers.-HH","Rural Area","105","0.654774815694024","0.582881143235527","0.72666848815252"
"Almost never or never","1988","(Married) couple without C. ","Urban Area","1134","0.617339455488542","0.59511340110209","0.639565509874994"
"Almost never or never","1988","(Married) couple without C. ","Rural Area","275","0.665640698085785","0.620841531981486","0.710439864190084"
"Almost never or never","1988","Single parent ","Urban Area","200","0.518551411868982","0.468898564360303","0.56820425937766"
"Almost never or never","1988","Single parent ","Rural Area","60","0.517232993531516","0.427826436918618","0.606639550144414"
"Almost never or never","1988","Couple + C. LE 16 ","Urban Area","969","0.473273639015888","0.44988107905833","0.496666198973446"
"Almost never or never","1988","Couple + C. LE 16 ","Rural Area","232","0.48658267426859","0.441055449651181","0.532109898885998"
"Almost never or never","1988","Couple + C. GT 16 ","Urban Area","913","0.498149784679296","0.474810423449864","0.521489145908728"
"Almost never or never","1988","Couple + C. GT 16 ","Rural Area","208","0.480452988796313","0.432557145390675","0.52834883220195"
"Almost never or never","1988","Couple + C. LE and GT 16","Urban Area","486","0.494520920194482","0.460830468246726","0.528211372142238"
"Almost never or never","1988","Couple + C. LE and GT 16","Rural Area","109","0.442309043565906","0.37894369910122","0.505674388030593"
"Several times a year","1988","1-pers.-HH","Urban Area","86","0.0903583833830383","0.0714912609400686","0.109225505826008"
"Several times a year","1988","1-pers.-HH","Rural Area","19","","",""
"Several times a year","1988","(Married) couple without C. ","Urban Area","198","0.103661623891157","0.0897224026165016","0.117600845165813"
"Several times a year","1988","(Married) couple without C. ","Rural Area","53","0.116382744820784","0.0859304740086792","0.146835015632889"
"Several times a year","1988","Single parent ","Urban Area","59","0.16282760986706","0.126137859000462","0.199517360733659"
"Several times a year","1988","Single parent ","Rural Area","19","","",""
"Several times a year","1988","Couple + C. LE 16 ","Urban Area","300","0.198328148095229","0.179646311783764","0.217009984406695"
"Several times a year","1988","Couple + C. LE 16 ","Rural Area","79","0.167988030821736","0.133934546734216","0.202041514909255"
"Several times a year","1988","Couple + C. GT 16 ","Urban Area","228","0.137684187648767","0.121600073631587","0.153768301665946"
"Several times a year","1988","Couple + C. GT 16 ","Rural Area","78","0.196955223109441","0.158829895676469","0.235080550542413"
"Several times a year","1988","Couple + C. LE and GT 16","Urban Area","101","0.135377349336289","0.112323193895177","0.158431504777401"
"Several times a year","1988","Couple + C. LE and GT 16","Rural Area","40","0.177550578939623","0.128796861550467","0.226304296328779"
"At least once a month","1988","1-pers.-HH","Urban Area","41","0.0417434716118545","0.0285814846366138","0.0549054585870953"
"At least once a month","1988","1-pers.-HH","Rural Area","9","","",""
"At least once a month","1988","(Married) couple without C. ","Urban Area","72","0.0387578709710443","0.0299313436975823","0.0475843982445063"
"At least once a month","1988","(Married) couple without C. ","Rural Area","19","","",""
"At least once a month","1988","Single parent ","Urban Area","20","","",""
"At least once a month","1988","Single parent ","Rural Area","9","","",""
"At least once a month","1988","Couple + C. LE 16 ","Urban Area","103","0.0687400091957722","0.0568858888459834","0.080594129545561"
"At least once a month","1988","Couple + C. LE 16 ","Rural Area","32","0.0743591485210958","0.0504620014637638","0.0982562955784278"
"At least once a month","1988","Couple + C. GT 16 ","Urban Area","115","0.0680234822676528","0.0562703438705008","0.0797766206648048"
"At least once a month","1988","Couple + C. GT 16 ","Rural Area","22","","",""
"At least once a month","1988","Couple + C. LE and GT 16","Urban Area","36","0.0464942467082322","0.0323061488151526","0.0606823446013119"
"At least once a month","1988","Couple + C. LE and GT 16","Rural Area","17","","",""
"At lease once a week","1988","1-pers.-HH","Urban Area","197","0.213631944132679","0.186658754290589","0.24060513397477"
"At lease once a week","1988","1-pers.-HH","Rural Area","35","0.187754461972216","0.128702782919663","0.24680614102477"
"At lease once a week","1988","(Married) couple without C. ","Urban Area","433","0.240241049649256","0.220704177533559","0.259777921764954"
"At lease once a week","1988","(Married) couple without C. ","Rural Area","79","0.183428552806339","0.146677155460944","0.220179950151733"
"At lease once a week","1988","Single parent ","Urban Area","110","0.263567972133726","0.21978694543152","0.307348998835932"
"At lease once a week","1988","Single parent ","Rural Area","32","0.262282405414691","0.183580160985551","0.340984649843832"
"At lease once a week","1988","Couple + C. LE 16 ","Urban Area","378","0.25965820369311","0.239116038137023","0.280200369249198"
"At lease once a week","1988","Couple + C. LE 16 ","Rural Area","120","0.271070146388579","0.230580749355598","0.311559543421559"
"At lease once a week","1988","Couple + C. GT 16 ","Urban Area","507","0.296142545404285","0.274831012220736","0.317454078587833"
"At lease once a week","1988","Couple + C. GT 16 ","Rural Area","110","0.260003065316145","0.217953244978397","0.302052885653892"
"At lease once a week","1988","Couple + C. LE and GT 16","Urban Area","223","0.323607483760997","0.292081286785671","0.355133680736322"
"At lease once a week","1988","Couple + C. LE and GT 16","Rural Area","70","0.304440284361197","0.245730516980442","0.363150051741952"
"Almost never or never","1989","1-pers.-HH","Urban Area","","","",""
"Almost never or never","1989","1-pers.-HH","Rural Area","","","",""
"Almost never or never","1989","(Married) couple without C. ","Urban Area","","","",""
"Almost never or never","1989","(Married) couple without C. ","Rural Area","","","",""
"Almost never or never","1989","Single parent ","Urban Area","","","",""
"Almost never or never","1989","Single parent ","Rural Area","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","Urban Area","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","Rural Area","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","Urban Area","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","Rural Area","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","Urban Area","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","Rural Area","","","",""
"Several times a year","1989","1-pers.-HH","Urban Area","","","",""
"Several times a year","1989","1-pers.-HH","Rural Area","","","",""
"Several times a year","1989","(Married) couple without C. ","Urban Area","","","",""
"Several times a year","1989","(Married) couple without C. ","Rural Area","","","",""
"Several times a year","1989","Single parent ","Urban Area","","","",""
"Several times a year","1989","Single parent ","Rural Area","","","",""
"Several times a year","1989","Couple + C. LE 16 ","Urban Area","","","",""
"Several times a year","1989","Couple + C. LE 16 ","Rural Area","","","",""
"Several times a year","1989","Couple + C. GT 16 ","Urban Area","","","",""
"Several times a year","1989","Couple + C. GT 16 ","Rural Area","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","Urban Area","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","Rural Area","","","",""
"At least once a month","1989","1-pers.-HH","Urban Area","","","",""
"At least once a month","1989","1-pers.-HH","Rural Area","","","",""
"At least once a month","1989","(Married) couple without C. ","Urban Area","","","",""
"At least once a month","1989","(Married) couple without C. ","Rural Area","","","",""
"At least once a month","1989","Single parent ","Urban Area","","","",""
"At least once a month","1989","Single parent ","Rural Area","","","",""
"At least once a month","1989","Couple + C. LE 16 ","Urban Area","","","",""
"At least once a month","1989","Couple + C. LE 16 ","Rural Area","","","",""
"At least once a month","1989","Couple + C. GT 16 ","Urban Area","","","",""
"At least once a month","1989","Couple + C. GT 16 ","Rural Area","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","Urban Area","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","Rural Area","","","",""
"At lease once a week","1989","1-pers.-HH","Urban Area","","","",""
"At lease once a week","1989","1-pers.-HH","Rural Area","","","",""
"At lease once a week","1989","(Married) couple without C. ","Urban Area","","","",""
"At lease once a week","1989","(Married) couple without C. ","Rural Area","","","",""
"At lease once a week","1989","Single parent ","Urban Area","","","",""
"At lease once a week","1989","Single parent ","Rural Area","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","Urban Area","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","Rural Area","","","",""
"At lease once a week","1989","Couple + C. GT 16 ","Urban Area","","","",""
"At lease once a week","1989","Couple + C. GT 16 ","Rural Area","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","Urban Area","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","Rural Area","","","",""
"Almost never or never","1990","1-pers.-HH","Urban Area","573","0.573481528314793","0.542919812021528","0.604043244608058"
"Almost never or never","1990","1-pers.-HH","Rural Area","247","0.663674559068615","0.613821020623137","0.713528097514093"
"Almost never or never","1990","(Married) couple without C. ","Urban Area","1119","0.496946530362204","0.475865947563122","0.518027113161287"
"Almost never or never","1990","(Married) couple without C. ","Rural Area","706","0.637844065552853","0.608759310565522","0.666928820540185"
"Almost never or never","1990","Single parent ","Urban Area","211","0.422978789586213","0.377930087072789","0.468027492099636"
"Almost never or never","1990","Single parent ","Rural Area","90","0.413946243988088","0.34219168433641","0.485700803639766"
"Almost never or never","1990","Couple + C. LE 16 ","Urban Area","979","0.353694827341689","0.333633766825407","0.373755887857971"
"Almost never or never","1990","Couple + C. LE 16 ","Rural Area","759","0.491495995241183","0.46441370124747","0.518578289234896"
"Almost never or never","1990","Couple + C. GT 16 ","Urban Area","824","0.394953617424707","0.372587147820465","0.417320087028949"
"Almost never or never","1990","Couple + C. GT 16 ","Rural Area","496","0.439310922375853","0.408596335868529","0.470025508883177"
"Almost never or never","1990","Couple + C. LE and GT 16","Urban Area","385","0.380248723161164","0.346940949182345","0.413556497139984"
"Almost never or never","1990","Couple + C. LE and GT 16","Rural Area","183","0.433146230670187","0.382519839454116","0.483772621886258"
"Several times a year","1990","1-pers.-HH","Urban Area","134","0.133517714784507","0.112499375897393","0.15453605367162"
"Several times a year","1990","1-pers.-HH","Rural Area","30","0.0977114391752985","0.0663797381178638","0.129043140232733"
"Several times a year","1990","(Married) couple without C. ","Urban Area","351","0.161406518068497","0.145894904273549","0.176918131863446"
"Several times a year","1990","(Married) couple without C. ","Rural Area","141","0.151577632234029","0.129876421656322","0.173278842811736"
"Several times a year","1990","Single parent ","Urban Area","80","0.191302721720412","0.155436909658964","0.227168533781861"
"Several times a year","1990","Single parent ","Rural Area","33","0.197102131320899","0.139147971201911","0.255056291439887"
"Several times a year","1990","Couple + C. LE 16 ","Urban Area","498","0.26234831569348","0.243890278054462","0.280806353332498"
"Several times a year","1990","Couple + C. LE 16 ","Rural Area","264","0.238349688148886","0.215268222963352","0.261431153334419"
"Several times a year","1990","Couple + C. GT 16 ","Urban Area","325","0.194721690526986","0.176603691872661","0.212839689181312"
"Several times a year","1990","Couple + C. GT 16 ","Rural Area","202","0.220931704517842","0.195256470447419","0.246606938588265"
"Several times a year","1990","Couple + C. LE and GT 16","Urban Area","132","0.182958853236898","0.156431025383233","0.209486681090563"
"Several times a year","1990","Couple + C. LE and GT 16","Rural Area","72","0.20250658503054","0.161447685084075","0.243565484977004"
"At least once a month","1990","1-pers.-HH","Urban Area","64","0.0593258032764416","0.0447278983806983","0.0739237081721849"
"At least once a month","1990","1-pers.-HH","Rural Area","16","","",""
"At least once a month","1990","(Married) couple without C. ","Urban Area","158","0.082839929677967","0.071218404222322","0.094461455133612"
"At least once a month","1990","(Married) couple without C. ","Rural Area","50","0.0481260812153665","0.035173977589442","0.0610781848412911"
"At least once a month","1990","Single parent ","Urban Area","44","0.0899849348744951","0.0638911968647497","0.11607867288424"
"At least once a month","1990","Single parent ","Rural Area","11","","",""
"At least once a month","1990","Couple + C. LE 16 ","Urban Area","156","0.0891400740575084","0.0771841537701237","0.101095994344893"
"At least once a month","1990","Couple + C. LE 16 ","Rural Area","74","0.0754706206724869","0.06116101761261","0.0897802237323637"
"At least once a month","1990","Couple + C. GT 16 ","Urban Area","150","0.0857347901383224","0.0729249208474867","0.0985446594291582"
"At least once a month","1990","Couple + C. GT 16 ","Rural Area","75","0.0874299089980766","0.0699491311717919","0.104910686824361"
"At least once a month","1990","Couple + C. LE and GT 16","Urban Area","62","0.0732005384784021","0.0553293664259795","0.0910717105308247"
"At least once a month","1990","Couple + C. LE and GT 16","Rural Area","22","","",""
"At lease once a week","1990","1-pers.-HH","Urban Area","235","0.233674953624259","0.207525555735953","0.259824351512564"
"At lease once a week","1990","1-pers.-HH","Rural Area","52","0.176553858216219","0.136319715758614","0.216788000673823"
"At lease once a week","1990","(Married) couple without C. ","Urban Area","533","0.258807021891332","0.240340955894498","0.277273087888165"
"At lease once a week","1990","(Married) couple without C. ","Rural Area","152","0.162452220997751","0.14013048490531","0.184773957090192"
"At lease once a week","1990","Single parent ","Urban Area","127","0.29573355381888","0.254118936709103","0.337348170928657"
"At lease once a week","1990","Single parent ","Rural Area","47","0.320739766132144","0.252740644495889","0.388738887768399"
"At lease once a week","1990","Couple + C. LE 16 ","Urban Area","549","0.294816782907322","0.27568533660234","0.313948229212305"
"At lease once a week","1990","Couple + C. LE 16 ","Rural Area","212","0.194683695937445","0.173233744918142","0.216133646956747"
"At lease once a week","1990","Couple + C. GT 16 ","Urban Area","536","0.324589901909984","0.303166850311619","0.346012953508349"
"At lease once a week","1990","Couple + C. GT 16 ","Rural Area","230","0.252327464108228","0.225447071966849","0.279207856249608"
"At lease once a week","1990","Couple + C. LE and GT 16","Urban Area","237","0.363591885123536","0.33058702041163","0.396596749835442"
"At lease once a week","1990","Couple + C. LE and GT 16","Rural Area","91","0.303300905629145","0.256334896496001","0.35026691476229"
"Almost never or never","1991","1-pers.-HH","Urban Area","","","",""
"Almost never or never","1991","1-pers.-HH","Rural Area","","","",""
"Almost never or never","1991","(Married) couple without C. ","Urban Area","","","",""
"Almost never or never","1991","(Married) couple without C. ","Rural Area","","","",""
"Almost never or never","1991","Single parent ","Urban Area","","","",""
"Almost never or never","1991","Single parent ","Rural Area","","","",""
"Almost never or never","1991","Couple + C. LE 16 ","Urban Area","","","",""
"Almost never or never","1991","Couple + C. LE 16 ","Rural Area","","","",""
"Almost never or never","1991","Couple + C. GT 16 ","Urban Area","","","",""
"Almost never or never","1991","Couple + C. GT 16 ","Rural Area","","","",""
"Almost never or never","1991","Couple + C. LE and GT 16","Urban Area","","","",""
"Almost never or never","1991","Couple + C. LE and GT 16","Rural Area","","","",""
"Several times a year","1991","1-pers.-HH","Urban Area","","","",""
"Several times a year","1991","1-pers.-HH","Rural Area","","","",""
"Several times a year","1991","(Married) couple without C. ","Urban Area","","","",""
"Several times a year","1991","(Married) couple without C. ","Rural Area","","","",""
"Several times a year","1991","Single parent ","Urban Area","","","",""
"Several times a year","1991","Single parent ","Rural Area","","","",""
"Several times a year","1991","Couple + C. LE 16 ","Urban Area","","","",""
"Several times a year","1991","Couple + C. LE 16 ","Rural Area","","","",""
"Several times a year","1991","Couple + C. GT 16 ","Urban Area","","","",""
"Several times a year","1991","Couple + C. GT 16 ","Rural Area","","","",""
"Several times a year","1991","Couple + C. LE and GT 16","Urban Area","","","",""
"Several times a year","1991","Couple + C. LE and GT 16","Rural Area","","","",""
"At least once a month","1991","1-pers.-HH","Urban Area","","","",""
