"m11104","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"At least once a month","1984","Employed","Couple + C. GT 16 ","250","0.211864620660733","0.189443754540553","0.234285486780914","3"
"At least once a month","1984","Employed","Couple + C. LE and GT 16","197","0.211832099514173","0.187641419823274","0.236022779205073","3"
"At least once a month","1984","Employed","Single parent ","74","0.221355901538645","0.177861924629305","0.264849878447985","3"
"Several times a year","1984","Not Employed","(Married) couple without C. ","114","0.0935782236093546","0.0768829554466588","0.11027349177205","2"
"Several times a year","1984","Not Employed","Single parent ","31","0.130204018756572","0.0863292576994382","0.174078779813706","2"
"Several times a year","1984","Not Employed","1-pers.-HH","64","0.0858379837073687","0.0641524349644834","0.107523532450254","2"
"Several times a year","1984","Not Employed","Couple + C. LE 16 ","140","0.176308788318983","0.151087486988579","0.201530089649387","2"
"Several times a year","1984","Employed","(Married) couple without C. ","277","0.186568922903006","0.166748579578795","0.206389266227217","2"
"Several times a year","1984","Not Employed","Couple + C. GT 16 ","135","0.201628973874426","0.171361577911099","0.231896369837753","2"
"Several times a year","1984","Not Employed","Couple + C. LE and GT 16","101","0.16021874773869","0.130745407191883","0.189692088285496","2"
"Several times a year","1984","Employed","1-pers.-HH","130","0.190950735902732","0.161277405347565","0.220624066457898","2"
"Several times a year","1984","Employed","Single parent ","75","0.216903803839927","0.173726530779583","0.260081076900272","2"
"Several times a year","1984","Employed","Couple + C. LE 16 ","507","0.244021159490072","0.225933289488379","0.262109029491766","2"
"Several times a year","1984","Employed","Couple + C. GT 16 ","277","0.227614619150765","0.204608686049324","0.250620552252205","2"
"Several times a year","1984","Employed","Couple + C. LE and GT 16","225","0.221514025529917","0.196929104083583","0.24609894697625","2"
"Almost never or never","1985","Not Employed","1-pers.-HH","451","0.833622585553398","0.802805001998107","0.864440169108689","1"
"Almost never or never","1985","Not Employed","(Married) couple without C. ","838","0.795940013812031","0.771747077382177","0.820132950241884","1"
"Almost never or never","1985","Not Employed","Single parent ","132","0.636432049319082","0.571217609983769","0.701646488654396","1"
"Almost never or never","1985","Not Employed","Couple + C. LE 16 ","506","0.591065732174397","0.556181395828178","0.625950068520616","1"
"Almost never or never","1985","Not Employed","Couple + C. GT 16 ","377","0.548321673851721","0.511053755324786","0.585589592378655","1"
"Almost never or never","1985","Not Employed","Couple + C. LE and GT 16","299","0.497672758204275","0.455105521719726","0.540239994688823","1"
"Almost never or never","1985","Employed","1-pers.-HH","286","0.443040397417779","0.403392245664396","0.482688549171162","1"
"Almost never or never","1985","Employed","(Married) couple without C. ","731","0.523493249042369","0.496631200772938","0.5503552973118","1"
"Almost never or never","1985","Employed","Single parent ","176","0.50185353835617","0.447907675834998","0.555799400877342","1"
"Almost never or never","1985","Employed","Couple + C. LE 16 ","986","0.455064848839063","0.432608395417962","0.477521302260163","1"
"Almost never or never","1985","Employed","Couple + C. GT 16 ","698","0.504665328450272","0.477723983821184","0.53160667307936","1"
"Almost never or never","1985","Employed","Couple + C. LE and GT 16","553","0.490930436904788","0.459140853731872","0.522720020077704","1"
"At lease once a week","1985","Not Employed","Single parent ","44","0.210579554850864","0.155303475119676","0.265855634582051","4"
"At lease once a week","1985","Not Employed","Couple + C. LE 16 ","135","0.222228573534818","0.192729269946365","0.251727877123271","4"
"At lease once a week","1985","Not Employed","1-pers.-HH","76","0.11571093212072","0.0892411123378743","0.142180751903565","4"
"At lease once a week","1985","Not Employed","(Married) couple without C. ","122","0.109339796470708","0.0906064811591621","0.128073111782254","4"
"At lease once a week","1985","Not Employed","Couple + C. GT 16 ","196","0.294320336197416","0.260191872265517","0.328448800129315","4"
"At lease once a week","1985","Not Employed","Couple + C. LE and GT 16","141","0.331091877188004","0.291026645897983","0.371157108478025","4"
"At lease once a week","1985","Employed","1-pers.-HH","201","0.362922764578169","0.324543859225738","0.401301669930601","4"
"At lease once a week","1985","Employed","(Married) couple without C. ","339","0.275148087814289","0.251128975803532","0.299167199825047","4"
"At lease once a week","1985","Employed","Single parent ","83","0.273231786556207","0.225152867590409","0.321310705522004","4"
"At lease once a week","1985","Employed","Couple + C. LE 16 ","462","0.292207278803148","0.271698931047643","0.312715626558653","4"
"At lease once a week","1985","Employed","Couple + C. GT 16 ","340","0.275089079102923","0.251026223501426","0.29915193470442","4"
"At lease once a week","1985","Employed","Couple + C. LE and GT 16","201","0.260924304835858","0.232999636980417","0.288848972691299","4"
"At least once a month","1985","Employed","(Married) couple without C. ","67","0.0477931736691868","0.0363196283859416","0.0592667189524321","3"
"At least once a month","1985","Not Employed","1-pers.-HH","12","","","","3"
"At least once a month","1985","Not Employed","(Married) couple without C. ","31","0.0289104395074652","0.01885209565211","0.0389687833628204","3"
"At least once a month","1985","Not Employed","Couple + C. LE 16 ","26","","","","3"
"At least once a month","1985","Employed","1-pers.-HH","35","0.0611393161874322","0.0420165682797839","0.0802620640950804","3"
"At least once a month","1985","Not Employed","Single parent ","11","","","","3"
"At least once a month","1985","Not Employed","Couple + C. GT 16 ","44","0.0669829861190242","0.0482619518077386","0.0857040204303098","3"
"At least once a month","1985","Not Employed","Couple + C. LE and GT 16","21","","","","3"
"At least once a month","1985","Employed","Couple + C. LE 16 ","111","0.0592863340478996","0.0486366153367388","0.0699360527590603","3"
"At least once a month","1985","Employed","Couple + C. GT 16 ","79","0.0650809257598424","0.0517891795568118","0.0783726719628731","3"
"At least once a month","1985","Employed","Couple + C. LE and GT 16","50","0.0660947206493912","0.0502960302203576","0.0818934110784249","3"
"At least once a month","1985","Employed","Single parent ","19","","","","3"
"Several times a year","1985","Not Employed","1-pers.-HH","22","","","","2"
"Several times a year","1985","Not Employed","(Married) couple without C. ","75","0.0658097502097965","0.050925317913598","0.0806941825059949","2"
"Several times a year","1985","Not Employed","Single parent ","22","","","","2"
"Several times a year","1985","Not Employed","Couple + C. LE 16 ","96","0.145634230719453","0.120605462589511","0.170662998849395","2"
"Several times a year","1985","Not Employed","Couple + C. GT 16 ","68","0.090375003831839","0.0689037125982993","0.111846295065379","2"
"Several times a year","1985","Not Employed","Couple + C. LE and GT 16","69","0.133592164509337","0.104627944672346","0.162556384346327","2"
"Several times a year","1985","Employed","(Married) couple without C. ","191","0.153565489474155","0.134174831383084","0.172956147565226","2"
"Several times a year","1985","Employed","1-pers.-HH","81","0.132897521816619","0.105802900224451","0.159992143408788","2"
"Several times a year","1985","Employed","Couple + C. LE and GT 16","146","0.182050537609963","0.157512179121557","0.206588896098368","2"
"Several times a year","1985","Employed","Single parent ","52","0.172020187380813","0.131301787475458","0.212738587286167","2"
"Several times a year","1985","Employed","Couple + C. LE 16 ","330","0.19344153830989","0.17562903711266","0.21125403950712","2"
"Several times a year","1985","Employed","Couple + C. GT 16 ","206","0.155164666686963","0.135654965406464","0.174674367967461","2"
"Almost never or never","1986","Not Employed","1-pers.-HH","425","0.836084783994781","0.804627076498214","0.867542491491348","1"
"Almost never or never","1986","Not Employed","(Married) couple without C. ","794","0.813666786220715","0.789375084139571","0.837958488301858","1"
"Almost never or never","1986","Not Employed","Single parent ","118","0.631614091819965","0.563736779761873","0.699491403878057","1"
"Almost never or never","1986","Not Employed","Couple + C. LE 16 ","437","0.604889312085342","0.567926857935926","0.641851766234758","1"
"Almost never or never","1986","Not Employed","Couple + C. GT 16 ","373","0.553259724931101","0.516056711839267","0.590462738022935","1"
"Almost never or never","1986","Not Employed","Couple + C. LE and GT 16","273","0.511863377177069","0.46773963316453","0.555987121189607","1"
"Almost never or never","1986","Employed","1-pers.-HH","251","0.408378517497073","0.368306834447243","0.448450200546902","1"
"Almost never or never","1986","Employed","(Married) couple without C. ","711","0.506638776451539","0.480135744931741","0.533141807971337","1"
"Almost never or never","1986","Employed","Single parent ","150","0.451101614032677","0.39570918480733","0.506494043258023","1"
"Almost never or never","1986","Employed","Couple + C. LE 16 ","908","0.450295205660893","0.426810080223364","0.473780331098421","1"
"Almost never or never","1986","Employed","Couple + C. GT 16 ","730","0.490751687128822","0.464536945115734","0.51696642914191","1"
"Almost never or never","1986","Employed","Couple + C. LE and GT 16","510","0.509905992004331","0.477228177793446","0.542583806215217","1"
"At lease once a week","1986","Not Employed","1-pers.-HH","74","0.111038488676851","0.0843409929954007","0.137735984358302","4"
"At lease once a week","1986","Not Employed","(Married) couple without C. ","134","0.132256165785964","0.111121604023162","0.153390727548766","4"
"At lease once a week","1986","Not Employed","Single parent ","47","0.234179327445078","0.174587727463301","0.293770927426855","4"
"At lease once a week","1986","Not Employed","Couple + C. LE 16 ","108","0.18477556371537","0.155431225673947","0.214119901756794","4"
"At lease once a week","1986","Not Employed","Couple + C. GT 16 ","214","0.306163801273905","0.271673941323288","0.340653661224523","4"
"At lease once a week","1986","Not Employed","Couple + C. LE and GT 16","157","0.348650880319321","0.306585295636096","0.390716465002546","4"
"At lease once a week","1986","Employed","1-pers.-HH","190","0.350383201563958","0.311489038244101","0.389277364883815","4"
"At lease once a week","1986","Employed","(Married) couple without C. ","391","0.298340549018196","0.274086560609044","0.322594537427349","4"
"At lease once a week","1986","Employed","Single parent ","100","0.354705218418505","0.301447800150386","0.407962636686624","4"
"At lease once a week","1986","Employed","Couple + C. LE 16 ","418","0.286795397624046","0.265446639459047","0.308144155789045","4"
"At lease once a week","1986","Employed","Couple + C. GT 16 ","364","0.275441499070294","0.2520153284145","0.298867669726087","4"
"At lease once a week","1986","Employed","Couple + C. LE and GT 16","204","0.259214312972581","0.230569629635314","0.287858996309848","4"
"At least once a month","1986","Employed","(Married) couple without C. ","83","0.0637713021325504","0.0508183890654111","0.0767242151996896","3"
"At least once a month","1986","Not Employed","1-pers.-HH","13","","","","3"
"At least once a month","1986","Not Employed","(Married) couple without C. ","23","","","","3"
"At least once a month","1986","Not Employed","Single parent ","11","","","","3"
"At least once a month","1986","Not Employed","Couple + C. LE 16 ","34","0.0554452651491956","0.0381427494672036","0.0727477808311877","3"
"At least once a month","1986","Not Employed","Couple + C. GT 16 ","30","0.0481330786241916","0.0321155329624418","0.0641506242859414","3"
"At least once a month","1986","Not Employed","Couple + C. LE and GT 16","19","","","","3"
"At least once a month","1986","Employed","1-pers.-HH","45","0.0775642825032574","0.055757925544808","0.0993706394617069","3"
"At least once a month","1986","Employed","Couple + C. LE 16 ","126","0.0808613984917884","0.0679925233497766","0.0937302736338003","3"
"At least once a month","1986","Employed","Couple + C. GT 16 ","92","0.0739742340363439","0.0602495719088968","0.0876988961637909","3"
"At least once a month","1986","Employed","Couple + C. LE and GT 16","48","0.0536458115469174","0.0389171592676705","0.0683744638261644","3"
"At least once a month","1986","Employed","Single parent ","19","","","","3"
"Several times a year","1986","Not Employed","1-pers.-HH","20","","","","2"
"Several times a year","1986","Not Employed","(Married) couple without C. ","36","0.0332285288635075","0.0220468507834386","0.0444102069435763","2"
"Several times a year","1986","Not Employed","Single parent ","18","","","","2"
"Several times a year","1986","Not Employed","Couple + C. LE 16 ","93","0.154889859050092","0.127535181278265","0.182244536821919","2"
"Several times a year","1986","Not Employed","Couple + C. GT 16 ","69","0.0924433951708022","0.0707683087482353","0.114118481593369","2"
"Several times a year","1986","Not Employed","Couple + C. LE and GT 16","44","0.0958142304391475","0.0698324760429498","0.121795984835345","2"
"Several times a year","1986","Employed","(Married) couple without C. ","182","0.131249372397714","0.113349084453423","0.149149660342006","2"
"Several times a year","1986","Employed","1-pers.-HH","92","0.163673998435712","0.133511881628499","0.193836115242925","2"
"Several times a year","1986","Employed","Couple + C. LE and GT 16","137","0.17723388347617","0.152271858060521","0.20219590889182","2"
"Several times a year","1986","Employed","Single parent ","41","0.134382597940973","0.0964159941724718","0.172349201709474","2"
"Several times a year","1986","Employed","Couple + C. GT 16 ","211","0.15983257976454","0.140616470440027","0.179048689089054","2"
"Several times a year","1986","Employed","Couple + C. LE 16 ","272","0.182047998223273","0.163832698404744","0.200263298041802","2"
"Almost never or never","1987","Not Employed","1-pers.-HH","","","","","1"
"Almost never or never","1987","Not Employed","(Married) couple without C. ","","","","","1"
"Almost never or never","1987","Not Employed","Single parent ","","","","","1"
"Almost never or never","1987","Not Employed","Couple + C. LE 16 ","","","","","1"
"Almost never or never","1987","Not Employed","Couple + C. GT 16 ","","","","","1"
"Almost never or never","1987","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Almost never or never","1987","Employed","1-pers.-HH","","","","","1"
"Almost never or never","1987","Employed","(Married) couple without C. ","","","","","1"
"Almost never or never","1987","Employed","Single parent ","","","","","1"
"Almost never or never","1987","Employed","Couple + C. LE 16 ","","","","","1"
"Almost never or never","1987","Employed","Couple + C. GT 16 ","","","","","1"
"Almost never or never","1987","Employed","Couple + C. LE and GT 16","","","","","1"
"At lease once a week","1987","Not Employed","1-pers.-HH","","","","","4"
"At lease once a week","1987","Not Employed","(Married) couple without C. ","","","","","4"
"At lease once a week","1987","Not Employed","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1987","Not Employed","Single parent ","","","","","4"
"At lease once a week","1987","Not Employed","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1987","Not Employed","Couple + C. LE and GT 16","","","","","4"
"At lease once a week","1987","Employed","1-pers.-HH","","","","","4"
"At lease once a week","1987","Employed","(Married) couple without C. ","","","","","4"
"At lease once a week","1987","Employed","Single parent ","","","","","4"
"At lease once a week","1987","Employed","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1987","Employed","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1987","Employed","Couple + C. LE and GT 16","","","","","4"
"At least once a month","1987","Not Employed","Single parent ","","","","","3"
"At least once a month","1987","Not Employed","Couple + C. LE and GT 16","","","","","3"
"At least once a month","1987","Employed","(Married) couple without C. ","","","","","3"
"At least once a month","1987","Not Employed","1-pers.-HH","","","","","3"
"At least once a month","1987","Not Employed","(Married) couple without C. ","","","","","3"
"At least once a month","1987","Not Employed","Couple + C. LE 16 ","","","","","3"
"At least once a month","1987","Not Employed","Couple + C. GT 16 ","","","","","3"
"At least once a month","1987","Employed","1-pers.-HH","","","","","3"
"At least once a month","1987","Employed","Couple + C. LE 16 ","","","","","3"
"At least once a month","1987","Employed","Single parent ","","","","","3"
"At least once a month","1987","Employed","Couple + C. GT 16 ","","","","","3"
"At least once a month","1987","Employed","Couple + C. LE and GT 16","","","","","3"
"Several times a year","1987","Not Employed","1-pers.-HH","","","","","2"
"Several times a year","1987","Not Employed","Couple + C. LE 16 ","","","","","2"
"Several times a year","1987","Not Employed","Couple + C. LE and GT 16","","","","","2"
"Several times a year","1987","Employed","1-pers.-HH","","","","","2"
"Several times a year","1987","Employed","(Married) couple without C. ","","","","","2"
"Several times a year","1987","Not Employed","(Married) couple without C. ","","","","","2"
"Several times a year","1987","Not Employed","Single parent ","","","","","2"
"Several times a year","1987","Not Employed","Couple + C. GT 16 ","","","","","2"
"Several times a year","1987","Employed","Couple + C. LE 16 ","","","","","2"
"Several times a year","1987","Employed","Single parent ","","","","","2"
"Several times a year","1987","Employed","Couple + C. GT 16 ","","","","","2"
"Several times a year","1987","Employed","Couple + C. LE and GT 16","","","","","2"
"Almost never or never","1988","Not Employed","1-pers.-HH","416","0.826860994664216","0.794214470288453","0.859507519039979","1"
"Almost never or never","1988","Not Employed","(Married) couple without C. ","733","0.782547714041812","0.756162981435564","0.80893244664806","1"
"Almost never or never","1988","Not Employed","Single parent ","94","0.572789964067248","0.498863098850546","0.64671682928395","1"
"Almost never or never","1988","Not Employed","Couple + C. LE 16 ","350","0.523490020397885","0.482343787578896","0.564636253216874","1"
"Almost never or never","1988","Not Employed","Couple + C. GT 16 ","385","0.538444334168572","0.50182667793779","0.575061990399353","1"
"Almost never or never","1988","Not Employed","Couple + C. LE and GT 16","201","0.482644992289968","0.43138129924403","0.533908685335907","1"
"Almost never or never","1988","Employed","1-pers.-HH","252","0.414353661002016","0.372766716291554","0.455940605712478","1"
"Almost never or never","1988","Employed","(Married) couple without C. ","676","0.480613356301877","0.453701267634261","0.507525444969494","1"
"Almost never or never","1988","Employed","Single parent ","166","0.491462464394546","0.438087226381436","0.544837702407656","1"
"Almost never or never","1988","Employed","Couple + C. LE 16 ","851","0.460979457344975","0.436905652473218","0.485053262216731","1"
"Almost never or never","1988","Employed","Couple + C. GT 16 ","736","0.471650063581382","0.446122581998719","0.497177545164044","1"
"Almost never or never","1988","Employed","Couple + C. LE and GT 16","394","0.476637729194315","0.440079603041081","0.513195855347549","1"
"At lease once a week","1988","Not Employed","1-pers.-HH","61","0.1043610370098","0.0779820008993372","0.130740073120263","4"
"At lease once a week","1988","Not Employed","(Married) couple without C. ","139","0.151726041071548","0.12877970101648","0.174672381126615","4"
"At lease once a week","1988","Not Employed","Single parent ","49","0.241269665741437","0.177328735153264","0.305210596329611","4"
"At lease once a week","1988","Not Employed","Couple + C. LE 16 ","103","0.231814852922583","0.197049754942525","0.26657995090264","4"
"At lease once a week","1988","Not Employed","Couple + C. GT 16 ","216","0.291637307073637","0.258251838654165","0.325022775493108","4"
"At lease once a week","1988","Not Employed","Couple + C. LE and GT 16","107","0.359186584167373","0.309968182061265","0.40840498627348","4"
"At lease once a week","1988","Employed","1-pers.-HH","171","0.355046440170393","0.314648379988905","0.395444500351882","4"
"At lease once a week","1988","Employed","(Married) couple without C. ","373","0.300794559712545","0.276092026810033","0.325497092615057","4"
"At lease once a week","1988","Employed","Single parent ","93","0.273976524565352","0.226359182668889","0.321593866461815","4"
"At lease once a week","1988","Employed","Couple + C. LE 16 ","395","0.27240983732694","0.250908964315654","0.293910710338225","4"
"At lease once a week","1988","Employed","Couple + C. GT 16 ","401","0.285999178686092","0.262890828419384","0.3091075289528","4"
"At lease once a week","1988","Employed","Couple + C. LE and GT 16","186","0.297925923354869","0.26444987943867","0.331401967271068","4"
"At least once a month","1988","Not Employed","1-pers.-HH","15","","","","3"
"At least once a month","1988","Not Employed","(Married) couple without C. ","16","","","","3"
"At least once a month","1988","Not Employed","Single parent ","2","","","","3"
"At least once a month","1988","Not Employed","Couple + C. LE 16 ","28","","","","3"
"At least once a month","1988","Not Employed","Couple + C. GT 16 ","39","0.0584748843236562","0.0412399856431381","0.0757097830041742","3"
"At least once a month","1988","Not Employed","Couple + C. LE and GT 16","16","","","","3"
"At least once a month","1988","Employed","1-pers.-HH","35","0.0699427309708552","0.0484109552746089","0.0914745066671015","3"
"At least once a month","1988","Employed","(Married) couple without C. ","75","0.0594629439940666","0.0467245329825265","0.0722013550056066","3"
"At least once a month","1988","Employed","Couple + C. LE 16 ","107","0.0734273450084119","0.0608302633781874","0.0860244266386365","3"
"At least once a month","1988","Employed","Single parent ","27","","","","3"
"At least once a month","1988","Employed","Couple + C. GT 16 ","98","0.0709925766034159","0.0578598998517343","0.0841252533550976","3"
"At least once a month","1988","Employed","Couple + C. LE and GT 16","37","0.057001834870042","0.0400315803906213","0.0739720893494627","3"
"Several times a year","1988","Not Employed","1-pers.-HH","24","","","","2"
"Several times a year","1988","Not Employed","(Married) couple without C. ","51","0.050641451084884","0.0366170766500235","0.0646658255197446","2"
"Several times a year","1988","Not Employed","Single parent ","27","","","","2"
"Several times a year","1988","Not Employed","Couple + C. LE 16 ","85","0.184820768047338","0.152843466368575","0.216798069726101","2"
"Several times a year","1988","Not Employed","Couple + C. GT 16 ","72","0.111443474434136","0.0883293234248826","0.134557625443389","2"
"Several times a year","1988","Not Employed","Couple + C. LE and GT 16","41","0.106084583519259","0.0744926642994507","0.137676502739067","2"
"Several times a year","1988","Employed","1-pers.-HH","81","0.160657167856736","0.129656328347222","0.191658007366249","2"
"Several times a year","1988","Employed","(Married) couple without C. ","200","0.159129139991512","0.139425629588321","0.178832650394702","2"
"Several times a year","1988","Employed","Couple + C. LE 16 ","294","0.193183360319674","0.174116746395283","0.212249974244064","2"
"Several times a year","1988","Employed","Couple + C. LE and GT 16","100","0.168434512580774","0.141040712405137","0.19582831275641","2"
"Several times a year","1988","Employed","Single parent ","51","0.153324072283402","0.114856310361177","0.191791834205627","2"
"Several times a year","1988","Employed","Couple + C. GT 16 ","234","0.17135818112911","0.15208856609507","0.19062779616315","2"
"Almost never or never","1989","Not Employed","1-pers.-HH","","","","","1"
"Almost never or never","1989","Not Employed","(Married) couple without C. ","","","","","1"
"Almost never or never","1989","Not Employed","Single parent ","","","","","1"
"Almost never or never","1989","Not Employed","Couple + C. LE 16 ","","","","","1"
"Almost never or never","1989","Not Employed","Couple + C. GT 16 ","","","","","1"
"Almost never or never","1989","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Almost never or never","1989","Employed","1-pers.-HH","","","","","1"
"Almost never or never","1989","Employed","(Married) couple without C. ","","","","","1"
"Almost never or never","1989","Employed","Single parent ","","","","","1"
"Almost never or never","1989","Employed","Couple + C. LE 16 ","","","","","1"
"Almost never or never","1989","Employed","Couple + C. GT 16 ","","","","","1"
"Almost never or never","1989","Employed","Couple + C. LE and GT 16","","","","","1"
"At lease once a week","1989","Not Employed","1-pers.-HH","","","","","4"
"At lease once a week","1989","Not Employed","(Married) couple without C. ","","","","","4"
"At lease once a week","1989","Not Employed","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1989","Not Employed","Single parent ","","","","","4"
"At lease once a week","1989","Employed","Single parent ","","","","","4"
"At lease once a week","1989","Employed","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1989","Employed","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1989","Employed","Couple + C. LE and GT 16","","","","","4"
"At lease once a week","1989","Not Employed","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1989","Not Employed","Couple + C. LE and GT 16","","","","","4"
"At lease once a week","1989","Employed","1-pers.-HH","","","","","4"
"At lease once a week","1989","Employed","(Married) couple without C. ","","","","","4"
"At least once a month","1989","Not Employed","1-pers.-HH","","","","","3"
"At least once a month","1989","Not Employed","(Married) couple without C. ","","","","","3"
"At least once a month","1989","Not Employed","Single parent ","","","","","3"
"At least once a month","1989","Not Employed","Couple + C. LE 16 ","","","","","3"
"At least once a month","1989","Not Employed","Couple + C. GT 16 ","","","","","3"
"At least once a month","1989","Not Employed","Couple + C. LE and GT 16","","","","","3"
"At least once a month","1989","Employed","1-pers.-HH","","","","","3"
"At least once a month","1989","Employed","(Married) couple without C. ","","","","","3"
"At least once a month","1989","Employed","Single parent ","","","","","3"
"At least once a month","1989","Employed","Couple + C. LE 16 ","","","","","3"
"At least once a month","1989","Employed","Couple + C. GT 16 ","","","","","3"
"At least once a month","1989","Employed","Couple + C. LE and GT 16","","","","","3"
"Several times a year","1989","Not Employed","1-pers.-HH","","","","","2"
"Several times a year","1989","Not Employed","(Married) couple without C. ","","","","","2"
"Several times a year","1989","Not Employed","Single parent ","","","","","2"
"Several times a year","1989","Not Employed","Couple + C. LE 16 ","","","","","2"
"Several times a year","1989","Not Employed","Couple + C. GT 16 ","","","","","2"
"Several times a year","1989","Not Employed","Couple + C. LE and GT 16","","","","","2"
"Several times a year","1989","Employed","1-pers.-HH","","","","","2"
"Several times a year","1989","Employed","(Married) couple without C. ","","","","","2"
"Several times a year","1989","Employed","Couple + C. LE 16 ","","","","","2"
"Several times a year","1989","Employed","Couple + C. LE and GT 16","","","","","2"
"Several times a year","1989","Employed","Single parent ","","","","","2"
"Several times a year","1989","Employed","Couple + C. GT 16 ","","","","","2"
"Almost never or never","1990","Not Employed","1-pers.-HH","366","0.750447547958802","0.712515684284257","0.788379411633346","1"
"Almost never or never","1990","Not Employed","(Married) couple without C. ","653","0.693260155886915","0.663858932401403","0.722661379372427","1"
"Almost never or never","1990","Not Employed","Single parent ","76","0.500296265856246","0.421069431424422","0.57952310028807","1"
"Almost never or never","1990","Not Employed","Couple + C. LE 16 ","248","0.382013086740634","0.34017113147648","0.423855042004788","1"
"Almost never or never","1990","Not Employed","Couple + C. GT 16 ","328","0.468419137073199","0.430262737330524","0.506575536815875","1"
"Almost never or never","1990","Not Employed","Couple + C. LE and GT 16","138","0.382426934486393","0.32649401331708","0.438359855655705","1"
"Almost never or never","1990","Employed","1-pers.-HH","186","0.31807846577588","0.278502947465932","0.357653984085828","1"
"Almost never or never","1990","Employed","(Married) couple without C. ","453","0.291247525026644","0.267074189329777","0.315420860723512","1"
"Almost never or never","1990","Employed","Single parent ","99","0.301628382351955","0.250204273928038","0.353052490775871","1"
"Almost never or never","1990","Employed","Couple + C. LE 16 ","566","0.283207627143247","0.26086384251032","0.305551411776174","1"
"Almost never or never","1990","Employed","Couple + C. GT 16 ","524","0.322961086420928","0.298414075360278","0.347508097481579","1"
"Almost never or never","1990","Employed","Couple + C. LE and GT 16","264","0.34969277300902","0.311311147557633","0.388074398460408","1"
