"m11104","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"At lease once a week","1989","Couple + C. GT 16 ","","","",""
"At lease once a week","1989","Couple + C. LE and GT 16","","","",""
"Almost never or never","1990","1-pers.-HH","824","0.593877792741947","0.567757675747303","0.619997909736591"
"Almost never or never","1990","(Married) couple without C. ","1836","0.53843257709468","0.521229776779881","0.555635377409478"
"Almost never or never","1990","Single parent ","304","0.420694077271483","0.382713380665891","0.458674773877075"
"Almost never or never","1990","Couple + C. LE 16 ","1762","0.399807857887492","0.383648222640518","0.415967493134465"
"Almost never or never","1990","Couple + C. GT 16 ","1324","0.409376850986978","0.391317798034511","0.427435903939445"
"Almost never or never","1990","Couple + C. LE and GT 16","571","0.397686616513107","0.369879474498032","0.425493758528181"
"Several times a year","1990","1-pers.-HH","166","0.125825227574066","0.108185933408374","0.143464521739758"
"Several times a year","1990","(Married) couple without C. ","496","0.158947105920952","0.146330170601366","0.171564041240539"
"Several times a year","1990","Single parent ","116","0.194712657417155","0.164247861642854","0.225177453191456"
"Several times a year","1990","Couple + C. LE 16 ","770","0.254170839598224","0.239807901796383","0.268533777400065"
"Several times a year","1990","Couple + C. GT 16 ","530","0.203516527274987","0.188729995377278","0.218303059172697"
"Several times a year","1990","Couple + C. LE and GT 16","205","0.189248276834905","0.166992922284753","0.211503631385056"
"At least once a month","1990","1-pers.-HH","80","0.0597976405980415","0.0471866007285368","0.0724086804675461"
"At least once a month","1990","(Married) couple without C. ","208","0.0724804586660272","0.0635332429117392","0.0814276744203153"
"At least once a month","1990","Single parent ","55","0.0836373523426689","0.0623383348667773","0.10493636981856"
"At least once a month","1990","Couple + C. LE 16 ","232","0.0844490505516437","0.0752763042376755","0.093621796865612"
"At least once a month","1990","Couple + C. GT 16 ","226","0.0863278896611799","0.0760133738736011","0.0966424054487586"
"At least once a month","1990","Couple + C. LE and GT 16","85","0.0694341059041873","0.0549918645097704","0.0838763472986042"
"At lease once a week","1990","1-pers.-HH","288","0.220499339085946","0.198449262818393","0.242549415353499"
"At lease once a week","1990","(Married) couple without C. ","686","0.230139858318341","0.215614804579736","0.244664912056946"
"At lease once a week","1990","Single parent ","174","0.300955912968693","0.265667716225764","0.336244109711622"
"At lease once a week","1990","Couple + C. LE 16 ","766","0.26157225196264","0.24707416908783","0.27607033483745"
"At lease once a week","1990","Couple + C. GT 16 ","768","0.300778732076855","0.283936138248088","0.317621325905621"
"At lease once a week","1990","Couple + C. LE and GT 16","329","0.343631000747801","0.316647716446834","0.370614285048769"
"Almost never or never","1991","1-pers.-HH","","","",""
"Almost never or never","1991","(Married) couple without C. ","","","",""
"Almost never or never","1991","Single parent ","","","",""
"Almost never or never","1991","Couple + C. LE 16 ","","","",""
"Almost never or never","1991","Couple + C. GT 16 ","","","",""
"Almost never or never","1991","Couple + C. LE and GT 16","","","",""
"Several times a year","1991","1-pers.-HH","","","",""
"Several times a year","1991","(Married) couple without C. ","","","",""
"Several times a year","1991","Single parent ","","","",""
"Several times a year","1991","Couple + C. LE 16 ","","","",""
"Several times a year","1991","Couple + C. GT 16 ","","","",""
"Several times a year","1991","Couple + C. LE and GT 16","","","",""
"At least once a month","1991","1-pers.-HH","","","",""
"At least once a month","1991","(Married) couple without C. ","","","",""
"At least once a month","1991","Single parent ","","","",""
"At least once a month","1991","Couple + C. LE 16 ","","","",""
"At least once a month","1991","Couple + C. GT 16 ","","","",""
"At least once a month","1991","Couple + C. LE and GT 16","","","",""
"At lease once a week","1991","1-pers.-HH","","","",""
"At lease once a week","1991","(Married) couple without C. ","","","",""
"At lease once a week","1991","Single parent ","","","",""
"At lease once a week","1991","Couple + C. LE 16 ","","","",""
"At lease once a week","1991","Couple + C. GT 16 ","","","",""
"At lease once a week","1991","Couple + C. LE and GT 16","","","",""
"Almost never or never","1992","1-pers.-HH","821","0.635800228523541","0.609811479335518","0.661788977711565"
"Almost never or never","1992","(Married) couple without C. ","2025","0.619359712447357","0.60255775951506","0.636161665379653"
"Almost never or never","1992","Single parent ","333","0.509457757990797","0.47039030806667","0.548525207914924"
"Almost never or never","1992","Couple + C. LE 16 ","1714","0.461898513955761","0.444787408422315","0.479009619489207"
"Almost never or never","1992","Couple + C. GT 16 ","1374","0.489971733057057","0.471084259111249","0.508859207002864"
"Almost never or never","1992","Couple + C. LE and GT 16","560","0.447573659350029","0.418696419645563","0.476450899054496"
"Several times a year","1992","1-pers.-HH","142","0.108234742868563","0.0914558298533045","0.125013655883821"
"Several times a year","1992","(Married) couple without C. ","401","0.122818662770537","0.111460507926807","0.134176817614268"
"Several times a year","1992","Single parent ","96","0.167767116812464","0.138566056277864","0.196968177347065"
"Several times a year","1992","Couple + C. LE 16 ","733","0.235704529739106","0.221136953526145","0.250272105952067"
"Several times a year","1992","Couple + C. GT 16 ","468","0.167291927305624","0.15319010876775","0.181393745843498"
"Several times a year","1992","Couple + C. LE and GT 16","217","0.20811301622133","0.184537161153135","0.231688871289524"
"At least once a month","1992","1-pers.-HH","74","0.0538890645011342","0.0416942118577676","0.0660839171445007"
"At least once a month","1992","(Married) couple without C. ","163","0.0505735891737087","0.0429908965126762","0.0581562818347412"
"At least once a month","1992","Single parent ","41","0.0677636111536454","0.0481216854164569","0.0874055368908339"
"At least once a month","1992","Couple + C. LE 16 ","181","0.0718356846871717","0.0629732051993907","0.0806981641749527"
"At least once a month","1992","Couple + C. GT 16 ","186","0.067582029957964","0.0580975794236148","0.0770664804923132"
"At least once a month","1992","Couple + C. LE and GT 16","84","0.0744396045107865","0.0591958958807541","0.0896833131408189"
"At lease once a week","1992","1-pers.-HH","280","0.202075964106762","0.18038927233098","0.223762655882544"
"At lease once a week","1992","(Married) couple without C. ","619","0.207248035608397","0.193221681914317","0.221274389302477"
"At lease once a week","1992","Single parent ","159","0.255011514043094","0.220948941582738","0.289074086503449"
"At lease once a week","1992","Couple + C. LE 16 ","633","0.230561271617961","0.216105113426794","0.245017429809129"
"At lease once a week","1992","Couple + C. GT 16 ","663","0.275154309679355","0.258280925981426","0.292027693377284"
"At lease once a week","1992","Couple + C. LE and GT 16","278","0.269873719917854","0.244094752535861","0.295652687299848"
"Almost never or never","1993","1-pers.-HH","","","",""
"Almost never or never","1993","(Married) couple without C. ","","","",""
"Almost never or never","1993","Single parent ","","","",""
"Almost never or never","1993","Couple + C. LE 16 ","","","",""
"Almost never or never","1993","Couple + C. GT 16 ","","","",""
"Almost never or never","1993","Couple + C. LE and GT 16","","","",""
"Several times a year","1993","1-pers.-HH","","","",""
"Several times a year","1993","(Married) couple without C. ","","","",""
"Several times a year","1993","Single parent ","","","",""
"Several times a year","1993","Couple + C. LE 16 ","","","",""
"Several times a year","1993","Couple + C. GT 16 ","","","",""
"Several times a year","1993","Couple + C. LE and GT 16","","","",""
"At least once a month","1993","1-pers.-HH","","","",""
"At least once a month","1993","(Married) couple without C. ","","","",""
"At least once a month","1993","Single parent ","","","",""
"At least once a month","1993","Couple + C. LE 16 ","","","",""
"At least once a month","1993","Couple + C. GT 16 ","","","",""
"At least once a month","1993","Couple + C. LE and GT 16","","","",""
"At lease once a week","1993","1-pers.-HH","","","",""
"At lease once a week","1993","(Married) couple without C. ","","","",""
"At lease once a week","1993","Single parent ","","","",""
"At lease once a week","1993","Couple + C. LE 16 ","","","",""
"At lease once a week","1993","Couple + C. GT 16 ","","","",""
"At lease once a week","1993","Couple + C. LE and GT 16","","","",""
"Almost never or never","1994","1-pers.-HH","826","0.621730554083988","0.596153354715201","0.647307753452776"
"Almost never or never","1994","(Married) couple without C. ","2072","0.613047206517674","0.596541809242484","0.629552603792863"
"Almost never or never","1994","Single parent ","297","0.494347063390055","0.453302758088165","0.535391368691945"
"Almost never or never","1994","Couple + C. LE 16 ","1530","0.454422404380422","0.436596037067547","0.472248771693297"
"Almost never or never","1994","Couple + C. GT 16 ","1232","0.471751890915612","0.451854517835855","0.491649263995368"
"Almost never or never","1994","Couple + C. LE and GT 16","532","0.400282289588188","0.372159691476663","0.428404887699714"
"Several times a year","1994","1-pers.-HH","193","0.130193742720978","0.112445409597277","0.147942075844678"
"Several times a year","1994","(Married) couple without C. ","484","0.135815648447281","0.124205757652465","0.147425539242098"
"Several times a year","1994","Single parent ","94","0.168162519651335","0.137458551389879","0.19886648791279"
"Several times a year","1994","Couple + C. LE 16 ","681","0.241618820526452","0.22629334803554","0.256944293017364"
"Several times a year","1994","Couple + C. GT 16 ","448","0.194847069004315","0.179059834119438","0.210634303889191"
"Several times a year","1994","Couple + C. LE and GT 16","227","0.197801025194131","0.174936923861711","0.220665126526552"
"At least once a month","1994","1-pers.-HH","85","0.051374366486952","0.0397311782338891","0.0630175547400148"
"At least once a month","1994","(Married) couple without C. ","159","0.0456214944334763","0.0385502620709147","0.0526927267960379"
"At least once a month","1994","Single parent ","42","0.0849624132124194","0.0620725314275222","0.107852294997317"
"At least once a month","1994","Couple + C. LE 16 ","181","0.0656651534613681","0.056797198586189","0.0745331083365472"
"At least once a month","1994","Couple + C. GT 16 ","188","0.0757956900725022","0.065246328126024","0.0863450520189804"
"At least once a month","1994","Couple + C. LE and GT 16","83","0.0827739921529821","0.0669584549941038","0.0985895293118604"
"At lease once a week","1994","1-pers.-HH","277","0.196701336708082","0.175736406089314","0.21766626732685"
"At lease once a week","1994","(Married) couple without C. ","630","0.205515650601569","0.191822128934894","0.219209172268244"
"At lease once a week","1994","Single parent ","137","0.252528003746191","0.216861306172374","0.288194701320007"
"At lease once a week","1994","Couple + C. LE 16 ","605","0.238293621631758","0.223040640796021","0.253546602467495"
"At lease once a week","1994","Couple + C. GT 16 ","550","0.257605350007571","0.240174651197021","0.275036048818122"
"At lease once a week","1994","Couple + C. LE and GT 16","324","0.319142693064698","0.292386808111258","0.345898578018138"
"Almost never or never","1995","1-pers.-HH","761","0.552773757792896","0.52709321534054","0.578454300245251"
"Almost never or never","1995","(Married) couple without C. ","1744","0.488393513499292","0.471835623222244","0.50495140377634"
"Almost never or never","1995","Single parent ","247","0.385731231190811","0.347039521489095","0.424422940892527"
"Almost never or never","1995","Couple + C. LE 16 ","1192","0.32439708147848","0.308027814638008","0.340766348318952"
"Almost never or never","1995","Couple + C. GT 16 ","1059","0.39637569896005","0.377159277691441","0.41559212022866"
"Almost never or never","1995","Couple + C. LE and GT 16","449","0.30792965111387","0.282266297801306","0.333593004426434"
"Several times a year","1995","1-pers.-HH","224","0.15165705917806","0.13313096424107","0.170183154115051"
"Several times a year","1995","(Married) couple without C. ","685","0.19394257166591","0.180845578437507","0.207039564894313"
"Several times a year","1995","Single parent ","117","0.172425167403878","0.14239897473797","0.202451360069787"
"Several times a year","1995","Couple + C. LE 16 ","930","0.289078108666936","0.273226857527088","0.304929359806785"
"Several times a year","1995","Couple + C. GT 16 ","528","0.214011663607266","0.197899182730552","0.23012414448398"
"Several times a year","1995","Couple + C. LE and GT 16","280","0.239452671332838","0.215728803683422","0.263176538982254"
"At least once a month","1995","1-pers.-HH","84","0.0579678476076104","0.0458982359887473","0.0700374592264735"
"At least once a month","1995","(Married) couple without C. ","245","0.0651736719134149","0.0569974325295204","0.0733499112973093"
"At least once a month","1995","Single parent ","52","0.0926395500446183","0.0695941398594521","0.115684960229784"
"At least once a month","1995","Couple + C. LE 16 ","248","0.0974536131788744","0.087083613583665","0.107823612774084"
"At least once a month","1995","Couple + C. GT 16 ","186","0.0707662159972827","0.0606920030876167","0.0808404289069488"
"At least once a month","1995","Couple + C. LE and GT 16","94","0.0772212646045948","0.0623814057434343","0.0920611234657553"
"At lease once a week","1995","1-pers.-HH","371","0.237601335421433","0.215618568912392","0.259584101930475"
"At lease once a week","1995","(Married) couple without C. ","827","0.252490242921383","0.238099514789643","0.266880971053122"
"At lease once a week","1995","Single parent ","192","0.349204051360692","0.311311106444771","0.387096996276614"
"At lease once a week","1995","Couple + C. LE 16 ","772","0.289071196675709","0.273220057985986","0.304922335365432"
"At lease once a week","1995","Couple + C. GT 16 ","716","0.318846421435401","0.30053808276186","0.337154760108941"
"At lease once a week","1995","Couple + C. LE and GT 16","420","0.375396412948697","0.348477357134541","0.402315468762853"
"Almost never or never","1996","1-pers.-HH","794","0.562688529564205","0.537295730776943","0.588081328351467"
"Almost never or never","1996","(Married) couple without C. ","1995","0.557405009822158","0.54105229303912","0.573757726605196"
"Almost never or never","1996","Single parent ","296","0.430540589547305","0.392416539960216","0.468664639134393"
"Almost never or never","1996","Couple + C. LE 16 ","1369","0.399302845955361","0.381754091941138","0.416851599969584"
"Almost never or never","1996","Couple + C. GT 16 ","1091","0.438543085557051","0.418540381654388","0.458545789459713"
"Almost never or never","1996","Couple + C. LE and GT 16","528","0.375854655282966","0.348950692720721","0.40275861784521"
"Several times a year","1996","1-pers.-HH","225","0.144918629035105","0.126898954745186","0.162938303325025"
"Several times a year","1996","(Married) couple without C. ","601","0.16122108850596","0.149114106124983","0.173328070886937"
"Several times a year","1996","Single parent ","119","0.178393893484091","0.148916952672062","0.20787083429612"
"Several times a year","1996","Couple + C. LE 16 ","785","0.282974170271787","0.266834000656205","0.29911433988737"
"Several times a year","1996","Couple + C. GT 16 ","524","0.217205498743625","0.200583484663367","0.233827512823884"
"Several times a year","1996","Couple + C. LE and GT 16","280","0.231007601500167","0.207595652241294","0.254419550759039"
"At least once a month","1996","1-pers.-HH","105","0.067822829675033","0.0549516518701379","0.0806940074799282"
"At least once a month","1996","(Married) couple without C. ","205","0.0571016235465423","0.0494622471825069","0.0647409999105776"
"At least once a month","1996","Single parent ","53","0.0845330554704716","0.0631142520316075","0.105951858909336"
"At least once a month","1996","Couple + C. LE 16 ","228","0.0830679396061303","0.073178934646963","0.0929569445652977"
"At least once a month","1996","Couple + C. GT 16 ","188","0.0800701238277399","0.0691296289602673","0.0910106186952125"
"At least once a month","1996","Couple + C. LE and GT 16","102","0.0746264729304727","0.0600293115684168","0.0892236342925286"
"At lease once a week","1996","1-pers.-HH","342","0.224570011725656","0.20320868203573","0.245931341415583"
"At lease once a week","1996","(Married) couple without C. ","743","0.22427227812534","0.210539965316795","0.238004590933885"
"At lease once a week","1996","Single parent ","180","0.306532461498133","0.271033806978634","0.342031116017632"
"At lease once a week","1996","Couple + C. LE 16 ","610","0.234655044166721","0.219470181947177","0.249839906386265"
"At lease once a week","1996","Couple + C. GT 16 ","561","0.264181291871584","0.246408289555691","0.281954294187477"
"At lease once a week","1996","Couple + C. LE and GT 16","335","0.318511270286395","0.292631813489687","0.344390727083103"
"Almost never or never","1997","1-pers.-HH","790","0.585129407910668","0.559557059271421","0.610701756549916"
"Almost never or never","1997","(Married) couple without C. ","2084","0.579047999178094","0.562850484254856","0.595245514101332"
"Almost never or never","1997","Single parent ","275","0.405564754971853","0.36731500374437","0.443814506199336"
"Almost never or never","1997","Couple + C. LE 16 ","1347","0.433936896066224","0.415673676911158","0.45220011522129"
"Almost never or never","1997","Couple + C. GT 16 ","1130","0.450715591181978","0.430645468638691","0.470785713725265"
"Almost never or never","1997","Couple + C. LE and GT 16","510","0.368145995362245","0.34094824173459","0.395343748989899"
"Several times a year","1997","1-pers.-HH","194","0.125775312128685","0.108564650608018","0.142985973649352"
"Several times a year","1997","(Married) couple without C. ","574","0.155446385186602","0.143559207808404","0.167333562564799"
"Several times a year","1997","Single parent ","130","0.20027422662361","0.169097586205765","0.231450867041455"
"Several times a year","1997","Couple + C. LE 16 ","689","0.253964183790692","0.237924430179776","0.270003937401607"
"Several times a year","1997","Couple + C. GT 16 ","476","0.198384260456934","0.18229867686778","0.214469844046088"
"Several times a year","1997","Couple + C. LE and GT 16","265","0.229660812426267","0.205941665358644","0.253379959493891"
"At least once a month","1997","1-pers.-HH","75","0.0438464098609944","0.0332192019337573","0.0544736177882315"
"At least once a month","1997","(Married) couple without C. ","185","0.0433150988286722","0.03663659880648","0.0499935988508644"
"At least once a month","1997","Single parent ","43","0.0728138515586371","0.0525726306121382","0.093055072505136"
"At least once a month","1997","Couple + C. LE 16 ","174","0.0642535925157843","0.0552179423304637","0.0732892427011049"
"At least once a month","1997","Couple + C. GT 16 ","163","0.0776348462949565","0.0668409090231709","0.0884287835667421"
"At least once a month","1997","Couple + C. LE and GT 16","78","0.0664015547977266","0.0523610148972822","0.080442094698171"
