"m11104","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"At lease once a week","1992","Part Time","565","0.264606646704926","0.247206705902337","0.282006587507515","4"
"At lease once a week","1992","Not Working","763","0.173671783556254","0.162166918959676","0.185176648152832","4"
"At least once a month","1992","Full Time","466","0.0819243171753835","0.0752628498706498","0.0885857844801172","3"
"At least once a month","1992","Part Time","149","0.0692295590876192","0.0592167803273059","0.0792423378479326","3"
"At least once a month","1992","Not Working","149","0.0313248964702555","0.0260346673810867","0.0366151255594243","3"
"Several times a year","1992","Full Time","1340","0.213963141577882","0.204001860794842","0.223924422360923","2"
"Several times a year","1992","Part Time","458","0.184677791468748","0.169371868676341","0.199983714261155","2"
"Several times a year","1992","Not Working","387","0.0796944705301014","0.0714697585448966","0.0879191825153062","2"
"Almost never or never","1993","Full Time","","","","","1"
"Almost never or never","1993","Part Time","","","","","1"
"Almost never or never","1993","Not Working","","","","","1"
"At lease once a week","1993","Full Time","","","","","4"
"At lease once a week","1993","Part Time","","","","","4"
"At lease once a week","1993","Not Working","","","","","4"
"At least once a month","1993","Full Time","","","","","3"
"At least once a month","1993","Part Time","","","","","3"
"At least once a month","1993","Not Working","","","","","3"
"Several times a year","1993","Full Time","","","","","2"
"Several times a year","1993","Part Time","","","","","2"
"Several times a year","1993","Not Working","","","","","2"
"Almost never or never","1994","Full Time","2760","0.422829859605634","0.410236188031198","0.435423531180069","1"
"Almost never or never","1994","Part Time","1156","0.444386963811432","0.424301186422931","0.464472741199932","1"
"Almost never or never","1994","Not Working","3093","0.70788972321301","0.694559096993028","0.721220349432991","1"
"At lease once a week","1994","Full Time","1356","0.26929046083261","0.257982078469632","0.280598843195589","4"
"At lease once a week","1994","Part Time","549","0.270323608909251","0.252370944518012","0.288276273300491","4"
"At lease once a week","1994","Not Working","756","0.163202025903233","0.152368560212267","0.174035491594199","4"
"At least once a month","1994","Full Time","462","0.0778833097571695","0.0710515473792826","0.0847150721350564","3"
"At least once a month","1994","Part Time","158","0.0746597008155236","0.0640350262300128","0.0852843754010343","3"
"At least once a month","1994","Not Working","158","0.0336150641823637","0.028331385759121","0.0388987426056064","3"
"Several times a year","1994","Full Time","1333","0.229996369804586","0.219268228421428","0.240724511187744","2"
"Several times a year","1994","Part Time","488","0.210629726463794","0.19414726792011","0.227112185007478","2"
"Several times a year","1994","Not Working","463","0.0952931867013934","0.0866856440143052","0.103900729388482","2"
"Almost never or never","1995","Full Time","2054","0.307664800746884","0.295874223322331","0.319455378171437","1"
"Almost never or never","1995","Part Time","1013","0.336940277395875","0.318750981267495","0.355129573524256","1"
"Almost never or never","1995","Not Working","2817","0.607397725174119","0.593562866399455","0.621232583948782","1"
"At lease once a week","1995","Full Time","1702","0.327561431581079","0.31557166716509","0.339551195997068","4"
"At lease once a week","1995","Part Time","758","0.345323717858104","0.327026308144459","0.363621127571749","4"
"At lease once a week","1995","Not Working","1025","0.20361238676933","0.192203951317331","0.215020822221328","4"
"At least once a month","1995","Full Time","533","0.0994804076620494","0.0918340726270641","0.107126742697035","3"
"At least once a month","1995","Part Time","190","0.0747812174032078","0.0646588617822388","0.0849035730241767","3"
"At least once a month","1995","Not Working","237","0.0463484488638499","0.0403921812022119","0.0523047165254879","3"
"Several times a year","1995","Full Time","1597","0.265293360009987","0.25401468365376","0.276572036366215","2"
"Several times a year","1995","Part Time","633","0.242954787342813","0.226450881227792","0.259458693457834","2"
"Several times a year","1995","Not Working","707","0.142641439192702","0.132733898968149","0.152548979417255","2"
"Almost never or never","1996","Full Time","2332","0.369328676286858","0.356822625902667","0.38183472667105","1"
"Almost never or never","1996","Part Time","1219","0.402519613383249","0.383983954004666","0.421055272761832","1"
"Almost never or never","1996","Not Working","2956","0.648545145564684","0.634764949094124","0.662325342035244","1"
"At lease once a week","1996","Full Time","1448","0.28572843395015","0.274022110260774","0.297434757639526","4"
"At lease once a week","1996","Part Time","642","0.286397701039886","0.269310710699735","0.303484691380036","4"
"At lease once a week","1996","Not Working","802","0.177003515060759","0.165987095553965","0.188019934567554","4"
"At least once a month","1996","Full Time","494","0.0877958684375958","0.0804626406721914","0.0951290962030002","3"
"At least once a month","1996","Part Time","190","0.0688818890529498","0.0593097808017738","0.0784539973041259","3"
"At least once a month","1996","Not Working","238","0.0533514810759779","0.04686486565927","0.0598380964926859","3"
"Several times a year","1996","Full Time","1447","0.257147021325396","0.245821601741774","0.268472440909019","2"
"Several times a year","1996","Part Time","638","0.242200796523915","0.226008160809475","0.258393432238356","2"
"Several times a year","1996","Not Working","615","0.121099858298578","0.111683301839893","0.130516414757264","2"
"Almost never or never","1997","Full Time","2272","0.369951994898063","0.357270864017311","0.382633125778815","1"
"Almost never or never","1997","Part Time","1248","0.441788847218765","0.422483974322383","0.461093720115146","1"
"Almost never or never","1997","Not Working","3039","0.670127053734721","0.656632227132321","0.683621880337122","1"
"At lease once a week","1997","Full Time","1487","0.305137366724637","0.293042651319512","0.317232082129762","4"
"At lease once a week","1997","Part Time","609","0.272999771803613","0.255681333231842","0.290318210375384","4"
"At lease once a week","1997","Not Working","876","0.187930738121143","0.176718021946524","0.199143454295762","4"
"At least once a month","1997","Full Time","434","0.0774279888823904","0.0704078192771934","0.0844481584875874","3"
"At least once a month","1997","Part Time","149","0.0602893889041758","0.0510364898481483","0.0695422879602032","3"
"At least once a month","1997","Not Working","180","0.0345999455299227","0.0293542056636642","0.0398456853961812","3"
"Several times a year","1997","Full Time","1375","0.247482649494909","0.236147451381454","0.258817847608365","2"
"Several times a year","1997","Part Time","536","0.224921992073446","0.208690853492956","0.241153130653937","2"
"Several times a year","1997","Not Working","568","0.107342262614213","0.0984575529013691","0.116226972327056","2"
"Almost never or never","1998","Full Time","1871","0.288337006585713","0.276837587165759","0.299836426005666","1"
"Almost never or never","1998","Part Time","987","0.306881231201552","0.289969737649785","0.323792724753319","1"
"Almost never or never","1998","Not Working","3083","0.578720250187532","0.565528698732541","0.591911801642522","1"
"At lease once a week","1998","Full Time","1869","0.347802965295094","0.335712456418146","0.359893474172042","4"
"At lease once a week","1998","Part Time","899","0.356591536588467","0.339027599568596","0.374155473608339","4"
"At lease once a week","1998","Not Working","1182","0.223497358940578","0.212367647344092","0.234627070537064","4"
"At least once a month","1998","Full Time","594","0.101965666882376","0.0942838848080923","0.109647448956661","3"
"At least once a month","1998","Part Time","243","0.0908384803066457","0.0803007173802453","0.101376243233046","3"
"At least once a month","1998","Not Working","269","0.0465656734755311","0.0409363710581853","0.0521949758928768","3"
"Several times a year","1998","Full Time","1627","0.261894361236817","0.250733161874518","0.273055560599115","2"
"Several times a year","1998","Part Time","728","0.245688751903335","0.229903158953751","0.261474344852918","2"
"Several times a year","1998","Not Working","848","0.151216717396359","0.141645337457621","0.160788097335098","2"
"Almost never or never","1999","Full Time","2221","0.358196348832291","0.345874943966404","0.370517753698179","1"
"Almost never or never","1999","Part Time","1238","0.397369437690613","0.379635386276007","0.415103489105218","1"
"Almost never or never","1999","Not Working","3175","0.661522310530535","0.648256928426653","0.674787692634417","1"
"At lease once a week","1999","Full Time","1600","0.302788293277611","0.290980997722714","0.314595588832509","4"
"At lease once a week","1999","Part Time","782","0.309760623108744","0.293003551478241","0.326517694739247","4"
"At lease once a week","1999","Not Working","906","0.184689204256319","0.173810808762117","0.195567599750521","4"
"At least once a month","1999","Full Time","494","0.0822848625606361","0.0752231102482416","0.0893466148730307","3"
"At least once a month","1999","Part Time","245","0.0853093160869012","0.0751860532265129","0.0954325789472895","3"
"At least once a month","1999","Not Working","188","0.0358165602227109","0.0306069616050985","0.0410261588403233","3"
"Several times a year","1999","Full Time","1502","0.256730495329462","0.245504872510916","0.267956118148007","2"
"Several times a year","1999","Part Time","660","0.207560623113742","0.192863218082867","0.222258028144617","2"
"Several times a year","1999","Not Working","619","0.117971924990435","0.108928914598964","0.127014935381906","2"
"Almost never or never","2000","Full Time","","","","","1"
"Almost never or never","2000","Part Time","","","","","1"
"Almost never or never","2000","Not Working","","","","","1"
"At lease once a week","2000","Full Time","","","","","4"
"At lease once a week","2000","Part Time","","","","","4"
"At lease once a week","2000","Not Working","","","","","4"
"At least once a month","2000","Full Time","","","","","3"
"At least once a month","2000","Part Time","","","","","3"
"At least once a month","2000","Not Working","","","","","3"
"Several times a year","2000","Full Time","","","","","2"
"Several times a year","2000","Part Time","","","","","2"
"Several times a year","2000","Not Working","","","","","2"
"Almost never or never","2001","Full Time","3586","0.387398612790612","0.377350227407635","0.397446998173588","1"
"Almost never or never","2001","Part Time","2033","0.416016865282813","0.402065734615214","0.429967995950412","1"
"Almost never or never","2001","Not Working","5287","0.677138477965689","0.666914920513956","0.687362035417423","1"
"At lease once a week","2001","Full Time","2716","0.314249206143367","0.304673991488736","0.323824420797998","4"
"At lease once a week","2001","Part Time","1564","0.335239331391016","0.321877563412031","0.348601099370001","4"
"At lease once a week","2001","Not Working","1609","0.193126460696042","0.184495109694549","0.201757811697535","4"
"At least once a month","2001","Full Time","762","0.0849237129504909","0.0791736658515383","0.0906737600494435","3"
"At least once a month","2001","Part Time","300","0.0641604705255595","0.0572248032878751","0.0710961377632438","3"
"At least once a month","2001","Not Working","310","0.0378372055771748","0.0336652568974173","0.0420091542569324","3"
"Several times a year","2001","Full Time","1965","0.21342846811553","0.204977167496229","0.221879768734831","2"
"Several times a year","2001","Part Time","898","0.184583332800612","0.173602385203851","0.195564280397373","2"
"Several times a year","2001","Not Working","829","0.0918978557610935","0.0855813748190712","0.0982143367031158","2"
"Almost never or never","2002","Full Time","","","","","1"
"Almost never or never","2002","Part Time","","","","","1"
"Almost never or never","2002","Not Working","","","","","1"
"At lease once a week","2002","Full Time","","","","","4"
"At lease once a week","2002","Part Time","","","","","4"
"At lease once a week","2002","Not Working","","","","","4"
"At least once a month","2002","Full Time","","","","","3"
"At least once a month","2002","Part Time","","","","","3"
"At least once a month","2002","Not Working","","","","","3"
"Several times a year","2002","Full Time","","","","","2"
"Several times a year","2002","Part Time","","","","","2"
"Several times a year","2002","Not Working","","","","","2"
"Almost never or never","2003","Full Time","2307","0.265760382286995","0.256577875932394","0.274942888641595","1"
"Almost never or never","2003","Part Time","1551","0.32303902918077","0.310222304867063","0.335855753494477","1"
"Almost never or never","2003","Not Working","4416","0.571998633494497","0.561258505840346","0.582738761148647","1"
"At lease once a week","2003","Full Time","3461","0.379546014437919","0.369458498880497","0.389633529995341","4"
"At lease once a week","2003","Part Time","2102","0.393604579605772","0.380214728214615","0.406994430996929","4"
"At lease once a week","2003","Not Working","2306","0.258151613440639","0.248652471657394","0.267650755223883","4"
"At least once a month","2003","Full Time","910","0.103187437249783","0.0968638798443636","0.109510994655203","3"
"At least once a month","2003","Part Time","436","0.0837559434153997","0.0761635075535399","0.0913483792772595","3"
"At least once a month","2003","Not Working","388","0.0473296350781327","0.0427204167974433","0.0519388533588222","3"
"Several times a year","2003","Full Time","2212","0.251506166025303","0.242487015348012","0.260525316702595","2"
"Several times a year","2003","Part Time","1025","0.199600447798058","0.188645712115326","0.21055518348079","2"
"Several times a year","2003","Not Working","1043","0.122520117986732","0.115402877228993","0.129637358744471","2"
"Almost never or never","2004","Full Time","","","","","1"
"Almost never or never","2004","Part Time","","","","","1"
"Almost never or never","2004","Not Working","","","","","1"
"At lease once a week","2004","Full Time","","","","","4"
"At lease once a week","2004","Part Time","","","","","4"
"At lease once a week","2004","Not Working","","","","","4"
"At least once a month","2004","Full Time","","","","","3"
"At least once a month","2004","Part Time","","","","","3"
"At least once a month","2004","Not Working","","","","","3"
"Several times a year","2004","Full Time","","","","","2"
"Several times a year","2004","Part Time","","","","","2"
"Several times a year","2004","Not Working","","","","","2"
"Almost never or never","2005","Full Time","2451","0.312446287424101","0.302290421567851","0.322602153280352","1"
"Almost never or never","2005","Part Time","1593","0.344822380701972","0.331377421527709","0.358267339876235","1"
"Almost never or never","2005","Not Working","4344","0.58698567737204","0.576106095020116","0.597865259723965","1"
"At lease once a week","2005","Full Time","2889","0.349253180503505","0.338807128879339","0.359699232127671","4"
"At lease once a week","2005","Part Time","1799","0.356366786003085","0.342819569489539","0.369914002516631","4"
"At lease once a week","2005","Not Working","2092","0.237462398423266","0.228059884776632","0.246864912069901","4"
"At least once a month","2005","Full Time","801","0.108516393074586","0.101701166297313","0.11533161985186","3"
"At least once a month","2005","Part Time","402","0.0877856103389103","0.0797809600339653","0.0957902606438554","3"
"At least once a month","2005","Not Working","424","0.0487679182813609","0.0440088025203064","0.0535270340424155","3"
"Several times a year","2005","Full Time","1860","0.229784138997807","0.220566022154813","0.239002255840802","2"
"Several times a year","2005","Part Time","1007","0.211025222956033","0.199483225304522","0.222567220607544","2"
"Several times a year","2005","Not Working","1008","0.126784005923333","0.119431946794669","0.134136065051997","2"
"Almost never or never","2006","Full Time","","","","","1"
"Almost never or never","2006","Part Time","","","","","1"
"Almost never or never","2006","Not Working","","","","","1"
"At lease once a week","2006","Full Time","","","","","4"
"At lease once a week","2006","Part Time","","","","","4"
"At lease once a week","2006","Not Working","","","","","4"
"At least once a month","2006","Full Time","","","","","3"
"At least once a month","2006","Part Time","","","","","3"
"At least once a month","2006","Not Working","","","","","3"
"Several times a year","2006","Full Time","","","","","2"
"Several times a year","2006","Part Time","","","","","2"
"Several times a year","2006","Not Working","","","","","2"
"Almost never or never","2007","Full Time","2323","0.296845083736667","0.286739159420509","0.306951008052825","1"
"Almost never or never","2007","Part Time","1512","0.33212738010857","0.318671215561842","0.345583544655297","1"
"Almost never or never","2007","Not Working","4372","0.573457139324516","0.562581362330431","0.584332916318602","1"
"At lease once a week","2007","Full Time","3027","0.379054683378651","0.36832311459015","0.389786252167152","4"
"At lease once a week","2007","Part Time","1856","0.378767601749671","0.364908483826815","0.392626719672527","4"
"At lease once a week","2007","Not Working","2266","0.266855867386353","0.257129256708021","0.276582478064685","4"
"At least once a month","2007","Full Time","739","0.0965159251656326","0.0899839377057214","0.103047912625544","3"
"At least once a month","2007","Part Time","387","0.07751988303548","0.0698796396936271","0.0851601263773328","3"
"At least once a month","2007","Not Working","379","0.0433220036234421","0.0388452248553967","0.0477987823914875","3"
"Several times a year","2007","Full Time","1762","0.227584307719049","0.218309982880967","0.236858632557131","2"
"Several times a year","2007","Part Time","951","0.211585135106279","0.19991590757083","0.223254362641729","2"
"Several times a year","2007","Not Working","927","0.116364989665689","0.109313577538184","0.123416401793193","2"
"Almost never or never","2008","Full Time","1725","0.225168224154057","0.215697418556654","0.23463902975146","1"
"Almost never or never","2008","Part Time","1109","0.257642546477596","0.244723263822399","0.270561829132793","1"
"Almost never or never","2008","Not Working","3536","0.49629752760485","0.484944834274228","0.507650220935472","1"
"At lease once a week","2008","Full Time","3239","0.435549313374272","0.424306853946086","0.446791772802459","4"
"At lease once a week","2008","Part Time","1999","0.432303809487576","0.417669386850039","0.446938232125112","4"
"At lease once a week","2008","Not Working","2575","0.323675520203192","0.313051881554578","0.334299158851806","4"
"At least once a month","2008","Full Time","744","0.104035470501257","0.0971129255334976","0.110958015469016","3"
"At least once a month","2008","Part Time","391","0.0920902219231488","0.0835483869160644","0.100632056930233","3"
"At least once a month","2008","Not Working","356","0.0453243591677001","0.0406011784128755","0.0500475399225248","3"
"Several times a year","2008","Full Time","1764","0.235246991970414","0.225629711185775","0.244864272755054","2"
"Several times a year","2008","Part Time","903","0.21796342211168","0.205767113245187","0.230159730978172","2"
"Several times a year","2008","Not Working","984","0.134702593024258","0.126950633642788","0.142454552405727","2"
"Almost never or never","2009","Full Time","1948","0.270964586078436","0.260540774429175","0.281388397727698","1"
"Almost never or never","2009","Part Time","1272","0.29972434571704","0.285888699953663","0.313559991480416","1"
"Almost never or never","2009","Not Working","3704","0.561067130517738","0.549298866208793","0.572835394826684","1"
"At lease once a week","2009","Full Time","2770","0.401300098263729","0.389804404073126","0.412795792454333","4"
"At lease once a week","2009","Part Time","1737","0.40575460277878","0.390925374504353","0.420583831053207","4"
"At lease once a week","2009","Not Working","2041","0.281980415557254","0.271309945130455","0.292650885984052","4"
"At least once a month","2009","Full Time","676","0.107058357096079","0.0998070248989897","0.114309689293169","3"
"At least once a month","2009","Part Time","342","0.0765895899527532","0.068558284103412","0.0846208958020945","3"
"At least once a month","2009","Not Working","318","0.0480639375686223","0.0429914672833576","0.053136407853887","3"
"Several times a year","2009","Full Time","1590","0.220676958561755","0.21095098176973","0.23040293535378","2"
"Several times a year","2009","Part Time","861","0.217931461551427","0.205463763290853","0.230399159812001","2"
"Several times a year","2009","Not Working","768","0.108888516356385","0.101501602936923","0.116275429775848","2"
"Almost never or never","2010","Full Time","","","","","1"
"Almost never or never","2010","Part Time","","","","","1"
"Almost never or never","2010","Not Working","","","","","1"
"At lease once a week","2010","Full Time","","","","","4"
"At lease once a week","2010","Part Time","","","","","4"
"At lease once a week","2010","Not Working","","","","","4"
"At least once a month","2010","Full Time","","","","","3"
"At least once a month","2010","Part Time","","","","","3"
"At least once a month","2010","Not Working","","","","","3"
"Several times a year","2010","Full Time","","","","","2"
"Several times a year","2010","Part Time","","","","","2"
"Several times a year","2010","Not Working","","","","","2"
"Almost never or never","2011","Full Time","3310","0.293511493213561","0.284850426435209","0.302172559991913","1"
"Almost never or never","2011","Part Time","2716","0.338503795621843","0.327901349846208","0.349106241397479","1"
"Almost never or never","2011","Not Working","5559","0.572453938602244","0.562807108199802","0.582100769004686","1"
"At lease once a week","2011","Full Time","4262","0.412448225386962","0.40308524590979","0.421811204864134","4"
"At lease once a week","2011","Part Time","3052","0.413012723827103","0.401980662442194","0.424044785212012","4"
"At lease once a week","2011","Not Working","3064","0.290543548276259","0.281690529123001","0.299396567429517","4"
"At least once a month","2011","Full Time","908","0.0888601132503875","0.083448182369087","0.0942720441316879","3"
"At least once a month","2011","Part Time","529","0.066890516565473","0.061292822140211","0.072488210990735","3"
"At least once a month","2011","Not Working","378","0.0365128527034796","0.0328554838681107","0.0401702215388486","3"
"Several times a year","2011","Full Time","2139","0.205180168149089","0.197499335217517","0.212861001080661","2"
"Several times a year","2011","Part Time","1355","0.181592963985581","0.172955330018407","0.190230597952755","2"
"Several times a year","2011","Not Working","1102","0.100489660418017","0.0946271087438557","0.106352212092178","2"
"Almost never or never","2012","Part Time","","","","","1"
"Almost never or never","2012","Full Time","","","","","1"
"Almost never or never","2012","Not Working","","","","","1"
"At lease once a week","2012","Full Time","","","","","4"
"At lease once a week","2012","Part Time","","","","","4"
"At lease once a week","2012","Not Working","","","","","4"
"At least once a month","2012","Full Time","","","","","3"
"At least once a month","2012","Part Time","","","","","3"
"At least once a month","2012","Not Working","","","","","3"
"Several times a year","2012","Full Time","","","","","2"
"Several times a year","2012","Part Time","","","","","2"
"Several times a year","2012","Not Working","","","","","2"
"Almost never or never","2013","Part Time","2093","0.27391031138778","0.263542090075475","0.284278532700085","1"
"Almost never or never","2013","Full Time","2556","0.240701174157372","0.232164912868325","0.249237435446419","1"
"Almost never or never","2013","Not Working","3824","0.44225856475805","0.431856369604717","0.452660759911382","1"
"At lease once a week","2013","Full Time","4835","0.533199250096066","0.523237565914859","0.543160934277273","4"
"At lease once a week","2013","Part Time","3613","0.520491823907293","0.508877073071616","0.532106574742971","4"
"At lease once a week","2013","Not Working","3658","0.406662722924194","0.396374546206715","0.416950899641674","4"
"At least once a month","2013","Full Time","600","0.0642266618961656","0.0593315205052574","0.0691218032870738","3"
"At least once a month","2013","Part Time","357","0.0556133905455651","0.0502853253517475","0.0609414557393827","3"
"At least once a month","2013","Not Working","298","0.035101549941603","0.0312469938728672","0.0389561060103389","3"
"Several times a year","2013","Full Time","1644","0.161872913850396","0.15451822571497","0.169227601985822","2"
"Several times a year","2013","Part Time","1044","0.149984474159361","0.141683261974571","0.158285686344152","2"
"Several times a year","2013","Not Working","977","0.115977162376153","0.109270778673192","0.122683546079114","2"
"Almost never or never","2014","Part Time","","","","","1"
"Almost never or never","2014","Full Time","","","","","1"
"Almost never or never","2014","Not Working","","","","","1"
"At lease once a week","2014","Full Time","","","","","4"
"At lease once a week","2014","Part Time","","","","","4"
"At lease once a week","2014","Not Working","","","","","4"
"At least once a month","2014","Full Time","","","","","3"
"At least once a month","2014","Part Time","","","","","3"
"At least once a month","2014","Not Working","","","","","3"
"Several times a year","2014","Full Time","","","","","2"
"Several times a year","2014","Part Time","","","","","2"
"Several times a year","2014","Not Working","","","","","2"
"Almost never or never","2015","Full Time","2951","0.283105475360795","0.274046789525834","0.292164161195757","1"
