"m11104","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Baden-Württemberg","higher vocational","65","0.586948280603813","0.496956819026031","0.676939742181596"
"Almost never or never","1984","Baden-Württemberg","higher education","57","0.456500362901245","0.369527651161696","0.543473074640795"
"Almost never or never","1984","Bavaria","in school","7","","",""
"Almost never or never","1984","Bavaria","inadequately","80","0.612970991186689","0.519360798055811","0.706581184317566"
"Almost never or never","1984","Bavaria","general elemantary","427","0.753572115989357","0.718471386436219","0.788672845542495"
"Almost never or never","1984","Bavaria","middle vocational","580","0.574352664973622","0.54391976117966","0.604785568767583"
"Almost never or never","1984","Bavaria","vocational + Abi","25","","",""
"Almost never or never","1984","Bavaria","higher vocational","66","0.559663650780566","0.472287467995972","0.647039833565159"
"Almost never or never","1984","Bavaria","higher education","64","0.468537746633402","0.389208231181444","0.547867262085359"
"Almost never or never","1984","Berlin","in school","1","","",""
"Almost never or never","1984","Berlin","inadequately","29","","",""
"Almost never or never","1984","Berlin","general elemantary","66","0.749351884621741","0.663547362505404","0.835156406738079"
"Almost never or never","1984","Berlin","middle vocational","114","0.655400454888759","0.586356904435411","0.724444005342107"
"Almost never or never","1984","Berlin","vocational + Abi","5","","",""
"Almost never or never","1984","Berlin","higher vocational","16","","",""
"Almost never or never","1984","Berlin","higher education","12","","",""
"Almost never or never","1984","Brandenburg","in school","","","",""
"Almost never or never","1984","Brandenburg","inadequately","","","",""
"Almost never or never","1984","Brandenburg","general elemantary","","","",""
"Almost never or never","1984","Brandenburg","middle vocational","","","",""
"Almost never or never","1984","Brandenburg","vocational + Abi","","","",""
"Almost never or never","1984","Brandenburg","higher vocational","","","",""
"Almost never or never","1984","Brandenburg","higher education","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","in school","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Almost never or never","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"Almost never or never","1984","Saxony","in school","","","",""
"Almost never or never","1984","Saxony","inadequately","","","",""
"Almost never or never","1984","Saxony","general elemantary","","","",""
"Almost never or never","1984","Saxony","middle vocational","","","",""
"Almost never or never","1984","Saxony","vocational + Abi","","","",""
"Almost never or never","1984","Saxony","higher vocational","","","",""
"Almost never or never","1984","Saxony","higher education","","","",""
"Almost never or never","1984","Saxony-Anhalt","in school","","","",""
"Almost never or never","1984","Saxony-Anhalt","inadequately","","","",""
"Almost never or never","1984","Saxony-Anhalt","general elemantary","","","",""
"Almost never or never","1984","Saxony-Anhalt","middle vocational","","","",""
"Almost never or never","1984","Saxony-Anhalt","vocational + Abi","","","",""
"Almost never or never","1984","Saxony-Anhalt","higher vocational","","","",""
"Almost never or never","1984","Saxony-Anhalt","higher education","","","",""
"Almost never or never","1984","Thuringia","in school","","","",""
"Almost never or never","1984","Thuringia","inadequately","","","",""
"Almost never or never","1984","Thuringia","general elemantary","","","",""
"Almost never or never","1984","Thuringia","middle vocational","","","",""
"Almost never or never","1984","Thuringia","vocational + Abi","","","",""
"Almost never or never","1984","Thuringia","higher vocational","","","",""
"Almost never or never","1984","Thuringia","higher education","","","",""
"Several times a year","1984","Schleswig-Holstein","in school","1","","",""
"Several times a year","1984","Schleswig-Holstein","inadequately","1","","",""
"Several times a year","1984","Schleswig-Holstein","general elemantary","9","","",""
"Several times a year","1984","Schleswig-Holstein","middle vocational","48","0.211146286050515","0.157216746625632","0.265075825475399"
"Several times a year","1984","Schleswig-Holstein","vocational + Abi","2","","",""
"Several times a year","1984","Schleswig-Holstein","higher vocational","5","","",""
"Several times a year","1984","Schleswig-Holstein","higher education","3","","",""
"Several times a year","1984","Hamburg","in school","1","","",""
"Several times a year","1984","Hamburg","inadequately","2","","",""
"Several times a year","1984","Hamburg","general elemantary","11","","",""
"Several times a year","1984","Hamburg","middle vocational","25","","",""
"Several times a year","1984","Hamburg","vocational + Abi","5","","",""
"Several times a year","1984","Hamburg","higher vocational","7","","",""
"Several times a year","1984","Hamburg","higher education","6","","",""
"Several times a year","1984","Lower Saxony","in school","11","","",""
"Several times a year","1984","Lower Saxony","inadequately","4","","",""
"Several times a year","1984","Lower Saxony","general elemantary","47","0.116931386667407","0.0835514224712403","0.150311350863574"
"Several times a year","1984","Lower Saxony","middle vocational","117","0.191194609763594","0.15921892413753","0.223170295389659"
"Several times a year","1984","Lower Saxony","vocational + Abi","5","","",""
"Several times a year","1984","Lower Saxony","higher vocational","19","","",""
"Several times a year","1984","Lower Saxony","higher education","18","","",""
"Several times a year","1984","Bremen","in school","","","",""
"Several times a year","1984","Bremen","inadequately","","","",""
"Several times a year","1984","Bremen","general elemantary","5","","",""
"Several times a year","1984","Bremen","middle vocational","7","","",""
"Several times a year","1984","Bremen","vocational + Abi","1","","",""
"Several times a year","1984","Bremen","higher vocational","1","","",""
"Several times a year","1984","Bremen","higher education","1","","",""
"Several times a year","1984","North Rhine-Westphalia","in school","15","","",""
"Several times a year","1984","North Rhine-Westphalia","inadequately","24","","",""
"Several times a year","1984","North Rhine-Westphalia","general elemantary","122","0.131881217742865","0.109253926872592","0.154508508613137"
"Several times a year","1984","North Rhine-Westphalia","middle vocational","302","0.176201217945316","0.156952807676074","0.195449628214557"
"Several times a year","1984","North Rhine-Westphalia","vocational + Abi","23","","",""
"Several times a year","1984","North Rhine-Westphalia","higher vocational","48","0.300349124106449","0.227948617252789","0.37274963096011"
"Several times a year","1984","North Rhine-Westphalia","higher education","62","0.267079325177343","0.209140097292183","0.325018553062503"
"Several times a year","1984","Hesse","in school","3","","",""
"Several times a year","1984","Hesse","inadequately","7","","",""
"Several times a year","1984","Hesse","general elemantary","58","0.124312394060284","0.0898938452681531","0.158730942852415"
"Several times a year","1984","Hesse","middle vocational","106","0.159875532747565","0.130100694041374","0.189650371453757"
"Several times a year","1984","Hesse","vocational + Abi","9","","",""
"Several times a year","1984","Hesse","higher vocational","6","","",""
"Several times a year","1984","Hesse","higher education","24","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","in school","1","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","inadequately","7","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","general elemantary","33","0.104854962049866","0.0699535150115708","0.13975640908816"
"Several times a year","1984","Rhineland-Palatinate,Saarland","middle vocational","68","0.166801687195687","0.129897175098246","0.203706199293128"
"Several times a year","1984","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","higher vocational","7","","",""
"Several times a year","1984","Rhineland-Palatinate,Saarland","higher education","7","","",""
"Several times a year","1984","Baden-Württemberg","in school","8","","",""
"Several times a year","1984","Baden-Württemberg","inadequately","28","","",""
"Several times a year","1984","Baden-Württemberg","general elemantary","91","0.117958717331666","0.0937147823040589","0.142202652359273"
"Several times a year","1984","Baden-Württemberg","middle vocational","186","0.200125538954557","0.174383895214922","0.225867182694191"
"Several times a year","1984","Baden-Württemberg","vocational + Abi","8","","",""
"Several times a year","1984","Baden-Württemberg","higher vocational","28","","",""
"Several times a year","1984","Baden-Württemberg","higher education","36","0.296784936926329","0.217017097619698","0.376552776232961"
"Several times a year","1984","Bavaria","in school","7","","",""
"Several times a year","1984","Bavaria","inadequately","15","","",""
"Several times a year","1984","Bavaria","general elemantary","85","0.129752988066728","0.102382107883881","0.157123868249574"
"Several times a year","1984","Bavaria","middle vocational","227","0.217502162322325","0.192109836855625","0.242894487789025"
"Several times a year","1984","Bavaria","vocational + Abi","16","","",""
"Several times a year","1984","Bavaria","higher vocational","29","","",""
"Several times a year","1984","Bavaria","higher education","48","0.279146336922529","0.207833811183854","0.350458862661204"
"Several times a year","1984","Berlin","in school","1","","",""
"Several times a year","1984","Berlin","inadequately","8","","",""
"Several times a year","1984","Berlin","general elemantary","23","","",""
"Several times a year","1984","Berlin","middle vocational","38","0.188818757073909","0.131960451369076","0.245677062778742"
"Several times a year","1984","Berlin","vocational + Abi","3","","",""
"Several times a year","1984","Berlin","higher vocational","3","","",""
"Several times a year","1984","Berlin","higher education","14","","",""
"Several times a year","1984","Brandenburg","in school","","","",""
"Several times a year","1984","Brandenburg","inadequately","","","",""
"Several times a year","1984","Brandenburg","general elemantary","","","",""
"Several times a year","1984","Brandenburg","middle vocational","","","",""
"Several times a year","1984","Brandenburg","vocational + Abi","","","",""
"Several times a year","1984","Brandenburg","higher vocational","","","",""
"Several times a year","1984","Brandenburg","higher education","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","in school","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Several times a year","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"Several times a year","1984","Saxony","in school","","","",""
"Several times a year","1984","Saxony","inadequately","","","",""
"Several times a year","1984","Saxony","general elemantary","","","",""
"Several times a year","1984","Saxony","middle vocational","","","",""
"Several times a year","1984","Saxony","vocational + Abi","","","",""
"Several times a year","1984","Saxony","higher vocational","","","",""
"Several times a year","1984","Saxony","higher education","","","",""
"Several times a year","1984","Saxony-Anhalt","in school","","","",""
"Several times a year","1984","Saxony-Anhalt","inadequately","","","",""
"Several times a year","1984","Saxony-Anhalt","general elemantary","","","",""
"Several times a year","1984","Saxony-Anhalt","middle vocational","","","",""
"Several times a year","1984","Saxony-Anhalt","vocational + Abi","","","",""
"Several times a year","1984","Saxony-Anhalt","higher vocational","","","",""
"Several times a year","1984","Saxony-Anhalt","higher education","","","",""
"Several times a year","1984","Thuringia","in school","","","",""
"Several times a year","1984","Thuringia","inadequately","","","",""
"Several times a year","1984","Thuringia","general elemantary","","","",""
"Several times a year","1984","Thuringia","middle vocational","","","",""
"Several times a year","1984","Thuringia","vocational + Abi","","","",""
"Several times a year","1984","Thuringia","higher vocational","","","",""
"Several times a year","1984","Thuringia","higher education","","","",""
"At least once a month","1984","Schleswig-Holstein","in school","5","","",""
"At least once a month","1984","Schleswig-Holstein","inadequately","1","","",""
"At least once a month","1984","Schleswig-Holstein","general elemantary","13","","",""
"At least once a month","1984","Schleswig-Holstein","middle vocational","61","0.25460312487898","0.197037609220302","0.312168640537657"
"At least once a month","1984","Schleswig-Holstein","vocational + Abi","3","","",""
"At least once a month","1984","Schleswig-Holstein","higher vocational","7","","",""
"At least once a month","1984","Schleswig-Holstein","higher education","6","","",""
"At least once a month","1984","Hamburg","in school","","","",""
"At least once a month","1984","Hamburg","inadequately","2","","",""
"At least once a month","1984","Hamburg","general elemantary","5","","",""
"At least once a month","1984","Hamburg","middle vocational","38","0.246763777655307","0.178225592498994","0.31530196281162"
"At least once a month","1984","Hamburg","vocational + Abi","2","","",""
"At least once a month","1984","Hamburg","higher vocational","4","","",""
"At least once a month","1984","Hamburg","higher education","5","","",""
"At least once a month","1984","Lower Saxony","in school","14","","",""
"At least once a month","1984","Lower Saxony","inadequately","5","","",""
"At least once a month","1984","Lower Saxony","general elemantary","51","0.130212322324032","0.0952535832513563","0.165171061396708"
"At least once a month","1984","Lower Saxony","middle vocational","117","0.197630762197685","0.16525094202209","0.23001058237328"
"At least once a month","1984","Lower Saxony","vocational + Abi","6","","",""
"At least once a month","1984","Lower Saxony","higher vocational","17","","",""
"At least once a month","1984","Lower Saxony","higher education","29","","",""
"At least once a month","1984","Bremen","in school","","","",""
"At least once a month","1984","Bremen","inadequately","","","",""
"At least once a month","1984","Bremen","general elemantary","2","","",""
"At least once a month","1984","Bremen","middle vocational","13","","",""
"At least once a month","1984","Bremen","vocational + Abi","1","","",""
"At least once a month","1984","Bremen","higher vocational","2","","",""
"At least once a month","1984","Bremen","higher education","","","",""
"At least once a month","1984","North Rhine-Westphalia","in school","33","0.558835839190122","0.434233725144624","0.683437953235621"
"At least once a month","1984","North Rhine-Westphalia","inadequately","7","","",""
"At least once a month","1984","North Rhine-Westphalia","general elemantary","119","0.128643457986439","0.106254013927276","0.151032902045603"
"At least once a month","1984","North Rhine-Westphalia","middle vocational","270","0.175034325585829","0.155836175032558","0.1942324761391"
"At least once a month","1984","North Rhine-Westphalia","vocational + Abi","21","","",""
"At least once a month","1984","North Rhine-Westphalia","higher vocational","27","","",""
"At least once a month","1984","North Rhine-Westphalia","higher education","74","0.334347606664739","0.272567743769838","0.39612746955964"
"At least once a month","1984","Hesse","in school","6","","",""
"At least once a month","1984","Hesse","inadequately","7","","",""
"At least once a month","1984","Hesse","general elemantary","48","0.134369633670608","0.0987919600710304","0.169947307270186"
"At least once a month","1984","Hesse","middle vocational","124","0.226610869184017","0.192599352490428","0.260622385877607"
"At least once a month","1984","Hesse","vocational + Abi","11","","",""
"At least once a month","1984","Hesse","higher vocational","9","","",""
"At least once a month","1984","Hesse","higher education","27","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","in school","6","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","inadequately","5","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","general elemantary","42","0.129130971891854","0.090928288602885","0.167333655180823"
"At least once a month","1984","Rhineland-Palatinate,Saarland","middle vocational","80","0.194858648439014","0.155648276075645","0.234069020802383"
"At least once a month","1984","Rhineland-Palatinate,Saarland","vocational + Abi","4","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","higher vocational","12","","",""
"At least once a month","1984","Rhineland-Palatinate,Saarland","higher education","11","","",""
"At least once a month","1984","Baden-Württemberg","in school","14","","",""
"At least once a month","1984","Baden-Württemberg","inadequately","12","","",""
"At least once a month","1984","Baden-Württemberg","general elemantary","70","0.0991794425372702","0.0767135534531928","0.121645331621347"
"At least once a month","1984","Baden-Württemberg","middle vocational","157","0.170061506694792","0.145890203379947","0.194232810009637"
"At least once a month","1984","Baden-Württemberg","vocational + Abi","10","","",""
"At least once a month","1984","Baden-Württemberg","higher vocational","22","","",""
"At least once a month","1984","Baden-Württemberg","higher education","33","0.246714700172425","0.171441552318613","0.321987848026237"
"At least once a month","1984","Bavaria","in school","8","","",""
"At least once a month","1984","Bavaria","inadequately","9","","",""
"At least once a month","1984","Bavaria","general elemantary","67","0.116674895943916","0.0905257320613864","0.142824059826445"
"At least once a month","1984","Bavaria","middle vocational","207","0.208145172704053","0.183156967172516","0.233133378235591"
"At least once a month","1984","Bavaria","vocational + Abi","14","","",""
"At least once a month","1984","Bavaria","higher vocational","29","","",""
"At least once a month","1984","Bavaria","higher education","40","0.25231591644407","0.183266869509025","0.321364963379114"
"At least once a month","1984","Berlin","in school","5","","",""
"At least once a month","1984","Berlin","inadequately","2","","",""
"At least once a month","1984","Berlin","general elemantary","9","","",""
"At least once a month","1984","Berlin","middle vocational","30","0.155780788037332","0.103094577761575","0.208466998313089"
"At least once a month","1984","Berlin","vocational + Abi","3","","",""
"At least once a month","1984","Berlin","higher vocational","9","","",""
"At least once a month","1984","Berlin","higher education","11","","",""
"At least once a month","1984","Brandenburg","in school","","","",""
"At least once a month","1984","Brandenburg","inadequately","","","",""
"At least once a month","1984","Brandenburg","general elemantary","","","",""
"At least once a month","1984","Brandenburg","middle vocational","","","",""
"At least once a month","1984","Brandenburg","vocational + Abi","","","",""
"At least once a month","1984","Brandenburg","higher vocational","","","",""
"At least once a month","1984","Brandenburg","higher education","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","in school","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"At least once a month","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"At least once a month","1984","Saxony","in school","","","",""
"At least once a month","1984","Saxony","inadequately","","","",""
"At least once a month","1984","Saxony","general elemantary","","","",""
"At least once a month","1984","Saxony","middle vocational","","","",""
"At least once a month","1984","Saxony","vocational + Abi","","","",""
"At least once a month","1984","Saxony","higher vocational","","","",""
"At least once a month","1984","Saxony","higher education","","","",""
"At least once a month","1984","Saxony-Anhalt","in school","","","",""
"At least once a month","1984","Saxony-Anhalt","inadequately","","","",""
"At least once a month","1984","Saxony-Anhalt","general elemantary","","","",""
"At least once a month","1984","Saxony-Anhalt","middle vocational","","","",""
"At least once a month","1984","Saxony-Anhalt","vocational + Abi","","","",""
"At least once a month","1984","Saxony-Anhalt","higher vocational","","","",""
"At least once a month","1984","Saxony-Anhalt","higher education","","","",""
"At least once a month","1984","Thuringia","in school","","","",""
"At least once a month","1984","Thuringia","inadequately","","","",""
"At least once a month","1984","Thuringia","general elemantary","","","",""
"At least once a month","1984","Thuringia","middle vocational","","","",""
"At least once a month","1984","Thuringia","vocational + Abi","","","",""
"At least once a month","1984","Thuringia","higher vocational","","","",""
"At least once a month","1984","Thuringia","higher education","","","",""
"At lease once a week","1984","Schleswig-Holstein","in school","","","",""
"At lease once a week","1984","Schleswig-Holstein","inadequately","","","",""
"At lease once a week","1984","Schleswig-Holstein","general elemantary","","","",""
"At lease once a week","1984","Schleswig-Holstein","middle vocational","","","",""
"At lease once a week","1984","Schleswig-Holstein","vocational + Abi","","","",""
"At lease once a week","1984","Schleswig-Holstein","higher vocational","","","",""
"At lease once a week","1984","Schleswig-Holstein","higher education","","","",""
"At lease once a week","1984","Hamburg","in school","","","",""
"At lease once a week","1984","Hamburg","inadequately","","","",""
"At lease once a week","1984","Hamburg","general elemantary","","","",""
"At lease once a week","1984","Hamburg","middle vocational","","","",""
"At lease once a week","1984","Hamburg","vocational + Abi","","","",""
"At lease once a week","1984","Hamburg","higher vocational","","","",""
"At lease once a week","1984","Hamburg","higher education","","","",""
"At lease once a week","1984","Lower Saxony","in school","","","",""
"At lease once a week","1984","Lower Saxony","inadequately","","","",""
"At lease once a week","1984","Lower Saxony","general elemantary","","","",""
"At lease once a week","1984","Lower Saxony","middle vocational","","","",""
"At lease once a week","1984","Lower Saxony","vocational + Abi","","","",""
"At lease once a week","1984","Lower Saxony","higher vocational","","","",""
"At lease once a week","1984","Lower Saxony","higher education","","","",""
"At lease once a week","1984","Bremen","in school","","","",""
"At lease once a week","1984","Bremen","inadequately","","","",""
"At lease once a week","1984","Bremen","general elemantary","","","",""
"At lease once a week","1984","Bremen","middle vocational","","","",""
"At lease once a week","1984","Bremen","vocational + Abi","","","",""
"At lease once a week","1984","Bremen","higher vocational","","","",""
"At lease once a week","1984","Bremen","higher education","","","",""
"At lease once a week","1984","North Rhine-Westphalia","in school","","","",""
"At lease once a week","1984","North Rhine-Westphalia","inadequately","","","",""
"At lease once a week","1984","North Rhine-Westphalia","general elemantary","","","",""
"At lease once a week","1984","North Rhine-Westphalia","middle vocational","","","",""
"At lease once a week","1984","North Rhine-Westphalia","vocational + Abi","","","",""
"At lease once a week","1984","North Rhine-Westphalia","higher vocational","","","",""
"At lease once a week","1984","North Rhine-Westphalia","higher education","","","",""
"At lease once a week","1984","Hesse","in school","","","",""
"At lease once a week","1984","Hesse","inadequately","","","",""
"At lease once a week","1984","Hesse","general elemantary","","","",""
"At lease once a week","1984","Hesse","middle vocational","","","",""
"At lease once a week","1984","Hesse","vocational + Abi","","","",""
"At lease once a week","1984","Hesse","higher vocational","","","",""
"At lease once a week","1984","Hesse","higher education","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","inadequately","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"At lease once a week","1984","Rhineland-Palatinate,Saarland","higher education","","","",""
"At lease once a week","1984","Baden-Württemberg","in school","","","",""
"At lease once a week","1984","Baden-Württemberg","inadequately","","","",""
"At lease once a week","1984","Baden-Württemberg","general elemantary","","","",""
"At lease once a week","1984","Baden-Württemberg","middle vocational","","","",""
"At lease once a week","1984","Baden-Württemberg","vocational + Abi","","","",""
"At lease once a week","1984","Baden-Württemberg","higher vocational","","","",""
"At lease once a week","1984","Baden-Württemberg","higher education","","","",""
"At lease once a week","1984","Bavaria","in school","","","",""
"At lease once a week","1984","Bavaria","inadequately","","","",""
"At lease once a week","1984","Bavaria","general elemantary","","","",""
"At lease once a week","1984","Bavaria","middle vocational","","","",""
"At lease once a week","1984","Bavaria","vocational + Abi","","","",""
"At lease once a week","1984","Bavaria","higher vocational","","","",""
"At lease once a week","1984","Bavaria","higher education","","","",""
"At lease once a week","1984","Berlin","in school","","","",""
"At lease once a week","1984","Berlin","inadequately","","","",""
"At lease once a week","1984","Berlin","general elemantary","","","",""
"At lease once a week","1984","Berlin","middle vocational","","","",""
"At lease once a week","1984","Berlin","vocational + Abi","","","",""
"At lease once a week","1984","Berlin","higher vocational","","","",""
"At lease once a week","1984","Berlin","higher education","","","",""
"At lease once a week","1984","Brandenburg","in school","","","",""
"At lease once a week","1984","Brandenburg","inadequately","","","",""
"At lease once a week","1984","Brandenburg","general elemantary","","","",""
"At lease once a week","1984","Brandenburg","middle vocational","","","",""
"At lease once a week","1984","Brandenburg","vocational + Abi","","","",""
"At lease once a week","1984","Brandenburg","higher vocational","","","",""
"At lease once a week","1984","Brandenburg","higher education","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","in school","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"At lease once a week","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"At lease once a week","1984","Saxony","in school","","","",""
"At lease once a week","1984","Saxony","inadequately","","","",""
"At lease once a week","1984","Saxony","general elemantary","","","",""
"At lease once a week","1984","Saxony","middle vocational","","","",""
"At lease once a week","1984","Saxony","vocational + Abi","","","",""
"At lease once a week","1984","Saxony","higher vocational","","","",""
"At lease once a week","1984","Saxony","higher education","","","",""
"At lease once a week","1984","Saxony-Anhalt","in school","","","",""
"At lease once a week","1984","Saxony-Anhalt","inadequately","","","",""
"At lease once a week","1984","Saxony-Anhalt","general elemantary","","","",""
"At lease once a week","1984","Saxony-Anhalt","middle vocational","","","",""
