"m11104","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1992","general elemantary","1789","0.685897903142074","0.668534211206585","0.703261595077564","1"
"Almost never or never","1992","in school","27","","","","1"
"Almost never or never","1992","inadequately","511","0.807144009011658","0.776063018726804","0.838224999296513","1"
"Almost never or never","1992","middle vocational","3729","0.558949168267919","0.546989564897398","0.57090877163844","1"
"Almost never or never","1992","vocational + Abi","145","0.341369937695543","0.293882130577103","0.388857744813984","1"
"Almost never or never","1992","higher vocational","372","0.455495792982951","0.420089203164783","0.490902382801118","1"
"Almost never or never","1992","higher education","733","0.408876567440793","0.385104633867211","0.432648501014376","1"
"At lease once a week","1992","general elemantary","463","0.160592855179195","0.146857928128704","0.174327782229687","4"
"At lease once a week","1992","higher vocational","177","0.268137353717013","0.236642851743445","0.299631855690581","4"
"At lease once a week","1992","middle vocational","1392","0.221210115998647","0.211212442728264","0.23120778926903","4"
"At lease once a week","1992","higher education","444","0.315842967883835","0.293365736676334","0.338320199091335","4"
"At lease once a week","1992","vocational + Abi","119","0.348250807304985","0.300537994421407","0.395963620188563","4"
"At lease once a week","1992","inadequately","47","0.0865754385548397","0.0644222390175095","0.10872863809217","4"
"At lease once a week","1992","in school","117","0.66200992453436","0.593847276955987","0.730172572112732","4"
"At least once a month","1992","vocational + Abi","37","0.0964617274340606","0.0668952559444355","0.126028198923686","3"
"At least once a month","1992","general elemantary","141","0.0421840759314917","0.0346645196680106","0.0497036321949728","3"
"At least once a month","1992","middle vocational","377","0.0579887058966546","0.0523589954229005","0.0636184163704086","3"
"At least once a month","1992","inadequately","18","","","","3"
"At least once a month","1992","higher vocational","54","0.0814685383225158","0.0620201653196585","0.100916911325373","3"
"At least once a month","1992","higher education","104","0.0798886129340066","0.0667789371150824","0.0929982887529308","3"
"At least once a month","1992","in school","12","","","","3"
"Several times a year","1992","inadequately","43","0.0671836247679593","0.0474624599343334","0.0869047896015852","2"
"Several times a year","1992","general elemantary","352","0.111325165747238","0.0995587271509668","0.12309160434351","2"
"Several times a year","1992","middle vocational","1123","0.16185200983678","0.152980333290783","0.170723686382777","2"
"Several times a year","1992","in school","29","","","","2"
"Several times a year","1992","higher vocational","157","0.19489831497752","0.166735847392233","0.223060782562808","2"
"Several times a year","1992","vocational + Abi","82","0.213917527565411","0.17284930134492","0.254985753785901","2"
"Several times a year","1992","higher education","362","0.195391851741365","0.176219528307577","0.214564175175153","2"
"Almost never or never","1993","in school","","","","","1"
"Almost never or never","1993","inadequately","","","","","1"
"Almost never or never","1993","general elemantary","","","","","1"
"Almost never or never","1993","middle vocational","","","","","1"
"Almost never or never","1993","vocational + Abi","","","","","1"
"Almost never or never","1993","higher vocational","","","","","1"
"Almost never or never","1993","higher education","","","","","1"
"At lease once a week","1993","general elemantary","","","","","4"
"At lease once a week","1993","middle vocational","","","","","4"
"At lease once a week","1993","higher vocational","","","","","4"
"At lease once a week","1993","higher education","","","","","4"
"At lease once a week","1993","vocational + Abi","","","","","4"
"At lease once a week","1993","inadequately","","","","","4"
"At lease once a week","1993","in school","","","","","4"
"At least once a month","1993","general elemantary","","","","","3"
"At least once a month","1993","middle vocational","","","","","3"
"At least once a month","1993","vocational + Abi","","","","","3"
"At least once a month","1993","inadequately","","","","","3"
"At least once a month","1993","in school","","","","","3"
"At least once a month","1993","higher vocational","","","","","3"
"At least once a month","1993","higher education","","","","","3"
"Several times a year","1993","inadequately","","","","","2"
"Several times a year","1993","in school","","","","","2"
"Several times a year","1993","general elemantary","","","","","2"
"Several times a year","1993","middle vocational","","","","","2"
"Several times a year","1993","vocational + Abi","","","","","2"
"Several times a year","1993","higher vocational","","","","","2"
"Several times a year","1993","higher education","","","","","2"
"Almost never or never","1994","in school","38","0.125081555267858","0.0830534283631975","0.167109682172518","1"
"Almost never or never","1994","inadequately","450","0.821774467891934","0.789906491220265","0.853642444563602","1"
"Almost never or never","1994","general elemantary","1597","0.687270242062627","0.668912746870415","0.705627737254838","1"
"Almost never or never","1994","middle vocational","3605","0.552600370729089","0.540514498340069","0.564686243118109","1"
"Almost never or never","1994","vocational + Abi","151","0.330333575023475","0.283773820822527","0.376893329224423","1"
"Almost never or never","1994","higher vocational","357","0.467657778141072","0.431829206717294","0.503486349564849","1"
"Almost never or never","1994","higher education","715","0.38464330783082","0.361032346772261","0.408254268889378","1"
"At lease once a week","1994","inadequately","37","0.0634139652024721","0.0431203462000308","0.0837075842049135","4"
"At lease once a week","1994","vocational + Abi","128","0.375273128450317","0.32734131230897","0.423204944591663","4"
"At lease once a week","1994","general elemantary","377","0.148409049055762","0.134332028040172","0.162486070071353","4"
"At lease once a week","1994","middle vocational","1323","0.21189307529043","0.201960186748706","0.221825963832153","4"
"At lease once a week","1994","higher vocational","164","0.232476500171331","0.202144201419832","0.262808798922831","4"
"At lease once a week","1994","higher education","446","0.33780365935226","0.314850277922138","0.360757040782383","4"
"At lease once a week","1994","in school","132","0.630358225534013","0.569032337204408","0.691684113863618","4"
"At least once a month","1994","inadequately","9","","","","3"
"At least once a month","1994","general elemantary","133","0.0450153101920263","0.0368053060363538","0.0532253143476988","3"
"At least once a month","1994","in school","20","","","","3"
"At least once a month","1994","middle vocational","378","0.0561303836238862","0.0505356473851646","0.0617251198626078","3"
"At least once a month","1994","vocational + Abi","29","","","","3"
"At least once a month","1994","higher vocational","57","0.0806339270332712","0.0610827415075106","0.100185112559032","3"
"At least once a month","1994","higher education","129","0.0849316226173855","0.0714020962029726","0.0984611490317985","3"
"Several times a year","1994","inadequately","58","0.0986670407702018","0.0738344583088636","0.12349962323154","2"
"Several times a year","1994","in school","48","0.162881372359751","0.11596884557262","0.209793899146882","2"
"Several times a year","1994","general elemantary","343","0.119305398689585","0.106470047259758","0.132140750119411","2"
"Several times a year","1994","middle vocational","1196","0.179376170356595","0.170050521809378","0.188701818903812","2"
"Several times a year","1994","vocational + Abi","84","0.226763166730498","0.185310967110403","0.268215366350593","2"
"Several times a year","1994","higher vocational","167","0.219231794654326","0.189523153778978","0.248940435529674","2"
"Several times a year","1994","higher education","341","0.192621410199535","0.173482729198041","0.211760091201028","2"
"Almost never or never","1995","in school","28","","","","1"
"Almost never or never","1995","inadequately","430","0.780074712483896","0.744811989918941","0.815337435048852","1"
"Almost never or never","1995","general elemantary","1495","0.634611637842799","0.615686390255705","0.653536885429893","1"
"Almost never or never","1995","middle vocational","2914","0.435994159490808","0.424127357371846","0.44786096160977","1"
"Almost never or never","1995","vocational + Abi","157","0.297490268133321","0.256464997420065","0.338515538846577","1"
"Almost never or never","1995","higher vocational","260","0.339170871313504","0.305556540650545","0.372785201976463","1"
"Almost never or never","1995","higher education","494","0.27135977247208","0.250544292069528","0.292175252874632","1"
"At lease once a week","1995","inadequately","25","","","","4"
"At lease once a week","1995","general elemantary","472","0.172291366721655","0.157449767529993","0.187132965913317","4"
"At lease once a week","1995","middle vocational","1733","0.266371137832068","0.255792412250865","0.276949863413271","4"
"At lease once a week","1995","vocational + Abi","157","0.387596730192348","0.343874963317335","0.431318497067361","4"
"At lease once a week","1995","higher vocational","215","0.313846678326862","0.280897851278149","0.346795505375574","4"
"At lease once a week","1995","higher education","611","0.396739641945345","0.373838226495888","0.419641057394802","4"
"At lease once a week","1995","in school","201","0.729295081185793","0.677709850526065","0.780880311845521","4"
"At least once a month","1995","middle vocational","502","0.0780294255930949","0.071610840558709","0.0844480106274807","3"
"At least once a month","1995","inadequately","8","","","","3"
"At least once a month","1995","general elemantary","136","0.0439362957327185","0.035881299654446","0.0519912918109909","3"
"At least once a month","1995","in school","23","","","","3"
"At least once a month","1995","vocational + Abi","43","0.101058931916848","0.074010514230793","0.128107349602903","3"
"At least once a month","1995","higher vocational","63","0.0802740836644832","0.0609816286653664","0.0995665386636","3"
"At least once a month","1995","higher education","162","0.0886869698892675","0.0753787235436965","0.101995216234839","3"
"Several times a year","1995","inadequately","67","0.147002562391941","0.116855397803387","0.177149726980495","2"
"Several times a year","1995","in school","33","0.0988389544437888","0.0641899359002554","0.133487972987322","2"
"Several times a year","1995","general elemantary","384","0.149160699702827","0.135159631368782","0.163161768036872","2"
"Several times a year","1995","middle vocational","1559","0.219605277084029","0.209698551983424","0.229512002184635","2"
"Several times a year","1995","vocational + Abi","120","0.213854069757483","0.17705818529616","0.250649954218806","2"
"Several times a year","1995","higher vocational","224","0.266708366695151","0.235308537174231","0.298108196216071","2"
"Several times a year","1995","higher education","486","0.243213615693308","0.22313019294983","0.263297038436786","2"
"Almost never or never","1996","in school","36","0.0850601790289926","0.0530626769146456","0.11705768114334","1"
"Almost never or never","1996","inadequately","407","0.810725704256313","0.77604141161826","0.845409996894366","1"
"Almost never or never","1996","general elemantary","1483","0.657677293211008","0.638650557145302","0.676704029276714","1"
"Almost never or never","1996","middle vocational","3302","0.49531975664387","0.483252054093796","0.507387459193943","1"
"Almost never or never","1996","vocational + Abi","193","0.375372082458845","0.331918000230304","0.418826164687386","1"
"Almost never or never","1996","higher vocational","315","0.406746403922565","0.371936772554744","0.441556035290385","1"
"Almost never or never","1996","higher education","651","0.343939035373703","0.321708694093702","0.366169376653704","1"
"At lease once a week","1996","inadequately","20","","","","4"
"At lease once a week","1996","general elemantary","361","0.149007240476919","0.134727949793758","0.16328653116008","4"
"At lease once a week","1996","middle vocational","1420","0.230390048859024","0.220226606807426","0.240553490910622","4"
"At lease once a week","1996","vocational + Abi","139","0.317856026359061","0.276068934310318","0.359643118407805","4"
"At lease once a week","1996","higher education","534","0.342436243780419","0.320229131284194","0.364643356276645","4"
"At lease once a week","1996","higher vocational","196","0.267277373001135","0.235917934926449","0.298636811075821","4"
"At lease once a week","1996","in school","167","0.628818817931134","0.573405723201119","0.684231912661149","4"
"At least once a month","1996","middle vocational","460","0.0692409577658929","0.0631135922946789","0.0753683232371069","3"
"At least once a month","1996","inadequately","12","","","","3"
"At least once a month","1996","general elemantary","144","0.052708359892757","0.043748079095576","0.061668640689938","3"
"At least once a month","1996","in school","32","0.119307031498657","0.0821276680590937","0.15648639493822","3"
"At least once a month","1996","vocational + Abi","40","0.0711303703691682","0.0480632268239918","0.0941975139143447","3"
"At least once a month","1996","higher vocational","68","0.0805053736192305","0.0612254900828249","0.0997852571556362","3"
"At least once a month","1996","higher education","145","0.087557611734515","0.0743299531689556","0.100785270300075","3"
"Several times a year","1996","inadequately","51","0.0932503143607148","0.0675037722053872","0.118996856516042","2"
"Several times a year","1996","in school","57","0.166813971541217","0.124053364121182","0.209574578961251","2"
"Several times a year","1996","general elemantary","401","0.140607106419317","0.126667852457218","0.154546360381415","2"
"Several times a year","1996","middle vocational","1412","0.205049236731213","0.195304439350338","0.214794034112088","2"
"Several times a year","1996","vocational + Abi","105","0.235641520812925","0.197555697016779","0.273727344609071","2"
"Several times a year","1996","higher vocational","186","0.24547084945707","0.214973973894453","0.275967725019687","2"
"Several times a year","1996","higher education","424","0.226067109111363","0.206492024912172","0.245642193310554","2"
"Almost never or never","1997","higher education","662","0.368341331669144","0.345863695789476","0.390818967548813","1"
"Almost never or never","1997","vocational + Abi","169","0.319940211150868","0.276985880915441","0.362894541386295","1"
"Almost never or never","1997","in school","42","0.110042564138995","0.0754838334465318","0.144601294831458","1"
"Almost never or never","1997","inadequately","384","0.796857962785453","0.760210158822567","0.83350576674834","1"
"Almost never or never","1997","general elemantary","1439","0.648294695527551","0.6288727524646","0.667716638590501","1"
"Almost never or never","1997","middle vocational","3401","0.52251745904176","0.510309642685399","0.534725275398122","1"
"Almost never or never","1997","higher vocational","335","0.452131788352233","0.416677340709422","0.487586235995045","1"
"At lease once a week","1997","inadequately","18","","","","4"
"At lease once a week","1997","general elemantary","391","0.166975659487902","0.15180611944317","0.182145199532634","4"
"At lease once a week","1997","middle vocational","1405","0.232717566520232","0.222389927555586","0.243045205484878","4"
"At lease once a week","1997","vocational + Abi","146","0.356505141344211","0.312398455186784","0.400611827501638","4"
"At lease once a week","1997","higher education","585","0.370930767371051","0.348420542895366","0.393440991846736","4"
"At lease once a week","1997","higher vocational","196","0.271646058957863","0.239959644910525","0.303332473005202","4"
"At lease once a week","1997","in school","172","0.596296241111022","0.54211421433828","0.650478267883763","4"
"At least once a month","1997","inadequately","9","","","","3"
